longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
Academic Search Ultimate,asn,183128964,Modeling Neurocognitive Mechanisms in Multistable Perception: Insights Into Variability in Autism.,"Multistable perception, characterized by spontaneous alternations between perceptual states, has garnered increasing attention in autism research, because atypical performance in multistable perception tasks has been suggested as a behavioral marker of this population. However, previous studies in this field have yielded variable and conflicting results leading to inconsistent conclusions. Here we present a computational model integrating key neurocognitive mechanisms, all of which have been considered critical in accounting for atypical behavior in autism, such as bottom-up/top-down processes, the excitation-inhibition (E/I) balance, and neural noise. By systematically altering these mechanisms within an artificial neural network, we explored their functional roles on perceptual fluctuations. Our approach provides a clearer understanding of how specific behaviors may correlate with varied neural and cognitive alterations in autism. This model offers a perspective on key debates in autism research, such as the direction for the excitation/inhibition imbalance, and the possible dominance of bottom-up processing. Moreover, this model challenges heuristic single-mechanism theories of autism, favoring neurodiversity approaches by illustrating the spectrum's complexity, where identical behaviors might result from diverse neurocognitive mechanisms. We highlight the need for future research to employ multiple behavioral tasks to map neurocognitive alterations in autism, aiming for more precise identification and management in therapeutic scenarios.",20250401,"Garrido, Rebeca ; Tovar, Ángel Eugenio",Article,Academic Journal,Apr2025,true,Adaptive Behavior,Neurobehavioral disorders ; Autism research ; Excitation (Physiology) ; Response inhibition ; Autism,JOUR,,,1059-7123,,,,,eng,Sage Publications Inc.,134,121,14,33,2,10.1177/10597123241307674,,ABH,,https://research.ebsco.com/plink/dca52670-03a1-378a-95e1-e3e42de512be,,,,
Academic Search Ultimate,asn,186342252,MRI based early Temporal Lobe Epilepsy detection using DGWO based optimized HAETN and Fuzzy-AAL Segmentation Framework (FASF).,"This work aims to promote early and accurate diagnosis of Temporal Lobe Epilepsy (TLE) by developing state-of-the-art deep learning techniques, with the goal of minimizing the consequences of epilepsy on individuals and society. Current approaches for TLE detection have drawbacks, including applicability to particular MRI sequences, moderate ability to determine the side of the onset zones, and weak cross-validation with different patient groups, which hampers their practical use. To overcome these difficulties, a new Hybrid Attention-Enhanced Transformer Network (HAETN) is introduced for early TLE diagnosis. This approach uses newly developed Fuzzy-AAL Segmentation Framework (FASF) which is a combination of Fuzzy Possibilistic C-Means (FPCM) algorithm for segmentation of tissue and AAL labelling for labelling of tissues. Furthermore, an effective feature selection method is proposed using the Dipper- grey wolf optimization (DGWO) algorithm to improve the performance of the proposed model. The performance of the proposed method is thoroughly assessed by accuracy, sensitivity, and F1-score. The performance of the suggested approach is evaluated on the Temporal Lobe Epilepsy-UNAM MRI Dataset, where it attains an accuracy of 98.61%, a sensitivity of 99.83%, and F1-score of 99.82%, indicating its efficiency and applicability in clinical practice.",20250702,"Khan, Hasim ; Alutaibi, Ahmed Ibrahim ; Tejani, Ghanshyam G. ; Sharma, Sunil Kumar ; Khan, Ahmad Raza ; Ahmad, Fuzail ; Mousavirad, Seyed Jalaleddin",Article,Academic Journal,7/2/2025,true,PLoS ONE,Temporal lobe epilepsy ; Temporal lobe ; Early diagnosis ; Magnetic resonance imaging ; Epilepsy ; Deep learning ; Diagnostic Imaging Centers,JOUR,,,1932-6203,,,,,eng,Public Library of Science,30,1,30,20,7,10.1371/journal.pone.0325126,,78BE,,https://research.ebsco.com/plink/341c0b97-7153-36a4-abb5-ebc646ab1de1,,,,
Academic Search Ultimate,asn,178438981,Biomarcadores de la inflamación como predictores de gravedad y mortalidad en pacientes con COVID-19 grave: estudio basado en algoritmos de clasificación de aprendizaje automático.,"OBJECTIVE: To assess through of machine learning classification algorithms the predictive value of inflammation biomarkers for fatal outcomes in patients with different severity by COVID-19. MATERIALS AND METHODS: A retrospective, observational study evaluated clinical records of Mexican patients from March 2021 to January 2022 using a systematic sampling method. Demographic and clinical values including D-dimer, procalcitonin, ferritin and fibrinogen of each patient were used as predictors. RESULTS: There were included 191 patients. Analysis of different machine learning algorithms showed that the kernel support vector machine algorithm showed the better performance achieving 0.80 accuracy, 0.06 standard deviation and 0.71 sensitivity. Additionally, D-dimer (OR: 1.0032 [1.0130, 1.7230], p < 0.05; ROC: 0.580), ferritin (OR: 1.023 [1.019, 1.843], p < 0.05; ROC: 0.885), and ferritin/procalcitonin ratio (OR: 1.324 [1.012, 1.478], p < 0.05; ROC: 0.859) were potential predictors of progression and fatal events due to COVID-19. CONCLUSIONS: The machine learning classification algorithms could be useful to the prediction of the severity and fatal events in infectious outbreaks. In this study, it was shown that D-dimer is a good predictor of severity and fatal outcomes due to COVID-19.",20240701,"Jiménez Jiménez, Xóchitl ; de Jesús Barragán Hernández, Iván ; Jiménez Jiménez, Saúl ; Vuelvas Olmos, César Rubén ; Cortés Álvarez, Nadia Yanet",Article,Academic Journal,jul2024,true,Medicina Interna de México,,JOUR,,,0186-4866,,,,,spa,Colegio de Medicina Interna de Mexico,355,346,10,40,6,10.24245/mim.v40iJulio.9699,,7KO,,https://research.ebsco.com/plink/5759870f-8de3-3314-8ac5-7fd0fe3889f6,,,,
Academic Search Ultimate,asn,184100653,Mapping Tropical Forested Wetlands Biomass with LiDAR: A Machine Learning Comparison.,"Mangroves and tropical swamp forests are ecosystems that play a critical role in carbon sequestration, coastal protection, and biodiversity support. Accurately estimating aboveground biomass (AGB) in these forests is crucial for global carbon management and conservation efforts. This study evaluates the potential of LiDAR-derived metrics to model the AGB of an area with mangroves and tropical swamp forests in Southeast Mexico. The study area, located in the Pantanos de Centla Protected Area, encompasses a gradient of seasonal waterlogged conditions, from saline to freshwater. Data were collected from 25 1250-m<sup>2</sup> plots, and three modeling approaches—linear regression, random forest, and XGBoost—were employed to estimate the AGB. The data were divided into training and test sets using an 80:20 ratio. The results indicate that the random forest model outperformed the others, achieving the lowest root mean squared error (RMSE = 20.25 Mg/ha, rRMSE = 12.25%, R<sup>2</sup> = 0.88). The most influential variables in this model were mean height (zmean), the 35th percentile of height (zq35), and the fourth percentile of returns (p4th), all positively correlated with the AGB. The model's robustness and uncertainty were evaluated through bootstrapping and spatial prediction across the study area, with higher AGB values concentrated near the main water channels. This study underscores the effectiveness of LiDAR-derived metrics for AGB estimation in complex forested environments.",20250315,"Solórzano, Jonathan V. ; Peralta-Carreta, Candelario ; Gallardo-Cruz, J. Alberto",Article,Academic Journal,Mar2025,true,Remote Sensing,Mangrove swamps ; Channels (Hydraulic engineering) ; Standard deviations ; Tropical forests ; Random forest algorithms ; Mangrove forests ; Other Heavy and Civil Engineering Construction,JOUR,,,2072-4292,,,,,eng,MDPI,,1076,,17,6,10.3390/rs17061076,,B03X,,https://research.ebsco.com/plink/6a71403f-29fb-34c5-8008-438718196a8f,,,,
Academic Search Ultimate,asn,184164352,A predictive model for neoadjuvant therapy response in breast cancer.,"Neoadjuvant therapy is a standard treatment for breast cancer, but its effectiveness varies among patients. This highlights the importance of developing accurate predictive models. Our study uses metabolomics and machine learning to predict the response to neoadjuvant therapy in breast cancer patients. Objective: To develop and validate predictive models using machine learning and circulating metabolites for forecasting responses to neoadjuvant therapy among breast cancer patients, enhancing personalized treatment strategies. Methods: Based on pathological analysis after neoadjuvant chemotherapy and surgery, this retrospective study analyzed 30 young women breast cancer patients from a single institution, categorized as responders or non-responders. Utilizing liquid chromatography-tandem mass spectrometry, we investigated the plasma metabolome, explicitly targeting 40 metabolites, to identify relevant biomarkers linked to therapy response, using machine learning to generate a predictive model and validate the results. Results: Eighteen significant biomarkers were identified, including specific acylcarnitines and amino acids. The most effective predictive model demonstrated a remarkable accuracy of 90.7% and an Area Under the Curve (AUC) of 0.999 at 95% confidence, illustrating its potential utility as a web-based application for future patient management. This model's reliability underscores the significant role of circulating metabolites in predicting therapy outcomes. Conclusion: Our study's findings highlight the crucial role of metabolomics in advancing personalized medicine for breast cancer treatment by effectively identifying metabolite biomarkers correlated with neoadjuvant therapy response. This approach signifies a critical step towards tailoring treatment plans based on individual metabolic profiles, ultimately improving patient outcomes in breast cancer care.",20250401,"Nambo-Venegas, Rafael ; Enríquez-Cárcamo, Virginia Isabel ; Vela-Amieva, Marcela ; Ibarra-González, Isabel ; Lopez-Castro, Lourdes ; Cabrera-Nieto, Sara Aileen ; Bargalló-Rocha, Juan E. ; Villarreal-Garza, Cynthia M. ; Mohar, Alejandro ; Palacios-González, Berenice ; Reyes-Grajeda, Juan P. ; Fajardo-Espinoza, Fernanda Sarahí ; Cruz-Ramos, Marlid",Article,Academic Journal,Apr2025,true,Metabolomics,Machine learning ; Medical sciences ; Neoadjuvant chemotherapy ; Treatment effectiveness ; Cancer treatment,JOUR,,,1573-3882,,,,,eng,Springer Nature,12,1,12,21,2,10.1007/s11306-025-02230-6,,46NA,,https://research.ebsco.com/plink/0e819e96-ce3a-3ab1-9296-e47949c55914,,,,
Academic Search Ultimate,asn,190635352,Desarrollo y validación de un instrumento para identificar al estudiante en riesgo.,"Systems for detecting students at risk of dropout range from direct observation to those based on machine learning techniques. The purpose of the study was to develop and validate a self-detection tool for high school dropout risk. Characteristics or traits consistently mentioned in the literature about at-risk students, such as economic struggles, lack of commitment to school, broad social motives, and others, served as indicators for the development of a questionnaire, which was administered online and employs an additive scoring indicating dropout risk. So that, the higher the score, the greater the risk. A convenience sample of 1006 public high school students participated in the study. Reliability analysis showed strong internal consistency of the scale (a = 0.9187). Factor analysis identified three priority factors. This questionnaire offers students a reliable and valid gauge of dropout risk. In addition, it enables timely interventions by educational authorities to enhance student retention and graduation rate.",20250701,"TERESA ROJAS-FERNÁNDEZ, GILDA ; FRANCISCO CORTÉS-SOTRES, JOSÉ",Article,Academic Journal,jul-dic2025,true,Sinéctica,School dropouts ; High schools ; Educational intervention ; Intention ; Risk assessment ; Model validation ; Questionnaires ; Elementary and Secondary Schools,JOUR,,,1665-109X,,,,,spa,Instituto Tecnologico y de Estudios Superiores de Occidente A.C.,21,1,21,,65,10.31391/YPQX3872,,1DXB,,https://research.ebsco.com/plink/9e2db146-1cdc-3851-8c4d-d12b5893c9d2,,,,
Academic Search Ultimate,asn,182138705,UMInSe: An Unsupervised Method for Segmentation and Detection of Surgical Instruments based on K-means.,"Surgical instrument segmentation in images is crucial for improving precision and efficiency in surgery, but it currently relies on costly and labor-intensive manual annotations. An unsupervised approach is a promising solution to this challenge. This paper introduces a surgical instrument segmentation method using unsupervised machine learning, based on the K-means algorithm, to identify Regions of Interest (ROI) in images and create the image ground truth for neural network training. The Gamma correction adjusts image brightness and enhances the identification of areas containing surgical instruments. The K-means algorithm clusters similar pixels and detects ROIs despite changes in illumination, yielding an efficient segmentation despite variations in image illumination and obstructing objects. Therefore, the neural network generalizes the image features learning for instrument segmentation in different tasks. Experimental results using the JIGSAWS and EndoVis databases demonstrate the method's effectiveness and robustness, with a minimal error (0.0297) and high accuracy (0.9602). These results underscore the precision of surgical instrument detection and segmentation, which is crucial for automating instrument detection in surgical procedures without pre-labeled datasets. Furthermore, this technique could be applied in surgical applications such as surgeon skills assessment and robot motion planning, where precise instrument detection is indispensable.",20240901,"Eduardo Arevalo-Ancona, Rodrigo ; Haro-Mendoza, Daniel ; Cedillo-Hernandez, Manuel ; Gonzalez-Villela, Victor J.",Article,Academic Journal,Sep-Dec2024,true,Revista Mexicana de Ingeniería Biomédica,"Surgical instruments ; K-means clustering ; Robot motion ; Databases ; Operative surgery ; Other Electronic and Precision Equipment Repair and Maintenance ; Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ; Surgical and Medical Instrument Manufacturing ; Surgical Appliance and Supplies Manufacturing",JOUR,,,0188-9532,,,,,eng,"Sociedad Mexicana de Ingenieria Biomedica, A.C.",50,20,31,45,3,10.17488/RMIB.45.3.2,,7L3,,https://research.ebsco.com/plink/28693606-6a2c-33e5-9dc2-56b0c3b3ebdc,,,,
Academic Search Ultimate,asn,188991156,Support Vector Machines to Propose a Ground Motion Prediction Equation for the Particular Case of the Bojorquez Intensity Measure I Np.,"This study proposes the first ground motion prediction equation (GMPE) for the parameter I<sub>Np</sub>, an intensity measure based on the spectral shape. A Machine Learning Algorithm based on Support Vector Machines (SVMs) was employed due to its robustness towards outliers, which is a key advantage over ordinary linear regression. I<sub>Np</sub> also offers a more robust measure of the ground motion intensity than the traditionally used spectral acceleration at the first mode of vibration of the structure Sa(T<sub>1</sub>). The SVM algorithm, configured for regression (SVR), was applied to derive the prediction coefficients of I<sub>Np</sub> for diverse vibration periods. Furthermore, the complete dataset was analyzed to develop a unified, generalized expression applicable across all the periods considered. To validate the model's reliability and its ability to generalize, a cross-validation analysis was performed. The results from this rigorous validation confirm the model's robustness and demonstrate that its predictive accuracy is not dependent on a specific data split. The numerical results show that the newly developed GMPE reveals high predictive accuracy for periods shorter than 3 s and acceptable accuracy for longer periods. The generalized equation exhibits an acceptable coefficient of determination and Mean Squared Error (MSE) for periods from 0.1 to 5 s. This work not only highlights the powerful potential of machine learning in seismic engineering but also introduces a more sophisticated and effective tool for predicting ground motion intensity.",20251001,"Bojórquez, Edén ; Payán-Serrano, Omar ; Bojórquez, Juan ; Rodríguez-Castellanos, Ali ; Ruiz, Sonia E. ; Reyes-Salazar, Alfredo ; Chávez, Robespierre ; Leyva, Herian ; Velarde, Fernando",Article,Academic Journal,Oct2025,true,AI,Support vector machines ; Machine learning ; Earthquake hazard analysis ; Earthquake engineering ; Model validation ; Frequency spectra,JOUR,,,2673-2688,,,,,eng,MDPI,,254,,6,10,10.3390/ai6100254,,MSNV,,https://research.ebsco.com/plink/57b05503-321e-3358-ab67-e935d04fc12e,,,,
Academic Search Ultimate,asn,181551392,Artificial neural network for evaluating sleep spindles and slow waves after transcranial magnetic stimulation in a child with autism.,"Sleep spindles (SS) and slow waves (SW) serve as indicators of the integrity of thalamocortical connections, which are often compromised in individuals with autism spectrum disorder (ASD). Transcranial magnetic stimulation (TMS) can modulate brain activity associated with ASD. This study evaluated the effects of TMS on SS and SW in an 11-year-old male with ASD who received 17 sessions of TMS on the dorsolateral prefrontal cortex. Both SS and SW were detected before and after TMS and were analyzed using self-organizing maps (SOM). Using the SOM, a subset of SS and SW was identified that exhibited structural changes after TMS.",20241001,"Ortiz-Cruz, Elisa Ester ; Ayala-Guerrero, Fructuoso ; Mateos-Salgado, Erik Leonardo ; Bernal-Hernández, Jorge ; Carillo-Calvet, Humberto Andrés ; Jiménez-Andrade, José Luis",Case Study,Academic Journal,Oct2024,true,Neurocase (Taylor & Francis Ltd),Artificial neural networks ; Transcranial magnetic stimulation ; Slow wave sleep ; Sleep spindles ; Autism spectrum disorders,CASE,,,1355-4794,,,,,eng,Taylor & Francis Ltd,197,189,9,30,5,10.1080/13554794.2024.2436208,,1II8,,https://research.ebsco.com/plink/a7030be3-7037-38da-a25f-31a6fc4c1881,,,,
Academic Search Ultimate,asn,190700159,"Transforming Surgical Training With AI Techniques for Training, Assessment, and Evaluation: Scoping Review.","Background: Artificial intelligence (AI) has introduced novel opportunities for assessment and evaluation in surgical training, offering potential improvements that could surpass traditional educational methods. Objective: This scoping review examines the integration of AI in surgical training, assessment, and evaluation, aiming to determine how AI technologies can enhance trainees' learning paths and performance by incorporating data-driven insights and predictive analytics. In addition, this review examines the current state and applications of AI algorithms in this field, identifying potential areas for future research. Methods: Following the PRISMA-ScR (Preferred Reporting Items for Systematic Reviews and Meta-Analyses extension for Scoping Reviews) guidelines, the PubMed, Scopus, and Web of Science were searched for studies published between January 2020 and March 18, 2024. Eligibility criteria included English-language full-text articles that investigated the application of AI in surgical training, assessment, or evaluation; non-English texts, reviews, preprints, and studies not addressing AI in surgical education were excluded. After duplicate removal and screening, 56 studies were included in the analysis. Data were structured by categorizing studies according to surgical procedure, AI technique, and training setup. Results were synthesized narratively and summarized in frequency tables. Results: From 1400 initial records, 56 studies met the inclusion criteria. Most were journal articles (84%, 47/56), with the remainder being conference papers (16%, 9/56). AI was most frequently applied in minimally invasive surgery (27%, 15/56), neurosurgery (20%, 11/56), and laparoscopy (16%, 9/56). Common techniques included machine learning (20%, 11/56), clustering (14%, 8/56), deep learning (11%, 6/56), convolutional neural networks (11%, 6/56), and support vector machines (11%, 6/56). Training setups were dominated by simulation platforms (33%, 19/56) and box trainers (24%, 13/56), followed by surgical video analysis (16%, 9/56), and robotic systems such as the da Vinci platform (13%, 7/56). Across studies, AI-enhanced training environments provided automated skill assessment, personalized feedback, and adaptive learning trajectories, with several reporting improvements in trainees' learning curves and technical proficiency. However, heterogeneity in study design and outcome measures limited comparability, and algorithmic transparency was often lacking. Conclusions: The application of AI in surgical training demonstrates the potential to enhance skill acquisition and support more efficient, personalized, and adaptive learning pathways. Despite encouraging findings, several limitations exist, including small sample sizes, the lack of standardized evaluation metrics, and insufficient external validation of AI models. Future studies should aim to clarify AI methodologies, improve reproducibility, and develop scalable, simulation-based solutions aligned with global education goals.",20250101,"Escobar-Castillejos, David ; Barrera-Animas, Ari Y ; Noguez, Julieta ; Magana, Alejandra J ; Benes, Bedrich",Literature Review,Academic Journal,2025,,Journal of Medical Internet Research,Artificial intelligence ; Machine learning ; Surgical education ; Educational evaluation ; Self-evaluation ; Computer simulation ; Instructional systems,JOUR,,,1439-4456,,,,,eng,JMIR Publications Inc.,20,1,20,27,,10.2196/58966,,DNC,,https://research.ebsco.com/plink/ae569e64-81ec-3212-9938-3dcbe690f77d,,,,
