longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
Academic Search Ultimate,asn,184199884,MacaqueNet: Advancing comparative behavioural research through large‐scale collaboration.,"There is a vast and ever‐accumulating amount of behavioural data on individually recognised animals, an incredible resource to shed light on the ecological and evolutionary drivers of variation in animal behaviour. Yet, the full potential of such data lies in comparative research across taxa with distinct life histories and ecologies. Substantial challenges impede systematic comparisons, one of which is the lack of persistent, accessible and standardised databases.Big‐team approaches to building standardised databases offer a solution to facilitating reliable cross‐species comparisons. By sharing both data and expertise among researchers, these approaches ensure that valuable data, which might otherwise go unused, become easier to discover, repurpose and synthesise. Additionally, such large‐scale collaborations promote a culture of sharing within the research community, incentivising researchers to contribute their data by ensuring their interests are considered through clear sharing guidelines. Active communication with the data contributors during the standardisation process also helps avoid misinterpretation of the data, ultimately improving the reliability of comparative databases.Here, we introduce MacaqueNet, a global collaboration of over 100 researchers (https://macaquenet.github.io/) aimed at unlocking the wealth of cross‐species data for research on macaque social behaviour. The MacaqueNet database encompasses data from 1981 to the present on 61 populations across 14 species and is the first publicly searchable and standardised database on affiliative and agonistic animal social behaviour. We describe the establishment of MacaqueNet, from the steps we took to start a large‐scale collective, to the creation of a cross‐species collaborative database and the implementation of data entry and retrieval protocols.We share MacaqueNet's component resources: an R package for data standardisation, website code, the relational database structure, a glossary and data sharing terms of use. With all these components openly accessible, MacaqueNet can act as a fully replicable template for future endeavours establishing large‐scale collaborative comparative databases.",20250401,"De Moor, Delphine ; Skelton, Macaela ; Amici, Federica ; Arlet, Malgorzata E. ; Balasubramaniam, Krishna N. ; Ballesta, Sébastien ; Berghänel, Andreas ; Berman, Carol M. ; Bernstein, Sofia K. ; Bhattacharjee, Debottam ; Bliss‐Moreau, Eliza ; Brotcorne, Fany ; Butovskaya, Marina ; Campbell, Liz A. D. ; Carosi, Monica ; Chatterjee, Mayukh ; Cooper, Matthew A. ; Cowl, Veronica B. ; De la O, Claudio ; De Marco, Arianna",Article,Academic Journal,Apr2025,true,Journal of Animal Ecology,Animal social behavior ; Information retrieval ; Information sharing ; Animal behavior ; Databases,JOUR,,,0021-8790,,,,,eng,Wiley-Blackwell,534,519,16,94,4,10.1111/1365-2656.14223,,81J,,https://research.ebsco.com/plink/bcc2b825-7da6-3e95-81d3-dd7137a22693,,,,
Academic Search Ultimate,asn,188173937,Discovery and classification of two new Galactic symbiotic stars in the IGAPS footprint.,"Symbiotic stars are considered astrophysical laboratories owing to their complex physical and chemical properties. Despite theoretical predictions suggesting the existence of at least 1200 such systems in the Galaxy, only 284 have been identified to date, highlighting a significant discrepancy and suggesting an incomplete observational census. To solve this issue and expand the known population, we employed a data-mining and cross-matching approach using the Isaac Newton Telescope Wide Field Camera Galactic Plane Survey (IGAPS) and Sloan Digital Sky Survey (SDSS) data, applying selection criteria in both the optical and infrared bands. This method led to the identification of 217 new symbiotic star candidates. To corroborate the nature of a sample of these candidates, we conducted optical spectroscopic follow-up observations. As a result, we confirmed two new S-type shell-burning symbiotic stars, IPHAS J190242.78–030037.0 and IPHAS J232159.63 |$+$| 555717.8, both exhibiting clear spectral features that allow a clear classification.",20251001,"Botello, Marissa K ; Sabin, L ; Gómez-Muñoz, M A",Article,Academic Journal,Oct2025,true,Monthly Notices of the Royal Astronomical Society,Stars ; Astronomical surveys ; Novae (Astronomy) ; Chemical properties ; Data mining,JOUR,,,0035-8711,,,,,eng,Oxford University Press / USA,3104,3097,8,542,4,10.1093/mnras/staf1342,,81Z,,https://research.ebsco.com/plink/be68f5bb-a593-31a7-9176-7959cba95f56,,,,
Academic Search Ultimate,asn,174310139,Perspectives in Searching Antimicrobial Peptides (AMPs) Produced by the Microbiota.,"Changes in the structure and function of the microbiota are associated with various human diseases. These microbial changes can be mediated by antimicrobial peptides (AMPs), small peptides produced by the host and their microbiota, which play a crucial role in host-bacteria co-evolution. Thus, by studying AMPs produced by the microbiota (microbial AMPs), we can better understand the interactions between host and bacteria in microbiome homeostasis. Additionally, microbial AMPs are a new source of compounds against pathogenic and multi-resistant bacteria. Further, the growing accessibility to metagenomic and metatranscriptomic datasets presents an opportunity to discover new microbial AMPs. This review examines the structural properties of microbiota-derived AMPs, their molecular action mechanisms, genomic organization, and strategies for their identification in any microbiome data as well as experimental testing. Overall, we provided a comprehensive overview of this important topic from the microbial perspective.",20241201,"Gallardo-Becerra, Luigui ; Cervantes-Echeverría, Melany ; Cornejo-Granados, Fernanda ; Vazquez-Morado, Luis E. ; Ochoa-Leyva, Adrian",Article,Academic Journal,Dec2024,true,Microbial Ecology,,JOUR,,,0095-3628,,,,,eng,Springer Nature,14,1,14,87,1,10.1007/s00248-023-02313-8,,O6M,,https://research.ebsco.com/plink/532abbde-8da9-311f-9ba4-bfb88d1176ef,,,,
Academic Search Ultimate,asn,180171384,Unveiling the impacts of land use on the phylogeography of zoonotic New World Hantaviruses.,"Billions of genomic sequences and records of species occurrence are available in public repositories (e.g. National Center for Biotechnology Information, NCBI and the Global Biodiversity Information Facility, GBIF). By implementing analytical tools from different scientific disciplines, data mining these databases can aid in the global surveillance of zoonotic pathogens that circulate among wildlife. We illustrate this by investigating the Hantavirus–rodent system in the Americas, i.e. New World Hantaviruses (NWH). First, we considered the circulation of pathogenic NWH among Cricetidae rodents, by inferring the phylogenetic links among 277 genomic samples of the S segment (N protein) of NWH found in 55 species. Second, we used machine learning to assess the impact of land use on the probability of presence of the rodent species linked with reservoirs of pathogenic Hantaviruses. Our results show that hosts are widely present across the Americas. Some hosts are present in the primary forest and agricultural land, but not in the secondary forest, whereas other hosts are present in secondary forest and agricultural land. The diversity of host species allows Hantavirus to circulate in a wide spectrum of habitats, in particular rural rather than urban. We highlight that public repositories of genomic data and species occurrence are very useful resources for monitoring potential enzootic transmission and spillover of zoonotic viruses in relation with the changes that humans produce in the biosphere.",20241001,"García‐Peña, Gabriel E. ; Rubio, André V.",Article,Academic Journal,Oct2024,true,Ecography,Secondary forests ; Forests & forestry ; Data libraries ; Species diversity ; Farms ; Hantaviruses ; Libraries and Archives,JOUR,,,0906-7590,,,,,eng,Wiley-Blackwell,12,1,12,2024,10,10.1111/ecog.06996,,HY1,,https://research.ebsco.com/plink/0a0322bf-0817-3f29-b2f4-1e488a8e7daa,,,,
Academic Search Ultimate,asn,181806066,DensToolKit2: A comprehensive open-source package for analyzing the electron density and its derivative scalar and vector fields.,"In this article, we provide details of the suite DensToolKit-v2, which consists of a set of cross-platform, optionally parallelized programs for analyzing the molecular electron density (ρ), as well as different fields and chemical indices derived from it. Notably, with this version, the user can compute the Non-Covalent Interaction index, the Density Overlap Regions Index, and fields related to single-spin-type molecular orbitals, such as the spin density. In addition, DensToolKit-v2 includes several programs for analyzing other less-known fields, such as the Density Matrix of order 1, the two-electron pair density function, and the Fourier transforms of these fields, that is, functionals in momentum space. A new sub-program to compute integrated properties of each of the fields released in the suite is included. A simple graphical user interface is released, which eases the visualization of ρ critical points topology. Most interestingly, this version includes a program that renders estimations of pK<sub>a</sub>'s of carboxylic acids and pK<sub>b</sub>'s of amines (primary, secondary, and tertiary) through refined relations between experimental data and the molecular electrostatic potential computed at isosurfaces of ρ. Details related to the speed of the programs and a few examples of how to use the program in workflows are discussed, and the source code is released through a git repository under the GPLv3 terms.",20241221,"Solano-Altamirano, J. M. ; Hernández-Pérez, Julio M. ; Sandoval-Lira, J. ; Barroso-Flores, J.",Article,Academic Journal,12/21/2024,true,Journal of Chemical Physics,Graphical user interfaces ; Electron density ; Density matrices ; Electric potential ; Vector fields,JOUR,,,0021-9606,,,,,eng,American Institute of Physics,13,1,13,161,23,10.1063/5.0239835,,33J,,https://research.ebsco.com/plink/4b54ef48-008e-3588-8add-65b232c22671,,,,
Academic Search Ultimate,asn,188158633,Epidemiological landscape of Batrachochytrium dendrobatidis and its impact on amphibian diversity at global scale.,"Chytridiomycosis, caused by the fungal pathogen Batrachochytrium dendrobatidis (Bd), is a major driver of amphibian decline worldwide. The global presence of Bd is driven by a synergy of factors, such as climate, species life history, and amphibian host susceptibility. Here, using a Bayesian data‐mining approach, we modeled the epidemiological landscape of Bd to evaluate how infection varies across several spatial, ecological, and phylogenetic scales. We compiled global information on Bd occurrence, climate, species ranges, and phylogenetic diversity to infer the potential distribution and prevalence of Bd. By calculating the degree of co‐distribution between Bd and our set of environmental and biological variables (e.g. climate and species), we identified the factors that could potentially be related to Bd presence and prevalence using a geographic correlation metric, epsilon (ε). We fitted five ecological models based on 1) amphibian species identity, 2) phylogenetic species variability values for a given species assemblage, 3) temperature, 4) precipitation and 5) all variables together. Our results extend the findings of previous studies by identifying the epidemiological landscape features of Bd. This ecological modeling framework allowed us to generate explicit spatial predictions for Bd prevalence at global scale and a ranked list of species with high/low probability of Bd presence. Our geographic model identified areas with high potential for Bd prevalence (potential Bd‐risk areas) and areas with low potential Bd prevalence as potential refuges (free Bd). At the amphibian assemblage level, we found non‐relationship with amphibian phylogenetic signals, but a significantly negative correlation between observed species richness and Bd prevalence indicated a potential dilution effect at the landscape scale. Our model may identify species and areas potentially susceptible and at risk for Bd presence, which could be used to prioritize regions for amphibian conservation efforts and to assess species and assemblage at risks.",20250901,"Delia Basanta, M. ; Velasco, Julián A. ; González‐Salazar, Constantino",Article,Academic Journal,Sep2025,true,Wildlife Biology,Batrachochytrium dendrobatidis ; Chytridiomycosis ; Environmental protection ; Temperature effect ; Biodiversity ; Amphibian declines ; Endangered species ; Epidemiological models,JOUR,,,0909-6396,,,,,eng,Wiley-Blackwell,13,1,13,2025,5,10.1002/wlb3.01166,,65TK,,https://research.ebsco.com/plink/0616e012-e8b2-3744-bec1-96a3102e5037,,,,
Academic Search Ultimate,asn,190444096,CoralCache: a virtual coral core repository for transparent and reproducible annual growth rate analyses.,"As science fields enter the Big Data revolution, open-access repositories are essential for addressing larger-scale questions than are possible for single researchers by making data findable, accessible, interoperable, and reusable (FAIR). Furthermore, transparent data and code are increasingly important for reproducible research, especially for data types that inherently require subjective human interpretations. These ideas are applicable to coral sclerochronology, as the field has long been characterized by individual researchers collecting and analyzing coral skeletal cores from their study sites without substantial data sharing or archiving of the core images to meet FAIR principles. Here, we present CoralCache, a virtual coral core repository that not only archives image datasets (i.e. , digitized X-rays and computed tomography scans), but also observer interpretations of the density banding patterns. CoralCache is linked to a graphical user interface, CoralCT, which together offer a way forward for coral growth rate analysis that is reproducible and collaborative. The data organization systems presented here could also be readily applied to related archives such as tree rings or bivalve shells.",20251223,"DeCarlo, Thomas M. ; Jasnos, Oliwia ; Strange, Avi ; Andersson, Andreas ; VII, Angel T. Bautista ; Bloomer, Sierra ; Bolden, Isaiah W. ; Bosman, Maartje ; Brachert, Thomas C. ; Braz, Giulia B. ; Cardoso, Gabriel O. ; Carricart-Ganivet, Juan P. ; Carilli, Jessica E. ; Castillo, Karl D. ; Cavole, Leticia ; Chan, Sylvia ; Chen, Xuefei ; Chomitz, Ben ; Correge, Thierry ; Courtney, Travis A.",Article,Academic Journal,12/23/2025,true,Earth System Science Data Discussions,Reproducible research ; Information sharing ; Data libraries ; Data analysis ; Data management ; Sclerochronology ; Libraries and Archives,JOUR,,,1866-3591,,,,,eng,Copernicus Gesellschaft mbH,23,1,23,,,10.5194/essd-2025-598,,AUEJ,,https://research.ebsco.com/plink/5f1bcc94-278d-31d3-8a19-023f4b3a3724,,,,
Academic Search Ultimate,asn,181403251,Data-Driven Framework for the Techno-Economic Assessment of Sustainable Aviation Fuel from Pyrolysis.,"The aviation sector plays a vital role in global transportation, economic growth, and social integration. However, its rapid expansion has led to increased emissions. Sustainable aviation fuel (SAF) provides a promising solution by offering a clean-burning, renewable alternative to conventional jet fuel. SAF can be produced through various processes and feedstocks, significantly reducing the aviation industry’s environmental footprint. Fast pyrolysis (FP) presents a cost-effective and scalable approach for SAF production due to its low-cost feedstocks, rapid reaction times, and simpler technology. However, estimating the economic viability of FP for SAF production is complex and labor-intensive, requiring detailed process models and numerous assumptions. Furthermore, determining the relationship between feedstock properties and the minimum selling price (MSP) of the fuel can be challenging. To address these challenges, this study developed a data-driven framework for the preliminary estimation of SAF's MSP from FP. Synthetic data was generated using Generative Adversarial Networks (GAN) and Variational Autoencoders (VAE), and hyperparameter optimization was performed using Grid Search to enhance model accuracy and predictions. Five surrogate models were evaluated: linear regression, gradient boost regression (GBR), random forest (RF), extreme boost regression (XGBoost), and elastic net. Among these, GBR and RF showed the most promise, based on metrics such as R<sup>2</sup>, RMSE, and MAE for both original and synthetic datasets. Specifically, GBR achieved a Train R<sup>2</sup> of 0.9999 and a Test R<sup>2</sup> of 0.9277, while RF recorded Train and Test R<sup>2</sup> scores of 0.9789 and 0.9255, respectively. The use of data from the VAE further improved model accuracy. Additionally, a publicly accessible graphical user interface was developed, enabling researchers to estimate the MSP of SAF based on biomass properties, plant capacity, and location.",20250101,"Okolie, Jude A. ; Moradi, Keon ; Rogachuk, Brooke E. ; Narra, Bala Nagaraju ; Ogbaga, Chukwuma C. ; Okoye, Patrick U. ; Adeleke, Adekunle A.",Article,Academic Journal,2025,true,BioEnergy Research,,JOUR,,,1939-1234,,,,,eng,Springer Nature,21,1,21,18,1,10.1007/s12155-024-10803-x,,B3P3,,https://research.ebsco.com/plink/a7bafba6-a2a2-300c-be97-aeb0b0319c3e,,,,
Academic Search Ultimate,asn,181403250,Data-Driven Framework for the Techno-Economic Assessment of Sustainable Aviation Fuel from Pyrolysis.,"The aviation sector plays a vital role in global transportation, economic growth, and social integration. However, its rapid expansion has led to increased emissions. Sustainable aviation fuel (SAF) provides a promising solution by offering a clean-burning, renewable alternative to conventional jet fuel. SAF can be produced through various processes and feedstocks, significantly reducing the aviation industry’s environmental footprint. Fast pyrolysis (FP) presents a cost-effective and scalable approach for SAF production due to its low-cost feedstocks, rapid reaction times, and simpler technology. However, estimating the economic viability of FP for SAF production is complex and labor-intensive, requiring detailed process models and numerous assumptions. Furthermore, determining the relationship between feedstock properties and the minimum selling price (MSP) of the fuel can be challenging. To address these challenges, this study developed a data-driven framework for the preliminary estimation of SAF's MSP from FP. Synthetic data was generated using Generative Adversarial Networks (GAN) and Variational Autoencoders (VAE), and hyperparameter optimization was performed using Grid Search to enhance model accuracy and predictions. Five surrogate models were evaluated: linear regression, gradient boost regression (GBR), random forest (RF), extreme boost regression (XGBoost), and elastic net. Among these, GBR and RF showed the most promise, based on metrics such as R<sup>2</sup>, RMSE, and MAE for both original and synthetic datasets. Specifically, GBR achieved a Train R<sup>2</sup> of 0.9999 and a Test R<sup>2</sup> of 0.9277, while RF recorded Train and Test R<sup>2</sup> scores of 0.9789 and 0.9255, respectively. The use of data from the VAE further improved model accuracy. Additionally, a publicly accessible graphical user interface was developed, enabling researchers to estimate the MSP of SAF based on biomass properties, plant capacity, and location.",20250101,"Okolie, Jude A. ; Moradi, Keon ; Rogachuk, Brooke E. ; Narra, Bala Nagaraju ; Ogbaga, Chukwuma C. ; Okoye, Patrick U. ; Adeleke, Adekunle A.",Article,Academic Journal,2025,true,BioEnergy Research,,JOUR,,,1939-1234,,,,,eng,Springer Nature,21,1,21,18,1,10.1007/s12155-024-10803-x,,B3P3,,https://research.ebsco.com/plink/85615339-51ea-3f43-90d5-5b5f52e32d57,,,,
Academic Search Ultimate,asn,181268818,Propuesta de actuaciones para la gestión de playas ante peligrosidad y vulnerabilidad de su uso recreativo ante eventos reiterados de presencia de medusas. Aplicación en la Costa del Sol (Málaga).,"The presence of jellyfish or other foreign elements to the coastal environment is a limiting factor for coastal leisure and affects a strategic sector such as tourism. To mitigate the negative effects of this issue, a methodology to support the management of the problem on across several beaches of the Costa del Sol, Malaga, is presented. It is presented in three phases. First, a diagnosis of both users and the beach itself is carried out, from which a cartography of priority areas for action is derived. In the second phase, palliative and mitigation measures for danger and vulnerability are proposed. Finally, in the third phase, the conditioning factors required for each beach to activate the proposed interventions are examined, and a matrix is drawn up for assigning proposals according to each beach's typology. The results identify thirteen beaches suitable for the activation of some of the actions presented, in which the measures for hazard events are potentially feasible on practically all the priority beaches, with those of vulnerability being somewhat more restricted due to the conditioning factors necessary for their installation, such as accessibility or surface area.",20240501,"DE LA FUENTE ROSELLÓ, ANA ; CANTARERO PRADOS, FRANCISCO JOSÉ ; SILVA CASARÍN, RODOLFO",Article,Academic Journal,2024,true,Cuadernos Geograficos,Tourism ; Beaches ; Surface area ; Coastal zone management ; Jellyfishes ; All Other Amusement and Recreation Industries ; RV (Recreational Vehicle) Parks and Campgrounds ; Recreational and Vacation Camps (except Campgrounds) ; Casino Hotels ; Convention and Visitors Bureaus ; Hotels (except Casino Hotels) and Motels ; Bed-and-Breakfast Inns ; All Other Traveler Accommodation,JOUR,,,0210-5462,,,,,spa,Cuadernos Geograficos,307,283,25,63,2,10.30827/cuadgeo.v63i2.28956,,77WH,,https://research.ebsco.com/plink/85356887-c9fe-30ca-912c-e89bd3e51437,,,,
