longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
Academic Search Ultimate,asn,191978492,Consistency in Smart Contracts Design.,"The reliability and security of Smart Contracts largely depend on the consistency of their rule design. This paper introduces a novel approach for analyzing and ensuring consistency in Smart Contracts prior to their implementation. By proposing a formal grammar that captures the concurrent primitives inherent in Smart Contracts, and an algorithm that generates finite state machines (FSMs) from these grammar-based rule sets, the study enables the identification of several problems at the design stage. The paper compares this methodology with related works that focus on post-implementation verification, highlighting the advantages of early-stage analysis. Through theoretical and real-world examples, including an analysis of the DAO attack, the paper demonstrates how inconsistencies can be detected systematically. Finally, a formal definition of consistency is presented, offering a foundation for future tools aimed at enhancing Smart Contract designs.",20251225,"Dávila, R. ; Aldeco-Pérez, R. ; Bárcenas, E.",Article,Academic Journal,Dec2025,true,Programming & Computer Software,"Grammar ; Finite state machines ; Inspection & review ; Information technology security ; Uniformity ; Computer software ; Software publishers (except video game publishers) ; Computer and software stores ; Computer, computer peripheral and pre-packaged software merchant wholesalers ; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers",JOUR,,,0361-7688,,,,,eng,Springer Nature,613,605,9,51,8,10.1134/S0361768825700458,,N2T,,https://research.ebsco.com/plink/99dbdf5a-bbfb-3a9f-a54b-c73596a69bf2,,,,
Academic Search Ultimate,asn,174437944,PROFEE: A Probabilistic-Feedback Based Speed Rate Adaption for IEEE 802.11bc.,"WiFi is a widely used wireless technology for data transmission. WiFi can also play a crucial role in simultaneously broadcasting content to multiple devices in multimedia transmission for venues such as classrooms, theaters, and stadiums, etc. Broadcasting allows for the efficient dissemination of information to all devices connected to the network, and it becomes crucial to ensure that the WiFi network has sufficient capacity to transmit broadcast multimedia content without interruptions or delays. However, using WiFi for broadcasting presents challenges that can impact user experience, specifically the difficulty of obtaining real-time feedback from potentially hundreds or thousands of users due to potential collisions of feedback messages. This work focuses on providing accurate feedback to the Access Point about the percentage of users not receiving broadcast traffic correctly so it can adjust its Modulation and Coding Scheme (MCS) while transmitting broadcast multimedia content to many users. The proposed method is comprised of two sequential algorithms. In order to reduce the probability of a collision after transmitting each message, an algorithm searches for the best probability value for users to transmit ACK/NACK messages, depending on whether messages are received correctly or not. This feedback allows the Access Point to estimate the number of STAs correctly/incorrectly receiving the messages being transmitted. A second algorithm uses this estimation so the Access Point can select the best MCS while maintaining the percentage of users not receiving broadcast content correctly within acceptable margins, thus providing users with the best possible content quality. We implemented the proposed method in the ns-3 simulator, and the results show it yields quick, reliable feedback to the Access Point that was then able to adjust to the best possible MCS in only a few seconds, regardless of the user density and dimensions of the scenario.",20231201,"Gomez, Javier ; Camacho-Escoto, Jose Jaime ; Orozco-Barbosa, Luis ; Rodriguez-Torres, Diego",Article,Academic Journal,Dec2023,true,Future Internet,Modulation coding ; Data transmission systems ; Search algorithms ; User experience ; Multicasting (Computer networks) ; Speed ; Vehicular ad hoc networks,JOUR,,,1999-5903,,,,,eng,MDPI,,396,,15,12,10.3390/fi15120396,,B74E,,https://research.ebsco.com/plink/dbecb89a-6ccb-3cc4-8387-1d5819f75774,,,,
Academic Search Ultimate,asn,156139437,Modeling a multi-layered blockchain framework for digital services that governments can implement.,"The general population increasingly uses digital services, meaning services which are delivered over the internet or an electronic network, and events such as pandemics have accelerated the need of using new digital services. Governments have also increased their number of digital services, however, these digital services still lack of sufficient information security, particularly integrity. Blockchain uses cryptographic techniques that allow decentralization and increase the integrity of the information it handles, but it still has disadvantages in terms of efficiency, making it incapable of implementing some digital services where a high rate of transactions are required. In order to increase its efficient, a multi-layer proposal based on blockchain is presented. It has four layers, where each layer specializes in a different type of information and uses properties of public blockchain and private blockchain. An statistical analysis is performed and the proposal is modeled showing that it maintains and even increases the integrity of the information while preserving the efficiency of transactions. Besides, the proposal can be flexible and adapt to different types of digital services. It also considers that voluntary nodes participate in the decentralization of information making it more secure, verifiable, transparent and reliable.",20220501,"Rebollar, Fernando ; Aldeco-Perez, Rocio ; Ramos, Marco A. ; Pinto, David ; Beltrán, Beatriz ; Singh, Vivek",Article,Academic Journal,2022,true,Journal of Intelligent & Fuzzy Systems,Blockchains ; Data integrity ; Information technology security ; Government property ; Pandemics ; Other General Government Support,JOUR,,,1064-1246,,,,,eng,Sage Publications Inc.,4562,4551,12,42,5,10.3233/JIFS-219244,,FLU,,https://research.ebsco.com/plink/55a5c272-a542-3e53-8abf-a1d0878577ab,,,,
Academic Search Ultimate,asn,156071971,Accurate Analytical Model and Evaluation of Wi-Fi Halow Based IoT Networks under a Rayleigh-Fading Channel with Capture.,"The IEEE 802.11ah standard, marketed as Wi-Fi Halow, introduces a new channel access mechanism called the Restricted Access Window (RAW), aiming to provide connectivity for the Internet of Things (IoT) applications over broad areas. RAW aspires to alleviate the contention by splitting the channel access into periods and allocating each period to a given group of stations. This paper develops an analytical framework based on Probability and Renewal theories for modeling and evaluating an IEEE 802.11ah-based network implementing the RAW mechanism. We consider a Rayleigh-fading channel with the presence of the capture effect: a realistic scenario for IoT networks deployed in dense urban environments. Considering a single-hop scenario of stations randomly distributed around an Access Point (AP) and the power attenuation of transmitted packets, we model the channel access under capture awareness. As the RAW mechanism presents a time-limited contention for channel access, we develop a counting process that tracks transmissions up to the end of the contention time interval. Henceforth, we evaluate the network performance in terms of throughput. We meticulously validate the derived analytical results through extensive campaigns of discrete-event simulations. Our study evaluates the impact of different parameters on the overall performance, including the contention time, the number of stations, the number of groups, and the capture threshold. We henceforth study the impact of the capture effect on enhancing the network performance under the grouping feature introduced by the RAW mechanism. This work contributes to developing an analytical modeling framework to evaluate the performance of time-limited random access mechanisms accurately and can be an excellent basis for proposing practical scheduling algorithms to configure the RAW mechanism under non-ideal channel conditions.",20220315,"Taramit, Hamid ; Camacho-Escoto, José Jaime ; Gomez, Javier ; Orozco-Barbosa, Luis ; Haqiq, Abdelkrim",Article,Academic Journal,Mar2022,true,Mathematics (2227-7390),Internet of things ; Wireless Internet ; Network performance ; Radio transmitter fading ; Wireless channels ; Probability theory ; Wireless Telecommunications Carriers (except Satellite) ; Urban ecology (Sociology),JOUR,,,2227-7390,,,,,eng,MDPI,,952,,10,6,10.3390/math10060952,,HE2O,,https://research.ebsco.com/plink/5b11c1a9-565f-3284-910e-f3f9298037a3,,,,
Academic Search Ultimate,asn,139021546,Method for the Assessment of Cerebral and Cardiovascular Surgeries using a Doppler Ultrasound Blood Flow Measurement System.,"This paper shows the application of Doppler flowmetry techniques to evaluate the development of surgical treatment of coronary artery bypass, as well as, clipping of cerebral aneurysms and removal of cerebral arteriovenous malformations, during the intervention. It also shows the architecture of a Bidirectional Doppler System for Blood Flow Measurement that has already been used to evaluate the quality of bypasses in coronary revascularization surgeries. Recently, this system has also been proposed to evaluate the development of the surgical treatment of cerebral aneurysms and cerebral arteriovenous malformations, during the intervention. A Fourier spectral method is explained to analyze the quadrature Doppler signal. It consists on the calculation of the pseudo instantaneous mean frequency using the short-time Fourier transform. This method is tested with simulated Doppler signals that characterize the blood flow mean velocity in both, the coronary and the middle cerebral arteries. Finally, preliminary results obtained in the operating room are shown.",20190101,"Rubio-Acosta, E. ; García-Nocetti, D. F. ; Acevedo-Contla, P. ; Fuentes-Cruz, M. ; Contreras-Arvizu, J. A.",Article,Conference Proceedings,2019,,Proceedings of the International Conference on Bioinformatics & Computational Biology (BIOCOMP) (American Council on Science & Education),Cardiovascular surgery ; Doppler ultrasonography ; Blood flow measurement ; Fourier transforms ; Cerebral arteriovenous malformations,JOUR,,,,,,,,eng,American Council on Science & Education,38,31,8,,,,,KITK,,https://research.ebsco.com/plink/7917a7ff-c05d-3dfa-a7ef-33f214597c08,,,,
Academic Search Ultimate,asn,147563258,A description language for chess.,"The game of chess involves patterns. In this article we develop a simple description language for chess positions as patterns. It seems useful to catalogue similar positions in a generic form, based on common elements, in order to simplify the search for chess positions. A simple chess pattern language is used here to develop a computer program to find similar chess configurations. The aim is to avoid a commonly-used brute force approach. Further, this language could explain why some typical maneuvers actually work in some patterns. This could also be a step forward to model and build chess programs, which perform in a way closer to what a human being does.",20200319,"López-Michelone, Manuel Cristóbal ; Ortega-Arjona, Jorge L.",Article,Academic Journal,Mar2020,true,International Computer Games Association Journal,,JOUR,,,1389-6911,,,,,eng,Sage Publications Inc.,12,1,12,,,10.3233/icg-190141,,IQOW,,https://research.ebsco.com/plink/05c64494-0f40-38bf-8f21-a214d3af8835,,,,
Academic Search Ultimate,asn,133748940,Towards a Method for the Assessment of Cerebral Aneurysms Surgery with a Bi-Directional Doppler System for Blood Flow Measurement.,"This paper shows the application of Doppler flowmetry techniques to evaluate the development of surgical treatment of cerebral aneurysms, during surgery. It also shows the architecture of a Bidirectional Doppler System for Blood Flow Measurement that has already been used to evaluate the quality of bypasses in coronary revascularization surgeries. This system has also been proposed to evaluate the development of the surgical treatment of cerebral arteriovenous malformations, during the intervention. Two methods of spectral analysis for the analysis of the quadrature Doppler signal are detailed. The first is a nonparametric method, specifically it is the calculation of the spectrogram using the shorttime Fourier transform. The second is a parametric method, specifically it is an autoregressive method called the modified covariance method. These methods are tested with a simulated Doppler signal that characterizes the blood flow mean velocity in the Middle Cerebral Artery. Finally, preliminary results obtained in the surgery room are shown.",20180101,"Rubio-Acosta, E. ; García-Nocetti, F. ; Acevedo-Contla, P. ; Fuentes-Cruz A, M. ; Contreras-Arvizu, J. A.",Article,Conference Proceedings,2018,,Proceedings of the International Conference on Bioinformatics & Computational Biology (BIOCOMP) (American Council on Science & Education),Doppler effect ; Blood flow measurement ; Intracranial aneurysms ; Fourier transforms ; Spectrograms,JOUR,,,,,,,,eng,American Council on Science & Education,113,108,6,,,,,KITK,,https://research.ebsco.com/plink/4a883eb2-177c-366e-93b3-0e2d50eb57f7,,,,
Academic Search Ultimate,asn,130740413,Towards a Method for the Assessment of Cerebral Arteriovenous Malformations Surgery with a Bi-Directional Doppler System for Blood Flow Measurement.,"This paper shows the application of Doppler flow measurement techniques to assess the development of surgical treatment of cerebral arteriovenous malformations during the intervention. Also, it is shown the architecture of a Bi-directional Doppler System for Blood Flow Measurement that has already been used to evaluate the bypass quality in coronary revascularization surgeries. Four methods of spectral analysis are described, which include the analysis of the real Doppler signal, its analytic signal and its quadrature signal, using Fourier transform, Gabor transform and time-frequency distributions of the Cohen class, as well as algorithms of flow separation.",20170101,"Rubio-Acosta, E. ; García-Nocetti, D. F. ; Contla, P. Acevedo ; Fuentes-Cruz, M. ; Contreras-Arvizu, J. A.",Article,Conference Proceedings,2017,,Proceedings of the International Conference on Bioinformatics & Computational Biology (BIOCOMP) (American Council on Science & Education),"Laser Doppler blood flowmetry ; Doppler effect ; Cerebral arteriovenous malformations ; Genetic algorithms ; Bioinformatics ; Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology) ; Research and Development in Biotechnology",JOUR,,,,,,,,eng,American Council on Science & Education,76,69,8,,,,,KITK,,https://research.ebsco.com/plink/412527db-4ecb-3062-8728-181528f302ae,,,,
Academic Search Ultimate,asn,130725609,A Proposed Warped Choi Williams Time Frequency Distribution Applied to Doppler Blood Flow Measurement.,"One of the main goals in ultrasonic Doppler blood flow measurement is the estimation of the mean velocity. The Doppler signal's instantaneous frequency has traditionally been used to estimate the mean velocity. In this work, a non-uniform discrete time frequency distribution is proposed: the warped discrete Choi Williams distribution (WTFDCW). The proposed procedure estimates the instantaneous frequency by concentrating the frequency resolution around the Doppler signal's instantaneous frequency. As a result, a better precision is obtained in the spectral estimation by using a WTFDCW for noisy signals when compared to other methods such as the Discrete Choi Williams Time Frequency Distribution (DTFDCW) with the instantaneous frequency calculated as the centroid of the spectrum.",20160101,"García-Nocetti, F. ; Solano, J. ; Rubio, F. ; Rubio, E.",Article,Conference Proceedings,2016,,Proceedings of the International Conference on Bioinformatics & Computational Biology (BIOCOMP) (American Council on Science & Education),Laser Doppler blood flowmetry ; Time-frequency analysis ; Fourier transform spectroscopy ; Carotid artery ; Discrete Fourier transforms,JOUR,,,,,,,,eng,American Council on Science & Education,94,90,5,,,,,KITK,,https://research.ebsco.com/plink/ce685d78-1e82-3154-a108-ac21f2b475fc,,,,
Academic Search Ultimate,asn,160894528,Formal Verification of Blockchain Based Tender Systems.,"A tender process consists in competing offers from different candidate suppliers or contractors. The tender winner is supposed to supply or provide a service in better conditions than competitors. Tenders are developed using centralized unverified systems, which reduce transparency, fairness and trust on the process, it also reduces the ability to detect malicious attempts to manipulate the process. Systems that provide formal verification, decentralization, authentication, trust and transparency can mitigate these risks. Satisfiability Modulo Theories provides a formal analysis to prove correctness of tender offers properties, verified properties ensures system reliability. In addition, one technology that claims to provide decentralization is Blockchain, a chain of distributed and decentralized records linked in a way such that integrity is ensured. This paper presents a formal verified and decentralized proposal system, based on Satisfiability Modulo Theories and Blockchain technology, to make electronic procurement tenders more reliable, transparent and fair.",20221220,"Dávila, René ; Aldeco-Pérez, Rocío ; Bárcenas, Everardo",Article,Academic Journal,Dec2022,true,Programming & Computer Software,Blockchains ; Electronic procurement ; Tender offers ; Reliability in engineering ; Trust,JOUR,,,0361-7688,,,,,eng,Springer Nature,582,566,17,48,8,10.1134/S0361768822080096,,N2T,,https://research.ebsco.com/plink/450ec9de-1db9-399f-bf9c-6331a613138c,,,,
