longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
Academic Search Ultimate,asn,43869823,Determination of inorganic ions and trace elements in total suspended particles at three urban zones in the Mexico City Metropolitan Area and one rural site,"Abstract: Inorganic ions and trace metals in total suspended particles were measured during the period 2006–2007 at four sites; three urban sites in the Mexico City Metropolitan Area (MCMA) and one nearby rural site in the state of Morelos. SO<sub>4</sub><sup>2−</sup>, NO<sub>3</sub><sup>−</sup>, Cl<sup>−</sup> and NH<sub>4</sub><sup>+</sup> ions were analyzed by ion chromatography; Na<sup>+</sup>, K<sup>+</sup>, Ca<sup>2+</sup> and Mg<sup>2+</sup> by flame atomic absorption spectroscopy, and Al, Cd, Cr, Mn, Pb and V by an atomic absorption spectrometer with a graphite furnace attachment. The results indicated that SO<sub>4</sub><sup>2−</sup> was the most abundant ion. All trace elements except Mn and V showed statistically significant differences between sampling sites. Pearson''s correlation applied to all data showed a high correlation among SO<sub>4</sub><sup>2−</sup>, NO<sub>3</sub><sup>−</sup> and NH<sub>4</sub><sup>+</sup>, indicating a common anthropogenic origin. In addition, the correlation observed between Ca<sup>2+</sup> and Al indicated a crustal origin, as supported by the enrichment factors. Over the total sampling period, significant differences in particles and trace metals were found between sites and meteorological seasons. To gain a better insight into the origin of trace metals and major inorganic ions, a Principal Component Analysis was applied to the results for six trace metal and eight inorganic ions.",20091001,"García, R. ; Belmont, R. ; Padilla, H. ; Torres, Ma. del C. ; Baez, A.P.",Article,Academic Journal,Oct2009,true,Atmospheric Research,Atmospheric chemistry ; Trace metals ; Inorganic compounds ; Particles ; Emissions (Air pollution) ; Atmospheric research ; Metropolitan areas ; Rural geography ; Morelos (Mexico : State) ; Mexico ; Other Basic Inorganic Chemical Manufacturing ; All other basic inorganic chemical manufacturing,JOUR,,,0169-8095,,,,,eng,Elsevier B.V.,319,313,7,94,2,10.1016/j.atmosres.2009.06.009,,3I1,,https://research.ebsco.com/plink/45258b5d-2a46-3f36-92f6-7b96d008eba1,,,,
Academic Search Ultimate,asn,52864133,Mineralogical characterization of the fine fraction (<2µm) of degraded volcanic soils and tepetates in Mexico,"Abstract: In Mexico, 70% of the land surface shows some degree of degradation. A substantial portion of these degraded soils are located in the central part of the country, where a high population density exerts unusual pressure on the land. The study of these degraded soils is important because of the ecological, social and economic consequence of this ecosystem component. Two types of degraded volcanic soils were studied in the present research: one coming from tepetates (a volcanic tuff, partially altered and ameliorated for production purposes) and the other, a highly eroded Acrisol developed from old volcanic materials. These soils have not been much studied and are here explored due to their potential to sequester carbon. In studies to focus the relationship between mineralogy and the carbon sequestration it will be necessary to clarify the characteristics of the fine fraction of the soil (<2µm). Clays have been reported to show different mechanisms of association with soil organic matter, in accordance with their nature. In this paper, a mineralogical characterization was made of the fine (2–1µm) and very fine (<1 µm) fractions of these soils, considered to be the most active in the sequestration process. The characterization was initially developed by using X-ray diffraction (XRD). However, the results obtained with this technique were not conclusive. In addition, due to the fact that XRD sometimes requires tedious chemical treatments and take time, it is proposed here to use spectroscopical techniques other that the traditional ones to more accurately define the mineralogical characteristics of the studied fractions. The diffuse reflectance infrared Fourier transform (DRIFT), <sup>27</sup>Al magic angle spinning nuclear magnetic resonance (<sup>27</sup>Al MAS NMR), <sup>29</sup>Si magic angle spinning nuclear magnetic resonance (<sup>29</sup>Si MAS NMR), transmission electron microscopic (TEM), high resolution transmission electron microscopy (HRTEM) and Mössbauer spectroscopy were employed. The fine fractions (<2µm) of the degraded soils are made up of low activity clays: tubular halloysites in the Te–Tl tepetates and kaolinites in the Acrisol. The coarse (2–1µm) ones in Te–Tl consist also of cristobalite and albite. In Ac–At, akaganeite, goethite and hematite are the principal Fe-mineral components. For this reason, the restoration techniques proposed for these degraded soils must be complemented with appropriate practices of fertilization providing basic elements (Ca, Mg, K and Na) to the soil that can be rapidly lost, and are associated with low activity of the fine fraction.",20100801,"Hidalgo, Claudia ; Etchevers, Jorge D. ; Martínez-Richa, Antonio ; Yee-Madeira, Hernani ; Calderon, Héctor A. ; Vera-Graziano, Ricardo ; Matus, Francisco",Article,Academic Journal,Aug2010,true,Applied Clay Science,"Mineralogy ; Volcanic soils ; Volcanic ash, tuff, etc. ; Rock mechanics ; Soil degradation ; Soil structure ; Mexico ; All Other Nonmetallic Mineral Mining ; Other Crushed and Broken Stone Mining and Quarrying ; Marble mining and quarrying ; Dimension Stone Mining and Quarrying ; All other non-metallic mineral mining and quarrying",JOUR,,,0169-1317,,,,,eng,Elsevier B.V.,358,348,11,49,4,10.1016/j.clay.2009.11.007,,3HQ,,https://research.ebsco.com/plink/e493a81f-867c-37da-99f5-0715c1c59b47,,,,
Academic Search Ultimate,asn,142384913,Millennial‐to‐centennial scale lake system development in the mountains of tropical Mexico.,"Rapid degradation of freshwater ecosystems threatens water supply for human populations and natural landscapes. At diverse time scales, this process has been clearly associated with climatic and anthropogenic forcings. The question remains, however, how tropical lakes have responded to these two sources of variability. We present a multiproxy record from Lake San Lorenzo, Lagunas de Montebello National Park, tropical Mexico, spanning the last ~3400 years. We used multi‐elemental concentrations, and Cladocera and pollen assemblages along the record to reconstruct regional and local environmental variability, aiming to infer the factors and processes involved in the evolution of the lacustrine system. A principal component analysis on the pooled biological and geochemical evidence allowed the inference of the main changes in lake level and productivity. At millennial scales, the development of the lake system has been closely associated with regional moisture availability, with wetter (drier) time intervals associated with high (low) lake stands. According to Ti concentrations, from ~3400 to 1000 cal. a BP, regional conditions followed a trend towards drier conditions, with littoral cladoceran assemblages suggesting high lake productivity. The extreme regional droughts reportedly associated with the cultural collapse of the Maya civilization manifested in our study area through both high lake productivity and the lowest lake levels of the record. Through the last ~800 years, the regional moisture availability has increased, with the water body becoming deeper and larger. Overall, our record offers evidence of a highly variable system strongly coupled with regional climates, but also very sensitive to local disturbances associated with human occupation. Lake San Lorenzo has been highly resilient to external pressures and has previously recovered from conditions probably alike those associated with the ongoing modern deterioration process. Nevertheless, such recovery involves a complex network of interactions amongst natural and human factors.",20200401,"Franco‐Gaviria, Felipe ; Correa‐Metrio, Alex ; Núñez‐Useche, Fernando ; Zawisza, Edyta ; Caballero, Margarita ; Prado, Blanca ; Wojewódka, Marta ; Olivares, Gustavo",Article,Academic Journal,Apr2020,true,Boreas,Systems development ; Littoral zone ; Pollen ; Freshwater biodiversity ; Principal components analysis ; Lakes ; Water supply ; Cultural landscapes ; Mexico ; Water Supply and Irrigation Systems,JOUR,,,0300-9483,,,,,eng,Wiley-Blackwell,374,363,12,49,2,10.1111/bor.12430,,B6V,,https://research.ebsco.com/plink/2bfb041f-ac3d-313b-a87f-a8f2b7f1996a,,,,
Academic Search Ultimate,asn,138610118,"Wheat straw, corn stover, sugarcane, and Agave biomasses: chemical properties, availability, and cellulosic‐bioethanol production potential in Mexico.","Mexico is one of the largest agricultural producers in Latin America and generates a large amount of agricultural residue. The aim of this study was to establish the usefulness of four of the main Mexican crops (corn, wheat, sugarcane, and Agave) as feedstock for lignocellulosic bioethanol production. The lignocellulosic residue ratio (RR), defined as weight of residue (in tons) per ton of product, was measured by sampling crop fields in 11 geographic regions of Mexico. The chemical composition, assessed by Fourier‐transform infrared spectroscopy (FTIR) and carbon‐13 nuclear magnetic resonance (13C NMR), and structural composition (extractives, cellulose, hemicellulose, and lignin contents), heating value, and metal content of these lignocellulosic residues were measured. Biorefinery locations, and their theoretical bioethanol production, were suggested using the gravity center method and techno‐economic criteria. The highest RR (1.1 ton of straw per ton of grain) was obtained for wheat straw followed by corn (0.8 ton of stover per ton of grain), sugar cane (0.15 ton of bagasse per ton of cane), and Agave (0.2 ton of bagasse per ton of stem). The composition of these biomasses varied significantly depending on the parental material in extractive compounds, lignocellulosic matter, ashes, hemicellulose, lignin, O‐alkyl C, aromatic C, and carboxyl C. The cellulose crystallinity index and the heating value exhibited small variations among biomasses. Copper, Zn, Cd, and Ni content in the biomasses generally exceeded the European Norm (EN‐Plus FprEN 1496 1‐2 B) for solid biofuels. In total, these agricultural biomasses could be used as feedstock for 34 biorefineries in Mexico with a total bioethanol production potential of approximately 1246 million L year–1. © 2019 Society of Chemical Industry and John Wiley & Sons, Ltd",20190901,"Hernández, Christian ; Escamilla‐Alvarado, Carlos ; Sánchez, Arturo ; Alarcón, Enrique ; Ziarelli, Fabio ; Musule, Ricardo ; Valdez‐Vazquez, Idania",Article,Academic Journal,Sep/Oct2019,true,"Biofuels, Bioproducts & Biorefining","Corn stover ; Wheat straw ; Sugarcane ; Chemical properties ; Agaves ; Field crops ; Center of mass ; Mexico ; Society of Chemical Industry (Great Britain) ; All Other Miscellaneous Crop Farming ; Crop Harvesting, Primarily by Machine ; Cane Sugar Manufacturing ; Sugar manufacturing ; Sugarcane Farming",JOUR,,,1932-104X,,,,,eng,Wiley-Blackwell,1159,1143,17,13,5,10.1002/bbb.2017,,BDBJ,,https://research.ebsco.com/plink/3e5a6d23-5bee-3b20-a56e-74cd1a632bc8,,,,
Academic Search Ultimate,asn,121412579,Meso- or xeromorphic? Foliar characters of Asteraceae in a xeric scrub of Mexico.,"Background: The anatomical traits associated with water deficit are also observed in plants growing in poor soils. The species may resist water deficit through three main strategies: escape, avoid or tolerate. The Pedregal de San Ángel Ecological Reserve (REPSA), Mexico, is an environment with low nutrient soil and low water availability. It is set on the basalt formation derived from the Xitle volcano eruption. The main vegetation type is characterized as xerophytic shrub. Thus we expect that species growing in this community will show leaf xeromorphic traits and may have any of the three response strategies. We analyzed the foliar anatomy of 52 species of the Asteraceae family at the REPSA because it is the most abundant angiosperm family in the site, showing a wide variety of growth forms and anatomical variation. Results: The foliar anatomies of the studied Asteraceae were highly variable as well as their quantitative traits as revealed by principal component analysis. This agrees with previous studies that found great anatomical variation within the family. Leaves have multiple layered palisade parenchyma and parenchyma bundle sheaths and could not be categorized as xeromorphic because they possess mesomorphic leaf features as simple lamina, single-layered epidermis, and soft large-size glabrous leaves with high specific leaf area. Conclusions: The combination of mesomorphic and few xeromorphic foliar traits with other characters at the genus and tribal level probably has been essential in Asteraceae to colonize various environments, including those with low water and nutrient availability.",20170223,"Rivera, Patricia ; Villaseñor, José ; Terrazas, Teresa",Article,Academic Journal,2/23/2017,true,Botanical Studies,Asteraceae ; Xeric ecology ; Plant morphology ; Plant growth ; Soil moisture ; Mexico ; Floriculture Production,JOUR,,,1817-406X,,,,,eng,Springer Nature,16,1,16,58,1,10.1186/s40529-017-0166-x,,77UO,,https://research.ebsco.com/plink/a7cff36f-ca0b-3c57-abb3-95390ed62a0a,,,,
Academic Search Ultimate,asn,141150392,Traditional management of microorganisms in fermented beverages from cactus fruits in Mexico: an ethnobiological approach.,"Background: Fermentation is an ancient technique for preserving and improving the qualities of food and beverages throughout the world. Microbial communities, not seen by the producers of fermented goods, are the actors involved in the fermentation process and are selected upon through different management processes in order to achieve a final product with culturally accepted features. This study documented the preparation of ""colonche"" which is a type of traditionally fermented beverages made with the fruits from several cactus species in two main producing regions of Mexico, the Altiplano and the Tehuacán Valley. We documented the selection processes of the cactus species used and the practices that could influence microbial community composition, as well as, how the producers reach the desirable sensorial attributes of the beverages. Methods: We conducted 53 semi-structured interviews and participatory observations with colonche producers in 7 communities of the Altiplano and the Tehuacán Valley in order to characterize the practices and processes involved in the elaboration of the beverage. Opuntia and columnar cacti species used in colonche production were collected during fieldwork and identified. Selected sensorial attributes of Opuntia colonches were characterized by a ranking table and visualized by principal component analysis in order to distinguish differences of this beverage in the Altiplano localities. Results: Thirteen cactus species are used for colonche production in both regions studied. In the Altiplano, the most commonly used fruit is Opuntia streptacantha because it contributes to the preferred attributes of the beverage in this region. Selection of substrates by producers depends on their preference and the availability of fruits of O. streptacantha and other species. Fermentation is mainly conducted in clay pots which is perceived to be the best type of vessel contributing to the preferred sensorial properties of colonche. The two main differences in colonche preparation between the villages are the practice of boiling the fruit juice and the use of pulque (fermented sap of Agave species) as inoculum. The most contrasting sensorial attributes selected between localities are the alcohol content and sweetness, which might be in accordance with the practices used for obtaining the final product. Colonche is produced mainly for direct consumption and secondarily used as a commercialized good to be sold for economic gains contributing to the general subsistence of households. The preparation methods are passed on by close relatives, mainly women. Conclusions: Traditional producers of colonche use several techniques in order to reach specific sensorial attributes of the final product. The production of colonche has been upheld for generations but fermentation practices are divided into two categories; (1) the use of an inoculum (either from pulque, or from colonche saved from the previous year), and (2) the use of ""spontaneous"" fermentation. The differing practices documented reflect the contrasts in the preferred sensorial attributes between regions. Colonche is a beverage that contributes to regional pride, cultural identity and is appreciated because of its gastronomic value. Here, we argue that there is a clear relationship of human knowledge in the management of microbiota composition in order to produce this beverage. In-depth documentation of the microbiota composition and dynamics in colonche will contribute to the preservation of this valuable biocultural heritage.",20200110,"Ojeda-Linares, César I. ; Vallejo, Mariana ; Lappe-Oliveras, Patricia ; Casas, Alejandro",Article,Academic Journal,1/10/2020,true,Journal of Ethnobiology & Ethnomedicine,"Beverages ; Microbiota ; Factor analysis ; Fermentation ; Fruit ; Fruit juices ; Interviewing ; Research methodology ; Medicinal plants ; Participant observation ; Research funding ; Statistical sampling ; Plant extracts ; Field research ; Mexico ; Fruit and Vegetable Markets ; Fresh Fruit and Vegetable Merchant Wholesalers ; Crop Harvesting, Primarily by Machine ; Support activities for crop production ; Other Food Crops Grown Under Cover ; Fresh fruit and vegetable merchant wholesalers ; Fruit and Vegetable Canning ; Other specialty-line food merchant wholesalers ; Marketing Research and Public Opinion Polling",JOUR,,,1746-4269,,,,,eng,BioMed Central,12,1,12,16,1,10.1186/s13002-019-0351-y,,38N4,,https://research.ebsco.com/plink/909310b9-1d8a-3be5-b1cb-7a740256afc6,,,,
Academic Search Ultimate,asn,133089621,"Cultural, economic, and ecological factors influencing management of wild plants and mushrooms interchanged in Purépecha markets of Mexico.","Background: Traditional markets outstandingly contribute to conservation of biocultural diversity, social relations, and cultural values. These markets reflect life strategies and forms people of a region interact with their biodiversity and territories, as well as traditional ecological knowledge and management practices. To understand the factors motivating plant and mushroom management, we analyzed the resources cultural and economic values, their role in people's subsistence, and the relation of these values with the resources spatial and temporal availability. Our study based on the supposition that traditional markets are settings of interchange of resources with the highest importance for people's life in a region. Also, that the cultural, economic, and ecological factors influence values of the resources, and the demand on them determine pressures on the most valuable resources which, when scarce, motivate management innovation, otherwise become extinct. Methods: We documented cultural, economic, and ecological aspects, as well as management techniques of wild and weedy plants and mushrooms interchanged in three traditional markets of the Pátzcuaro Lake region, in central-western Mexico. For doing that, from February 2015 to March 2018, we conducted 175 visits to markets and 89 semi-structured interviews to producers, gatherers, and sellers of wild and weedy plants and mushrooms. Based on participant observation and interviews, we identified variables related to culture, economic, and ecological aspects, as well as management regimes of resources and management systems, which were documented and used as indicators for quantitative analyses. Through principal components analyses (PCA), we determined the indexes of cultural and economic importance (ICEI), management intensity (IMI), and ecological risk (IR) of the resources studied. For conducting that, we classified plant and mushroom species according to their cultural, economic, ecological, and technological indicators, respectively. The score of the first principal component was considered as the index for each group of variables, respectively. To identify relations between cultural importance and risk, we performed linear regression analyses between ICEI and IR indexes. Results: We recorded 57 species of wild and weedy plants used as food, medicine, and ornamental, and 17 species of edible mushrooms. The variables with the highest weight in the ICEI are related to the need of a resource according to people, its recognizing, the number of communities and markets offering it in markets, its explicit preference expressed by people, the effort invested in obtaining it, and the form it is interchanged. Gathering is practiced in all mushrooms and wild and weedy plants from forests and agricultural areas; 11 species in addition receive 1 or more forms of management (enhancing, selective let standing, propagation through seeds or vegetative parts, transplantation, and/or protection). The management intensity and complexity are explained by variables related to management practices and systems. Plants receiving selective management have the higher management intensity. Silvicultural management (in situ management in forests) was recorded in all species of mushrooms, as well as in more than 80% of medicinal, ceremonial and ornamental plants, and in more than 50% of the edible plants. In agricultural systems, people manage more than 90% of the edible plants recorded to be under a management regime, 25% of the managed medicinal plants, and 30.7% of the managed ceremonial and ornamental plants. In homegardens, people manage 41.6% of the medicinal plants recorded and 26.6% of the edible plants, to have them available near home. Nearly 63% of the species interchanged in the markets studied are gathered in forests without any other management form. In this group are included all mushroom species, 61.5% of ceremonial/ornamental plants, 50% of medicinal, and 33.3% of edible plants. The linear regression between ICEI an IER is significantly negative for edible species with high management intensity R<sup>2</sup> = 0.505 (p = 0.0316), because of their management. But in medicinal and ornamental plants, the risk is high if the cultural importance increases, even when management practices like transplanting and propagation in homegardens are carried out. Conclusions: Traditional markets are settings of interchange of products, knowledge, and experiences, where the ongoing factors and processes motivating management innovation can be identified and documented. This approach allows documenting processes occurring at regional level but would be benefited from deeper studies at local level in communities.",20181120,"Farfán-Heredia, Berenice ; Casas, Alejandro ; Rangel-Landa, Selene",Article,Academic Journal,11/20/2018,true,Journal of Ethnobiology & Ethnomedicine,Agriculture ; Medicinal plants ; Biotic communities ; Conservation of natural resources ; Culture ; Factor analysis ; Interviewing ; Marketing ; Research methodology ; Motivation (Psychology) ; Edible mushrooms ; Edible plants ; Public health ; Regression analysis ; Traditional medicine ; Plant extracts ; Cultural values ; Quantitative research ; Socioeconomic factors ; Descriptive statistics ; Mexico ; Administration of Conservation Programs ; Marketing Consulting Services ; Mushroom Production ; Health and Welfare Funds,JOUR,,,1746-4269,,,,,eng,BioMed Central,N.PAG,N.PAG,,14,1,10.1186/s13002-018-0269-9,,38N4,,https://research.ebsco.com/plink/e10777ff-2331-31af-b440-e5358d17a0a4,,,,
Academic Search Ultimate,asn,17329460,Geochemical distribution pattern of sediments in an active continental shelf in Southern Mexico,"Abstract: The continental shelf in the Southern Mexican Pacific is narrow as a consequence of very active tectonics. However, the Punta Maldonado area in Guerrero State, Mexico, presents a widening of the shelf known as Tartar Shoal whose western limit is given by the Quetzala submarine canyon. Sediment samples from the continental shelf were collected in order to analyse major elements, organic matter, carbonates, magnetic susceptibility, and the textural properties of the sea-floor of the continental shelf. The proportion of SiO<sub>2</sub> in shelf sediments is markedly lower than in fluvial sands of the adjacent emerged lands as a result of the dilution effect produced by the enrichment in biogenic carbonates in the Tartar Shoal area. Across Tartar Shoal there are small intermittent streams, while in the west and east are two big rivers, the Quetzala and the Rio Verde, respectively, and all these supply terrigenous material to the study area. Through PCA, three groups of terrigenous nature are established: (1) SiO<sub>2</sub> and K<sub>2</sub>O, (2) Al<sub>2</sub>O<sub>3</sub> and TiO<sub>2</sub>, (3) Fe<sub>2</sub>O<sub>3</sub>, mud, organic matter and magnetic susceptibility. A group of biogenic nature is constituted by CaCO<sub>3</sub>, CaO and P<sub>2</sub>O<sub>5</sub>. Use of the ratios Al<sub>2</sub>O<sub>3</sub>:CaCO<sub>3</sub> and SiO<sub>2</sub>:CaCO<sub>3</sub> allows the identification of terrigenous and biogenous domains.",20050301,"Carranza-Edwards, Arturo ; Rosales-Hoz, Leticia ; Urrutia-Fucugauchi, Jaime ; Sandoval-Fortanel, Alejandra ; Morales de la Garza, Eduardo ; Lozano Santa Cruz, Rufino",Article,Academic Journal,Mar2005,true,Continental Shelf Research,Continental shelf ; Territorial waters ; Earth sciences ; Organic compounds ; Pacific Ocean ; Mexico ; Other basic organic chemical manufacturing ; All Other Basic Organic Chemical Manufacturing,JOUR,,,0278-4343,,,,,eng,Elsevier B.V.,537,521,17,25,4,10.1016/j.csr.2004.09.013,,JC7,,https://research.ebsco.com/plink/84bd5b70-ebed-3477-81a2-87346eb27ac4,,,,
Academic Search Ultimate,asn,92886975,"Spatial Variability of the Hurst Exponent for the Daily Scale Rainfall Series in the State of Zacatecas, Mexico.","The structural pattern of rainfall data exhibits random fluctuations over time and space. Utilizing concepts of fractal theory, it has been possible to identify characteristics of rainfall data beyond simple statistical indicators of their randomness. The objective of this research was to identify the spatial variation of the Hurst exponent, extracted through standard wavelet techniques from time series of daily rainfall data in the state of Zacatecas, Mexico. The Hurst exponent was extracted for 26 locations using the reference techniques for auto-affine traces-in particular, the wavelets method. Results have shown that the Hurst exponents of rainfall time series are negatively influenced by altitude; thus, stations located at higher altitudes were characterized by Hurst exponents indicating more nonpersistent behavior. The trends among geographical variables (west longitude and latitude) and climatic parameters (annual rainfall and number of rainy days) and their relationship with the Hurst exponent were also analyzed.",20131201,"Valle, M. A. Velásquez ; García, G. Medina ; Cohen, Ignacio Sánchez ; Klaudia Oleschko, L. ; Ruiz Corral, J. A. ; Korvin, Gabor",Article,Academic Journal,Dec2013,true,Journal of Applied Meteorology & Climatology,Rainfall anomalies ; Spatial variation ; Wavelets (Mathematics) ; Time series analysis ; Rainfall ; Altitudes ; Mathematical variables ; Latitude ; Mexico,JOUR,,,1558-8424,,,,,eng,American Meteorological Society,2780,2771,10,52,12,10.1175/JAMC-D-13-0136.1,,22R7,,https://research.ebsco.com/plink/3802d732-2228-34f3-940e-0bc4ddf0d250,,,,
Academic Search Ultimate,asn,156941618,Natural ecosystem heterogeneity diversity and functioning of nematode communities in a semi-desert ecosystem in Mexico.,"The aim of the present study was to detect the heterogeneity of diversity in seasonal, site, tree species, and soil properties' effects on structural and functional attributes of the nematode communities under smooth mesquite, Prosopis laevigata and palo brea, Cericidium praecox within the Biosphere Reserve Valle de Tehuacán-Cuicatlán. Soils under biological crusts and neighbouring exposed sites were surveyed during the dry and wet seasons of 2018. Assessment of effective diversity (D) and diversity weighted by metabolic footprint (DMFP) were calculated as they reflect taxonomic and functional diversity. Trophic group abundances and both indices showed marked seasonal variation. Soil water content and bulk density were the only physicochemical variables that showed seasonal variation whereas bulk density, total C and total N content showed significant variation between soil under biological crusts and exposed sites. DMFP seemed to have a better chance of explaining a relationship with physicochemical heterogeneity than D as shown by PCA analyses. This places DMFP as an index for measuring diversity related to ecosystem services and therefore should be used as a tool for biological integrity assessments at the soil level and a support aid in stewardship soil management policies. • Heterogeneity of desert nematode communities is related to seasonal change. • Seasonal water content determines changes in soil nematode functional diversity. • Seasonal changes were better represented by metabolic footprint indices. • Metabolic weighted diversity should be a tool for biological integrity surveys.",20220801,"Mejía-Madrid, Hugo H. ; Sánchez-Moreno, Sara",Article,Academic Journal,Aug2022,true,Applied Soil Ecology,"Crust vegetation ; Ecosystem services ; Soil moisture ; Biosphere reserves ; Heterogeneity ; Soil management ; Mexico ; Soil Preparation, Planting, and Cultivating",JOUR,,,0929-1393,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,176,,10.1016/j.apsoil.2022.104477,,3HS,,https://research.ebsco.com/plink/4d3d847e-ad4b-3cf9-9b0e-fc27fdf3ae9c,,,,
