longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
Academic Search Ultimate,asn,136240146,The topology of look-compute-move robot wait-free algorithms with hard termination.,"Look-Compute-Move models for a set of autonomous robots have been thoroughly studied for over two decades. We consider the standard Asynchronous Luminous Robots (ALR) model, where robots are located in a graph G. Each robot, repeatedly Looks at its surroundings and obtains a snapshot containing the vertices of G, where all robots are located; based on this snapshot, each robot Computes a vertex (adjacent to its current position), and then Moves to it. Robots have visible lights, allowing them to communicate more information than only its actual position, and they move asynchronously, meaning that each one runs at its own arbitrary speed. We are also interested in a case which has been barely explored: the robots need not all be present initially, they might appear asynchronously. We call this the Extended Asynchronous Appearing Luminous Robots (EALR) model. A central problem in the mobile robots area is bringing the robots to the same vertex. We study several versions of this problem, where the robots move towards the same (or close to each other) vertices. And we concentrate on the requirement that each robot executes a finite number of Look-Compute-Move cycles, independently of the interleaving of other robot's cycles, and then stops. Our main result is direct connections between the (ALR and) EALR model and the asynchronous wait-free multiprocess read/write shared memory (WFSM) model. General robot tasks in a graph are also provided, which include several version of gathering. Finally, using the connection between the EALR model and the WFSM model, a combinatorial topology characterization for the solvable robot tasks is presented.",20190601,"Alcántara, Manuel ; Castañeda, Armando ; Flores-Peñaloza, David ; Rajsbaum, Sergio",Article,Academic Journal,Jun2019,true,Distributed Computing,Autonomous robots ; Mobile robots ; Robots ; Topology ; Algorithms,JOUR,,,0178-2770,,,,,eng,Springer Nature,255,235,21,32,3,10.1007/s00446-018-0345-3,,NP4,,https://research.ebsco.com/plink/d2ebe53e-cbee-301e-a5a9-ebf65b62ebb6,,,,
Academic Search Ultimate,asn,74492388,Token Graphs.,"For a graph G and integer k ≥ 1, we define the token graph F( G) to be the graph with vertex set all k-subsets of V( G), where two vertices are adjacent in F( G) whenever their symmetric difference is a pair of adjacent vertices in G. Thus vertices of F( G) correspond to configurations of k indistinguishable tokens placed at distinct vertices of G, where two configurations are adjacent whenever one configuration can be reached from the other by moving one token along an edge from its current position to an unoccupied vertex. This paper introduces token graphs and studies some of their properties including: connectivity, diameter, cliques, chromatic number, Hamiltonian paths, and Cartesian products of token graphs.",20120501,"Fabila-Monroy, Ruy ; Flores-Peñaloza, David ; Huemer, Clemens ; Hurtado, Ferran ; Urrutia, Jorge ; Wood, David",Article,Academic Journal,May2012,true,Graphs & Combinatorics,Graph theory ; Natural numbers ; Paths & cycles in graph theory ; Set theory ; Graph connectivity ; Diameter ; Hamiltonian graph theory,JOUR,,,0911-0119,,,,,eng,Springer Nature,380,365,16,28,3,10.1007/s00373-011-1055-9,,NQ2,,https://research.ebsco.com/plink/1a6a459b-3738-322b-809d-859cbd3f266e,,,,
Academic Search Ultimate,asn,12552215,Condition-based consensus solvability: a hierarchy of conditions and efficient protocols.,"The condition-based approach for consensus solvability consists of identifying sets of input vectors, called conditions, for which there exists an asynchronous protocol solving consensus despite the occurrence of up to f process crashes. This paper investigates $\mathcal{C}_f$ , the largest set of conditions which allow us to solve the consensus problem in an asynchronous shared memory system.The first part of the paper shows that $\mathcal{C}_f$ is made up of a hierarchy of classes of conditions, $\mathcal{C}^{[d]}_f$ where d is a parameter (called degree of the condition), starting with $d = \min(n-f,\allowbreak f)$ and ending with d = 0, where $\mathcal{C}^{[0]}_f = \mathcal{C}_f$ . We prove that each one is strictly contained in the previous one: $\mathcal{C}^{[d]}_f\subset\mathcal{C}^{[d-1]}_f$ . Various properties of the hierarchy are also derived. It is shown that a class can be characterized in two equivalent but complementary ways: one is convenient for designing protocols while the other is for analyzing the class properties. The paper also defines a linear family of conditions that can be used to derive many specific conditions. In particular, for each d, two natural conditions are presented.The second part of the paper is devoted to the design of efficient condition-based protocols. A generic condition-based protocol is presented. This protocol can be instantiated with any condition C, $C\in\mathcal{C}^{[d]}_f$ , and requires at most $(2n + 1) \lceil{\log_2(\lceil{(f-d)/2\rceil} + 1)}$ shared memory read/write operations per process in the synchronization part of the protocol. Thus, the value ( f- d) represents the ? difficulty? of the class $\mathcal{C}^{[d]}_f$ . An improvement of the protocol for the conditions in $\mathcal{C}^{[0]}_f$ is also presented.",20040201,Achour Mostéfaoui ; Sergio Rajsbaum ; Michel Raynal ; Matthieu Roy,Article,Academic Journal,Feb2004,true,Distributed Computing,"Synchronization ; Mathematical optimization ; Mathematical analysis ; Operations research ; Process, Physical Distribution, and Logistics Consulting Services",JOUR,,,0178-2770,,,,,eng,Springer Nature,20,1,20,17,1,,,NP4,,https://research.ebsco.com/plink/8f01f31a-2aac-3bbd-8e70-4d2dd8d493da,,,,
Academic Search Ultimate,asn,57201130,On the Chromatic Number of some Flip Graphs.,"This paper studies the chromatic number of the following four flip graphs (under suitable definitions of a flip): • the flip graph of perfect matchings of a complete graph of even order, • the flip graph of triangulations of a convex polygon (the associahedron), • the flip graph of non-crossing Hamiltonian paths of a set of points in convex position, and • the flip graph of triangles in a convex point set. We give tight bounds for the latter two cases and upper bounds for the first two.",20091201,"Fabila-Monroy, Ruy ; Flores-Peñaloza, David ; Huemer, Clemens ; Hurtado, Ferran ; Urrutia, Jorge ; Wood, David R.",Article,Academic Journal,2009,true,Discrete Mathematics & Theoretical Computer Science (DMTCS),Graph theory ; Hamiltonian systems ; Triangulation ; Polygons ; Complete graphs,JOUR,,,1365-8050,,,,,eng,Discrete Mathematics & Theoretical Computer Science (DMTCS),56,47,10,11,2,,,OMY,,https://research.ebsco.com/plink/0053df3b-356c-353a-b9fb-475661840250,,,,
Academic Search Ultimate,asn,60988980,Edge-Removal and Non-Crossing Configurations in Geometric Graphs.,"A geometric graph is a graph G = (V,E) drawn in the plane, such that V is a point set in general position and E is a set of straight-line segments whose endpoints belong to V . We study the following extremal problem for geometric graphs: How many arbitrary edges can be removed from a complete geometric graph with n vertices such that the remaining graph still contains a certain non-crossing subgraph. The non-crossing subgraphs that we consider are perfect matchings, subtrees of a given size, and triangulations. In each case, we obtain tight bounds on the maximum number of removable edges.",20100101,"Aichholzer, Oswin ; Cabello, Sergio ; Fabila-Monroy, Ruy ; Flores-Peñaloza, David ; Hackl, Thomas ; Huemer, Clemens ; Hurtado, Ferran ; Wood, David R.",Article,Academic Journal,Jan2010,true,Discrete Mathematics & Theoretical Computer Science (DMTCS),Graph theory ; Combinatorics ; Spanning trees ; Tree graphs ; Geometry,JOUR,,,1365-8050,,,,,eng,Discrete Mathematics & Theoretical Computer Science (DMTCS),86,75,12,12,1,,,OMY,,https://research.ebsco.com/plink/e10a5b6b-e748-33a0-b963-a0badc3094ad,,,,
Academic Search Ultimate,asn,125805873,Modem illumination of monotone polygons.,"We study a generalization of the classical problem of the illumination of polygons. Instead of modeling a light source we model a wireless device whose radio signal can penetrate a given number k of walls. We call these objects k -modems and study the minimum number of k -modems sufficient and sometimes necessary to illuminate monotone and monotone orthogonal polygons. We show that every monotone polygon with n vertices can be illuminated with ⌈ n − 2 2 k + 3 ⌉ k -modems. In addition, we exhibit examples of monotone polygons requiring at least ⌈ n − 2 2 k + 3 ⌉ k -modems to be illuminated. For monotone orthogonal polygons with n vertices we show that for k = 1 and for even k , every such polygon can be illuminated with ⌈ n − 2 2 k + 4 ⌉ k -modems, while for odd k ≥ 3 , ⌈ n − 2 2 k + 6 ⌉ k -modems are always sufficient. Further, by presenting according examples of monotone orthogonal polygons, we show that both bounds are tight.",20180301,"Aichholzer, Oswin ; Fabila-Monroy, Ruy ; Flores-Peñaloza, David ; Hackl, Thomas ; Urrutia, Jorge ; Vogtenhuber, Birgit",Article,Academic Journal,Mar2018,true,Computational Geometry,"Polygons ; Generalization ; Wireless communications ; Mathematical bounds ; Modems ; Semiconductor and other electronic component manufacturing ; Electronic components, navigational and communications equipment and supplies merchant wholesalers ; Other Electronic Parts and Equipment Merchant Wholesalers ; Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing ; Wireless Telecommunications Carriers (except Satellite)",JOUR,,,0925-7721,,,,,eng,Elsevier B.V.,118,101,18,68,,10.1016/j.comgeo.2017.05.010,,3JO,,https://research.ebsco.com/plink/e568747a-8c90-3c74-b81e-4e76c84fa2b5,,,,
Academic Search Ultimate,asn,101577852,EMBEDDING THE DOUBLE CIRCLE IN A SQUARE GRID OF MINIMUM SIZE.,"In 1926, Jarník investigated the drawing of a curve that visits a large number of lattice points relative to its curvature. To this end, he constructed a convex n-gon with vertices on a 'small' integer grid [0, c.n<sup>3/2</sup>]<sup>2</sup>, where c > 0 is a constant, and proved that this grid size is optimal up to a constant factor. We consider a similar construction for the double circle of 2 n points and prove that it can be embedded in a grid of the same asymptotic size. Moreover, we give an O(n)-time algorithm to generate the corresponding point set.",20140901,"BEREG, S. ; FABILA-MONROY, R. ; FLORES-PEÑALOZA, D. ; LOPEZ, M. A. ; PÉREZ-LANTERO, P.",Article,Academic Journal,Sep2014,true,International Journal of Computational Geometry & Applications,Embeddings (Mathematics) ; Lattice theory ; Polygons ; Mathematical constants ; Algorithms ; Paths & cycles in graph theory,JOUR,,,0218-1959,,,,,eng,World Scientific Publishing Company,258,247,12,24,3,10.1142/S0218195914600061,,8JP,,https://research.ebsco.com/plink/1b912a03-6aa7-3677-a8b4-cb3cca06ca98,,,,
Academic Search Ultimate,asn,25369195,Paths of Trains with Two-Wheeled Cars.,"AbstractÂ Â In this paper we study the following simple and mind-puzzling problem: Can a model train car, which runs along an intricate track, complete a full cycle around it? In our paper a track will be represented by a simple closed curve, and the cars of our model train by segments whose endpoints lie on the curve.",20070706,Jorge Urrutia,Article,Academic Journal,Jul2007,true,Discrete & Computational Geometry,Model cars (Toys) ; Railroad cars ; Rolling stock ; Curve rectification & quadrature ; Automobile Manufacturing ; Railroad Rolling Stock Manufacturing,JOUR,,,0179-5376,,,,,eng,Springer Nature,110,99,12,38,1,,,O58,,https://research.ebsco.com/plink/2ffa42e4-3874-3308-aeda-ca7c06d9bda0,,,,
Academic Search Ultimate,asn,43175509,Empty monochromatic triangles,"Abstract: We consider a variation of a problem stated by Erdös and Guy in 1973 about the number of convex k-gons determined by any set S of n points in the plane. In our setting the points of S are colored and we say that a spanned polygon is monochromatic if all its points are colored with the same color. As a main result we show that any bi-colored set of n points in in general position determines a super-linear number of empty monochromatic triangles, namely .",20091101,"Aichholzer, Oswin ; Fabila-Monroy, Ruy ; Flores-Peñaloza, David ; Hackl, Thomas ; Huemer, Clemens ; Urrutia, Jorge",Article,Academic Journal,Nov2009,true,Computational Geometry,Triangles ; Plane geometry ; Point set theory ; Polygons ; Mathematical optimization,JOUR,,,0925-7721,,,,,eng,Elsevier B.V.,938,934,5,42,9,10.1016/j.comgeo.2009.04.002,,3JO,,https://research.ebsco.com/plink/b8e5914d-4ae5-3732-aa13-a2a12c48cfec,,,,
Academic Search Ultimate,asn,57533385,On crossing numbers of geometric proximity graphs,"Abstract: Let P be a set of n points in the plane. A geometric proximity graph on P is a graph where two points are connected by a straight-line segment if they satisfy some prescribed proximity rule. We consider four classes of higher order proximity graphs, namely, the k-nearest neighbor graph, the k-relative neighborhood graph, the k-Gabriel graph and the k-Delaunay graph. For ( in the case of the k-nearest neighbor graph) these graphs are plane, but for higher values of k in general they contain crossings. In this paper, we provide lower and upper bounds on their minimum and maximum number of crossings. We give general bounds and we also study particular cases that are especially interesting from the viewpoint of applications. These cases include the 1-Delaunay graph and the k-nearest neighbor graph for small values of k.",20110501,"Ábrego, Bernardo M. ; Fabila-Monroy, Ruy ; Fernández-Merchant, Silvia ; Flores-Peñaloza, David ; Hurtado, Ferran ; Sacristán, Vera ; Saumell, Maria",Article,Academic Journal,May2011,true,Computational Geometry,Graph connectivity ; Geometric analysis ; Proximity spaces ; Plane geometry ; Knot theory ; Triangulation ; Nearest neighbor analysis (Statistics),JOUR,,,0925-7721,,,,,eng,Elsevier B.V.,233,216,18,44,4,10.1016/j.comgeo.2010.11.003,,3JO,,https://research.ebsco.com/plink/5de7eece-99c1-3bf1-a680-84c2dfbb5a68,,,,
