Title,Author,Author affiliation,Source,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"Control and monocular visual SLAM of nonholonomic mobile robots","Trujillo, J.-C. (1, 3); Munguia, R. (1); Albarrán, J.-C. (2); Arteaga, M. (2) ","(1) Universidad de Guadalajara Centro Universitario de Ciencias Exactas e Ingenieria, Department of Computer Science, Mexico (2) Universidad Nacional Autonoma de Mexico, Department of Control and Robotics, Mexico (3) KION Group, Department of Robotic Systems Development, Mexico ","European Journal of Control","Elsevier B.V., Netherlands","v 82","101171","March 2025","","","","1435-5671","","","10.1016/j.ejcon.2024.101171","","","","Achieving autonomy in mobile robotics necessitates fundamental capabilities such as trajectory tracking, self-localization, and environmental perception. GPS is the conventional choice for establishing the position of a mobile robot in outdoor and open settings; however, it lacks reliability in diverse environments, such as cluttered indoor spaces. In this paper, we propose a nonlinear kinematic control scheme for trajectory tracking, alongside a Monocular Visual SLAM (Simultaneous Localization and Mapping) method for nonholonomic wheeled mobile robots operating in GPS-denied environments. The proposed SLAM system incorporates heading and range measurements. We conduct a nonlinear observability analysis to demonstrate that the system's observability is enhanced by integrating these measurements. The kinematic controller is formulated using the Lyapunov direct method, and the stability of the control law is verified through Lyapunov theory. Extensive computer simulations demonstrate that the proposed systems achieve good performance. All rights reserved Elsevier.","46",,"Global Positioning System - Lyapunov methods - mobile robots - position control - robot vision - SLAM (robots)","cluttered indoor spaces - control law - conventional choice - diverse environments - environmental perception - fundamental capabilities - GPS-denied environments - kinematic controller - mobile robot - mobile robotics - monocular visual SLAM - Monocular Visual SLAM - nonholonomic mobile robots - nonholonomic wheeled mobile robots - nonlinear kinematic control scheme - nonlinear observability analysis - open settings - outdoor settings - SLAM system - trajectory tracking","E2230 Robot and manipulator mechanics - C3120C Spatial variables control - C3390C Mobile robots","G05D3/00 - G05D1/00","Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Modeling Higher-Order Interactions in Sparse and Heavy-Tailed Neural Population Activity","Rodríguez-Domínguez, U. (1); Shimazaki, H. (2, 3) ","(1) Universidad Nacional Autonoma de Mexico, Mexico (2) Kyoto University, Graduate School of Informatics, Japan (3) Hokkaido University, Center for Human Nature, Japan ","Neural Computation","MIT Press, USA","v 37, n 11","2011-78","10 Oct. 2025","","","","1530-888X","","","10.1162/neco.a.35","","","","Neurons process sensory stimuli efficiently, showing sparse yet highly variable ensemble spiking activity involving structured higher-order interactions. Notably, while neural populations are mostly silent, they occasionally exhibit highly synchronous activity, resulting in sparse and heavy-tailed spike-count distributions. However, its mechanistic origin—specifically, what types of nonlinear properties in individual neurons induce such population-level patterns—remains unclear. In this study, we derive sufficient conditions under which the joint activity of homogeneous binary neurons generates sparse and widespread population firing rate distributions in infinitely large networks. We then propose a subclass of exponential family distributions that satisfy this condition. This class incorporates structured higher-order interactions with alternating signs and shrinking magnitudes, along with a base-measure function that offsets distributional concentration, giving rise to parameter-dependent sparsity and heavy-tailed population firing rate distributions. Analysis of recurrent neural networks that recapitulate these distributions reveals that individual neurons possess threshold-like nonlinearity, followed by supralinear activation that jointly facilitates sparse and synchronous population activity. These nonlinear features resemble those in modern Hopfield networks, suggesting a connection between widespread population activity and the network's memory capacity. The theory establishes sparse and heavy-tailed distributions for binary patterns, forming a foundation for developing energy-efficient spike-based learning machines.","74",,"ensemble learning - exponential distribution - Hopfield neural nets","base-measure function - distributional concentration - energy-efficient spike-based learning machines - exponential family distributions - heavy-tailed neural population activity - heavy-tailed population firing rate distributions - heavy-tailed spike-count distributions - higher-order interaction modelling - homogeneous binary neurons - infinitely large networks - modern Hopfield networks - nonlinear properties - parameter-dependent sparsity - population-level patterns - recurrent neural networks - sensory stimuli - sparse neural population activity - structured higher-order interactions - sufficient conditions - supralinear activation - synchronous population activity - threshold-like nonlinearity - variable ensemble spiking activity","C1140Z Other topics in statistics - C1230L Learning in AI (theory) - C1230D Neural nets (theory)","G06N20/00 - G06N20/20","Bibliography (BIB); Theoretical or Mathematical (THR)",,,"All Open Access, Hybrid Gold","Inspec","Copyright 2026, The Institution of Engineering and Technology","Engineering Village"
"Web Interface Design for the Intelligent Management of a Differential Robot Applied to IoT Systems","Ibarra-Yanez, M.A. (1); Lopez-Mera, G.H. (1); Cruz-Morales, R.D. (1); Luna-Gomez, A.A. (1) ","(1) Universidad Nacional Autonoma de Mexico, Facultad de Estudios Superiores Cuautitlan, Mexico ","2025 XXVII Robotics Mexican Congress (COMRob)","IEEE, Piscataway, NJ, USA","","68-73","2025","","","","","","979-8-3315-7591-5","10.1109/COMRob68109.2025.11264804","2025 XXVII Robotics Mexican Congress (COMRob)","2025","Torreon, Mexico","Human-robot interaction is a core pillar in mobile robotics for efficient and diverse product development. This paper provides an advanced web-based control interface for a differential robot which allows full management and real-time monitoring of its behavior. It operates through an ESP32 microcontroller where both sides communicate with a web client using the WebSocket protocol. There are three operating modes: manual by sliders, autonomous navigation toward distinct (X, Y) coordinates, and a pioneering trajectory-tracking mode that lets the operator generate a path directly on a digital canvas. Also, the user interface has a monitoring panel with real-time information on such things as motor RPM, position, and robot orientation, all supported by dynamic charts. Differential kinematics and sensor fusion enable hardware and software integration by merging encoder-based odometry with an IMU for more precise positioning. The final outcome is a powerful, intuitive, and flexible platform which serves as a solid basis for future applications in autonomous exploration, logistics, and educational environments.",,,"control engineering computing - human-robot interaction - Internet - Internet of Things - microcontrollers - mobile robots - path planning - position control - robot vision - sensor fusion - user interfaces","advanced web-based control interface - autonomous navigation - core pillar - differential robot applied - digital canvas - diverse product development - efficient product development - encoder-based odometry - ESP32 microcontroller - human-robot interaction - intelligent management - IoT systems - mobile robotics - monitoring panel - operating modes - pioneering trajectory-tracking mode - real-time information - real-time monitoring - robot orientation - sensor fusion - user interface - web client - web interface design - WebSocket protocol","C3120C Spatial variables control - C3390 Robotics - C3390C Mobile robots - C6180R Human-robot interaction - C6180 User interfaces - C7210N Information networks - C7420 Control engineering computing","B25J13/00 - G05B15/00 - G05D3/00 - G05D1/00","Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Neuron configuration enhances the synchronization dynamics in ring networks with heterogeneous firing patterns","Farrera-Megchun, A. (1); Padilla-Longoria, P. (2); Santos, G.J.E. (3); Espinal-Enriquez, J. (4); Bernal-Jaquez, R. (5) ","(1) Universidad Autonoma Metropolitana-Cuajimalpa, Posgrado en Ciencias Naturales e Ingenieria, Av. Vasco de Quiroga 4871, Santa Fe Cuajimalpa, Mexico (2) Universidad Nacional Autonoma de Mexico, Departamento de Matematicas y Mecanica, Mexico (3) Universidad Autonoma de Chiapas, Facultad de Ciencias en Fisica y Matematicas, Chiapas, Mexico (4) National Institute of Genomic Medicine, Computational Genomics Division, Mexico (5) Universidad Autonoma Metropolitana-Cuajimalpa, Departamento de Matematicas Aplicadas y Sistemas, Av. Vasco de Quiroga 4871, Santa Fe Cuajimalpa, Santa Fe Cuajimalpa, Mexico ","Chaos, Solitons & Fractals","Elsevier B.V., Netherlands","v 187","115461","2024","","","","1873-2887","","","10.1016/j.chaos.2024.115461","","","","Neuron synchronization is fundamental for brain dynamics. While several efforts have been made to understand neuron coupling between tonic and bursting neurons, the position of neurons in a neural network and its relationship with synchronization is not fully understood. This work investigates the impact of neuronal heterogeneity on firing pattern transitions and synchronization in networks comprising tonic and bursting neurons. Using the Huber-Braun model, we explore two configurations: one with neurons grouped closely and another with maximal separation. Our findings reveal that while increased coupling strength generally promotes synchronization, the specific mix of neuron types and their spatial configuration crucially modulate both synchronization and firing pattern transitions, leading to phenomena such as cluster synchronization and global phase synchrony. The results indicate that the configuration with maximal separation and with mostly bursting neurons synchronizes more quickly. Firing pattern transitions are also configuration-dependent. For example, in the network with half tonic and half bursting, the configuration grouped closely undergoes diverse complex dynamics transition in the synchronized state, while the other configuration synchronize with chaotic bursting dynamics. Behaviors like cluster synchronization are observed in this network. The study underscores the significance of considering neuronal heterogeneity in understanding network dynamics. All rights reserved Elsevier.","71",,"brain - chaos - neural nets - neurophysiology - synchronisation","brain dynamics - chaotic bursting dynamics - cluster synchronization - configuration-dependent - diverse complex dynamics transition - firing pattern transitions - half bursting - half tonic bursting - heterogeneous firing patterns - maximal separation - network dynamics - neural network - neuron configuration - neuron coupling - neuron synchronization - neuron types - neuronal heterogeneity - neurons synchronizes - ring networks - spatial configuration - synchronization dynamics - synchronized state - tonic bursting neurons","A0545 Theory and models of chaotic systems - A0547 Nonlinear dynamical systems and bifurcations - C1290L Systems theory applications in biology and medicine - B7510D Bioelectric signals - A8730E External and internal data communications, nerve conduction and synaptic transmission - A8730 Biophysics of neurophysiological processes - A8730C Electrical activity in neurophysiological processes","","Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Human-robot physical interaction system as a tool for neurocognitive stimulation in children with ADHD in Mexico","Aparicio-Juarez, J. (1); Dominguez-Ramirez, O.A. (1); Sepulveda-Cervantes, G. (2); Garcia-Blancas, J. (1); Ramirez-Zamora, J.D. (1); Escotto-Cordova, E.A. (3); Reyes-Hernandez, I. (4) ","(1) Autonomous University of the State of Hidalgo, Mexico (2) National Polytechnic Institute, Center for Technological Innovation and Development in Computing, Mexico (3) National Autonomous University of Mexico, Faculty of Higher Studies Zaragoza, Mexico (4) Autonomous University of the State of Hidalgo, Pachuca, Mexico ","2024 XXVI Robotics Mexican Congress (COMRob)","IEEE, Piscataway, NJ, USA","","39-46","2024","","","","","","979-8-3315-3339-7","10.1109/COMRob64055.2024.10777441","2024 XXVI Robotics Mexican Congress (COMRob)","2024","Torreon, Mexico","This research work promotes the use of an interactive virtual environment, with the purpose of strengthening neurocognitive stimulation in children with ADHD (Attention Deficit Hyperactivity Disorder), through a human-robot physical interaction system (HRpI); as well as establishing the conditions that allow the application of supervised and unsupervised machine learning techniques that favor diagnosis. Clinical evaluation strategies in care and treatment centers for neurodivergent children are based on the Diagnostic and Statistical Manual of Mental Disorders (DSM-5); however, not using integrated technological platforms with biofeedback and neurophysiological stimulation associated with each case study, which contributes to the improvement of the clinical procedure. The proposed HRpI system is constituted by a haptic device with the human operator (patient) in the control loop. The movement instructions are designed based on a clinical protocol that evaluates hand-eye coordination, based on virtual mazes to navigate with one or two upper limbs. The platform is configured with strategies: i) passive haptic guidance and ii) active haptic exploration. In the first case, the robot guides the human in the optimal solution, correcting the interactive forces that condition the presence of disturbances, and shape the required energy; and in the second case, the human voluntarily solves the maze, which implies that the velocity and instantaneous position are variable. Kinesthetic force feedback is based on a viscoelasticity model (spring-damper system) in both haptic interaction strategies. During the development of the task, the instrumentation of brain waves are correlated with the state of the robotic system (position, velocity, energy and instantaneous errors); all this for the evaluation of performance metrics that contribute to the diagnosis. The expected result corresponds to determining the engram in terms of duration and frequency in brain plasticity for self-regulation purposes of the neurodivergent patient; as well as its impact as a value proposition to the Continuous Improvement School Program (PEMC) of basic education institutions in Mexico.",,,"brain - educational institutions - force feedback - haptic interfaces - human-robot interaction - interactive systems - learning (artificial intelligence) - medical disorders - neurophysiology - patient treatment - psychology - virtual reality - viscoelasticity","ADHD - Attention Deficit Hyperactivity Disorder - clinical evaluation strategies - haptic interaction strategies - HRpI system - human operator - human-robot physical interaction system - interactive forces - interactive virtual environment - neurocognitive stimulation - neurodivergent children - neurophysiological stimulation - robotic system - spring-damper system","C0240 Ergonomic aspects of computing - C3385 Biological and medical control systems - C3390 Robotics - C5540B Interactive-input devices - C6130V Virtual reality - C6180R Human-robot interaction - C6180 User interfaces - C7330 Biology and medical computing - A8770G Patient care and treatment","B25J13/00 - G16B - G06F3/00 - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Vectorized Visibility Graph Planning with Neural Polygon Extraction","Kasmynin, K. (1); Mironov, K. (1, 2, 3) ","(1) Moscow Institute of Physics and Technology, 9 Institutsky lane, Russia (2) AIRI Artificial Intelligence Research Institute, Russia (3) Ufa University of Science and Technology, 32 Zaki Validi St., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","265-80","2024","","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_20","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","This article proposes an approach for path planning in environments with obstacles. The methodology integrates recent neural obstacle polygon extraction with visibility graph path planning, complemented by the integration of vectorization techniques. That significantly enhances path planning efficiency. The modular design of the neural network method, encompassing contour detection, vertex identification, and polygon approximation modules, facilitates improved performance compared to traditional methods. Furthermore, the investigation into vectorization's impact on the intersection operation accelerates algorithm speed, contributing to faster path planning processes. Experimental results validate the efficacy of the integrated approach, showcasing notable improvements in path planning efficiency, especially with the utilization of vectorization techniques. The study systematically addresses challenges such as slow graph construction and inaccurate obstacle detection, providing a robust solution for optimizing path planning processes. Moreover, the implementation of multiple modules in the methodology enables its versatility for testing with various environments. This versatility allows researchers to assess the method's performance across diverse scenarios and visualize the results effectively. Overall, the integrated approach offers a comprehensive solution for optimizing path planning in complex environments, demonstrating its potential to streamline path planning processes and improve mobile robot navigation.","28",,"collision avoidance - graph theory - mobile robots - path planning","facilitates improved performance - faster path planning processes - inaccurate obstacle detection - integrated approach - neural network method - neural polygon extraction - polygon approximation modules - recent neural obstacle polygon extraction - slow graph construction - vectorization techniques - vectorized visibility graph planning - visibility graph path planning","C1160 Combinatorial mathematics - C3120C Spatial variables control - C3390C Mobile robots - C5260B Computer vision and image processing techniques","G05D1/00 - G05D3/00 - G06T - B60W30/08 - G08G - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Preliminary Effects of a Robot-Based Therapy Program with Atlas-2030 in Children with Cerebral Palsy Receiving Care at a Specialized Rehabilitation Center","Salinas-Sánchez, I. (1); Huerta-Teutli, M.R. (2); Cordero-Cuevas, D. (2); Maldonado-Guerrero, G. (2); González-Carbonell, R.A. (3) ","(1) Universidad Politécnica de Aguascalientes, Department of Physical Therapy, Mexico (2) Association for People with Cerebral Palsy, Mexico (3) Universidad Nacional Autonoma de Mexico, National School of Higher Studies Juriquilla, Mexico ","Applied Sciences","MDPI, Switzerland","v 15, n 22","12047 (18 pp.)","2025","","","","2076-3417","","","10.3390/app152212047","","","","Robot-based rehabilitation emerges as a promise to enhance mobility and improve the rehabilitation outcomes in children with cerebral palsy. The study aimed to evaluate the preliminary effects of a robot-based therapy program with Atlas-2030 on spatiotemporal gait parameters, pelvis kinematics, gross-motor function, quality of life, and joint range-of-motion in children with cerebral palsy receiving care at a specialized rehabilitation center. This is a single-arm, institution-based, quantitative, longitudinal, pilot study with repeated measures. Sixteen sessions of a robot-based therapy program with the Atlas-2030 wearable exoskeleton were applied to all the children from APAC-IAP in Mexico City with cerebral palsy. Pre-intervention, after eight and sixteen sessions, the GMFM-66, the CP QoL-Child, and gait analysis were performed. The results suggest that an Atlas-2030 robot-based therapy program combined with therapeutic stimulation exhibited better scores on the modified Ashworth scale: hip flexors and extensors: 2.0(1.0), knee flexors and extensors: 2.0(2.9), p > 0.0167, and experience enhanced range of motion in hip flexion: 122.5(5) deg, and extension: 11(5) deg and knee extension: 0(5) deg, p p > 0.0167) reducing the difference in laterality, inducing physiological muscle activation patterns, and higher scores in quality of life regarding well-being and acceptance: 17(1.0) and emotional well-being and self-esteem: 14.5 (1.0), p > 0.0167. The limitations of this study include the following: recruitment from a single specialty care center, the absence of a control group, and the adjusted significance level of p < 0.0167, which may lead to false negatives.","50",,"gait analysis - health care - kinematics - medical disorders - medical robotics - muscle - paediatrics - patient rehabilitation","APAC-IAP - Atlas-2030 robot-based therapy program - Atlas-2030 wearable exoskeleton - cerebral palsy receiving care - CP QoL-child - gait analysis - GMFM-66 - gross-motor function - hip flexion - hip flexors - joint range-of-motion - knee extension - knee flexors - modified ashworth scale - pelvis kinematics - physiological muscle activation patterns - rehabilitation outcomes - robot-based rehabilitation - spatiotemporal gait parameters - specialized rehabilitation center - therapeutic stimulation","C3390 Robotics - B7520H Aids for the handicapped - A8745D Physics of body movements - A8770G Patient care and treatment","","Bibliography (BIB); Practical (PRA); Experimental (EXP)",,,"All Open Access, Gold","Inspec","Copyright 2026, The Institution of Engineering and Technology","Engineering Village"
"Power System Stabilizers’ Design Through The Eigensystem Realization Algorithm","Alejandro Zaragoza-Luquín, M. (1); Gutierrez-Calvillo, Karen (1); Dominguez-Navarrete, Reynaldo (1); Javier Ruiz-Hernandez, F. (1); Pérez-Rojas, Carlos (1); Paternina, M.R.A. (2); Zamora, A. (1) ","(1) Universidad Michoacana de San Nicolas de Hidalgo, Morelia, Mexico (2) UNAM, Mexico City, Mexico ","2024 IEEE PES Generation, Transmission and Distribution Latin America Conference and Industrial Exposition, GTDLA 2024","Institute of Electrical and Electronics Engineers Inc.","","","2024","2024 IEEE PES Generation, Transmission and Distribution Latin America Conference and Industrial Exposition, GTDLA 2024","2024","Spanish; Castilian","","","9798331530549","10.1109/GTDLA61236.2024.10913795","2024 IEEE PES Generation, Transmission and Distribution Latin America Conference and Industrial Exposition, GTDLA 2024","November 11, 2024 - November 13, 2024","","This paper proposes an alternative way of designing multiple power system stabilizers (PSSs) for damping electromechanical modes. The approach is based on a system identification method that allows the computation of the first-order sensitivities of the eigenvalues of power system linear models. Thus, the eigensystem realization algorithm (ERA) is used to identify the power system linear model. This proposal derives a state-space representation using power system measurements to compute the power system eigenvalues and their residues for designing a single PSS for damping one mode or coordinated multiple PSSs for damping several modes. The attained results in two benchmark systems, Kundur and the New England transmission system-New York power system (NETS-NYPS), demonstrated the effectiveness of the proposed strategy in improving the dynamic response and power system stability for damping one or several electromechanical modes in large power systems, reaching stable behaviors in less than 2s and 7s for the Kundur and NETS-NYPS grids, respectively. © 2024 IEEE.","11","Power systems computer aided design","Artificial intelligence - Benchmarking - Eigenvalues and eigenfunctions - Electric power system stability - State space methods","Coordinated design - Damping control - Eigen-value - Eigensystem realization algorithms - Eigenvalue sensitivity - Electromechanical modes - Linear modeling - New England - Power - Power System Stabilizer","706.1 Electric Power Systems - 904 Design - 913.3 Quality Assurance and Control - 1101 Artificial Intelligence - 1106.5 Computer Applications - 1201.1 Algebra and Number Theory - 1201.6 Control Theory","",,,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"DNI Nowcasting Applying a Differential Approach Method Into Sky Camera Images","Mondragon-Rodriguez, R.D. (1); Riveros-Rosas, D. (2); Gay-Garcia, C. (1); Alonso-Montesinos, J. (3) ","(1) National Autonomous University of Mexico, Department of Climate Change and Solar Radiation of Atmospheric Science, Mexico (2) National Autonomous University of Mexico (UNAM), Department of Solar Radiation, Mexico (3) Joint Centre of the University of Almería, Department of Chemistry and Physics, Spain ","IEEE Transactions on Geoscience and Remote Sensing","IEEE, USA","","4100913 (13 pp.)","2024","","","","1558-0644","","","10.1109/TGRS.2023.3344119","","","","Concentrated solar energy systems, particularly concentrated solar power (CSP), need to capture a significant amount of direct normal irradiance (DNI) and demand high precision in forecasting their availability in the near future. Understanding how DNI intensity fluctuates across its path through the atmosphere down to the Earth's surface is crucial for harnessing solar energy effectively, as atmospheric conditions define the amount of irradiance that can be captured by CSP systems. To enhance operational efficiency, accurate DNI forecasts are required for short-, medium-, and long-term durations. In this article, we present a model that automates two independent studies based on previously published papers by the authors and sky camera images and solarimetric data. These studies estimate DNI attenuation caused by cloudiness using an artificial neural network (ANN) and measure the optical flow in sky images with the Lucas-Kanade method to forecast the future position of clouds. The proposed model aims to predict DNI in the short term (5, 10, 15, 20, 25, and 30 min) for the entire year of 2021, under various sky conditions (overcast, partially cloudy, and cloudless). The results demonstrate an annual correlation coefficient ranging from r = 0.90 to r = 0.87 in the forecasting horizon from 5 to 30 min.","58",,"image sequences - neural nets - power engineering computing - solar power stations - sunlight","ANN - artificial neural network - concentrated solar energy systems - concentrated solar power - CSP systems - differential approach method - direct normal irradiance - DNI attenuation - DNI intensity - DNI nowcasting - Lucas-Kanade method - operational efficiency - sky camera images - sky conditions - solarimetric data - time 5.0 min to 30.0 min","C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing - C6264 Neural nets - C7410B Power engineering computing - B8250 Solar power stations and photovoltaic power systems","G06T - G06N3/02","Bibliography (BIB); Practical (PRA)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Adaptive Fast Terminal Sliding Mode (FTSM) Control and High Gain Observer (HGO) for Multi-motor Web Transport Systems","Van Tuyên, T. (1); Xuan Tinh, T. (2); Krestovnikov, K. (3) ","(1) Le Quy Don Technical University, Viet Nam (2) Air Defence - Air Force Academy of Vietnam, Viet Nam (3) St. Petersburg Federal Research Center of the Russian Academy of Sciences (SPC RAS), 39, 14Th Line V.O, St. Petersburg, Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","131-43","2024","","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_10","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","The research object of the article is the web winding system, which has a complex MIMO structure, has variable parameters and is affected by noise. In reality today, the controllers of this system mainly use linear control methods. However, linear control methods do not always provide the desired quality. Therefore, research, development and application of nonlinear algorithms to improve system quality is essential. A substantial amount of developments in the field of regulators for complex systems with variable parameters has been realized in the field of robotics and manipulation systems. This paper presents the results of synthesizing the adaptive fast terminal sliding controller based on the neural network for the web winding system for elastic material. The survey and evaluation results by simulation on Matlab-Simulink software show that this controller ensures the quality requirements even when the system is affected by random input noise and model parameters change. The application of the developed solutions in robotics will improve the quality of control and increase the efficiency of mechanical systems.","12",,"nonlinear control systems - observers - variable structure systems - winding (process)","adaptive fast terminal - complex MIMO structure - complex systems - control methods - desired quality - manipulation systems - mechanical systems - model parameters change - multimotor web transport systems - quality requirements - system quality - web winding system","C1310 Control system analysis and synthesis methods - C1320 Stability in control theory - C1340K Nonlinear control systems - C1340B Multivariable control systems - E1550 Control technology and theory (production)","G05B17/00 - B65H54/00 - B21C47/02","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
