Title,Author,Author affiliation,Source,Sponsor,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"'A Cooperative Multi Indicator-Based Ant Colony Optimization Algorithm for the MOGenConVRP'","Velázquez Cruz, R.F. (1); Hernández Castellanos, C.I. (1) ","(1) IIMAS-UNAM, Mexico ","GECCO '23 Companion: Proceedings of the Companion Conference on Genetic and Evolutionary Computation","SIGEVO","ACM, New York, NY, USA","","215-18","2024","","","","","979-8-4007-0495-6","10.1145/3638530.3654416","GECCO '24 Companion: Genetic and Evolutionary Computation Conference Companion","2024","Melbourne, VIC, Australia","Using quality indicators to guide the search on multi-objective evolutionary algorithms (MOEAs) is one of the most prominent approaches. Since quality indicators incorporate the preferences on the Pareto approximation and diversity of solutions. Recently, there has been an interest in algorithms based on the cooperation of multiple indicators, mostly using MOEAs as a baseline.We propose the Cooperative Multi Indicator-Based Ant Colony Optimization algorithm (cMIBACO). A novel algorithm based on the cooperation of three quality indicators (hypervolume, ε+, R2) to improve the diversity and avoid premature convergence to a local optimum. This algorithm uses an external archive to obtain the set of approximated solutions.We tested the algorithm against indicator-based ACOs on several instances of the Multi-objective Generalized Consistent Vehicle Routing Problem (MOGenConVRP) and investigated for statistical significance. Our experimental results show that cMIBACO has competitive results to the state-of-the-art and opens the door for further research in this direction.",,,"ant colony optimisation - evolutionary computation - optimisation - Pareto optimisation - search problems - vehicle routing","approximated solutions - indicator-based ACOs - MOEAs - MOGenConVRP - MultiIndicator-Based Ant Colony Optimization algorithm - multiobjective evolutionary algorithms - Multiobjective Generalized Consistent Vehicle Routing Problem - multiple indicators - quality indicators","E0210G Optimisation - B0260 Optimisation techniques - C1160 Combinatorial mathematics - C1180 Optimisation techniques - C1290H Systems theory applications in transportation","","Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"On the Approximation of the Entire Pareto Front of a Constrained Multi-objective Optimization Problem","Rodriguez-Fernandez, Angel E. (1); Hernández Castellanos, Carlos Ignacio (2); Schütze, Oliver (1) ","(1) Computer Science Department, Cinvestav, Mexico City, Mexico (2) IIMAS-UNAM, Mexico City, Mexico ","Lecture Notes in Computer Science","","Springer Science and Business Media Deutschland GmbH","v 15513 LNCS","p 85-98","2025","Evolutionary Multi-Criterion Optimization - 13th International Conference, EMO 2025, Proceedings","2025","03029743","16113349","9789819635375","10.1007/978-981-96-3538-2_7","13th International Conference on Evolutionary Multi-Criterion Optimization, EMO 2025","March 4, 2025 - March 7, 2025","","So far, many constraint-handling techniques (CHTs) exist that allow specialized multi-objective evolutionary algorithms (MOEAs) to deal with constrained multi-objective optimization problems (CMOPs). In contrast, all existing external archivers that yield certain approximation qualities in the limit still assume the feasibility of each incoming candidate solution. While this is acceptable for unconstrained or lightly constrained MOPs, this assumption is inadequate for the consideration of problems with complex domains. In this study, we make a first effort to investigate how these external archivers can be prepared for CMOPs. To this end, we discuss if and how existing CHTs can be leveraged. In this study, we consider the problem of capturing the entire Pareto front (ideally in the mathematical sense). As the base algorithm we will take ArchiveUpdatePQ that stores all non-dominated solutions found during the run of the algorithm. Our discussion and results indicate that while existing CHTs work adequately, they come with certain issues, such as introducing additional parameters that need adjustment, lacking theoretical results, or incurring a certain computational overhead. Finally, we performe a numerical analysis, integrating several MOEAs with the investigated CHTs and comparing the performance of all methods using HV and Δp as indicators. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2025.","28","Constrained optimization","Consensus algorithm - Evolutionary algorithms - Multiobjective optimization - Optimization algorithms - Pareto principle","Approximation quality - Archiving - Complex domains - Constrained multi-objective optimizations - Constraint handling - Constraint-handling techniques - Multi-Objective Evolutionary Algorithm - Multi-objective optimization problem - Multi-objectives optimization - Pareto front","1103.3 Data Communication, Equipment and Techniques - 1105.3 Blockchain Technology - 1106.1 Computer Programming - 1201.7 Optimization Techniques","",,"Number: -, Acronym: CINVESTAV, Sponsor: Centro de Investigaci&oacute;n y de Estudios Avanzados del Instituto Polit&eacute;cnico Nacional; Number: CBF2023-2024-1463, Acronym: Conahcyt, Sponsor: Consejo Nacional de Humanidades, Ciencias y Tecnolog&iacute;as; Number: -, Acronym: Conahcyt, Sponsor: Consejo Nacional de Humanidades, Ciencias y Tecnolog&iacute;as; ","O. Sch\u00FCtze acknowledges support from CONAHCYT project CBF2023-2024-1463. Angel E. Rodriguez-Fernandez acknowledges support from the CONAHCYT to pursue his postdoc fellowship at the CINVESTAV-IPN.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"On the Approximation of the Entire Pareto Front of a Constrained Multi-objective Optimization Problem","Rodriguez-Fernandez, A.E. (1); Hernández Castellanos, C.I. (2); Schütze, O. (1) ","(1) Cinvestav, Computer Science Department, Mexico (2) Universidad Nacional Autonoma de Mexico, Instituto de Investigaciones en Matematicas Aplicadas y Sistemas, Mexico ","Evolutionary Multi-Criterion Optimization: 13th International Conference, EMO 2025. Lecture Notes in Computer Science (15513)","","Springer Nature, Berlin, Germany","","85-98","2025","","","","","978-981-96-3538-2","10.1007/978-981-96-3538-2_7","International Conference on Evolutionary Multi-Criterion Optimization","2025","Canberra, ACT, Australia","So far, many constraint-handling techniques (CHTs) exist that allow specialized multi-objective evolutionary algorithms (MOEAs) to deal with constrained multi-objective optimization problems (CMOPs). In contrast, all existing external archivers that yield certain approximation qualities in the limit still assume the feasibility of each incoming candidate solution. While this is acceptable for unconstrained or lightly constrained MOPs, this assumption is inadequate for the consideration of problems with complex domains. In this study, we make a first effort to investigate how these external archivers can be prepared for CMOPs. To this end, we discuss if and how existing CHTs can be leveraged. In this study, we consider the problem of capturing the entire Pareto front (ideally in the mathematical sense). As the base algorithm we will take ArchiveUpdate PQ that stores all non-dominated solutions found during the run of the algorithm. Our discussion and results indicate that while existing CHTs work adequately, they come with certain issues, such as introducing additional parameters that need adjustment, lacking theoretical results, or incurring a certain computational overhead. Finally, we performe a numerical analysis, integrating several MOEAs with the investigated CHTs and comparing the performance of all methods using HV and Δp as indicators.","28",,"approximation theory - evolutionary computation - Pareto optimisation","allow specialized multiobjective - approximation qualities - ArchiveUpdate PQ - CHT - CMOP - constrained multiobjective optimization problem - constraint-handling techniques - entire Pareto front - lightly constrained MOPs - unconstrained constrained MOPs","E0210L Numerical analysis - E0210G Optimisation - B0260 Optimisation techniques - B0290F Interpolation and function approximation (numerical analysis) - C1180 Optimisation techniques - C4130 Interpolation and function approximation (numerical analysis)","","Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Finding the Set of Nearly Optimal Solutions of a Multiobjective Optimization Problem","Schutze, O. (1); Rodriguez-Fernandez, A.E. (1); Segura, C. (2); Hernandez, C. (3) ","(1) CINVESTAV-IPN, Computer Science Department, Mexico (2) Computer Science Department, Centre for Research in Mathematics, Mexico (3) IIMAS-UNAM, Computer Science Department, Mexico ","IEEE Transactions on Evolutionary Computation","","IEEE, USA","v 29, n 1","145-57","Feb 2025","","","1941-0026","","","10.1109/TEVC.2024.3353546","","","","Evolutionary multiobjective optimization (EMO) is a highly active research field that has attracted many researchers and practitioners over the past three decades. Surprisingly, until now, the goal of almost all EMO algorithms is to compute a suitable finite size representation of the Pareto set/front of a given multiobjective optimization problem or at least a part of it. In other words, the quest is restricted to optimal solutions. In this work, we argue that the entire set of nearly optimal solutions—which includes all optimal ones—is of potential interest for the decision maker as they contain in addition to the optimal solutions alternative realizations or backup solutions. We further make a first effort to reliably compute the set of nearly optimal solutions via EMO algorithms. To this end, we first propose a new set of interest, NQ, and analyze its topology. In a next step, we propose an unbounded archiver that aims to capture NQ, and analyze it with respect to monotonicity and limit behavior. After this, we discuss the related subset selection problem which comes with unbounded archivers leading to four different algorithms. Finally, we numerically investigate the behavior of the archiver and the selection strategies, and present some results when using the archiver as external archiver to three widely used multiobjective evolutionary algorithms indicating the benefit of the new approach.","0",,"evolutionary computation - Pareto optimisation","EMO algorithms - evolutionary multiobjective optimization - nearly optimal solutions - Pareto set - subset selection problem - unbounded archiver","E0210G Optimisation - B0260 Optimisation techniques - C1180 Optimisation techniques","","Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Evolutionary algorithms applied to minimize the thermal transport in atomic nanoribbons","González, J.E. (1); Díaz-Cortés, G.B. (2); Del Castillo, R.M. (1); Espejel, R. (1); Calles, A. (1) ","(1) Universidad Nacional Autonoma de Mexico, Department of Physics, Mexico (2) Instituto Mexicano del Petroleo, Exploration Research Management, Eje Céntral Lázaro Cárdenas 152, Mexico ","Computational Materials Science","","Elsevier B.V., Netherlands","v 260","114195","Oct. 2025","","","1879-0801","","","10.1016/j.commatsci.2025.114195","","","","In the pursuit of sustainable energy solutions, the development of materials with tailored transport properties is essential for enhancing device performance. In thermoelectric applications, materials with low thermal conductivity are particularly desirable to improve the dimensionless figure of merit and the efficiency of the Seebeck effect. In this study, we present an atomistic investigation of lattice thermal transport in a binary nanoribbon composed of alternating atomic blocks with a rock-salt structure, coupled to semi-infinite reservoirs at both ends. Using the Born interatomic potential within the harmonic approximation and the lattice thermal Kubo-Greenwood formula based on Green's function techniques, we simulate phonon transport at the atomic scale. The accuracy of this approach depends critically on the selection of interatomic potential parameters. To address this, we apply evolutionary algorithms, specifically Differential Evolution, to optimize atomic masses and force constants in order to minimize the lattice thermal conductivity. These algorithms efficiently explore high-dimensional parameter spaces and identify optimal configurations corresponding to global or near-global minima. Our results, supported by ab initio calculations for real materials with a rock-salt structure, demonstrate an effective strategy for engineering low-thermal-conductivity materials, which are desirable for the design of high-performance thermoelectric devices. All rights reserved Elsevier.","55",,"ab initio calculations - electrical conductivity - evolutionary computation - nanoribbons - phonons - potential energy functions - Seebeck effect - thermal conductivity - thermoelectric devices","atomic blocks - atomic masses - atomic nanoribbons - atomic scale - atomistic investigation - binary nanoribbon - Born interatomic potential - engineering low-thermal-conductivity materials - enhancing device performance - evolutionary algorithms - Green's function techniques - harmonic approximation - high-dimensional parameter spaces - high-performance thermoelectric devices - interatomic potential parameters - Kubo-Greenwood formula - lattice thermal conductivity - low thermal conductivity - optimal configurations - phonontransport - rock-salt structure - Seebeck effect - semiinfinite reservoirs - specifically Differential Evolution - sustainable energy solutions - tailored transport properties - thermal transport - thermoelectric applications","A6322 Phonons in low-dimensional structures and small particles - A6670 Nonelectronic thermal conduction and heat-pulse propagation in nonmetallic solids - A7220P Thermoelectric effects (semiconductors/insulators)","","Theoretical or Mathematical (THR)",,,"All Open Access, Hybrid Gold","Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"A Fuzzy Logic Technique for the Environmental Impact Assessment of Marine Renewable Energy Power Plants","Flores, P. (1); Mendoza, E. (1) ","(1) National Autonomous University of Mexico, Engineering Institute, Mexico ","Energies","","MDPI, Switzerland","v 18, n 2","272 (29 pp.)","07 Jan 2025","","","1996-1073","","","10.3390/en18020272","","","","The application of fuzzy logic to environmental impact assessment (EIA) provides a robust method to address uncertainties and subjectivities inherent in evaluating complex environmental systems. This is particularly relevant in ocean renewable energy projects, where predicting environmental impacts is challenging due to the dynamic nature of marine environments. We conducted a comprehensive literature review to identify the types of impacts currently being investigated, assessed, and monitored in existing marine energy conversion projects. Based on these foundations, we developed both traditional and fuzzy mythologies for EIA. The fuzzy logic methodology approach allows for the incorporation of uncertainties into the assessment process, converting qualitative assessments into quantifiable data and linguistic levels and enhancing decision-making accuracy. We tested this fuzzy methodology across four types of ocean energy devices: floating, submerged, fixed to the ocean floor, and onshore. Finally, we applied the methodology to the EIA of a marine energy project in the Cozumel Channel, Quintana Roo, Mexico. The results demonstrate that fuzzy logic provides a more flexible and reliable evaluation of environmental impacts, contributing to more effective environmental management and sustainable development in marine renewable energy contexts.","53",,"decision making - environmental factors - environmental management - fuzzy logic - fuzzy set theory - renewable energy sources - sustainable development - wave power generation","complex environmental systems - effective environmental management - EIA - enhancing decision-making accuracy - environmental impact assessment - fuzzy logic methodology approach - fuzzy logic technique - fuzzy methodology - fuzzy mythologies - linguistic levels - marine energy conversion projects - marine energy project - marine environments - marine renewable energy contexts - marine renewable energy power plants - ocean energy devices - ocean renewable energy projects - predicting environmental impacts - qualitative assessments - subjectivities - traditional mythologies - uncertainties","E0230 Environmental issues - C1160 Combinatorial mathematics - C4210 Formal logic - B8210 Energy resources - B8240B Wave power - A8610F Tidal and flow energy","G06N7/02","Practical (PRA); Theoretical or Mathematical (THR)",,,"All Open Access, Gold","Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Enhancing Solar Cell Classification Using Mamdani Fuzzy Logic Over Electroluminescence Images: A Comparative Analysis with Machine Learning Methods","Mateo-Romero, Hector Felipe (1); Dela Rosa, Mario Eduardo Carbonó (2); Hernández-Callejo, Luis (1); Ángel González-Rebollo, Miguel (1); Cardeñoso-Payo, Valentín (1); Alonso-Gómez, Victor (1); Gallardo-Saavedra, Sara (1) ","(1) Universidad de Valladolid, Valladolid, Spain (2) Universidad Nacional Autónoma de México, Mexico City, Mexico ","Communications in Computer and Information Science","","Springer Science and Business Media Deutschland GmbH","v 1938 CCIS","p 159-173","2024","Smart Cities - 6th Ibero-American Congress, ICSC-Cities 2023, Revised Selected Papers","2024","18650929","18650937","9783031525162","10.1007/978-3-031-52517-9_11","6th Ibero-American Congress on Smart Cities, ICSC-Cities 2023","November 13, 2023 - November 17, 2023","","This work presents a Mamdani Fuzzy Logic model capable of classifying solar cells according to their energetic performance. The model has 3 different inputs: The proportion of black pixels, gray pixels, and white pixels. One additional output for informing of possible bad inputs is also provided. The three values are obtained from an Electroluminescence image of the cell. The model has been developed using cells whose performance has been obtained by measuring the Intensity-Voltage Curves of the cells. The performance of the model has been shown by testing it with a validation set, obtaining a 99.0% of accuracy, when other methods such as Ensemble Classifiers and Decision Trees obtain a 97.7%. This shows that the presented model is capable of solving the problem better than traditional Machine Learning methods. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","20",,"Adversarial machine learning - Contrastive Learning - Decision trees - Electroluminescence - Fuzzy logic - Machine learning - Problem solving","Cell classification - Comparative analyzes - Electroluminescence images - Fuzzy logic modeling - Fuzzy-Logic - Machine learning methods - Machine-learning - Mamdani - Performance - Photovoltaics","701.1 Electricity: Basic Concepts and Phenomena - 741 Light, Optics and Optical Devices - 961 Systems Science - 1101 Artificial Intelligence - 1101.2 Machine Learning - 1102.1 Computer Theory, Includes Computational Logic, Automata Theory, Switching Theory, Programming Theory - 1201.5 Computational Mathematics - 1201.8 Discrete Mathematics and Combinatorics, Includes Graph Theory, Set Theory","",,"Number: -, Acronym: UVA, Sponsor: Universidad de Valladolid; Number: PID2020-113533RB-C33, Acronym: MCIN, Sponsor: Ministerio de Ciencia e Innovaci&oacute;n; Number: -, Acronym: MCIN, Sponsor: Ministerio de Ciencia e Innovaci&oacute;n; Number: KA-107, Acronym: -, Sponsor: Erasmus+; Number: -, Acronym: -, Sponsor: Erasmus+; ","The Universidad de Valladolid supported this study with the predoctoral contracts of 2020, co-funded by Santander Bank. This work has been financed also by the Spanish Ministry of Science and Innovation, under project PID2020-113533RB-C33. The Universidad de Valladolid also supported this study with ERASMUS+ KA-107. Finally, we have to thank the MOVILIDAD DE DOCTOR-ANDOS Y DOCTORANDAS UVa 2023 from the University of Valladolid. We also appreciate the help of other members of our departments.","All Open Access, Green","Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Classification of Academic Achievement in Upper-Middle Education in Veracruz, Mexico: A Computational Intelligence Approach","Céspedes-González, Yaimara (1); Otero Escobar, Alma Delia (1); Molero-Castillo, Guillermo (2); Ricárdez Jiménez, Jerónimo Domingo (1) ","(1) Universidad Veracruzana, Veracruz, Xalapa, Mexico (2) Universidad Nacional Autónoma de México, Mexico City, Mexico ","Lecture Notes in Networks and Systems","","Springer Science and Business Media Deutschland GmbH","v 921 LNNS","p 368-382","2024","Advances in Information and Communication - Proceedings of the 2024 Future of Information and Communication Conference FICC","2024","23673370","23673389","9783031540523","10.1007/978-3-031-54053-0_26","Future of Information and Communication Conference, FICC 2024","April 4, 2024 - April 5, 2024","","Due to current technological development, there are accumulations of data from various sources, susceptible of being analyzed and interpreted. Particularly, in the education field, the analysis of data generated in educational environments, such as the academic achievement of students who reach the end of their studies at different educational levels, becomes relevant. This research presents the academic achievement of upper-middle education students in the state of Veracruz, Mexico, based on the type of school they belong to (State, Federal or Private). For this, the PLANEA-2017 database (National Plan for the Evaluation of Learning) was used, as well as computational intelligence algorithms, such as random forests and support vector machines. As a main result, it was obtained that the model produced by the random forests presented a better classification accuracy, and the most relevant variables to classify academic achievement by type of schools evaluated were the total number of students enrolled; the level of academic performance achieved by students in Language and Communication, highlighting the excellent (IV) and insufficient (I) level, respectively; and the number of students tested in Mathematics. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","26","Students","Classification (of information) - Education computing - Forestry - Petroleum reservoir evaluation - Support vector machines","'current - Academic achievements - Analysis of data - Education field - Me-xico - Random forests - Support vectors machine - Technological development - Upper-middle education - Veracruz","512.1.2 Petroleum Development Operations - 716.1 Information Theory and Signal Processing - 723 Computer Software, Data Handling and Applications - 821 Agricultural Equipment and Methods; Vegetation and Pest Control - 903.1 Information Sources and Analysis","",,,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Estimation of the Performance of Photovoltaic Cells by Means of an Adaptative Neural Fuzzy Inference Model","Mateo-Romero, Hector Felipe (1); Dela Rosa, Mario Eduardo Carbonó (2); Hernández-Callejo, Luis (1); González-Rebollo, Miguel Ángel (1); Cardeñoso-Payo, Valentín (1); Alonso-Gómez, Victor (1); Martínez-Sacristán, Óscar (1); Gallardo-Saavedra, Sara (1) ","(1) Universidad de Valladolid, Valladolid, Spain (2) Universidad Nacional Autónoma de México, Mexico City, Mexico ","Communications in Computer and Information Science","","Springer Science and Business Media Deutschland GmbH","v 1938 CCIS","p 174-188","2024","Smart Cities - 6th Ibero-American Congress, ICSC-Cities 2023, Revised Selected Papers","2024","18650929","18650937","9783031525162","10.1007/978-3-031-52517-9_12","6th Ibero-American Congress on Smart Cities, ICSC-Cities 2023","November 13, 2023 - November 17, 2023","","This paper presents an Adaptive Neuro-fuzzy Inference System capable of predicting the output power of photovoltaic cells using their electroluminescence image and their IV curve. The input consists of 3 different features: the number of black pixels, grey pixels and white pixels. ANFIS combines the learning capabilities of Artificial Neural Networks with the comprehensible rules of Fuzzy Logic, being optimal for this problem, as demonstrated by the metrics of MAE of 0.064 and MSE of 0.009, which are better than the performance of other tested methods such as Support Vector Machines or Linear Regressor. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","17","Support vector machines","Adversarial machine learning - Electroluminescence - Fuzzy neural networks","Adaptive neuro-fuzzy inference - ANFIS - Fuzzy inference modeling - Fuzzy-Logic - Machine-learning - Neural fuzzy - Neuro-fuzzy inference systems - Output power - Performance - Photovoltaics","701.1 Electricity: Basic Concepts and Phenomena - 741 Light, Optics and Optical Devices - 1101 Artificial Intelligence - 1101.2 Machine Learning","",,"Number: -, Acronym: UVA, Sponsor: Universidad de Valladolid; Number: PID2020-113533RB-C33, Acronym: MCIN, Sponsor: Ministerio de Ciencia e Innovaci&oacute;n; Number: -, Acronym: MCIN, Sponsor: Ministerio de Ciencia e Innovaci&oacute;n; Number: KA-107, Acronym: -, Sponsor: Erasmus+; Number: -, Acronym: -, Sponsor: Erasmus+; ","The Universidad de Valladolid supported this study with the predoctoral contracts of 2020, co-funded by Santander Bank. This work has been financed also by the Spanish Ministry of Science and Innovation, under project PID2020-113533RB-C33. The Universidad de Valladolid also supported this study with ERASMUS+ KA-107. Finally, we have to thank the MOVILIDAD DE DOCTORAN-DOS Y DOCTORANDAS UVa 2023 from the University of Valladolid.","All Open Access, Green","Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Terrestrial and Martian space weather: A complex systems approach","Chian, A. (1, 2); Miranda, R. (3); Bertucci, C. (4); Blanco-Cano, X. (8); Borovsky, J. (5); Dasso, S. (4); Echer, E. (2); Franco, A. (6); Girgis, K.M. (7); González-Esparza, J.A. (8); Hada, T. (7); Hasegawa, H. (9); Hsieh, S.-Y. (10); Kajdič, P. (8); Mazelle, C. (11); Rempel, E. (2, 12); Rojas-Castillo, D. (8); Sánchez-Cano, B. (13); Sibeck, D. (14); Stepanova, M. (15); Valdés-Galicia, J. (8); Valdivia, J. (16) ","(1) University of Adelaide, Adelaide, SA, Australia (2) National Institute for Space Research, Brazil (3) University of Brasília, Brazil (4) University of Buenos Aires, Argentina (5) Space Science Institute, Boulder, CO, United States (6) Federal University of Southern and Southeastern Pará (UNIFESSPA), Brazil (7) Kyushu University, Japan (8) National Autonomous University of Mexico, Mexico (9) Japan Aerospace Exploration Agency, Institute of Space and Astronautical Science, Japan (10) Johns Hopkins University, Applied Physics Laboratory, Laurel, MD, United States (11) Université de Toulouse, Institut de Recherche en Astrophysique et Planétologie, France (12) Aeronautics Institute of Technology, Brazil (13) University of Leicester, School of Physics and Astronomy, United Kingdom (14) NASA/GSFC, Greenbelt, MD, United States (15) University of Santiago, Chile (16) University of Chile, Chile ","Journal of Atmospheric and Solar-Terrestrial Physics","","Elsevier B.V., Netherlands","v 259","106253","2024","","","1879-1824","","","10.1016/j.jastp.2024.106253","","","","A comparative overview of Terrestrial and Martian space weather is presented, with emphasis on applying the tools of complexity and nonlinear dynamics to study the spatiotemporal dynamics and structures of sun-Earth and sun-Mars space environment. The following topics are reviewed: (1) complex systems approach to solar atmosphere and solar wind; (2) complex systems approach to planetary bow shock and magnetosphere-ionosphere; (3) Martian space weather, bow shock, and magnetosphere-ionosphere; (4) imaging planetary magnetosphere-ionosphere. All rights reserved Elsevier.","402",,"magnetosphere - Mars - planetary atmospheres - solar wind","nonlinear dynamics - spatiotemporal dynamics - sun-Mars space environment","A9460Q Solar wind interaction with Moon, planets, satellites, and comets - A9460G Solar wind plasma - A9630G Mars and satellites - A9635K Planetary ionospheres; magnetospheres","","Bibliography (BIB); Theoretical or Mathematical (THR)",,,"All Open Access, Hybrid Gold","Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
