Title,Author,Author affiliation,Source,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"Control and monocular visual SLAM of nonholonomic mobile robots","Trujillo, J.-C. (1, 3); Munguia, R. (1); Albarrán, J.-C. (2); Arteaga, M. (2) ","(1) Universidad de Guadalajara Centro Universitario de Ciencias Exactas e Ingenieria, Department of Computer Science, Mexico (2) Universidad Nacional Autonoma de Mexico, Department of Control and Robotics, Mexico (3) KION Group, Department of Robotic Systems Development, Mexico ","European Journal of Control","Elsevier B.V., Netherlands","v 82","101171","March 2025","","","1435-5671","","","10.1016/j.ejcon.2024.101171","","","","","Achieving autonomy in mobile robotics necessitates fundamental capabilities such as trajectory tracking, self-localization, and environmental perception. GPS is the conventional choice for establishing the position of a mobile robot in outdoor and open settings; however, it lacks reliability in diverse environments, such as cluttered indoor spaces. In this paper, we propose a nonlinear kinematic control scheme for trajectory tracking, alongside a Monocular Visual SLAM (Simultaneous Localization and Mapping) method for nonholonomic wheeled mobile robots operating in GPS-denied environments. The proposed SLAM system incorporates heading and range measurements. We conduct a nonlinear observability analysis to demonstrate that the system's observability is enhanced by integrating these measurements. The kinematic controller is formulated using the Lyapunov direct method, and the stability of the control law is verified through Lyapunov theory. Extensive computer simulations demonstrate that the proposed systems achieve good performance. All rights reserved Elsevier.","46",,"Global Positioning System - Lyapunov methods - mobile robots - position control - robot vision - SLAM (robots)","cluttered indoor spaces - control law - conventional choice - diverse environments - environmental perception - fundamental capabilities - GPS-denied environments - kinematic controller - mobile robot - mobile robotics - monocular visual SLAM - Monocular Visual SLAM - nonholonomic mobile robots - nonholonomic wheeled mobile robots - nonlinear kinematic control scheme - nonlinear observability analysis - open settings - outdoor settings - SLAM system - trajectory tracking","E2230 Robot and manipulator mechanics - C3120C Spatial variables control - C3390C Mobile robots","G05D3/00 - G05D1/00","Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"NavTopo: Leveraging Topological Maps for Autonomous Navigation of a Mobile Robot","Muravyev, K. (1); Yakovlev, K. (1) ","(1) Russian Academy of Sciences, Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","144-57","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_11","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","Autonomous navigation of a mobile robot is a challenging task which requires ability of mapping, localization, path planning and path following. Conventional mapping methods build a dense metric map like an occupancy grid, which is affected by odometry error accumulation and consumes a lot of memory and computations in large environments. Another approach to mapping is the usage of topological properties, e.g. adjacency of locations in the environment. Topological maps are less prone to odometry error accumulation and high resources consumption, and also enable fast path planning because of the graph sparsity. Based on this idea, we proposed NavTopo - a full navigation pipeline based on topological map and two-level path planning. The pipeline localizes in the graph by matching neural network descriptors and 2D projections of the input point clouds, which significantly reduces memory consumption compared to metric and topological point cloud-based approaches. We test our approach in three large indoor photo-relaistic simulated environments and compare it to a metric map-based approach based on popular metric mapping method RTAB-MAP. The experimental results show that our topological approach significantly outperforms the metric one in terms of performance with 8 times less memory usage and two orders less path planning time, keeping proper navigational efficiency.","33",,"graph theory - mobile robots - path planning - robot vision - SLAM (robots)","autonomous navigation - conventional mapping methods - dense metric map - fast path planning - metric map-based approach - metric point cloud-based approaches - mobile robot - navigation pipeline - NavTopo - odometry error accumulation - popular metric mapping method RTAB-MAP - topological approach - topological map - topological point cloud-based approaches - two-level path planning","C1160 Combinatorial mathematics - C3120C Spatial variables control - C3390C Mobile robots - C5260B Computer vision and image processing techniques","G06T - G05D3/00 - G05D1/00 - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Web Interface Design for the Intelligent Management of a Differential Robot Applied to IoT Systems","Ibarra-Yanez, M.A. (1); Lopez-Mera, G.H. (1); Cruz-Morales, R.D. (1); Luna-Gomez, A.A. (1) ","(1) Universidad Nacional Autonoma de Mexico, Facultad de Estudios Superiores Cuautitlan, Mexico ","2025 XXVII Robotics Mexican Congress (COMRob)","IEEE, Piscataway, NJ, USA","","68-73","2025","","","","","979-8-3315-7591-5","10.1109/COMRob68109.2025.11264804","","2025 XXVII Robotics Mexican Congress (COMRob)","2025","Torreon, Mexico","Human-robot interaction is a core pillar in mobile robotics for efficient and diverse product development. This paper provides an advanced web-based control interface for a differential robot which allows full management and real-time monitoring of its behavior. It operates through an ESP32 microcontroller where both sides communicate with a web client using the WebSocket protocol. There are three operating modes: manual by sliders, autonomous navigation toward distinct (X, Y) coordinates, and a pioneering trajectory-tracking mode that lets the operator generate a path directly on a digital canvas. Also, the user interface has a monitoring panel with real-time information on such things as motor RPM, position, and robot orientation, all supported by dynamic charts. Differential kinematics and sensor fusion enable hardware and software integration by merging encoder-based odometry with an IMU for more precise positioning. The final outcome is a powerful, intuitive, and flexible platform which serves as a solid basis for future applications in autonomous exploration, logistics, and educational environments.",,,"control engineering computing - human-robot interaction - Internet - Internet of Things - microcontrollers - mobile robots - path planning - position control - robot vision - sensor fusion - user interfaces","advanced web-based control interface - autonomous navigation - core pillar - differential robot applied - digital canvas - diverse product development - efficient product development - encoder-based odometry - ESP32 microcontroller - human-robot interaction - intelligent management - IoT systems - mobile robotics - monitoring panel - operating modes - pioneering trajectory-tracking mode - real-time information - real-time monitoring - robot orientation - sensor fusion - user interface - web client - web interface design - WebSocket protocol","C3120C Spatial variables control - C3390 Robotics - C3390C Mobile robots - C6180R Human-robot interaction - C6180 User interfaces - C7210N Information networks - C7420 Control engineering computing","B25J13/00 - G05B15/00 - G05D3/00 - G05D1/00","Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Algorithms and Software for Simulation of Intelligent Systems of Autonomous Robots Based on Multi-agent Neurocognitive Architectures","Nagoev, Z. (1); Bzhikhatlov, K. (1); Pshenokova, I. (1); Unagasov, A. (1) ","(1) Kabardino-Balkarian Scientific Center, 37-a I. Armand Street, Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","381-91","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_29","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","The work presents an approach to the design of intellectual decision-making systems of autonomous robots, which consists in the synthesis of cognitive architectures and multi-agent systems. As a cognitive architecture, architecture is used, the nodes of which are multi-agent systems. This approach is based on the computing abstraction of the processes of multi-agent exchange of information between the neurons of the brain, in which individual neurons of the brain are considered as rational software agents that perform cooperative interaction with each other in order to maximize their local target functions. A simulation model of a decision-making system has been developed. The software implementation of the process of interaction between agents is presented within the framework of a multi-agent neurocognitive decision-making model. The algorithm and a program for modelling multi-agent neurocognitive architectures have been developed. Such architectures, through the collaboration of agents, can provide the search for suboptimal solutions under conditions of partial uncertainty. The developed software can be used to simulate the decision-making process for performing tasks in a real environment. In particular, the presented formalism of multi-agent neurocognitive artificial intelligence systems is experimentally used to ensure goal-directed behavior of autonomous mobile robots.","18",,"cognitive systems - computer simulation - control engineering computing - decision making - mobile robots - multi-agent systems - software agents","autonomous mobile robots - computing abstraction - cooperative interaction - intellectual decision-making systems - multiagent exchange - multiagent neurocognitive architectures - multiagent neurocognitive artificial intelligence systems - multiagent neurocognitive decision-making - multiagent systems - rational software agents","C3390C Mobile robots - C6210 Knowledge based systems - C7420 Control engineering computing","G05D1/00 - G06N5/00 - G05B15/00 - G06N3/10","Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"CFDA-CSF: A multi-modal domain adaptation method for cross-subject emotion recognition","Jimenez-Guarneros, M. (1); Fuentes-Pineda, G. (1) ","(1) Universidad Nacional Autonoma de Mexico, Department of Computer Science, Mexico ","IEEE Transactions on Affective Computing","IEEE Computer Society, USA","v 15, n 3","1502-13","2024","","","1949-3045","","","10.1109/TAFFC.2024.3357656","","","","","Multi-modal classifiers for emotion recognition have become prominent, as the emotional states of subjects can be more comprehensively inferred from Electroencephalogram (EEG) signals and eye movements. However, existing classifiers experience a decrease in performance due to the distribution shift when applied to new users. Unsupervised domain adaptation (UDA) emerges as a solution to address the distribution shift between subjects by learning a shared latent feature space. Nevertheless, most UDA approaches focus on a single modality, while existing multi-modal approaches do not consider that fine-grained structures should also be explicitly aligned and the learned feature space must be discriminative. In this paper, we propose Coarse and Fine-grained Distribution Alignment with Correlated and Separable Features (CFDA-CSF), which performs a coarse alignment over the global feature space, and a fine-grained alignment between modalities from each domain distribution. At the same time, the model learns intra-domain correlated features, while a separable feature space is encouraged on new subjects. We conduct an extensive experimental study across the available sessions on three public datasets for multi-modal emotion recognition: SEED, SEED-IV, and SEED-V. Our proposal effectively improves the recognition performance in every session, achieving an average accuracy of 93.05%, 85.87% and 91.20% for SEED; 85.72%, 89.60%, and 86.88% for SEED-IV; and 88.49%, 91.37% and 91.57% for SEED-V.","0",,"bioelectric potentials - deep learning (artificial intelligence) - electroencephalography - emotion recognition - feature extraction - medical signal processing - signal classification","CFDA-CSF - coarse-and-fine-grained distribution alignment-with-correlated-and-separable features - cross-subject emotion recognition - fine-grained structures - global feature space - intradomain correlated features - learned feature space - multimodal classifiers - multimodal domain adaptation method - multimodal emotion recognition - SEED-IV - SEED-V","C5260 Digital signal processing - B6140 Signal processing and detection - C6264 Neural nets - C7330 Biology and medical computing - B7510D Bioelectric signals - A8730C Electrical activity in neurophysiological processes - A8770F Electrodiagnostics and other electrical measurement techniques","G01N33/48 - G06N3/02 - G16B - G06N20/00 - A61B5/00","Practical (PRA); Theoretical or Mathematical (THR); Experimental (EXP)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Integration of Ant Colony Algorithm and Neural Networks for Task Management and Allocation in Groups of Mobile Robots","Darintsev, O. (1, 2); Migranov, A. (1) ","(1) Mavlyutov Institute of Mechanics URFS RAS, 71 Oktyabrya Avenue, Russia (2) Ufa University of Science and Technology, st. Zaki Validi, 32, Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","158-70","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_12","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","This paper addresses the use of intelligent algorithms for task allocation and trajectory planning in groups of mobile robots. Structural schemes and methodologies for management and planning have been developed, where the ant colony algorithm is used for generating initial solutions for task distribution and route searching, while a neural network is applied for subsequent optimization and adjustment of robot trajectories in real-time. The overall structural scheme of the management and planning system includes elements such as a task distribution unit among robots, an initial solution generator, a trajectory optimizer, a robot control subsystem, and a monitoring and adjustment unit. Special attention is given to the implementation of the task distribution subsystem (initial solution generator) based on the ant colony algorithm and the movement trajectory optimization block based on a neural network. The initial solution generator is used to find the initial set of routes and task distribution strategies among a group of mobile robots using the ant colony algorithm, which simulates the foraging behavior of ants. The neural network analyzes the formed set of routes for efficiency and safety, adjusting them according to current conditions and new information about obstacles or changes in tasks. Simulation results are presented using a group of mobile robots working in a field with various obstacle configurations. The simulation results conclude the feasibility of using the developed approach in real-world task allocation scenarios in a group of robots.","19",,"ant colony optimisation - mobile robots - neural nets - trajectory control","ant colony algorithm - initial solution generator - intelligent algorithms - mobile robots - movement trajectory optimization block - neural network analyzes - planning system - real-world task allocation scenarios - robot control subsystem - route searching - subsequent optimization - task distribution strategies - task distribution subsystem - task distribution unit - task management - trajectory planning","C1180 Optimisation techniques - C3120C Spatial variables control - C3390C Mobile robots - C6264 Neural nets - C7420 Control engineering computing","G05D3/00 - G05D1/00 - G06N3/02 - G05B15/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Mathematical Model and Design of the Mobile Robot with Propellers Which Working on the Periodic Jamming Effect","Bordyugov, D. (1); Briskin, E. (1); Sharonov, N. (1) ","(1) Volgograd State Technical University, 28 Lenin Avenue, Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","293-305","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_22","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","We consider a robot moving along a horizontally or inclined located rod. The potential use of the robot is possible for moving along extended rod structures (pipes, ropes, power lines). The design includes two bushings, one of which, due to frictional forces as a result of jamming, wraps around the rod and is held on it, while the other one moves freely. When mobile robot moving along a horizontally located rod occurs design adds two servo drives and additional weights which servo drives turns, under the action of the weight and the friction force between the supporting element and the guide the bushing jams, while the other is able to move freely along it. When moving along an inclined guide there is no need for additional weights, the engagement with the supporting surface is due to friction forces and the force acting from the linear actuator. The principle of operation of the propeller is based on the effect of periodic jamming. A mathematical model has been developed. Obtained dependencies which are necessary to determine the robot design features. A 3d model of a mobile robot with propulsion devices operating on the effect of periodic jamming has been developed, on it basis has been assembled the test stand.","16",,"friction - jamming - mobile robots - rods (structures)","additional weights - bushing jams - extended rod structures - friction force - frictional forces - horizontally located rod - inclined guide - mathematical model - mobile robot - periodic jamming effect - propellers which working - robot design features - servo drives","E2230 Robot and manipulator mechanics - C3120C Spatial variables control - C3390C Mobile robots - B5230 Electromagnetic compatibility and interference","G05D3/00 - G05D1/00 - H04K3/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Mutual Adaptation Model of Operator and Controlled Object in Ergatic Robotic System","Galin, R. (1); Meshcheryakov, R. (1); Turovsky, Y. (1); Galina, S. (1) ","(1) Trapeznikov Institute of Control Sciences, 65 Profsoyuznaya St., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","229-39","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_17","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","The presented paper deals with the problem of developing a model of mutual adaptation of the operator and the controlled object in an ergative robotic system. The simplest collaborative robotic system is taken as a robotic system, the participants of which are a manipulator type robot and an operator. Mutual adaptation in the control process is considered on the example of a system with service discipline and application of an alternative approach. An example of solving the problem of adapting the service discipline of a mass service system under conditions of unpredictability of the external environment, which inevitably change the optimal setting of the service discipline, is given. The main components of the developed model of the system with adaptive control on the basis of neural network are given. The basic structure of this system is proposed. In this way it will be possible to move to a suboptimal solution in the current situation, extremizing the given criterion of efficiency of system functioning. The paper provides an overview of work in the field of robot control and applications for robotic systems using neural networks.","25",,"adaptive control - human-robot interaction - mobile robots - path planning","adaptive control - ergatic robotic system - ergative robotic system - manipulator type robot - mass service system - mutual adaptation model - presented paper deals - robot control - service discipline - simplest collaborative robotic system - system functioning","C1340E Self-adjusting control systems - E2230 Robot and manipulator mechanics - C3120C Spatial variables control - C3390M Manipulators - C3390C Mobile robots - C3390 Robotics - C6180R Human-robot interaction - C7420 Control engineering computing","G05D3/00 - G05B15/00 - G05D1/00 - B25J - G05B13/00 - B25J13/00 - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Vectorized Visibility Graph Planning with Neural Polygon Extraction","Kasmynin, K. (1); Mironov, K. (1, 2, 3) ","(1) Moscow Institute of Physics and Technology, 9 Institutsky lane, Russia (2) AIRI Artificial Intelligence Research Institute, Russia (3) Ufa University of Science and Technology, 32 Zaki Validi St., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","265-80","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_20","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","This article proposes an approach for path planning in environments with obstacles. The methodology integrates recent neural obstacle polygon extraction with visibility graph path planning, complemented by the integration of vectorization techniques. That significantly enhances path planning efficiency. The modular design of the neural network method, encompassing contour detection, vertex identification, and polygon approximation modules, facilitates improved performance compared to traditional methods. Furthermore, the investigation into vectorization's impact on the intersection operation accelerates algorithm speed, contributing to faster path planning processes. Experimental results validate the efficacy of the integrated approach, showcasing notable improvements in path planning efficiency, especially with the utilization of vectorization techniques. The study systematically addresses challenges such as slow graph construction and inaccurate obstacle detection, providing a robust solution for optimizing path planning processes. Moreover, the implementation of multiple modules in the methodology enables its versatility for testing with various environments. This versatility allows researchers to assess the method's performance across diverse scenarios and visualize the results effectively. Overall, the integrated approach offers a comprehensive solution for optimizing path planning in complex environments, demonstrating its potential to streamline path planning processes and improve mobile robot navigation.","28",,"collision avoidance - graph theory - mobile robots - path planning","facilitates improved performance - faster path planning processes - inaccurate obstacle detection - integrated approach - neural network method - neural polygon extraction - polygon approximation modules - recent neural obstacle polygon extraction - slow graph construction - vectorization techniques - vectorized visibility graph planning - visibility graph path planning","C1160 Combinatorial mathematics - C3120C Spatial variables control - C3390C Mobile robots - C5260B Computer vision and image processing techniques","G05D1/00 - G05D3/00 - G06T - B60W30/08 - G08G - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Optimal Control Problems in Collaborative Multi-agent Robotic Systems","Shmalko, E. (1); Serebrenny, V. (2) ","(1) Russian Academy of Sciences, 44/2, Russia (2) Bauman Moscow State Technical University, 2nd Baumanskaya Str., 5, Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","281-92","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_21","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","The paper considers human-robot collaboration from the control point of view as the joint activity of robots and people in a single multi-agent system to achieve the desired objective with the optimal value of a quality criterion. The paper proposes a mathematical statement of the control problems for such complex plant. In the proposed formulation, the role of a person is described in the form of an additional control vector, with the help of which the influence of phase constraints is reduced in terms of functional minimization. So, the problem statements of the optimal control and the control general synthesis problems for collaborative systems include additional control vector in phase constraints. The problems are formulated for a single collaborative cell and for multi-agent collaborative system. The problem statements for multi-agent systems include also dynamic phase constraints to avoid collisions between robots. The problems of collaborative control in the proposed formulations can be solved by modern numerical methods of machine learning control. An example of optimal control problem for two mobile robots with two controlled phase constraints as operational zone for human-operators is presented. The problem is solved using machine synthesized optimal control method.","28",,"groupware - human-robot interaction - learning (artificial intelligence) - mobile robots - multi-agent systems - multi-robot systems - optimal control","additional control vector - collaborative control - collaborative multiagent robotic systems - collaborative systems - control general synthesis problems - control problems - controlled phase constraints - dynamic phase constraints - human-robot collaboration - machine learning control - mathematical statement - mobile robots - multiagent collaborative system - multiagent systems - optimal control method - optimal control problem - optimal value - problem statements - single collaborative cell - single multiagent system","C1180 Optimisation techniques - C1330 Optimal control - C3120C Spatial variables control - C3390C Mobile robots - C6130G Groupware - C6180R Human-robot interaction - C7420 Control engineering computing","G05D1/00 - G05B15/00 - G05D3/00 - B25J13/00 - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
