Title,Author,Author affiliation,Source,Sponsor,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"Consistent IoT Systems: A Perspective Based on Paraconsistent Descriptive Logic","Perez-Gaspar, M. (1); Gomez, J. (1); Barcenas, E. (2); Garcia, F. (1) ","(1) UNAM, Dept. of Telecommunications, Mexico (2) UNAM, Department of Computer Engineering, Mexico ","2024 International Conference on Intelligent Environments (IE)","","IEEE, Piscataway, NJ, USA","","101-4","2024","","","","","979-8-3503-8679-0","10.1109/IE61493.2024.10599925","2024 International Conference on Intelligent Environments (IE)","2024","Ljubljana, Slovenia","Internet of Things (IoT) devices generate vast and often contradictory data streams. This poses a challenge for IoT systems, which must make accurate and reliable decisions based on this data. Paraconsistent descriptive logic (PDL) is a branch of non-classical logic that can handle inconsistencies without compromising data reliability. We propose the integration of PDL into IoT systems to improve data coherence and reliability. We also introduce a Consistency Theorem that establishes rules for managing inconsistencies systematically and in a controlled way. Our efforts aim to pave the way for more robust, reliable, and user-friendly IoT systems.","0",,"formal logic - Internet of Things","consistency theorem - consistent IoT systems - contradictory data streams - data coherence - data reliability - Internet of Things devices - nonclassical logic - paraconsistent descriptive logic - PDL - user-friendly IoT systems","C4210 Formal logic - C5620D Internet of Things - B6210L Computer communications","H04L12/28 - G16Y","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Consistency in Smart Contracts Design","Dávila, R. (1); Aldeco-Pérez, R. (1); Bárcenas, E. (1) ","(1) Universidad Nacional Autónoma de México, CDMX, Mexico ","Programming and Computer Software","","Pleiades Publishing","v 51, n 8","p 605-613","December 2025","","2025","03617688","16083261","","10.1134/S0361768825700458","","","","Abstract: The reliability and security of Smart Contracts largely depend on the consistency of their rule design. This paper introduces a novel approach for analyzing and ensuring consistency in Smart Contracts prior to their implementation. By proposing a formal grammar that captures the concurrent primitives inherent in Smart Contracts, and an algorithm that generates finite state machines (FSMs) from these grammar-based rule sets, the study enables the identification of several problems at the design stage. The paper compares this methodology with related works that focus on post-implementation verification, highlighting the advantages of early-stage analysis. Through theoretical and real-world examples, including an analysis of the DAO attack, the paper demonstrates how inconsistencies can be detected systematically. Finally, a formal definition of consistency is presented, offering a foundation for future tools aimed at enhancing Smart Contract designs. © Pleiades Publishing, Ltd. 2025.","26","Design","Computational grammars - Formal languages - Smart contract","Analysis and verifications - Analyze and verification of smart contract - Consistency in smart contract - Contract design - DAO attack - Design stage - Finite state machine - Finite states machine - Formal grammars - Rule set","904 Design - 1102.1 Computer Theory, Includes Computational Logic, Automata Theory, Switching Theory, Programming Theory - 1105.3 Blockchain Technology - 1106.1.1 Computer Programming Languages","",,"Number: -, Acronym: UNAM, Sponsor: Universidad Nacional Aut&oacute;noma de M&eacute;xico; Number: 1006953, Acronym: -, Sponsor: -; Number: IA104724,PAPIME PE101125, Acronym: -, Sponsor: -; ","This work is supported by the Mexican Secretary SECIHITI (1006953) \u2013 UNAM \u2013 IIMAS \u2013 FI and partially supported by PAPIIT IA104724 & PAPIME PE101125 \u2013 UNAM \u2013 FI.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Self-Tuning Model for Energy-Context Optimization in Perpetual Sensor Nodes Within IoT-Integrated Hydroponic Systems","Hernandez-Benitez, A. (1); Vazquez-Castillo, J. (2); Estrada-Lopez, J.J. (3); Becerra-Nunez, G. (2); Colin-Garcia, N. (4); Castillo-Atoche, A. (1) ","(1) Autonomous University of Yucatan, Faculty of Engineering, Mexico (2) Autonomous University of Quintana Roo, Engineering Department, Mexico (3) Autonomous University of Yucatan, Faculty of Mathematics, Mexico (4) National Autonomous University of Mexico, National School of Higher Studies, Mexico ","IEEE Embedded Systems Letters","","IEEE, USA","v 16, n 3","267-70","2024","","","1943-0671","","","10.1109/LES.2024.3387310","","","","Hydroponic farming is a promising alternative to soil-based farming. However, it requires a precise control of the growth environment, which is hard to achieve with energy-constrained embedded systems. This letter presents an energy optimization technique for the continuous operation of energy harvesting-based hydroponics sensor nodes. The proposed technique is based on the self-tuning model, that dynamically adjust the duty cycle of the node, ensuring the autonomous operation of the Internet of Things system. The model can be programmed in a low-power microcontroller, allowing the decision-making process to reside entirely on the sensor node. Experimental results show that in the same time period, the self-tuning model allows 3.5× more data transmissions than a uniform 5-min duty cycle, while ensuring a minimum voltage level in the storage device. This balance allows the stored energy to be enough for continuous monitoring, providing a clean and cost-effective alternative to perpetually power the hydroponic system.",,,"decision making - embedded systems - energy harvesting - Internet of Things - microcontrollers - sensors - wireless sensor networks","autonomous operation - continuous operation - energy harvesting-based hydroponics - energy optimization technique - energy-constrained embedded systems - energy-context optimization - growth environment - hydroponic farming - hydroponic system - IoT-integrated hydroponic systems - low-power microcontroller - perpetual sensor nodes - self-tuning model - sensor node - soil-based farming - stored energy - uniform 5-min duty cycle","B1265F Microprocessors and microcomputers - E3010 Agriculture - C5620D Internet of Things - B6250K Wireless sensor networks - B7230 Sensing devices and transducers - B8450 Energy harvesting - A8630T Energy harvesting","A01 - H04B7/00 - H04W - H04L12/28 - G16Y - G06F15/76 - H02N2/18 - H04W84/18","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Asynchronous Fault-Tolerant Language Decidability for Runtime Verification of Distributed Systems","Castañeda, Armando (1); Valeria Rodríguez, Gilde (2) ","(1) Instituto de Matemáticas, Universdad Nacional Autónoma de México, Mexico (2) Universidad Nacional Autónoma de México, Mexico ","arXiv","","arXiv","","","May 31, 2025","","2025","","23318422","","10.48550/arXiv.2502.00191","","","","Implementing correct distributed systems is an error-prone task. Runtime Verification (RV) offers a lightweight formal method to improve reliability by monitoring system executions against correctness properties. However, applying RV in distributed settings—where no process has global knowledge—poses fundamental challenges, particularly under full asynchrony and fault tolerance. This paper addresses the Distributed Runtime Verification (DRV) problem under such conditions. In our model, each process in a distributed monitor receives a fragment of the input word describing system behavior and must decide whether this word belongs to the language representing the correctness property being verified. Hence, the goal is to decide languages in a distributed fault-tolerant manner. We propose several decidability definitions, study the relations among them, and prove possibility and impossibility results. One of our main results is a characterization of the correctness properties that can be decided asynchronously. Remarkably, it applies to any language decidability definition. Intuitively, the characterization is that only properties with no real-time order constraints can be decided in asynchronous fault-tolerant settings. These results expose the expressive limits of DRV in realistic systems, as several properties of practical interest rely on reasoning about real-time order of events in executions. To overcome these limitations, we introduce a weaker model where the system under inspection is verified indirectly. Under this weaker model we define predictive decidability, a decidability definition that turn some real-time sensitive correctness properties verifiable. Our framework unifies and extends existing DRV theory and sharpens the boundary of runtime monitorability under different assumptions. © 2025, CC BY.","45","Computability and decidability","Formal methods - Real time systems","Correctness properties - Distributed runtime - Distributed systems - Error prone tasks - Fault-tolerant - Property - Real- time - Run-time verification - Time ordering - Weak models","1102.1 Computer Theory, Includes Computational Logic, Automata Theory, Switching Theory, Programming Theory - 1103.4 Digital Computers and Systems - 1106.1 Computer Programming - 1106.5 Computer Applications","",,,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Ownership Authentication and Clinical Data Backup in DICOM Images via Robust Watermarking and Binary Data Hiding","Lopez-Martinez, Angela Axin (1); Fragoso-Navarro, Eduardo (1); Cedillo-Hernandez, Manuel (1); Garcia-Ugalde, Francisco (2) ","(1) Instituto Politecnico Nacional, SEPI ESIME Culhuacan, CDMX, Mexico (2) Universidad Nacional Autonoma de Mexico, CDMX, Mexico ","2025 10th International Conference on Frontiers of Signal Processing, ICFSP 2025","","Institute of Electrical and Electronics Engineers Inc.","","p 32-36","2025","2025 10th International Conference on Frontiers of Signal Processing, ICFSP 2025","2025","","","9798331574420","10.1109/ICFSP67350.2025.11353575","10th International Conference on Frontiers of Signal Processing, ICFSP 2025","September 10, 2025 - September 12, 2025","","Medical information is very important and delicate due to its relevance in clinical diagnosis, treatments, research and other commercial and non-commercial applications of governmental and private organizations. Recent advances in information and communication technologies have transformed the paradigm of medical data management, but also introduced new risks related to unauthorized access, manipulation, and distribution. To solve part of these problems, this paper proposes a method that employs two information security levels based on robust watermarking and binary data hiding, respectively. Firstly, clinical data is embedded into a logo using binary data hiding. Then, this logo is inserted into the spatial domain of a medical image through block segmentation, statistical information, and convolutional encoding for ownership authentication. Experimental results demonstrate logo robustness against JPEG DICOM compression in conjunction with aggressive attacks like cropping and copy-move, using bit error rate as a metric. The imperceptibility has been measured via peak signal-to-noise ratio and structural similarity index metrics. © 2025 IEEE.","17","Clinical research","Authentication - Bit error rate - Computer aided diagnosis - Convolution - Digital image storage - Digital Imaging and Communications in Medicine (DICOM) - Encoding (symbols) - Image compression - Information hiding - Information management - Medical computing - Medical image processing - Signal encoding","Authentication data - Binary data - Binary data hiding - Clinical data - Convolutional encoding - Data backups - Data-hiding - DICOM imaging - Ownership authentication - Robust watermarking","101.1 Biomedical Engineering - 102.1 Medicine - 102.1.2 Health Science - 716.1 Information Theory and Signal Processing - 902.2 Codes and Standards - 903 Information Science - 1103.1 Data Storage, Equipment and Techniques - 1103.4 Digital Computers and Systems - 1106.2 Data Handling and Data Processing - 1106.3 Digital Signal Processing - 1106.3.1 Image Processing - 1106.5 Computer Applications - 1106.9 Computer Software - 1108.1 Cybersecurity","",,"Number: -, Acronym: IPN, Sponsor: Instituto Polit&eacute;cnico Nacional; Number: -, Acronym: -, Sponsor: Secretar&iacute;a de Ciencia, Humanidades, Tecnolog&iacute;a e Innovaci&oacute;n; Number: -, Acronym: UNAM, Sponsor: Universidad Nacional Aut&oacute;noma de M&eacute;xico; ","Authors thanks the Instituto Politecnico Nacional (IPN) as well as the Secretaria de Ciencia, Humanidades, Tecnologia e Innovacion (SECIHTI) and in part by Universidad Nacional Autonoma de Mexico (UNAM), by the support provided during this research.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Web Interface Design for the Intelligent Management of a Differential Robot Applied to IoT Systems","Ibarra-Yanez, M.A. (1); Lopez-Mera, G.H. (1); Cruz-Morales, R.D. (1); Luna-Gomez, A.A. (1) ","(1) Universidad Nacional Autonoma de Mexico, Facultad de Estudios Superiores Cuautitlan, Mexico ","2025 XXVII Robotics Mexican Congress (COMRob)","","IEEE, Piscataway, NJ, USA","","68-73","2025","","","","","979-8-3315-7591-5","10.1109/COMRob68109.2025.11264804","2025 XXVII Robotics Mexican Congress (COMRob)","2025","Torreon, Mexico","Human-robot interaction is a core pillar in mobile robotics for efficient and diverse product development. This paper provides an advanced web-based control interface for a differential robot which allows full management and real-time monitoring of its behavior. It operates through an ESP32 microcontroller where both sides communicate with a web client using the WebSocket protocol. There are three operating modes: manual by sliders, autonomous navigation toward distinct (X, Y) coordinates, and a pioneering trajectory-tracking mode that lets the operator generate a path directly on a digital canvas. Also, the user interface has a monitoring panel with real-time information on such things as motor RPM, position, and robot orientation, all supported by dynamic charts. Differential kinematics and sensor fusion enable hardware and software integration by merging encoder-based odometry with an IMU for more precise positioning. The final outcome is a powerful, intuitive, and flexible platform which serves as a solid basis for future applications in autonomous exploration, logistics, and educational environments.",,,"control engineering computing - human-robot interaction - Internet - Internet of Things - microcontrollers - mobile robots - path planning - position control - robot vision - sensor fusion - user interfaces","advanced web-based control interface - autonomous navigation - core pillar - differential robot applied - digital canvas - diverse product development - efficient product development - encoder-based odometry - ESP32 microcontroller - human-robot interaction - intelligent management - IoT systems - mobile robotics - monitoring panel - operating modes - pioneering trajectory-tracking mode - real-time information - real-time monitoring - robot orientation - sensor fusion - user interface - web client - web interface design - WebSocket protocol","C3120C Spatial variables control - C3390 Robotics - C3390C Mobile robots - C6180R Human-robot interaction - C6180 User interfaces - C7210N Information networks - C7420 Control engineering computing","B25J13/00 - G05B15/00 - G05D3/00 - G05D1/00","Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Challenger: Blockchain-based Massively Multiplayer Online Game Architecture","Chan Yip Hon, B. (1); Zaghdoudi, B. (1); Potop-Butucaru, M. (1); Tixeuil, S. (1); Fdida, S. (1) ","(1) Sorbonne Universite, LIP6, 75005, France ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","50-66","2024","","","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_3","International Conference on Networked Systems","2024","Rabat, Morocco","We propose Challenger a peer-to-peer blockchain-based middleware architecture for narrative games, and discuss its resilience to cheating attacks. Our architecture orchestrates nine services in a fully decentralized manner where nodes are not aware of the entire composition of the system nor its size. All these components are orchestrated together to obtain (strong) resilience to cheaters. The main contribution of the paper is to provide, for the first time, an architecture for narrative games agnostic of a particular blockchain that brings together several distinct research areas, namely distributed ledgers, peer-to-peer networks, multi-player-online games and resilience to attacks.","25",,"blockchains - computer games - middleware - peer-to-peer computing","architecture orchestrates nine services - Challenger - cheating attacks - entire composition - fully decentralized manner - multiplayer online game architecture - multiplayer-online games - narrative games - particular blockchain - peer-to-peer blockchain-based middleware architecture - peer-to-peer networks","C6130S Data security - C6160B Distributed databases - C7830D Computer games","G06F21/00 - H04L9/00 - A63F13/00","Practical (PRA)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Tensorization of f-Divergences","Cruz, Rodrigo (1); Diaz, Mario (2); Calmon, Flavio P. (1) ","(1) Harvard University, Cambridge; MA, United States (2) Universidad Nacional Autónoma de México, Mexico City, Mexico ","IEEE International Symposium on Information Theory - Proceedings","Google; Nokia Bell Labs; Qualcomm; University of Michigan","Institute of Electrical and Electronics Engineers Inc.","","","2025","ISIT 2025 - 2025 IEEE International Symposium on Information Theory, Proceedings","2025","21578095","","9798331543990","10.1109/ISIT63088.2025.11195387","2025 IEEE International Symposium on Information Theory, ISIT 2025","June 22, 2025 - June 27, 2025","","In many applications across statistics, differential privacy, and machine learning, it is necessary to evaluate or bound an f-divergence between distributions of random vectors with independent components. Even for relatively simple distributions, such computations can become intractable unless the chosen f-divergence tensorizes. In this work, we introduce a formal definition of tensorization for f-divergences and present a necessary condition under which such tensorization can occur. Moreover, we demonstrate - under certain assumptions - that the only f-divergences admitting a polynomial tensorization formula of degree at most two are, essentially, the KL divergence, cross-entropy, and Hellinger divergences of order α. Taken together, our findings represent an initial step toward a complete characterization of f-divergences that tensorize. © 2025 IEEE.","22","Learning systems","Differential privacy - Independent component analysis","Condition - Differential privacies - F-divergence - Formal definition - Independent components - KL-divergence - Machine-learning - Random vectors - Simple++ - Tensorization","716.1 Information Theory and Signal Processing - 1101.2 Machine Learning - 1106.2 Data Handling and Data Processing - 1108.1 Cybersecurity - 1202 Statistical Methods","",,"Number: CIF 2312667,FAI 2040880,CIF 2231707, Acronym: NSF, Sponsor: National Science Foundation; Number: -, Acronym: NSF, Sponsor: National Science Foundation; ","The work of M. Diaz was supported in part by the Programa de Apoyo a Proyectos de Investigacion e Innovacion Tecnologica (PAPIIT) under grant IN103224. This material is based upon work supported by the National Science Foundation under grants CIF 2312667, FAI 2040880, CIF 2231707. The authors would like to acknowledge the use of ChatGPT (version o1, OpenAI) for proofreading, editing and formatting, which improved the clarity of this manuscript.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Color Image Protection via Quantum Encryption and HVS-Based Mini-Block Data Hiding","Olvera-Martinez, Luis (1); Cedillo-Hernandez, Manuel (1); Diaz-Rodriguez, Carlos (1); Faustinos-Morales, Leonardo (2) ","(1) Mecánica y Eléctrica Unidad Culhuacan, Instituto Politécnico Nacional Escuela Superior de Ingeniería, CDMX, Mexico (2) Universidad Nacional Autónoma de Mexico, CDMX, Mexico ","2025 10th International Conference on Frontiers of Signal Processing, ICFSP 2025","","Institute of Electrical and Electronics Engineers Inc.","","p 16-20","2025","2025 10th International Conference on Frontiers of Signal Processing, ICFSP 2025","2025","","","9798331574420","10.1109/ICFSP67350.2025.11353827","10th International Conference on Frontiers of Signal Processing, ICFSP 2025","September 10, 2025 - September 12, 2025","","With the growing demand for secure and efficient digital image processing, the integration of data hiding and encryption techniques has become essential to ensure both confidentiality and integrity of visual information. This paper proposes a hybrid approach that combines a low complexity steganographic scheme for binary and color images with a computationally efficient encryption technique inspired by quantum operators. In the data hiding component, an RGB channel of a color image is selected, and its least significant bit plane is extracted. This bit plane is then divided into suitable blocks, and HVS-based encoding tables are used to embed the information within these blocks, achieving high embedding capacity while preserving visual quality. In parallel, the encryption stage operates on color images and is based on a novel operator model that simulates quantum behaviors such as creation, exchange, and annihilation, enabling effective protection without requiring intensive mathematical processing. Experimental validation confirms the robustness of the combined approach through quality metrics such as PSNR, SSIM and entropy. © 2025 IEEE.","17","Mathematical operators","Binary images - Embeddings - Information hiding - Privacy-preserving techniques - Quantum cryptography - RGB color model - Steganography","Braided quantum - Colour image - Data-hiding - Dynamic matrix - Encryption technique - Finite fields - Image protection - matrix - Quantum encryption - Quantum operators","741.1 Light/Optics - 1101 Artificial Intelligence - 1101.2 Machine Learning - 1106.3.1 Image Processing - 1106.9 Computer Software - 1108.2 Cryptography - 1201 Mathematics","",,"Number: -, Acronym: IPN, Sponsor: Instituto Polit&eacute;cnico Nacional; ","This article is funded by Instituto Polit\u00E9cnico Nacional.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Towards Stronger Blockchains: Security Against Front-Running Attacks","Misra, A. (1); Kshemkalyani, A.D. (1) ","(1) University of Illinois at Chicago, Chicago, IL, United States ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","171-87","2024","","","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_11","International Conference on Networked Systems","2024","Rabat, Morocco","Blockchains add transactions to a distributed shared ledger by arriving at consensus on sets of transactions contained in blocks. This provides a total ordering on a set of global transactions. However, total ordering is not enough to satisfy application semantics under the Byzantine fault model. This is due to the fact that malicious miners and clients can collaborate to add their own transactions ahead of correct clients' transactions in order to gain application level and financial advantages. These attacks fall under the umbrella of front-running attacks. In this paper, we propose causality preserving total order as a solution to this problem. The resulting blockchains will be stronger than traditional consensus based blockchains and will provide enhanced security ensuring correct application semantics in a Byzantine setting.","33",,"blockchains - computer crime - computer network security","Byzantine fault model - Byzantine setting - causality preserving total order - correct application semantics - correct clients - distributed shared ledger - front-running attacks security - global transactions - malicious miners - resulting blockchains - towards stronger blockchains","B6120D Cryptography - C6130S Data security - C6160B Distributed databases - B6210L Computer communications - C7120 Financial computing","H04L9/00 - H04L12/28 - G06F21/00 - G06Q30/00 - G06Q40/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
