Title,Author,Author affiliation,Source,Sponsor,Publisher/Repository,Volume and Issue,Pages,Issue date,Publication year,ISSN,ISBN13,DOI,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Open Access type(s),Database,Copyright,Data Provider
"Consistent IoT Systems: A Perspective Based on Paraconsistent Descriptive Logic","Perez-Gaspar, M. (1); Gomez, J. (1); Barcenas, E. (2); Garcia, F. (1) ","(1) UNAM, Dept. of Telecommunications, Mexico (2) UNAM, Department of Computer Engineering, Mexico ","2024 International Conference on Intelligent Environments (IE)","","IEEE, Piscataway, NJ, USA","","101-4","2024","","","979-8-3503-8679-0","10.1109/IE61493.2024.10599925","2024 International Conference on Intelligent Environments (IE)","2024","Ljubljana, Slovenia","Internet of Things (IoT) devices generate vast and often contradictory data streams. This poses a challenge for IoT systems, which must make accurate and reliable decisions based on this data. Paraconsistent descriptive logic (PDL) is a branch of non-classical logic that can handle inconsistencies without compromising data reliability. We propose the integration of PDL into IoT systems to improve data coherence and reliability. We also introduce a Consistency Theorem that establishes rules for managing inconsistencies systematically and in a controlled way. Our efforts aim to pave the way for more robust, reliable, and user-friendly IoT systems.","0",,"formal logic - Internet of Things","consistency theorem - consistent IoT systems - contradictory data streams - data coherence - data reliability - Internet of Things devices - nonclassical logic - paraconsistent descriptive logic - PDL - user-friendly IoT systems","C4210 Formal logic - C5620D Internet of Things - B6210L Computer communications","H04L12/28 - G16Y","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Algebraic Computations in Anonymous VANET","Kowalski, D.R. (1); Mosteiro, M.A. (2); Powlette, A. (2) ","(1) Augusta University, Augusta, GA, United States (2) Pace University, New York, NY, United States ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","142-56","2024","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_9","International Conference on Networked Systems","2024","Rabat, Morocco","In the area of development of AI/ML applications in Vehicular Adhoc Networks (VANET), a highly dynamic environment, efficient algebraic distributed computations are of utmost importance. On the other hand, there is a growing concern about privacy of users/drivers. One of the solutions is to perform computations assuming anonymity of the users. There is already a large amount of work on this topic in the general Anonymous Dynamic Network model, however the obtained theoretical guarantees are not suitable for very large-scale networks, such as VANET. In this work, we propose an anonymous algebraic computation framework tailored for VANET, called Anonymous Vehicular Adhoc Networks (A-VANET). We introduce heuristic changes to the Restricted Methodical Counting (RMC) protocol aiming to speed up performance in A-VANET with respect to the theoretical bounds in general Anonymous Dynamic Networks. We evaluate this protocol on traces of taxi trips in New York City extracted from publicly available data from 2013, and on a highway traffic environment modeled by a set of path graphs. Both inputs are highly dynamic including also recurrent disconnections. Our results show that, for the parameter combinations tested and for networks with good expansion, RMC is sub-quadratic and even linear under some conditions. Therefore, even the theoretical upper bound proved as a function of connectivity parameters is loose by a factor of more than n7 . These results show the promise of further exploring the question of what is the optimal running time for algebraic computations in A-VANET and other practically-motivated Anonymous Dynamic Networks with limited messages, memory and disconnections.","23",,"data privacy - graph theory - telecommunication computing - vehicular ad hoc networks","A-VANET - algebraic computations - anonymous algebraic computation framework - Anonymous VANET - called Anonymous Vehicular Adhoc Networks - efficient algebraic distributed computations - general Anonymous Dynamic Network model - general Anonymous Dynamic Networks - highly dynamic environment - highway traffic environment - large-scale networks - practically-motivated Anonymous Dynamic Networks - Restricted Methodical Counting protocol - RMC - theoretical bounds - theoretical guarantees","C1160 Combinatorial mathematics - C6130S Data security - B6150M Protocols - B6250F Mobile radio systems - C7410F Communications computing - C7445 Traffic engineering computing","H04B7/00 - H04B7/26 - H04W - G06F21/00 - H04L67/01 - H04W84/18","Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Self-Tuning Model for Energy-Context Optimization in Perpetual Sensor Nodes Within IoT-Integrated Hydroponic Systems","Hernandez-Benitez, A. (1); Vazquez-Castillo, J. (2); Estrada-Lopez, J.J. (3); Becerra-Nunez, G. (2); Colin-Garcia, N. (4); Castillo-Atoche, A. (1) ","(1) Autonomous University of Yucatan, Faculty of Engineering, Mexico (2) Autonomous University of Quintana Roo, Engineering Department, Mexico (3) Autonomous University of Yucatan, Faculty of Mathematics, Mexico (4) National Autonomous University of Mexico, National School of Higher Studies, Mexico ","IEEE Embedded Systems Letters","","IEEE, USA","v 16, n 3","267-70","2024","","1943-0671","","10.1109/LES.2024.3387310","","","","Hydroponic farming is a promising alternative to soil-based farming. However, it requires a precise control of the growth environment, which is hard to achieve with energy-constrained embedded systems. This letter presents an energy optimization technique for the continuous operation of energy harvesting-based hydroponics sensor nodes. The proposed technique is based on the self-tuning model, that dynamically adjust the duty cycle of the node, ensuring the autonomous operation of the Internet of Things system. The model can be programmed in a low-power microcontroller, allowing the decision-making process to reside entirely on the sensor node. Experimental results show that in the same time period, the self-tuning model allows 3.5× more data transmissions than a uniform 5-min duty cycle, while ensuring a minimum voltage level in the storage device. This balance allows the stored energy to be enough for continuous monitoring, providing a clean and cost-effective alternative to perpetually power the hydroponic system.",,,"decision making - embedded systems - energy harvesting - Internet of Things - microcontrollers - sensors - wireless sensor networks","autonomous operation - continuous operation - energy harvesting-based hydroponics - energy optimization technique - energy-constrained embedded systems - energy-context optimization - growth environment - hydroponic farming - hydroponic system - IoT-integrated hydroponic systems - low-power microcontroller - perpetual sensor nodes - self-tuning model - sensor node - soil-based farming - stored energy - uniform 5-min duty cycle","B1265F Microprocessors and microcomputers - E3010 Agriculture - C5620D Internet of Things - B6250K Wireless sensor networks - B7230 Sensing devices and transducers - B8450 Energy harvesting - A8630T Energy harvesting","A01 - H04B7/00 - H04W - H04L12/28 - G16Y - G06F15/76 - H02N2/18 - H04W84/18","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Web Interface Design for the Intelligent Management of a Differential Robot Applied to IoT Systems","Ibarra-Yanez, M.A. (1); Lopez-Mera, G.H. (1); Cruz-Morales, R.D. (1); Luna-Gomez, A.A. (1) ","(1) Universidad Nacional Autonoma de Mexico, Facultad de Estudios Superiores Cuautitlan, Mexico ","2025 XXVII Robotics Mexican Congress (COMRob)","","IEEE, Piscataway, NJ, USA","","68-73","2025","","","979-8-3315-7591-5","10.1109/COMRob68109.2025.11264804","2025 XXVII Robotics Mexican Congress (COMRob)","2025","Torreon, Mexico","Human-robot interaction is a core pillar in mobile robotics for efficient and diverse product development. This paper provides an advanced web-based control interface for a differential robot which allows full management and real-time monitoring of its behavior. It operates through an ESP32 microcontroller where both sides communicate with a web client using the WebSocket protocol. There are three operating modes: manual by sliders, autonomous navigation toward distinct (X, Y) coordinates, and a pioneering trajectory-tracking mode that lets the operator generate a path directly on a digital canvas. Also, the user interface has a monitoring panel with real-time information on such things as motor RPM, position, and robot orientation, all supported by dynamic charts. Differential kinematics and sensor fusion enable hardware and software integration by merging encoder-based odometry with an IMU for more precise positioning. The final outcome is a powerful, intuitive, and flexible platform which serves as a solid basis for future applications in autonomous exploration, logistics, and educational environments.",,,"control engineering computing - human-robot interaction - Internet - Internet of Things - microcontrollers - mobile robots - path planning - position control - robot vision - sensor fusion - user interfaces","advanced web-based control interface - autonomous navigation - core pillar - differential robot applied - digital canvas - diverse product development - efficient product development - encoder-based odometry - ESP32 microcontroller - human-robot interaction - intelligent management - IoT systems - mobile robotics - monitoring panel - operating modes - pioneering trajectory-tracking mode - real-time information - real-time monitoring - robot orientation - sensor fusion - user interface - web client - web interface design - WebSocket protocol","C3120C Spatial variables control - C3390 Robotics - C3390C Mobile robots - C6180R Human-robot interaction - C6180 User interfaces - C7210N Information networks - C7420 Control engineering computing","B25J13/00 - G05B15/00 - G05D3/00 - G05D1/00","Practical (PRA)",,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Dynamic Resource Allocation for 5G Device-to-Device Communication Based on Expected SARSA","Wanniarachchi, S.T. (1); Turau, V. (1) ","(1) Hamburg University of Technology, Am Schwarzenberg-Campus 3, Germany ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","231-46","2024","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_16","International Conference on Networked Systems","2024","Rabat, Morocco","Device-to-device (D2D) communication is a key technology introduced with the fifth generation (5G) communication standards. D2D aids massively in catering the continuously increasing demand on the connectivity needs. Despite that, there are several challenges involved with D2D communication. Among other issues, interference management is of high importance when coexisting with the traditional cellular network. Improper interference handling in the network leads to increased system delay, low sum rate and throughput along with reduced spectral efficiency. The strategy of allocating resources such as channel, spectrum and transmission power is a fundamental component leading to interference management. In our work, we address this challenge of interference management in 5G D2D communication. We first investigate the resource allocation methods for D2D communication suggested in the literature. Then we propose a dynamic resource allocation technique for 5G D2D users based on Expected SARSA reinforcement learning algorithm. With simulation results, we show that the system throughput performance can be uplifted to a greater extent while maintaining a high reliability by applying the proposed dynamic resource allocation algorithm.","35",,"5G mobile communication - cellular radio - mobile radio - reinforcement learning - resource allocation - telecommunication computing","5G device-to-device communication - dynamic resource allocation algorithm - dynamic resource allocation technique - expected SARSA - fifth generation communication standards - improper interference - interference management - low sum rate - reduced spectral efficiency - resource allocation methods - SARSA reinforcement learning algorithm - traditional cellular network - transmission power","B5230 Electromagnetic compatibility and interference - B6250F Mobile radio systems - C6263 Reinforcement learning - C7410F Communications computing - A8620X Telecommunication systems (energy utilisation)","H04B7/00 - H04B7/26 - H04W - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"BeRGeR: Byzantine-Robust Geometric Routing","Zaz, B. (1); Nesterenko, M. (1); Sharma, G. (1) ","(1) Kent State University, Department of Computer Science, Kent, OH 44242, United States ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","247-63","2024","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_17","International Conference on Networked Systems","2024","Rabat, Morocco","We present BeRGeR: the first asynchronous geometric routing algorithm that guarantees delivery of a message despite a Byzantine fault without relying on cryptographic primitives or randomization. The communication graph is a planar embedding that remains three-connected if all edges intersecting the source-target line segment are removed. We prove the algorithm correct and estimate its message complexity.","47",,"communication complexity - fault tolerant computing - graph theory - telecommunication network routing","asynchronous geometric routing algorithm - BeRGeR - Byzantine fault - Byzantine-robust geometric routing - communication graph - cryptographic primitives - message complexity - randomization - source-target line segment","B0250 Combinatorial mathematics - C1160 Combinatorial mathematics - C4240C Computational complexity - B6120D Cryptography - C6130S Data security - B6150P Communication network design, planning and routing","H04L9/00 - H04W16/00 - H04W40/00 - G06F21/00","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"'A Cooperative Multi Indicator-Based Ant Colony Optimization Algorithm for the MOGenConVRP'","Velázquez Cruz, R.F. (1); Hernández Castellanos, C.I. (1) ","(1) IIMAS-UNAM, Mexico ","GECCO '23 Companion: Proceedings of the Companion Conference on Genetic and Evolutionary Computation","SIGEVO","ACM, New York, NY, USA","","215-18","2024","","","979-8-4007-0495-6","10.1145/3638530.3654416","GECCO '24 Companion: Genetic and Evolutionary Computation Conference Companion","2024","Melbourne, VIC, Australia","Using quality indicators to guide the search on multi-objective evolutionary algorithms (MOEAs) is one of the most prominent approaches. Since quality indicators incorporate the preferences on the Pareto approximation and diversity of solutions. Recently, there has been an interest in algorithms based on the cooperation of multiple indicators, mostly using MOEAs as a baseline.We propose the Cooperative Multi Indicator-Based Ant Colony Optimization algorithm (cMIBACO). A novel algorithm based on the cooperation of three quality indicators (hypervolume, ε+, R2) to improve the diversity and avoid premature convergence to a local optimum. This algorithm uses an external archive to obtain the set of approximated solutions.We tested the algorithm against indicator-based ACOs on several instances of the Multi-objective Generalized Consistent Vehicle Routing Problem (MOGenConVRP) and investigated for statistical significance. Our experimental results show that cMIBACO has competitive results to the state-of-the-art and opens the door for further research in this direction.",,,"ant colony optimisation - evolutionary computation - optimisation - Pareto optimisation - search problems - vehicle routing","approximated solutions - indicator-based ACOs - MOEAs - MOGenConVRP - MultiIndicator-Based Ant Colony Optimization algorithm - multiobjective evolutionary algorithms - Multiobjective Generalized Consistent Vehicle Routing Problem - multiple indicators - quality indicators","E0210G Optimisation - B0260 Optimisation techniques - C1160 Combinatorial mathematics - C1180 Optimisation techniques - C1290H Systems theory applications in transportation","","Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Fish Image Classification Based on MobileNetV2 with Transfer Learning Technique for Robotic Application in Aquaculture","Van Nghia, L. (1); Van Tuyen, T. (2); Ronzhin, A. (1) ","(1) St. Petersburg Federal Research Center of the Russian Academy of Sciences (SPC RAS), 39, 14Th Line V.O., St. Petersburg, Russia (2) Le Quy Don Technical University, Viet Nam ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","","Springer Nature, Berlin, Germany","","201-12","2024","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_15","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","Intelligent aquaculture helps solve the problems of traditional aquaculture by applying smart production methods. The combination of technology and the art of farming has opened the door to the smart seafood industry, where artificial intelligence, IoT and automation systems are effectively applied and are completely changing management. From water quality management to monitoring the health of farm animals, harvesting, and feeding are all done automatically and quickly with high efficiency. Among them, fish classification is an essential task in smart aquaculture. In the field of image classification DCNN has achieved remarkable successes. However, applying DCNN models also requires a large amount of data to train the model and a long training time. Therefore, applying a model based on MobileNetv2 has solved these problems. In this article, the fish image classification method based on MobileNetv2 with Transfer learning is applied. We used the MobileNetV2 network pre-trained by the ImageNet dataset as the base network and added the following layers to the base model and Softmax classifier, this new model is Adam optimized. This method finally achieved a classification accuracy of 98.18% in the test dataset of 330 images of 5 fish types.","27",,"aquaculture - artificial intelligence - convolutional neural nets - deep learning (artificial intelligence) - feature extraction - image classification - Internet of Things - learning (artificial intelligence) - pattern classification - quality management - water quality","5 fish types - applying DCNN models - artificial intelligence - automation systems - base network - classification accuracy - farm animals - fish classification - fish image classification method - image classification DCNN - intelligent aquaculture - long training time - MobileNetV2 network pre-trained - robotic application - smart aquaculture - smart production methods - smart seafood industry - traditional aquaculture - Transfer learning technique - water quality management","E3010 Agriculture - C5260B Computer vision and image processing techniques - C5620D Internet of Things - B6135E Image recognition - C6264 Neural nets - C7330 Biology and medical computing - C7860 Agriculture, forestry and fisheries computing","G16B - H04L12/28 - G16Y - G06T - A01 - G06N3/02 - A01K61/00 - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Synthesis of flexible and sub-microstructured gold thin films with honeycomb cavities","Zarate-Reyes, J.M. (1); Kudriavtsev, Y. (1); Sanchez-Dena, O. (2, 3); Cheang-Wong, J.C. (4); Asomoza, R. (1) ","(1) National Polytechnic Institute, Electrical Engineering Department, Av. IPN 2508, Mexico (2) Universidad Autonoma de Ciudad Juarez, Av. del Charro 450 Norte, Mexico (3) CONAHCYT Consejo Nacional de Humanidades Ciencias y Tecnologias, Avenida Insurgentes Sur 1582, Mexico (4) Universidad Nacional Autonoma de Mexico, Instituto de Fisica, Mexico ","Sensors and Actuators A: Physical","","Elsevier B.V., Netherlands","v 382","116135","01 Feb 2025","","1873-3069","","10.1016/j.sna.2024.116135","","","","The synthesis of flexible adhesive tapes consisting of a sub-microstructured gold thin film with honeycomb cavities is reported for the first time. The tape was fabricated by transferring the sub-microstructured Au thin film from a rigid substrate to a transparent tape by a 'paste and peel off' process. The geometrical properties of the Au honeycomb cavities were extensively analyzed using SEM and AFM images. Their optical properties were characterized by UV-VIS spectroscopy. The extinction spectra exhibit minimum and maximum values centered at 500nm and 760nm, respectively. A clear dichroic behavior was demonstrated through the sinusoidal modulation of the absorbance intensity (about 25% of its absolute value) as a function of the polarization angle. Additionally, the Surface-Enhanced Raman Scattering efficiency of the samples was tested using Rhodamine 6G dye, exhibiting excellent stability and reaching a sensitivity level of 10−7M. These findings open new exciting potential applications in various fields of scientific research. All rights reserved Elsevier.","30",,"adhesion - adhesives - atomic force microscopy - crystal microstructure - dyes - extinction coefficients - gold - metallic thin films - scanning electron microscopy - surface enhanced Raman scattering - transparency - ultraviolet spectra - visible spectra","absorbance intensity - AFM - Au/el - Au/sur - extinction spectra - flexible adhesive tapes - flexible thin films - honeycomb cavities - paste method - peel off method - polarization angle - Rhodamine 6G dye - rigid substrate - SEM - sinusoidal modulation - sub-microstructured gold thin film - surface-enhanced Raman scattering - transparent tape - UV-vis spectroscopy","A6480G Microstructure - A6820 Solid surface structure - A6855 Thin film growth, structure, and epitaxy - A7820D Optical constants and parameters (condensed matter) - A7830K Infrared and Raman spectra of metals, semimetals, and alloys - A7840K Visible and ultraviolet spectra of metals, semimetals, and alloys - A7865E Optical properties of metals and metallic alloys (thin films, low-dimensional and nanoscale structures) - A8120G Preparation of metals and alloys (compacts, pseudoalloys) - A8165 Adhesion and related phenomena","","Experimental (EXP)","All Open Access, Hybrid Gold","Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Sharding in Permissionless Systems in Presence of an Adaptive Adversary","Anceaume, E. (1); Frey, D. (1); Rauch, A. (1) ","(1) University of Rennes, France ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","1-31","2024","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_1","International Conference on Networked Systems","2024","Rabat, Morocco","We present SplitChain, a protocol intended to support the creation of scalable proof-of-stake and account-based blockchains without undermining decentralization and security. This is achieved by using sharding, i.e. by splitting the blockchain into several lighter chains managed by their own disjoint sets of validators called shards. These shards balance the load by processing disjoint sets of transactions in parallel. SplitChain distinguishes itself from other sharded blockchains by reducing the synchronization constraints among shards while maintaining security guarantees in an asynchronous setting. A dedicated routing protocol enables transactions to be redirected between shards with a low number of hops and messages. Finally, the protocol is designed to dynamically adapt the number of shards to the system load to avoid over-dimensioning issues encountered in static sharding-based solutions.","11",,"blockchains - cryptocurrencies - cryptographic protocols - routing protocols - transaction processing","adaptive adversary - blockchain - disjoint sets - over-dimensioning issues avoidance - permissionless systems - sharded blockchains - SplitChain - static sharding-based solutions - validators","B6120D Cryptography - C6130S Data security - B6150P Communication network design, planning and routing - B6150M Protocols - C6160B Distributed databases - C7120 Financial computing","H04L9/00 - H04L67/01 - H04W16/00 - H04W40/00 - G06F21/00 - G06Q30/00 - G06Q40/00 - G06F9/44","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
