Title,Author,Author affiliation,Source,Sponsor,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Open Access type(s),Database,Copyright,Data Provider
"Graph Theory-Based Fault Location Method for Transmission Systems With Renewable Energy Sources","Gonzalez, V. (1); Torres-Garcia, V. (2); Guillen, D. (3); Castro, L.M. (4) ","(1) National Autonomous University of Mexico, Postgraduate in Electrical Engineering, Mexico (2) GIIE, National Technological Institute of Mexico, Mexico (3) Tecnológico de Monterrey, School of Engineering and Sciences, Mexico (4) National Autonomous University of Mexico, Department of Electrical Energy, Mexico ","IEEE Open Access Journal of Power and Energy","","IEEE, USA","v 11","611-23","2024","","","2687-7910","","","10.1109/OAJPE.2024.3507537","","","","Fault location has been crucial in minimizing fault restoration time. Various techniques and methodologies have been deployed to enhance the performance of fault location algorithms, especially in light of the increasing integration of renewable energy sources. In this context, this paper describes a graph-theory-based method for fault location in power networks with renewable energy sources. This novel technique is designed to provide accurate fault distance estimates, even in the presence of severe noise and fault resistance. It takes advantage of graph theory and equivalent impedances applying Kirchhoff's laws systematically to ensure accurate fault location even in the presence of fault resistances. To showcase the improved accuracy of the proposed methodology, a comparison with typical impedance-based two-terminal fault location methods is carried out. The effectiveness of the proposed algorithm was proven with different electrical systems. Average errors inferior to 0.22% and 0.48% were obtained for single-phase faults and three-phase faults with resistances up to $200~\Omega $ respectively, which confirms the improved performance with respect to conventional algorithms implemented in typical impedance relays.","38",,"electric impedance - electric resistance - fault location - graph theory - power transmission faults - renewable energy sources","fault distance estimation - fault resistance - fault restoration time - graph theory-based fault location method - graph-theory-based method - impedance-based two-terminal fault location methods - Kirchhoffs laws - power networks - power transmission system - renewable energy sources - severe noise","B0250 Combinatorial mathematics - B8120 Power transmission, distribution and supply - B8140 Power system protection","H02J3/00 - G01R31/08","New development (NEW); Practical (PRA); Theoretical or Mathematical (THR)","All Open Access, Gold","Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Iterated local search for the label printing problem","Alonso-Pecina, Federico (1); Romero, David (2); Cruz-Chávez, Marco Antonio (3) ","(1) Universidad Autónoma del Estado de Morelos, Morelos, Cuernavaca, Mexico (2) Universidad Nacional Autónoma de México, Mexico City, Mexico (3) CIICAP, Universidad Autónoma del Estado de Morelos, Morelos, Cuernavaca, Mexico ","Journal of the Operational Research Society","","Taylor and Francis Ltd.","v 75, n 1","p 39-48","2024","","2024","01605682","14769360","","10.1080/01605682.2023.2174053","","","","In the label printing problem (LPP), a set of labels must be printed in specified quantities, using n templates to be defined. Each template can accommodate a fixed number of printing plates. The LPP consists of determining: (1) an n-partition of the labels, where each block defines the labels that share a template, (2) for each label the number of identical printing plates to place in one of the n templates, and (3) the number of imprints to make with each template. The objective is to satisfy the labels’ demand while minimising total waste. Since the LPP is NP-Hard, to solve it, we propose here an Iterated Local Search heuristic that, once tested on all the instances available to us, it improved many of the best known results or find the optimum, when it is known. © Operational Research Society 2023.","25","Integer programming","Combinatorial optimization - Heuristic algorithms - Local search (optimization)","Fixed numbers - Heuristic - Integer Program- ming - Iterated local search - Label printing - Local search heuristics - Metaheuristic - NP-hard - Printing problems","723.1 Computer Programming - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory - 921.5 Optimization Techniques","",,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Concurrent Wait-Free Graph Snapshots Using Multi-versioning","Bhardwaj, G. (1); Ahmed, A. (1); Peri, S. (1) ","(1) Indian Institute of Technology Hyderabad, India ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","32-49","2024","","","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_2","International Conference on Networked Systems","2024","Rabat, Morocco","Graphs stand out as a paramount data structure for addressing real-world challenges. The binary relationships among entities or objects are vital in navigating intricate, real-time issues seen in areas like blockchain, social networks, scheduling, biological systems, and telecommunications. Unlike static graphs with immutable vertices and edges, dynamic graphs adapt to the ever-changing real-world scenarios by allowing modifications to both vertices and edges. In this context, we introduce a concurrent, lock-free dynamic graph that enables the addition, deletion, and retrieval of vertices and edges. Furthermore, we present the novel wait-free snapshot algorithm capable of both full and partial graph snapshots using multi-versioning. These snapshots pave the way for advanced graph analytics tasks, including SSSP, getpath, BFS, and more.","29",,"blockchains - computational complexity - data structures - graph theory - social networking (online)","advanced graph analytics tasks - binary relationships - biological systems - concurrent wait-free graph snapshots - dynamic graphs - immutable vertices - lock-free dynamic graph - multiversioning - paramount data structure - partial graph snapshots - real-time issues - real-world challenges - social networks - static graphs - wait-free snapshot algorithm","C1160 Combinatorial mathematics - C4240C Computational complexity - C6120 File organisation - C6130S Data security - C6160B Distributed databases - C7210N Information networks","G06F21/00 - G06F12/00 - H04L9/00","Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Regional centres of inertia by clustering-based identification","Sanchez-Ocampo, A. (1); Ramirez, J.M. (1); Diaz-Perez, A. (1); Arrieta Paternina, M.R. (2) ","(1) Centre for Research and Advanced Studies, Department of Electrical Engineering, Mexico (2) Universidad Nacional Autonoma de Mexico, Department of Electrical Engineering, Mexico ","2025 IEEE Kiel PowerTech","","IEEE, Piscataway, NJ, USA","","1-6","2025","","","","","979-8-3315-4397-6","10.1109/PowerTech59965.2025.11180645","2025 IEEE Kiel PowerTech","2025","Kiel, Germany","This study applies graph theory to regional frequency analysis in power systems. A novel methodology combines centre of inertia (COI) location with community detection, using an improved label propagation algorithm and spectral centrality analysis. The approach evaluates frequency dynamics by analysing COI behaviour at key buses. The framework divides the grid into well-defined clusters with strong internal connectivity and precise separation. Integrating topological data—such as generation locations and transmission line admittances- precisely identifies each cluster's COI. Simulations on the New England 68-bus test system validate the framework's effectiveness and accuracy.",,,"graph theory - pattern clustering - power system stability","cluster - clustering-based identification - COI behaviour - community detection - frequency dynamics - generation locations - graph theory - improved label propagation algorithm - inertia location - key buses - New England 68-bus test system - power systems - precise separation - regional frequency analysis - spectral centrality analysis - strong internal connectivity - topological data - well-defined clusters","B0250 Combinatorial mathematics - B0260 Optimisation techniques - C1160 Combinatorial mathematics - C7410B Power engineering computing - B8110C Power system control, stability, and security","","Theoretical or Mathematical (THR)",,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Overcoming Obstacles with a Home Walking Robot","Dobrynin, D. (1); Zhiteneva, Y. (2) ","(1) Russian Academy of Sciences, Russia (2) State Academic University of Humanities, 22 Zelenaya St., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","","Springer Nature, Berlin, Germany","","420-31","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_32","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","The paper considers the principles of building a home walking robot capable of walking on complex surfaces - stairs and ladders. A home walking robot must walk confidently on various flat surfaces and be able to step over small obstacles. To detect obstacles and scan the surface, the robot has a simplified scanning system based on inexpensive TOF sensors for measuring distances. A mathematical model of the robot's legs, which is used to control the drives, is presented. A model of the robot's sensor system is presented, which is used to detect obstacle parameters and build a height map. Two ways of overcoming obstacles are considered - stepping over small obstacles and walking on wide stairs. An estimate of the maximum size of obstacles is given, which are determined by the geometric dimensions of the robot's legs and the parameters of the sensor system. The principles of walking on narrow stairs are formulated. Modeling of the proposed ways to overcome obstacles is performed. The simulation showed acceptable stability of the robot when walking. It is shown that the proposed methods of overcoming obstacles have low computational complexity. This reduces the computing power requirements of the home walking robot control system and increases battery life.","17",,"collision avoidance - computational complexity - legged locomotion - sensors","battery life - complex surfaces - computational complexity - computing power requirements - home walking robot control system - obstacle detection - obstacle overcoming - obstacle parameters - robot legs - robot sensor system - TOF sensors","C3120C Spatial variables control - C3390C Mobile robots - C4240C Computational complexity - B7230 Sensing devices and transducers","G05D3/00 - G05D1/00 - B60W30/08 - G08G","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"An approach to inertial distribution in power grids by a modularity index","Sanchez-Ocampo, A. (1); Ramirez, J.M. (1); Diaz-Perez, A. (1); Arrieta Paternina, M.R. (2); Zamora-Mendez, A. (3) ","(1) Centre for Research and Advanced Studies, Department of Electrical Engineering, Mexico (2) Universidad Nacional Autonoma de Mexico, Department of Electrical Engineering, Mexico (3) University of San Nicolás de Hidalgo, Department of Electrical Engineering, Mexico ","2025 IEEE Kiel PowerTech","","IEEE, Piscataway, NJ, USA","","1-6","2025","","","","","979-8-3315-4397-6","10.1109/PowerTech59965.2025.11180739","2025 IEEE Kiel PowerTech","2025","Kiel, Germany","This research introduces a novel graph theory and structural analysis framework to assess inertia distribution in power grids. We define the Inertial Support Index (ISI), derived from an enhanced modularity index, to evaluate inertial robustness within identified grid communities. By integrating community detection algorithms, the grid is partitioned into cohesive clusters with strong internal connections and clear boundaries, enabling robust regional inertia distribution analysis. Our approach utilises topological data, including generator locations, transmission line admittances, and power flow, to quantify the inertial modularity of each area. The proposed methodology is validated on the New England 39-bus test system, demonstrating its accuracy and effectiveness in assessing the ISI.","29",,"graph theory - load flow - power grids - power system stability","approach utilises topological data - cohesive clusters - community detection algorithms - enhanced modularity index - identified grid communities - inertial distribution - inertial modularity - inertial robustness - Inertial Support Index - ISI - novel graph theory - power flow - power grids - robust regional inertia distribution analysis - strong internal connections - structural analysis framework","B0250 Combinatorial mathematics - B0260 Optimisation techniques - C1160 Combinatorial mathematics - C7410B Power engineering computing - B8110B Power system management, operation and economics - B8110C Power system control, stability, and security - B8120 Power transmission, distribution and supply","H02J3/00","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Agent-Driven BFS Tree in Anonymous Graphs with Applications","Chand, P.K. (1); Kumar, M. (2); Molla, A.R. (1) ","(1) Indian Statistical Institute, India (2) Indian Institute of Technology Madras, India ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","67-82","2024","","","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_4","International Conference on Networked Systems","2024","Rabat, Morocco","Breadth-First-Search (BFS) trees serve a pivotal role in designing efficient graph algorithms due to their efficacy in traversing and exploring graph structures with a systematic layer-by-layer approach. This paper introduces an agent-based novel approach for constructing a BFS tree on an arbitrary anonymous graph G with n nodes and m edges using k ≥ n autonomous mobile agents. In this paper, we provide algorithms for BFS tree construction for different starting configurations and demonstrate their applications. Our main result considers the dispersed starting configuration (i.e., each node is occupied by a single agent at the start) and takes O ( D Δ ) rounds to execute, where D is the diameter and Δ is the highest degree of G . The algorithm assumes the knowledge of a root node for the BFS tree. We further continue our investigation for BFS tree construction with two other classical configurations, namely, rooted configuration and arbitrary configuration (with and without the knowledge of root ) of the agents with some other follow-up configurations for k > n . In addition, the paper demonstrates the application of the BFS tree construction methodology in tasks like - checking a graph for bipartiteness and gathering agents into a single node, a fundamental task in distributed robotics.","27",,"graph theory - mobile agents - mobile robots - trees (mathematics)","agent-based novel approach - agent-driven BFS tree - anonymous graphs - arbitrary anonymous graph - arbitrary configuration - BFS tree construction methodology - bipartiteness - breadth-First-Search trees - classical configurations - different starting configurations - efficient graph algorithms - exploring graph structures - gathering agents - layer-by-layer approach - n autonomous mobile agents - root node - rooted configuration - traversing","B0250 Combinatorial mathematics - C1160 Combinatorial mathematics - C3390C Mobile robots","G05D1/00","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Pipe roughness calibration approach for water distribution network models using a nonlinear state observer","Torres, L. (1); Jimenez-Cabas, J. (2); Ponsart, J.C. (3); Theilliol, D. (3); Jimenez-Magana, M.R. (4); Guzman, J.E.V. (1) ","(1) Universidad Nacional Autonoma de Mexico, Instituto de Ingeniería, Mexico (2) Corporacion Universitaria de la Costa, Departamento de Ciencias de la Computacion y Electronica, Colombia (3) University of Lorraine, Centre de Recherche en Automatique de Nancy, France (4) Universidad Nacional Autonoma de Mexico, FES Aragon, Mexico ","Results in Engineering","","Elsevier B.V., Netherlands","v 23","102713","2024","","","2590-1230","","","10.1016/j.rineng.2024.102713","","","","This paper introduces an online approach based on a nonlinear state observer (NSO) to calibrate the roughness of each pipe within a water distribution network (WDN) or a sector thereof. The NSO is designed to obtain the estimations of pipes' friction factors, which are then used to estimate the roughness. The core of the NSO is a dynamic WDN model formulated through a structured set of ordinary differential equations derived from fundamental physical principles and taking advantage of both graph theory and rigid water column theory. By applying a coordinate transformation, the WDN model is represented as a fully connected network of damped nonlinear oscillators, with each oscillator formulated as a Liénard system. This representation allows for estimating the friction factors for each pipe using only flow rate information. The proposed approach facilitates a continuous calibration when hydrodynamic data are readily accessible, which is a capability that empowers engineers to enhance, concurrently or proactively, the day-to-day operations of water distribution networks, such as control or diagnose tasks, whenever data are available. The results of numerical simulations are presented to illustrate the practical utility of the proposed method. All rights reserved Elsevier.","34",,"calibration - damping - design engineering - differential equations - friction - graph theory - hydrodynamics - numerical analysis - observers - oscillators - pipe flow - pipes - rigidity - surface roughness - surface topography measurement","damped nonlinear oscillators - dynamic WDN model - friction factors - graph theory - nonlinear state observer - NSO - numerical simulations - ordinary differential equations - pipe roughness calibration approach - rigid water column theory - water distribution network models","E0210L Numerical analysis - E0210E Combinatorial mathematics - E1400 Design - E1620 Measurement - E1650 Standards and calibration - E2130 Fluid mechanics and aerodynamics (mechanical engineering) - E2140 Tribology (mechanical engineering) - E2180D Vibrations and shock waves (mechanical engineering) - E2180A Elasticity (mechanical engineering) - E2200 Mechanical components, systems and devices","F15D - F16L","Practical (PRA); Theoretical or Mathematical (THR)","All Open Access, Gold","Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Generalising the team orienteering problem through multi-constraining and multi-objectives","Gross, R. (1); Montero, E. (2); Gálvez Ramírez, N. (1); Menchaca-Méndez, A. (3) ","(1) Universidad Tecnica Federico Santa Maria, Chile (2) Universidad Tecnica Federico Santa Maria, Chile (3) Universidad Nacional Autonoma de Mexico, Mexico ","GECCO '25 Companion: Proceedings of the Genetic and Evolutionary Computation Conference Companion","SIGEVO","ACM, New York, NY, USA","","219-22","2025","","","","","979-8-4007-1464-1","10.1145/3712255.3726719","GECCO '25 Companion: Genetic and Evolutionary Computation Conference Companion","2025","Malaga, Spain","Among all combinatorial optimization challenges, the class of routing represents a well-known set of problems whose optimized solutions can significantly improve overall solution quality. Within this set, the Orienteering Problem presents a complex challenge: finding a set of Hamiltonian paths from a selected subset of objective points within a given time frame to maximize a global score. In this paper, the Multi-constrained Team Orienteering Problem is addressed by incorporating time windows and constraints on the maximum number of categories. The inclusion of an additional objective to balance route sizes is also explored. The problem is solved by adapting the NSGA-II algorithm, incorporating an integer-based solution representation and a set of transformation operators to achieve high-quality, densely populated Pareto fronts with reduced computation times compared to complete solvers.","0",,"combinatorial mathematics - genetic algorithms - mathematical operators - Pareto optimisation","combinatorial optimization - Hamiltonian paths - integer-based solution representation - multiconstrained team orienteering problem - multiobjectives - NSGA-II algorithm - objective points - Pareto fronts - reduced computation times - route sizes - solution quality - time frame - time windows - transformation operators","E0210G Optimisation - E0210E Combinatorial mathematics - B0250 Combinatorial mathematics - B0260 Optimisation techniques - C1160 Combinatorial mathematics - C1180 Optimisation techniques","","Theoretical or Mathematical (THR)",,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"A speedup theorem for asynchronous computation with applications to consensus and approximate agreement","Fraigniaud, P. (1); Paz, A. (2); Rajsbaum, S. (3) ","(1) Université Paris Cité, France (2) Université Paris-Saclay, France (3) Universidad Nacional Autonoma de Mexico, Instituto de Matemáticas, Mexico ","Distributed Computing","","Springer Nature, Germany","v 38, n 3","163-83","Sept 2025","","","1432-0452","","","10.1007/s00446-025-00480-0","","","","We study two fundamental problems of distributed computing, consensus and approximate agreement, through a novel approach for proving lower bounds and impossibility results, that we call the asynchronous speedup theorem. For a given n-process task Π and a given computational model M, we define a new task, called the closure of Π with respect to M. The asynchronous speedup theorem states that if a task Π is solvable in t≥1 rounds in M, then its closure w.r.t. M is solvable in t-1 rounds in M. We prove this theorem for iterated models, as long as the model allows solo executions. We illustrate the power of our asynchronous speedup theorem by providing a new proof of the wait-free impossibility of consensus using read/write registers, and a new proof of the wait-free impossibility of solving consensus using registers and test&set objects for n>2. The proof is merely by showing that, in each case, the closure of consensus (w.r.t. the corresponding model) is consensus itself. Our main application is the study of the power of additional objects, namely test&set and binary consensus, for wait-free solving approximate agreement faster. By analyzing the closure of approximate agreement w.r.t. each of the two models, we show that while these objects are more powerful than read/write registers from the computability perspective, they are not more powerful as far as helping solving approximate agreement faster is concerned.","39",,"computational complexity - concurrency theory - distributed algorithms - multi-agent systems - theorem proving","approximate agreement - asynchronous computation - asynchronous speedup theorem states - binary consensus - computability perspective - consensus closure - distributed computing - n-process task - read/write registers - wait-free impossibility - wait-free solving approximate agreement","C4240C Computational complexity - C4240P Parallel programming and algorithm theory","","Theoretical or Mathematical (THR)","All Open Access, Hybrid Gold","Inspec","Copyright 2026, The Institution of Engineering and Technology","Engineering Village"
