"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Development Of An Algorithm For Strength Training With Use Haptic Feedback And Artificial Intelligence (AI) Based Enhancement","E. A. Villegas-Jiménez; A. H. Bello-Guerrero; M. D. Padilla-Torres; L. N. Villagómez-Venegas; C. S. Chávez-Ramírez","Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","9 Apr 2026","2025","","","1","6","The increasing popularity of the use of AI in everyday life has enabled the development of virtual systems for human assistance. This research proposes an implemented linear regression model with a vector of random weights, using a mean square error (MSE), based cost function and regularisation and corresponding Python code that integrates AI-based haptic feedback through vibration, specifically designed to optimise weight training.The results of the simulation model analysis show how key biomechanical parameters are identified and used to improve a person's posture by adjusting technique through real-time vibrational stimuli. The development of the system involves physical benefits such as injury prevention, continuous biomechanical monitoring, adaptive programme structuring and haptic vibration feedback for immediate movement correction. Popular and accurate tools for building linguistic models are mentioned, such as machine learning, computer vision and neural networks. Technological tools such as machine learning, computer vision and neural networks, applied to process biomechanical data and trigger personalised vibrational responses, are highlighted.","","979-8-3315-3559-9","10.1109/ICECET63943.2025.11472504","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11472504","AI;virtual coach;strength training;biomechanics;haptic feedback;python","Feedback;Circuits;Oscillators;Rectifiers;Internet of Things;Internet;Communication systems;Protocols;Telecommunication computing;Computer networks","","","","27","IEEE","9 Apr 2026","3-6 July 2025","3-6 July 2025","IEEE","IEEE Conferences"
"Pseudo-Temporal Modeling with 2D CNNs for Framewise Surgical Gesture Segmentation in Robot-Assisted Surgery","D. Haro-Mendoza; G. A. Castro Vazquez; A. Leonardo Campos Carreras; A. J. Diaz Urias; V. J. Gonzalez-Villela; M. Cedillo-Hernandez; R. E. Arevalo-Ancona","Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Biomedical Systems Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; SEPI ESIME Culhuacán, Instituto Politécnico Nacional, Mexico City, Mexico; SEPI ESIME Culhuacán, Instituto Politécnico Nacional, Mexico City, Mexico","2025 6th International Conference on Communications, Information, Electronic and Energy Systems (CIEES)","25 Dec 2025","2025","","","1","5","Surgical procedures can be decomposed into elementary units (tasks, surgemes, and dexemes) that represent the building blocks of surgical performance. Segmenting gestures at this level is crucial for objective skill assessment and for understanding how simple movements are concatenated to form complete procedures, ultimately supporting the development of training and evaluation systems. In this work, we present a pseudo-temporal modeling approach for surgical gesture segmentation using a 2D ResNet-50 convolutional network trained exclusively on RGB frames. During training, each video was divided into eight equal segments, which were used to feed the network and generate gesture-level probabilities. To optimize learning, an adaptive Exponential Moving Average (EMA) mechanism was applied to stabilize weight updates and reinforce poorly performing gesture classes. At inference, complete surgical videos were processed with an overlapping sliding window of eight frames, where each frame could be evaluated multiple times in different contexts. Frame-level probabilities were averaged across overlapping windows and refined through a temporal mode filter, producing stable and coherent gesture sequences. The method was validated on the JIGSAWS dataset, which includes the Suturing, Knot Tying, and Needle Passing tasks. Results showed reliable recognition across all procedures: Suturing achieved 82.26%, Knot Tying 91.97%, and Needle Passing 79.35%. Training required approximately one hour, and inference on a complete video of 2950 frames was performed in about 45 seconds, also generating a labeled output video. By relying solely on 2D convolutions and RGB input, the approach achieves accurate and efficient segmentation with low computational cost, making it suitable for surgical training environments with limited resources and applicable in near real-time scenarios.","","979-8-3315-0119-8","10.1109/CIEES66347.2025.11300252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11300252","surgical gesture segmentation;pseudo-temporal modeling;2d convolutional neural networks;resnet 50;exponential moving average","Training;Adaptation models;Accuracy;Computational modeling;Surgery;Needles;Real-time systems;Windows;Convolutional neural networks;Videos","","","","13","IEEE","25 Dec 2025","26-28 Nov. 2025","26-28 Nov. 2025","IEEE","IEEE Conferences"
"Design of Polymer Optical Waveguides for the Detection of Azo Dye Water Contaminants","I. M. Garnica-Palafox; E. García-Muñoz; A. M. Velázquez-Benítez; F. M. Sánchez-Arévalo; N. Qureshi","Instituto de Ciencias Aplicadas y Tecnología & Instituto de Investigaciones en Materiales Universidad Nacional Autónoma de México, CDMX, Mexico; Unidad Zacatenco, Escuela Superior de Ingeniería Mecánica y Eléctrica Instituto Politécnico Nacional, CDMX, México; Instituto de Ciencias Aplicadas y Tecnología Universidad Nacional Autónoma de México, CDMX, Mexico; Instituto de Investigaciones en Materiales Universidad Nacional Autónoma de México, CDMX, Mexico; Instituto de Ciencias Aplicadas y Tecnología Universidad Nacional Autónoma de México, CDMX, Mexico",2024 IEEE 42nd Central America and Panama Convention (CONCAPAN XLII),"26 Mar 2025","2024","","","1","6","The design of single-mode optical waveguides made of SU-8 photoresist and functionalized with coatings of chitosan-based hydrogels to detect water-polluting azo dyes is presented through analytical and numerical analyses. Two possible waveguide configurations were evaluated in order to obtain the dimensions that allow the maximum sensitivity and facilitate their fabrication through direct laser writing (DLW) lithography method. The sensitivity of the waveguides was studied for TE and TM polarizations at NIR frequencies (λ=975 nm). We systematically explore how both, the hydrated and dehydrated states of the hydrogel receptor/cladding layer, and the waveguide’s dimensions, core width (2.0 < w < 3.0 µm) and height (h = 0.75 and 1.0 µm), influence the sensitivity. The results reveal that TM polarization yields higher sensitivity compared to TE one, particularly in thicker waveguides (h = 1.0 µm). Dehydration of the hydrogel cladding significantly enhances the interaction between the evanescent wave and the hydrogel, leading to a threefold increase in sensitivity which facilitates the detection of pollutant dyes such as acid blue 113 (AB113) or methyl orange (MO). Thus, dehydrated waveguides under TM polarization are highly effective for environmental and biomedical sensing applications, offering a promising approach for the detection of specific contaminants in aqueous solutions.","2687-7244","979-8-3503-6672-3","10.1109/CONCAPAN63470.2024.10933869","Universidad Nacional Autónoma de México; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10933869","Waveguides;SU-8;Chitosan;Poly(vinyl alcohol);Genipin;Hydrogels;Pollutant azo dyes","Sensitivity;Optical polarization;Claddings;Biomedical optical imaging;Optical design;Hydrogels;Optical device fabrication;Optical sensors;Optical waveguides;Optical surface waves","","","","13","IEEE","26 Mar 2025","27-29 Nov. 2024","27-29 Nov. 2024","IEEE","IEEE Conferences"
"Robustification of Proportional-Resonant Control Against Frequency Variations","J. G. Rueda-Escobedo; J. A. Moreno; G. O. Anaya","División de Ciencias Básicas, Facultad de Ingeniería, Universidad Nacional Autónoma de México (UNAM), CDMX, Mexico; Eléctrica y Computación, Instituto de Ingeniería, Universidad Nacional Autónoma de México (UNAM), CDMX, Mexico; Eléctrica y Computación, Instituto de Ingeniería, Universidad Nacional Autónoma de México (UNAM), CDMX, Mexico",2024 17th International Workshop on Variable Structure Systems (VSS),"20 Nov 2024","2024","","","1","5","Replacing traditional power generation with distributed sources leads to a grid frequency that is more vulnerable to fluctuations. This can impact the efficiency and function of power converters, which are essential for integrating renewable energies into the electrical network. Instead of estimating and tracking the grid’s frequency to counter these changes, this paper proposes a robust proportional-resonant (PR) controller that maintains reference tracking in the presence of a varying frequency. Unlike other approaches, the proposed controller does not require precise knowledge of the frequency. This is made possible by integrating into the PR controller a second-order bi-homogeneous differentiator, significantly improving the controller’s tracking performance. The performance of the proposed approach is demonstrated through numerical simulations involving the operation of a grid-connected inverter during a frequency variation event.","2158-3986","979-8-3503-5368-6","10.1109/VSS61690.2024.10753398","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10753398","","Variable structure systems;Time-frequency analysis;Renewable energy sources;Filters;Harmonic analysis;Numerical simulation;Frequency estimation;Frequency control;Power harmonic filters;Power generation","","1","","13","IEEE","20 Nov 2024","21-24 Oct. 2024","21-24 Oct. 2024","IEEE","IEEE Conferences"
"Systematic and Robust Tuning of Proportional-Resonant Controllers for Current and Voltage Tracking","M. A. Estrada; J. G. Rueda-Escobedo; J. A. Moreno; J. Schiffer","Facultad de Ingeniería, Universidad Nacional Autónoma de México (FIUNAM), Mexico City, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México (FIUNAM), Mexico City, Mexico; Instituto de Ingeniería, Universidad Nacional Autónoma de México (II-UNAM), Mexico City, Mexico; Chair of Control Systems and Network Control Technology, Brandenburg University of Technology Cottbus-Senftenberg (BTU C-S), Cottbus, Germany",2025 IEEE Conference on Control Technology and Applications (CCTA),"11 Sep 2025","2025","","","768","773","In the control and operation of power inverters, proportional-resonant (PR) controllers are used to track references and reject disturbances that can be described by a sum of sinusoidal signals of known frequency. The relevance of these controllers is increasing due to the increase in distortion and volatility of three-phase signals in the grid. However, as reported in the literature, the tuning of PR controllers is far from trivial due to their large number of parameters and the presence of pure imaginary poles in the associated transfer function. To address these issues, a time-domain framework based on linear matrix inequalities (LMIs) is presented for the tuning of PR controllers with applications to voltage and current tracking. The advantage of this approach is the straightforward combination with other techniques such as $\mathcal{H}_{\infty}$ control. The effectiveness of the approach is illustrated through numerical simulations, where the injection of a constant active power is achieved in the presence of distorted voltages.","2768-0770","979-8-3315-3908-5","10.1109/CCTA53793.2025.11151423","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11151423","","Systematics;Transfer functions;Numerical simulation;Distortion;Inverters;Linear matrix inequalities;Delays;Voltage control;Time-domain analysis;Tuning","","1","","20","IEEE","11 Sep 2025","25-27 Aug. 2025","25-27 Aug. 2025","IEEE","IEEE Conferences"
"Deep Learning Approach for Aortic Valve Localization, Detection and Segmentation in Computed Tomography Volumes","R. O. Azuara-Domínguez; J. Olveres; B. Escalante-Ramírez; E. Vallejo","Posgrado de Ingeniería Eléctrica, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Centro Médico ABC, Mexico city, Mexico",2025 IEEE 38th International Symposium on Computer-Based Medical Systems (CBMS),"4 Jul 2025","2025","","","1","4","Standard view cardiac computed tomography (CT) images are of great importance in clinical practice due to the valuable diagnostic information they provide. However, navigating these (3D) medical images to identify such a view can represent a time-consuming process, subject to inter-operator variability. This study presents an approach using a Multiscale Vision Transformer (MViT) to infer the rotation parameters required to obtain standard views and subsequently focus on extracting the left ventricular outflow tract (LVOT) view. Once this view is obtained, the aortic valve is detected and segmented using well-known convolutional neural networks (CNNs), specifically ResNet18 for detection and U-Net for segmentation. The methodology used for its training is detailed, along with the metrics employed to evaluate their performance. Finally, the results obtained for each stage are presented. This approach provides a clear understanding of the performance of each model, from rotation parameter prediction to aortic valve detection and segmentation.","2372-9198","979-8-3315-2610-8","10.1109/CBMS65348.2025.00063","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058708","3D volume Cardiac CT;Deep Learning;Regression;Segmentation;Rotation matrix;Attention","Deep learning;Image segmentation;Three-dimensional displays;Computed tomography;Computational modeling;Pipelines;Predictive models;Valves;Data models;Standards","","","","12","IEEE","4 Jul 2025","18-20 June 2025","18-20 June 2025","IEEE","IEEE Conferences"
"A Reasoning System for Graded Modal Logic","R. López-Villafán; E. Bárcenas","IIMAS: Posgrado en Ciencia e lngeniería de la Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingenería: Dpto. de Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico",2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),"18 Dec 2024","2024","","","228","236","In this paper, we propose a deduction system for the modal logic $\mathbf{K}$ with graded modalities, which is obtained by adding numerical constraints to the modal operators. Graded modalities can be seen as a generalization of traditional modal operators since they include numerical bounds in the modalities, thus enabling the formal treatment of more detailed expressions, such as “there are at least $n+1$ individuals satisfying a certain property”, where $n$ is a natural number. This kind of properties commonly arise in contexts such as concurrent systems: “if at least 3 processors are free, then proceed to compute the next task”, or epistemic logic:”if more than 2 people know $P$, then $P$ is known”. The system is based on the notion of tree-hypersequents. We show the system is correct, i.e. sound and complete.","","979-8-3315-3211-6","10.1109/CONISOFT63288.2024.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795561","graded modalities;proof theory;hypersequents;automated reasoning","Technological innovation;Interpolation;Program processors;Computational modeling;Syntactics;Cognition;Numerical models;Logic;Iterative methods;Formal verification","","","","21","IEEE","18 Dec 2024","28 Oct.-1 Nov. 2024","28 Oct.-1 Nov. 2024","IEEE","IEEE Conferences"
"Large-Scale Validation and Analysis of the Rejection Capacity in Entropic Associative Memory","Á. F. Bórquez; R. Morales; L. A. Pineda","Universidad de Sonora, Guadalajara, Jalisco, México; Universidad de Guadalajara, Guadalajara, Jalisco, México; Universidad Nacional Autónoma de México, Guadalajara, Jalisco, México",2025 Mexican International Conference on Computer Science (ENC),"2 Jan 2026","2025","","","1","5","The Entropic Associative Memory (EAM) is a cognitively inspired computational model that combines probabilistic recognition with an efficient pattern storage and retrieval architecture. Previous evaluations, limited to small domains of about ten classes and a few thousand instances per class, showed promising results in classification and reconstruction. This work extends those studies in two ways. First, we assess scalability using Googles Quick, Draw! dataset, which includes over 300 classes and 100,000 instances per class. Second, we test EAMs rejection capability by storing only half of the classes and evaluating performance on the full dataset. Results confirm EAMs adaptability to large-scale scenarios and its effective rejection of novel stimuli, underscoring its potential as a robust and explainable AI model.","2332-5712","979-8-3315-9026-0","10.1109/ENC68268.2025.11311908","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11311908","Entropic Associative Memory;Quick Draw;scalability;open-set recognition;rejection","Computer science;Associative memory;Explainable AI;Scalability;Computational modeling;Deep architecture;Computer architecture;Probabilistic logic;Pattern recognition;Context modeling","","","","9","IEEE","2 Jan 2026","10-14 Nov. 2025","10-14 Nov. 2025","IEEE","IEEE Conferences"
"Cloud Computing Integration for Leak Diagnosis Using Meta-Heuristic Methods for Water Distribution Networks","L. A. Sánchez-Mejía; L. Gómez-Coronel; J. Blesa; L. Torres; I. Santos-Ruiz","TURIX-Dynamics Diagnosis and Control Group, Tecnológico Nacional de México, I.T. Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas, Mexico; TURIX-Dynamics Diagnosis and Control Group, Tecnológico Nacional de México, I.T. Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas, Mexico; Institut de Robòtica i Informàtica Industrial (IRI). UPCCSIC. Llorens i Artigas, Barcelona, Spain; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; TURIX-Dynamics Diagnosis and Control Group, Tecnológico Nacional de México, I.T. Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas, Mexico",2025 6th International Conference on Control and Fault-Tolerant Systems (SysTol),"3 Dec 2025","2025","","","265","270","We present the implementation of a Cloud-Computing-based system for leak diagnosis in a water distribution network. Pressure head/flow rate measured in field is stored and processed in a virtual machine to provide a leak diagnosis in two stages: 1) first the leak is detected by comparing the current operating conditions and expected nominal operating conditions obtained from a previously adjusted simulation model, and 2) the leak exact location and its magnitude are determined using a meta-heuristic method. The performance of the proposed system is implemented for an experimental hydraulic system at a laboratory scale. Results demonstrate a good accuracy in the leak diagnosis metrics at a reduced economic and computational cost, demonstrating the potential results from the implementation of a similar system in a large-scale water distribution network.","2162-1209","978-1-6654-5771-2","10.1109/SysTol66549.2025.11267338","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11267338","","Location awareness;Cloud computing;Costs;Accuracy;Metaheuristics;Distribution networks;Simulated annealing;Virtual machines;Pressure measurement;Resilience","","","","21","IEEE","3 Dec 2025","6-8 Oct. 2025","6-8 Oct. 2025","IEEE","IEEE Conferences"
"Nonlinear Quasi-unknown Input Observer Design using Dissipativity","A. Schaum; S. Koch; J. A. Moreno","Chair of Process Analytics, and the Computational Science Hub, University of Hohenheim, Stuttgart, Germany; Institute of Automation and Control, Graz University of Technology, Graz, Austria; Coordinación de Eléetrica y Computación, Instituto de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, México",2024 IEEE 63rd Conference on Decision and Control (CDC),"26 Feb 2025","2024","","","7014","7019","This paper addresses the design of nonlinear quasi-unknown input observers for systems that can be interpreted as an interconnection of a linear dynamical subsystem with a static nonlinear feedback subject to additive perturbations. As assumed classically an exosystem is considered describing the dynamics of the perturbation, meaning that the dynamical mechanisms giving rise to the perturbation are sufficiently well known but the underlying initial condition is unknown. Extending classical results based on the Sylvester equation, and combining them with well-established dissipativity concepts and design methods, a new approach for quasi-unknown input observer design is obtained. It simplifies previous work on general unknown input observer design by exploiting the structural knowledge about the exosystem, without extending the state dimension. The approach is illustrated with numerical case examples.","2576-2370","979-8-3503-1633-9","10.1109/CDC56724.2024.10886429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10886429","","Additives;Perturbation methods;Design methodology;Observers;Mathematical models;Linear matrix inequalities;Nonlinear dynamical systems;Observability;Convergence","","","","28","IEEE","26 Feb 2025","16-19 Dec. 2024","16-19 Dec. 2024","IEEE","IEEE Conferences"
