"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Electrochemical Sensor With Dynamic Self-Calibration for Acetaminophen Detection in Water","B. E. Alvarez-Serna; D. A. Arcos-Santiago; J. A. Uc-Martín; R. G. Ramírez-Chavarría","Instituto de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, México; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, México; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, México; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, México",IEEE Sensors Letters,"29 Jan 2025","2025","9","2","1","4","In this letter, we introduce a self-calibrating electrochemical sensor for water acetaminophen (ACT) detection. The sensor is built upon a graphite pencil lead (GPL) electrode modified with a molecularly imprinted polymer (MIP) to ensure selectivity. Moreover, using a sparse identification scheme, the sensor is equipped with a dynamic calibration algorithm to increase the sensor accuracy in time-dependent measurements. The sensor performance was evaluated under static and dynamic conditions using ACT solutions prepared in tap water as the matrix. As a result, the sensor achieved a detection limit of 9.3 mg/L, proving to be a viable alternative for quantifying emerging concerns in water. Finally, we show how simple but robust sensor models could enhance the performance of online measurements.","2475-1472","","10.1109/LSENS.2025.3528342","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10836916","Sensor systems;dynamic calibration;graphite pencil lead (GPL);molecularly imprinted polymer (MIP);polyaniline (PANI);self-calibrating sensor","Sensors;Electrodes;Sensor phenomena and characterization;Electric potential;Calibration;Heuristic algorithms;Graphite;Data models;Sparse matrices;Reproducibility of results","","2","","18","IEEE","10 Jan 2025","Feb. 2025","","IEEE","IEEE Journals"
"Data-Driven Power System Linear Model Identification via Quadrature-Based Balanced Truncation","M. R. Arrieta Paternina; J. A. Moreno Corbea; J. M. Ramirez-Arredondo; J. H. Chow; A. Zamora-Mendez","Universidad Nacional Autonoma de Mexico (UNAM), MX; Universidad Nacional Autonoma de Mexico (UNAM), MX; Centro de Investigacion y de Estudios Avanzados del IPN, Unidad Guadalajara, MX; Rensselaer Polytechnic Institute, US; Universidad Michoacana San Nicolas de Hidalgo, MX",IEEE Latin America Transactions,"7 Aug 2025","2025","23","9","787","798","This paper introduces the novel formulation of the quadrature-based balanced truncation (QBBT) method to precisely identify large-scale power system linear models. The QBBT interpolates a directional frequency dataset that is extracted from a dynamic system, following a quadrature rule to be applied from weighted data to derive a linear system model based on approximations of Gramians, and providing an alternative approach to the classic balanced truncation (BT) formulation that makes use of the system model. In this investigation, an accurate theoretical framework is presented to achieve the application of QBBT considering power systems as black-box models. The Boyd/Clenshaw-Curtis (BCC) quadrature rule is implemented by using different adjustments to accurately identify linear models of different order. The attained results and their validation with analytical power system models confirm the method's potential to retail oscillatory dynamics. The QBBT's effectiveness is compared with the Loewner-based frequency interpolation (LBFI) approach and the BT method on the Klein-Rogers-Kundur (KRK) benchmark power system and the equivalent of the New England transmission system - New York power system (NETS-NYPS), achieving a small absolute error in the magnitude of the frequency response of the models of the order of 1x10-3 dB in comparison with other state-of-the-art methods.","1548-0992","","10.1109/TLA.2025.11119494","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11119494","balanced truncation;quadrature rules;system identification;directional frequency data-set;power system linear model","Power system dynamics;Numerical models;Accuracy;Power system stability;Modeling;Mathematical models;Data models;Analytical models;Interpolation;System identification","","3","","","IEEE","7 Aug 2025","Sept. 2025","","IEEE","IEEE Journals"
"Bl-homogeneous observer for differentially uniformly observable LTV systems with a single output","R. Meléndez-Pérez; J. A. Moreno","Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico",2024 17th International Workshop on Variable Structure Systems (VSS),"20 Nov 2024","2024","","","1","6","In this paper, we introduce a family of fixed-time converging state observers tailored for a specific class of linear time-varying systems (LTV) featuring a single output. This class, termed Differentially Uniformly Observable (DUO), is defined by possessing an observability matrix of finite order, possibly larger than system's dimension, with full-column rank over a designated time interval. For analytic systems, this characteristic is essentially synonymous with observability. We demonstrate the seamless immersion of the system into a higher dimensional system in observability normal form. Furthermore, our proposed observer ensures global and exact convergence within a finite or fixed time frame.","2158-3986","979-8-3503-5368-6","10.1109/VSS61690.2024.10753415","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10753415","","Variable structure systems;Estimation error;Conferences;Observers;Trajectory;Observability;Time-varying systems;Convergence","","1","","31","IEEE","20 Nov 2024","21-24 Oct. 2024","21-24 Oct. 2024","IEEE","IEEE Conferences"
"A Reasoning System for Graded Modal Logic","R. López-Villafán; E. Bárcenas","IIMAS: Posgrado en Ciencia e lngeniería de la Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingenería: Dpto. de Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico",2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),"18 Dec 2024","2024","","","228","236","In this paper, we propose a deduction system for the modal logic $\mathbf{K}$ with graded modalities, which is obtained by adding numerical constraints to the modal operators. Graded modalities can be seen as a generalization of traditional modal operators since they include numerical bounds in the modalities, thus enabling the formal treatment of more detailed expressions, such as “there are at least $n+1$ individuals satisfying a certain property”, where $n$ is a natural number. This kind of properties commonly arise in contexts such as concurrent systems: “if at least 3 processors are free, then proceed to compute the next task”, or epistemic logic:”if more than 2 people know $P$, then $P$ is known”. The system is based on the notion of tree-hypersequents. We show the system is correct, i.e. sound and complete.","","979-8-3315-3211-6","10.1109/CONISOFT63288.2024.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795561","graded modalities;proof theory;hypersequents;automated reasoning","Technological innovation;Interpolation;Program processors;Computational modeling;Syntactics;Cognition;Numerical models;Logic;Iterative methods;Formal verification","","","","21","IEEE","18 Dec 2024","28 Oct.-1 Nov. 2024","28 Oct.-1 Nov. 2024","IEEE","IEEE Conferences"
"Homogeneous in the Bi-Limit Output Feedback Control for a Class of SISO LTV Systems","R. Meléndez-Pérez; J. A. Moreno","Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico",IEEE Control Systems Letters,"8 Jul 2025","2025","9","","1273","1278","In this letter, we construct an output feedback control scheme tailored to a class of linear time-varying (LTV) systems with a single output and single matched non-vanishing perturbation. The control is shown to be capable of stabilizing the origin of the system in finite-time, or even more, in fixed-time. The result is obtained by constructing a nonlinear homogeneous in the bi-limit controller and observer. For a particular choice of parameters and gains, a high-order sliding mode (HOSM) controller is obtained, capable of global convergence when the system perturbation is bounded. The closed-loop stability of the system is demonstrated by means of a bl-homogeneous Lyapunov function, which allows us to conclude a principle of separation between the observer and controller design. The effectiveness of the proposal is illustrated by an academic example.","2475-1456","","10.1109/LCSYS.2025.3582202","PAPIIT-UNAM, Mexico(grant numbers:IN106323); SECIHTI, Mexico(grant numbers:CVU 788369); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11047258","Linear systems;robust control;sliding-mode control;state observers;variable structure","Vectors;Observers;Output feedback;Perturbation methods;Time-varying systems;Observability;Stability criteria;Sliding mode control;Uncertainty;Training","","","","20","IEEE","23 Jun 2025","2025","","IEEE","IEEE Journals"
"Nonlinear Quasi-unknown Input Observer Design using Dissipativity","A. Schaum; S. Koch; J. A. Moreno","Chair of Process Analytics, and the Computational Science Hub, University of Hohenheim, Stuttgart, Germany; Institute of Automation and Control, Graz University of Technology, Graz, Austria; Coordinación de Eléetrica y Computación, Instituto de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, México",2024 IEEE 63rd Conference on Decision and Control (CDC),"26 Feb 2025","2024","","","7014","7019","This paper addresses the design of nonlinear quasi-unknown input observers for systems that can be interpreted as an interconnection of a linear dynamical subsystem with a static nonlinear feedback subject to additive perturbations. As assumed classically an exosystem is considered describing the dynamics of the perturbation, meaning that the dynamical mechanisms giving rise to the perturbation are sufficiently well known but the underlying initial condition is unknown. Extending classical results based on the Sylvester equation, and combining them with well-established dissipativity concepts and design methods, a new approach for quasi-unknown input observer design is obtained. It simplifies previous work on general unknown input observer design by exploiting the structural knowledge about the exosystem, without extending the state dimension. The approach is illustrated with numerical case examples.","2576-2370","979-8-3503-1633-9","10.1109/CDC56724.2024.10886429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10886429","","Additives;Perturbation methods;Design methodology;Observers;Mathematical models;Linear matrix inequalities;Nonlinear dynamical systems;Observability;Convergence","","","","28","IEEE","26 Feb 2025","16-19 Dec. 2024","16-19 Dec. 2024","IEEE","IEEE Conferences"
"Global Observability Analysis of a Growth Model for Insects Farming","R. Tafat; J. A. Moreno; S. Streif","Technische Universität Chemnitz, Chemnitz, Germany; Eléctrica y Computación Instituto de Ingeniería-UNAM Universidad Nacional Autónoma de México; Technische Universität Chemnitz, Chemnitz, Germany",2024 European Control Conference (ECC),"24 Jul 2024","2024","","","1294","1300","The Hermetia illucens insects or the black soldier fly has been attracting a growing interest in the food and feed industry. For its high nutritional value on the one hand, and because it is an adequate species for insects in controlled environmental agriculture systems, on the other. Therefore, several models describing this larvae's behaviour have been developed in the literature. Due to the complex nature of living organisms, systems of controlled environment agriculture are characterised by their strong nonlinearities. In this paper, we present a three dimensional nonlinear model describing the black soldier fly dry biomass weight dynamic changes due to the temperature's influence. In practice, this biomass weight is not measured in real time. This becomes problematic for applying feedback control strategies that assume full information of the states. Thus, this work investigates the observability of the dry biomass of a Hermetia illucens farming batch. The instantaneous and global observability of the aforementioned model is proven by constructing an injective transformation between the state space and a higher dimensional space where the transformed states are observable.","","978-3-9071-4410-7","10.23919/ECC64448.2024.10590940","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10590940","","Temperature measurement;Weight measurement;Analytical models;Biological system modeling;Insects;Observers;Time measurement","","1","","34","","24 Jul 2024","25-28 June 2024","25-28 June 2024","IEEE","IEEE Conferences"
"Sparse Dynamic Network Reconstruction Through L1-regularization of a Lyapunov Equation","I. X. Belaustegui; M. O. Arango; R. Rossi-Pool; N. E. Leonard; A. Franci","Department of Mechanical and Aerospace Engineering, Princeton University; Department of Mechanical and Aerospace Engineering, Princeton University; Instituto de Fisiología Celular - Neurociencias and Centro de Ciencias de la Complejidad, Universidad Nacional Autónoma de México, México; Department of Mechanical and Aerospace Engineering, Princeton University; Department of Electrical Engineering and Computer Science, University of Liege, and WEL Research Institute, Wavre, Belgium",2024 IEEE 63rd Conference on Decision and Control (CDC),"26 Feb 2025","2024","","","4544","4549","An important problem in many areas of science is that of recovering interaction networks from high-dimensional time-series of many interacting dynamical processes. A common approach is to use the elements of the correlation matrix or its inverse as proxies of the interaction strengths, but the reconstructed networks are necessarily undirected. Transfer entropy methods have been proposed to reconstruct directed networks, but the reconstructed network lacks information about interaction strengths. We propose a network reconstruction method that inherits the best of the two approaches by reconstructing a directed weighted network from noisy data under the assumption that the network is sparse and the dynamics are governed by a linear (or weakly-nonlinear) stochastic dynamical system. The two steps of our method are i) constructing an (infinite) family of candidate networks by solving the covariance matrix Lyapunov equation for the state matrix and ii) using $L_{1}$-regularization to select a sparse solution. We further show how to use prior information on the (non)existence of a few directed edges to dramatically improve the quality of the reconstruction.","2576-2370","979-8-3503-1633-9","10.1109/CDC56724.2024.10885791","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10885791","","Correlation;Reconstruction algorithms;Entropy;Sparse matrices;Noise measurement;Covariance matrices;Dynamical systems","","","","24","IEEE","26 Feb 2025","16-19 Dec. 2024","16-19 Dec. 2024","IEEE","IEEE Conferences"
"Equivalence of Linear Complementarity Problems: Theory and Application to Nonsmooth Bifurcations","F. A. Miranda-Villatoro; F. Castaños; A. Franci","Institute National de Recherche en Informatique et Automatique (INRIA), Centre National de la Recherche Scientifique (CNRS), Laboratoire Jean Kuntzmann (LJK), Grenoble INP, University Grenoble-Alpes, Grenoble, France; Departamento de Control Automático, CINVESTAV-IPN, Mexico City, Mexico; Department of Electrical Engineering and Computer Science, University of Liege, Liege, Belgium",IEEE Transactions on Automatic Control,"27 Jun 2024","2024","69","7","4570","4582","Linear complementarity problems provide a powerful framework to model nonsmooth phenomena in dynamical control systems. Mimicking the general strategy that led to the foundation of bifurcation theory in smooth maps, we introduce a novel notion of equivalence between linear complementarity problems that sets the basis for a theory of bifurcations in a large class of nonsmooth maps, including steady-state bifurcations in linear complementarity systems. Our definition leads to constructive algebraic conditions for identifying and classifying the nonsmooth singularities associated with nonsmooth bifurcations. We thoroughly illustrate our theory on an extended applied example and on the identification and classification of all possible equivalence classes in 2-D linear complementarity problems.","1558-2523","","10.1109/TAC.2023.3338981","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10339838","Bifurcations;linear complementarity problems (LCPs);nonsmooth dynamics;piecewise linear equations","Bifurcation;Transistors;Control theory;Control systems;Steady-state;Limit-cycles;Piecewise linear approximation","","1","","55","IEEE","4 Dec 2023","July 2024","","IEEE","IEEE Journals"
"Tool-Assisted Annotation of Seafloor Sediment-Linked Features Using Weakly Supervised Semantic Segmentation","S. Heidari; M. Rogers; J. Wang; D. A. S. Valdez; S. Schenone; G. Cunnington; P. Delmas; S. Thrush","Institute of Marine Science, The University of Auckland, Auckland, New Zealand; Centre for Data Science and Artificial Intelligence, Victoria University of Wellington, Wellington, New Zealand; Intelligent Vision Systems Lab (IVSLab), The University of Auckland, Auckland, New Zealand; ICAT, UNAM, Mexico City, Mexico; Institute of Marine Science, The University of Auckland, Auckland, New Zealand; Institute of Marine Science, The University of Auckland, Auckland, New Zealand; Intelligent Vision Systems Lab (IVSLab), The University of Auckland, Auckland, New Zealand; Institute of Marine Science, The University of Auckland, Auckland, New Zealand",2025 40th International Conference on Image and Vision Computing New Zealand (IVCNZ),"11 Dec 2025","2025","","","1","6","Pixel-wise labeling of seafloor imagery is highly time-consuming, limiting the scalability of benthic habitat monitoring. While existing underwater computer vision research has largely focused on visually prominent habitats, sediment-linked benthic features remain underexplored and lack annotated datasets. To address this gap, we propose a tool-assisted annotation framework based on weakly supervised semantic segmentation. The framework follows a three-phase pipeline: feature-based pseudo-mask generation, binary classspecific segmentation, and iterative multiclass segmentation with pseudo-mask expansion and affinity-field regularization. Applied to six ecologically important sediment features, the approach progressively improves pseudo-label quality while reducing reliance on dense expert annotations, providing a scalable solution that can accelerate the annotation of seafloor sediment features. Code is available at: https://github.com/shahrokh1106/seafloor-sediment-segmentation","2151-2205","979-8-3315-8654-6","10.1109/IVCNZ67716.2025.11281825","MBIE(grant numbers:UOAX2307); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11281825","weakly supervised learning;semantic segmentation;few-shot learning;feature enhancement;self-supervised learning;seafloor sediment","Weak supervision;Annotations;Semantic segmentation;Scalability;Sea floor;Habitats;Streaming media;Sediments;Iterative methods;Monitoring","","","","27","IEEE","11 Dec 2025","19-21 Nov. 2025","19-21 Nov. 2025","IEEE","IEEE Conferences"
