"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Impact of the integration of VSC-connected power devices on the transient stability of power systems","J. R. Granados; A. Flores-Luna; R. Tapia-Olvera; L. M. Castro","Posgrado en Ingeniería Eléctrica, Universidad Nacional Autónoma de México (UNAM), Ciudad de México, México; Posgrado en Ingeniería Eléctrica, Universidad Nacional Autónoma de México (UNAM), Ciudad de México, México; Departamento de Energía Eléctrica, FI Universidad Nacional Autónoma de México (UNAM), Ciudad de México, México; Departamento de Energía Eléctrica, FI Universidad Nacional Autónoma de México (UNAM), Ciudad de México, México","2024 IEEE PES Generation, Transmission and Distribution Latin America Conference and Industrial Exposition (GTDLA)","14 Mar 2025","2024","","","1","6","Power systems worldwide face profound technical challenges that require thorough analysis and evaluation to ensure proper system operation. One of the main aspects involved in these challenges focuses on the use of power electronics-based devices, specifically those using voltage source converters (VSC), which allow flexible operation of the power grids. In this work, a transient stability study for a practical power system with the integration of battery energy storage systems (BESS), static synchronous compensators (STATCOM), and solar photovoltaic (PV) is developed. The crux of this study is the use of a positive-sequence VSC model to represent the power devices, which seamlessly combine with the power system model. This permits us to perform time-domain simulations in an efficient way with new topologies and size of power systems. The critical fault clearing time is determined to verify the impact of these technologies on power system transient response. The results demonstrate the impact of replacing synchronous generators (SG) with PV systems and the influence of BESS and STATCOM devices on the power grid with high PV penetration. The presented methodology is applied in the equivalent model of the New England power grid.","","979-8-3315-3054-9","10.1109/GTDLA61236.2024.10913711","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10913711","critical fault clearing time;BESS;photovoltaic;short-circuit;STATCOM;transient stability","Photovoltaic systems;Voltage;Power system stability;Stability analysis;Power grids;Automatic voltage control;Topology;Transient analysis;Time-domain analysis;Voltage-source converters","","","","0","IEEE","14 Mar 2025","11-13 Nov. 2024","11-13 Nov. 2024","IEEE","IEEE Conferences"
"Stabilization of the Cart Pendulum using a Homogeneous Controller","J. A. Ortega; D. Efimov; A. Polyakov; J. A. Moreno; L. Fridman","Departamento de Control y Robótica, División de Ingeniería Eléctrica, Facultad de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Ciudad de México, Mexico; CNRS, UMR 9189CRISTAL, Inria, Univ. Lille, Lille, France; CNRS, UMR 9189CRISTAL, Inria, Univ. Lille, Lille, France; Eléctrica y Computatión, Instituto de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Ciudad de México, Mexico; Departamento de Control y Robótica, División de Ingeniería Eléctrica, Facultad de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Ciudad de México, Mexico",2024 17th International Workshop on Variable Structure Systems (VSS),"20 Nov 2024","2024","","","170","175","This manuscript addresses the problem of stabilization of a cart pendulum using a homogeneous controller. The model of the cart pendulum is composed by a combination of strict-feedback and feedforward parts. The proposed homogeneous controller allows the feedforward nonlinearities to be globally dominated. Emphasizing the simplicity of the controller's design, the methodology relies on solving a system of linear matrix inequalities. Furthermore, a finite-time bound of convergence is evaluated. The effectiveness of the proposed methodology is validated through experimental results on a real cart pendulum.","2158-3986","979-8-3503-5368-6","10.1109/VSS61690.2024.10753400","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10753400","","Variable structure systems;Design methodology;Conferences;Motors;Stability analysis;Trajectory;Linear matrix inequalities;Feedforward systems;Convergence","","","","20","IEEE","20 Nov 2024","21-24 Oct. 2024","21-24 Oct. 2024","IEEE","IEEE Conferences"
"A Novel Hamiltonian Approach for Modeling and Control of Quasi-Resonant Buck Converters*","A. Sánchez-Contreras; I. Ortega-Velázquez; O. Rodríguez-Benítez; G. Espinosa-Pérez","Universidad Nacional Autónoma de México,Facultad de Ingeniería-UNAM, México; Universidad Nacional Autónoma de México,Facultad de Ingeniería-UNAM, México; Universidad Nacional Autónoma de México,Facultad de Ingeniería-UNAM, México; Universidad Nacional Autónoma de México,Facultad de Ingeniería-UNAM, México",2024 IEEE 63rd Conference on Decision and Control (CDC),"26 Feb 2025","2024","","","2760","2765","In this paper are presented a novel modeling approach and a passivity-based control scheme to solve the output voltage regulation control problem of a class of Quasiresonant Converters. Instead of consider classical order reduction arguments, the proposed full order model recovers the Port-Controlled Hamiltonian structure naturally exhibited by the converters. This feature leads to the possibility to propose the implementation of a passive PI control scheme which has been widely recognized to achieve high performances while proving in a formal way its stability properties. In addition, the controller structure is complemented by the inclusion of a static map to use both the frequency and the duty-cycle of the square input signal as control input, guaranteeing a Zero Current Switching operation mode which drastically improves the efficiency of the circuit. The usefulness of the proposed model and control are validated in a numerical setting.","2576-2370","979-8-3503-1633-9","10.1109/CDC56724.2024.10886663","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10886663","","Buck converters;Control systems;Stability analysis;Numerical models;Circuit stability;Integrated circuit modeling;Zero current switching;Voltage control;Numerical stability;Frequency control","","","","23","IEEE","26 Feb 2025","16-19 Dec. 2024","16-19 Dec. 2024","IEEE","IEEE Conferences"
"Passive Fault-Tolerant Control via Sliding-Mode-Based Lyapunov Redesign","M. A. Estrada; L. Fridman; J. A. Moreno","Department of Robotics and Control, Engineering Faculty, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Robotics and Control, Engineering Faculty, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Instituto de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico",IEEE Transactions on Automatic Control,"26 Sep 2024","2024","69","10","6777","6788","This article presents an innovative framework for passive fault-tolerant control (FTC) based on the Lyapunov redesign utilizing sliding mode controllers (SMC). The article introduces three schemes for passive FTC design. First, it advocates employing the Lyapunov redesign in the FTC design with the unit SMC, resulting in a generation of a discontinuous control signal. The article establishes novel conditions for system insensibility concerning the norm of actuator faults. To address chattering and reduce energy consumption, an alternative FTC design is proposed, leveraging a multivariable version of the super-twisting algorithm, which generates a continuous signal. Additionally, a novel methodology for gain selection is developed to ensure increased tolerance to actuator faults. Finally, a new multivariable version of the Lipschitz algorithm, based on the classical twisting controller, is formulated and applied to passive FTC through the Lyapunov redesign, promising a reduced level of chattering and energy consumption compared to the super-twisting algorithm. The efficacy of the proposed FTC schemes is illustrated through simulation examples, highlighting both their advantages and potential limitations in practical applications.","1558-2523","","10.1109/TAC.2024.3382608","CONACyT; Consejo Nacional de Ciencia y Tecnología(grant numbers:833748); PAPIIT-UNAM(grant numbers:IN106622,IN106323); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10480530","Fault-tolerant control (FTC);robust control;sliding-mode control","Actuators;Perturbation methods;Uncertainty;Lyapunov methods;Trajectory;Fault tolerant systems;Fault tolerance","","24","","54","IEEE","27 Mar 2024","Oct. 2024","","IEEE","IEEE Journals"
"Enhancing the Reliability of Back-to-Back Converters in Small Wind Turbines: A Comprehensive Robust Stability Study of NL-PI Control Under Extreme Operating Gusts","E. Dueñas-Reyes; O. A. Jaramillo; E. C. Mercado; E. Hernández-Mayoral; D. Pacheco-Bautista","Instituto de Energías Renovables, Universidad Nacional Autónoma de México, Temixco, Morelos, México; Instituto de Energías Renovables, Universidad Nacional Autónoma de México, Temixco, Morelos, México; SECIHTI-Universidad del Istmo, Tehuantepec, Oaxaca, México; SECIHTI-Universidad Nacional Autónoma de México, Temixco, Morelos, México; Departamento de Ingeniería en Computación, Universidad del Istmo, Tehuantepec, Oaxaca, México",IEEE Open Journal of Power Electronics,"2 Dec 2025","2025","6","","2027","2039","The reliability of Wind Energy Conversion Systems (WECSs) is frequently limited by failures in Back-to-Back Power Converters (BTB-PCs), particularly within the Rotor-Side Converter (RSC) switches, which are subjected to electrical and thermal stresses induced by extreme wind gusts. This study investigates the most intense Extreme Operating Gust (EOG) recorded in 2018 at La Ventosa, Oaxaca, Mexico, using a small-scale, grid-connected WECS based on a Doubly Fed Induction Generator (DFIG) and employing classical vector control. This study confirms that such extreme wind events can cause power quality disturbances—namely low-frequency overcurrents in the RSC and electrical flicker on the DC-bus—that have been shown in the literature to accelerate switch degradation. To address these issues, a vector control strategy employing Nonlinear Proportional-Integral (NL-PI) controllers is proposed, replacing Conventional Proportional-Integral (CPI) controllers. Validation through robust stability analysis, utilizing unstructured uncertainty models and MATLAB’s stability margin analysis, indicates that NL-PI controllers achieve stability margins exceeding unity, while CPI controllers fall below this threshold, suggesting a higher susceptibility to instability. Sensitivity analysis highlights frequency-dependent gain uncertainty ($\delta$) as the primary factor affecting robustness. Overall, the results demonstrate that NL-PI-based vector control markedly improves converter resilience, providing a cost-effective solution for WECSs operating in gust-prone environments.","2644-1314","","10.1109/OJPEL.2025.3633563","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11250634","Back-to-back power converter;power quality;extreme wind gusts;nonlinear control;robust stability analysis;small wind turbines;wind turbine reliability","Electrooculography;Robust stability;Mathematical models;Fluctuations;Reactive power;Stress;Signal to noise ratio;Power system reliability;Doubly fed induction generators;Costs","","","","43","CCBY","17 Nov 2025","2025","","IEEE","IEEE Journals"
"Lab-tested energy management system for small scale hybrid wind solar battery based microgrid","E. d. J. Rojas Hernández; J. R. Rodríguez Rodríguez; N. G. Cabrera; D. Campos Gaona","Posgrado de Ingeniería Eléctrica, Universidad Nacional Autónoma de México, CDMX, México; Departamento de Ingeniería Eléctrica, Universidad Nacional Autónoma de México, CDMX, México; Departamento de Ingeniería Eléctrica, Universidad Nacional Autónoma de México, CDMX, México; Department of Electronic and Electrical Engineering, University of Strathclyde, Glasgow, Scotland","2024 IEEE PES Generation, Transmission and Distribution Latin America Conference and Industrial Exposition (GTDLA)","14 Mar 2025","2024","","","1","6","This paper presents an energy management system for a small-scale hybrid microgrid that integrates wind, solar, and battery storage. The system includes wind and solar energy conversion systems along with a battery storage unit, all of which are implemented using power electronics converters, control algorithms, and controllers to evaluate the microgrid’s performance. To maintain voltage stability, a control algorithm adjusts the operation of the Dual Active Bridge, charging the battery when renewable energy production exceeds load demand and discharging it when production falls short. This control ensures a stable DC bus voltage, which helps maintain a consistent output from the Voltage Source Converter for AC loads. The proposed small-scale renewable energy microgrid serves as a platform for research and the testing of algorithms in smart grid applications.","","979-8-3315-3054-9","10.1109/GTDLA61236.2024.10913545","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10913545","Battery system;energy management system;microgrid;solar energy;wind energy","Maximum power point trackers;Renewable energy sources;Wind energy;Microgrids;Solar energy;Production;Batteries;Voltage control;Energy management systems;Testing","","2","","12","IEEE","14 Mar 2025","11-13 Nov. 2024","11-13 Nov. 2024","IEEE","IEEE Conferences"
"Automatic Classification of Synthetic Jovian Radio Emissions Using Spectrogram Analysis and Machine Learning","S. M. Urbina; A. M. Patiño; E. R. Archundia; E. A. Rodríguez; M. V. C. B.; M. d. C. G. R.; J. A. R. H.","DEPI, Tecnológico Nacional de México / Instituto Tecnólogico de Morelia, Morelia, México; DEPI, Tecnológico Nacional de México / Instituto Tecnólogico de Morelia, Morelia, México; DEPI, Tecnológico Nacional de México / Instituto Tecnólogico de Morelia, Morelia, México; Instituto de Geofisica Unidad Morelia, Universidad Nacional Autónoma de México, Morelia, México; DEPI, Tecnológico Nacional de México / Instituto Tecnólogico de Morelia, Morelia, México; DEPI, Tecnológico Nacional de México / Instituto Tecnólogico de Morelia, Morelia, México; DEPI, Tecnológico Nacional de México / Instituto Tecnólogico de Morelia, Morelia, México","2025 IEEE International Autumn Meeting on Power, Electronics and Computing (ROPEC)","3 Feb 2026","2025","9","","1","6","This paper presents a machine learning approach for the automatic classification of synthetic Jovian radio emissions using spectrogram analysis. As a continuation of previous work involving the design of a dipole antenna and the development of a Python-based acquisition system centered at 20.1 MHz, this study focuses on generating a synthetic dataset that replicates the Io-A, Io-B and Io-C radio emissions of Jupiter. Each class was modeled using Python scripts that incorporated variability in position, intensity, shape and noise within the 16-24Mhz frequency range. Two classification models were trained and evaluated: a convolutional neural network (efficientNet-B0) and a vision transformer (ViT Tiny Patch16-224). Both models were tested using a 70/15/15 train-validation-test split and validated with 5-fold cross-validation. The ViT model achieved up to 100% classification accuracy across all folds, outperforming the CNN in consistency and generalization. This synthetic classification framework serves as a preparatory phase for future work involving the training and validation of these models using real labeled spectrograms extracted from the Juno/Waves database, which includes emission records from 2016 to 2023.","2573-0770","979-8-3315-7673-8","10.1109/ROPEC68163.2025.11353979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353979","Jovian emissions;spectrogram;synthetic data;CNN;ViT;Machine learning;cross-validation","Training;Jupiter;Shape;Noise;Machine learning;Transformers;Power electronics;Convolutional neural networks;Spectrogram;Synthetic data","","","","0","IEEE","3 Feb 2026","12-14 Nov. 2025","12-14 Nov. 2025","IEEE","IEEE Conferences"
"Data-Driven Power System Linear Model Identification via Quadrature-Based Balanced Truncation","M. R. Arrieta Paternina; J. A. Moreno Corbea; J. M. Ramirez-Arredondo; J. H. Chow; A. Zamora-Mendez","Universidad Nacional Autonoma de Mexico (UNAM), MX; Universidad Nacional Autonoma de Mexico (UNAM), MX; Centro de Investigacion y de Estudios Avanzados del IPN, Unidad Guadalajara, MX; Rensselaer Polytechnic Institute, US; Universidad Michoacana San Nicolas de Hidalgo, MX",IEEE Latin America Transactions,"7 Aug 2025","2025","23","9","787","798","This paper introduces the novel formulation of the quadrature-based balanced truncation (QBBT) method to precisely identify large-scale power system linear models. The QBBT interpolates a directional frequency dataset that is extracted from a dynamic system, following a quadrature rule to be applied from weighted data to derive a linear system model based on approximations of Gramians, and providing an alternative approach to the classic balanced truncation (BT) formulation that makes use of the system model. In this investigation, an accurate theoretical framework is presented to achieve the application of QBBT considering power systems as black-box models. The Boyd/Clenshaw-Curtis (BCC) quadrature rule is implemented by using different adjustments to accurately identify linear models of different order. The attained results and their validation with analytical power system models confirm the method's potential to retail oscillatory dynamics. The QBBT's effectiveness is compared with the Loewner-based frequency interpolation (LBFI) approach and the BT method on the Klein-Rogers-Kundur (KRK) benchmark power system and the equivalent of the New England transmission system - New York power system (NETS-NYPS), achieving a small absolute error in the magnitude of the frequency response of the models of the order of 1x10-3 dB in comparison with other state-of-the-art methods.","1548-0992","","10.1109/TLA.2025.11119494","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11119494","balanced truncation;quadrature rules;system identification;directional frequency data-set;power system linear model","Power system dynamics;Numerical models;Accuracy;Power system stability;Modeling;Mathematical models;Data models;Analytical models;Interpolation;System identification","","3","","","IEEE","7 Aug 2025","Sept. 2025","","IEEE","IEEE Journals"
"Output Feedback Control of Nonlinear Systems via Lipschitz Continuous Sliding Modes","O. Texis-Loaiza; J. A. Moreno; M. A. Estrada; L. Fridman; A. Levant","Control Systems and Network Control Technology, Brandenburg University of Technology Cottbus-Senftenberg, Cottbus, Germany; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; School of Engineering and Sciences, Tecnológico de Monterrey, Culiacán, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; School of Mathematical Sciences, Tel-Aviv University, Tel-Aviv, Israel",IEEE Control Systems Letters,"5 Jun 2025","2025","9","","378","383","This letter proposes a Lipschitz continuous output feedback sliding mode control law applicable to systems of arbitrary relative degree. The proposed controller compensates for non-vanishing perturbations with bounded time derivatives while ensuring finite-time stability of the origin. The finite-time stability of the closed-loop system is established using Lyapunov methods, leveraging the weighted homogeneity properties of both the controller and the observer. Furthermore, the observer and controller can be designed independently, thereby establishing a form of separation principle. The feasibility of the proposed method is demonstrated through simulation.","2475-1456","","10.1109/LCSYS.2025.3570982","Federal Ministry of Education and Research(grant numbers:03SF0693A); Federal Government from the Coal Regions Investment Act (Investitionsgesetz Kohleregionen)(grant numbers:85056897); State of Brandenburg; PAPIITUNAM(grant numbers:IN106323,IT100625); CONAHCyT, México(grant numbers:CVU 833748,CVU 859396); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11006035","Nonlinear output feedback;sliding mode control;higher-order sliding-mode control;finite-time convergence;Lyapunov methods","Output feedback;Perturbation methods;Observers;Vectors;Sliding mode control;Convergence;Thermal stability;Lyapunov methods;Closed loop systems;Urban areas","","2","","25","IEEE","16 May 2025","2025","","IEEE","IEEE Journals"
"Real-Time Probabilistic Reachability Forecasting for Gliders in the Gulf of Mexico","E. M. Mule; P. J. Haley; C. Mirabito; S. F. DiMarco; S. Mahmud; A. Dancer; X. Ge; A. H. Knap; Y. Liu; U. C. Nwankwo; S. Glenn; T. N. Miles; D. Aragon; K. Coleman; M. Smith; M. Leber; R. Ramos; J. Storie; G. Stuart; J. Marble; P. Barros; E. P. Chassignet; A. Bower; H. H. Furey; B. J. De La Cruz; L. K. Shay; M. Tenreiro; E. P. Sanz; J. Sheinbaum; P. Perez-Brunius; D. Wilson; J. Van Smirren; R. Monreal-Jiménez; D. A. Salas-de-León; V. K. C. Tereza; M. Feldman; M. Khadka; P. F. J. Lermusiaux","Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Woods Hole Group, Inc.; Woods Hole Group, Inc.; Woods Hole Group, Inc.; Fugro; Fugro; Fugro; Department of Earth, Ocean and Atmospheric Science, Florida State University; Physical Oceanography, Woods Hole Oceanographic Institution; Physical Oceanography, Woods Hole Oceanographic Institution; Rosenstiel School of Marine, Atmospheric, and Earth Science, University of Miami; Rosenstiel School of Marine, Atmospheric, and Earth Science, University of Miami; Department of Oceanography, CICESE; Department of Oceanography, CICESE; Department of Oceanography, CICESE; Department of Oceanography, CICESE; University of the Virgin Islands; Ocean Sierra; Universidad Nacional Autónoma de Mexico; Universidad Nacional Autónoma de Mexico; Mexican Institute of Water Technology; Gulf Research Program, NASEM; Gulf Research Program, NASEM; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA",OCEANS 2024 - Halifax,"25 Nov 2024","2024","","","1","10","As part of the Mini-Adaptive Sampling Test Run (MASTR) experiment in the Gulf of Mexico (GoM) region from February to April 2024, we demonstrated real-time deterministic and probabilistic reachability analysis and time-optimal path planning to guide a fleet of four ocean gliders. The governing differential equations for reachability analysis and time-optimal path planning were numerically integrated in real-time and forced by currents from our large-ensemble ocean forecasts. We illustrate the real-time deterministic and probabilistic forward reachability analyses, reachability and path planning for glider pickups, time-optimal path planning for gliders in distress, and planning of future glider deployments. Results show that the actual paths of gliders were contained within our reachable set forecasts and in accord with the dynamic reachability fronts. Our time-optimal headings and paths also predicted real glider motions, even for longer-range predictions of weeks to a month duration. Reachability and time-optimal path planning forecasts were successfully employed for glider recovery. They also enabled exploring options for future glider deployments.","2996-1882","979-8-3315-4008-1","10.1109/OCEANS55160.2024.10754057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10754057","Ocean forecasting;sea glider;path planning;reachability analysis;probabilistic forecasting;adaptive sampling","Uncertainty;Oceans;Dynamics;Differential equations;Probabilistic logic;Path planning;Real-time systems;Hazards;Reachability analysis;Vehicle dynamics","","3","","91","IEEE","25 Nov 2024","23-26 Sept. 2024","23-26 Sept. 2024","IEEE","IEEE Conferences"
