"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Outlet Pressure Regulation in a High-Viscosity Two-Phase Flow Horizontal Pipeline Using Inverse ANN and PSO","W. Ajbar; L. Torres; J. E. Guzmán Vázquez; M. Cervantes-Bobadilla","Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Tecnológico Nacional de México/CENIDET, Cuernavaca, Morelos, México","2024 10th International Conference on Control, Decision and Information Technologies (CoDIT)","18 Oct 2024","2024","","","878","883","This article presents the development of two models based on artificial neural networks (ANN) aimed at estimating the pressure at a position near the output of a horizontal pipeline that transports a two-phase flow of glycerin-air, which is characterized by its high viscosity. These models consist of an input layer that includes variables such as the air flow rate (Qa), the glycerin flow rate (Qg), and the pressure at three spatial points located before the desired pressure prediction point. In the hidden layer of the first model, the nonlinear activation function Logsig is employed, while in the second model, the Tansig function is used. In both cases, a linear function is used in the output layer. In order to determine the air and glycerin flow rates that were injected to the pipeline, ANN models ares inverted by using the particle swarm optimization (PSO) algorithm. From these inverted models, the design of an open-loop control to regulate the output pressure in the horizontal pipeline is presented. This control allows simultaneous manipulation of the Qg and Qa variables, or a single Qg variable, enabling precise regulation.","2576-3555","979-8-3503-7397-4","10.1109/CoDIT62066.2024.10708236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10708236","","Viscosity;Training;Atmospheric modeling;Pipelines;Transfer functions;Transportation;Artificial neural networks;Predictive models;Regulation;Particle swarm optimization","","","","10","IEEE","18 Oct 2024","1-4 July 2024","1-4 July 2024","IEEE","IEEE Conferences"
"In-Silico Trained AI for Enhanced T2 Spectrum Imaging and Myelin Water Fraction Mapping in Preclinical 7T MRI","D. Vallejo-Aldana; A. Ramírez-Manzanares; E. J. Canales-Rodríguez; T. Yu; A. Cisneros-Mejorado; L. Concha; J. Rafael-Patiño; J. -P. Thiran","Computer Science Department, Centro de Investigación en Matemáticas A.C, Guanajuato, México; Computer Science Department, Centro de Investigación en Matemáticas A.C, Guanajuato, México; Signal Processing Laboratory (LTS5), École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland; Signal Processing Laboratory (LTS5), École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland; Instituto de Neurobiología, Universidad Nacional Autónoma de México, Juriquilla, México; Instituto de Neurobiología, Universidad Nacional Autónoma de México, Juriquilla, México; Signal Processing Laboratory (LTS5), École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland; Signal Processing Laboratory (LTS5), École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland",2024 IEEE International Symposium on Biomedical Imaging (ISBI),"22 Aug 2024","2024","","","1","5","This study introduces a Machine Learning (ML) approach for estimating the T2 spectrum and myelin water fraction (MWF) using multi-echo T2 (MET2) data from preclinical 7T Magnetic Resonance Imaging (MRI) scanners. ML methods have shown promise in MWF estimation, outperforming Regularized Non-Negative Least Squares (RNNLS). However, existing ML methods were optimized for high signal-to-noise ratios (SNR) typical of 3T clinical MET2 data with larger voxel sizes. We adapted the Model-Informed Machine Learning (MIML) method to handle challenges in preclinical 7T MRI, including reduced voxel sizes, elevated noise levels (SNR=30-60), and shifts in T2 lobes. Results from in-silico simulated data demonstrate the superior performance of the proposed multi-layer-perceptron-based solution over RNNLS. Validation with ME T2 data from two mice—a healthy control and a cuprizone-exposed pathological mouse—confirms the ML method’s success in identifying cuprizone-induced demyelination. Our study showcases the adaptability and enhanced performance of the MIML approach under challenging preclinical 7T MRI conditions, contributing to the advancement of MWF estimation methods in high-field MRI settings.","1945-8452","979-8-3503-1333-8","10.1109/ISBI56570.2024.10635246","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10635246","In-silico;Machine learning;Brain;MRI;Myelin water imaging;Pre-clinical data.","Maximum likelihood estimation;Pathology;Adaptation models;Magnetic resonance imaging;Machine learning;Brain modeling;Signal to noise ratio","","","","18","IEEE","22 Aug 2024","27-30 May 2024","27-30 May 2024","IEEE","IEEE Conferences"
"Mitigating Limited Angle Artifacts in a Dual-Panel Positron Emission Mammography Scanner Using Deep Learning Regularization","F. G. Moncada-Gutiérrez; M. Rodríguez-Villafuerte; H. Alva-Sánchez; A. Martínez-Dávalos","National Autonomous University of Mexico, Physics Institute, Mexico City, Mexico; National Autonomous University of Mexico, Physics Institute, Mexico City, Mexico; National Autonomous University of Mexico, Physics Institute, Mexico City, Mexico; National Autonomous University of Mexico, Physics Institute, Mexico City, Mexico","2024 IEEE Nuclear Science Symposium (NSS), Medical Imaging Conference (MIC) and Room Temperature Semiconductor Detector Conference (RTSD)","25 Sep 2024","2024","","","1","2","A dual-panel Positron Emission Mammography (PEM) scanner is a dedicated breast imaging device with higher spatial resolution and enhanced sensitivity, in comparison with conventional Positron Emission Tomography (PET) scanners. However, one of the main challenges this scanner faces are the limited angle artifacts that arise in the cross-planes. To mitigate such artifacts, deep learning regularization has been included in the List Mode Ordered Subsets Expectation Maximization (LM-OSEM) reconstruction algorithm. Regularization has been applied using a U-Net trained with Monte-Carlo simulated data. Network training was achieved using slices of cross-plane images of a PEM scanner as input and corresponding slices from a dedicated breast-PET ring scanner as target, since this scanner does not have the limited angle problem. In the regularization stage, the trained U-Net is employed to process the cross-plane slices of the preceding image estimation. Subsequently, the resultant output is fused with the former image estimate utilizing Forward-backward splitting expectation maximization (FBSEM). This image reconstruction framework has demonstrated a notable enhancement in image quality when assessed from the cross-plane perspective, while maintaining the quality of images when assessed from the in-plane perspective. With this approach, PEM images may be effectively analyzed as three-dimensional images.","2577-0829","979-8-3503-8815-2","10.1109/NSS/MIC/RTSD57108.2024.10657598","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10657598","","Deep learning;Training;Microwave integrated circuits;Sensitivity;Monte Carlo methods;Semiconductor detectors;Positrons","","","","7","IEEE","25 Sep 2024","26 Oct.-2 Nov. 2024","26 Oct.-2 Nov. 2024","IEEE","IEEE Conferences"
"Incorporation of Deep Learning Regularization in the Image Reconstruction Algorithm for a Dual-Panel PEM Scanner","F. G. Moncada-Gutiérrez; M. Rodríguez-Villafuerte; H. Alva-Sánchez; A. Martínez-Dávalos","CDMX, National Autonomous University of Mexico, Physics Institute, Mexico; CDMX, National Autonomous University of Mexico, Physics Institute, Mexico; CDMX, National Autonomous University of Mexico, Physics Institute, Mexico; CDMX, National Autonomous University of Mexico, Physics Institute, Mexico","2025 IEEE Nuclear Science Symposium (NSS), Medical Imaging Conference (MIC) and Room Temperature Semiconductor Detector Conference (RTSD)","18 Dec 2025","2025","","","1","2","A dual-panel Positron Emission Mammography (PEM) scanner prototype is under development in our research group, and its imaging performance is currently being evaluated. The main challenge for dual-panel scanners is the presence of limited-angle artifacts, which appear in the images due to the acquisition geometry. These artifacts diminish the quality of the images, degrade the contrast of the lesions, and generate distortions in the cross-plane slices (perpendicular to the panels). To mitigate such distortions, deep learning regularization has been incorporated into the List Mode Ordered Subsets Expectation Maximization (LM-OSEM) image reconstruction algorithm. For the regularization step, a U-Net was trained with Monte-Carlo simulated data for several image quality phantoms. Data augmentation strategies were used to increase the diversity of the training data and to construct a model that generalizes more effectively to unseen data. The deep learning model was trained with 3840 pairs of cross-plane images of a dual-panel PEM scanner as input and corresponding slices from a dedicated breast-PET ring scanner as target. This approach was selected because a ring-shaped scanner does not face the limited-angle problem. The Forward-backward splitting expectation maximization (FBSEM) algorithm was implemented with the trained U-Net. This framework was applied to both MC-simulated and experimentally acquired data. In both cases, the quality of the cross-plane images was enhanced, without hampering the in-plane slices (parallel to the panels), and the enhancement in the quality of the images was quantified by image quality metrics like noise, contrast, and the Mean Absolute Error (MAE).","2577-0829","978-1-6654-7767-3","10.1109/NSS/MIC/RTSD57106.2025.11287935","PCF; UNAM; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11287935","","Image reconstruction;Deep learning;Positrons;Physics;Plasmas;Nuclear medicine;Image quality;Distortion;Training data;Single photon emission computed tomography","","","","","IEEE","18 Dec 2025","1-8 Nov. 2025","1-8 Nov. 2025","IEEE","IEEE Conferences"
"Finding ϵ-Locally Optimal Solutions for Multiobjective Multimodal Optimization","A. E. Rodriguez-Fernandez; L. Schäpermeier; C. Hernández; P. Kerschke; H. Trautmann; O. Schütze","Department of Computer Science, CINVESTAV-IPN, Ciudad de Mexico, Mexico; Big Data Analytics in Transportation, Technische Universitat Dresde, Dresden, Germany; Ciencias de la computación, Universidad Nacional Autonoma de Mexico Instituto de Investigaciones en Matematicas Aplicadas y Sistemas, Ciudad de Mexico, Mexico; Big Data Analytics in Transportation, Technische Universitat Dresde, Dresden, Germany; Department of Machine Learning and Optimisation, University of Paderborn, Paderborn, Germany; Department of Computer Science, CINVESTAV-IPN, Ciudad de Mexico, Mexico",IEEE Transactions on Evolutionary Computation,"10 Oct 2025","2025","29","5","2019","2031","In this article, we address the problem of computing all locally optimal solutions of a given multiobjective problem whose images are sufficiently close to the Pareto front. Such  $\epsilon $ -locally optimal solutions are particularly interesting in the context of multiobjective multimodal optimization (MMO). To accomplish this task, we first define a new set of interest,  $L_{Q,\epsilon }$ , that is strongly related to the recently proposed set of  $\epsilon $ -acceptable solutions. Next, we propose a new unbounded archiver,  $ArchiveUpdateL_{Q,\epsilon }$ , aiming to capture  $L_{Q,\epsilon }$  in the limit. This archiver can in principle be used in combination with any multiobjective evolutionary algorithm (MOEA). Further, we equip numerous MOEAs with  $ArchiveUpdateL_{Q,\epsilon }$ , investigate their performances across several benchmark functions, and compare the enhanced MOEAs with their archive-free counterparts. For our experiments, we utilize the well-established metrics HV, IGDX, and  $\Delta _{p}$ . Additionally, we propose and use a new performance indicator,  $I_{\mathrm { EDR}}$ , which results in comparable performances but which is applicable to problems defined in higher dimensions (in particular in decision variable space).","1941-0026","","10.1109/TEVC.2024.3458855","European Research Center for Information Systems (ERCIS); CONAHCYT to pursue his Postdoc Fellowship at the CINVESTAV-IPN; Center for Scalable Data Analytics and Artificial Intelligence (ScaDS.AI) Dresden/Leipzig; Research Provided by UNAM’s Project PAPIIT(grant numbers:IA102923); CONAHCYT Project(grant numbers:CBF2023-2024-1463); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677365","Evolutionary computation;local solutions;multimodal optimization (MMO);multiobjective optimization","Optimization;Evolutionary computation;Approximation algorithms;Benchmark testing;Vectors;Surveys;Pareto optimization","","8","","79","IEEE","11 Sep 2024","Oct. 2025","","IEEE","IEEE Journals"
"A Finite-Time Convergent Primal-Dual Gradient Dynamics Based on the Multivariable Super-Twisting Algorithm","O. Texis-Loaiza; A. Mercado-Uribe; J. A. Moreno; J. Schiffer","Brandenburg University of Technology Cottbus-Senftenberg, Cottbus, Germany; Brandenburg University of Technology Cottbus-Senftenberg, Cottbus, Germany; Eléctrica y Computación, Instituto de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Brandenburg University of Technology Cottbus-Senftenberg, Cottbus, Germany",2025 European Control Conference (ECC),"14 Oct 2025","2025","","","1892","1898","We propose a novel primal-dual gradient dynamics (PDGD) algorithm to dynamically solve an optimization problem with linear equality constraints in finite time. To ensure finite-time convergence, we endow the PDGD with suitable homogeneity properties. More precisely, departing from the standard PDGD and based on the associated Lagrangian of the optimization problem, the algorithm is derived by suitably combining a change of coordinates of the standard PDGD with the multivariable super-twisting algorithm. In our new coordinates, the proposed PDGD’s global convergence to the optimal solution of the optimization problem is then proven via a smooth, strong Lyapunov function. Additionally, we provide a numerical example to compare the performance of our algorithm with existing approaches from the literature.","2996-8895","978-3-907144-12-1","10.23919/ECC65951.2025.11186834","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11186834","","Heuristic algorithms;Europe;Time factors;Optimization;Standards;Convergence;Lyapunov methods","","","","46","","14 Oct 2025","24-27 June 2025","24-27 June 2025","IEEE","IEEE Conferences"
"Sparse Dynamic Network Reconstruction Through L1-regularization of a Lyapunov Equation","I. X. Belaustegui; M. O. Arango; R. Rossi-Pool; N. E. Leonard; A. Franci","Department of Mechanical and Aerospace Engineering, Princeton University; Department of Mechanical and Aerospace Engineering, Princeton University; Instituto de Fisiología Celular - Neurociencias and Centro de Ciencias de la Complejidad, Universidad Nacional Autónoma de México, México; Department of Mechanical and Aerospace Engineering, Princeton University; Department of Electrical Engineering and Computer Science, University of Liege, and WEL Research Institute, Wavre, Belgium",2024 IEEE 63rd Conference on Decision and Control (CDC),"26 Feb 2025","2024","","","4544","4549","An important problem in many areas of science is that of recovering interaction networks from high-dimensional time-series of many interacting dynamical processes. A common approach is to use the elements of the correlation matrix or its inverse as proxies of the interaction strengths, but the reconstructed networks are necessarily undirected. Transfer entropy methods have been proposed to reconstruct directed networks, but the reconstructed network lacks information about interaction strengths. We propose a network reconstruction method that inherits the best of the two approaches by reconstructing a directed weighted network from noisy data under the assumption that the network is sparse and the dynamics are governed by a linear (or weakly-nonlinear) stochastic dynamical system. The two steps of our method are i) constructing an (infinite) family of candidate networks by solving the covariance matrix Lyapunov equation for the state matrix and ii) using $L_{1}$-regularization to select a sparse solution. We further show how to use prior information on the (non)existence of a few directed edges to dramatically improve the quality of the reconstruction.","2576-2370","979-8-3503-1633-9","10.1109/CDC56724.2024.10885791","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10885791","","Correlation;Reconstruction algorithms;Entropy;Sparse matrices;Noise measurement;Covariance matrices;Dynamical systems","","","","24","IEEE","26 Feb 2025","16-19 Dec. 2024","16-19 Dec. 2024","IEEE","IEEE Conferences"
"Experimental Modeling of a Buck Converter Using Genetic Algorithms in Python","J. J. Berger; F. Botterón; R. E. Carballo; J. G. Rojas; G. Y. Aguirre","IMAM, UNaM, CONICET, FI, Grupo de Investigación y Desarrollo en Electrónica (GIDE) Oberá, Misiones, Argentina; IMAM, UNaM, CONICET, FI, Grupo de Investigación y Desarrollo en Electrónica (GIDE) Oberá, Misiones, Argentina; IMAM, UNaM, CONICET, FI, Grupo de Investigación y Desarrollo en Electrónica (GIDE) Oberá, Misiones, Argentina; IMAM, UNaM, CONICET, FI, Grupo de Investigación y Desarrollo en Electrónica (GIDE) Oberá, Misiones, Argentina; Universidad Nacional de Misiones (UNaM), FI, Grupo de Investigación y Desarrollo en Electrónica (GIDE) Oberá, Misiones, Argentina",2025 XXI Workshop on Information Procesing and Control (RPIC),"27 Nov 2025","2025","","","1","5","In this work, a genetic algorithm, implemented in the Python programming language, is developed to model a DCDC buck converter in discrete-time. The modeling is performed and validated using experimental signals from a 25 W converter, resulting in an accurate model of the converter.","","979-8-3315-5702-7","10.1109/RPIC67987.2025.11260650","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11260650","Genetic Algorithms;Python;Modeling;Parametric Identification;step-down converter;grey box;discrete time","Buck converters;Accuracy;Conferences;Python;Genetic algorithms","","","","23","IEEE","27 Nov 2025","17-19 Sept. 2025","17-19 Sept. 2025","IEEE","IEEE Conferences"
"On the Exact Parameter Estimation for Robot Manipulators Without Persistence of Excitation","M. A. Arteaga","Departamento de Control y Robótica, DIE–FI, UNAM, México, D. F., Mexico",IEEE Transactions on Automatic Control,"29 Dec 2023","2024","69","1","410","417","Adaptive control is one of the most employed techniques to achieve trajectory tracking of robot manipulators. Although it is desirable to obtain exact parameter estimation, most adaptive schemes need the persistency of excitation (PE) condition on the regressor to be satisfied. In the recent years, the so-called dynamic regressor extension and mixing (DREM) procedure was developed to provide an alternative in the design of adaptive laws with conditions different from PE. When met, the improvement in parameter estimation is remarkable, but when not, adaptation can simply stop, which might be unacceptable for control purposes. This article proposes for the first time a composite scheme, which combines the standard gradient adaptive law with a DREM-based additional term with the following properties: 1) Trajectory tracking for joint desired positions and velocities is guaranteed; 2) in the absence of PE, if a new condition that can partially be verified online for the additional DREM-based term is matched, then exact parameter estimation takes place in finite time. Simulation results are in good accordance with the developed theory.","1558-2523","","10.1109/TAC.2023.3269359","DGAPA–UNAM(grant numbers:IN102723); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10106431","Dynamic regressor extension and mixing (DREM);finite time;persistence of excitation;robot parameter estimation;trajectory tracking","Parameter estimation;Mathematical models;Symmetric matrices;Manipulator dynamics;Convergence;Trajectory tracking;Manipulators","","27","","15","IEEE","21 Apr 2023","Jan. 2024","","IEEE","IEEE Journals"
"Optimization of the Safety Margins of the Major Insulation on Oil-Immersed Transformers","L. M. Espino-Rojas; R. Ocón-Valdez; F. P. Espino-Cortés; M. C. Ortiz-Villanueva","SEPI-ESIME Zac., COFAA Instituto Politécnico Nacional, México City, México; Electrical-Electronic Engineering, UNAM, FES-Aragón, Edo. de México, México; SEPI-ESIME Zac., COFAA Instituto Politécnico Nacional, México City, México; ESIME Zacatenco, Instituto Politécnico Nacional, México City, México",2025 IEEE Electrical Insulation Conference (EIC),"22 Aug 2025","2025","","","1","4","The performance of the insulation system is directly linked to transformer life. Therefore, achieving the best insulation system is a key objective during the transformer design. Over the years, many dielectric design criteria have been developed, such as the Weidmann® reference curves and safety margin calculation. This work focuses on optimizing computed safety margins of oil gaps related to the probability of inception of partial discharges in transformer oil without increasing the overall dimensions of the active part of the original transformer design. These margins must be adequate to guarantee that the equipment supports test levels and the dielectric stresses to which it will be subjected during its useful life. An optimization methodology based on genetic algorithms (GA) is developed to maximize safety margins in the major insulation arrangements of a power transformer, considering barriers, oil duct dimensions, and dielectric material properties for mineral or natural esters. The results show that the genetic algorithm yielded considerable improvements in the design of the insulation system of a 20 MVA transformer based on its insulation safety margins, calculated considering the applied potential and impulse voltage test voltages.","2993-3684","979-8-3315-2608-5","10.1109/EIC63069.2025.11123232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11123232","Power transformers;genetic optimization;finite element;insulation design;safety margin;natural ester oil","Electric potential;Oils;Windings;Voltage;Oil insulation;Genetics;Safety;Optimization;Power transformer insulation;Genetic algorithms","","","","13","IEEE","22 Aug 2025","8-11 June 2025","8-11 June 2025","IEEE","IEEE Conferences"
