"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Pseudo-Temporal Modeling with 2D CNNs for Framewise Surgical Gesture Segmentation in Robot-Assisted Surgery","D. Haro-Mendoza; G. A. Castro Vazquez; A. Leonardo Campos Carreras; A. J. Diaz Urias; V. J. Gonzalez-Villela; M. Cedillo-Hernandez; R. E. Arevalo-Ancona","Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Biomedical Systems Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; SEPI ESIME Culhuacán, Instituto Politécnico Nacional, Mexico City, Mexico; SEPI ESIME Culhuacán, Instituto Politécnico Nacional, Mexico City, Mexico","2025 6th International Conference on Communications, Information, Electronic and Energy Systems (CIEES)","25 Dec 2025","2025","","","1","5","Surgical procedures can be decomposed into elementary units (tasks, surgemes, and dexemes) that represent the building blocks of surgical performance. Segmenting gestures at this level is crucial for objective skill assessment and for understanding how simple movements are concatenated to form complete procedures, ultimately supporting the development of training and evaluation systems. In this work, we present a pseudo-temporal modeling approach for surgical gesture segmentation using a 2D ResNet-50 convolutional network trained exclusively on RGB frames. During training, each video was divided into eight equal segments, which were used to feed the network and generate gesture-level probabilities. To optimize learning, an adaptive Exponential Moving Average (EMA) mechanism was applied to stabilize weight updates and reinforce poorly performing gesture classes. At inference, complete surgical videos were processed with an overlapping sliding window of eight frames, where each frame could be evaluated multiple times in different contexts. Frame-level probabilities were averaged across overlapping windows and refined through a temporal mode filter, producing stable and coherent gesture sequences. The method was validated on the JIGSAWS dataset, which includes the Suturing, Knot Tying, and Needle Passing tasks. Results showed reliable recognition across all procedures: Suturing achieved 82.26%, Knot Tying 91.97%, and Needle Passing 79.35%. Training required approximately one hour, and inference on a complete video of 2950 frames was performed in about 45 seconds, also generating a labeled output video. By relying solely on 2D convolutions and RGB input, the approach achieves accurate and efficient segmentation with low computational cost, making it suitable for surgical training environments with limited resources and applicable in near real-time scenarios.","","979-8-3315-0119-8","10.1109/CIEES66347.2025.11300252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11300252","surgical gesture segmentation;pseudo-temporal modeling;2d convolutional neural networks;resnet 50;exponential moving average","Training;Adaptation models;Accuracy;Computational modeling;Surgery;Needles;Real-time systems;Windows;Convolutional neural networks;Videos","","","","13","IEEE","25 Dec 2025","26-28 Nov. 2025","26-28 Nov. 2025","IEEE","IEEE Conferences"
"Design of Polymer Optical Waveguides for the Detection of Azo Dye Water Contaminants","I. M. Garnica-Palafox; E. García-Muñoz; A. M. Velázquez-Benítez; F. M. Sánchez-Arévalo; N. Qureshi","Instituto de Ciencias Aplicadas y Tecnología & Instituto de Investigaciones en Materiales Universidad Nacional Autónoma de México, CDMX, Mexico; Unidad Zacatenco, Escuela Superior de Ingeniería Mecánica y Eléctrica Instituto Politécnico Nacional, CDMX, México; Instituto de Ciencias Aplicadas y Tecnología Universidad Nacional Autónoma de México, CDMX, Mexico; Instituto de Investigaciones en Materiales Universidad Nacional Autónoma de México, CDMX, Mexico; Instituto de Ciencias Aplicadas y Tecnología Universidad Nacional Autónoma de México, CDMX, Mexico",2024 IEEE 42nd Central America and Panama Convention (CONCAPAN XLII),"26 Mar 2025","2024","","","1","6","The design of single-mode optical waveguides made of SU-8 photoresist and functionalized with coatings of chitosan-based hydrogels to detect water-polluting azo dyes is presented through analytical and numerical analyses. Two possible waveguide configurations were evaluated in order to obtain the dimensions that allow the maximum sensitivity and facilitate their fabrication through direct laser writing (DLW) lithography method. The sensitivity of the waveguides was studied for TE and TM polarizations at NIR frequencies (λ=975 nm). We systematically explore how both, the hydrated and dehydrated states of the hydrogel receptor/cladding layer, and the waveguide’s dimensions, core width (2.0 < w < 3.0 µm) and height (h = 0.75 and 1.0 µm), influence the sensitivity. The results reveal that TM polarization yields higher sensitivity compared to TE one, particularly in thicker waveguides (h = 1.0 µm). Dehydration of the hydrogel cladding significantly enhances the interaction between the evanescent wave and the hydrogel, leading to a threefold increase in sensitivity which facilitates the detection of pollutant dyes such as acid blue 113 (AB113) or methyl orange (MO). Thus, dehydrated waveguides under TM polarization are highly effective for environmental and biomedical sensing applications, offering a promising approach for the detection of specific contaminants in aqueous solutions.","2687-7244","979-8-3503-6672-3","10.1109/CONCAPAN63470.2024.10933869","Universidad Nacional Autónoma de México; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10933869","Waveguides;SU-8;Chitosan;Poly(vinyl alcohol);Genipin;Hydrogels;Pollutant azo dyes","Sensitivity;Optical polarization;Claddings;Biomedical optical imaging;Optical design;Hydrogels;Optical device fabrication;Optical sensors;Optical waveguides;Optical surface waves","","","","13","IEEE","26 Mar 2025","27-29 Nov. 2024","27-29 Nov. 2024","IEEE","IEEE Conferences"
"Deep Learning Approach for Aortic Valve Localization, Detection and Segmentation in Computed Tomography Volumes","R. O. Azuara-Domínguez; J. Olveres; B. Escalante-Ramírez; E. Vallejo","Posgrado de Ingeniería Eléctrica, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Centro Médico ABC, Mexico city, Mexico",2025 IEEE 38th International Symposium on Computer-Based Medical Systems (CBMS),"4 Jul 2025","2025","","","1","4","Standard view cardiac computed tomography (CT) images are of great importance in clinical practice due to the valuable diagnostic information they provide. However, navigating these (3D) medical images to identify such a view can represent a time-consuming process, subject to inter-operator variability. This study presents an approach using a Multiscale Vision Transformer (MViT) to infer the rotation parameters required to obtain standard views and subsequently focus on extracting the left ventricular outflow tract (LVOT) view. Once this view is obtained, the aortic valve is detected and segmented using well-known convolutional neural networks (CNNs), specifically ResNet18 for detection and U-Net for segmentation. The methodology used for its training is detailed, along with the metrics employed to evaluate their performance. Finally, the results obtained for each stage are presented. This approach provides a clear understanding of the performance of each model, from rotation parameter prediction to aortic valve detection and segmentation.","2372-9198","979-8-3315-2610-8","10.1109/CBMS65348.2025.00063","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058708","3D volume Cardiac CT;Deep Learning;Regression;Segmentation;Rotation matrix;Attention","Deep learning;Image segmentation;Three-dimensional displays;Computed tomography;Computational modeling;Pipelines;Predictive models;Valves;Data models;Standards","","","","12","IEEE","4 Jul 2025","18-20 June 2025","18-20 June 2025","IEEE","IEEE Conferences"
"A Reasoning System for Graded Modal Logic","R. López-Villafán; E. Bárcenas","IIMAS: Posgrado en Ciencia e lngeniería de la Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingenería: Dpto. de Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico",2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),"18 Dec 2024","2024","","","228","236","In this paper, we propose a deduction system for the modal logic $\mathbf{K}$ with graded modalities, which is obtained by adding numerical constraints to the modal operators. Graded modalities can be seen as a generalization of traditional modal operators since they include numerical bounds in the modalities, thus enabling the formal treatment of more detailed expressions, such as “there are at least $n+1$ individuals satisfying a certain property”, where $n$ is a natural number. This kind of properties commonly arise in contexts such as concurrent systems: “if at least 3 processors are free, then proceed to compute the next task”, or epistemic logic:”if more than 2 people know $P$, then $P$ is known”. The system is based on the notion of tree-hypersequents. We show the system is correct, i.e. sound and complete.","","979-8-3315-3211-6","10.1109/CONISOFT63288.2024.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795561","graded modalities;proof theory;hypersequents;automated reasoning","Technological innovation;Interpolation;Program processors;Computational modeling;Syntactics;Cognition;Numerical models;Logic;Iterative methods;Formal verification","","","","21","IEEE","18 Dec 2024","28 Oct.-1 Nov. 2024","28 Oct.-1 Nov. 2024","IEEE","IEEE Conferences"
"Large-Scale Validation and Analysis of the Rejection Capacity in Entropic Associative Memory","Á. F. Bórquez; R. Morales; L. A. Pineda","Universidad de Sonora, Guadalajara, Jalisco, México; Universidad de Guadalajara, Guadalajara, Jalisco, México; Universidad Nacional Autónoma de México, Guadalajara, Jalisco, México",2025 Mexican International Conference on Computer Science (ENC),"2 Jan 2026","2025","","","1","5","The Entropic Associative Memory (EAM) is a cognitively inspired computational model that combines probabilistic recognition with an efficient pattern storage and retrieval architecture. Previous evaluations, limited to small domains of about ten classes and a few thousand instances per class, showed promising results in classification and reconstruction. This work extends those studies in two ways. First, we assess scalability using Googles Quick, Draw! dataset, which includes over 300 classes and 100,000 instances per class. Second, we test EAMs rejection capability by storing only half of the classes and evaluating performance on the full dataset. Results confirm EAMs adaptability to large-scale scenarios and its effective rejection of novel stimuli, underscoring its potential as a robust and explainable AI model.","2332-5712","979-8-3315-9026-0","10.1109/ENC68268.2025.11311908","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11311908","Entropic Associative Memory;Quick Draw;scalability;open-set recognition;rejection","Computer science;Associative memory;Explainable AI;Scalability;Computational modeling;Deep architecture;Computer architecture;Probabilistic logic;Pattern recognition;Context modeling","","","","9","IEEE","2 Jan 2026","10-14 Nov. 2025","10-14 Nov. 2025","IEEE","IEEE Conferences"
"Fast Coupled Thermoelectric and Magnetic Model to Simulate the Transient Behavior of Inductive and Resistive Superconducting Fault-Current Limiters","G. d. Santos; F. Trillaud; B. M. O. Santos; F. Sass; G. G. Sotelo","Department of Electrical Engineering, State University of Rio de Janeiro, Rio de Janeiro, Brazil; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, Mexico; Department of Electrical Engineering, State University of Rio de Janeiro, Rio de Janeiro, Brazil; Department of Electrical and Electronic Engineering, Federal Fluminense University of Rio de Janeiro, Niterói, Brazil; Department of Electrical and Electronic Engineering, Federal Fluminense University of Rio de Janeiro, Niterói, Brazil",IEEE Transactions on Applied Superconductivity,"11 Dec 2023","2024","34","1","1","17","The nonlinear dependence of the resistance of high-temperature superconductors (HTSs) on current, temperature, and magnetic flux density is the basis of the operation of some superconducting power equipment. By modeling the resistance, to simulate in detail the transient behavior of such devices in power systems. In that regard, the finest and most accurate models employ the finite-element method (FEM). Nevertheless, the most common approach in power systems remains the lumped parameters using a classic thermal–electrical analogy. Thus far, there has not been a general method that can combine fine geometrical features of the superconducting device given by finite-element models and the flexibility and computational speed of lumped-parameter models (LPMs). A new model is proposed here to bridge both modeling philosophies and benefit from their advantages. This model, referred to as finite-element lumped-parameter model (FELPM), couples an FEM with an LPM in the same framework. The resulting FELPM is compared with two existing LPMs for the two main topologies of superconducting fault-current limiters (SFCL): resistive (RSFCL) and inductive (ISFCL). All the models are validated against experimental data from the literature when available. It is shown that the new approach yields reasonable computation times, especially in the case of inductive superconducting fault-current limiters. It is argued that such a proposal could be expanded to analyze transients of superconducting power components in more complex electrical networks.","1558-2515","","10.1109/TASC.2023.3332553","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior; Conselho Nacional de Desenvolvimento Cientifico e Tecnológico; Fundação de Amparo à Pesquisa do Estado do Rio de Janeiro; Dirección General de Asuntos del Personal Académico; Universidad Nacional Autónoma de México(grant numbers:DGAPA-PAPIIT #IN108021); Programa de Apoyos para la Superación del Personal Académico; DGAPA; UNAM(grant numbers:PASPA-2022); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10316556","Coated conductor;coupling finite-element method (FEM) circuit;lumped-parameter model (LPM);  $\mathbf {T}-\mathbf {A}$   formulation","Finite element analysis;Superconductivity;Integrated circuit modeling;Computational modeling;High-temperature superconductors;Transient analysis;Physics","","7","","38","IEEE","13 Nov 2023","Jan. 2024","","IEEE","IEEE Journals"
"Nonlinear Quasi-unknown Input Observer Design using Dissipativity","A. Schaum; S. Koch; J. A. Moreno","Chair of Process Analytics, and the Computational Science Hub, University of Hohenheim, Stuttgart, Germany; Institute of Automation and Control, Graz University of Technology, Graz, Austria; Coordinación de Eléetrica y Computación, Instituto de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, México",2024 IEEE 63rd Conference on Decision and Control (CDC),"26 Feb 2025","2024","","","7014","7019","This paper addresses the design of nonlinear quasi-unknown input observers for systems that can be interpreted as an interconnection of a linear dynamical subsystem with a static nonlinear feedback subject to additive perturbations. As assumed classically an exosystem is considered describing the dynamics of the perturbation, meaning that the dynamical mechanisms giving rise to the perturbation are sufficiently well known but the underlying initial condition is unknown. Extending classical results based on the Sylvester equation, and combining them with well-established dissipativity concepts and design methods, a new approach for quasi-unknown input observer design is obtained. It simplifies previous work on general unknown input observer design by exploiting the structural knowledge about the exosystem, without extending the state dimension. The approach is illustrated with numerical case examples.","2576-2370","979-8-3503-1633-9","10.1109/CDC56724.2024.10886429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10886429","","Additives;Perturbation methods;Design methodology;Observers;Mathematical models;Linear matrix inequalities;Nonlinear dynamical systems;Observability;Convergence","","","","28","IEEE","26 Feb 2025","16-19 Dec. 2024","16-19 Dec. 2024","IEEE","IEEE Conferences"
"Novel VSC-Based STATCOM Model Based on Dynamic Phasors for Unbalanced Distribution Networks","J. H. Sanchez; L. M. Castro","Posgrado en Ingeniería Eléctrica, National Autonomous University of Mexico (UNAM), Mexico City, Mexico; Department of Electrical Energy, National Autonomous University of Mexico (UNAM), Mexico City, Mexico",IEEE Open Access Journal of Power and Energy,"21 May 2024","2024","11","","241","253","This paper presents the dynamic phasor-based modeling of three-phase voltage-source converters (VSC) operating as static var compensators (STATCOM). The generalized averaging theory is used to represent the DC, 1st, and 2nd harmonics of the converter fundamental response. The VSC model is characterized by the use of basic power system elements. On the AC side, it consists of three wye-connected, single-phase complex transformers whose taps replicate the AC-to-DC energy conversion of the converter commanded by the modulating variables. On the DC side, a capacitor is connected in parallel with a current source to reproduce the  $2{\omega }$  effects of the network unbalances. Dynamic controllers based on symmetrical components were developed for the VSC to operate as STATCOM. All these aspects distinguish the proposed VSC model from the switching-based model (SBM) and averaged-value model (AVM). The model’s dynamic behavior was validated by comparing it to the SBM and AVM, using a five-bus, three-phase network taken from Simulink/Simscape Electrical. Root mean square errors were smaller than 5.56% and 5.53%, with the new model being 43 and 17 times more computationally efficient than the SBM and AVM, respectively. The IEEE 34-bus test system with two STATCOM was also studied to verify the model practicality. Short-circuit faults were assessed to prove that both STATCOM suitably perform under unbalanced operating conditions.","2687-7910","","10.1109/OAJPE.2024.3392190","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10506591","Dynamic phasors;unbalanced three-phase power networks;VSC modeling;VSC-based STATCOM","Automatic voltage control;Harmonic analysis;Integrated circuit modeling;Voltage control;Power system dynamics;Computational modeling;Power system harmonics","","5","","33","CCBYNCND","22 Apr 2024","2024","","IEEE","IEEE Journals"
"A Framework for Dynamic User Modeling Integrating Data Stream Mining and Process Mining in Educational Contexts","M. Yesenia Zavaleta-Sanchez; E. Benitez-Guerrero; G. Gilberto Molero-Castillo; C. Mezura-Godoy; L. Gerardo Montane-Jimenez","Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Departamento de Computación, Facultad de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico",IEEE Access,"26 Sep 2025","2025","13","","166078","166103","A user model (UM) is a representation of the characteristics, behaviors, and preferences of a user that a computer system utilizes to provide the user with personalized experiences. In educational settings, for instance, a system can use information about the Learning Styles (LSs) of a student to provide them with adequate study materials. Furthermore, with the growing use of Learning Management System (LMS) platforms, such as Moodle, continuous streams of user data highlight the need to compute student models dynamically to support adaptive decision-making in teaching and learning. This paper introduces a framework for Dynamic User Modeling (DUMING) to create evolving Dynamic User Models (DUMs) that capture and adapt to changes in student LSs over time, based on event log streams from an LMS. This framework leverages the Felder and Silverman Learning Styles Model (FSLSM) and integrates Data Stream Mining (DSM) and Process Mining (PM) techniques across three layers: collection, preprocessing, and mining. Collected event streams are processed within landmark windows and classified into High-Level Events (HLEs) based on LMS functionality. The STREAMKMeans algorithm clusters events, and the PM phase uses Alpha Miner (AM), Heuristic Miner (HM), and Inductive Miner (IM) algorithms to identify learning paths represented as Petri Nets (PNs), with IM showing the highest values in the quality metrics used. Implemented and evaluated in a course using Moodle at the Universidad Veracruzana in Mexico, the framework employs IF-THEN rules to relate HLE proportions to FSLSM-based LSs, visualizing changes through radar charts. The results demonstrate the effectiveness of the framework in generating adaptive DUMs, providing insights that enhance over time educational support and enable timely interventions.","2169-3536","","10.1109/ACCESS.2025.3611957","National Council of Humanities, Sciences, and Technologies (CONAHCYT, Mexico)(grant numbers:743385); CONAHCYT, in the Scope of the Project “Infraestructura para Agilizar el Desarrollo de Sistemas Centrados en el Usuario” (Cátedras)(grant numbers:3053); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11173584","Clustering data stream mining;dynamic user modeling;educational data mining;learning styles;process mining","Adaptation models;Data models;Computational modeling;Context modeling;Time division multiplexing;Heuristic algorithms;Visualization;Process mining;Sensors;Clustering algorithms","","1","","61","CCBY","19 Sep 2025","2025","","IEEE","IEEE Journals"
"Detection of DoS and DDoS Attacks Using LSTM in Computer Networks: A Systematic Literature Review","A. E. Godínez; J. L. Garza Rivera; D. T. Varela","CDMX, Universidad Da Vinci, México; CDMX, Universidad Da Vinci, México; Facultad de Estudios Superiores Cuautitlán, Universidad Nacional Autónoma de México, Cuautitlan Izcalli, México",2025 IEEE Latin American School on Computational Intelligence and Robotics (SAIBOT),"22 Jan 2026","2025","","","94","102","Artificial Intelligence (AI), with machine learning (ML) models and deep learning (DL) neural networks, represents a possibility for detecting DoS/DDoS attacks more effectively. The LSTM (Long Short-Term Memory) model is one of the options for detecting these increasingly varied and sophisticated attacks. The objective of this research was to evaluate the application of the LSTM model in the detection of DoS and DDoS cyber attacks on communications networks. This research was designed as a Systematic Literature Review to obtain the most recent studies on the subject. As a result, 86 initial studies were obtained from the databases. Once the entire procedure, including the quality assessment of the studies, was completed, 15 final primary studies were selected. With these primary studies, it was possible to answer all the questions in the review. It should be noted that modern SDN (Software Defined Network) networks, Cloud Computing networks, and classic networks are threatened by this type of attack. The LSTM models applied in the detection of DoS/DDoS attacks can be hybrid or combined. The most commonly used evaluation metrics are Accuracy, Recall, Precision, and F1-Score, and the most frequently found public datasets include NSL-KDD, CICDoS2019, and CICIDS2017. A wide variety of LSTM-based models and approaches that can be used to experiment and compare their performance in terms of communications network security.","","979-8-3315-8719-2","10.1109/SAIBOT67519.2025.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11344499","Long short term memory;Systematic literature review;Machine learning;Denial-of-service attack;Network security","Measurement;Computational modeling;Denial-of-service attack;NSL-KDD;Market research;Communication networks;Software defined networking;Long short term memory;Cyberattack;Systematic literature review","","","","21","IEEE","22 Jan 2026","28-31 Oct. 2025","28-31 Oct. 2025","IEEE","IEEE Conferences"
