"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Outlet Pressure Regulation in a High-Viscosity Two-Phase Flow Horizontal Pipeline Using Inverse ANN and PSO","W. Ajbar; L. Torres; J. E. Guzmán Vázquez; M. Cervantes-Bobadilla","Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Tecnológico Nacional de México/CENIDET, Cuernavaca, Morelos, México","2024 10th International Conference on Control, Decision and Information Technologies (CoDIT)","18 Oct 2024","2024","","","878","883","This article presents the development of two models based on artificial neural networks (ANN) aimed at estimating the pressure at a position near the output of a horizontal pipeline that transports a two-phase flow of glycerin-air, which is characterized by its high viscosity. These models consist of an input layer that includes variables such as the air flow rate (Qa), the glycerin flow rate (Qg), and the pressure at three spatial points located before the desired pressure prediction point. In the hidden layer of the first model, the nonlinear activation function Logsig is employed, while in the second model, the Tansig function is used. In both cases, a linear function is used in the output layer. In order to determine the air and glycerin flow rates that were injected to the pipeline, ANN models ares inverted by using the particle swarm optimization (PSO) algorithm. From these inverted models, the design of an open-loop control to regulate the output pressure in the horizontal pipeline is presented. This control allows simultaneous manipulation of the Qg and Qa variables, or a single Qg variable, enabling precise regulation.","2576-3555","979-8-3503-7397-4","10.1109/CoDIT62066.2024.10708236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10708236","","Viscosity;Training;Atmospheric modeling;Pipelines;Transfer functions;Transportation;Artificial neural networks;Predictive models;Regulation;Particle swarm optimization","","","","10","IEEE","18 Oct 2024","1-4 July 2024","1-4 July 2024","IEEE","IEEE Conferences"
"Comparative Analysis of Evolutionary Operators in NSGA-II for Beam Angle Selection in Intensity Modulated Radiotherapy","N. Ojeda-Ortega; M. Moyano; C. Hernández; S. González-Gallardo; G. Cabrera-Guerrero","Escuela de Ingeniería Informática, Pontificia Universidad Católica de Valparaíso, Valparaíso, Chile; Departamento de Ingeniería Industrial, Universidad Católica del Norte, Antofagasta, Chile; Instituto de Investigaciones en Matemáticas Aplicadas y Sistemas, Universidad Nacional Autónoma de México, Ciudad de México, México; Departamento de economía Aplicada (Matemáticas), Universidad de Málaga, Málaga, España; Escuela de Ingeniería Informática, Pontificia Universidad Católica de Valparaíso, Valparaíso, Chile",2025 44th International Conference of the Chilean Computer Science Society (SCCC),"10 Mar 2026","2025","","","1","6","Beam angle optimisation in intensity-modulated radiotherapy is inherently multi-objective, requiring a balance between target coverage and the sparing of organs at risk. Although evolutionary approaches exist in the literature, their application in multi-objective contexts remains limited. Genetic algorithms have proved effective in single-objective variants of the problem, making it relevant to extend and analyse their components in multi-objective settings. This work examinates the impact of different genetic operators within an NSGA-II-based multi-objective evolutionary algorithm to solve the multi-objective beam angle optimisation problem. Specifically, we evaluate four crossover operators; Simulated Binary Crossover (SBX),Partially Matched Crossover (PMX), Random Union Crossover (RUX), and One-Point Crossover (OX1); combined with two mutation strategies: random replacement and add/subtract mutation. Experimental results show that operator choice significantly affects the convergence and diversity of the Pareto front. Among the combinations analysed, RUX-A/S and RUX-R achieve the best performance in terms of hypervolume and IGD. These findings underscore the importance of operator design when adapting evolutionary algorithms to the multi-objective BAO problem.","2691-0632","979-8-3315-9716-0","10.1109/SCCC67219.2025.11420378","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11420378","Beam angle optimisation;Multiobjective optimisation;Evolutionary algorithm;NSGA-II;Intensity Modulated Radiation Therapy","Computer science;Evolutionary computation;Radiation therapy;Optimization;Genetic operators;Convergence","","","","0","IEEE","10 Mar 2026","28-30 Oct. 2025","28-30 Oct. 2025","IEEE","IEEE Conferences"
"Finding ϵ-Locally Optimal Solutions for Multiobjective Multimodal Optimization","A. E. Rodriguez-Fernandez; L. Schäpermeier; C. Hernández; P. Kerschke; H. Trautmann; O. Schütze","Department of Computer Science, CINVESTAV-IPN, Ciudad de Mexico, Mexico; Big Data Analytics in Transportation, Technische Universitat Dresde, Dresden, Germany; Ciencias de la computación, Universidad Nacional Autonoma de Mexico Instituto de Investigaciones en Matematicas Aplicadas y Sistemas, Ciudad de Mexico, Mexico; Big Data Analytics in Transportation, Technische Universitat Dresde, Dresden, Germany; Department of Machine Learning and Optimisation, University of Paderborn, Paderborn, Germany; Department of Computer Science, CINVESTAV-IPN, Ciudad de Mexico, Mexico",IEEE Transactions on Evolutionary Computation,"10 Oct 2025","2025","29","5","2019","2031","In this article, we address the problem of computing all locally optimal solutions of a given multiobjective problem whose images are sufficiently close to the Pareto front. Such  $\epsilon $ -locally optimal solutions are particularly interesting in the context of multiobjective multimodal optimization (MMO). To accomplish this task, we first define a new set of interest,  $L_{Q,\epsilon }$ , that is strongly related to the recently proposed set of  $\epsilon $ -acceptable solutions. Next, we propose a new unbounded archiver,  $ArchiveUpdateL_{Q,\epsilon }$ , aiming to capture  $L_{Q,\epsilon }$  in the limit. This archiver can in principle be used in combination with any multiobjective evolutionary algorithm (MOEA). Further, we equip numerous MOEAs with  $ArchiveUpdateL_{Q,\epsilon }$ , investigate their performances across several benchmark functions, and compare the enhanced MOEAs with their archive-free counterparts. For our experiments, we utilize the well-established metrics HV, IGDX, and  $\Delta _{p}$ . Additionally, we propose and use a new performance indicator,  $I_{\mathrm { EDR}}$ , which results in comparable performances but which is applicable to problems defined in higher dimensions (in particular in decision variable space).","1941-0026","","10.1109/TEVC.2024.3458855","European Research Center for Information Systems (ERCIS); CONAHCYT to pursue his Postdoc Fellowship at the CINVESTAV-IPN; Center for Scalable Data Analytics and Artificial Intelligence (ScaDS.AI) Dresden/Leipzig; Research Provided by UNAM’s Project PAPIIT(grant numbers:IA102923); CONAHCYT Project(grant numbers:CBF2023-2024-1463); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677365","Evolutionary computation;local solutions;multimodal optimization (MMO);multiobjective optimization","Optimization;Evolutionary computation;Approximation algorithms;Benchmark testing;Vectors;Surveys;Pareto optimization","","8","","79","IEEE","11 Sep 2024","Oct. 2025","","IEEE","IEEE Journals"
"Cloud Computing Integration for Leak Diagnosis Using Meta-Heuristic Methods for Water Distribution Networks","L. A. Sánchez-Mejía; L. Gómez-Coronel; J. Blesa; L. Torres; I. Santos-Ruiz","TURIX-Dynamics Diagnosis and Control Group, Tecnológico Nacional de México, I.T. Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas, Mexico; TURIX-Dynamics Diagnosis and Control Group, Tecnológico Nacional de México, I.T. Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas, Mexico; Institut de Robòtica i Informàtica Industrial (IRI). UPCCSIC. Llorens i Artigas, Barcelona, Spain; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; TURIX-Dynamics Diagnosis and Control Group, Tecnológico Nacional de México, I.T. Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas, Mexico",2025 6th International Conference on Control and Fault-Tolerant Systems (SysTol),"3 Dec 2025","2025","","","265","270","We present the implementation of a Cloud-Computing-based system for leak diagnosis in a water distribution network. Pressure head/flow rate measured in field is stored and processed in a virtual machine to provide a leak diagnosis in two stages: 1) first the leak is detected by comparing the current operating conditions and expected nominal operating conditions obtained from a previously adjusted simulation model, and 2) the leak exact location and its magnitude are determined using a meta-heuristic method. The performance of the proposed system is implemented for an experimental hydraulic system at a laboratory scale. Results demonstrate a good accuracy in the leak diagnosis metrics at a reduced economic and computational cost, demonstrating the potential results from the implementation of a similar system in a large-scale water distribution network.","2162-1209","978-1-6654-5771-2","10.1109/SysTol66549.2025.11267338","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11267338","","Location awareness;Cloud computing;Costs;Accuracy;Metaheuristics;Distribution networks;Simulated annealing;Virtual machines;Pressure measurement;Resilience","","","","21","IEEE","3 Dec 2025","6-8 Oct. 2025","6-8 Oct. 2025","IEEE","IEEE Conferences"
"Complexity, Artificial Life, and Artificial Intelligence","C. Gershenson","State University of New York at Binghamton, School of Systems Science and Industrial Engineering, Universidad Nacional Autónoma de México, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Centro de Ciencias de la Complejidad.",Artificial Life,"9 Sep 2025","2025","31","3","289","303","The scientific fields of complexity, Artificial Life (ALife), and artificial intelligence (AI) share commonalities: historic, conceptual, methodological, and philosophical. Although their origins trace back to the 1940s birth of cybernetics, they were able to develop properly only as modern information technology became available. In this perspective, I offer a personal (and thus biased) account of the expectations and limitations of these fields, some of which have their roots in the limits of formal systems. I use interactions, self-organization, emergence, and balance to compare different aspects of complexity, ALife, and AI. Even when the trajectory of the article is influenced by my personal experience, the general questions posed (which outweigh the answers) will, I hope, be useful in aligning efforts in these fields toward overcoming—or accepting—their limits.","1064-5462","","10.1162/artl_a_00462","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11154117","Complexity;emergence;self-organization;balance","","","","","","CCBY","9 Sep 2025","4 Sept. 2025","","MIT Press","MIT Press Journals"
"Detection of DoS and DDoS Attacks Using LSTM in Computer Networks: A Systematic Literature Review","A. E. Godínez; J. L. Garza Rivera; D. T. Varela","CDMX, Universidad Da Vinci, México; CDMX, Universidad Da Vinci, México; Facultad de Estudios Superiores Cuautitlán, Universidad Nacional Autónoma de México, Cuautitlan Izcalli, México",2025 IEEE Latin American School on Computational Intelligence and Robotics (SAIBOT),"22 Jan 2026","2025","","","94","102","Artificial Intelligence (AI), with machine learning (ML) models and deep learning (DL) neural networks, represents a possibility for detecting DoS/DDoS attacks more effectively. The LSTM (Long Short-Term Memory) model is one of the options for detecting these increasingly varied and sophisticated attacks. The objective of this research was to evaluate the application of the LSTM model in the detection of DoS and DDoS cyber attacks on communications networks. This research was designed as a Systematic Literature Review to obtain the most recent studies on the subject. As a result, 86 initial studies were obtained from the databases. Once the entire procedure, including the quality assessment of the studies, was completed, 15 final primary studies were selected. With these primary studies, it was possible to answer all the questions in the review. It should be noted that modern SDN (Software Defined Network) networks, Cloud Computing networks, and classic networks are threatened by this type of attack. The LSTM models applied in the detection of DoS/DDoS attacks can be hybrid or combined. The most commonly used evaluation metrics are Accuracy, Recall, Precision, and F1-Score, and the most frequently found public datasets include NSL-KDD, CICDoS2019, and CICIDS2017. A wide variety of LSTM-based models and approaches that can be used to experiment and compare their performance in terms of communications network security.","","979-8-3315-8719-2","10.1109/SAIBOT67519.2025.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11344499","Long short term memory;Systematic literature review;Machine learning;Denial-of-service attack;Network security","Measurement;Computational modeling;Denial-of-service attack;NSL-KDD;Market research;Communication networks;Software defined networking;Long short term memory;Cyberattack;Systematic literature review","","","","21","IEEE","22 Jan 2026","28-31 Oct. 2025","28-31 Oct. 2025","IEEE","IEEE Conferences"
"Exploratory Data Analysis and Classification of Hand Electromyographic Signals Using Classical Machine Learning Algorithms with Hyperparameters Optimization","J. L. Garza Rivera; A. E. Godínez; D. T. Varela","Universidad Da Vinci, CDMX, México; Universidad Da Vinci, CDMX, México; Facultad de Estudios Superiores Cuautitlán Universidad Nacional Autónoma de México Cuautitlan, Izcalli, México",2025 IEEE Latin American School on Computational Intelligence and Robotics (SAIBOT),"22 Jan 2026","2025","","","85","93","Digital signal processing involves recording a signal, making changes to it, and generating a new signal. In engineering, procedures have been developed to acquire signals and extract useful data from them. Once the characteristics have been extracted, they are classified using statistical and artificial intelligence methods. Understanding, comparing and using these characteristics is an important step before tackling massive data sets and deep learning algorithms. The limited capabilities of the embedded cards that can be included in EMG prostheses must also be considered. This paper proposes a basic exploratory analysis and the use of classical algorithms to decompose a set of EMG data. Various machine learning classification algorithms were evaluated, including multilayer perceptron neural networks, support vector machines (SVM), K-nearest neighbors (KNN), decision trees and random forests. The results were then compared using the accuracy, precision, recall, F1 score, and support value metrics. Classic machine learning algorithms are still an option for programming embedded systems that operate based on EMG signals. The quality and cleanliness of the data are as important as the choice of AI model.","","979-8-3315-8719-2","10.1109/SAIBOT67519.2025.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11344577","Classification algorithms;Data analysis;Feature extraction;Digital signal processing;Machine learning;Electromyography","Measurement;Support vector machines;Machine learning algorithms;Data analysis;Signal processing algorithms;Programming;Nearest neighbor methods;Electromyography;Data models;Classification algorithms","","","","51","IEEE","22 Jan 2026","28-31 Oct. 2025","28-31 Oct. 2025","IEEE","IEEE Conferences"
"Students’ Collaborative Learning through Programming Computational Intelligence Algorithms: A Mixed Methods Approach Applied to a Case Study on Energy and Buildings","R. Tariq; I. Sánchez-Domínguez; A. J. Argüelles Cruz","Tecnologico de Monterrey, Institute for the Future of Education, Monterrey, N.L., Mexico; Unidad Académica del IIMAS en el Estado de Yucatán–UNAM, Mérida, Yucatán, Mexico; Instituto Politecnico Nacional, CIC, Mexico City, CDMX, Mexico",2025 IEEE Latin American Conference on Computational Intelligence (LA-CCI),"11 Dec 2025","2025","","","1","6","In response to the global demand for sustainable energy systems and the need to equip future professionals with computational intelligence (CI) skills, this study investigates how collaborative programming of CI algorithms can support student learning in the context of building energy consumption prediction. This research contributes to the limited literature on collaborative CI learning by integrating domain-specific energy data and structured team-based programming, demonstrating a viable instructional model for enhancing algorithmic reasoning in sustainability education. A convergent mixed-methods case study was conducted as an exploratory research study with 14 undergraduate students enrolled in a Data Science course at Tecnológico de Monterrey. Students worked in teams to develop and optimize machine learning and CI models (e.g., ANN, LSTM, GPR) for predicting annual energy use in school buildings. Quantitative metrics such as RMSE and R2 (reported to be R2=0.979 for training and R2=0.981 for testing, coupled with low RMSE=20,504 for training and RMSE=19,948 for testing which were the results of one of the students) assessed model performance, while a structured survey captured cognitive and collaborative learning outcomes. Results revealed that the activity improved students’ understanding of hyperparameter tuning and model evaluation. High levels of engagement were observed, particularly in statistical analysis and data visualization tasks. However, collaborative dynamics yielded mixed perceptions; while many students appreciated teamwork, others encountered challenges in coordination and equitable task division. Qualitative responses emphasized computational constraints and suggested greater support for model integration and real-world relevance. It is concluded that integrating collaborative programming of computational intelligence algorithms into real-world energy prediction tasks effectively supports the development of students’ data science competencies, while highlighting the need for structured team coordination to ensure balanced participation and learning outcomes.","2769-7622","979-8-3315-5432-3","10.1109/LA-CCI66231.2025.11270465","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11270465","collaborative programming;computational intelligence;machine learning education;energy consumption;educational innovation;higher education;mixed methods","Training;Federated learning;Computational modeling;Buildings;Collaboration;Prediction algorithms;Data models;Programming profession;Computational intelligence;Tuning","","","","18","IEEE","11 Dec 2025","5-7 Nov. 2025","5-7 Nov. 2025","IEEE","IEEE Conferences"
"Finding the Set of Nearly Optimal Solutions of a Multiobjective Optimization Problem","O. Schütze; A. E. Rodríguez-Fernandez; C. Segura; C. Hernández","Computer Science Department, CINVESTAV-IPN, Mexico City, Mexico; Computer Science Department, CINVESTAV-IPN, Mexico City, Mexico; Computer Science Department, Centre for Research in Mathematics, Guanajuato, Mexico; Computer Science Department, IIMAS-UNAM, Ciudad de México, Mexico",IEEE Transactions on Evolutionary Computation,"30 Jan 2025","2025","29","1","145","157","Evolutionary multiobjective optimization (EMO) is a highly active research field that has attracted many researchers and practitioners over the past three decades. Surprisingly, until now, the goal of almost all EMO algorithms is to compute a suitable finite size representation of the Pareto set/front of a given multiobjective optimization problem or at least a part of it. In other words, the quest is restricted to optimal solutions. In this work, we argue that the entire set of nearly optimal solutions—which includes all optimal ones—is of potential interest for the decision maker as they contain in addition to the optimal solutions alternative realizations or backup solutions. We further make a first effort to reliably compute the set of nearly optimal solutions via EMO algorithms. To this end, we first propose a new set of interest,  $N_{Q,\epsilon }$ , and analyze its topology. In a next step, we propose an unbounded archiver that aims to capture  $N_{Q,\epsilon }$  and analyze it with respect to monotonicity and limit behavior. After this, we discuss the related subset selection problem which comes with unbounded archivers leading to four different algorithms. Finally, we numerically investigate the behavior of the archiver and the selection strategies, and present some results when using the archiver as external archiver to three widely used multiobjective evolutionary algorithms indicating the benefit of the new approach.","1941-0026","","10.1109/TEVC.2024.3353546","UNAM through Project PAPIIT(grant numbers:IA102923); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10398537","Archiving;evolutionary computation;multiobjective optimization;nearly optimal solutions","Optimization;Pareto optimization;Topology;Task analysis;Computer science;Behavioral sciences;Approximation algorithms","","10","","70","IEEE","12 Jan 2024","Feb. 2025","","IEEE","IEEE Journals"
"Consistent IoT Systems: A Perspective Based on Paraconsistent Descriptive Logic","M. Pérez-Gaspar; J. Gomez; E. Bárcenas; F. García","Dept. of Telecommunications, UNAM, Mexico City, Mexico; Dept. of Telecommunications, UNAM, Mexico City, Mexico; Department of Computer Engineering, UNAM, Mexico City, Mexico; Dept. of Telecommunications, UNAM, Mexico City, Mexico",2024 International Conference on Intelligent Environments (IE),"23 Jul 2024","2024","","","101","104","Internet of Things (IoT) devices generate vast and often contradictory data streams. This poses a challenge for IoT systems, which must make accurate and reliable decisions based on this data. Paraconsistent descriptive logic (PDL) is a branch of non-classical logic that can handle inconsistencies without compromising data reliability. We propose the integration of PDL into IoT systems to improve data coherence and reliability. We also introduce a Consistency Theorem that establishes rules for managing inconsistencies systematically and in a controlled way. Our efforts aim to pave the way for more robust, reliable, and user-friendly IoT systems.","2472-7571","979-8-3503-8679-0","10.1109/IE61493.2024.10599925","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10599925","Internet of Things;data inconsistency;paracon-sistent logic;consistency theorem","Accuracy;Coherence;Reliability theory;Internet of Things;Logic;Streams","","","","8","IEEE","23 Jul 2024","17-20 June 2024","17-20 June 2024","IEEE","IEEE Conferences"
