"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Pseudo-Temporal Modeling with 2D CNNs for Framewise Surgical Gesture Segmentation in Robot-Assisted Surgery","D. Haro-Mendoza; G. A. Castro Vazquez; A. Leonardo Campos Carreras; A. J. Diaz Urias; V. J. Gonzalez-Villela; M. Cedillo-Hernandez; R. E. Arevalo-Ancona","Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Biomedical Systems Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; SEPI ESIME Culhuacán, Instituto Politécnico Nacional, Mexico City, Mexico; SEPI ESIME Culhuacán, Instituto Politécnico Nacional, Mexico City, Mexico","2025 6th International Conference on Communications, Information, Electronic and Energy Systems (CIEES)","25 Dec 2025","2025","","","1","5","Surgical procedures can be decomposed into elementary units (tasks, surgemes, and dexemes) that represent the building blocks of surgical performance. Segmenting gestures at this level is crucial for objective skill assessment and for understanding how simple movements are concatenated to form complete procedures, ultimately supporting the development of training and evaluation systems. In this work, we present a pseudo-temporal modeling approach for surgical gesture segmentation using a 2D ResNet-50 convolutional network trained exclusively on RGB frames. During training, each video was divided into eight equal segments, which were used to feed the network and generate gesture-level probabilities. To optimize learning, an adaptive Exponential Moving Average (EMA) mechanism was applied to stabilize weight updates and reinforce poorly performing gesture classes. At inference, complete surgical videos were processed with an overlapping sliding window of eight frames, where each frame could be evaluated multiple times in different contexts. Frame-level probabilities were averaged across overlapping windows and refined through a temporal mode filter, producing stable and coherent gesture sequences. The method was validated on the JIGSAWS dataset, which includes the Suturing, Knot Tying, and Needle Passing tasks. Results showed reliable recognition across all procedures: Suturing achieved 82.26%, Knot Tying 91.97%, and Needle Passing 79.35%. Training required approximately one hour, and inference on a complete video of 2950 frames was performed in about 45 seconds, also generating a labeled output video. By relying solely on 2D convolutions and RGB input, the approach achieves accurate and efficient segmentation with low computational cost, making it suitable for surgical training environments with limited resources and applicable in near real-time scenarios.","","979-8-3315-0119-8","10.1109/CIEES66347.2025.11300252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11300252","surgical gesture segmentation;pseudo-temporal modeling;2d convolutional neural networks;resnet 50;exponential moving average","Training;Adaptation models;Accuracy;Computational modeling;Surgery;Needles;Real-time systems;Windows;Convolutional neural networks;Videos","","","","13","IEEE","25 Dec 2025","26-28 Nov. 2025","26-28 Nov. 2025","IEEE","IEEE Conferences"
"Passive Fault-Tolerant Control via Sliding-Mode-Based Lyapunov Redesign","M. A. Estrada; L. Fridman; J. A. Moreno","Department of Robotics and Control, Engineering Faculty, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Robotics and Control, Engineering Faculty, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Instituto de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico",IEEE Transactions on Automatic Control,"26 Sep 2024","2024","69","10","6777","6788","This article presents an innovative framework for passive fault-tolerant control (FTC) based on the Lyapunov redesign utilizing sliding mode controllers (SMC). The article introduces three schemes for passive FTC design. First, it advocates employing the Lyapunov redesign in the FTC design with the unit SMC, resulting in a generation of a discontinuous control signal. The article establishes novel conditions for system insensibility concerning the norm of actuator faults. To address chattering and reduce energy consumption, an alternative FTC design is proposed, leveraging a multivariable version of the super-twisting algorithm, which generates a continuous signal. Additionally, a novel methodology for gain selection is developed to ensure increased tolerance to actuator faults. Finally, a new multivariable version of the Lipschitz algorithm, based on the classical twisting controller, is formulated and applied to passive FTC through the Lyapunov redesign, promising a reduced level of chattering and energy consumption compared to the super-twisting algorithm. The efficacy of the proposed FTC schemes is illustrated through simulation examples, highlighting both their advantages and potential limitations in practical applications.","1558-2523","","10.1109/TAC.2024.3382608","CONACyT; Consejo Nacional de Ciencia y Tecnología(grant numbers:833748); PAPIIT-UNAM(grant numbers:IN106622,IN106323); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10480530","Fault-tolerant control (FTC);robust control;sliding-mode control","Actuators;Perturbation methods;Uncertainty;Lyapunov methods;Trajectory;Fault tolerant systems;Fault tolerance","","24","","54","IEEE","27 Mar 2024","Oct. 2024","","IEEE","IEEE Journals"
"MMDA: A Multimodal and Multisource Domain Adaptation Method for Cross-Subject Emotion Recognition From EEG and Eye Movement Signals","M. Jiménez-Guarneros; G. Fuentes-Pineda; J. Grande-Barreto","Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Ciudad de México, Mexico; Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Ciudad de México, Mexico; Information Technology Engineering, Universidad Politécnica de Puebla, Cuanalá, Puebla, Mexico",IEEE Transactions on Computational Social Systems,"7 Oct 2025","2025","12","5","2214","2227","Multimodal emotion recognition from electroencephalogram (EEG) and eye movement signals has shown to be a promising approach to provide more discriminative information about human emotional states. However, most current works rely on a subject-dependent approach, limiting their applicability to new users. Recently, some studies have explored multimodal domain adaptation to address the mentioned issue by transferring information from known subjects to new ones. Unfortunately, existing methods are still exposed to negative transfer as a suboptimal distribution alignment is performed between subjects, while irrelevant information is not discarded. In this article, we present a multimodal and multisource domain adaptation (MMDA) method, which adopts the following three strategies: 1) marginal and conditional distribution alignments must be performed between each known subject and a new one; 2) relevant distribution alignments must be prioritized to avoid a negative transfer; and 3) modality fusion results should be improved by extracting more discriminative features from EEG signals and selecting relevant features across modalities. Our proposed method was evaluated with leave-one-subject-out cross validation on four public datasets: SEED, SEED-GER, SEED-IV, and SEED-V. Experimental results show that our proposal outperforms state-of-the-art results for each dataset when subject data from different sessions are combined into a single dataset. Moreover, MMDA exceeds the state of the art in 8 out of 11 different sessions when each session is evaluated.","2329-924X","","10.1109/TCSS.2024.3519300","UNAM Posdoctoral Program (POSDOC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10819285","Deep learning;electroencephalogram (EEG);eye movement (EM);multimodal emotion recognition (MER);multimodal unsupervised domain adaptation (UDA);multisource domain adaptation (MDA)","Electroencephalography;Emotion recognition;Neural networks;Feature extraction;Data models;Training;Physiology;Correlation;Brain modeling;Adaptation models","","6","","40","IEEE","31 Dec 2024","Oct. 2025","","IEEE","IEEE Journals"
"CFDA-CSF: A Multi-Modal Domain Adaptation Method for Cross-Subject Emotion Recognition","M. Jiménez-Guarneros; G. Fuentes-Pineda","Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Mexico; Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Mexico",IEEE Transactions on Affective Computing,"5 Sep 2024","2024","15","3","1502","1513","Multi-modal classifiers for emotion recognition have become prominent, as the emotional states of subjects can be more comprehensively inferred from Electroencephalogram (EEG) signals and eye movements. However, existing classifiers experience a decrease in performance due to the distribution shift when applied to new users. Unsupervised domain adaptation (UDA) emerges as a solution to address the distribution shift between subjects by learning a shared latent feature space. Nevertheless, most UDA approaches focus on a single modality, while existing multi-modal approaches do not consider that fine-grained structures should also be explicitly aligned and the learned feature space must be discriminative. In this paper, we propose Coarse and Fine-grained Distribution Alignment with Correlated and Separable Features (CFDA-CSF), which performs a coarse alignment over the global feature space, and a fine-grained alignment between modalities from each domain distribution. At the same time, the model learns intra-domain correlated features, while a separable feature space is encouraged on new subjects. We conduct an extensive experimental study across the available sessions on three public datasets for multi-modal emotion recognition: SEED, SEED-IV, and SEED-V. Our proposal effectively improves the recognition performance in every session, achieving an average accuracy of 93.05%, 85.87% and 91.20% for SEED; 85.72%, 89.60%, and 86.88% for SEED-IV; and 88.49%, 91.37% and 91.57% for SEED-V.","1949-3045","","10.1109/TAFFC.2024.3357656","National Council of Humanities, Science and Technology in Mexico; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10412628","Deep learning;electroencephalogram;emotion recognition;eye tracking;multi-modal domain adaptation","Electroencephalography;Emotion recognition;Correlation;Task analysis;Brain modeling;Proposals;Training","","28","","42","IEEE","23 Jan 2024","July-Sept. 2024","","IEEE","IEEE Journals"
"Multimodal Semi-Supervised Domain Adaptation Using Cross-Modal Learning and Joint Distribution Alignment for Cross-Subject Emotion Recognition","M. Jiménez-Guarneros; G. Fuentes-Pineda; J. Grande-Barreto","Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Information Technology Engineering, Universidad Politécnica de Puebla, Puebla, Mexico",IEEE Transactions on Instrumentation and Measurement,"31 Mar 2025","2025","74","","1","12","Multimodal physiological data from electroencephalogram (EEG) and eye movement (EM) signals have been shown to be useful in effectively recognizing human emotional states. Unfortunately, individual differences reduce the applicability of existing multimodal classifiers to new users, as low performance is usually observed. Indeed, existing works mainly focus on multimodal domain adaptation from a labeled source domain and unlabeled target domain to address the mentioned problem, transferring knowledge from known subjects to new one. However, a limited set of labeled target data has not been effectively exploited to enhance the knowledge transfer between subjects. In this article, we propose a multimodal semi-supervised domain adaptation (SSDA) method, called cross-modal learning and joint distribution alignment (CMJDA), to address the limitations of existing works, following three strategies: 1) discriminative features are exploited per modality through independent neural networks; 2) correlated features and consistent predictions are produced between modalities; and 3) marginal and conditional distributions are encouraged to be similar between the labeled source data, limited labeled target data, and abundant unlabeled target data. We conducted comparison experiments on two public benchmarks for emotion recognition, SEED-IV and SEED-V, using leave-one-out cross-validation (LOOCV). Our proposal achieves an average accuracy of 92.50%–96.13% across the three available sessions on SEED-IV and SEED-V, only including three labeled target samples per class from the first recorded trial.","1557-9662","","10.1109/TIM.2025.3551924","Universidad Nacional Autónoma de México (UNAM) Posdoctoral Program (POSDOC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10929649","Deep learning;electroencephalogram (EEG);emotion recognition;eye movement (EM);multimodal semi-supervised domain adaptation (SSDA)","Electroencephalography;Feature extraction;Emotion recognition;Proposals;Training;Magnetic heads;Knowledge transfer;Data mining;Brain modeling;Signal to noise ratio","","1","","38","IEEE","17 Mar 2025","2025","","IEEE","IEEE Journals"
"Real-Time Probabilistic Reachability Forecasting for Gliders in the Gulf of Mexico","E. M. Mule; P. J. Haley; C. Mirabito; S. F. DiMarco; S. Mahmud; A. Dancer; X. Ge; A. H. Knap; Y. Liu; U. C. Nwankwo; S. Glenn; T. N. Miles; D. Aragon; K. Coleman; M. Smith; M. Leber; R. Ramos; J. Storie; G. Stuart; J. Marble; P. Barros; E. P. Chassignet; A. Bower; H. H. Furey; B. J. De La Cruz; L. K. Shay; M. Tenreiro; E. P. Sanz; J. Sheinbaum; P. Perez-Brunius; D. Wilson; J. Van Smirren; R. Monreal-Jiménez; D. A. Salas-de-León; V. K. C. Tereza; M. Feldman; M. Khadka; P. F. J. Lermusiaux","Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Woods Hole Group, Inc.; Woods Hole Group, Inc.; Woods Hole Group, Inc.; Fugro; Fugro; Fugro; Department of Earth, Ocean and Atmospheric Science, Florida State University; Physical Oceanography, Woods Hole Oceanographic Institution; Physical Oceanography, Woods Hole Oceanographic Institution; Rosenstiel School of Marine, Atmospheric, and Earth Science, University of Miami; Rosenstiel School of Marine, Atmospheric, and Earth Science, University of Miami; Department of Oceanography, CICESE; Department of Oceanography, CICESE; Department of Oceanography, CICESE; Department of Oceanography, CICESE; University of the Virgin Islands; Ocean Sierra; Universidad Nacional Autónoma de Mexico; Universidad Nacional Autónoma de Mexico; Mexican Institute of Water Technology; Gulf Research Program, NASEM; Gulf Research Program, NASEM; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA",OCEANS 2024 - Halifax,"25 Nov 2024","2024","","","1","10","As part of the Mini-Adaptive Sampling Test Run (MASTR) experiment in the Gulf of Mexico (GoM) region from February to April 2024, we demonstrated real-time deterministic and probabilistic reachability analysis and time-optimal path planning to guide a fleet of four ocean gliders. The governing differential equations for reachability analysis and time-optimal path planning were numerically integrated in real-time and forced by currents from our large-ensemble ocean forecasts. We illustrate the real-time deterministic and probabilistic forward reachability analyses, reachability and path planning for glider pickups, time-optimal path planning for gliders in distress, and planning of future glider deployments. Results show that the actual paths of gliders were contained within our reachable set forecasts and in accord with the dynamic reachability fronts. Our time-optimal headings and paths also predicted real glider motions, even for longer-range predictions of weeks to a month duration. Reachability and time-optimal path planning forecasts were successfully employed for glider recovery. They also enabled exploring options for future glider deployments.","2996-1882","979-8-3315-4008-1","10.1109/OCEANS55160.2024.10754057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10754057","Ocean forecasting;sea glider;path planning;reachability analysis;probabilistic forecasting;adaptive sampling","Uncertainty;Oceans;Dynamics;Differential equations;Probabilistic logic;Path planning;Real-time systems;Hazards;Reachability analysis;Vehicle dynamics","","3","","91","IEEE","25 Nov 2024","23-26 Sept. 2024","23-26 Sept. 2024","IEEE","IEEE Conferences"
"Real-time Ocean Probabilistic Forecasts, Reachability Analysis, and Adaptive Sampling in the Gulf of Mexico","P. F. J. Lermusiaux; P. J. Haley; C. Mirabito; E. M. Mule; S. F. DiMarco; A. Dancer; X. Ge; A. H. Knap; Y. Liu; S. Mahmud; U. C. Nwankwo; S. Glenn; T. N. Miles; D. Aragon; K. Coleman; M. Smith; M. Leber; R. Ramos; J. Storie; G. Stuart; J. Marble; P. Barros; E. P. Chassignet; A. Bower; H. H. Furey; B. J. de la Cruz; L. K. Shay; M. Tenreiro; E. P. Sanz; J. Sheinbaum; P. Perez-Brunius; D. Wilson; J. van Smirren; R. Monreal-Jiménez; D. A. Salas-de-León; V. K. C. Tereza; M. Feldman; M. Khadka","Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Woods Hole Group, Inc.; Woods Hole Group, Inc.; Woods Hole Group, Inc.; Fugro; Fugro; Fugro; Department of Earth, Ocean and Atmospheric Science, Florida State University; Physical Oceanography, Woods Hole Oceanographic Institution; Physical Oceanography, Woods Hole Oceanographic Institution; Rosenstiel School of Marine, Atmospheric, and Earth Science, University of Miami; Rosenstiel School of Marine, Atmospheric, and Earth Science, University of Miami; Department of Oceanography, CICESE; Department of Oceanography, CICESE; Department of Oceanography, CICESE; Department of Oceanography, CICESE; University of the Virgin Islands; Ocean Sierra; Universidad Nacional Autónoma de México; Universidad Nacional Autónoma de México; Mexican Institute of Water Technology; Gulf Research Program, NASEM; Gulf Research Program, NASEM",OCEANS 2024 - Halifax,"25 Nov 2024","2024","","","1","10","The first steps towards integrating autonomous monitoring, probabilistic forecasting, reachability analysis, and adaptive sampling for the Gulf of Mexico were demonstrated in real-time during the collaborative Mini-Adaptive Sampling Test Run (MASTR) ocean experiment, which took place from February to April 2024. The emphasis of this contribution is on the use of the MIT Multidisciplinary Simulation, Estimation, and Assimilation Systems (MSEAS) including Error Subspace Statistical Estimation (ESSE) large-ensemble forecasting and path planning systems to predict ocean fields and uncertainties, forecast reachable sets and optimal paths for gliders, and guide sampling aircraft and ocean vehicles toward the most informative observations. Deterministic and probabilistic ocean forecasts are exemplified and linked to the variability of the Loop Current (LC) and LC Eddies, demonstrating predictive skill by real-time comparisons to independent data. Risk forecasts in terms of probabilities of currents exceeding 1.5 kt were provided. The most informative sampling patterns for Remote Ocean Current Imaging System (ROCIS) flights were forecast using mutual information between surface currents and density anomaly. Finally, we guided four underwater gliders using probabilistic reachability and path-planning forecasts.","2996-1882","979-8-3315-4008-1","10.1109/OCEANS55160.2024.10754153","National Academies of Sciences, Engineering, and Medicine(grant numbers:2000013149); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10754153","Ocean modeling;probabilistic forecasting;predictability;forecast skill;data assimilation;path planning;adaptive sampling;mutual information;ocean gliders;aircraft","Oceans;Atmospheric modeling;Estimation;Predictive models;Probabilistic logic;Real-time systems;Wind forecasting;Reachability analysis;Integrated circuit modeling;Forecasting","","6","","92","IEEE","25 Nov 2024","23-26 Sept. 2024","23-26 Sept. 2024","IEEE","IEEE Conferences"
"Lyapunov Redesign based SMC design for a class of perturbed periodic LTV systems","O. Sumenkov; I. M. Tarabukin; L. Fridman; S. V. Gusev","Mathematical Robotics Science Division, Sirius University of Science and Technology, Sochi, Russia; Mathematical Robotics Science Division, Sirius University of Science and Technology, Sochi, Russia; Facultad de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Mathematical Robotics Science Division, Sirius University of Science and Technology, Sochi, Russia",2025 IEEE 64th Conference on Decision and Control (CDC),"12 Jan 2026","2025","","","7001","7006","The paper proposes a Sliding Mode controller (SMC) design method based on Lyapunov Redesign for a class of Periodic Linear Time-Varying (PLTV) systems subject to matched uncertainties and non-vanishing disturbances. First, the existence of Lyapunov function for a PLTV with state matrix uncertainty only is shown using positive definite solutions of the periodic Riccati differential equation (PRDE). Then, Lyapunov Redesign methodology is used to generate the set of periodic time-variant subspaces (sliding surfaces), where the closed-loop system exhibits exponential stability. Finally, the resulting SMC law guarantees the finite-time stability of the sliding surface and robustness with respect to matched non-vanishing disturbances and input matrix uncertainty. The effectiveness of the proposed method is demonstrated through the orbital stabilization of a cart-pendulum system oscillating around its unstable equilibrium.","2576-2370","979-8-3315-2627-6","10.1109/CDC57313.2025.11312512","Russian Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11312512","","Manifolds;Uncertainty;Design methodology;Differential equations;Robustness;Stability analysis;Orbits;Time-varying systems;Oscillators;Lyapunov methods","","","","21","IEEE","12 Jan 2026","9-12 Dec. 2025","9-12 Dec. 2025","IEEE","IEEE Conferences"
"Step-test based procedure for Super-Twisting Algorithm gains adjustment","T. N. Medvedeva; O. Y. Sumenkov; L. M. Fridman","Mathematical Robotics Science Division, Sirius University of Science and Technology, Sochi, Russia; Mathematical Robotics Science Division, Sirius University of Science and Technology, Sochi, Russia; Facultad de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico",2024 17th International Workshop on Variable Structure Systems (VSS),"20 Nov 2024","2024","","","158","163","Super-Twisting Algorithms (STA) is a non-linear PI-like continuous Sliding Mode (SM) algorithm designed to substitute discontinuous control to continuous and to realise a second-order SM for systems with relative degree one. It is able to compensate the Lipschitz disturbances theoretically exactly and ensures finite-time convergence. However, due to the finite-time convergence of STA and the presence of non-idealities in the system, chattering occurs. This paper proposes a step-test based procedure for adjusting the STA gains to minimize chattering amplitude. We assume that system non-idealities can be modeled as a specific first-order system, namely, with time delay, time constant and system gain. The procedure consists of two steps: on the first stage, identifying the parameters of system; on the second step, predicting the amplitude and frequency of the chattering based on the Describing Function approach and the Harmonic Balance equation, then obtaining expressions of the chattering amplitude and frequency as functions of STA gains and, finally, adjusting the STA parameters based on predicted chattering behavior. This approach is verified on both simulations and experiments on a Maxon RE50 DC Motor.","2158-3986","979-8-3503-5368-6","10.1109/VSS61690.2024.10753407","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10753407","","Variable structure systems;Delay effects;Conferences;Prediction algorithms;DC motors;Harmonic analysis;Mathematical models;Oscillators;Convergence","","2","","14","IEEE","20 Nov 2024","21-24 Oct. 2024","21-24 Oct. 2024","IEEE","IEEE Conferences"
"Brain Connectivity Hypergraphs","A. N. Pisarchik; N. P. Serrano; R. Jaimes-Reátegui","Centro de Tecnología Biomédica Universidad Politécnica de Madrid Pozuelo de Alarcón, Madrid, Spain; Escuela Nacional de Estudios Superiores Juriquilla, Universidad Nacional Autónoma de México, Queretaro, Mexico; Departamento de Ciencias Exactas y Tecnología Centro Universitario de los Lagos, Universidad de Guadalajara, Lagos de Moreno, Jalisco, Mexico",2024 8th Scientific School Dynamics of Complex Networks and their Applications (DCNA),"21 Oct 2024","2024","","","190","193","Hypergraphs are a rapidly developing area of graph theory that has important applications in many fields, including cognitive neuroscience and medicine. In this paper, we review recent advances in the application of hypergraphs to brain connectivity analysis using brain imaging data. We also present our results on the construction of a hypergraph of brain connectivity during visual perception based on the analysis of magnetoencephalography (MEG) data. The hypergraph approach allowed us to identify individual differences in frequency bands, offering deeper insights into the dynamic nature of brain connectivity. Extending traditional graph theory, we defined a functional network connecting different brain regions (vertices) across time segments by generating edge time series that capture temporal fluctuations in connectivity. Using a coherence measure, we created edge time series to illustrate how connections evolve over time. These series contribute to the edge-to-edge functional connectivity network, highlighting hyperedges as connected components in the absolute value functional connectivity network. We identified key features of the brain network across the delta, theta, alpha, beta, and gamma frequency bands and examined interactions among the frontal, parietal, temporal, and occipital lobes in both hemispheres. Our findings support the existence of cortico-cortical interactions, and the resulting hypergraph revealing robust activation patterns in specific brain regions. These results suggest potential integration and multifunctionality within the lobes, providing valuable insights into brain dynamics during visual perception.","2770-744X","979-8-3503-9083-4","10.1109/DCNA63495.2024.10718518","Russian Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10718518","hypergraph;brain connectivity;cognitive neuroscience;visual perception;magnetoencephalography (MEG)","Reviews;Time series analysis;Coherence;Reliability theory;Brain modeling;Graph theory;Time measurement;Occipital Lobe;Optimization;Visual perception","","3","","15","IEEE","21 Oct 2024","19-21 Sept. 2024","19-21 Sept. 2024","IEEE","IEEE Conferences"
