"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Development Of An Algorithm For Strength Training With Use Haptic Feedback And Artificial Intelligence (AI) Based Enhancement","E. A. Villegas-Jiménez; A. H. Bello-Guerrero; M. D. Padilla-Torres; L. N. Villagómez-Venegas; C. S. Chávez-Ramírez","Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","9 Apr 2026","2025","","","1","6","The increasing popularity of the use of AI in everyday life has enabled the development of virtual systems for human assistance. This research proposes an implemented linear regression model with a vector of random weights, using a mean square error (MSE), based cost function and regularisation and corresponding Python code that integrates AI-based haptic feedback through vibration, specifically designed to optimise weight training.The results of the simulation model analysis show how key biomechanical parameters are identified and used to improve a person's posture by adjusting technique through real-time vibrational stimuli. The development of the system involves physical benefits such as injury prevention, continuous biomechanical monitoring, adaptive programme structuring and haptic vibration feedback for immediate movement correction. Popular and accurate tools for building linguistic models are mentioned, such as machine learning, computer vision and neural networks. Technological tools such as machine learning, computer vision and neural networks, applied to process biomechanical data and trigger personalised vibrational responses, are highlighted.","","979-8-3315-3559-9","10.1109/ICECET63943.2025.11472504","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11472504","AI;virtual coach;strength training;biomechanics;haptic feedback;python","Feedback;Circuits;Oscillators;Rectifiers;Internet of Things;Internet;Communication systems;Protocols;Telecommunication computing;Computer networks","","","","27","IEEE","9 Apr 2026","3-6 July 2025","3-6 July 2025","IEEE","IEEE Conferences"
"Design of Polymer Optical Waveguides for the Detection of Azo Dye Water Contaminants","I. M. Garnica-Palafox; E. García-Muñoz; A. M. Velázquez-Benítez; F. M. Sánchez-Arévalo; N. Qureshi","Instituto de Ciencias Aplicadas y Tecnología & Instituto de Investigaciones en Materiales Universidad Nacional Autónoma de México, CDMX, Mexico; Unidad Zacatenco, Escuela Superior de Ingeniería Mecánica y Eléctrica Instituto Politécnico Nacional, CDMX, México; Instituto de Ciencias Aplicadas y Tecnología Universidad Nacional Autónoma de México, CDMX, Mexico; Instituto de Investigaciones en Materiales Universidad Nacional Autónoma de México, CDMX, Mexico; Instituto de Ciencias Aplicadas y Tecnología Universidad Nacional Autónoma de México, CDMX, Mexico",2024 IEEE 42nd Central America and Panama Convention (CONCAPAN XLII),"26 Mar 2025","2024","","","1","6","The design of single-mode optical waveguides made of SU-8 photoresist and functionalized with coatings of chitosan-based hydrogels to detect water-polluting azo dyes is presented through analytical and numerical analyses. Two possible waveguide configurations were evaluated in order to obtain the dimensions that allow the maximum sensitivity and facilitate their fabrication through direct laser writing (DLW) lithography method. The sensitivity of the waveguides was studied for TE and TM polarizations at NIR frequencies (λ=975 nm). We systematically explore how both, the hydrated and dehydrated states of the hydrogel receptor/cladding layer, and the waveguide’s dimensions, core width (2.0 < w < 3.0 µm) and height (h = 0.75 and 1.0 µm), influence the sensitivity. The results reveal that TM polarization yields higher sensitivity compared to TE one, particularly in thicker waveguides (h = 1.0 µm). Dehydration of the hydrogel cladding significantly enhances the interaction between the evanescent wave and the hydrogel, leading to a threefold increase in sensitivity which facilitates the detection of pollutant dyes such as acid blue 113 (AB113) or methyl orange (MO). Thus, dehydrated waveguides under TM polarization are highly effective for environmental and biomedical sensing applications, offering a promising approach for the detection of specific contaminants in aqueous solutions.","2687-7244","979-8-3503-6672-3","10.1109/CONCAPAN63470.2024.10933869","Universidad Nacional Autónoma de México; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10933869","Waveguides;SU-8;Chitosan;Poly(vinyl alcohol);Genipin;Hydrogels;Pollutant azo dyes","Sensitivity;Optical polarization;Claddings;Biomedical optical imaging;Optical design;Hydrogels;Optical device fabrication;Optical sensors;Optical waveguides;Optical surface waves","","","","13","IEEE","26 Mar 2025","27-29 Nov. 2024","27-29 Nov. 2024","IEEE","IEEE Conferences"
"MMDA: A Multimodal and Multisource Domain Adaptation Method for Cross-Subject Emotion Recognition From EEG and Eye Movement Signals","M. Jiménez-Guarneros; G. Fuentes-Pineda; J. Grande-Barreto","Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Ciudad de México, Mexico; Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Ciudad de México, Mexico; Information Technology Engineering, Universidad Politécnica de Puebla, Cuanalá, Puebla, Mexico",IEEE Transactions on Computational Social Systems,"7 Oct 2025","2025","12","5","2214","2227","Multimodal emotion recognition from electroencephalogram (EEG) and eye movement signals has shown to be a promising approach to provide more discriminative information about human emotional states. However, most current works rely on a subject-dependent approach, limiting their applicability to new users. Recently, some studies have explored multimodal domain adaptation to address the mentioned issue by transferring information from known subjects to new ones. Unfortunately, existing methods are still exposed to negative transfer as a suboptimal distribution alignment is performed between subjects, while irrelevant information is not discarded. In this article, we present a multimodal and multisource domain adaptation (MMDA) method, which adopts the following three strategies: 1) marginal and conditional distribution alignments must be performed between each known subject and a new one; 2) relevant distribution alignments must be prioritized to avoid a negative transfer; and 3) modality fusion results should be improved by extracting more discriminative features from EEG signals and selecting relevant features across modalities. Our proposed method was evaluated with leave-one-subject-out cross validation on four public datasets: SEED, SEED-GER, SEED-IV, and SEED-V. Experimental results show that our proposal outperforms state-of-the-art results for each dataset when subject data from different sessions are combined into a single dataset. Moreover, MMDA exceeds the state of the art in 8 out of 11 different sessions when each session is evaluated.","2329-924X","","10.1109/TCSS.2024.3519300","UNAM Posdoctoral Program (POSDOC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10819285","Deep learning;electroencephalogram (EEG);eye movement (EM);multimodal emotion recognition (MER);multimodal unsupervised domain adaptation (UDA);multisource domain adaptation (MDA)","Electroencephalography;Emotion recognition;Neural networks;Feature extraction;Data models;Training;Physiology;Correlation;Brain modeling;Adaptation models","","6","","40","IEEE","31 Dec 2024","Oct. 2025","","IEEE","IEEE Journals"
"Cost-Effective Piezoresistive-Based Sensor for Evaluating Thin Polymeric Membranes on Au Metallic Surfaces","A. González-López; J. Gomez-Cruz; G. Ascanio; C. Escobedo","Instituto de Ciencias Aplicadas y Tecnología (ICAT), Universidad Nacional Autonoma de Mexico, Mexico City, Mexico; Chemical Engineering Department, Queen’s University, Kingston, ON, Canada; Instituto de Ciencias Aplicadas y Tecnología (ICAT), Universidad Nacional Autonoma de Mexico, Mexico City, Mexico; Chemical Engineering Department, Queen’s University, Kingston, ON, Canada",IEEE Sensors Journal,"3 Jul 2025","2025","25","13","23685","23691","A customized 3-D printed device is presented to measure the bonding strength between thin metallic layers and polymeric membranes. The approach uses a piezoresistive sensor and two different rapid prototyping techniques. The device measures polydimethylsiloxane (PDMS)’s bonding strength on Au through the applied force and deflection of the elastomeric membrane. In addition, the device is demonstrated to investigate and assess functionalized metallic surfaces using MTPMS and 11-MUA as a potential strategy to enhance the polymer-metal bonding strength. Our approach shows an improved bonding strength and reproducibility via (3-mercaptopropyl)trimethoxysilane (MPTMS) functionalization compared to 11-MUA and nonfunctionalized substrates. The device’s cost-effectiveness makes it ideal for use in resource-limited settings, and its design allows for easy adaptation to measure various types of thin membrane materials across a wide range of applications.","1558-1748","","10.1109/JSEN.2025.3564890","Natural Sciences and Engineering Research Council of Canada (NSERC)(grant numbers:RGPIN-201-05138); Canada Foundation for Innovation (CFI)(grant numbers:31967); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10982408","Bonding strength;elastomer;piezoresistive sensor;polymeric membrane","Sensors;Bonding;Force;Gold;Three-dimensional printing;Testing;Mechanical sensors;Temperature sensors;Polymers;Needles","","1","","37","IEEE","2 May 2025","1 July1, 2025","","IEEE","IEEE Journals"
"Photocatalytic Hydrogen Production and CO2 Reduction Using ZnO-GO Composites: A Sustainable Microwave-Assisted Synthesis via Orange Peel Extract","O. Reyes-Vallejo; R. M. Sánchez-Albores; F. J. Cano; J. R. M. Viquez; E. Luévano-Hipólito; L. M. Torres-Martínez; J. M. E. Hernández; K. G. R. Soto","Sección de Electrónica de Estado Sólido, Ingeniería Eléctrica (SEES), CINVESTAVIPN, Ciudad de México, Mexico; Escuela de Ciencias Químicas, Universidad Autónoma de Chiapas (UNACH), Chiapas, Mexico; Laboratorio de Fisicoquímicay Reactividad de Superficies (LaFReS), Instituto de Investigaciones en Materiales (IIM), Universidad Nacional Autónoma de México (UNAM); Sección de Electrónica de Estado Sólido, Ingeniería Eléctrica (SEES), CINVESTAVIPN, Ciudad de México, Mexico; Facultad de Ingeniería CivilDepartamento de Ecomateriales y Energía, Cd. Universitaria, CONAHCYT - Universidad Autónoma de Nuevo León, Garza, NL, Mexico; Centro de Investigación en Materiales Avanzados, S. C. (CIMAV) Miguel de Cervantes 120 Complejo Ind. Chihuahua, Chihuahua, Chih., Mexico; Escuela de Ciencias Químicas, Universidad Autónoma de Chiapas (UNACH), Chiapas, Mexico; Instituto de Investigación e Innovación en Energías Renovables, Universidad de Ciencias y Artes de Chiapas (UNICACH), Tuxtla Gutiérrez, Chiapas, Mexico","2025 22nd International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)","9 Dec 2025","2025","","","1","5","A ZnO-graphene oxide (GO) composite was synthesized via microwave-assisted green synthesis using orange peel extract, aimed at photocatalytic hydrogen production and $\text{CO}_{2}$ reduction. Structural characterization confirmed the formation of crystalline ZnO (XRD) with a band gap of 3.16 eV (UV-Vis) and the presence of characteristic $D$ and $G$ bands of GO (Raman). SEM analysis revealed a unique architecture consisting of hollow microspheres. After annealing at 750 °C for 2 hours, the microspheres exhibited surface cracking and fragmented into smaller particles. Photocatalytic tests showed: (1) cumulative $H_{2}$ production of $620 \mu m o l g^{-1}$ after 2 hours under UV illumination, and (2) $\text{CO}_{2}$ reduction yielding $633 \mu \text{mol} g^{-1}$ of formic acid after 1 hour in a single-point measurement. The photocatalytic performance is competitive with previously reported ZnO-based systems, while the green synthesis approach-employing agricultural waste and microwave processing-offers enhanced sustainability and scalability for solar fuel applications.","2642-3766","979-8-3315-5315-9","10.1109/CCE67728.2025.11272027","CONAHCYT(grant numbers:487411); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11272027","ZnO;graphene oxide;microwave synthesis;photocatalysis;hydrogen;$\text{CO}_{2}$ photoreduction","Microwave measurement;Annealing;II-VI semiconductor materials;Hydrogen;Green products;Graphene;Production;Air pollution;Zinc oxide;Fuels","","","","28","IEEE","9 Dec 2025","22-24 Oct. 2025","22-24 Oct. 2025","IEEE","IEEE Conferences"
"Eco-Friendly BiVO4 Photocatalysts Via Orange Peel-Mediated Solvothermal Synthesis: Applications in H2 Production and CO2 Conversion","O. Reyes-Vallejo; R. M. Sánchez-Albores; F. J. Cano; A. Ashok; E. Luévano-Hipólito; L. M. Torres-Martínez; J. Escorcia-García; P. J. Sebastian","Sección de Electrónica de Estado SólidoIngeniería Eléctrica (SEES), CINVESTAVIPN, Ciudad de México, México; Escuela de Ciencias Químicas, Universidad Autónoma de Chiapas (UNACH), Chiapas, México; Laboratorio de Fisicoquímica y Reactividad de Superficies (LaFReS), Instituto de Investigaciones en Materiales (IIM), Universidad Nacional Autónoma de México (UNAM), México; Sección de Electrónica de Estado SólidoIngeniería Eléctrica (SEES), CINVESTAVIPN, Ciudad de México, México; SECIHTI - Universidad Autónoma de Nuevo León, Facultad de Ingeniería CivilDepartamento de Ecomateriales y Energía, San Nicolás de los Garza, México; Centro de Investigación en Materiales Avanzados, S. C. (CIMAV), Chihuahua, México; SECIHTI - CINVESTAV-IPN Unidad Saltillo, Coahuila, México; Instituto de Energías Renovables-UNAM (IERUNAM), Morelos, México","2025 22nd International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)","9 Dec 2025","2025","","","1","6","A BiVO4 photocatalyst was synthesized via a green solvothermal method using orange peel extract as a solvent and reducing agent, aimed at photocatalytic hydrogen production and CO2 reduction. The as-synthesized material exhibited a brown coloration and a tendency to float, making it unsuitable for photocatalytic tests; therefore, it was annealed at $350{ }^{\circ} \mathrm{C}$ for 2 hours, which resulted in the characteristic yellow color and improved dispersibility. Structural characterization confirmed the formation of crystalline monoclinic $\text{BiVO}_{4}(\text{XRD})$ with a band gap of approximately 2.46 eV (UV-Vis), consistent with reported values. SEM analysis revealed quasi-spherical agglomerates with increased porosity after annealing due to the removal of organic residues. Photocatalytic tests showed (1) hydrogen production of $568 \mu ~\text{mol} g^{-1}$ after 2 hours under UV illumination, and (2) CO2 reduction yielding oscillating formic acid concentrations between 90 and $180 \mu ~\text{mol}^{-1}$ over 1 hour. The limited CO2 reduction efficiency is attributed to the band alignment of BiVO4, which favors water oxidation over direct CO2 photoreduction. Overall, the green solvothermal synthesis using agricultural wastederived orange peel extract provides an eco-friendly and scalable approach to produce BiVO4 photocatalysts with promising activity for solar-driven hydrogen generation and potential for further optimization in CO2 reduction applications.","2642-3766","979-8-3315-5315-9","10.1109/CCE67728.2025.11271977","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11271977","BiVO4;solvothermal synthesis;photocatalysis;hydrogen;CO2 photoreduction","Solvents;Visualization;Annealing;Hydrogen;Green products;Production;Color;Air pollution;Oxidation;Photocatalysts","","","","28","IEEE","9 Dec 2025","22-24 Oct. 2025","22-24 Oct. 2025","IEEE","IEEE Conferences"
"Enhancement of Mechanical Properties In Fiber-Reinforced Epoxy Composites With Luffa Aegyptiaca","Y. Musa; U. Yusuf; A. Aguilar-Granda; J. Vallejo-Montesinos; D. Contreras-Lopez; L. O. Sanchez-Vargas; B. I. Cerda-Cristerna; R. Lopez-Esparza; A. L. Herrera-May; E. Delgado-Alvarado","Department of Chemistry Al-Istiqama, University, Kano, Nigeria; Department of Chemistry, Federal University Gusau, Zamfara State, Nigeria; Facultad de Quimica, Universidad Nacional Autonoma de México, Ciudad Universitaria, Ciudad de México, México; Departamento de Quimica, Division de Ciencias Naturales y Exactas, Universidad de Guanajuato; Departamento de Ingenieria Quimica, Division de Ciencias Naturales y Exactas, Universidad de Guanajuato; Oral Biochemistry and Microbiology Laboratory, Faculty of Stomatology, Universidad Autonoma de San Luis Potosí, San Luis Potosí; School od Dentistry, Universidad Veracruzana, Rio Blanco, Veracruz, México; Departamento de Fisica, Universidad de Sonora, Hermosillo, Sonora, México; Micro and Nanotechnology Research Center, Universidad Veracruzana, Boca del Rio, Veracruz, México; Micro and Nanotechnology Research Center, Universidad Veracruzana, Boca del Rio, Veracruz, México",2024 IEEE International Conference on Engineering Veracruz (ICEV),"29 Nov 2024","2024","","","1","7","This study explores the mechanical and chemical properties of Luffa aegyptiaca fiber reinforced epoxy composites, enhanced through various chemical treatments. Luffa aegyptiaca fibers, both in particulate and short forms, were subjected to treatments using NaOH, benzoyl chloride, and phenyltriethoxysilane to modify their surface chemistry and topography, as evidenced by Scanning Electron Microscopy (SEM) and Fourier Transform Infrared Spectroscopy (FTIR) analyses. The mechanical properties, including tensile and flexural strength, alongside water absorption capabilities and chemical resistance, were evaluated for both treated and untreated fibers. Results demonstrated significant improvements in mechanical strengths and chemical resistance in treated fibers compared to their untreated counterparts, with saline treated particulate fiber composites showing the most substantial enhancements. These findings suggest that treated Luffa aegyptiaca fiber composites could serve as viable materials for applications such as furniture and construction components, providing a sustainable alternative to conventional synthetic composites.","","979-8-3503-9161-9","10.1109/ICEV63254.2024.10765987","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10765987","Luffa aegyptiaca;epoxy composites;chemical treatment;mechanical properties;sustainable materials","Water;Scanning electron microscopy;Chemistry;Absorption;Surface resistance;Mechanical factors;Fourier transform infrared spectroscopy;Surface topography;Chemicals;Surface treatment","","2","","32","IEEE","29 Nov 2024","21-24 Oct. 2024","21-24 Oct. 2024","IEEE","IEEE Conferences"
"Application of Long Short-Term Memory Networks to Predict Electrical Frequency in El Salvador","C. O. P. Jiménez; O. O. Flores-Cortez; F. Arévalo; J. G. L. González; C. A. A. Arauz; M. R. A. Paternina; J. M. R. Guerrero; W. D. M. Valle; J. R. R. López","Departament of Electrical Engineering, University of El Salvador, San Salvador, El Salvador; Direccion de Investigaciones, Universidad Tecnologica de El Salvador, San Salvador, El Salvador; Departament of Electrical Engineering, University of El Salvador, San Salvador, El Salvador; Departament of Electrical Engineering, University of El Salvador, San Salvador, El Salvador; Departament of Electrical Engineering, University of El Salvador, San Salvador, El Salvador; Department of Electrical Engineering, Universidad de El Salvador, San Salvador, El Salvador; Departament of Electrical Engineering, National Autonomous University of Mexico, Mexico City; Departament of Electrical Engineering, University of El Salvador, San Salvador, El Salvador; Departament of Electrical Engineering, University of El Salvador, San Salvador, El Salvador",2025 IEEE International Conference on Machine Learning and Applied Network Technologies (ICMLANT),"20 Feb 2026","2025","","","1","6","This paper presents a machine learning-based approach for analyzing and predicting the behavior of electrical frequency in the El Salvador power grid using data collected from a Frequency Disturbance Recorder (FDR). The research is based on previous studies on the statistical and temporal analysis of frequency data, integrating predictive modeling techniques to improve understanding and forecasting capabilities. A Long Short-Term Memory (LSTM) neural network was implemented to process high-resolution time-series data collected between September 2022 and June 2023. Data were preprocessed by resampling, normalization, and conversion to optimize computational efficiency. The LSTM model demonstrated strong predictive capabilities, particularly at smaller time intervals, achieving a mean squared error (MSE) of 0.01 and a coefficient of determination (R2) of 0.8375 with resampled data of 6 seconds. However, limitations in the performance of the model were observed with resampled data on an hourly basis, highlighting challenges in capturing long-term dependencies. The study contributes to ongoing efforts to utilize advanced machine learning techniques to monitor the power of the system and emphasizes the potential for scalable and efficient predictive solutions.","","979-8-3315-6871-9","10.1109/ICMLANT68509.2025.11394737","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11394737","Machine Learning;LSTM;electrical frequency prediction;power grid monitoring;time series analysis","Analytical models;Time-frequency analysis;Computational modeling;Time series analysis;Predictive models;Data models;Power grids;Long short term memory;Monitoring;Load modeling","","","","16","IEEE","20 Feb 2026","11-12 Dec. 2025","11-12 Dec. 2025","IEEE","IEEE Conferences"
"Modeling Higher-Order Interactions in Sparse and Heavy-Tailed Neural Population Activity","U. Rodríguez-Domínguez; H. Shimazaki","National Autonomous University of Mexico, 04510 Mexico City, Mexico; Graduate School of Informatics, Kyoto University, Kyoto 606-8501, Japan",Neural Computation,"21 Oct 2025","2025","37","11","2011","2078","Neurons process sensory stimuli efficiently, showing sparse yet highly variable ensemble spiking activity involving structured higher-order interactions. Notably, while neural populations are mostly silent, they occasionally exhibit highly synchronous activity, resulting in sparse and heavy-tailed spike-count distributions. However, its mechanistic origin—specifically, what types of nonlinear properties in individual neurons induce such population-level patterns—remains unclear. In this study, we derive sufficient conditions under which the joint activity of homogeneous binary neurons generates sparse and widespread population firing rate distributions in infinitely large networks. We then propose a subclass of exponential family distributions that satisfy this condition. This class incorporates structured higher-order interactions with alternating signs and shrinking magnitudes, along with a base-measure function that offsets distributional concentration, giving rise to parameter-dependent sparsity and heavy-tailed population firing rate distributions. Analysis of recurrent neural networks that recapitulate these distributions reveals that individual neurons possess threshold-like nonlinearity, followed by supralinear activation that jointly facilitates sparse and synchronous population activity. These nonlinear features resemble those in modern Hopfield networks, suggesting a connection between widespread population activity and the network’s memory capacity. The theory establishes sparse and heavy-tailed distributions for binary patterns, forming a foundation for developing energy-efficient spike-based learning machines.","0899-7667","","10.1162/neco.a.35","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11210441","","","","","","","CCBY","21 Oct 2025","10 Oct. 2025","","MIT Press","MIT Press Journals"
"Development of a Remote-Controlled Boat for Real-Time Water Quality Monitoring, Bathymetry, In-Situ Sampling in Dams and Lakes of Mexico","R. I. Villalobos-Martínez; J. F. Más; A. Pérez-Vega; A. R. Verdú; R. Páez Bistrain; L. M. M. Manilla; I. A. Mariscal; R. V. Martínez","Center for Environmental Geography Research (CIGA), Universidad Autonoma de México (UNAM), Morelia, México; Center for Environmental Geography Research (CIGA), Universidad Autonoma de México (UNAM), Morelia, México; Department of Geomatics and Hydraulic Engineering (DIGH), University of Guanajuato (UG), Guanajuato, México; Image Processing Laboratory (IPL), University of Valencia (UV), Valencia, España; Center for Environmental Geography Research (CIGA), Universidad Autonoma de México (UNAM), Morelia, México; Laboratorio Universitario de Drones (LUD) Universidad Autonoma de México (UNAM), Morelia, México; University Drone Laboratory (LUD) Universidad Autonoma de México (UNAM), Morelia, México; Department of Basic Sciences (DBS), National Polytechnic Institute (IPN), CDMX, México","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","9 Apr 2026","2025","","","1","6","Water quality monitoring has gained significant importance in recent years due to the increasing number of factors contaminating water resources. In response to this issue, real-time and automated water quality monitoring has sparked considerable interest for its potential to enhance accuracy, efficiency, and minimize manual effort. This study proposes a technically feasible and practically applicable device for real-time water quality monitoring using an automated smart boat equipped with sensors and an on-site sample collection system. The developed prototype will integrate sensors for pH, water temperature, turbidity, TDS, dissolved oxygen, conductivity, GPS, relative humidity, ambient temperature, atmospheric pressure, a camera to monitor floating debris and navigation, and sonar for bathymetric measurements. The prototype weighs less than 30 kg and measures 100 cm × 100 cm × 51 cm. Its cost is under $2000 USD (excluding the multiparametric sensor). Tests of the sonar, temperature sensor, and sample collection systems were conducted at Cointzio Dam (Morelia, Michoacán, Mexico) and Mata Dam (Guanajuato, Guanajuato, Mexico).","","979-8-3315-3559-9","10.1109/ICECET63943.2025.11472041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11472041","Unmanned Surface Vehicle;Autonomous Surface Vehicle;remote sensing;water quality monitoring;boat;sampling;bathymetry","Sonar;Payloads;Aerospace and electronic systems;Sonar measurements;Sensor systems;Echo sounders;Military aircraft;Space technology;Satellite broadcasting;Broadcasting","","","","25","IEEE","9 Apr 2026","3-6 July 2025","3-6 July 2025","IEEE","IEEE Conferences"
