"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Yucatan HF Radar Network: A Multinational Technology Demonstration to Advance Monitoring of Western Boundary Currents","M. Smith; S. Glenn; T. Miles; A. H. Knap; S. F. Dimarco; R. M. Jiménez; D. S. de Léon; M. G. Reali; E. Escalante","Center for Ocean Observing Leadership, Rutgers University, New Brunswick, NJ, USA; Center for Ocean Observing Leadership, Rutgers University, New Brunswick, NJ, USA; Center for Ocean Observing Leadership, Rutgers University, New Brunswick, NJ, USA; Geochemical and Environmental Research Group, Texas A&M University, College Station, TX, USA; Geochemical and Environmental Research Group, Texas A&M University, College Station, TX, USA; Facultad de Ciencias, Universidad Nacional Autónoma de México, Mexico City, MX; Instituto de Ciencias del Mar y Limnologia, Universidad Nacional Autónoma de México, Mexico City, MX; Laboratorio de Oceanografía Física, Universidad Nacional Autónoma de México, Mexico City, MX; Laboratorio de Oceanografía Física, Universidad Nacional Autónoma de México, Mexico City, MX",OCEANS 2025 - Great Lakes,"25 Nov 2025","2025","","","1","8","The Yucatan High Frequency Radar (HFR) Network is a trilateral collaboration between the U.S., Mexico, and Cuba designed to monitor surface currents in the Yucatan Channel, a critical segment of the Atlantic Ocean conveyor belt. Two long-range CODAR SeaSonde systems were installed on Isla Contoy and at UNAM's Puerto Morelos facility to provide sustained, near-real-time observations of the Yucatan Current, which feeds the Loop Current and impacts hurricane intensification and climate variability. A key innovation is the use of Automatic Identification System (AIS) ship-tracking data to continuously calibrate receiver antenna patterns, eliminating the need for traditional on-water calibration. Hourly surface currents are processed, quality-controlled using QARTOD standards, and publicly distributed via an ERDDAP server. A derived velocity transect product along the strait's axis is used to analyze flow variability and validate ocean models, which often misrepresent the spatial structure observed by HFR. During the 2024 Mini-Adaptive Sampling Test Run (MASTR), real-time radar products supported autonomous vehicle missions and targeted ship sampling. Expansion to Cuba and additional Mexican sites is underway, positioning the network as a foundation for Caribbeanwide HFR coverage under GOOS and TAC-OOFS to improve ocean forecasting and hurricane prediction.","2996-1882","979-8-218-73628-6","10.23919/OCEANS59106.2025.11245036","National Academies of Sciences Gulf Research Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11245036","High Frequency Radar (HFR);Yucatan Current;Loop Current;AIS calibration;antenna pattern;surface currents;CODAR SeaSonde;model validation;ocean observing;adaptive sampling;data assimilation;Gulf of Mexico;western boundary current;QARTOD","Sea surface;Technological innovation;Oceans;Sea measurements;Hurricanes;High frequency radar;Data models;Calibration;Wind forecasting;Monitoring","","","","8","","25 Nov 2025","29 Sept.-2 Oct. 2025","29 Sept.-2 Oct. 2025","IEEE","IEEE Conferences"
"Multimodal Semi-Supervised Domain Adaptation Using Cross-Modal Learning and Joint Distribution Alignment for Cross-Subject Emotion Recognition","M. Jiménez-Guarneros; G. Fuentes-Pineda; J. Grande-Barreto","Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Information Technology Engineering, Universidad Politécnica de Puebla, Puebla, Mexico",IEEE Transactions on Instrumentation and Measurement,"31 Mar 2025","2025","74","","1","12","Multimodal physiological data from electroencephalogram (EEG) and eye movement (EM) signals have been shown to be useful in effectively recognizing human emotional states. Unfortunately, individual differences reduce the applicability of existing multimodal classifiers to new users, as low performance is usually observed. Indeed, existing works mainly focus on multimodal domain adaptation from a labeled source domain and unlabeled target domain to address the mentioned problem, transferring knowledge from known subjects to new one. However, a limited set of labeled target data has not been effectively exploited to enhance the knowledge transfer between subjects. In this article, we propose a multimodal semi-supervised domain adaptation (SSDA) method, called cross-modal learning and joint distribution alignment (CMJDA), to address the limitations of existing works, following three strategies: 1) discriminative features are exploited per modality through independent neural networks; 2) correlated features and consistent predictions are produced between modalities; and 3) marginal and conditional distributions are encouraged to be similar between the labeled source data, limited labeled target data, and abundant unlabeled target data. We conducted comparison experiments on two public benchmarks for emotion recognition, SEED-IV and SEED-V, using leave-one-out cross-validation (LOOCV). Our proposal achieves an average accuracy of 92.50%–96.13% across the three available sessions on SEED-IV and SEED-V, only including three labeled target samples per class from the first recorded trial.","1557-9662","","10.1109/TIM.2025.3551924","Universidad Nacional Autónoma de México (UNAM) Posdoctoral Program (POSDOC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10929649","Deep learning;electroencephalogram (EEG);emotion recognition;eye movement (EM);multimodal semi-supervised domain adaptation (SSDA)","Electroencephalography;Feature extraction;Emotion recognition;Proposals;Training;Magnetic heads;Knowledge transfer;Data mining;Brain modeling;Signal to noise ratio","","1","","38","IEEE","17 Mar 2025","2025","","IEEE","IEEE Journals"
"Democratizing Air Quality Monitoring: The Role of Low-Cost PM2.5 Sensors in Community Decision- Making","A. Castro-Chacon; A. Castro-Carranza; M. Grutter; R. Torres-Jardón","Postgraduate Progam in Earth Sciences, ENES Morelia, National Autonomous University of Mexico, Morelia, Mexico; International Laboratory of Environmental Electron Devices (LAIDEA) ENES Morelia, National Autonomous University of Mexico, Morelia, Mexico; Institute of Atmospheric Sciences and Climate Change (ICAyCC), National Autonomous University of Mexico, Mexico City; Institute of Atmospheric Sciences and Climate Change (ICAyCC), National Autonomous University of Mexico, Mexico City",2025 IEEE Latin American Electron Devices Conference (LAEDC),"21 Dec 2025","2025","","","1","6","Low-cost PM2.5 sensors have appeared as valuable tools for expanding access to air quality information in underserved regions. This paper explores the operational principles of sensors like the Plantower PMS5003, focusing on data acquisition, processing, and communication strategies. Beyond technical aspects, we discuss their integration into community-based monitoring and how these microelectronic systems support environmental governance and strengthen local responses to air pollution. Finally, this work highlights low-cost air quality sensors as humanitarian technologies that can help connect scientific knowledge, societal empowerment, and policy development, particularly in the Latin American context.","2835-3471","979-8-3315-1524-9","10.1109/LAEDC65721.2025.11288997","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11288997","Low-cost sensors;PM  2.5 ;air quality monitoring;humanitarian technologies","Data acquisition;Focusing;Air pollution;Sensors;Systems support;Microelectronics;Electron devices;Monitoring","","","","22","IEEE","21 Dec 2025","8-10 Oct. 2025","8-10 Oct. 2025","IEEE","IEEE Conferences"
"Finding ϵ-Locally Optimal Solutions for Multiobjective Multimodal Optimization","A. E. Rodriguez-Fernandez; L. Schäpermeier; C. Hernández; P. Kerschke; H. Trautmann; O. Schütze","Department of Computer Science, CINVESTAV-IPN, Ciudad de Mexico, Mexico; Big Data Analytics in Transportation, Technische Universitat Dresde, Dresden, Germany; Ciencias de la computación, Universidad Nacional Autonoma de Mexico Instituto de Investigaciones en Matematicas Aplicadas y Sistemas, Ciudad de Mexico, Mexico; Big Data Analytics in Transportation, Technische Universitat Dresde, Dresden, Germany; Department of Machine Learning and Optimisation, University of Paderborn, Paderborn, Germany; Department of Computer Science, CINVESTAV-IPN, Ciudad de Mexico, Mexico",IEEE Transactions on Evolutionary Computation,"10 Oct 2025","2025","29","5","2019","2031","In this article, we address the problem of computing all locally optimal solutions of a given multiobjective problem whose images are sufficiently close to the Pareto front. Such  $\epsilon $ -locally optimal solutions are particularly interesting in the context of multiobjective multimodal optimization (MMO). To accomplish this task, we first define a new set of interest,  $L_{Q,\epsilon }$ , that is strongly related to the recently proposed set of  $\epsilon $ -acceptable solutions. Next, we propose a new unbounded archiver,  $ArchiveUpdateL_{Q,\epsilon }$ , aiming to capture  $L_{Q,\epsilon }$  in the limit. This archiver can in principle be used in combination with any multiobjective evolutionary algorithm (MOEA). Further, we equip numerous MOEAs with  $ArchiveUpdateL_{Q,\epsilon }$ , investigate their performances across several benchmark functions, and compare the enhanced MOEAs with their archive-free counterparts. For our experiments, we utilize the well-established metrics HV, IGDX, and  $\Delta _{p}$ . Additionally, we propose and use a new performance indicator,  $I_{\mathrm { EDR}}$ , which results in comparable performances but which is applicable to problems defined in higher dimensions (in particular in decision variable space).","1941-0026","","10.1109/TEVC.2024.3458855","European Research Center for Information Systems (ERCIS); CONAHCYT to pursue his Postdoc Fellowship at the CINVESTAV-IPN; Center for Scalable Data Analytics and Artificial Intelligence (ScaDS.AI) Dresden/Leipzig; Research Provided by UNAM’s Project PAPIIT(grant numbers:IA102923); CONAHCYT Project(grant numbers:CBF2023-2024-1463); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677365","Evolutionary computation;local solutions;multimodal optimization (MMO);multiobjective optimization","Optimization;Evolutionary computation;Approximation algorithms;Benchmark testing;Vectors;Surveys;Pareto optimization","","8","","79","IEEE","11 Sep 2024","Oct. 2025","","IEEE","IEEE Journals"
"Color Image Protection via Quantum Encryption and HVS-Based Mini-Block Data Hiding","L. Olvera-Martinez; M. Cedillo-Hernandez; C. Diaz-Rodriguez; L. Faustinos-Morales","Instituto Politécnico Nacional Escuela Superior de Ingeniería, Mecánica y Eléctrica Unidad Culhuacan, CDMX, México; Instituto Politécnico Nacional Escuela Superior de Ingeniería, Mecánica y Eléctrica Unidad Culhuacan, CDMX, México; Instituto Politécnico Nacional Escuela Superior de Ingeniería, Mecánica y Eléctrica Unidad Culhuacan, CDMX, México; Universidad Nacional Autónoma de Mexico, CDMX, Mexico",2025 10th International Conference on Frontiers of Signal Processing (ICFSP),"29 Jan 2026","2025","","","16","20","With the growing demand for secure and efficient digital image processing, the integration of data hiding and encryption techniques has become essential to ensure both confidentiality and integrity of visual information. This paper proposes a hybrid approach that combines a low complexity steganographic scheme for binary and color images with a computationally efficient encryption technique inspired by quantum operators. In the data hiding component, an RGB channel of a color image is selected, and its least significant bit plane is extracted. This bit plane is then divided into suitable blocks, and HVS-based encoding tables are used to embed the information within these blocks, achieving high embedding capacity while preserving visual quality. In parallel, the encryption stage operates on color images and is based on a novel operator model that simulates quantum behaviors such as creation, exchange, and annihilation, enabling effective protection without requiring intensive mathematical processing. Experimental validation confirms the robustness of the combined approach through quality metrics such as PSNR, SSIM and entropy.","","979-8-3315-7442-0","10.1109/ICFSP67350.2025.11353827","Instituto Politécnico Nacional; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353827","Braided Quantum;Quantum Operators;Dynamic Matrices;Finite Fields","Visualization;Steganography;Signal processing algorithms;Color;Signal processing;Robustness;Real-time systems;Encryption;Data mining;Protection","","","","17","IEEE","29 Jan 2026","10-12 Sept. 2025","10-12 Sept. 2025","IEEE","IEEE Conferences"
"Ownership Authentication and Clinical Data Backup in DICOM Images via Robust Watermarking and Binary Data Hiding","A. A. Lopez-Martinez; E. Fragoso-Navarro; M. Cedillo-Hernandez; F. Garcia-Ugalde","SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; Universidad Nacional Autonoma de Mexico, CDMX, Mexico",2025 10th International Conference on Frontiers of Signal Processing (ICFSP),"29 Jan 2026","2025","","","32","36","Medical information is very important and delicate due to its relevance in clinical diagnosis, treatments, research and other commercial and non-commercial applications of governmental and private organizations. Recent advances in information and communication technologies have transformed the paradigm of medical data management, but also introduced new risks related to unauthorized access, manipulation, and distribution. To solve part of these problems, this paper proposes a method that employs two information security levels based on robust watermarking and binary data hiding, respectively. Firstly, clinical data is embedded into a logo using binary data hiding. Then, this logo is inserted into the spatial domain of a medical image through block segmentation, statistical information, and convolutional encoding for ownership authentication. Experimental results demonstrate logo robustness against JPEG DICOM compression in conjunction with aggressive attacks like cropping and copy-move, using bit error rate as a metric. The imperceptibility has been measured via peak signal-to-noise ratio and structural similarity index metrics.","","979-8-3315-7442-0","10.1109/ICFSP67350.2025.11353575","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353575","Robust watermarking;Binary data hiding;DICOM imaging;Information security;Ownership authentication;Convolutional encoding","Measurement;Image coding;Bit error rate;Authentication;Transform coding;Information security;Watermarking;Robustness;DICOM;Medical diagnostic imaging","","","","17","IEEE","29 Jan 2026","10-12 Sept. 2025","10-12 Sept. 2025","IEEE","IEEE Conferences"
"A Framework for Dynamic User Modeling Integrating Data Stream Mining and Process Mining in Educational Contexts","M. Yesenia Zavaleta-Sanchez; E. Benitez-Guerrero; G. Gilberto Molero-Castillo; C. Mezura-Godoy; L. Gerardo Montane-Jimenez","Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Departamento de Computación, Facultad de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico",IEEE Access,"26 Sep 2025","2025","13","","166078","166103","A user model (UM) is a representation of the characteristics, behaviors, and preferences of a user that a computer system utilizes to provide the user with personalized experiences. In educational settings, for instance, a system can use information about the Learning Styles (LSs) of a student to provide them with adequate study materials. Furthermore, with the growing use of Learning Management System (LMS) platforms, such as Moodle, continuous streams of user data highlight the need to compute student models dynamically to support adaptive decision-making in teaching and learning. This paper introduces a framework for Dynamic User Modeling (DUMING) to create evolving Dynamic User Models (DUMs) that capture and adapt to changes in student LSs over time, based on event log streams from an LMS. This framework leverages the Felder and Silverman Learning Styles Model (FSLSM) and integrates Data Stream Mining (DSM) and Process Mining (PM) techniques across three layers: collection, preprocessing, and mining. Collected event streams are processed within landmark windows and classified into High-Level Events (HLEs) based on LMS functionality. The STREAMKMeans algorithm clusters events, and the PM phase uses Alpha Miner (AM), Heuristic Miner (HM), and Inductive Miner (IM) algorithms to identify learning paths represented as Petri Nets (PNs), with IM showing the highest values in the quality metrics used. Implemented and evaluated in a course using Moodle at the Universidad Veracruzana in Mexico, the framework employs IF-THEN rules to relate HLE proportions to FSLSM-based LSs, visualizing changes through radar charts. The results demonstrate the effectiveness of the framework in generating adaptive DUMs, providing insights that enhance over time educational support and enable timely interventions.","2169-3536","","10.1109/ACCESS.2025.3611957","National Council of Humanities, Sciences, and Technologies (CONAHCYT, Mexico)(grant numbers:743385); CONAHCYT, in the Scope of the Project “Infraestructura para Agilizar el Desarrollo de Sistemas Centrados en el Usuario” (Cátedras)(grant numbers:3053); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11173584","Clustering data stream mining;dynamic user modeling;educational data mining;learning styles;process mining","Adaptation models;Data models;Computational modeling;Context modeling;Time division multiplexing;Heuristic algorithms;Visualization;Process mining;Sensors;Clustering algorithms","","1","","61","CCBY","19 Sep 2025","2025","","IEEE","IEEE Journals"
"Guiding Urban Inclusivity: opening the public space in cities for women","G. Vargas-Solar; S. Castillo-Camporro","CNRS, Univ. Lyon, INSA Lyon, UCBL, LIRIS, UMR5205, Lyon, France; Faculty of Higher Studies, Graduate Studies, Universidad Nacional Autónoma de México Campus Acatlán, Acatlán, Mexico",2024 IEEE International Conference on Big Data (BigData),"16 Jan 2025","2024","","","5307","5314","This position paper identifies challenges that can be addressed through data-driven analytics to design inclusive urban spaces that meet women’s security and well-being expectations. To this end, it proposes a decision-making support platform that enables urban planners to identify quantitative and qualitative variables that influence quality of life (QoL) and understand how much each variable contributes to perceptions of well-being.","2573-2978","979-8-3503-6248-0","10.1109/BigData62323.2024.10825164","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10825164","Data science;data exploration;inclusive urban spaces design;diversity;equity;inclusion","Urban areas;Decision making;Big Data;Space exploration;Security","","1","","20","IEEE","16 Jan 2025","15-18 Dec. 2024","15-18 Dec. 2024","IEEE","IEEE Conferences"
"Exploratory Data Analysis and Classification of Hand Electromyographic Signals Using Classical Machine Learning Algorithms with Hyperparameters Optimization","J. L. Garza Rivera; A. E. Godínez; D. T. Varela","Universidad Da Vinci, CDMX, México; Universidad Da Vinci, CDMX, México; Facultad de Estudios Superiores Cuautitlán Universidad Nacional Autónoma de México Cuautitlan, Izcalli, México",2025 IEEE Latin American School on Computational Intelligence and Robotics (SAIBOT),"22 Jan 2026","2025","","","85","93","Digital signal processing involves recording a signal, making changes to it, and generating a new signal. In engineering, procedures have been developed to acquire signals and extract useful data from them. Once the characteristics have been extracted, they are classified using statistical and artificial intelligence methods. Understanding, comparing and using these characteristics is an important step before tackling massive data sets and deep learning algorithms. The limited capabilities of the embedded cards that can be included in EMG prostheses must also be considered. This paper proposes a basic exploratory analysis and the use of classical algorithms to decompose a set of EMG data. Various machine learning classification algorithms were evaluated, including multilayer perceptron neural networks, support vector machines (SVM), K-nearest neighbors (KNN), decision trees and random forests. The results were then compared using the accuracy, precision, recall, F1 score, and support value metrics. Classic machine learning algorithms are still an option for programming embedded systems that operate based on EMG signals. The quality and cleanliness of the data are as important as the choice of AI model.","","979-8-3315-8719-2","10.1109/SAIBOT67519.2025.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11344577","Classification algorithms;Data analysis;Feature extraction;Digital signal processing;Machine learning;Electromyography","Measurement;Support vector machines;Machine learning algorithms;Data analysis;Signal processing algorithms;Programming;Nearest neighbor methods;Electromyography;Data models;Classification algorithms","","","","51","IEEE","22 Jan 2026","28-31 Oct. 2025","28-31 Oct. 2025","IEEE","IEEE Conferences"
"An Evolutionary Approach for the Computation of ∈-Locally Optimal Solutions for Multi-Objective Multimodal Optimization","C. Hernández; A. E. Rodriguez-Fernandez; L. Schäpermeier; O. Cuate; H. Trautmann; O. Schütze","IIMAS-UNAM, Mexico; CINVESTAV-IPN, Mexico; University of Münster, Germany; ESFM -Instituto Politécnico Nacional, Mexico; University of Paderborn, Germany; CINVESTAV-IPN, Mexico",IEEE Transactions on Evolutionary Computation,"","2025","PP","99","1","1","In this paper, we address the problem of efficiently computing finite-size approximations of the set of -locally optimal solutions of a given multi-objective optimization problem (MOP). Such sets are in particular interesting in the context of multi-objective multimodal optimization (MMO). To this end, we first propose a bounded archiver, ArchiveUpdateLQ,∈B, that is, a modification of a previously proposed unbounded archiver. These archivers can be used as external archivers to in principle any multi-objective evolutionary algorithm (MOEA). In order to reduce the computational cost compared to such archive equipped MOEAs, we propose, in a next step LQ,∈MOEA. This evolutionary algorithm directly uses ArchiveUpdateLQ,∈B for the selection process and hence does not need an external archive for the computation of ∈-locally optimal solutions. We further propose a hybrid of LQ,∈MOEA with a multi-objective continuation method, which significantly improves the accuracy of the obtained solutions in case the gradient information is at hand. Finally, we show some numerical results that demonstrate the benefit of both the bounded archiver and the new MOEAs.","1941-0026","","10.1109/TEVC.2025.3637276","European Research Center for Information Systems; SECIHTI; Center for Scalable Data Analytics and Artificial Intelligence Dresden/Leipzig; Universidad Nacional Aut?noma de M?xico(grant numbers:IA102923); Consejo Nacional de Humanidades, Ciencias y Tecnologías(grant numbers:CBF2023-2024-1463); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11269362","Multi-objective optimization;evolutionary algorithms;nearly optimal solutions;multimodal optimization;archiving;continuation","Optimization;Evolutionary computation;Hands;Proposals;Convergence;Computational efficiency;Artificial intelligence;Accuracy;Approximation algorithms;Aerospace electronics","","","","","IEEE","26 Nov 2025","","","IEEE","IEEE Early Access Articles"
