"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Protection Of Sensitive Personal Information Contained In Digital Files Held By Individuals With Homomorphic Encryption And AI Assistance","E. A. Villegas-Jiménez; A. Romo-Cabrera; M. A. Manzano-Calixto; L. M. Tello-Aguilera; A. K. Sánchez-Mata; A. Robles-Guerrero; P. M. Hernández-Ruiz","Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","9 Apr 2026","2025","","","1","6","In today’s digital landscape, the exchange of sensitive personal data via mobile devices is widespread, yet inadequate safeguards often expose users to risks such as identity theft and online harassment. This research introduces Kamplae, a system crafted in Python and deployed through a Flask-based REST API, employing homomorphic encryption and artificial intelligence to protect personal information embedded in digital images. Kamplae secures metadata and bitmap content in jpeg, jpg, and png formats, adhering to legal standards in Mexico and the European Union.The study reviews prior work on personal data protection and the challenges posed by deep fakes, emphasising the need for robust regulatory frameworks to counter digital violence. It explores various encryption methods—symmetric, asymmetric, and hybrid—alongside relevant legal provisions across regions.Kamplae aims to prevent image misuse and foster a secure, ethical digital environment. While promising, it highlights areas for enhancement, such as broader format support and user interface refinement, with limitations tied to specific format compatibility and mobile performance.","","979-8-3315-3559-9","10.1109/ICECET63943.2025.11472089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11472089","deep fake;encryption;hormomorphic encryption;artificial intelligence;symmetric encryption;asymmetric encryption;multimedia files","Filtering;Filters;Deepfakes;Protocols;Videos;Cyberspace;Mobile handsets;Social computing;Cyberbullying;Communication systems","","","","31","IEEE","9 Apr 2026","3-6 July 2025","3-6 July 2025","IEEE","IEEE Conferences"
"Development Of An Algorithm For Strength Training With Use Haptic Feedback And Artificial Intelligence (AI) Based Enhancement","E. A. Villegas-Jiménez; A. H. Bello-Guerrero; M. D. Padilla-Torres; L. N. Villagómez-Venegas; C. S. Chávez-Ramírez","Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","9 Apr 2026","2025","","","1","6","The increasing popularity of the use of AI in everyday life has enabled the development of virtual systems for human assistance. This research proposes an implemented linear regression model with a vector of random weights, using a mean square error (MSE), based cost function and regularisation and corresponding Python code that integrates AI-based haptic feedback through vibration, specifically designed to optimise weight training.The results of the simulation model analysis show how key biomechanical parameters are identified and used to improve a person's posture by adjusting technique through real-time vibrational stimuli. The development of the system involves physical benefits such as injury prevention, continuous biomechanical monitoring, adaptive programme structuring and haptic vibration feedback for immediate movement correction. Popular and accurate tools for building linguistic models are mentioned, such as machine learning, computer vision and neural networks. Technological tools such as machine learning, computer vision and neural networks, applied to process biomechanical data and trigger personalised vibrational responses, are highlighted.","","979-8-3315-3559-9","10.1109/ICECET63943.2025.11472504","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11472504","AI;virtual coach;strength training;biomechanics;haptic feedback;python","Feedback;Circuits;Oscillators;Rectifiers;Internet of Things;Internet;Communication systems;Protocols;Telecommunication computing;Computer networks","","","","27","IEEE","9 Apr 2026","3-6 July 2025","3-6 July 2025","IEEE","IEEE Conferences"
"Deep Learning-based Echocardiography Enhancement: Reducing Speckle Noise and Improving Temporal Resolution","G. Carcedo-Rodríguez; B. Vazquez; J. Perez-Gonzalez; N. Hevia-Montiel","Master Program in Computer Science and Engineering, Universidad Nacional Autónoma de México, Mérida, Yucatán, México; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Unidad Académica en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, Yucatán, México; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Unidad Académica en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, Yucatán, México; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Unidad Académica en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, Yucatán, México",2025 21st International Symposium on Biomedical Image Processing and Analysis (SIPAIM),"18 Dec 2025","2025","","","1","5","Ultrasound is widely used in medical imaging due to its accessibility and cost-effectiveness. This paper presents a Deep Learning-based approach for enhancing echocardiographic imaging by addressing two challenges: speckle noise reduction and temporal resolution improvement. For denoising task, we propose the SE-U-Net model, while for temporal enhancement we employ Real-Time Intermediate Flow Estimation for frame interpolation. Multiple datasets were used for training, validation, and testing of both models. The proposed pipeline was applied in high heart rate murine models to enhance relevant information. In final evaluation, the denoising model achieved SSIM=0.99 and PSNR=38.27dB, indicating effective contrast enhancement, preservation of homogeneous regions, and reduction of small artifacts. The interpolation model, on the other hand, achieved SSIM=0.87 and PSNR=33.23dB, enabling the increase of ultrasound temporal resolution from 37 to 296 frames per second without losing image quality.","","979-8-3315-5456-9","10.1109/SIPAIM67325.2025.11283395","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11283395","","Heart rate;Training;Interpolation;Ultrasonic imaging;Noise reduction;Pipelines;Noise;Speckle;Spatial resolution;Testing","","","","14","IEEE","18 Dec 2025","18-21 Nov. 2025","18-21 Nov. 2025","IEEE","IEEE Conferences"
"Convolutional Neural Network Trained with Heatmaps for Segmentation and Measurement of the Femur in Fetal Ultrasound","J. C. A. Ortíz; F. A. Cosío; J. Pérez-González; N. O. C. Díaz; R. V. Cristerna; V. M. Bañuelos; L. C. Marín; M. G. Huerta","Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, México; Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, México; Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, México; Laboratorio de Investigación en Neuroimagenología, Universidad Autónoma Metropolitana Unidad Iztapalapa, Ciudad de México, México; Laboratorio de Investigación en Neuroimagenología, Universidad Autónoma Metropolitana Unidad Iztapalapa, Ciudad de México, México; Laboratorio de Investigación en Neuroimagenología, Universidad Autónoma Metropolitana Unidad Iztapalapa, Ciudad de México, México; Departamento de Obstetricia, Instituto Nacional de Perinatología, Ciudad de México, México; Departamento de Obstetricia, Instituto Nacional de Perinatología, Ciudad de México, México",2025 21st International Symposium on Biomedical Image Processing and Analysis (SIPAIM),"18 Dec 2025","2025","","","1","5","Fetal femur length measurement via ultrasound, alongside abdominal circumference, biparietal diameter, and cranial circumference assessments, are key components of prenatal screening, as they enable the estimation of fetal weight and the evaluation of intrauterine development. Currently, this procedure still heavily relies on manual intervention by expert radiologists or sonographers, who must identify anatomical landmarks to perform the measurements. This dependence on specialized human expertise limits diagnostic accessibility in remote areas far from major urban centers. In this work, we propose a novel convolutional neural network trained on binary masks and heatmaps of femur endpoints. The model achieves robust performance, segmenting the femur with an 88% Dice coefficient, and measuring its length with only a 2.515% error margin. This work is part of a broader machine learning based system for fetal weight estimation, aiming to expand diagnostic capabilities to healthcare centers with limited human resources.","","979-8-3315-5456-9","10.1109/SIPAIM67325.2025.11283319","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11283319","","Heating systems;Ultrasonic imaging;Ultrasonic variables measurement;Measurement uncertainty;Estimation;Medical services;Manuals;Biomedical measurement;Length measurement;Convolutional neural networks","","","","12","IEEE","18 Dec 2025","18-21 Nov. 2025","18-21 Nov. 2025","IEEE","IEEE Conferences"
"MexSIC, a Data Acquisition Channel for SiPMs","D. Durini; G. Zamora-Mejia; J. M. Rocha-Perez; V. H. Carbajal-Gomez; A. I. Bautista-Castillo; S. A. Rosales-Nunez; A. Silva-Juarez; L. C. Alvarez-Simon; A. Diaz-Sanchez; R. Alfaro-Molina; A. Iriarte; M. Gonzalez","Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Physics Institute, Universidad Nacional Autonoma de Mexico (UNAM), Mexico City, Mexico; Institute of Astronomy, Universidad Nacional Autonoma de Mexico (UNAM), Mexico City, Mexico; Institute of Astronomy, Universidad Nacional Autonoma de Mexico (UNAM), Mexico City, Mexico",IEEE Transactions on Nuclear Science,"17 Mar 2025","2025","72","3","946","960","This work describes MexSIC, a data acquisition (DAQ) channel designed for silicon photomultipliers (SiPMs), composed of a mixed-mode application-specific integrated circuit (ASIC) front end, a field programmable gate array (FPGA)-based processing stage, and a user interface. The ASIC provides a 1-bit sigma-delta modulator ( $\Sigma \Delta -M$ ) digital equivalent of the input SiPM current, a flag indicating the start/end of the SiPM pulse, and a clock reference generated by an internal phase-locked loop (PLL). At the ASIC input stage, the SiPM current is converted to voltage by means of a 1.57-GHz bandwidth (BW) transimpedance amplifier (TIA), the gain of which can be switched between 21 and 48 dB, allowing for an input current range between  $20~\mu $ A and 20 mA. The generated voltage signal is then fed to a trigger unit (TU) implemented to discriminate between desired signals and the spurious ones and, in parallel, also to a second-order  $\Sigma \Delta $  modulator providing 6.1 effective number of bits (ENOB). The TU circuit sends a start/end bit flag by comparing the SiPM voltage signal with an 8-bit programmable voltage reference.  $\Sigma \Delta $  was selected to have a single output line instead of using a data bus with many lines, which is important in applications where the number of SiPM channels being read out is very large. The 10-MHz BW  $\Sigma \Delta -M$  uses an oversampling ratio (OSR) of 50 and a 1-GHz sampling clock that is generated by a PLL using an off-chip 100-MHz reference. The FPGA receives the ASIC  $\Sigma \Delta $  modulated output signal and performs a decimation process by means of a cascade integrator comb (CIC) filter to complete the data recovery. The recovered signal is visualized in a MATLAB-programmed graphical user interface (GUI). The MexSIC ASIC was designed in a 180-nm CMOS standard process using Cadence software, and the processing stage was implemented in a Kintex-7 FPGA.","1558-1578","","10.1109/TNS.2025.3528905","National Autonomous University of Mexico (UNAM) in the frame of its project Programa de Apoyo a Proyectos de Investigación e Inovación Tecnológica (PAPIIT)(grant numbers:DGAPA-IG101323); Consejo Nacional de Humanidades, Ciencias y Tecnologías (CONAHCyT)-Mexico through the “Investigadoras e Investigadores por México” Program; CONAHCyT-Mexico through the “Estancias Posdoctorales por México” Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10838575","Decimator;field programmable gate array (FPGA);front end;modulator;readout;silicon photomultiplier (SiPM);transimpedance amplifier (TIA)","Bandwidth;Charge measurement;Application specific integrated circuits;Telescopes;Modulation;Gamma-rays;Field programmable gate arrays;Extraterrestrial measurements;Silicon;Sigma-delta modulation","","","","41","IEEE","13 Jan 2025","March 2025","","IEEE","IEEE Journals"
"CFDA-CSF: A Multi-Modal Domain Adaptation Method for Cross-Subject Emotion Recognition","M. Jiménez-Guarneros; G. Fuentes-Pineda","Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Mexico; Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Mexico",IEEE Transactions on Affective Computing,"5 Sep 2024","2024","15","3","1502","1513","Multi-modal classifiers for emotion recognition have become prominent, as the emotional states of subjects can be more comprehensively inferred from Electroencephalogram (EEG) signals and eye movements. However, existing classifiers experience a decrease in performance due to the distribution shift when applied to new users. Unsupervised domain adaptation (UDA) emerges as a solution to address the distribution shift between subjects by learning a shared latent feature space. Nevertheless, most UDA approaches focus on a single modality, while existing multi-modal approaches do not consider that fine-grained structures should also be explicitly aligned and the learned feature space must be discriminative. In this paper, we propose Coarse and Fine-grained Distribution Alignment with Correlated and Separable Features (CFDA-CSF), which performs a coarse alignment over the global feature space, and a fine-grained alignment between modalities from each domain distribution. At the same time, the model learns intra-domain correlated features, while a separable feature space is encouraged on new subjects. We conduct an extensive experimental study across the available sessions on three public datasets for multi-modal emotion recognition: SEED, SEED-IV, and SEED-V. Our proposal effectively improves the recognition performance in every session, achieving an average accuracy of 93.05%, 85.87% and 91.20% for SEED; 85.72%, 89.60%, and 86.88% for SEED-IV; and 88.49%, 91.37% and 91.57% for SEED-V.","1949-3045","","10.1109/TAFFC.2024.3357656","National Council of Humanities, Science and Technology in Mexico; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10412628","Deep learning;electroencephalogram;emotion recognition;eye tracking;multi-modal domain adaptation","Electroencephalography;Emotion recognition;Correlation;Task analysis;Brain modeling;Proposals;Training","","28","","42","IEEE","23 Jan 2024","July-Sept. 2024","","IEEE","IEEE Journals"
"XR for educational anatomy: an Immersive human atlas with chatbot","J. -F. Uhl; P. Reyes; C. Quihuis; P. Belchior; J. Jorge","Director of the UNESCO Chair of Digital Anatomy, Paris Cité University, Paris, France; Universidad Nacional Autónoma de México, México City, México; Instituto Tecnológico y de Estudios Superiores de Monterrey, Mexico City, México; INESC-ID, Tagus Park, Porto Salvo, Portugal; UNESCO Chair on AI & VR, Instituto Superior Técnico, Av Rovisco Pais, Lisboa, Portugal",2025 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),"24 Apr 2025","2025","","","1016","1020","Immersive reality has emerged as a groundbreaking and promising approach for teaching anatomy, providing unique learning experiences while complementing traditional educational methods. Existing immersive software, such as Organon® and HoloLens®, offer valuable tools but remain limited in anatomical detail and interactivity. We present a novel educational approach: an immersive human atlas that integrates anatomical slices from the Visible Korean Human dataset (male and female) into a 3D environment. This platform enhances anatomical visualization and incorporates a Large Language Model (LLM) to support user interaction and understanding. By combining precise anatomical slices within the 3D model, the atlas provides an enriched and comprehensive learning experience for medical education.","","979-8-3315-1484-6","10.1109/VRW66409.2025.00205","Fundação para a Ciência e a Tecnologia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10972851","Extended Reality;Immersive Environments;Anatomy Education;Large Language Models;Cross Computing","Visualization;Solid modeling;Three-dimensional displays;Extended reality;Large language models;Conferences;Education;User interfaces;Software;Anatomy","","","","18","IEEE","24 Apr 2025","8-12 March 2025","8-12 March 2025","IEEE","IEEE Conferences"
"Transforming Software Development: A Study on the Integration of Multi-Agent Systems and Large Language Models for Automatic Code Generation","R. Ramírez-Rueda; E. Benítez-Guerrero; C. Mezura-Godoy; E. Bárcenas","Facultad de Estadística e Informática, Universidad veracruzana, Xalapa, Mexico; Facultad de Estadística e Informática, Universidad veracruzana, Xalapa, Mexico; Facultad de Estadística e Informática, Universidad veracruzana, Xalapa, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, México",2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),"18 Dec 2024","2024","","","11","20","This paper explores the integration of Multi-Agent Systems (MAS) and Large Language Models (LLMs) for auto-matic code generation, addressing the limitations of traditional manual coding. By conducting a comprehensive review of existing literature and analyzing a practical case study, we demonstrate how MAS and LLMs can collaboratively enhance software development processes. The research focuses on the technical and theoretical challenges of this integration, highlighting the potential for improved productivity, adaptability, and quality in code generation. The findings contribute to AI-based software engineering by revealing new research directions in collective intelligence and automated programming.","","979-8-3315-3211-6","10.1109/CONISOFT63288.2024.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795597","Multi-Agent;Generative AI;LLM;Software Development","Productivity;Technological innovation;Codes;Large language models;Collective intelligence;Software;Standards;Software development management;Software engineering;Multi-agent systems","","1","","29","IEEE","18 Dec 2024","28 Oct.-1 Nov. 2024","28 Oct.-1 Nov. 2024","IEEE","IEEE Conferences"
"A Framework for Dynamic User Modeling Integrating Data Stream Mining and Process Mining in Educational Contexts","M. Yesenia Zavaleta-Sanchez; E. Benitez-Guerrero; G. Gilberto Molero-Castillo; C. Mezura-Godoy; L. Gerardo Montane-Jimenez","Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Departamento de Computación, Facultad de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico",IEEE Access,"26 Sep 2025","2025","13","","166078","166103","A user model (UM) is a representation of the characteristics, behaviors, and preferences of a user that a computer system utilizes to provide the user with personalized experiences. In educational settings, for instance, a system can use information about the Learning Styles (LSs) of a student to provide them with adequate study materials. Furthermore, with the growing use of Learning Management System (LMS) platforms, such as Moodle, continuous streams of user data highlight the need to compute student models dynamically to support adaptive decision-making in teaching and learning. This paper introduces a framework for Dynamic User Modeling (DUMING) to create evolving Dynamic User Models (DUMs) that capture and adapt to changes in student LSs over time, based on event log streams from an LMS. This framework leverages the Felder and Silverman Learning Styles Model (FSLSM) and integrates Data Stream Mining (DSM) and Process Mining (PM) techniques across three layers: collection, preprocessing, and mining. Collected event streams are processed within landmark windows and classified into High-Level Events (HLEs) based on LMS functionality. The STREAMKMeans algorithm clusters events, and the PM phase uses Alpha Miner (AM), Heuristic Miner (HM), and Inductive Miner (IM) algorithms to identify learning paths represented as Petri Nets (PNs), with IM showing the highest values in the quality metrics used. Implemented and evaluated in a course using Moodle at the Universidad Veracruzana in Mexico, the framework employs IF-THEN rules to relate HLE proportions to FSLSM-based LSs, visualizing changes through radar charts. The results demonstrate the effectiveness of the framework in generating adaptive DUMs, providing insights that enhance over time educational support and enable timely interventions.","2169-3536","","10.1109/ACCESS.2025.3611957","National Council of Humanities, Sciences, and Technologies (CONAHCYT, Mexico)(grant numbers:743385); CONAHCYT, in the Scope of the Project “Infraestructura para Agilizar el Desarrollo de Sistemas Centrados en el Usuario” (Cátedras)(grant numbers:3053); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11173584","Clustering data stream mining;dynamic user modeling;educational data mining;learning styles;process mining","Adaptation models;Data models;Computational modeling;Context modeling;Time division multiplexing;Heuristic algorithms;Visualization;Process mining;Sensors;Clustering algorithms","","1","","61","CCBY","19 Sep 2025","2025","","IEEE","IEEE Journals"
"Human-robot physical interaction system as a tool for neurocognitive stimulation in children with ADHD in Mexico","J. Aparicio-Juarez; O. A. Dominguez-Ramirez; G. Sepulveda-Cervantes; J. Garcia-Blancas; J. D. Ramirez-Zamora; E. A. Escotto-Cordova; I. Reyes-Hernandez","Autonomous University of the State of Hidalgo, Hidalgo, Mexico; Autonomous University of the State of Hidalgo, Hidalgo, Mexico; Center for Technological Innovation and Development in Computing, National Polytechnic Institute, CDMX, Mexico; Autonomous University of the State of Hidalgo, Hidalgo, Mexico; Autonomous University of the State of Hidalgo, Hidalgo, Mexico; Faculty of Higher Studies Zaragoza, National Autonomous University of Mexico, CDMX, Mexico; Autonomous University of the State of Hidalgo, Pachuca, Hidalgo, Mexico",2024 XXVI Robotics Mexican Congress (COMRob),"12 Dec 2024","2024","","","39","46","This research work promotes the use of an interactive virtual environment, with the purpose of strengthening neurocognitive stimulation in children with ADHD (Attention Deficit Hyperactivity Disorder), through a human-robot physical interaction system (HRpI); as well as establishing the conditions that allow the application of supervised and unsupervised machine learning techniques that favor diagnosis. Clinical evaluation strategies in care and treatment centers for neurodivergent children are based on the Diagnostic and Statistical Manual of Mental Disorders (DSM-5); however, not using integrated technological platforms with biofeedback and neurophysiological stimulation associated with each case study, which contributes to the improvement of the clinical procedure. The proposed HRpI system is constituted by a haptic device with the human operator (patient) in the control loop. The movement instructions are designed based on a clinical protocol that evaluates hand-eye coordination, based on virtual mazes to navigate with one or two upper limbs. The platform is configured with strategies: i) passive haptic guidance and ii) active haptic exploration. In the first case, the robot guides the human in the optimal solution, correcting the interactive forces that condition the presence of disturbances, and shape the required energy; and in the second case, the human voluntarily solves the maze, which implies that the velocity and instantaneous position are variable. Kinesthetic force feedback is based on a viscoelasticity model (spring-damper system) in both haptic interaction strategies. During the development of the task, the instrumentation of brain waves are correlated with the state of the robotic system (position, velocity, energy and instantaneous errors); all this for the evaluation of performance metrics that contribute to the diagnosis. The expected result corresponds to determining the engram in terms of duration and frequency in brain plasticity for self-regulation purposes of the neurodivergent patient; as well as its impact as a value proposition to the Continuous Improvement School Program (PEMC) of basic education institutions in Mexico.","","979-8-3315-3339-7","10.1109/COMRob64055.2024.10777441","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10777441","ADHD;Biofeedback;HRpI;Neurophysiological Stimulation;Engram","Training;Visualization;Protocols;Navigation;Shape;Robot kinematics;Virtual environments;Robot sensing systems;User experience;Biomedical monitoring","","1","","28","IEEE","12 Dec 2024","13-15 Nov. 2024","13-15 Nov. 2024","IEEE","IEEE Conferences"
