"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Protection Of Sensitive Personal Information Contained In Digital Files Held By Individuals With Homomorphic Encryption And AI Assistance","E. A. Villegas-Jiménez; A. Romo-Cabrera; M. A. Manzano-Calixto; L. M. Tello-Aguilera; A. K. Sánchez-Mata; A. Robles-Guerrero; P. M. Hernández-Ruiz","Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","9 Apr 2026","2025","","","1","6","In today’s digital landscape, the exchange of sensitive personal data via mobile devices is widespread, yet inadequate safeguards often expose users to risks such as identity theft and online harassment. This research introduces Kamplae, a system crafted in Python and deployed through a Flask-based REST API, employing homomorphic encryption and artificial intelligence to protect personal information embedded in digital images. Kamplae secures metadata and bitmap content in jpeg, jpg, and png formats, adhering to legal standards in Mexico and the European Union.The study reviews prior work on personal data protection and the challenges posed by deep fakes, emphasising the need for robust regulatory frameworks to counter digital violence. It explores various encryption methods—symmetric, asymmetric, and hybrid—alongside relevant legal provisions across regions.Kamplae aims to prevent image misuse and foster a secure, ethical digital environment. While promising, it highlights areas for enhancement, such as broader format support and user interface refinement, with limitations tied to specific format compatibility and mobile performance.","","979-8-3315-3559-9","10.1109/ICECET63943.2025.11472089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11472089","deep fake;encryption;hormomorphic encryption;artificial intelligence;symmetric encryption;asymmetric encryption;multimedia files","Filtering;Filters;Deepfakes;Protocols;Videos;Cyberspace;Mobile handsets;Social computing;Cyberbullying;Communication systems","","","","31","IEEE","9 Apr 2026","3-6 July 2025","3-6 July 2025","IEEE","IEEE Conferences"
"The Yucatan HF Radar Network: A Multinational Technology Demonstration to Advance Monitoring of Western Boundary Currents","M. Smith; S. Glenn; T. Miles; A. H. Knap; S. F. Dimarco; R. M. Jiménez; D. S. de Léon; M. G. Reali; E. Escalante","Center for Ocean Observing Leadership, Rutgers University, New Brunswick, NJ, USA; Center for Ocean Observing Leadership, Rutgers University, New Brunswick, NJ, USA; Center for Ocean Observing Leadership, Rutgers University, New Brunswick, NJ, USA; Geochemical and Environmental Research Group, Texas A&M University, College Station, TX, USA; Geochemical and Environmental Research Group, Texas A&M University, College Station, TX, USA; Facultad de Ciencias, Universidad Nacional Autónoma de México, Mexico City, MX; Instituto de Ciencias del Mar y Limnologia, Universidad Nacional Autónoma de México, Mexico City, MX; Laboratorio de Oceanografía Física, Universidad Nacional Autónoma de México, Mexico City, MX; Laboratorio de Oceanografía Física, Universidad Nacional Autónoma de México, Mexico City, MX",OCEANS 2025 - Great Lakes,"25 Nov 2025","2025","","","1","8","The Yucatan High Frequency Radar (HFR) Network is a trilateral collaboration between the U.S., Mexico, and Cuba designed to monitor surface currents in the Yucatan Channel, a critical segment of the Atlantic Ocean conveyor belt. Two long-range CODAR SeaSonde systems were installed on Isla Contoy and at UNAM's Puerto Morelos facility to provide sustained, near-real-time observations of the Yucatan Current, which feeds the Loop Current and impacts hurricane intensification and climate variability. A key innovation is the use of Automatic Identification System (AIS) ship-tracking data to continuously calibrate receiver antenna patterns, eliminating the need for traditional on-water calibration. Hourly surface currents are processed, quality-controlled using QARTOD standards, and publicly distributed via an ERDDAP server. A derived velocity transect product along the strait's axis is used to analyze flow variability and validate ocean models, which often misrepresent the spatial structure observed by HFR. During the 2024 Mini-Adaptive Sampling Test Run (MASTR), real-time radar products supported autonomous vehicle missions and targeted ship sampling. Expansion to Cuba and additional Mexican sites is underway, positioning the network as a foundation for Caribbeanwide HFR coverage under GOOS and TAC-OOFS to improve ocean forecasting and hurricane prediction.","2996-1882","979-8-218-73628-6","10.23919/OCEANS59106.2025.11245036","National Academies of Sciences Gulf Research Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11245036","High Frequency Radar (HFR);Yucatan Current;Loop Current;AIS calibration;antenna pattern;surface currents;CODAR SeaSonde;model validation;ocean observing;adaptive sampling;data assimilation;Gulf of Mexico;western boundary current;QARTOD","Sea surface;Technological innovation;Oceans;Sea measurements;Hurricanes;High frequency radar;Data models;Calibration;Wind forecasting;Monitoring","","","","8","","25 Nov 2025","29 Sept.-2 Oct. 2025","29 Sept.-2 Oct. 2025","IEEE","IEEE Conferences"
"MexSIC, a Data Acquisition Channel for SiPMs","D. Durini; G. Zamora-Mejia; J. M. Rocha-Perez; V. H. Carbajal-Gomez; A. I. Bautista-Castillo; S. A. Rosales-Nunez; A. Silva-Juarez; L. C. Alvarez-Simon; A. Diaz-Sanchez; R. Alfaro-Molina; A. Iriarte; M. Gonzalez","Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Physics Institute, Universidad Nacional Autonoma de Mexico (UNAM), Mexico City, Mexico; Institute of Astronomy, Universidad Nacional Autonoma de Mexico (UNAM), Mexico City, Mexico; Institute of Astronomy, Universidad Nacional Autonoma de Mexico (UNAM), Mexico City, Mexico",IEEE Transactions on Nuclear Science,"17 Mar 2025","2025","72","3","946","960","This work describes MexSIC, a data acquisition (DAQ) channel designed for silicon photomultipliers (SiPMs), composed of a mixed-mode application-specific integrated circuit (ASIC) front end, a field programmable gate array (FPGA)-based processing stage, and a user interface. The ASIC provides a 1-bit sigma-delta modulator ( $\Sigma \Delta -M$ ) digital equivalent of the input SiPM current, a flag indicating the start/end of the SiPM pulse, and a clock reference generated by an internal phase-locked loop (PLL). At the ASIC input stage, the SiPM current is converted to voltage by means of a 1.57-GHz bandwidth (BW) transimpedance amplifier (TIA), the gain of which can be switched between 21 and 48 dB, allowing for an input current range between  $20~\mu $ A and 20 mA. The generated voltage signal is then fed to a trigger unit (TU) implemented to discriminate between desired signals and the spurious ones and, in parallel, also to a second-order  $\Sigma \Delta $  modulator providing 6.1 effective number of bits (ENOB). The TU circuit sends a start/end bit flag by comparing the SiPM voltage signal with an 8-bit programmable voltage reference.  $\Sigma \Delta $  was selected to have a single output line instead of using a data bus with many lines, which is important in applications where the number of SiPM channels being read out is very large. The 10-MHz BW  $\Sigma \Delta -M$  uses an oversampling ratio (OSR) of 50 and a 1-GHz sampling clock that is generated by a PLL using an off-chip 100-MHz reference. The FPGA receives the ASIC  $\Sigma \Delta $  modulated output signal and performs a decimation process by means of a cascade integrator comb (CIC) filter to complete the data recovery. The recovered signal is visualized in a MATLAB-programmed graphical user interface (GUI). The MexSIC ASIC was designed in a 180-nm CMOS standard process using Cadence software, and the processing stage was implemented in a Kintex-7 FPGA.","1558-1578","","10.1109/TNS.2025.3528905","National Autonomous University of Mexico (UNAM) in the frame of its project Programa de Apoyo a Proyectos de Investigación e Inovación Tecnológica (PAPIIT)(grant numbers:DGAPA-IG101323); Consejo Nacional de Humanidades, Ciencias y Tecnologías (CONAHCyT)-Mexico through the “Investigadoras e Investigadores por México” Program; CONAHCyT-Mexico through the “Estancias Posdoctorales por México” Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10838575","Decimator;field programmable gate array (FPGA);front end;modulator;readout;silicon photomultiplier (SiPM);transimpedance amplifier (TIA)","Bandwidth;Charge measurement;Application specific integrated circuits;Telescopes;Modulation;Gamma-rays;Field programmable gate arrays;Extraterrestrial measurements;Silicon;Sigma-delta modulation","","","","41","IEEE","13 Jan 2025","March 2025","","IEEE","IEEE Journals"
"A Reasoning System for Graded Modal Logic","R. López-Villafán; E. Bárcenas","IIMAS: Posgrado en Ciencia e lngeniería de la Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingenería: Dpto. de Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico",2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),"18 Dec 2024","2024","","","228","236","In this paper, we propose a deduction system for the modal logic $\mathbf{K}$ with graded modalities, which is obtained by adding numerical constraints to the modal operators. Graded modalities can be seen as a generalization of traditional modal operators since they include numerical bounds in the modalities, thus enabling the formal treatment of more detailed expressions, such as “there are at least $n+1$ individuals satisfying a certain property”, where $n$ is a natural number. This kind of properties commonly arise in contexts such as concurrent systems: “if at least 3 processors are free, then proceed to compute the next task”, or epistemic logic:”if more than 2 people know $P$, then $P$ is known”. The system is based on the notion of tree-hypersequents. We show the system is correct, i.e. sound and complete.","","979-8-3315-3211-6","10.1109/CONISOFT63288.2024.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795561","graded modalities;proof theory;hypersequents;automated reasoning","Technological innovation;Interpolation;Program processors;Computational modeling;Syntactics;Cognition;Numerical models;Logic;Iterative methods;Formal verification","","","","21","IEEE","18 Dec 2024","28 Oct.-1 Nov. 2024","28 Oct.-1 Nov. 2024","IEEE","IEEE Conferences"
"Democratizing Air Quality Monitoring: The Role of Low-Cost PM2.5 Sensors in Community Decision- Making","A. Castro-Chacon; A. Castro-Carranza; M. Grutter; R. Torres-Jardón","Postgraduate Progam in Earth Sciences, ENES Morelia, National Autonomous University of Mexico, Morelia, Mexico; International Laboratory of Environmental Electron Devices (LAIDEA) ENES Morelia, National Autonomous University of Mexico, Morelia, Mexico; Institute of Atmospheric Sciences and Climate Change (ICAyCC), National Autonomous University of Mexico, Mexico City; Institute of Atmospheric Sciences and Climate Change (ICAyCC), National Autonomous University of Mexico, Mexico City",2025 IEEE Latin American Electron Devices Conference (LAEDC),"21 Dec 2025","2025","","","1","6","Low-cost PM2.5 sensors have appeared as valuable tools for expanding access to air quality information in underserved regions. This paper explores the operational principles of sensors like the Plantower PMS5003, focusing on data acquisition, processing, and communication strategies. Beyond technical aspects, we discuss their integration into community-based monitoring and how these microelectronic systems support environmental governance and strengthen local responses to air pollution. Finally, this work highlights low-cost air quality sensors as humanitarian technologies that can help connect scientific knowledge, societal empowerment, and policy development, particularly in the Latin American context.","2835-3471","979-8-3315-1524-9","10.1109/LAEDC65721.2025.11288997","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11288997","Low-cost sensors;PM  2.5 ;air quality monitoring;humanitarian technologies","Data acquisition;Focusing;Air pollution;Sensors;Systems support;Microelectronics;Electron devices;Monitoring","","","","22","IEEE","21 Dec 2025","8-10 Oct. 2025","8-10 Oct. 2025","IEEE","IEEE Conferences"
"Finding ϵ-Locally Optimal Solutions for Multiobjective Multimodal Optimization","A. E. Rodriguez-Fernandez; L. Schäpermeier; C. Hernández; P. Kerschke; H. Trautmann; O. Schütze","Department of Computer Science, CINVESTAV-IPN, Ciudad de Mexico, Mexico; Big Data Analytics in Transportation, Technische Universitat Dresde, Dresden, Germany; Ciencias de la computación, Universidad Nacional Autonoma de Mexico Instituto de Investigaciones en Matematicas Aplicadas y Sistemas, Ciudad de Mexico, Mexico; Big Data Analytics in Transportation, Technische Universitat Dresde, Dresden, Germany; Department of Machine Learning and Optimisation, University of Paderborn, Paderborn, Germany; Department of Computer Science, CINVESTAV-IPN, Ciudad de Mexico, Mexico",IEEE Transactions on Evolutionary Computation,"10 Oct 2025","2025","29","5","2019","2031","In this article, we address the problem of computing all locally optimal solutions of a given multiobjective problem whose images are sufficiently close to the Pareto front. Such  $\epsilon $ -locally optimal solutions are particularly interesting in the context of multiobjective multimodal optimization (MMO). To accomplish this task, we first define a new set of interest,  $L_{Q,\epsilon }$ , that is strongly related to the recently proposed set of  $\epsilon $ -acceptable solutions. Next, we propose a new unbounded archiver,  $ArchiveUpdateL_{Q,\epsilon }$ , aiming to capture  $L_{Q,\epsilon }$  in the limit. This archiver can in principle be used in combination with any multiobjective evolutionary algorithm (MOEA). Further, we equip numerous MOEAs with  $ArchiveUpdateL_{Q,\epsilon }$ , investigate their performances across several benchmark functions, and compare the enhanced MOEAs with their archive-free counterparts. For our experiments, we utilize the well-established metrics HV, IGDX, and  $\Delta _{p}$ . Additionally, we propose and use a new performance indicator,  $I_{\mathrm { EDR}}$ , which results in comparable performances but which is applicable to problems defined in higher dimensions (in particular in decision variable space).","1941-0026","","10.1109/TEVC.2024.3458855","European Research Center for Information Systems (ERCIS); CONAHCYT to pursue his Postdoc Fellowship at the CINVESTAV-IPN; Center for Scalable Data Analytics and Artificial Intelligence (ScaDS.AI) Dresden/Leipzig; Research Provided by UNAM’s Project PAPIIT(grant numbers:IA102923); CONAHCYT Project(grant numbers:CBF2023-2024-1463); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677365","Evolutionary computation;local solutions;multimodal optimization (MMO);multiobjective optimization","Optimization;Evolutionary computation;Approximation algorithms;Benchmark testing;Vectors;Surveys;Pareto optimization","","8","","79","IEEE","11 Sep 2024","Oct. 2025","","IEEE","IEEE Journals"
"Transforming Software Development: A Study on the Integration of Multi-Agent Systems and Large Language Models for Automatic Code Generation","R. Ramírez-Rueda; E. Benítez-Guerrero; C. Mezura-Godoy; E. Bárcenas","Facultad de Estadística e Informática, Universidad veracruzana, Xalapa, Mexico; Facultad de Estadística e Informática, Universidad veracruzana, Xalapa, Mexico; Facultad de Estadística e Informática, Universidad veracruzana, Xalapa, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, México",2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),"18 Dec 2024","2024","","","11","20","This paper explores the integration of Multi-Agent Systems (MAS) and Large Language Models (LLMs) for auto-matic code generation, addressing the limitations of traditional manual coding. By conducting a comprehensive review of existing literature and analyzing a practical case study, we demonstrate how MAS and LLMs can collaboratively enhance software development processes. The research focuses on the technical and theoretical challenges of this integration, highlighting the potential for improved productivity, adaptability, and quality in code generation. The findings contribute to AI-based software engineering by revealing new research directions in collective intelligence and automated programming.","","979-8-3315-3211-6","10.1109/CONISOFT63288.2024.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795597","Multi-Agent;Generative AI;LLM;Software Development","Productivity;Technological innovation;Codes;Large language models;Collective intelligence;Software;Standards;Software development management;Software engineering;Multi-agent systems","","1","","29","IEEE","18 Dec 2024","28 Oct.-1 Nov. 2024","28 Oct.-1 Nov. 2024","IEEE","IEEE Conferences"
"A Framework for Dynamic User Modeling Integrating Data Stream Mining and Process Mining in Educational Contexts","M. Yesenia Zavaleta-Sanchez; E. Benitez-Guerrero; G. Gilberto Molero-Castillo; C. Mezura-Godoy; L. Gerardo Montane-Jimenez","Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Departamento de Computación, Facultad de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico",IEEE Access,"26 Sep 2025","2025","13","","166078","166103","A user model (UM) is a representation of the characteristics, behaviors, and preferences of a user that a computer system utilizes to provide the user with personalized experiences. In educational settings, for instance, a system can use information about the Learning Styles (LSs) of a student to provide them with adequate study materials. Furthermore, with the growing use of Learning Management System (LMS) platforms, such as Moodle, continuous streams of user data highlight the need to compute student models dynamically to support adaptive decision-making in teaching and learning. This paper introduces a framework for Dynamic User Modeling (DUMING) to create evolving Dynamic User Models (DUMs) that capture and adapt to changes in student LSs over time, based on event log streams from an LMS. This framework leverages the Felder and Silverman Learning Styles Model (FSLSM) and integrates Data Stream Mining (DSM) and Process Mining (PM) techniques across three layers: collection, preprocessing, and mining. Collected event streams are processed within landmark windows and classified into High-Level Events (HLEs) based on LMS functionality. The STREAMKMeans algorithm clusters events, and the PM phase uses Alpha Miner (AM), Heuristic Miner (HM), and Inductive Miner (IM) algorithms to identify learning paths represented as Petri Nets (PNs), with IM showing the highest values in the quality metrics used. Implemented and evaluated in a course using Moodle at the Universidad Veracruzana in Mexico, the framework employs IF-THEN rules to relate HLE proportions to FSLSM-based LSs, visualizing changes through radar charts. The results demonstrate the effectiveness of the framework in generating adaptive DUMs, providing insights that enhance over time educational support and enable timely interventions.","2169-3536","","10.1109/ACCESS.2025.3611957","National Council of Humanities, Sciences, and Technologies (CONAHCYT, Mexico)(grant numbers:743385); CONAHCYT, in the Scope of the Project “Infraestructura para Agilizar el Desarrollo de Sistemas Centrados en el Usuario” (Cátedras)(grant numbers:3053); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11173584","Clustering data stream mining;dynamic user modeling;educational data mining;learning styles;process mining","Adaptation models;Data models;Computational modeling;Context modeling;Time division multiplexing;Heuristic algorithms;Visualization;Process mining;Sensors;Clustering algorithms","","1","","61","CCBY","19 Sep 2025","2025","","IEEE","IEEE Journals"
"XR for educational anatomy: an Immersive human atlas with chatbot","J. -F. Uhl; P. Reyes; C. Quihuis; P. Belchior; J. Jorge","Director of the UNESCO Chair of Digital Anatomy, Paris Cité University, Paris, France; Universidad Nacional Autónoma de México, México City, México; Instituto Tecnológico y de Estudios Superiores de Monterrey, Mexico City, México; INESC-ID, Tagus Park, Porto Salvo, Portugal; UNESCO Chair on AI & VR, Instituto Superior Técnico, Av Rovisco Pais, Lisboa, Portugal",2025 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),"24 Apr 2025","2025","","","1016","1020","Immersive reality has emerged as a groundbreaking and promising approach for teaching anatomy, providing unique learning experiences while complementing traditional educational methods. Existing immersive software, such as Organon® and HoloLens®, offer valuable tools but remain limited in anatomical detail and interactivity. We present a novel educational approach: an immersive human atlas that integrates anatomical slices from the Visible Korean Human dataset (male and female) into a 3D environment. This platform enhances anatomical visualization and incorporates a Large Language Model (LLM) to support user interaction and understanding. By combining precise anatomical slices within the 3D model, the atlas provides an enriched and comprehensive learning experience for medical education.","","979-8-3315-1484-6","10.1109/VRW66409.2025.00205","Fundação para a Ciência e a Tecnologia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10972851","Extended Reality;Immersive Environments;Anatomy Education;Large Language Models;Cross Computing","Visualization;Solid modeling;Three-dimensional displays;Extended reality;Large language models;Conferences;Education;User interfaces;Software;Anatomy","","","","18","IEEE","24 Apr 2025","8-12 March 2025","8-12 March 2025","IEEE","IEEE Conferences"
"Web Interface Design for the Intelligent Management of a Differential Robot Applied to IoT Systems","M. A. Ibarra-Yáñez; G. H. López-Mera; R. D. Cruz-Morales; A. A. Luna-Gómez","ITSE, FESC-UNAM, Cuautitlán Izcalli, México; Electrónica, FESC-UNAM, Cuautitlán Izcalli, México; Eléctrica, FESC-UNAM, Cuautitlán Izcalli, México; Electrónica, FESC-UNAM, Cuautitlán Izcalli, México",2025 XXVII Robotics Mexican Congress (COMRob),"3 Dec 2025","2025","","","68","73","Human-robot interaction is a core pillar in mobile robotics for efficient and diverse product development. This paper provides an advanced web-based control interface for a differential robot which allows full management and real-time monitoring of its behavior. It operates through an ESP32 microcontroller where both sides communicate with a web client using the WebSocket protocol. There are three operating modes: manual by sliders, autonomous navigation toward distinct (X, Y) coordinates, and a pioneering trajectory-tracking mode that lets the operator generate a path directly on a digital canvas. Also, the user interface has a monitoring panel with real-time information on such things as motor RPM, position, and robot orientation, all supported by dynamic charts. Differential kinematics and sensor fusion enable hardware and software integration by merging encoder-based odometry with an IMU for more precise positioning. The final outcome is a powerful, intuitive, and flexible platform which serves as a solid basis for future applications in autonomous exploration, logistics, and educational environments.","","979-8-3315-7591-5","10.1109/COMRob68109.2025.11264804","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11264804","Differential robot;web interface;control;monitoring;WebSocket;ESP32;odometry;IMU;sensor fusion","Robot kinematics;Sensor fusion;Real-time systems;Hardware;Software;Routing protocols;Trajectory;Odometry;Robots;Monitoring","","","","11","IEEE","3 Dec 2025","12-14 Nov. 2025","12-14 Nov. 2025","IEEE","IEEE Conferences"
