"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Protection Of Sensitive Personal Information Contained In Digital Files Held By Individuals With Homomorphic Encryption And AI Assistance","E. A. Villegas-Jiménez; A. Romo-Cabrera; M. A. Manzano-Calixto; L. M. Tello-Aguilera; A. K. Sánchez-Mata; A. Robles-Guerrero; P. M. Hernández-Ruiz","Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","9 Apr 2026","2025","","","1","6","In today’s digital landscape, the exchange of sensitive personal data via mobile devices is widespread, yet inadequate safeguards often expose users to risks such as identity theft and online harassment. This research introduces Kamplae, a system crafted in Python and deployed through a Flask-based REST API, employing homomorphic encryption and artificial intelligence to protect personal information embedded in digital images. Kamplae secures metadata and bitmap content in jpeg, jpg, and png formats, adhering to legal standards in Mexico and the European Union.The study reviews prior work on personal data protection and the challenges posed by deep fakes, emphasising the need for robust regulatory frameworks to counter digital violence. It explores various encryption methods—symmetric, asymmetric, and hybrid—alongside relevant legal provisions across regions.Kamplae aims to prevent image misuse and foster a secure, ethical digital environment. While promising, it highlights areas for enhancement, such as broader format support and user interface refinement, with limitations tied to specific format compatibility and mobile performance.","","979-8-3315-3559-9","10.1109/ICECET63943.2025.11472089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11472089","deep fake;encryption;hormomorphic encryption;artificial intelligence;symmetric encryption;asymmetric encryption;multimedia files","Filtering;Filters;Deepfakes;Protocols;Videos;Cyberspace;Mobile handsets;Social computing;Cyberbullying;Communication systems","","","","31","IEEE","9 Apr 2026","3-6 July 2025","3-6 July 2025","IEEE","IEEE Conferences"
"Symmetric Cipher for Grayscale Images Based on Quantum Differential Geometry","E. Gonzalez-Ramos; L. Olvera-Martinez; M. Cedillo-Hernandez; C. Diaz-Rodriguez; L. Faustino-Morales","Instituto Politecnico Nacional, SEPI ESIME Culhuacan Ciudad de Mexico, Mexico; Instituto Politecnico Nacional, SEPI ESIME Culhuacan Ciudad de Mexico, Mexico; Instituto Politecnico Nacional, SEPI ESIME Culhuacan Ciudad de Mexico, Mexico; Instituto Politecnico Nacional, SEPI ESIME Culhuacan Ciudad de Mexico, Mexico; Facultad de Ciencias Ciudad de Mexico, Universidad Nacional Autonoma de Mexico, Mexico","2024 21st International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)","4 Dec 2024","2024","","","1","6","The increase in information technologies has generated the need to implement new methodologies to secure the exchange of information. This paper proposes a cryptographic algorithm based on the use of quantum differential geometry operators. These operators exhibit mathematical behaviors similar to quantum behavior, with the advantage that specialized equipment is not required to perform the encryption process. The algorithm is composed of two phases: In the first phase, a subkey is generated through an addition and multiplication process in Z_16 based on a user-defined key. In the second phase, three types of fundamental quantum operators are employed: creation, annihilation, and crossing, which are sequentially connected. The specific selection and configuration of these operators are based on their ability to avoid generating correlation between the data. The method proposed in this work is implemented using grayscale images, obtaining the Peak Signal-to-Noise Ratio (PSNR), the Structural Similarity Index Measure (SSIM), and the Correlation Value, in order to evaluate the fidelity and integrity of the recovered images.","2642-3766","979-8-3503-7754-5","10.1109/CCE62852.2024.10770909","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10770909","Subkey Generation;Quantum Operators;Grayscale Images;Configurable Cipher;Finite Fields","Geometry;Ciphers;Visualization;PSNR;Correlation;Quantum computing;Merging;Gray-scale;Encryption;Proposals","","","","9","IEEE","4 Dec 2024","23-25 Oct. 2024","23-25 Oct. 2024","IEEE","IEEE Conferences"
"Ownership Authentication and Clinical Data Backup in DICOM Images via Robust Watermarking and Binary Data Hiding","A. A. Lopez-Martinez; E. Fragoso-Navarro; M. Cedillo-Hernandez; F. Garcia-Ugalde","SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; Universidad Nacional Autonoma de Mexico, CDMX, Mexico",2025 10th International Conference on Frontiers of Signal Processing (ICFSP),"29 Jan 2026","2025","","","32","36","Medical information is very important and delicate due to its relevance in clinical diagnosis, treatments, research and other commercial and non-commercial applications of governmental and private organizations. Recent advances in information and communication technologies have transformed the paradigm of medical data management, but also introduced new risks related to unauthorized access, manipulation, and distribution. To solve part of these problems, this paper proposes a method that employs two information security levels based on robust watermarking and binary data hiding, respectively. Firstly, clinical data is embedded into a logo using binary data hiding. Then, this logo is inserted into the spatial domain of a medical image through block segmentation, statistical information, and convolutional encoding for ownership authentication. Experimental results demonstrate logo robustness against JPEG DICOM compression in conjunction with aggressive attacks like cropping and copy-move, using bit error rate as a metric. The imperceptibility has been measured via peak signal-to-noise ratio and structural similarity index metrics.","","979-8-3315-7442-0","10.1109/ICFSP67350.2025.11353575","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353575","Robust watermarking;Binary data hiding;DICOM imaging;Information security;Ownership authentication;Convolutional encoding","Measurement;Image coding;Bit error rate;Authentication;Transform coding;Information security;Watermarking;Robustness;DICOM;Medical diagnostic imaging","","","","17","IEEE","29 Jan 2026","10-12 Sept. 2025","10-12 Sept. 2025","IEEE","IEEE Conferences"
"Color Image Protection via Quantum Encryption and HVS-Based Mini-Block Data Hiding","L. Olvera-Martinez; M. Cedillo-Hernandez; C. Diaz-Rodriguez; L. Faustinos-Morales","Instituto Politécnico Nacional Escuela Superior de Ingeniería, Mecánica y Eléctrica Unidad Culhuacan, CDMX, México; Instituto Politécnico Nacional Escuela Superior de Ingeniería, Mecánica y Eléctrica Unidad Culhuacan, CDMX, México; Instituto Politécnico Nacional Escuela Superior de Ingeniería, Mecánica y Eléctrica Unidad Culhuacan, CDMX, México; Universidad Nacional Autónoma de Mexico, CDMX, Mexico",2025 10th International Conference on Frontiers of Signal Processing (ICFSP),"29 Jan 2026","2025","","","16","20","With the growing demand for secure and efficient digital image processing, the integration of data hiding and encryption techniques has become essential to ensure both confidentiality and integrity of visual information. This paper proposes a hybrid approach that combines a low complexity steganographic scheme for binary and color images with a computationally efficient encryption technique inspired by quantum operators. In the data hiding component, an RGB channel of a color image is selected, and its least significant bit plane is extracted. This bit plane is then divided into suitable blocks, and HVS-based encoding tables are used to embed the information within these blocks, achieving high embedding capacity while preserving visual quality. In parallel, the encryption stage operates on color images and is based on a novel operator model that simulates quantum behaviors such as creation, exchange, and annihilation, enabling effective protection without requiring intensive mathematical processing. Experimental validation confirms the robustness of the combined approach through quality metrics such as PSNR, SSIM and entropy.","","979-8-3315-7442-0","10.1109/ICFSP67350.2025.11353827","Instituto Politécnico Nacional; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353827","Braided Quantum;Quantum Operators;Dynamic Matrices;Finite Fields","Visualization;Steganography;Signal processing algorithms;Color;Signal processing;Robustness;Real-time systems;Encryption;Data mining;Protection","","","","17","IEEE","29 Jan 2026","10-12 Sept. 2025","10-12 Sept. 2025","IEEE","IEEE Conferences"
"Tensorization of $f$-Divergences","R. Cruz; M. Diaz; F. P. Calmon","Harvard University, Cambridge, MA, USA; Universidad Nacional Autónoma de México, Mexico City, Mexico; Harvard University, Cambridge, MA, USA",2025 IEEE International Symposium on Information Theory (ISIT),"20 Oct 2025","2025","","","1","6","In many applications across statistics, differential privacy, and machine learning, it is necessary to evaluate or bound an $f$-divergence between distributions of random vectors with independent components. Even for relatively simple distributions, such computations can become intractable unless the chosen $f$-divergence tensorizes. In this work, we introduce a formal definition of tensorization for $f$-divergences and present a necessary condition under which such tensorization can occur. Moreover, we demonstrate—under certain assumptions—that the only $f$-divergences admitting a polynomial tensorization formula of degree at most two are, essentially, the KL divergence, cross-entropy, and Hellinger divergences of order $\alpha$. Taken together, our findings represent an initial step toward a complete characterization of $f$-divergences that tensorize.","2157-8117","979-8-3315-4399-0","10.1109/ISIT63088.2025.11195387","National Science Foundation(grant numbers:CIF 2312667,FAI 2040880,CIF 2231707); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11195387","f-divergence;tensorization","Differential privacy;Additives;Total variance;Machine learning;Polynomials;Vectors;Information theory","","","","22","IEEE","20 Oct 2025","22-27 June 2025","22-27 June 2025","IEEE","IEEE Conferences"
"Grid-Forming and BESS: Review of Advances and Challenges","J. Galvez-García; V. Torres-García; J. R. Rodríguez; H. F. Ruíz-Paredes","TecNM/Instituto Tecnológico de Morelia; TecNM/Instituto Tecnológico de Morelia; Universidad Nacional Autónoma de México, UNAM; TecNM/Instituto Tecnológico de Morelia","2025 IEEE International Autumn Meeting on Power, Electronics and Computing (ROPEC)","3 Feb 2026","2025","9","","1","8","The massive integration of renewable energies has drastically reduced mechanical inertia in power systems, compromising frequency stability. In response to this challenge, Grid-Forming Inverters (GFM) and Battery Energy Storage Systems (BESS) emerge as key technologies: the former emulate the inertial response of synchronous generators, while the latter provide fast active power adjustments to maintain frequency at nominal values. In this context, this work presents a review of these technologies, focusing on control strategies for GFM and BESS, with an emphasis on active power injection schemes and primary frequency regulation. Proposed approaches in the literature are reviewed to address operational challenges, such as the dynamic coordination between both technologies and harmonic suppression in weak grids. Furthermore, relevant technological gaps are discussed in areas such as standardization, fault resilience, and cybersecurity, among others, identifying key opportunities for future research. Through a comparative analysis of recent studies, this work synthesizes lessons learned and highlights the main opportunities for the effective integration of GFM and BESS in grids with high renewable penetration.","2573-0770","979-8-3315-7673-8","10.1109/ROPEC68163.2025.11353974","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353974","Inverter Grid-Forming;BESS;RoCoF","Renewable energy sources;Harmonics suppression;Reviews;Power system dynamics;Standardization;Power system stability;Synchronous generators;Stability analysis;Grid forming;Resilience","","","","0","IEEE","3 Feb 2026","12-14 Nov. 2025","12-14 Nov. 2025","IEEE","IEEE Conferences"
"Enhancing the Capacity and Robustness of an LSB Algorithm Using a Novel Insertion Method, Hashing Function, and Secret Key","A. I. H. Al-Jarah; J. L. Ortega-Arjona","Postgraduate in Science and Computing Engineering, National Autonomous University of Mexico (UNAM), Mexico City, Mexico; Mathematics Department, Science Faculty, National Autonomous University of Mexico (UNAM), Mexico City, Mexico",IEEE Access,"6 Nov 2024","2024","12","","159534","159544","Steganography hides a secret message inside another medium (cover-image) while maintaining imperceptibility and/or robustness/embedding capacity, making it a suitable candidate for keeping information safe and hiding the existence of data itself inside another medium. Secret data is susceptible to attacks or may be modified while steg-image is transiting through the Internet. The present paper explains how secret key steganography uses a new insertion method to hide information inside an image and a hashing function applied on the secret data. The SHA 256 function detects errors in data and assures its arrival without modifications. The proposed algorithm improves the security level by adding a robustness parameter (secret key and hash function) and creating a new insertion method that doubles the cover-image capacity to hide a secret message inside a color image compared with LSB, useful for keeping sensitive, relevant, and important information invulnerable. The results are compared with the LSB algorithm and related work in terms of the peak signal to noise ratio (PSNR) values, cover-image maximum capacity (MX), image quality index (Q), bit per pixel (BPP), processing time and robustness, showing that the proposed algorithm has a great balance between capacity and PSNR (big capacity with high PSNR level). It also increases the robustness level using secret key and hash function without affecting image imperceptibility. The proposed algorithm speed is outstanding, despite having complex calculations. This makes it eligible to be used in online platforms.","2169-3536","","10.1109/ACCESS.2024.3483832","Consejo Nacional de Ciencia y Tecnología México (CONACYT); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10723287","Hiding data;image steganography;improve capacity;insertion method;robustness;secret key steganography;steganography","Steganography;Robustness;Image color analysis;PSNR;Receivers;Transforms;Payloads;Discrete cosine transforms;Color;Vectors","","7","","25","CCBYNCND","21 Oct 2024","2024","","IEEE","IEEE Journals"
"$\mathrm{E}_{\gamma}$-Mixing Time","B. Zamanlooy; S. Asoodeh; M. Diaz; F. P. Calmon","Department of Computing and Software, McMaster University, Canada; Department of Computing and Software, McMaster University, Canada; IIMAS, Universidad Nacional Autónoma de México, Mexico; School of Engineering and Applied Sciences, Harvard University, USA",2024 IEEE International Symposium on Information Theory (ISIT),"19 Aug 2024","2024","","","3474","3479","We investigate the mixing times of Markov kernels under $\mathsf{E}_{\gamma}-\mathbf{divergence}$. We demonstrate that the zero-error $\mathsf{E}_{\gamma}- \mathbf{mixing}$ time, for any $\gamma > 1$, of irreducible and aperiodic Markov chains, is bounded, a property that is not shared by the TV-mixing time. We further obtain upper bounds on the $\mathsf{E}_{\gamma}-\mathbf{mixing}$ times for a broad family of contractive Markov kernels via a new non-linear strong data processing inequality for the $\mathsf{E}_{\gamma}- \mathbf{divergence}$. We apply our results to derive new bounds for the local differential privacy guarantees offered by the sequential application of a privacy mechanism to data.","2157-8117","979-8-3503-8284-6","10.1109/ISIT57864.2024.10619250","NSF(grant numbers:CAREER-1845852,CIF-1900750,CIF-2231707,CIF-2312667); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10619250","","Differential privacy;Upper bound;Data processing;Kernel;Information theory","","","","30","IEEE","19 Aug 2024","7-12 July 2024","7-12 July 2024","IEEE","IEEE Conferences"
"Detection of DoS and DDoS Attacks Using LSTM in Computer Networks: A Systematic Literature Review","A. E. Godínez; J. L. Garza Rivera; D. T. Varela","CDMX, Universidad Da Vinci, México; CDMX, Universidad Da Vinci, México; Facultad de Estudios Superiores Cuautitlán, Universidad Nacional Autónoma de México, Cuautitlan Izcalli, México",2025 IEEE Latin American School on Computational Intelligence and Robotics (SAIBOT),"22 Jan 2026","2025","","","94","102","Artificial Intelligence (AI), with machine learning (ML) models and deep learning (DL) neural networks, represents a possibility for detecting DoS/DDoS attacks more effectively. The LSTM (Long Short-Term Memory) model is one of the options for detecting these increasingly varied and sophisticated attacks. The objective of this research was to evaluate the application of the LSTM model in the detection of DoS and DDoS cyber attacks on communications networks. This research was designed as a Systematic Literature Review to obtain the most recent studies on the subject. As a result, 86 initial studies were obtained from the databases. Once the entire procedure, including the quality assessment of the studies, was completed, 15 final primary studies were selected. With these primary studies, it was possible to answer all the questions in the review. It should be noted that modern SDN (Software Defined Network) networks, Cloud Computing networks, and classic networks are threatened by this type of attack. The LSTM models applied in the detection of DoS/DDoS attacks can be hybrid or combined. The most commonly used evaluation metrics are Accuracy, Recall, Precision, and F1-Score, and the most frequently found public datasets include NSL-KDD, CICDoS2019, and CICIDS2017. A wide variety of LSTM-based models and approaches that can be used to experiment and compare their performance in terms of communications network security.","","979-8-3315-8719-2","10.1109/SAIBOT67519.2025.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11344499","Long short term memory;Systematic literature review;Machine learning;Denial-of-service attack;Network security","Measurement;Computational modeling;Denial-of-service attack;NSL-KDD;Market research;Communication networks;Software defined networking;Long short term memory;Cyberattack;Systematic literature review","","","","21","IEEE","22 Jan 2026","28-31 Oct. 2025","28-31 Oct. 2025","IEEE","IEEE Conferences"
"On the Privacy Guarantees of Differentially Private Stochastic Gradient Descent","S. Asoodeh; M. Diaz","Department of Computing and Software, McMaster University, Canada; IIMAS, Universidad Nacional Autónoma de México, Mexico",2024 IEEE International Symposium on Information Theory (ISIT),"19 Aug 2024","2024","","","380","385","Differentially Private Stochastic Gradient Descent (DP-SGD) is a widely adopted algorithm for privately training machine learning models. An inherent feature of this algorithm is the incorporation of gradient clipping to counteract the influence of individual samples during training. Nevertheless, the introduction of gradient clipping also introduces non-convexity into the problem, rendering it challenging to derive upper bounds on the privacy loss. In this paper, we establish effective upper bounds for the privacy loss of both projected DP-SGD and regularized DP-SGD, without relying on convexity or smoothness assumptions regarding the loss function. Our approach involves a direct analysis of the hockey-stick divergence between coupled stochastic processes through the application of nonlinear data processing inequalities.","2157-8117","979-8-3503-8284-6","10.1109/ISIT57864.2024.10619520","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10619520","","Training;Privacy;Upper bound;Machine learning algorithms;Stochastic processes;Machine learning;Rendering (computer graphics)","","","","17","IEEE","19 Aug 2024","7-12 July 2024","7-12 July 2024","IEEE","IEEE Conferences"
