"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Pseudo-Temporal Modeling with 2D CNNs for Framewise Surgical Gesture Segmentation in Robot-Assisted Surgery","D. Haro-Mendoza; G. A. Castro Vazquez; A. Leonardo Campos Carreras; A. J. Diaz Urias; V. J. Gonzalez-Villela; M. Cedillo-Hernandez; R. E. Arevalo-Ancona","Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Biomedical Systems Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; SEPI ESIME Culhuacán, Instituto Politécnico Nacional, Mexico City, Mexico; SEPI ESIME Culhuacán, Instituto Politécnico Nacional, Mexico City, Mexico","2025 6th International Conference on Communications, Information, Electronic and Energy Systems (CIEES)","25 Dec 2025","2025","","","1","5","Surgical procedures can be decomposed into elementary units (tasks, surgemes, and dexemes) that represent the building blocks of surgical performance. Segmenting gestures at this level is crucial for objective skill assessment and for understanding how simple movements are concatenated to form complete procedures, ultimately supporting the development of training and evaluation systems. In this work, we present a pseudo-temporal modeling approach for surgical gesture segmentation using a 2D ResNet-50 convolutional network trained exclusively on RGB frames. During training, each video was divided into eight equal segments, which were used to feed the network and generate gesture-level probabilities. To optimize learning, an adaptive Exponential Moving Average (EMA) mechanism was applied to stabilize weight updates and reinforce poorly performing gesture classes. At inference, complete surgical videos were processed with an overlapping sliding window of eight frames, where each frame could be evaluated multiple times in different contexts. Frame-level probabilities were averaged across overlapping windows and refined through a temporal mode filter, producing stable and coherent gesture sequences. The method was validated on the JIGSAWS dataset, which includes the Suturing, Knot Tying, and Needle Passing tasks. Results showed reliable recognition across all procedures: Suturing achieved 82.26%, Knot Tying 91.97%, and Needle Passing 79.35%. Training required approximately one hour, and inference on a complete video of 2950 frames was performed in about 45 seconds, also generating a labeled output video. By relying solely on 2D convolutions and RGB input, the approach achieves accurate and efficient segmentation with low computational cost, making it suitable for surgical training environments with limited resources and applicable in near real-time scenarios.","","979-8-3315-0119-8","10.1109/CIEES66347.2025.11300252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11300252","surgical gesture segmentation;pseudo-temporal modeling;2d convolutional neural networks;resnet 50;exponential moving average","Training;Adaptation models;Accuracy;Computational modeling;Surgery;Needles;Real-time systems;Windows;Convolutional neural networks;Videos","","","","13","IEEE","25 Dec 2025","26-28 Nov. 2025","26-28 Nov. 2025","IEEE","IEEE Conferences"
"Passive Fault-Tolerant Control via Sliding-Mode-Based Lyapunov Redesign","M. A. Estrada; L. Fridman; J. A. Moreno","Department of Robotics and Control, Engineering Faculty, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Robotics and Control, Engineering Faculty, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Instituto de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico",IEEE Transactions on Automatic Control,"26 Sep 2024","2024","69","10","6777","6788","This article presents an innovative framework for passive fault-tolerant control (FTC) based on the Lyapunov redesign utilizing sliding mode controllers (SMC). The article introduces three schemes for passive FTC design. First, it advocates employing the Lyapunov redesign in the FTC design with the unit SMC, resulting in a generation of a discontinuous control signal. The article establishes novel conditions for system insensibility concerning the norm of actuator faults. To address chattering and reduce energy consumption, an alternative FTC design is proposed, leveraging a multivariable version of the super-twisting algorithm, which generates a continuous signal. Additionally, a novel methodology for gain selection is developed to ensure increased tolerance to actuator faults. Finally, a new multivariable version of the Lipschitz algorithm, based on the classical twisting controller, is formulated and applied to passive FTC through the Lyapunov redesign, promising a reduced level of chattering and energy consumption compared to the super-twisting algorithm. The efficacy of the proposed FTC schemes is illustrated through simulation examples, highlighting both their advantages and potential limitations in practical applications.","1558-2523","","10.1109/TAC.2024.3382608","CONACyT; Consejo Nacional de Ciencia y Tecnología(grant numbers:833748); PAPIIT-UNAM(grant numbers:IN106622,IN106323); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10480530","Fault-tolerant control (FTC);robust control;sliding-mode control","Actuators;Perturbation methods;Uncertainty;Lyapunov methods;Trajectory;Fault tolerant systems;Fault tolerance","","24","","54","IEEE","27 Mar 2024","Oct. 2024","","IEEE","IEEE Journals"
"Calibration of Friction and Roughness in an Urban Water Distribution Network Using an LSTM Neural Network-Based Framework","L. Gómez-Coronel; L. Torres; I. Santos-Ruiz; J. Blesa; R. G. Ramírez-Chavarría","TURIX-Dynamics Diagnosis and Control Group, Tecnológico Nacional de México, I.T. Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas, Mexico; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; TURIX-Dynamics Diagnosis and Control Group, Tecnológico Nacional de México, I.T. Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas, Mexico; Institut de Robòtica i Informàtica Industrial (IRI). UPCC-SIC., Barcelona, Spain; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico",2025 6th International Conference on Control and Fault-Tolerant Systems (SysTol),"3 Dec 2025","2025","","","284","289","This paper proposes a method to estimate both the friction factor and the roughness coefficient of the pipes in a water distribution network (WDN). Pressure head data is used for the training of a Long-Short Term Memory (LSTM) neural network to predict the pressure head at all of the other nodes in the network, as well as the flow rate through the pipes. When all the data is predicted, the estimated pressure head drops, and the flow rate for the entire water distribution network is used to compute both the friction factor and the flow rate. The proposed method is tested using the well-known Hanoi DMA (District Metered Area) as a case study. Satisfactory results are obtained when comparing the predicted friction factor and roughness coefficient against the expected values.","2162-1209","978-1-6654-5771-2","10.1109/SysTol66549.2025.11267298","Tecnológico Nacional(grant numbers:IT1000724); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11267298","","Training;Friction;Neural networks;Estimation;Process control;Distribution networks;Predictive models;Calibration;Sensors;Long short term memory","","","","14","IEEE","3 Dec 2025","6-8 Oct. 2025","6-8 Oct. 2025","IEEE","IEEE Conferences"
"A Reasoning System for Graded Modal Logic","R. López-Villafán; E. Bárcenas","IIMAS: Posgrado en Ciencia e lngeniería de la Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingenería: Dpto. de Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico",2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),"18 Dec 2024","2024","","","228","236","In this paper, we propose a deduction system for the modal logic $\mathbf{K}$ with graded modalities, which is obtained by adding numerical constraints to the modal operators. Graded modalities can be seen as a generalization of traditional modal operators since they include numerical bounds in the modalities, thus enabling the formal treatment of more detailed expressions, such as “there are at least $n+1$ individuals satisfying a certain property”, where $n$ is a natural number. This kind of properties commonly arise in contexts such as concurrent systems: “if at least 3 processors are free, then proceed to compute the next task”, or epistemic logic:”if more than 2 people know $P$, then $P$ is known”. The system is based on the notion of tree-hypersequents. We show the system is correct, i.e. sound and complete.","","979-8-3315-3211-6","10.1109/CONISOFT63288.2024.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795561","graded modalities;proof theory;hypersequents;automated reasoning","Technological innovation;Interpolation;Program processors;Computational modeling;Syntactics;Cognition;Numerical models;Logic;Iterative methods;Formal verification","","","","21","IEEE","18 Dec 2024","28 Oct.-1 Nov. 2024","28 Oct.-1 Nov. 2024","IEEE","IEEE Conferences"
"Real-time Ocean Probabilistic Forecasts, Reachability Analysis, and Adaptive Sampling in the Gulf of Mexico","P. F. J. Lermusiaux; P. J. Haley; C. Mirabito; E. M. Mule; S. F. DiMarco; A. Dancer; X. Ge; A. H. Knap; Y. Liu; S. Mahmud; U. C. Nwankwo; S. Glenn; T. N. Miles; D. Aragon; K. Coleman; M. Smith; M. Leber; R. Ramos; J. Storie; G. Stuart; J. Marble; P. Barros; E. P. Chassignet; A. Bower; H. H. Furey; B. J. de la Cruz; L. K. Shay; M. Tenreiro; E. P. Sanz; J. Sheinbaum; P. Perez-Brunius; D. Wilson; J. van Smirren; R. Monreal-Jiménez; D. A. Salas-de-León; V. K. C. Tereza; M. Feldman; M. Khadka","Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Woods Hole Group, Inc.; Woods Hole Group, Inc.; Woods Hole Group, Inc.; Fugro; Fugro; Fugro; Department of Earth, Ocean and Atmospheric Science, Florida State University; Physical Oceanography, Woods Hole Oceanographic Institution; Physical Oceanography, Woods Hole Oceanographic Institution; Rosenstiel School of Marine, Atmospheric, and Earth Science, University of Miami; Rosenstiel School of Marine, Atmospheric, and Earth Science, University of Miami; Department of Oceanography, CICESE; Department of Oceanography, CICESE; Department of Oceanography, CICESE; Department of Oceanography, CICESE; University of the Virgin Islands; Ocean Sierra; Universidad Nacional Autónoma de México; Universidad Nacional Autónoma de México; Mexican Institute of Water Technology; Gulf Research Program, NASEM; Gulf Research Program, NASEM",OCEANS 2024 - Halifax,"25 Nov 2024","2024","","","1","10","The first steps towards integrating autonomous monitoring, probabilistic forecasting, reachability analysis, and adaptive sampling for the Gulf of Mexico were demonstrated in real-time during the collaborative Mini-Adaptive Sampling Test Run (MASTR) ocean experiment, which took place from February to April 2024. The emphasis of this contribution is on the use of the MIT Multidisciplinary Simulation, Estimation, and Assimilation Systems (MSEAS) including Error Subspace Statistical Estimation (ESSE) large-ensemble forecasting and path planning systems to predict ocean fields and uncertainties, forecast reachable sets and optimal paths for gliders, and guide sampling aircraft and ocean vehicles toward the most informative observations. Deterministic and probabilistic ocean forecasts are exemplified and linked to the variability of the Loop Current (LC) and LC Eddies, demonstrating predictive skill by real-time comparisons to independent data. Risk forecasts in terms of probabilities of currents exceeding 1.5 kt were provided. The most informative sampling patterns for Remote Ocean Current Imaging System (ROCIS) flights were forecast using mutual information between surface currents and density anomaly. Finally, we guided four underwater gliders using probabilistic reachability and path-planning forecasts.","2996-1882","979-8-3315-4008-1","10.1109/OCEANS55160.2024.10754153","National Academies of Sciences, Engineering, and Medicine(grant numbers:2000013149); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10754153","Ocean modeling;probabilistic forecasting;predictability;forecast skill;data assimilation;path planning;adaptive sampling;mutual information;ocean gliders;aircraft","Oceans;Atmospheric modeling;Estimation;Predictive models;Probabilistic logic;Real-time systems;Wind forecasting;Reachability analysis;Integrated circuit modeling;Forecasting","","6","","92","IEEE","25 Nov 2024","23-26 Sept. 2024","23-26 Sept. 2024","IEEE","IEEE Conferences"
"Real-Time Probabilistic Reachability Forecasting for Gliders in the Gulf of Mexico","E. M. Mule; P. J. Haley; C. Mirabito; S. F. DiMarco; S. Mahmud; A. Dancer; X. Ge; A. H. Knap; Y. Liu; U. C. Nwankwo; S. Glenn; T. N. Miles; D. Aragon; K. Coleman; M. Smith; M. Leber; R. Ramos; J. Storie; G. Stuart; J. Marble; P. Barros; E. P. Chassignet; A. Bower; H. H. Furey; B. J. De La Cruz; L. K. Shay; M. Tenreiro; E. P. Sanz; J. Sheinbaum; P. Perez-Brunius; D. Wilson; J. Van Smirren; R. Monreal-Jiménez; D. A. Salas-de-León; V. K. C. Tereza; M. Feldman; M. Khadka; P. F. J. Lermusiaux","Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Woods Hole Group, Inc.; Woods Hole Group, Inc.; Woods Hole Group, Inc.; Fugro; Fugro; Fugro; Department of Earth, Ocean and Atmospheric Science, Florida State University; Physical Oceanography, Woods Hole Oceanographic Institution; Physical Oceanography, Woods Hole Oceanographic Institution; Rosenstiel School of Marine, Atmospheric, and Earth Science, University of Miami; Rosenstiel School of Marine, Atmospheric, and Earth Science, University of Miami; Department of Oceanography, CICESE; Department of Oceanography, CICESE; Department of Oceanography, CICESE; Department of Oceanography, CICESE; University of the Virgin Islands; Ocean Sierra; Universidad Nacional Autónoma de Mexico; Universidad Nacional Autónoma de Mexico; Mexican Institute of Water Technology; Gulf Research Program, NASEM; Gulf Research Program, NASEM; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA",OCEANS 2024 - Halifax,"25 Nov 2024","2024","","","1","10","As part of the Mini-Adaptive Sampling Test Run (MASTR) experiment in the Gulf of Mexico (GoM) region from February to April 2024, we demonstrated real-time deterministic and probabilistic reachability analysis and time-optimal path planning to guide a fleet of four ocean gliders. The governing differential equations for reachability analysis and time-optimal path planning were numerically integrated in real-time and forced by currents from our large-ensemble ocean forecasts. We illustrate the real-time deterministic and probabilistic forward reachability analyses, reachability and path planning for glider pickups, time-optimal path planning for gliders in distress, and planning of future glider deployments. Results show that the actual paths of gliders were contained within our reachable set forecasts and in accord with the dynamic reachability fronts. Our time-optimal headings and paths also predicted real glider motions, even for longer-range predictions of weeks to a month duration. Reachability and time-optimal path planning forecasts were successfully employed for glider recovery. They also enabled exploring options for future glider deployments.","2996-1882","979-8-3315-4008-1","10.1109/OCEANS55160.2024.10754057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10754057","Ocean forecasting;sea glider;path planning;reachability analysis;probabilistic forecasting;adaptive sampling","Uncertainty;Oceans;Dynamics;Differential equations;Probabilistic logic;Path planning;Real-time systems;Hazards;Reachability analysis;Vehicle dynamics","","3","","91","IEEE","25 Nov 2024","23-26 Sept. 2024","23-26 Sept. 2024","IEEE","IEEE Conferences"
"Real-time inertia estimation via ARMAX model representation and synchrophasor measurements","A. Sanchez-Ocampo; M. R. Arrieta Paternina; J. M. Ramos-Guerrero; G. E. Mejia-Ruiz; J. M. Ramirez-Arredondo; L. Lugnani; F. Munguia-Perez; A. Zamora-Mendez; J. R. Rodriguez-Rodriguez","Centre for Research and Advanced Studies, MX; National Autonomous University of Mexico (UNAM), MX; National Autonomous University of Mexico (UNAM), MX; National Autonomous University of Mexico (UNAM), US; Centre for Research and Advanced Studies, MX; University of Campinas, BR; National Autonomous University of Mexico (UNAM), MX; Universidad Michoacana San Nicolas de Hidalgo, MX; National Autonomous University of Mexico (UNAM), MX",IEEE Latin America Transactions,"22 Apr 2025","2025","23","5","405","414","This paper introduces the real-time implementation with the actual hardware architecture environment (HAE) of an online estimation method that tracks the equivalent time-varying inertia in power systems. The proposed method enables automated and accurate inertia estimation, exploiting the ARMAX model representation and the Teager-Kaiser energy operator (TKEO) disturbance time detector. The effectiveness and high accuracy of the proposed framework are successfully validated in laboratory conditions with actual synchronised measurements from Phasor Measurement Units (PMUs) over a real-time emulated New England 39-bus system. The estimate is achieved with a relative error ranging from 0.1% to 7%, even under noisy conditions and atypical measurement values. The literature reviewed does not report any estimation method that is more accurate than the one proposed in this work.","1548-0992","","10.1109/TLA.2025.10974367","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10974367","Inertia estimation;Frequency response;PMU;Online estimation","Estimation;Mathematical models;Phasor measurement units;Real-time systems;Power system stability;Frequency measurement;Accuracy;Time measurement;Noise measurement;Power system dynamics","","5","","","IEEE","22 Apr 2025","May 2025","","IEEE","IEEE Journals"
"Cloud Computing Integration for Leak Diagnosis Using Meta-Heuristic Methods for Water Distribution Networks","L. A. Sánchez-Mejía; L. Gómez-Coronel; J. Blesa; L. Torres; I. Santos-Ruiz","TURIX-Dynamics Diagnosis and Control Group, Tecnológico Nacional de México, I.T. Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas, Mexico; TURIX-Dynamics Diagnosis and Control Group, Tecnológico Nacional de México, I.T. Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas, Mexico; Institut de Robòtica i Informàtica Industrial (IRI). UPCCSIC. Llorens i Artigas, Barcelona, Spain; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; TURIX-Dynamics Diagnosis and Control Group, Tecnológico Nacional de México, I.T. Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas, Mexico",2025 6th International Conference on Control and Fault-Tolerant Systems (SysTol),"3 Dec 2025","2025","","","265","270","We present the implementation of a Cloud-Computing-based system for leak diagnosis in a water distribution network. Pressure head/flow rate measured in field is stored and processed in a virtual machine to provide a leak diagnosis in two stages: 1) first the leak is detected by comparing the current operating conditions and expected nominal operating conditions obtained from a previously adjusted simulation model, and 2) the leak exact location and its magnitude are determined using a meta-heuristic method. The performance of the proposed system is implemented for an experimental hydraulic system at a laboratory scale. Results demonstrate a good accuracy in the leak diagnosis metrics at a reduced economic and computational cost, demonstrating the potential results from the implementation of a similar system in a large-scale water distribution network.","2162-1209","978-1-6654-5771-2","10.1109/SysTol66549.2025.11267338","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11267338","","Location awareness;Cloud computing;Costs;Accuracy;Metaheuristics;Distribution networks;Simulated annealing;Virtual machines;Pressure measurement;Resilience","","","","21","IEEE","3 Dec 2025","6-8 Oct. 2025","6-8 Oct. 2025","IEEE","IEEE Conferences"
"AMIND: An Asynchronous Middleware for Improving Neighborhood Discovery in Crowded Networks","J. J. Camacho-Escoto; F. García; O. Arana-Hernández; J. Gomez","Department of Computing, National Autonomous University of Mexico, Mexico City, Mexico; Department of Telecommunications, National Autonomous University of Mexico, Mexico City, Mexico; Department of Telecommunications, National Autonomous University of Mexico, Mexico City, Mexico; Department of Telecommunications, National Autonomous University of Mexico, Mexico City, Mexico",IEEE Access,"4 Oct 2024","2024","12","","140329","140338","Neighbor discovery (ND) is crucial in deploying wireless sensor networks. Despite the considerable research on ND, most studies focus on networks composed of only two nodes. However, for cases in which more than two nodes are involved, the probability of collision increases, potentially preventing a node from discovering all its neighbors. This problem is especially aggravated for ND protocols that exhibit periodic behaviors that can lead to recurring collisions. This behavior is typical of deterministic ND protocols, in which its inherent operation forces regular on/off patterns and cyclical collisions. To address this problem, this paper introduces AMIND, a new middleware capable of disrupting the cyclic behavior of deterministic ND protocols. It achieves this goal by introducing random shifts in their operation, significantly increasing the number of nodes discovered compared to the existing ND protocols. As a result, AMIND allows a node to discover unknown neighbors after each shift. Simulation results show that the proposed middleware enhances node discoveries that previous ND protocols can achieve, even in scenarios with high collision rates.","2169-3536","","10.1109/ACCESS.2024.3466928","Consejo Nacional de Humanidades, Ciencias y Tecnologías with the Grant Program “Ciencia de Frontera 2023”(grant numbers:CF-2023-I-2676); Universidad Nacional Autónoma de México (UNAM)-Programa de Apoyo a Proyectos de Investigación. e Inovación Tecnológica (PAPIIT)(grant numbers:IA102822,IN109624); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10690259","Neighbor discovery;neighborhood;middleware;collisions","Protocols;Middleware;Proposals;Schedules;Urban areas;Synchronization;Energy efficiency;Wireless sensor networks;Nearest neighbor methods","","1","","36","CCBYNCND","24 Sep 2024","2024","","IEEE","IEEE Journals"
"Framework for Training and Deployment Machine Learning Methods in Real-Time Simulator: Short-Term Kinetic Energy Forecasting in Power Systems","J. M. Riquelme-Dominguez; F. Gonzalez-Longatt; J. M. Valles; J. Luis Rueda","Electrical Engineering Department, Universidad de Sevilla, Seville, Spain; Centre for Renewable Energy Systems Technology (CREST)), Loughborough University, Loughborough, United Kingdom; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Department of Electrical Sustainable Energy, Technische Universiteit Delft Delft, Netherlands, Delft, Netherlands",2024 IEEE 22nd Mediterranean Electrotechnical Conference (MELECON),"30 Jul 2024","2024","","","1164","1168","Low-inertia power systems require more innovative operation, control, and protection strategies to maintain the operation secure and reliable. One of the challenges related to these systems is the need for knowledge of the inertia level (kinetic energy stored in the rotating masses) in real time. This paper proposes a framework for training and deploying machine learning methods for real-time power systems’ kinetic energy forecasting. Linear Regression and Long Short-Term Memory methods are implemented in the Python interpreter of the Typhoon HIL 404 real-time simulator for forecasting the kinetic energy of the Nordic Power System in real-time. This paper provides implementation details together with possible future expansions of the framework. Simulation results show that the trained models can predict the kinetic energy in a forecasting horizon of four hours with a Mean Absolute Error lower than other methods currently available in the literature.","2158-8481","979-8-3503-8702-5","10.1109/MELECON56669.2024.10608671","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10608671","Forecasting;Inertia;Kinetic Energy;Machine Learning;Real-Time","Training;Machine learning algorithms;Tropical cyclones;Software algorithms;Machine learning;Predictive models;Real-time systems","","","","15","IEEE","30 Jul 2024","25-27 June 2024","25-27 June 2024","IEEE","IEEE Conferences"
