"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Electrochemical Sensor With Dynamic Self-Calibration for Acetaminophen Detection in Water","B. E. Alvarez-Serna; D. A. Arcos-Santiago; J. A. Uc-Martín; R. G. Ramírez-Chavarría","Instituto de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, México; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, México; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, México; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, México",IEEE Sensors Letters,"29 Jan 2025","2025","9","2","1","4","In this letter, we introduce a self-calibrating electrochemical sensor for water acetaminophen (ACT) detection. The sensor is built upon a graphite pencil lead (GPL) electrode modified with a molecularly imprinted polymer (MIP) to ensure selectivity. Moreover, using a sparse identification scheme, the sensor is equipped with a dynamic calibration algorithm to increase the sensor accuracy in time-dependent measurements. The sensor performance was evaluated under static and dynamic conditions using ACT solutions prepared in tap water as the matrix. As a result, the sensor achieved a detection limit of 9.3 mg/L, proving to be a viable alternative for quantifying emerging concerns in water. Finally, we show how simple but robust sensor models could enhance the performance of online measurements.","2475-1472","","10.1109/LSENS.2025.3528342","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10836916","Sensor systems;dynamic calibration;graphite pencil lead (GPL);molecularly imprinted polymer (MIP);polyaniline (PANI);self-calibrating sensor","Sensors;Electrodes;Sensor phenomena and characterization;Electric potential;Calibration;Heuristic algorithms;Graphite;Data models;Sparse matrices;Reproducibility of results","","2","","18","IEEE","10 Jan 2025","Feb. 2025","","IEEE","IEEE Journals"
"The Yucatan HF Radar Network: A Multinational Technology Demonstration to Advance Monitoring of Western Boundary Currents","M. Smith; S. Glenn; T. Miles; A. H. Knap; S. F. Dimarco; R. M. Jiménez; D. S. de Léon; M. G. Reali; E. Escalante","Center for Ocean Observing Leadership, Rutgers University, New Brunswick, NJ, USA; Center for Ocean Observing Leadership, Rutgers University, New Brunswick, NJ, USA; Center for Ocean Observing Leadership, Rutgers University, New Brunswick, NJ, USA; Geochemical and Environmental Research Group, Texas A&M University, College Station, TX, USA; Geochemical and Environmental Research Group, Texas A&M University, College Station, TX, USA; Facultad de Ciencias, Universidad Nacional Autónoma de México, Mexico City, MX; Instituto de Ciencias del Mar y Limnologia, Universidad Nacional Autónoma de México, Mexico City, MX; Laboratorio de Oceanografía Física, Universidad Nacional Autónoma de México, Mexico City, MX; Laboratorio de Oceanografía Física, Universidad Nacional Autónoma de México, Mexico City, MX",OCEANS 2025 - Great Lakes,"25 Nov 2025","2025","","","1","8","The Yucatan High Frequency Radar (HFR) Network is a trilateral collaboration between the U.S., Mexico, and Cuba designed to monitor surface currents in the Yucatan Channel, a critical segment of the Atlantic Ocean conveyor belt. Two long-range CODAR SeaSonde systems were installed on Isla Contoy and at UNAM's Puerto Morelos facility to provide sustained, near-real-time observations of the Yucatan Current, which feeds the Loop Current and impacts hurricane intensification and climate variability. A key innovation is the use of Automatic Identification System (AIS) ship-tracking data to continuously calibrate receiver antenna patterns, eliminating the need for traditional on-water calibration. Hourly surface currents are processed, quality-controlled using QARTOD standards, and publicly distributed via an ERDDAP server. A derived velocity transect product along the strait's axis is used to analyze flow variability and validate ocean models, which often misrepresent the spatial structure observed by HFR. During the 2024 Mini-Adaptive Sampling Test Run (MASTR), real-time radar products supported autonomous vehicle missions and targeted ship sampling. Expansion to Cuba and additional Mexican sites is underway, positioning the network as a foundation for Caribbeanwide HFR coverage under GOOS and TAC-OOFS to improve ocean forecasting and hurricane prediction.","2996-1882","979-8-218-73628-6","10.23919/OCEANS59106.2025.11245036","National Academies of Sciences Gulf Research Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11245036","High Frequency Radar (HFR);Yucatan Current;Loop Current;AIS calibration;antenna pattern;surface currents;CODAR SeaSonde;model validation;ocean observing;adaptive sampling;data assimilation;Gulf of Mexico;western boundary current;QARTOD","Sea surface;Technological innovation;Oceans;Sea measurements;Hurricanes;High frequency radar;Data models;Calibration;Wind forecasting;Monitoring","","","","8","","25 Nov 2025","29 Sept.-2 Oct. 2025","29 Sept.-2 Oct. 2025","IEEE","IEEE Conferences"
"Entangled Two-Photon Spectroscopy Assisted by Machine Learning","Á. Martínez-Tapia; R. De J. León-Montiel","Instituto de Ciencias Nucleares, Universidad Nacional Autónoma de México, CDMX, Mexico; Instituto de Ciencias Nucleares, Universidad Nacional Autónoma de México, CDMX, Mexico",2025 Conference on Lasers and Electro-Optics (CLEO),"14 Oct 2025","2025","","","1","2","We propose a machine learning protocol to determine the number of intermediate levels participating in a two-photon excitation process. Our method achieves up to 99.713% identification efficiency for systems with one to four intermediate levels.","2160-8989","978-1-957171-50-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11191979","","Spectroscopy;Protocols;Machine learning;Lasers and electrooptics;Laser excitation;Electro-optical waveguides","","","","6","","14 Oct 2025","4-9 May 2025","4-9 May 2025","IEEE","IEEE Conferences"
"Early Predictive Modeling of Engineering Student Attrition: An Ai-Driven Machine Learning Approach","M. F. E. Posadas; N. Á. Esquivel; J. I. V. Sánchez","Division of Physical-Mathematical, Sciences and Engineering, FES Aragón, Universidad Nacional, Autónoma de México, Mexico City, Mexico; Division of Physical-Mathematical, Sciences and Engineering, FES Aragón, Universidad Nacional, Autónoma de México, Mexico City, Mexico; Division of Physical-Mathematical, Sciences and Engineering, FES Aragón, Universidad Nacional, Autónoma de México, Mexico City, Mexico",2025 World Engineering Education Forum - Global Engineering Deans Council (WEEF-GEDC),"1 Dec 2025","2025","","","1","9","Academic trajectory tracking is a crucial tool for evaluating student performance and predicting graduation outcomes. In engineering education, early identification of students at risk of not completing their studies can enable timely intervention. This study focuses on developing an Artificial Intelligence (AI) predictive model for engineering students at the Faculty of Higher Studies Aragón (FES Aragón) of the National Autonomous University of Mexico (UNAM), utilizing a classification approach based on early-semester performance indicators. The goal of this study is to develop an algorithm that can identify students who, based on their academic trajectory patterns, may be at risk of dropping out. By identifying these students early, targeted interventions such as tutoring, remedial courses, and other support strategies can be implemented to help them stay on track and complete their university studies. The dataset consists of academic records from multiple student cohorts. Grades from the first and second semesters were encoded to represent exam attempts and passing conditions. Several Artificial Intelligence based classification models were tested using MATLAB. Feature importance was evaluated through correlation matrices and Parallel Coordinates Plot analysis. Adjusting training-test splits and modifying classification costs were also assessed to enhance model performance. Preliminary results indicate that when using first- and second-semester grades alone, classification accuracy reaches 72.48 %, with models such as the Ensemble Subspace K-Nearest Neighbors demonstrating an Area Under the Receiver Operating Characteristic Curve (AUC) of 0.7827. For prediction incorporating data up to the third semester, models achieved a highest accuracy of 78.85 %, with the Medium Gaussian Support Vector Machines model demonstrating a high AUC of 0.8438. Current work focuses on optimizing the model through feature selection and fine-tuning classification weights to enhance predictive capabilities. This work explores the potential of AI-driven predictive modeling in identifying students at risk of academic attrition. While classification models achieve reasonable accuracy, further refinements are necessary. Future work will investigate the integration of additional contextual factors, such as socioeconomic variables and engagement metrics, to enhance the model's effectiveness.","2837-5025","979-8-3315-8879-3","10.1109/WEEF-GEDC66748.2025.11256450","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11256450","machine learning;predictive modeling;student attrition;student retention;higher education","Support vector machines;Accuracy;Target tracking;Trajectory tracking;Machine learning;Predictive models;Data models;Trajectory;Engineering students;Socioeconomics","","","","19","IEEE","1 Dec 2025","21-25 Sept. 2025","21-25 Sept. 2025","IEEE","IEEE Conferences"
"Data-Driven Power System Linear Model Identification via Quadrature-Based Balanced Truncation","M. R. Arrieta Paternina; J. A. Moreno Corbea; J. M. Ramirez-Arredondo; J. H. Chow; A. Zamora-Mendez","Universidad Nacional Autonoma de Mexico (UNAM), MX; Universidad Nacional Autonoma de Mexico (UNAM), MX; Centro de Investigacion y de Estudios Avanzados del IPN, Unidad Guadalajara, MX; Rensselaer Polytechnic Institute, US; Universidad Michoacana San Nicolas de Hidalgo, MX",IEEE Latin America Transactions,"7 Aug 2025","2025","23","9","787","798","This paper introduces the novel formulation of the quadrature-based balanced truncation (QBBT) method to precisely identify large-scale power system linear models. The QBBT interpolates a directional frequency dataset that is extracted from a dynamic system, following a quadrature rule to be applied from weighted data to derive a linear system model based on approximations of Gramians, and providing an alternative approach to the classic balanced truncation (BT) formulation that makes use of the system model. In this investigation, an accurate theoretical framework is presented to achieve the application of QBBT considering power systems as black-box models. The Boyd/Clenshaw-Curtis (BCC) quadrature rule is implemented by using different adjustments to accurately identify linear models of different order. The attained results and their validation with analytical power system models confirm the method's potential to retail oscillatory dynamics. The QBBT's effectiveness is compared with the Loewner-based frequency interpolation (LBFI) approach and the BT method on the Klein-Rogers-Kundur (KRK) benchmark power system and the equivalent of the New England transmission system - New York power system (NETS-NYPS), achieving a small absolute error in the magnitude of the frequency response of the models of the order of 1x10-3 dB in comparison with other state-of-the-art methods.","1548-0992","","10.1109/TLA.2025.11119494","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11119494","balanced truncation;quadrature rules;system identification;directional frequency data-set;power system linear model","Power system dynamics;Numerical models;Accuracy;Power system stability;Modeling;Mathematical models;Data models;Analytical models;Interpolation;System identification","","3","","","IEEE","7 Aug 2025","Sept. 2025","","IEEE","IEEE Journals"
"Automatic Detection of Dynamic Wind Conditions in Mexican California: A Machine Learning-Driven Advancement in Wind Management","M. Arellano Vázquez; M. Zamora Machado; M. Robles Pérez; O. Jaramillo Salgado; C. Minutti Martinez","INFOTEC, MX; Universidad Autonoma de Baja California, MX; Universidad Nacional Autonoma de Mexico, MX; Universidad Nacional Autonoma de Mexico, MX; INFOTEC, MX",IEEE Latin America Transactions,"22 Apr 2025","2025","23","5","387","396","Accurate detection and classification of wind states is crucial for accurately assessing and predicting wind energy production, fire spread behavior, air quality monitoring, and understanding complex meteorological phenomena. The complex nature of wind necessitates advanced data analysis techniques to extract meaningful patterns from meteorological datasets. This study presents a stochastic wind classification and identification analysis based on a Gaussian Mixture Model (GMM) clustering method applied to a case study in La Rumorosa'', Mexican California. By analyzing four meteorological variables (relative humidity, atmospheric pressure, wind speed, and wind direction) over five years, the method automatically identifies distinct wind conditions that can be defined as climate states, including well-known regional phenomena like Santa Ana winds and local orographic winds. Accurate detection of wind states enables better forecasting of wind energy potential at favorable sites, wildfire risk management through predicted fire behavior and monitoring pollutant/allergen dispersal patterns. The proposed approach offers a reliable, computationally efficient method for detecting wind patterns, extending to different geographical regions impacted by diverse wind phenomena.","1548-0992","","10.1109/TLA.2025.10974369","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10974369","wind energy;gaussian mixture model;machine learning;wind state detection;climate modeling;Renewable energy prediction","Wind speed;Wind forecasting;Humidity;Clustering methods;Gaussian mixture model;Wind energy;Data models;Clustering algorithms;Wildfires;Time series analysis","","1","","","IEEE","22 Apr 2025","May 2025","","IEEE","IEEE Journals"
"Real-time inertia estimation via ARMAX model representation and synchrophasor measurements","A. Sanchez-Ocampo; M. R. Arrieta Paternina; J. M. Ramos-Guerrero; G. E. Mejia-Ruiz; J. M. Ramirez-Arredondo; L. Lugnani; F. Munguia-Perez; A. Zamora-Mendez; J. R. Rodriguez-Rodriguez","Centre for Research and Advanced Studies, MX; National Autonomous University of Mexico (UNAM), MX; National Autonomous University of Mexico (UNAM), MX; National Autonomous University of Mexico (UNAM), US; Centre for Research and Advanced Studies, MX; University of Campinas, BR; National Autonomous University of Mexico (UNAM), MX; Universidad Michoacana San Nicolas de Hidalgo, MX; National Autonomous University of Mexico (UNAM), MX",IEEE Latin America Transactions,"22 Apr 2025","2025","23","5","405","414","This paper introduces the real-time implementation with the actual hardware architecture environment (HAE) of an online estimation method that tracks the equivalent time-varying inertia in power systems. The proposed method enables automated and accurate inertia estimation, exploiting the ARMAX model representation and the Teager-Kaiser energy operator (TKEO) disturbance time detector. The effectiveness and high accuracy of the proposed framework are successfully validated in laboratory conditions with actual synchronised measurements from Phasor Measurement Units (PMUs) over a real-time emulated New England 39-bus system. The estimate is achieved with a relative error ranging from 0.1% to 7%, even under noisy conditions and atypical measurement values. The literature reviewed does not report any estimation method that is more accurate than the one proposed in this work.","1548-0992","","10.1109/TLA.2025.10974367","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10974367","Inertia estimation;Frequency response;PMU;Online estimation","Estimation;Mathematical models;Phasor measurement units;Real-time systems;Power system stability;Frequency measurement;Accuracy;Time measurement;Noise measurement;Power system dynamics","","5","","","IEEE","22 Apr 2025","May 2025","","IEEE","IEEE Journals"
"Ownership Authentication and Clinical Data Backup in DICOM Images via Robust Watermarking and Binary Data Hiding","A. A. Lopez-Martinez; E. Fragoso-Navarro; M. Cedillo-Hernandez; F. Garcia-Ugalde","SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; Universidad Nacional Autonoma de Mexico, CDMX, Mexico",2025 10th International Conference on Frontiers of Signal Processing (ICFSP),"29 Jan 2026","2025","","","32","36","Medical information is very important and delicate due to its relevance in clinical diagnosis, treatments, research and other commercial and non-commercial applications of governmental and private organizations. Recent advances in information and communication technologies have transformed the paradigm of medical data management, but also introduced new risks related to unauthorized access, manipulation, and distribution. To solve part of these problems, this paper proposes a method that employs two information security levels based on robust watermarking and binary data hiding, respectively. Firstly, clinical data is embedded into a logo using binary data hiding. Then, this logo is inserted into the spatial domain of a medical image through block segmentation, statistical information, and convolutional encoding for ownership authentication. Experimental results demonstrate logo robustness against JPEG DICOM compression in conjunction with aggressive attacks like cropping and copy-move, using bit error rate as a metric. The imperceptibility has been measured via peak signal-to-noise ratio and structural similarity index metrics.","","979-8-3315-7442-0","10.1109/ICFSP67350.2025.11353575","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353575","Robust watermarking;Binary data hiding;DICOM imaging;Information security;Ownership authentication;Convolutional encoding","Measurement;Image coding;Bit error rate;Authentication;Transform coding;Information security;Watermarking;Robustness;DICOM;Medical diagnostic imaging","","","","17","IEEE","29 Jan 2026","10-12 Sept. 2025","10-12 Sept. 2025","IEEE","IEEE Conferences"
"Step-test based procedure for Super-Twisting Algorithm gains adjustment","T. N. Medvedeva; O. Y. Sumenkov; L. M. Fridman","Mathematical Robotics Science Division, Sirius University of Science and Technology, Sochi, Russia; Mathematical Robotics Science Division, Sirius University of Science and Technology, Sochi, Russia; Facultad de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico",2024 17th International Workshop on Variable Structure Systems (VSS),"20 Nov 2024","2024","","","158","163","Super-Twisting Algorithms (STA) is a non-linear PI-like continuous Sliding Mode (SM) algorithm designed to substitute discontinuous control to continuous and to realise a second-order SM for systems with relative degree one. It is able to compensate the Lipschitz disturbances theoretically exactly and ensures finite-time convergence. However, due to the finite-time convergence of STA and the presence of non-idealities in the system, chattering occurs. This paper proposes a step-test based procedure for adjusting the STA gains to minimize chattering amplitude. We assume that system non-idealities can be modeled as a specific first-order system, namely, with time delay, time constant and system gain. The procedure consists of two steps: on the first stage, identifying the parameters of system; on the second step, predicting the amplitude and frequency of the chattering based on the Describing Function approach and the Harmonic Balance equation, then obtaining expressions of the chattering amplitude and frequency as functions of STA gains and, finally, adjusting the STA parameters based on predicted chattering behavior. This approach is verified on both simulations and experiments on a Maxon RE50 DC Motor.","2158-3986","979-8-3503-5368-6","10.1109/VSS61690.2024.10753407","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10753407","","Variable structure systems;Delay effects;Conferences;Prediction algorithms;DC motors;Harmonic analysis;Mathematical models;Oscillators;Convergence","","2","","14","IEEE","20 Nov 2024","21-24 Oct. 2024","21-24 Oct. 2024","IEEE","IEEE Conferences"
"Identification and Characterization of Stellar Bars: A Combined Approach of Isophote and Fourier Analysis","M. A. Chacón; B. C. Sodi; R. D. Serrano","Dirección Nacional de Ciencias Espaciales, Universidad Tecnológica de Panamá, Panamá, Panamá; Instituto de Radioastronomía y Astrofísica, Universidad Nacional Autónoma de México, Michoacán, México; Dirección Nacional de Ciencias Espaciales, Universidad Tecnológica de Panamá, Panamá, Panamá","2024 9th International Engineering, Sciences and Technology Conference (IESTEC)","7 Jan 2025","2024","","","1","6","In this paper, we analyze the surface photometry of 42 spiral galaxies from the SDSS Data Release 3 in the r band, focusing on bar identification and characteristics in the local universe. Using ISOPHOTE and P2DFFT, we measure bar length and strength through elliptical isophote fitting and two-dimensional Fourier transforms. Surface photometry is crucial for studying galaxy morphology, revealing information about size, shape, and dynamics. Our study identified barred spiral galaxies with a frequency of 33% using Elliptical Isophote Analysis and 23% using Fourier Analysis. By combining both methods, we achieve a more comprehensive assessment, allowing for the precise measurement of bar length and strength. These methods are complementary and particularly effective for galaxies with large bulges and prominent spiral arms. Our ongoing research aims to extend this approach with automated applications to a larger sample of galaxies.","","979-8-3503-7715-6","10.1109/IESTEC62784.2024.10820287","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10820287","Surface photometry;barred galaxies;Spiral galaxies","Spirals;Fourier transforms;Shape;Surface morphology;Morphology;Focusing;Length measurement;Surface fitting;Photometry;Bars","","","","0","IEEE","7 Jan 2025","23-25 Oct. 2024","23-25 Oct. 2024","IEEE","IEEE Conferences"
