"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep Learning-based Echocardiography Enhancement: Reducing Speckle Noise and Improving Temporal Resolution","G. Carcedo-Rodríguez; B. Vazquez; J. Perez-Gonzalez; N. Hevia-Montiel","Master Program in Computer Science and Engineering, Universidad Nacional Autónoma de México, Mérida, Yucatán, México; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Unidad Académica en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, Yucatán, México; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Unidad Académica en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, Yucatán, México; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Unidad Académica en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, Yucatán, México",2025 21st International Symposium on Biomedical Image Processing and Analysis (SIPAIM),"18 Dec 2025","2025","","","1","5","Ultrasound is widely used in medical imaging due to its accessibility and cost-effectiveness. This paper presents a Deep Learning-based approach for enhancing echocardiographic imaging by addressing two challenges: speckle noise reduction and temporal resolution improvement. For denoising task, we propose the SE-U-Net model, while for temporal enhancement we employ Real-Time Intermediate Flow Estimation for frame interpolation. Multiple datasets were used for training, validation, and testing of both models. The proposed pipeline was applied in high heart rate murine models to enhance relevant information. In final evaluation, the denoising model achieved SSIM=0.99 and PSNR=38.27dB, indicating effective contrast enhancement, preservation of homogeneous regions, and reduction of small artifacts. The interpolation model, on the other hand, achieved SSIM=0.87 and PSNR=33.23dB, enabling the increase of ultrasound temporal resolution from 37 to 296 frames per second without losing image quality.","","979-8-3315-5456-9","10.1109/SIPAIM67325.2025.11283395","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11283395","","Heart rate;Training;Interpolation;Ultrasonic imaging;Noise reduction;Pipelines;Noise;Speckle;Spatial resolution;Testing","","","","14","IEEE","18 Dec 2025","18-21 Nov. 2025","18-21 Nov. 2025","IEEE","IEEE Conferences"
"The Yucatan HF Radar Network: A Multinational Technology Demonstration to Advance Monitoring of Western Boundary Currents","M. Smith; S. Glenn; T. Miles; A. H. Knap; S. F. Dimarco; R. M. Jiménez; D. S. de Léon; M. G. Reali; E. Escalante","Center for Ocean Observing Leadership, Rutgers University, New Brunswick, NJ, USA; Center for Ocean Observing Leadership, Rutgers University, New Brunswick, NJ, USA; Center for Ocean Observing Leadership, Rutgers University, New Brunswick, NJ, USA; Geochemical and Environmental Research Group, Texas A&M University, College Station, TX, USA; Geochemical and Environmental Research Group, Texas A&M University, College Station, TX, USA; Facultad de Ciencias, Universidad Nacional Autónoma de México, Mexico City, MX; Instituto de Ciencias del Mar y Limnologia, Universidad Nacional Autónoma de México, Mexico City, MX; Laboratorio de Oceanografía Física, Universidad Nacional Autónoma de México, Mexico City, MX; Laboratorio de Oceanografía Física, Universidad Nacional Autónoma de México, Mexico City, MX",OCEANS 2025 - Great Lakes,"25 Nov 2025","2025","","","1","8","The Yucatan High Frequency Radar (HFR) Network is a trilateral collaboration between the U.S., Mexico, and Cuba designed to monitor surface currents in the Yucatan Channel, a critical segment of the Atlantic Ocean conveyor belt. Two long-range CODAR SeaSonde systems were installed on Isla Contoy and at UNAM's Puerto Morelos facility to provide sustained, near-real-time observations of the Yucatan Current, which feeds the Loop Current and impacts hurricane intensification and climate variability. A key innovation is the use of Automatic Identification System (AIS) ship-tracking data to continuously calibrate receiver antenna patterns, eliminating the need for traditional on-water calibration. Hourly surface currents are processed, quality-controlled using QARTOD standards, and publicly distributed via an ERDDAP server. A derived velocity transect product along the strait's axis is used to analyze flow variability and validate ocean models, which often misrepresent the spatial structure observed by HFR. During the 2024 Mini-Adaptive Sampling Test Run (MASTR), real-time radar products supported autonomous vehicle missions and targeted ship sampling. Expansion to Cuba and additional Mexican sites is underway, positioning the network as a foundation for Caribbeanwide HFR coverage under GOOS and TAC-OOFS to improve ocean forecasting and hurricane prediction.","2996-1882","979-8-218-73628-6","10.23919/OCEANS59106.2025.11245036","National Academies of Sciences Gulf Research Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11245036","High Frequency Radar (HFR);Yucatan Current;Loop Current;AIS calibration;antenna pattern;surface currents;CODAR SeaSonde;model validation;ocean observing;adaptive sampling;data assimilation;Gulf of Mexico;western boundary current;QARTOD","Sea surface;Technological innovation;Oceans;Sea measurements;Hurricanes;High frequency radar;Data models;Calibration;Wind forecasting;Monitoring","","","","8","","25 Nov 2025","29 Sept.-2 Oct. 2025","29 Sept.-2 Oct. 2025","IEEE","IEEE Conferences"
"MexSIC, a Data Acquisition Channel for SiPMs","D. Durini; G. Zamora-Mejia; J. M. Rocha-Perez; V. H. Carbajal-Gomez; A. I. Bautista-Castillo; S. A. Rosales-Nunez; A. Silva-Juarez; L. C. Alvarez-Simon; A. Diaz-Sanchez; R. Alfaro-Molina; A. Iriarte; M. Gonzalez","Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Instituto Nacional de Astrofisica, Optica y Electronica (INAOE), Puebla, Mexico; Physics Institute, Universidad Nacional Autonoma de Mexico (UNAM), Mexico City, Mexico; Institute of Astronomy, Universidad Nacional Autonoma de Mexico (UNAM), Mexico City, Mexico; Institute of Astronomy, Universidad Nacional Autonoma de Mexico (UNAM), Mexico City, Mexico",IEEE Transactions on Nuclear Science,"17 Mar 2025","2025","72","3","946","960","This work describes MexSIC, a data acquisition (DAQ) channel designed for silicon photomultipliers (SiPMs), composed of a mixed-mode application-specific integrated circuit (ASIC) front end, a field programmable gate array (FPGA)-based processing stage, and a user interface. The ASIC provides a 1-bit sigma-delta modulator ( $\Sigma \Delta -M$ ) digital equivalent of the input SiPM current, a flag indicating the start/end of the SiPM pulse, and a clock reference generated by an internal phase-locked loop (PLL). At the ASIC input stage, the SiPM current is converted to voltage by means of a 1.57-GHz bandwidth (BW) transimpedance amplifier (TIA), the gain of which can be switched between 21 and 48 dB, allowing for an input current range between  $20~\mu $ A and 20 mA. The generated voltage signal is then fed to a trigger unit (TU) implemented to discriminate between desired signals and the spurious ones and, in parallel, also to a second-order  $\Sigma \Delta $  modulator providing 6.1 effective number of bits (ENOB). The TU circuit sends a start/end bit flag by comparing the SiPM voltage signal with an 8-bit programmable voltage reference.  $\Sigma \Delta $  was selected to have a single output line instead of using a data bus with many lines, which is important in applications where the number of SiPM channels being read out is very large. The 10-MHz BW  $\Sigma \Delta -M$  uses an oversampling ratio (OSR) of 50 and a 1-GHz sampling clock that is generated by a PLL using an off-chip 100-MHz reference. The FPGA receives the ASIC  $\Sigma \Delta $  modulated output signal and performs a decimation process by means of a cascade integrator comb (CIC) filter to complete the data recovery. The recovered signal is visualized in a MATLAB-programmed graphical user interface (GUI). The MexSIC ASIC was designed in a 180-nm CMOS standard process using Cadence software, and the processing stage was implemented in a Kintex-7 FPGA.","1558-1578","","10.1109/TNS.2025.3528905","National Autonomous University of Mexico (UNAM) in the frame of its project Programa de Apoyo a Proyectos de Investigación e Inovación Tecnológica (PAPIIT)(grant numbers:DGAPA-IG101323); Consejo Nacional de Humanidades, Ciencias y Tecnologías (CONAHCyT)-Mexico through the “Investigadoras e Investigadores por México” Program; CONAHCyT-Mexico through the “Estancias Posdoctorales por México” Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10838575","Decimator;field programmable gate array (FPGA);front end;modulator;readout;silicon photomultiplier (SiPM);transimpedance amplifier (TIA)","Bandwidth;Charge measurement;Application specific integrated circuits;Telescopes;Modulation;Gamma-rays;Field programmable gate arrays;Extraterrestrial measurements;Silicon;Sigma-delta modulation","","","","41","IEEE","13 Jan 2025","March 2025","","IEEE","IEEE Journals"
"Automatic Classification of Synthetic Jovian Radio Emissions Using Spectrogram Analysis and Machine Learning","S. M. Urbina; A. M. Patiño; E. R. Archundia; E. A. Rodríguez; M. V. C. B.; M. d. C. G. R.; J. A. R. H.","DEPI, Tecnológico Nacional de México / Instituto Tecnólogico de Morelia, Morelia, México; DEPI, Tecnológico Nacional de México / Instituto Tecnólogico de Morelia, Morelia, México; DEPI, Tecnológico Nacional de México / Instituto Tecnólogico de Morelia, Morelia, México; Instituto de Geofisica Unidad Morelia, Universidad Nacional Autónoma de México, Morelia, México; DEPI, Tecnológico Nacional de México / Instituto Tecnólogico de Morelia, Morelia, México; DEPI, Tecnológico Nacional de México / Instituto Tecnólogico de Morelia, Morelia, México; DEPI, Tecnológico Nacional de México / Instituto Tecnólogico de Morelia, Morelia, México","2025 IEEE International Autumn Meeting on Power, Electronics and Computing (ROPEC)","3 Feb 2026","2025","9","","1","6","This paper presents a machine learning approach for the automatic classification of synthetic Jovian radio emissions using spectrogram analysis. As a continuation of previous work involving the design of a dipole antenna and the development of a Python-based acquisition system centered at 20.1 MHz, this study focuses on generating a synthetic dataset that replicates the Io-A, Io-B and Io-C radio emissions of Jupiter. Each class was modeled using Python scripts that incorporated variability in position, intensity, shape and noise within the 16-24Mhz frequency range. Two classification models were trained and evaluated: a convolutional neural network (efficientNet-B0) and a vision transformer (ViT Tiny Patch16-224). Both models were tested using a 70/15/15 train-validation-test split and validated with 5-fold cross-validation. The ViT model achieved up to 100% classification accuracy across all folds, outperforming the CNN in consistency and generalization. This synthetic classification framework serves as a preparatory phase for future work involving the training and validation of these models using real labeled spectrograms extracted from the Juno/Waves database, which includes emission records from 2016 to 2023.","2573-0770","979-8-3315-7673-8","10.1109/ROPEC68163.2025.11353979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353979","Jovian emissions;spectrogram;synthetic data;CNN;ViT;Machine learning;cross-validation","Training;Jupiter;Shape;Noise;Machine learning;Transformers;Power electronics;Convolutional neural networks;Spectrogram;Synthetic data","","","","0","IEEE","3 Feb 2026","12-14 Nov. 2025","12-14 Nov. 2025","IEEE","IEEE Conferences"
"MMDA: A Multimodal and Multisource Domain Adaptation Method for Cross-Subject Emotion Recognition From EEG and Eye Movement Signals","M. Jiménez-Guarneros; G. Fuentes-Pineda; J. Grande-Barreto","Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Ciudad de México, Mexico; Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Ciudad de México, Mexico; Information Technology Engineering, Universidad Politécnica de Puebla, Cuanalá, Puebla, Mexico",IEEE Transactions on Computational Social Systems,"7 Oct 2025","2025","12","5","2214","2227","Multimodal emotion recognition from electroencephalogram (EEG) and eye movement signals has shown to be a promising approach to provide more discriminative information about human emotional states. However, most current works rely on a subject-dependent approach, limiting their applicability to new users. Recently, some studies have explored multimodal domain adaptation to address the mentioned issue by transferring information from known subjects to new ones. Unfortunately, existing methods are still exposed to negative transfer as a suboptimal distribution alignment is performed between subjects, while irrelevant information is not discarded. In this article, we present a multimodal and multisource domain adaptation (MMDA) method, which adopts the following three strategies: 1) marginal and conditional distribution alignments must be performed between each known subject and a new one; 2) relevant distribution alignments must be prioritized to avoid a negative transfer; and 3) modality fusion results should be improved by extracting more discriminative features from EEG signals and selecting relevant features across modalities. Our proposed method was evaluated with leave-one-subject-out cross validation on four public datasets: SEED, SEED-GER, SEED-IV, and SEED-V. Experimental results show that our proposal outperforms state-of-the-art results for each dataset when subject data from different sessions are combined into a single dataset. Moreover, MMDA exceeds the state of the art in 8 out of 11 different sessions when each session is evaluated.","2329-924X","","10.1109/TCSS.2024.3519300","UNAM Posdoctoral Program (POSDOC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10819285","Deep learning;electroencephalogram (EEG);eye movement (EM);multimodal emotion recognition (MER);multimodal unsupervised domain adaptation (UDA);multisource domain adaptation (MDA)","Electroencephalography;Emotion recognition;Neural networks;Feature extraction;Data models;Training;Physiology;Correlation;Brain modeling;Adaptation models","","6","","40","IEEE","31 Dec 2024","Oct. 2025","","IEEE","IEEE Journals"
"Fast Taylor-Fourier Transform for Monitoring Modern Power Grids With Real-Time Dynamic Harmonic Estimation","J. A. d. l. O. Serna; A. Zamora-Mendez; G. E. Mejia-Ruiz; M. R. A. Paternina; D. Dotta; L. Lugnani; M. Garcia; P. R. D. R. Silva","Department of Electrical Engineering, Autonomous University of Nuevo Leon, Monterrey, NL, Mexico; Electrical Engineering Faculty, State University of Michoacan, Morelia, Mexico; Electrical Engineering-Power Systems, Universidad Nacional Autónoma de México, Mexico, Mexico; Department of Electrical Engineering, Universidad Nacional Autónoma de México, Mexico, Mexico; Department of Electrical Engineering, University of Campinas, Campinas, Brazil; Department of Electrical Engineering, University of Campinas, Campinas, Brazil; Department of Electrical Engineering, University of Campinas, Campinas, Brazil; Department of Electrical Engineering, University of Campinas, Campinas, Brazil",IEEE Transactions on Power Delivery,"24 Jul 2024","2024","39","4","2242","2252","This paper proposes the FTFT for the real-time monitoring of modern power grids through dynamic harmonic estimations. The FTFT results from the DTTFT implemented with the FFT, instead of its filter bank implementation. In FTFT, the harmonic Taylor-Fourier coefficients are obtained in batch, and from these complex coefficients, estimates of frequency, amplitude, and RoCoF are obtained. The FTFT is embedded in two low-cost platforms, one consisting of a digital signal processor (DSP) coded using C programming language, and a development PMU (D-PMU); where a computationally efficient calculation of the FTFT is coded in both platforms. Both platforms process instantaneous voltage and current signals, rendering phasor and harmonic estimates as if they were extracted by the impulse response of a set of FIR filters and their first and second differentiators of the DTTFT. The phasor and harmonic estimations are accomplished using a sliding window that updates sample by sample, instantaneously providing amplitude, phase, frequency, and RoCoF estimations at the fundamental and harmonic frequencies with a high reporting rate. Experimental results confirm the proposition's performance, precision, and effectiveness under steady-state conditions, sudden changes, and harmonic analysis.","1937-4208","","10.1109/TPWRD.2024.3400157","Consejo Nacional de Humanidades, Ciencias y Tecnologías(grant numbers:CF-2023-I-1174); Ciencia de Frontera 2023; Project Support Program for Research and Technological Innovation of UNAM (DGAPA, PAPIIT-2023-2025)(grant numbers:IT102723); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10529327","Phasor estimation;frequency;rate-of-change-of-frequency;phasor measurement unit;fast taylor-fourier transform","Harmonic analysis;Power harmonic filters;Phasor measurement units;Frequency estimation;Estimation;Transforms;Monitoring;Fourier transforms;Taylor series","","13","","34","IEEE","13 May 2024","Aug. 2024","","IEEE","IEEE Journals"
"Fault diagnosis in a HVAC monophase transmission line","E. A. G. Rodriguez; C. Verde","Instituto de Ingenieria Universidad Nacional Autonoma de Mexico Delegación Coyoacán, Ciudad de México; Instituto de Ingenieria Universidad Nacional Autonoma de Mexico Delegación Coyoacán, Ciudad de México","2025 International Conference on Control, Automation and Diagnosis (ICCAD)","6 Aug 2025","2025","","","1","6","This paper applies linear attention methods (LAMs) for creating models that recognize voltage sag, swell and harmonics in high voltage alternate current (HVAC) for a monophase transmission line. The method can simultaneously predict all the faults while working with various windows frames even as small as a half cycle. The approach is based on using data and allowing the model to learn the mathematical relationship between the input and the expected output by itself. The usage of LAMs made effective and precise predictions, in addition to the faster processing of information as compared with traditional attention models. The inclusion of different types of noises has not greatly affected the model’s performance, which produces a reliable method for identifying these types of distortions.","2767-9896","979-8-3315-1191-3","10.1109/ICCAD64771.2025.11099340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11099340","","Fault diagnosis;Adaptation models;Power transmission lines;HVAC;Noise;Distortion;Transmission line measurements;Mathematical models;Data models;Distortion measurement","","","","30","IEEE","6 Aug 2025","1-3 July 2025","1-3 July 2025","IEEE","IEEE Conferences"
"Multimodal Semi-Supervised Domain Adaptation Using Cross-Modal Learning and Joint Distribution Alignment for Cross-Subject Emotion Recognition","M. Jiménez-Guarneros; G. Fuentes-Pineda; J. Grande-Barreto","Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Information Technology Engineering, Universidad Politécnica de Puebla, Puebla, Mexico",IEEE Transactions on Instrumentation and Measurement,"31 Mar 2025","2025","74","","1","12","Multimodal physiological data from electroencephalogram (EEG) and eye movement (EM) signals have been shown to be useful in effectively recognizing human emotional states. Unfortunately, individual differences reduce the applicability of existing multimodal classifiers to new users, as low performance is usually observed. Indeed, existing works mainly focus on multimodal domain adaptation from a labeled source domain and unlabeled target domain to address the mentioned problem, transferring knowledge from known subjects to new one. However, a limited set of labeled target data has not been effectively exploited to enhance the knowledge transfer between subjects. In this article, we propose a multimodal semi-supervised domain adaptation (SSDA) method, called cross-modal learning and joint distribution alignment (CMJDA), to address the limitations of existing works, following three strategies: 1) discriminative features are exploited per modality through independent neural networks; 2) correlated features and consistent predictions are produced between modalities; and 3) marginal and conditional distributions are encouraged to be similar between the labeled source data, limited labeled target data, and abundant unlabeled target data. We conducted comparison experiments on two public benchmarks for emotion recognition, SEED-IV and SEED-V, using leave-one-out cross-validation (LOOCV). Our proposal achieves an average accuracy of 92.50%–96.13% across the three available sessions on SEED-IV and SEED-V, only including three labeled target samples per class from the first recorded trial.","1557-9662","","10.1109/TIM.2025.3551924","Universidad Nacional Autónoma de México (UNAM) Posdoctoral Program (POSDOC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10929649","Deep learning;electroencephalogram (EEG);emotion recognition;eye movement (EM);multimodal semi-supervised domain adaptation (SSDA)","Electroencephalography;Feature extraction;Emotion recognition;Proposals;Training;Magnetic heads;Knowledge transfer;Data mining;Brain modeling;Signal to noise ratio","","1","","38","IEEE","17 Mar 2025","2025","","IEEE","IEEE Journals"
"Real-time Ocean Probabilistic Forecasts, Reachability Analysis, and Adaptive Sampling in the Gulf of Mexico","P. F. J. Lermusiaux; P. J. Haley; C. Mirabito; E. M. Mule; S. F. DiMarco; A. Dancer; X. Ge; A. H. Knap; Y. Liu; S. Mahmud; U. C. Nwankwo; S. Glenn; T. N. Miles; D. Aragon; K. Coleman; M. Smith; M. Leber; R. Ramos; J. Storie; G. Stuart; J. Marble; P. Barros; E. P. Chassignet; A. Bower; H. H. Furey; B. J. de la Cruz; L. K. Shay; M. Tenreiro; E. P. Sanz; J. Sheinbaum; P. Perez-Brunius; D. Wilson; J. van Smirren; R. Monreal-Jiménez; D. A. Salas-de-León; V. K. C. Tereza; M. Feldman; M. Khadka","Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Oceanography, Texas A&M University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Department of Marine and Coastal Sciences, Rutgers University; Woods Hole Group, Inc.; Woods Hole Group, Inc.; Woods Hole Group, Inc.; Fugro; Fugro; Fugro; Department of Earth, Ocean and Atmospheric Science, Florida State University; Physical Oceanography, Woods Hole Oceanographic Institution; Physical Oceanography, Woods Hole Oceanographic Institution; Rosenstiel School of Marine, Atmospheric, and Earth Science, University of Miami; Rosenstiel School of Marine, Atmospheric, and Earth Science, University of Miami; Department of Oceanography, CICESE; Department of Oceanography, CICESE; Department of Oceanography, CICESE; Department of Oceanography, CICESE; University of the Virgin Islands; Ocean Sierra; Universidad Nacional Autónoma de México; Universidad Nacional Autónoma de México; Mexican Institute of Water Technology; Gulf Research Program, NASEM; Gulf Research Program, NASEM",OCEANS 2024 - Halifax,"25 Nov 2024","2024","","","1","10","The first steps towards integrating autonomous monitoring, probabilistic forecasting, reachability analysis, and adaptive sampling for the Gulf of Mexico were demonstrated in real-time during the collaborative Mini-Adaptive Sampling Test Run (MASTR) ocean experiment, which took place from February to April 2024. The emphasis of this contribution is on the use of the MIT Multidisciplinary Simulation, Estimation, and Assimilation Systems (MSEAS) including Error Subspace Statistical Estimation (ESSE) large-ensemble forecasting and path planning systems to predict ocean fields and uncertainties, forecast reachable sets and optimal paths for gliders, and guide sampling aircraft and ocean vehicles toward the most informative observations. Deterministic and probabilistic ocean forecasts are exemplified and linked to the variability of the Loop Current (LC) and LC Eddies, demonstrating predictive skill by real-time comparisons to independent data. Risk forecasts in terms of probabilities of currents exceeding 1.5 kt were provided. The most informative sampling patterns for Remote Ocean Current Imaging System (ROCIS) flights were forecast using mutual information between surface currents and density anomaly. Finally, we guided four underwater gliders using probabilistic reachability and path-planning forecasts.","2996-1882","979-8-3315-4008-1","10.1109/OCEANS55160.2024.10754153","National Academies of Sciences, Engineering, and Medicine(grant numbers:2000013149); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10754153","Ocean modeling;probabilistic forecasting;predictability;forecast skill;data assimilation;path planning;adaptive sampling;mutual information;ocean gliders;aircraft","Oceans;Atmospheric modeling;Estimation;Predictive models;Probabilistic logic;Real-time systems;Wind forecasting;Reachability analysis;Integrated circuit modeling;Forecasting","","6","","92","IEEE","25 Nov 2024","23-26 Sept. 2024","23-26 Sept. 2024","IEEE","IEEE Conferences"
"In-Silico Trained AI for Enhanced T2 Spectrum Imaging and Myelin Water Fraction Mapping in Preclinical 7T MRI","D. Vallejo-Aldana; A. Ramírez-Manzanares; E. J. Canales-Rodríguez; T. Yu; A. Cisneros-Mejorado; L. Concha; J. Rafael-Patiño; J. -P. Thiran","Computer Science Department, Centro de Investigación en Matemáticas A.C, Guanajuato, México; Computer Science Department, Centro de Investigación en Matemáticas A.C, Guanajuato, México; Signal Processing Laboratory (LTS5), École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland; Signal Processing Laboratory (LTS5), École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland; Instituto de Neurobiología, Universidad Nacional Autónoma de México, Juriquilla, México; Instituto de Neurobiología, Universidad Nacional Autónoma de México, Juriquilla, México; Signal Processing Laboratory (LTS5), École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland; Signal Processing Laboratory (LTS5), École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland",2024 IEEE International Symposium on Biomedical Imaging (ISBI),"22 Aug 2024","2024","","","1","5","This study introduces a Machine Learning (ML) approach for estimating the T2 spectrum and myelin water fraction (MWF) using multi-echo T2 (MET2) data from preclinical 7T Magnetic Resonance Imaging (MRI) scanners. ML methods have shown promise in MWF estimation, outperforming Regularized Non-Negative Least Squares (RNNLS). However, existing ML methods were optimized for high signal-to-noise ratios (SNR) typical of 3T clinical MET2 data with larger voxel sizes. We adapted the Model-Informed Machine Learning (MIML) method to handle challenges in preclinical 7T MRI, including reduced voxel sizes, elevated noise levels (SNR=30-60), and shifts in T2 lobes. Results from in-silico simulated data demonstrate the superior performance of the proposed multi-layer-perceptron-based solution over RNNLS. Validation with ME T2 data from two mice—a healthy control and a cuprizone-exposed pathological mouse—confirms the ML method’s success in identifying cuprizone-induced demyelination. Our study showcases the adaptability and enhanced performance of the MIML approach under challenging preclinical 7T MRI conditions, contributing to the advancement of MWF estimation methods in high-field MRI settings.","1945-8452","979-8-3503-1333-8","10.1109/ISBI56570.2024.10635246","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10635246","In-silico;Machine learning;Brain;MRI;Myelin water imaging;Pre-clinical data.","Maximum likelihood estimation;Pathology;Adaptation models;Magnetic resonance imaging;Machine learning;Brain modeling;Signal to noise ratio","","","","18","IEEE","22 Aug 2024","27-30 May 2024","27-30 May 2024","IEEE","IEEE Conferences"
