"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Protection Of Sensitive Personal Information Contained In Digital Files Held By Individuals With Homomorphic Encryption And AI Assistance","E. A. Villegas-Jiménez; A. Romo-Cabrera; M. A. Manzano-Calixto; L. M. Tello-Aguilera; A. K. Sánchez-Mata; A. Robles-Guerrero; P. M. Hernández-Ruiz","Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","9 Apr 2026","2025","","","1","6","In today’s digital landscape, the exchange of sensitive personal data via mobile devices is widespread, yet inadequate safeguards often expose users to risks such as identity theft and online harassment. This research introduces Kamplae, a system crafted in Python and deployed through a Flask-based REST API, employing homomorphic encryption and artificial intelligence to protect personal information embedded in digital images. Kamplae secures metadata and bitmap content in jpeg, jpg, and png formats, adhering to legal standards in Mexico and the European Union.The study reviews prior work on personal data protection and the challenges posed by deep fakes, emphasising the need for robust regulatory frameworks to counter digital violence. It explores various encryption methods—symmetric, asymmetric, and hybrid—alongside relevant legal provisions across regions.Kamplae aims to prevent image misuse and foster a secure, ethical digital environment. While promising, it highlights areas for enhancement, such as broader format support and user interface refinement, with limitations tied to specific format compatibility and mobile performance.","","979-8-3315-3559-9","10.1109/ICECET63943.2025.11472089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11472089","deep fake;encryption;hormomorphic encryption;artificial intelligence;symmetric encryption;asymmetric encryption;multimedia files","Filtering;Filters;Deepfakes;Protocols;Videos;Cyberspace;Mobile handsets;Social computing;Cyberbullying;Communication systems","","","","31","IEEE","9 Apr 2026","3-6 July 2025","3-6 July 2025","IEEE","IEEE Conferences"
"Development Of An Algorithm For Strength Training With Use Haptic Feedback And Artificial Intelligence (AI) Based Enhancement","E. A. Villegas-Jiménez; A. H. Bello-Guerrero; M. D. Padilla-Torres; L. N. Villagómez-Venegas; C. S. Chávez-Ramírez","Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","9 Apr 2026","2025","","","1","6","The increasing popularity of the use of AI in everyday life has enabled the development of virtual systems for human assistance. This research proposes an implemented linear regression model with a vector of random weights, using a mean square error (MSE), based cost function and regularisation and corresponding Python code that integrates AI-based haptic feedback through vibration, specifically designed to optimise weight training.The results of the simulation model analysis show how key biomechanical parameters are identified and used to improve a person's posture by adjusting technique through real-time vibrational stimuli. The development of the system involves physical benefits such as injury prevention, continuous biomechanical monitoring, adaptive programme structuring and haptic vibration feedback for immediate movement correction. Popular and accurate tools for building linguistic models are mentioned, such as machine learning, computer vision and neural networks. Technological tools such as machine learning, computer vision and neural networks, applied to process biomechanical data and trigger personalised vibrational responses, are highlighted.","","979-8-3315-3559-9","10.1109/ICECET63943.2025.11472504","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11472504","AI;virtual coach;strength training;biomechanics;haptic feedback;python","Feedback;Circuits;Oscillators;Rectifiers;Internet of Things;Internet;Communication systems;Protocols;Telecommunication computing;Computer networks","","","","27","IEEE","9 Apr 2026","3-6 July 2025","3-6 July 2025","IEEE","IEEE Conferences"
"Pseudo-Temporal Modeling with 2D CNNs for Framewise Surgical Gesture Segmentation in Robot-Assisted Surgery","D. Haro-Mendoza; G. A. Castro Vazquez; A. Leonardo Campos Carreras; A. J. Diaz Urias; V. J. Gonzalez-Villela; M. Cedillo-Hernandez; R. E. Arevalo-Ancona","Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Biomedical Systems Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; SEPI ESIME Culhuacán, Instituto Politécnico Nacional, Mexico City, Mexico; SEPI ESIME Culhuacán, Instituto Politécnico Nacional, Mexico City, Mexico","2025 6th International Conference on Communications, Information, Electronic and Energy Systems (CIEES)","25 Dec 2025","2025","","","1","5","Surgical procedures can be decomposed into elementary units (tasks, surgemes, and dexemes) that represent the building blocks of surgical performance. Segmenting gestures at this level is crucial for objective skill assessment and for understanding how simple movements are concatenated to form complete procedures, ultimately supporting the development of training and evaluation systems. In this work, we present a pseudo-temporal modeling approach for surgical gesture segmentation using a 2D ResNet-50 convolutional network trained exclusively on RGB frames. During training, each video was divided into eight equal segments, which were used to feed the network and generate gesture-level probabilities. To optimize learning, an adaptive Exponential Moving Average (EMA) mechanism was applied to stabilize weight updates and reinforce poorly performing gesture classes. At inference, complete surgical videos were processed with an overlapping sliding window of eight frames, where each frame could be evaluated multiple times in different contexts. Frame-level probabilities were averaged across overlapping windows and refined through a temporal mode filter, producing stable and coherent gesture sequences. The method was validated on the JIGSAWS dataset, which includes the Suturing, Knot Tying, and Needle Passing tasks. Results showed reliable recognition across all procedures: Suturing achieved 82.26%, Knot Tying 91.97%, and Needle Passing 79.35%. Training required approximately one hour, and inference on a complete video of 2950 frames was performed in about 45 seconds, also generating a labeled output video. By relying solely on 2D convolutions and RGB input, the approach achieves accurate and efficient segmentation with low computational cost, making it suitable for surgical training environments with limited resources and applicable in near real-time scenarios.","","979-8-3315-0119-8","10.1109/CIEES66347.2025.11300252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11300252","surgical gesture segmentation;pseudo-temporal modeling;2d convolutional neural networks;resnet 50;exponential moving average","Training;Adaptation models;Accuracy;Computational modeling;Surgery;Needles;Real-time systems;Windows;Convolutional neural networks;Videos","","","","13","IEEE","25 Dec 2025","26-28 Nov. 2025","26-28 Nov. 2025","IEEE","IEEE Conferences"
"Convolutional Neural Network Trained with Heatmaps for Segmentation and Measurement of the Femur in Fetal Ultrasound","J. C. A. Ortíz; F. A. Cosío; J. Pérez-González; N. O. C. Díaz; R. V. Cristerna; V. M. Bañuelos; L. C. Marín; M. G. Huerta","Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, México; Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, México; Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, México; Laboratorio de Investigación en Neuroimagenología, Universidad Autónoma Metropolitana Unidad Iztapalapa, Ciudad de México, México; Laboratorio de Investigación en Neuroimagenología, Universidad Autónoma Metropolitana Unidad Iztapalapa, Ciudad de México, México; Laboratorio de Investigación en Neuroimagenología, Universidad Autónoma Metropolitana Unidad Iztapalapa, Ciudad de México, México; Departamento de Obstetricia, Instituto Nacional de Perinatología, Ciudad de México, México; Departamento de Obstetricia, Instituto Nacional de Perinatología, Ciudad de México, México",2025 21st International Symposium on Biomedical Image Processing and Analysis (SIPAIM),"18 Dec 2025","2025","","","1","5","Fetal femur length measurement via ultrasound, alongside abdominal circumference, biparietal diameter, and cranial circumference assessments, are key components of prenatal screening, as they enable the estimation of fetal weight and the evaluation of intrauterine development. Currently, this procedure still heavily relies on manual intervention by expert radiologists or sonographers, who must identify anatomical landmarks to perform the measurements. This dependence on specialized human expertise limits diagnostic accessibility in remote areas far from major urban centers. In this work, we propose a novel convolutional neural network trained on binary masks and heatmaps of femur endpoints. The model achieves robust performance, segmenting the femur with an 88% Dice coefficient, and measuring its length with only a 2.515% error margin. This work is part of a broader machine learning based system for fetal weight estimation, aiming to expand diagnostic capabilities to healthcare centers with limited human resources.","","979-8-3315-5456-9","10.1109/SIPAIM67325.2025.11283319","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11283319","","Heating systems;Ultrasonic imaging;Ultrasonic variables measurement;Measurement uncertainty;Estimation;Medical services;Manuals;Biomedical measurement;Length measurement;Convolutional neural networks","","","","12","IEEE","18 Dec 2025","18-21 Nov. 2025","18-21 Nov. 2025","IEEE","IEEE Conferences"
"Deep Learning-based Echocardiography Enhancement: Reducing Speckle Noise and Improving Temporal Resolution","G. Carcedo-Rodríguez; B. Vazquez; J. Perez-Gonzalez; N. Hevia-Montiel","Master Program in Computer Science and Engineering, Universidad Nacional Autónoma de México, Mérida, Yucatán, México; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Unidad Académica en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, Yucatán, México; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Unidad Académica en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, Yucatán, México; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Unidad Académica en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, Yucatán, México",2025 21st International Symposium on Biomedical Image Processing and Analysis (SIPAIM),"18 Dec 2025","2025","","","1","5","Ultrasound is widely used in medical imaging due to its accessibility and cost-effectiveness. This paper presents a Deep Learning-based approach for enhancing echocardiographic imaging by addressing two challenges: speckle noise reduction and temporal resolution improvement. For denoising task, we propose the SE-U-Net model, while for temporal enhancement we employ Real-Time Intermediate Flow Estimation for frame interpolation. Multiple datasets were used for training, validation, and testing of both models. The proposed pipeline was applied in high heart rate murine models to enhance relevant information. In final evaluation, the denoising model achieved SSIM=0.99 and PSNR=38.27dB, indicating effective contrast enhancement, preservation of homogeneous regions, and reduction of small artifacts. The interpolation model, on the other hand, achieved SSIM=0.87 and PSNR=33.23dB, enabling the increase of ultrasound temporal resolution from 37 to 296 frames per second without losing image quality.","","979-8-3315-5456-9","10.1109/SIPAIM67325.2025.11283395","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11283395","","Heart rate;Training;Interpolation;Ultrasonic imaging;Noise reduction;Pipelines;Noise;Speckle;Spatial resolution;Testing","","","","14","IEEE","18 Dec 2025","18-21 Nov. 2025","18-21 Nov. 2025","IEEE","IEEE Conferences"
"Smart Machine Vision for Universal Spatial-Mode Reconstruction","J. D. Huerta-Morales; C. You; O. S. Magaña-Loaiza; S. -H. Dong; R. d. J. León-Montiel; M. A. Quiroz-Juárez","Instituto de Ciencias Nucleares, Universidad Nacional Autónoma de México, Ciudad de México, Mexico; Department of Physics and Astronomy, Quantum Photonics Laboratory, Louisiana State University, Baton Rouge, LA, USA; Department of Physics and Astronomy, Quantum Photonics Laboratory, Louisiana State University, Baton Rouge, LA, USA; Research Center for Quantum Physics, Huzhou University, Huzhou, China; Instituto de Ciencias Nucleares, Universidad Nacional Autónoma de México, Ciudad de México, Mexico; Centro de Física Aplicada y Tecnología Avanzada, Universidad Nacional Autónoma de México, Querétaro, Mexico",IEEE Transactions on Neural Networks and Learning Systems,"5 Aug 2025","2025","36","8","14649","14663","Structured light beams, in particular, those carrying orbital angular momentum (OAM), have gained a lot of attention due to their potential for enlarging the transmission capabilities of communication systems. However, the use of OAM-carrying light in communications faces two major problems, namely distortions introduced during propagation in disordered media, such as the atmosphere or optical fibers, and the large divergence that high-order OAM modes experience. While the use of nonorthogonal modes may offer a way to circumvent the divergence of high-order OAM fields, artificial intelligence (AI) algorithms have shown promise for solving the mode-distortion issue. Unfortunately, current AI-based algorithms make use of large-amount data-handling protocols that generally lead to large processing time and high power consumption. Here, we show that a low-power, low-cost image sensor can act as an artificial neural network that simultaneously detects and reconstructs distorted OAM-carrying beams. We demonstrate the capabilities of our device by reconstructing (with a 95% efficiency) individual Vortex, Laguerre-Gaussian (LG), and Bessel modes, as well as hybrid (nonorthogonal) coherent superpositions of such modes. Our work provides a potentially useful basis for the development of low-power-consumption, light-based communication devices.","2162-2388","","10.1109/TNNLS.2025.3530302","Consejo Nacional de Humanidades, Ciencias y Tecnologías (CONAHCyT); U.S. Department of Energy (DOE), Office of Science (SC), Program: Nuclear Physics through Nuclear Physics and Quantum Information Science (NP-QIS)(grant numbers:DE-SC0023694); Instituto Politécnico Nacional (IPN) through Secretaría de Investigación y Posgrado (SIP)(grant numbers:20230316-SIP-IPN); Dirección General de Asuntos del Personal Académico de la Universidad Nacional Autónoma de México (DGAPA-UNAM)(grant numbers:UNAM-PAPIIT IN101623); Consejo Nacional de Humanidades, Ciencias y Tecnologías(grant numbers:CF-2023-I-1496); DGAPA-UNAM(grant numbers:UNAM-PAPIIT TA101023); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10856547","Artificial intelligence (AI);neural networks;smart machine-vision device;spatial-mode reconstruction","Accuracy;Laser beams;Image reconstruction;Optical distortion;Optical fiber networks;Optical beams;Convolutional neural networks;Optical fibers;Deep learning;Crosstalk","","3","","110","IEEE","28 Jan 2025","Aug. 2025","","IEEE","IEEE Journals"
"Outlet Pressure Regulation in a High-Viscosity Two-Phase Flow Horizontal Pipeline Using Inverse ANN and PSO","W. Ajbar; L. Torres; J. E. Guzmán Vázquez; M. Cervantes-Bobadilla","Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Tecnológico Nacional de México/CENIDET, Cuernavaca, Morelos, México","2024 10th International Conference on Control, Decision and Information Technologies (CoDIT)","18 Oct 2024","2024","","","878","883","This article presents the development of two models based on artificial neural networks (ANN) aimed at estimating the pressure at a position near the output of a horizontal pipeline that transports a two-phase flow of glycerin-air, which is characterized by its high viscosity. These models consist of an input layer that includes variables such as the air flow rate (Qa), the glycerin flow rate (Qg), and the pressure at three spatial points located before the desired pressure prediction point. In the hidden layer of the first model, the nonlinear activation function Logsig is employed, while in the second model, the Tansig function is used. In both cases, a linear function is used in the output layer. In order to determine the air and glycerin flow rates that were injected to the pipeline, ANN models ares inverted by using the particle swarm optimization (PSO) algorithm. From these inverted models, the design of an open-loop control to regulate the output pressure in the horizontal pipeline is presented. This control allows simultaneous manipulation of the Qg and Qa variables, or a single Qg variable, enabling precise regulation.","2576-3555","979-8-3503-7397-4","10.1109/CoDIT62066.2024.10708236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10708236","","Viscosity;Training;Atmospheric modeling;Pipelines;Transfer functions;Transportation;Artificial neural networks;Predictive models;Regulation;Particle swarm optimization","","","","10","IEEE","18 Oct 2024","1-4 July 2024","1-4 July 2024","IEEE","IEEE Conferences"
"Early Predictive Modeling of Engineering Student Attrition: An Ai-Driven Machine Learning Approach","M. F. E. Posadas; N. Á. Esquivel; J. I. V. Sánchez","Division of Physical-Mathematical, Sciences and Engineering, FES Aragón, Universidad Nacional, Autónoma de México, Mexico City, Mexico; Division of Physical-Mathematical, Sciences and Engineering, FES Aragón, Universidad Nacional, Autónoma de México, Mexico City, Mexico; Division of Physical-Mathematical, Sciences and Engineering, FES Aragón, Universidad Nacional, Autónoma de México, Mexico City, Mexico",2025 World Engineering Education Forum - Global Engineering Deans Council (WEEF-GEDC),"1 Dec 2025","2025","","","1","9","Academic trajectory tracking is a crucial tool for evaluating student performance and predicting graduation outcomes. In engineering education, early identification of students at risk of not completing their studies can enable timely intervention. This study focuses on developing an Artificial Intelligence (AI) predictive model for engineering students at the Faculty of Higher Studies Aragón (FES Aragón) of the National Autonomous University of Mexico (UNAM), utilizing a classification approach based on early-semester performance indicators. The goal of this study is to develop an algorithm that can identify students who, based on their academic trajectory patterns, may be at risk of dropping out. By identifying these students early, targeted interventions such as tutoring, remedial courses, and other support strategies can be implemented to help them stay on track and complete their university studies. The dataset consists of academic records from multiple student cohorts. Grades from the first and second semesters were encoded to represent exam attempts and passing conditions. Several Artificial Intelligence based classification models were tested using MATLAB. Feature importance was evaluated through correlation matrices and Parallel Coordinates Plot analysis. Adjusting training-test splits and modifying classification costs were also assessed to enhance model performance. Preliminary results indicate that when using first- and second-semester grades alone, classification accuracy reaches 72.48 %, with models such as the Ensemble Subspace K-Nearest Neighbors demonstrating an Area Under the Receiver Operating Characteristic Curve (AUC) of 0.7827. For prediction incorporating data up to the third semester, models achieved a highest accuracy of 78.85 %, with the Medium Gaussian Support Vector Machines model demonstrating a high AUC of 0.8438. Current work focuses on optimizing the model through feature selection and fine-tuning classification weights to enhance predictive capabilities. This work explores the potential of AI-driven predictive modeling in identifying students at risk of academic attrition. While classification models achieve reasonable accuracy, further refinements are necessary. Future work will investigate the integration of additional contextual factors, such as socioeconomic variables and engagement metrics, to enhance the model's effectiveness.","2837-5025","979-8-3315-8879-3","10.1109/WEEF-GEDC66748.2025.11256450","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11256450","machine learning;predictive modeling;student attrition;student retention;higher education","Support vector machines;Accuracy;Target tracking;Trajectory tracking;Machine learning;Predictive models;Data models;Trajectory;Engineering students;Socioeconomics","","","","19","IEEE","1 Dec 2025","21-25 Sept. 2025","21-25 Sept. 2025","IEEE","IEEE Conferences"
"Entangled Two-Photon Spectroscopy Assisted by Machine Learning","Á. Martínez-Tapia; R. De J. León-Montiel","Instituto de Ciencias Nucleares, Universidad Nacional Autónoma de México, CDMX, Mexico; Instituto de Ciencias Nucleares, Universidad Nacional Autónoma de México, CDMX, Mexico",2025 Conference on Lasers and Electro-Optics (CLEO),"14 Oct 2025","2025","","","1","2","We propose a machine learning protocol to determine the number of intermediate levels participating in a two-photon excitation process. Our method achieves up to 99.713% identification efficiency for systems with one to four intermediate levels.","2160-8989","978-1-957171-50-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11191979","","Spectroscopy;Protocols;Machine learning;Lasers and electrooptics;Laser excitation;Electro-optical waveguides","","","","6","","14 Oct 2025","4-9 May 2025","4-9 May 2025","IEEE","IEEE Conferences"
"Deep Learning Approach for Aortic Valve Localization, Detection and Segmentation in Computed Tomography Volumes","R. O. Azuara-Domínguez; J. Olveres; B. Escalante-Ramírez; E. Vallejo","Posgrado de Ingeniería Eléctrica, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Centro Médico ABC, Mexico city, Mexico",2025 IEEE 38th International Symposium on Computer-Based Medical Systems (CBMS),"4 Jul 2025","2025","","","1","4","Standard view cardiac computed tomography (CT) images are of great importance in clinical practice due to the valuable diagnostic information they provide. However, navigating these (3D) medical images to identify such a view can represent a time-consuming process, subject to inter-operator variability. This study presents an approach using a Multiscale Vision Transformer (MViT) to infer the rotation parameters required to obtain standard views and subsequently focus on extracting the left ventricular outflow tract (LVOT) view. Once this view is obtained, the aortic valve is detected and segmented using well-known convolutional neural networks (CNNs), specifically ResNet18 for detection and U-Net for segmentation. The methodology used for its training is detailed, along with the metrics employed to evaluate their performance. Finally, the results obtained for each stage are presented. This approach provides a clear understanding of the performance of each model, from rotation parameter prediction to aortic valve detection and segmentation.","2372-9198","979-8-3315-2610-8","10.1109/CBMS65348.2025.00063","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058708","3D volume Cardiac CT;Deep Learning;Regression;Segmentation;Rotation matrix;Attention","Deep learning;Image segmentation;Three-dimensional displays;Computed tomography;Computational modeling;Pipelines;Predictive models;Valves;Data models;Standards","","","","12","IEEE","4 Jul 2025","18-20 June 2025","18-20 June 2025","IEEE","IEEE Conferences"
