"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"MMDA: A Multimodal and Multisource Domain Adaptation Method for Cross-Subject Emotion Recognition From EEG and Eye Movement Signals","M. Jiménez-Guarneros; G. Fuentes-Pineda; J. Grande-Barreto","Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Ciudad de México, Mexico; Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Ciudad de México, Mexico; Information Technology Engineering, Universidad Politécnica de Puebla, Cuanalá, Puebla, Mexico",IEEE Transactions on Computational Social Systems,"7 Oct 2025","2025","12","5","2214","2227","Multimodal emotion recognition from electroencephalogram (EEG) and eye movement signals has shown to be a promising approach to provide more discriminative information about human emotional states. However, most current works rely on a subject-dependent approach, limiting their applicability to new users. Recently, some studies have explored multimodal domain adaptation to address the mentioned issue by transferring information from known subjects to new ones. Unfortunately, existing methods are still exposed to negative transfer as a suboptimal distribution alignment is performed between subjects, while irrelevant information is not discarded. In this article, we present a multimodal and multisource domain adaptation (MMDA) method, which adopts the following three strategies: 1) marginal and conditional distribution alignments must be performed between each known subject and a new one; 2) relevant distribution alignments must be prioritized to avoid a negative transfer; and 3) modality fusion results should be improved by extracting more discriminative features from EEG signals and selecting relevant features across modalities. Our proposed method was evaluated with leave-one-subject-out cross validation on four public datasets: SEED, SEED-GER, SEED-IV, and SEED-V. Experimental results show that our proposal outperforms state-of-the-art results for each dataset when subject data from different sessions are combined into a single dataset. Moreover, MMDA exceeds the state of the art in 8 out of 11 different sessions when each session is evaluated.","2329-924X","","10.1109/TCSS.2024.3519300","UNAM Posdoctoral Program (POSDOC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10819285","Deep learning;electroencephalogram (EEG);eye movement (EM);multimodal emotion recognition (MER);multimodal unsupervised domain adaptation (UDA);multisource domain adaptation (MDA)","Electroencephalography;Emotion recognition;Neural networks;Feature extraction;Data models;Training;Physiology;Correlation;Brain modeling;Adaptation models","","6","","40","IEEE","31 Dec 2024","Oct. 2025","","IEEE","IEEE Journals"
"Fault diagnosis in a HVAC monophase transmission line","E. A. G. Rodriguez; C. Verde","Instituto de Ingenieria Universidad Nacional Autonoma de Mexico Delegación Coyoacán, Ciudad de México; Instituto de Ingenieria Universidad Nacional Autonoma de Mexico Delegación Coyoacán, Ciudad de México","2025 International Conference on Control, Automation and Diagnosis (ICCAD)","6 Aug 2025","2025","","","1","6","This paper applies linear attention methods (LAMs) for creating models that recognize voltage sag, swell and harmonics in high voltage alternate current (HVAC) for a monophase transmission line. The method can simultaneously predict all the faults while working with various windows frames even as small as a half cycle. The approach is based on using data and allowing the model to learn the mathematical relationship between the input and the expected output by itself. The usage of LAMs made effective and precise predictions, in addition to the faster processing of information as compared with traditional attention models. The inclusion of different types of noises has not greatly affected the model’s performance, which produces a reliable method for identifying these types of distortions.","2767-9896","979-8-3315-1191-3","10.1109/ICCAD64771.2025.11099340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11099340","","Fault diagnosis;Adaptation models;Power transmission lines;HVAC;Noise;Distortion;Transmission line measurements;Mathematical models;Data models;Distortion measurement","","","","30","IEEE","6 Aug 2025","1-3 July 2025","1-3 July 2025","IEEE","IEEE Conferences"
"Fast Taylor-Fourier Transform for Monitoring Modern Power Grids With Real-Time Dynamic Harmonic Estimation","J. A. d. l. O. Serna; A. Zamora-Mendez; G. E. Mejia-Ruiz; M. R. A. Paternina; D. Dotta; L. Lugnani; M. Garcia; P. R. D. R. Silva","Department of Electrical Engineering, Autonomous University of Nuevo Leon, Monterrey, NL, Mexico; Electrical Engineering Faculty, State University of Michoacan, Morelia, Mexico; Electrical Engineering-Power Systems, Universidad Nacional Autónoma de México, Mexico, Mexico; Department of Electrical Engineering, Universidad Nacional Autónoma de México, Mexico, Mexico; Department of Electrical Engineering, University of Campinas, Campinas, Brazil; Department of Electrical Engineering, University of Campinas, Campinas, Brazil; Department of Electrical Engineering, University of Campinas, Campinas, Brazil; Department of Electrical Engineering, University of Campinas, Campinas, Brazil",IEEE Transactions on Power Delivery,"24 Jul 2024","2024","39","4","2242","2252","This paper proposes the FTFT for the real-time monitoring of modern power grids through dynamic harmonic estimations. The FTFT results from the DTTFT implemented with the FFT, instead of its filter bank implementation. In FTFT, the harmonic Taylor-Fourier coefficients are obtained in batch, and from these complex coefficients, estimates of frequency, amplitude, and RoCoF are obtained. The FTFT is embedded in two low-cost platforms, one consisting of a digital signal processor (DSP) coded using C programming language, and a development PMU (D-PMU); where a computationally efficient calculation of the FTFT is coded in both platforms. Both platforms process instantaneous voltage and current signals, rendering phasor and harmonic estimates as if they were extracted by the impulse response of a set of FIR filters and their first and second differentiators of the DTTFT. The phasor and harmonic estimations are accomplished using a sliding window that updates sample by sample, instantaneously providing amplitude, phase, frequency, and RoCoF estimations at the fundamental and harmonic frequencies with a high reporting rate. Experimental results confirm the proposition's performance, precision, and effectiveness under steady-state conditions, sudden changes, and harmonic analysis.","1937-4208","","10.1109/TPWRD.2024.3400157","Consejo Nacional de Humanidades, Ciencias y Tecnologías(grant numbers:CF-2023-I-1174); Ciencia de Frontera 2023; Project Support Program for Research and Technological Innovation of UNAM (DGAPA, PAPIIT-2023-2025)(grant numbers:IT102723); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10529327","Phasor estimation;frequency;rate-of-change-of-frequency;phasor measurement unit;fast taylor-fourier transform","Harmonic analysis;Power harmonic filters;Phasor measurement units;Frequency estimation;Estimation;Transforms;Monitoring;Fourier transforms;Taylor series","","13","","34","IEEE","13 May 2024","Aug. 2024","","IEEE","IEEE Journals"
"Evaluating the Existence of Fractions During the Frequency Measurement Process","F. N. Murrieta-Rico; O. Sergiyenko; P. Mercorelli; V. Petranovskii","Ingeniería Mecatrónica, Universidad Politécnica de Baja California, Mexicali, México; Instituto de Ingeniería, Universidad Autónoma de Baja California, Mexicali, México; Leuphana University of Lueneburg, Lueneburg, Germany; Centro de Nanociencias y Nanotecnología, Universidad Nacional Autónoma de México, Ensenada, México",2025 Joint Conference of the European Frequency and Time Forum and IEEE International Frequency Control Symposium (EFTF/IFCS),"15 Oct 2025","2025","","","1","5","SummaryThe estimation of frequency in a signal is a task that is required by plenty of devices, where the knowledge of the frequency can lead to retrieving important information. Accordingly, a good approximation to the desired frequency is required. Although there are different methods, principles and devices for accomplishing such a task, in practice, fast and accurate ways for estimating frequency are always sought. In recent years, the method of rational approximations has been explored as a novel tool for estimating frequency, where its main leverage over other methods is that the time where uncertainty reduces is decreased as a consequence of an increment of the desired and reference frequency values. For this method, although different applications have been found and many characteristics about how it works have been studied, there are aspects that need to be further explored. In particular, this work addresses how the mediant fractions appear in an experimental measurement process.","2327-1949","979-8-3315-1079-4","10.1109/EFTF/IFCS64367.2025.11194426","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11194426","frequency estimation;uncertainty;mediant fractions","Time-frequency analysis;Uncertainty;Accuracy;Atmospheric measurements;Process control;Europe;Estimation;Particle measurements;Frequency estimation;Frequency control","","","","13","IEEE","15 Oct 2025","12-16 May 2025","12-16 May 2025","IEEE","IEEE Conferences"
"Enhancement of Mechanical Properties In Fiber-Reinforced Epoxy Composites With Luffa Aegyptiaca","Y. Musa; U. Yusuf; A. Aguilar-Granda; J. Vallejo-Montesinos; D. Contreras-Lopez; L. O. Sanchez-Vargas; B. I. Cerda-Cristerna; R. Lopez-Esparza; A. L. Herrera-May; E. Delgado-Alvarado","Department of Chemistry Al-Istiqama, University, Kano, Nigeria; Department of Chemistry, Federal University Gusau, Zamfara State, Nigeria; Facultad de Quimica, Universidad Nacional Autonoma de México, Ciudad Universitaria, Ciudad de México, México; Departamento de Quimica, Division de Ciencias Naturales y Exactas, Universidad de Guanajuato; Departamento de Ingenieria Quimica, Division de Ciencias Naturales y Exactas, Universidad de Guanajuato; Oral Biochemistry and Microbiology Laboratory, Faculty of Stomatology, Universidad Autonoma de San Luis Potosí, San Luis Potosí; School od Dentistry, Universidad Veracruzana, Rio Blanco, Veracruz, México; Departamento de Fisica, Universidad de Sonora, Hermosillo, Sonora, México; Micro and Nanotechnology Research Center, Universidad Veracruzana, Boca del Rio, Veracruz, México; Micro and Nanotechnology Research Center, Universidad Veracruzana, Boca del Rio, Veracruz, México",2024 IEEE International Conference on Engineering Veracruz (ICEV),"29 Nov 2024","2024","","","1","7","This study explores the mechanical and chemical properties of Luffa aegyptiaca fiber reinforced epoxy composites, enhanced through various chemical treatments. Luffa aegyptiaca fibers, both in particulate and short forms, were subjected to treatments using NaOH, benzoyl chloride, and phenyltriethoxysilane to modify their surface chemistry and topography, as evidenced by Scanning Electron Microscopy (SEM) and Fourier Transform Infrared Spectroscopy (FTIR) analyses. The mechanical properties, including tensile and flexural strength, alongside water absorption capabilities and chemical resistance, were evaluated for both treated and untreated fibers. Results demonstrated significant improvements in mechanical strengths and chemical resistance in treated fibers compared to their untreated counterparts, with saline treated particulate fiber composites showing the most substantial enhancements. These findings suggest that treated Luffa aegyptiaca fiber composites could serve as viable materials for applications such as furniture and construction components, providing a sustainable alternative to conventional synthetic composites.","","979-8-3503-9161-9","10.1109/ICEV63254.2024.10765987","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10765987","Luffa aegyptiaca;epoxy composites;chemical treatment;mechanical properties;sustainable materials","Water;Scanning electron microscopy;Chemistry;Absorption;Surface resistance;Mechanical factors;Fourier transform infrared spectroscopy;Surface topography;Chemicals;Surface treatment","","2","","32","IEEE","29 Nov 2024","21-24 Oct. 2024","21-24 Oct. 2024","IEEE","IEEE Conferences"
"Exploratory Data Analysis and Classification of Hand Electromyographic Signals Using Classical Machine Learning Algorithms with Hyperparameters Optimization","J. L. Garza Rivera; A. E. Godínez; D. T. Varela","Universidad Da Vinci, CDMX, México; Universidad Da Vinci, CDMX, México; Facultad de Estudios Superiores Cuautitlán Universidad Nacional Autónoma de México Cuautitlan, Izcalli, México",2025 IEEE Latin American School on Computational Intelligence and Robotics (SAIBOT),"22 Jan 2026","2025","","","85","93","Digital signal processing involves recording a signal, making changes to it, and generating a new signal. In engineering, procedures have been developed to acquire signals and extract useful data from them. Once the characteristics have been extracted, they are classified using statistical and artificial intelligence methods. Understanding, comparing and using these characteristics is an important step before tackling massive data sets and deep learning algorithms. The limited capabilities of the embedded cards that can be included in EMG prostheses must also be considered. This paper proposes a basic exploratory analysis and the use of classical algorithms to decompose a set of EMG data. Various machine learning classification algorithms were evaluated, including multilayer perceptron neural networks, support vector machines (SVM), K-nearest neighbors (KNN), decision trees and random forests. The results were then compared using the accuracy, precision, recall, F1 score, and support value metrics. Classic machine learning algorithms are still an option for programming embedded systems that operate based on EMG signals. The quality and cleanliness of the data are as important as the choice of AI model.","","979-8-3315-8719-2","10.1109/SAIBOT67519.2025.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11344577","Classification algorithms;Data analysis;Feature extraction;Digital signal processing;Machine learning;Electromyography","Measurement;Support vector machines;Machine learning algorithms;Data analysis;Signal processing algorithms;Programming;Nearest neighbor methods;Electromyography;Data models;Classification algorithms","","","","51","IEEE","22 Jan 2026","28-31 Oct. 2025","28-31 Oct. 2025","IEEE","IEEE Conferences"
"Spectral Characterization of the Ictal Phase in Epileptic Seizures of Temporal Lobe Using the Wavelet Transform","G. González-González; V. M. Velasco-Herrera; C. Alvarado-Serrano; A. Ortega-Aguilar","Biophysics and Medical Physics Department, Faculty of Sciences, UNAM, Mexico City, Mexico; Solar Radiation Department, Institute of Geophysics, UNAM, Mexico City, Mexico; Electrical Engineering Department, Bioelectronics Section, CINVESTAV, Mexico City, Mexico; Biochemistry Department, Faculty of Medicine, UNAM, Mexico City, Mexico","2025 22nd International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)","9 Dec 2025","2025","","","1","6","Epilepsy is a chronic disorder of brain function related to neuronal hyperactivity and hypersychronization. The electroencephalogram is the main clinical technic used to the epilepsy diagnosis and study. The ictal phase of the epileptic activity occurs when the brain and behavior manifestations are most prominent, however, there are no objective parameters to determine it, as well as to identify its onset and offset. In this research we propose a spectral time-frequency analysis to characterize this phase. Twenty-one ictal phases of temporal lobe epilepsy from men and women with focal onset were analyzed with the wavelet transform. Specific power and frequency patterns on the spectrograms were identified in 75% of ictal phases: an intermittent activity in $\delta$ band, followed by a hypersynchronization in $\delta$ and $\theta$ bands, and finally a power dispersion from 2 to 30 Hz; regardless of onset lateralization and sex. This pattern clearly limited the onset and offset of the seizure. Additionally, power and frequencies dispersion analysis between the nearest channels to the focus and the other channels were performed. No dispersion patterns were observed, but it was proposed that it could be related to the individual brain damage caused by the recurrent seizures. In conclusion, the quantitative analysis of ictal phases by means of wavelet transform offered a new visualization of the ictal phase and highlighted objective information in power and frequency, which can be used for helping with understanding and classification of this kind of seizures.","2642-3766","979-8-3315-5315-9","10.1109/CCE67728.2025.11272017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11272017","Epilepsy;ictal phase;neuronal synchronization;wavelet analysis","Temporal lobe;Visualization;Time-frequency analysis;Statistical analysis;Epilepsy;Wavelet analysis;Robustness;Synchronization;Dispersion;Spectrogram","","","","24","IEEE","9 Dec 2025","22-24 Oct. 2025","22-24 Oct. 2025","IEEE","IEEE Conferences"
"Power System Harmonics Identification Powered by an Eigensystem Realization Approach","M. G. Juarez; F. Reyes-Maldonado; A. Zamora-Mendez; J. Ortiz-Bejar; J. C. Silva-Chavez; M. R. Arrieta Paternina; V. Torres-Garcia","Michoacan University of Saint Nicholas of Hidalgo (UMSNH), MX; Michoacan University of Saint Nicholas of Hidalgo (UMSNH), MX; Universidad Michoacana San Nicolas de Hidalgo, MX; Michoacan University of Saint Nicholas of Hidalgo (UMSNH), MX; Michoacan University of Saint Nicholas of Hidalgo (UMSNH), MX; National Autonomous University of Mexico (UNAM), MX; Instituto Tecnologico de Morelia, MX",IEEE Latin America Transactions,"7 Aug 2025","2025","23","9","799","811","The proliferation of power electronic devices through the massive integration of renewable energy sources on the small and medium scales in power systems has unleashed high harmonic distortions visible in electrical variables such as voltages and currents. Besides the deteriorating power quality, this fact also imposes challenges in quantifying power quality indicators, advocating novel approaches that deal with this issue. In this context, this paper counteracts such challenges by proposing a strategy to effectively measure the individual and total harmonic distortions in modern power grids. The proposal conceives the well-known system identification technique, the eigensystem realization algorithm, as a filter bank to extract the harmonic components from actual measurements and simulated data. Simulation results of two test systems confirm the effectiveness of the proposed method in attaining reliable estimates for the power system transient harmonics, inter-harmonics, and sub-harmonics. Furthermore, actual measurements corresponding to the energizing of a bank of three single-phase transformers connected in grounded Wye-Delta in an isolated lab-scale system are used. The well-known fast Fourier transform (FFT) approach is also applied to validate the proposition, resulting in the proposed ERA-based method is up to 50 times more precise in some cases than FFT.","1548-0992","","10.1109/TLA.2025.11120371","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11120371","eigensystem realization algorithm;system identification;filter bank frequency response;power quality;total harmonic distortion","Power harmonic filters;Harmonic analysis;Filter banks;Finite impulse response filters;Monitoring;Fast Fourier transforms;Proposals;Power quality;Interference;Estimation","","","","","IEEE","7 Aug 2025","Sept. 2025","","IEEE","IEEE Journals"
"Adsorption of Dyes by Charcoal and Activated Charcoal from Moringa Oleifera Leaves","F. J. Cano; O. Reyes-Vallejo; R. M. Sánchez-Albores; A. Ashok; E. F. Vázquez-Vázquez; S. Escobar; A. Fernández-Madrigal; P. J. Sebastian","Institute of Molecules & Materials of Le Mans (IMMM) - Le Mans Université, Le Mans, France; Sección de Electrónica de Estado Sólido-Ingeniería eléctrica (SEES), CINVESTAV-IPN, Ciudad de México, México; Escuela de Ciencias Químicas, Universidad Autónoma de Chiapas (UNACH), Chiapas, México; Departamento de Materia Condensada, Instituto de Física, UNAM, Ciudad de México, México; Programa de Nanociencias y Nanotecnología, CINVESTAV-IPN, Ciudad de México, México; Instituto de Física-UNAM (IF-UNAM), Ciudad de México, México; Instituto de Energías Renovables-UNAM (IER-UNAM), Morelos, México; Instituto de Energías Renovables-UNAM (IER-UNAM), Morelos, México","2024 21st International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)","4 Dec 2024","2024","","","1","6","This study evaluates the adsorption efficiency of dyes (methylene blue, malachite green, and Rhodamine B) on charcoal and activated charcoal under controlled conditions. Significant variations in adsorption were observed which can be attributed to the molecular structure of the dye and the surface properties of the adsorbent. Malachite green showed the highest adsorption on inactivated charcoal, followed by methylene blue and Rhodamine B. Activation of charcoal increased the adsorption capacity for all dyes, especially for methylene blue and Rhodamine B, due to the introduction of oxygenated functional groups. Kinetic studies showed that the adsorption conformed to the pseudo-second-order model. The results suggest that activated charcoal is a promising material for dye removal, especially for those with lower initial affinities.","2642-3766","979-8-3503-7754-5","10.1109/CCE62852.2024.10771068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10771068","Moringa oleifera;activated charcoal;dye adsorption","Adsorption;Scalability;Fitting;Process control;Electrical engineering computing;Surface fitting;Kinetic theory;Wastewater treatment;Electrostatics;Surface treatment","","2","","22","IEEE","4 Dec 2024","23-25 Oct. 2024","23-25 Oct. 2024","IEEE","IEEE Conferences"
"Quasi-PT Symmetry: A Pathway to Better Laser Performance","B. Olyaeefar; E. Karabey; E. Şeker; R. El-Ganainy; A. Demir","UNAM - Institute of Materials Science and Nanotechnology, Bilkent University, Ankara, Turkey; UNAM - Institute of Materials Science and Nanotechnology, Bilkent University, Ankara, Turkey; UNAM - Institute of Materials Science and Nanotechnology, Bilkent University, Ankara, Turkey; Department of Electrical and Computer Engineering, Saint Louis University, Saint Louis, MO, USA; UNAM - Institute of Materials Science and Nanotechnology, Bilkent University, Ankara, Turkey",2025 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC),"15 Aug 2025","2025","","","1","1","Semiconductor laser diodes (LDs) are key enablers in various applications, including optical communication, material processing, and healthcare, because of their compact size, efficiency, and ease of integration. However, increasing LD output power while preserving spatial and spectral beam quality remains a challenge, often limited by nonlinear effects and filamentation. Established solutions, such as photonic crystals in VCSELs or tapered/antiguiding designs in EELDs, boost power and beam quality but inflate fabrication complexity and cost, hindering widespread adoption. [1]. Recently, non-Hermitian photonics has emerged as a paradigm for engineering the spatial distribution of optical gain and loss. Parity-time-symmetric (PTS) lasers, in particular, can achieve single-mode operation in both longitudinal and transverse directions. More advanced approaches, combining non-Hermitian engineering, supersymmetry, and topological physics, have been proposed for large-area laser arrays, yet realistic power levels and high beam quality remain elusive, often relying on pulsed pumping or exhibiting spurious passive-waveguide emission [2], [3]. Here, we present a systematic theoretical and experimental comparison of PTS and quasi-PTS (q-PTS) EELDs (see Fig. 1). Although both architectures achieve comparable output powers under similar pumping conditions, only q-PTS lasers maintain excellent beam quality (M2 < 1.5) at power levels near 0.5 W, surpassing PTS devices (M2 ≈ 4). Moreover, power conversion efficiency remains unaffected in q-PTS structures, indicating a minimal trade-off between filtering higher-order modes and preserving overall device efficiency. Equally important, these benefits are achieved without adding complexity or additional fabrication steps beyond a conventional EELD process. These findings challenge the prevailing notion that spatial filtering must be enforced by PTS, which can introduce side lobes that degrade beam quality. Instead, q-PTS leverages stronger coupling among higher-order modes while leaving the fundamental mode unperturbed, striking an optimal balance between mode selectivity and practicality. Our results, therefore, offer a roadmap for large-area single-mode EELDs that deliver both high power and high beam quality, translating non-Hermitian concepts from proof-of-concept to real-world impact.","2833-1052","979-8-3315-1252-1","10.1109/CLEO/Europe-EQEC65582.2025.11110189","TUBITAK(grant numbers:117F361,123F158); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11110189","","Laser theory;Filtering;Power lasers;Laser modes;Laser excitation;Complexity theory;Laser beams;Vertical cavity surface emitting lasers;Pump lasers;Power generation","","","","3","IEEE","15 Aug 2025","23-27 June 2025","23-27 June 2025","IEEE","IEEE Conferences"
