"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Brain Connectivity Hypergraphs","A. N. Pisarchik; N. P. Serrano; R. Jaimes-Reátegui","Centro de Tecnología Biomédica Universidad Politécnica de Madrid Pozuelo de Alarcón, Madrid, Spain; Escuela Nacional de Estudios Superiores Juriquilla, Universidad Nacional Autónoma de México, Queretaro, Mexico; Departamento de Ciencias Exactas y Tecnología Centro Universitario de los Lagos, Universidad de Guadalajara, Lagos de Moreno, Jalisco, Mexico",2024 8th Scientific School Dynamics of Complex Networks and their Applications (DCNA),"21 Oct 2024","2024","","","190","193","Hypergraphs are a rapidly developing area of graph theory that has important applications in many fields, including cognitive neuroscience and medicine. In this paper, we review recent advances in the application of hypergraphs to brain connectivity analysis using brain imaging data. We also present our results on the construction of a hypergraph of brain connectivity during visual perception based on the analysis of magnetoencephalography (MEG) data. The hypergraph approach allowed us to identify individual differences in frequency bands, offering deeper insights into the dynamic nature of brain connectivity. Extending traditional graph theory, we defined a functional network connecting different brain regions (vertices) across time segments by generating edge time series that capture temporal fluctuations in connectivity. Using a coherence measure, we created edge time series to illustrate how connections evolve over time. These series contribute to the edge-to-edge functional connectivity network, highlighting hyperedges as connected components in the absolute value functional connectivity network. We identified key features of the brain network across the delta, theta, alpha, beta, and gamma frequency bands and examined interactions among the frontal, parietal, temporal, and occipital lobes in both hemispheres. Our findings support the existence of cortico-cortical interactions, and the resulting hypergraph revealing robust activation patterns in specific brain regions. These results suggest potential integration and multifunctionality within the lobes, providing valuable insights into brain dynamics during visual perception.","2770-744X","979-8-3503-9083-4","10.1109/DCNA63495.2024.10718518","Russian Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10718518","hypergraph;brain connectivity;cognitive neuroscience;visual perception;magnetoencephalography (MEG)","Reviews;Time series analysis;Coherence;Reliability theory;Brain modeling;Graph theory;Time measurement;Occipital Lobe;Optimization;Visual perception","","3","","15","IEEE","21 Oct 2024","19-21 Sept. 2024","19-21 Sept. 2024","IEEE","IEEE Conferences"
"Finding ϵ-Locally Optimal Solutions for Multiobjective Multimodal Optimization","A. E. Rodriguez-Fernandez; L. Schäpermeier; C. Hernández; P. Kerschke; H. Trautmann; O. Schütze","Department of Computer Science, CINVESTAV-IPN, Ciudad de Mexico, Mexico; Big Data Analytics in Transportation, Technische Universitat Dresde, Dresden, Germany; Ciencias de la computación, Universidad Nacional Autonoma de Mexico Instituto de Investigaciones en Matematicas Aplicadas y Sistemas, Ciudad de Mexico, Mexico; Big Data Analytics in Transportation, Technische Universitat Dresde, Dresden, Germany; Department of Machine Learning and Optimisation, University of Paderborn, Paderborn, Germany; Department of Computer Science, CINVESTAV-IPN, Ciudad de Mexico, Mexico",IEEE Transactions on Evolutionary Computation,"10 Oct 2025","2025","29","5","2019","2031","In this article, we address the problem of computing all locally optimal solutions of a given multiobjective problem whose images are sufficiently close to the Pareto front. Such  $\epsilon $ -locally optimal solutions are particularly interesting in the context of multiobjective multimodal optimization (MMO). To accomplish this task, we first define a new set of interest,  $L_{Q,\epsilon }$ , that is strongly related to the recently proposed set of  $\epsilon $ -acceptable solutions. Next, we propose a new unbounded archiver,  $ArchiveUpdateL_{Q,\epsilon }$ , aiming to capture  $L_{Q,\epsilon }$  in the limit. This archiver can in principle be used in combination with any multiobjective evolutionary algorithm (MOEA). Further, we equip numerous MOEAs with  $ArchiveUpdateL_{Q,\epsilon }$ , investigate their performances across several benchmark functions, and compare the enhanced MOEAs with their archive-free counterparts. For our experiments, we utilize the well-established metrics HV, IGDX, and  $\Delta _{p}$ . Additionally, we propose and use a new performance indicator,  $I_{\mathrm { EDR}}$ , which results in comparable performances but which is applicable to problems defined in higher dimensions (in particular in decision variable space).","1941-0026","","10.1109/TEVC.2024.3458855","European Research Center for Information Systems (ERCIS); CONAHCYT to pursue his Postdoc Fellowship at the CINVESTAV-IPN; Center for Scalable Data Analytics and Artificial Intelligence (ScaDS.AI) Dresden/Leipzig; Research Provided by UNAM’s Project PAPIIT(grant numbers:IA102923); CONAHCYT Project(grant numbers:CBF2023-2024-1463); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677365","Evolutionary computation;local solutions;multimodal optimization (MMO);multiobjective optimization","Optimization;Evolutionary computation;Approximation algorithms;Benchmark testing;Vectors;Surveys;Pareto optimization","","8","","79","IEEE","11 Sep 2024","Oct. 2025","","IEEE","IEEE Journals"
"Graph Theory-Based Fault Location Method for Transmission Systems With Renewable Energy Sources","V. Gonzalez; V. Torres-García; D. Guillen; L. M. Castro","Postgraduate in Electrical Engineering, National Autonomous University of Mexico (UNAM), Mexico City, Mexico; GIIE, National Technological Institute of Mexico, Morelia, Mexico; School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Nuevo Leon, Mexico; Department of Electrical Energy, National Autonomous University of Mexico (UNAM), Mexico City, Mexico",IEEE Open Access Journal of Power and Energy,"9 Dec 2024","2024","11","","611","623","Fault location has been crucial in minimizing fault restoration time. Various techniques and methodologies have been deployed to enhance the performance of fault location algorithms, especially in light of the increasing integration of renewable energy sources. In this context, this paper describes a graph-theory-based method for fault location in power networks with renewable energy sources. This novel technique is designed to provide accurate fault distance estimates, even in the presence of severe noise and fault resistance. It takes advantage of graph theory and equivalent impedances applying Kirchhoff’s laws systematically to ensure accurate fault location even in the presence of fault resistances. To showcase the improved accuracy of the proposed methodology, a comparison with typical impedance-based two-terminal fault location methods is carried out. The effectiveness of the proposed algorithm was proven with different electrical systems. Average errors inferior to 0.22% and 0.48% were obtained for single-phase faults and three-phase faults with resistances up to  $200~\Omega $  respectively, which confirms the improved performance with respect to conventional algorithms implemented in typical impedance relays.","2687-7910","","10.1109/OAJPE.2024.3507537","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10769500","Algorithms;graph theory;fault location;impedance methods;transmission lines","Fault location;Accuracy;Power transmission lines;Renewable energy sources;Graph theory;Transmission line measurements;Fault currents;Transmission line matrix methods;Synchronization;Power system reliability;Impedance","","1","","38","CCBY","27 Nov 2024","2024","","IEEE","IEEE Journals"
"Modeling and Simulation of Water Distribution Networks using Nonlinear Oscillators","L. Torres; J. Jiménez-Cabas","Instituto de Ingeniería Universidad Nacional Autónoma de México, Mexico City, Mexico; Depto. de Ciencias de la Computación y Electrónica, Universidad de la Costa, Barranquilla, Colombia",2024 IEEE International Conference on Automation/XXVI Congress of the Chilean Association of Automatic Control (ICA-ACCA),"29 Nov 2024","2024","","","1","6","This article presents a novel approach for modeling Water Distribution Networks (WDNs) based on physical principles, graph theory, and the pseudo-transient continuation method. The main feature of this approach is that it permits the representation of WDNs as fully interconnected networks of damped nonlinear oscillators, with each oscillator formulated as a Liénard system given in terms of the flow rates. This representation facilitates the design of control and observation algorithms, particularly in scenarios where the WDNs lack pressure sensors. To show the possible usages of this approach, a state observer for estimating the user’s water demands is designed and numerically tested.","","979-8-3503-7811-5","10.1109/ICA-ACCA62622.2024.10766786","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10766786","water distribution networks;modeling;state observers;pressure-driven demands","Pressure sensors;Nonlinear equations;Distribution networks;Mathematical models;Graph theory;Numerical models;Steady-state;Reliability;State estimation;Oscillators","","","","20","IEEE","29 Nov 2024","20-23 Oct. 2024","20-23 Oct. 2024","IEEE","IEEE Conferences"
"Regional centres of inertia by clustering-based identification","A. Sanchez-Ocampo; J. M. Ramirez; A. Diaz-Perez; M. R. Arrieta Paternina","Department of Electrical Engineering, Centre for Research and Advanced Studies, Guadalajara, México; Department of Electrical Engineering, Centre for Research and Advanced Studies, Guadalajara, México; Department of Electrical Engineering, Centre for Research and Advanced Studies, Guadalajara, México; Department of Electrical Engineering, National Autonomous University of Mexico, México City, México",2025 IEEE Kiel PowerTech,"6 Oct 2025","2025","","","1","6","This study applies graph theory to regional frequency analysis in power systems. A novel methodology combines centre of inertia (COI) location with community detection, using an improved label propagation algorithm and spectral centrality analysis. The approach evaluates frequency dynamics by analysing COI behaviour at key buses. The framework divides the grid into well-defined clusters with strong internal connectivity and precise separation. Integrating topological data—such as generation locations and transmission line admittances- precisely identifies each cluster's COI. Simulations on the New England 68-bus test system validate the framework's effectiveness and accuracy.","","979-8-3315-4397-6","10.1109/PowerTech59965.2025.11180645","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11180645","Frequency monitoring;centre-of-inertia;structural analysis;community detection;graph analysis","Accuracy;System performance;Clustering algorithms;Power system stability;Transmission line measurements;Power grids;Phasor measurement units;Graph theory;System buses;Monitoring","","","","30","IEEE","6 Oct 2025","29 June-3 July 2025","29 June-3 July 2025","IEEE","IEEE Conferences"
"An approach to inertial distribution in power grids by a modularity index","A. Sanchez-Ocampo; J. M. Ramirez; A. Diaz-Perez; M. R. Arrieta Paternina; A. Zamora-Mendez","Department of Electrical Engineering, Centre for Research and Advanced Studies, Guadalajara, México; Department of Electrical Engineering, Centre for Research and Advanced Studies, Guadalajara, México; Department of Electrical Engineering, Centre for Research and Advanced Studies, Guadalajara, México; Department of Electrical Engineering, National Autonomous University of Mexico, México City, México; Department of Electrical Engineering, University of San Nicolás de Hidalgo, Morelia, México",2025 IEEE Kiel PowerTech,"6 Oct 2025","2025","","","1","6","This research introduces a novel graph theory and structural analysis framework to assess inertia distribution in power grids. We define the Inertial Support Index (ISI), derived from an enhanced modularity index, to evaluate inertial robustness within identified grid communities. By integrating community detection algorithms, the grid is partitioned into cohesive clusters with strong internal connections and clear boundaries, enabling robust regional inertia distribution analysis. Our approach utilises topological data, including generator locations, transmission line admittances, and power flow, to quantify the inertial modularity of each area. The proposed methodology is validated on the New England 39-bus test system, demonstrating its accuracy and effectiveness in assessing the ISI.","","979-8-3315-4397-6","10.1109/PowerTech59965.2025.11180739","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11180739","Inertia distribution;structural analysis;community detection;graph analysis;modularity index","Power transmission lines;Stability criteria;Power system dynamics;Power system stability;Reliability engineering;Power grids;Robustness;Power system reliability;Indexes;Security","","","","29","IEEE","6 Oct 2025","29 June-3 July 2025","29 June-3 July 2025","IEEE","IEEE Conferences"
"Vulnerability assessment of power grids based on the centre-of-inertia","A. Sanchez-Ocampo; J. M. Ramirez; A. Diaz-Perez; M. R. A. Paternina","Department of Electrical Engineering, Centre for Research and Advanced Studies, Guadalajara, México; Department of Electrical Engineering, Centre for Research and Advanced Studies, Guadalajara, México; Department of Electrical Engineering, Centre for Research and Advanced Studies, Guadalajara, México; Department of Electrical Engineering, National Autonomous University of Mexico, México City, México",2025 IEEE Kiel PowerTech,"6 Oct 2025","2025","","","1","6","The paper proposes a new method to assess power grid vulnerability. By combining network analysis and power system parameters, critical nodes are identified. The metric considers factors like node location and connectivity. Simulations validate the method's accuracy, showing that disturbances at identified nodes can destabilise the grid. The results suggest the metric's potential for improving grid security and resilience through targeted monitoring and protection strategies.","","979-8-3315-4397-6","10.1109/PowerTech59965.2025.11180294","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11180294","critical nodes;electrical networks;frequency monitoring;metrics;topology;vulnerability","Surveillance;Power system stability;Stability analysis;Power grids;Frequency measurement;Topology;Security;Usability;Time-varying systems;Resilience","","","","29","IEEE","6 Oct 2025","29 June-3 July 2025","29 June-3 July 2025","IEEE","IEEE Conferences"
"Oscillation Source Location Assisted by the O-splines Filter","R. Dominguez-Navarrete; A. Zamora; J. Ortiz-Bejar; M. R. A. Paternina","Universidad Michoacana de San Nicolás de Hidalgo, Morelia, Mexico; Universidad Michoacana de San Nicolás de Hidalgo, Morelia, Mexico; Universidad Michoacana de San Nicolás de Hidalgo, Morelia, Mexico; UNAM, Mexico City","2025 IEEE International Autumn Meeting on Power, Electronics and Computing (ROPEC)","3 Feb 2026","2025","9","","1","6","In this paper, an efficient filtering process is proposed to improve the location of oscillation sources in power systems. The proposed method is based on the multiresolution discrete-time Taylor–Fourier transform (DTTFT) designed with O-splines. This multiresolution approach employs a specific design of bandpass filters for the precise extraction of oscillatory components from measured synchrophasor signals. This allows the integration of the Taylor-Fourier filter-bank with O-splines into the well-known dissipating energy flow (DEF) method for oscillation source location, which conventionally uses the Butterworth bandpass filter. The proposed O-splines filter, combined with the DEF method, has been validated considering different scenarios of forced oscillations, where four test cases were created from the well-known Kundur two-area power system to validate the proposal. The attained results confirm that the proposal’s advantages compared with the Butterworth filter, since it exhibits an outstanding oscillation source location performance, especially at the beginning of the disturbance.","2573-0770","979-8-3315-7673-8","10.1109/ROPEC68163.2025.11354047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11354047","","Band-pass filters;Filtering;Energy resolution;Position measurement;Power electronics;Phasor measurement units;Power systems;Proposals;Oscillators;Signal resolution","","","","22","IEEE","3 Feb 2026","12-14 Nov. 2025","12-14 Nov. 2025","IEEE","IEEE Conferences"
"Finding the Set of Nearly Optimal Solutions of a Multiobjective Optimization Problem","O. Schütze; A. E. Rodríguez-Fernandez; C. Segura; C. Hernández","Computer Science Department, CINVESTAV-IPN, Mexico City, Mexico; Computer Science Department, CINVESTAV-IPN, Mexico City, Mexico; Computer Science Department, Centre for Research in Mathematics, Guanajuato, Mexico; Computer Science Department, IIMAS-UNAM, Ciudad de México, Mexico",IEEE Transactions on Evolutionary Computation,"30 Jan 2025","2025","29","1","145","157","Evolutionary multiobjective optimization (EMO) is a highly active research field that has attracted many researchers and practitioners over the past three decades. Surprisingly, until now, the goal of almost all EMO algorithms is to compute a suitable finite size representation of the Pareto set/front of a given multiobjective optimization problem or at least a part of it. In other words, the quest is restricted to optimal solutions. In this work, we argue that the entire set of nearly optimal solutions—which includes all optimal ones—is of potential interest for the decision maker as they contain in addition to the optimal solutions alternative realizations or backup solutions. We further make a first effort to reliably compute the set of nearly optimal solutions via EMO algorithms. To this end, we first propose a new set of interest,  $N_{Q,\epsilon }$ , and analyze its topology. In a next step, we propose an unbounded archiver that aims to capture  $N_{Q,\epsilon }$  and analyze it with respect to monotonicity and limit behavior. After this, we discuss the related subset selection problem which comes with unbounded archivers leading to four different algorithms. Finally, we numerically investigate the behavior of the archiver and the selection strategies, and present some results when using the archiver as external archiver to three widely used multiobjective evolutionary algorithms indicating the benefit of the new approach.","1941-0026","","10.1109/TEVC.2024.3353546","UNAM through Project PAPIIT(grant numbers:IA102923); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10398537","Archiving;evolutionary computation;multiobjective optimization;nearly optimal solutions","Optimization;Pareto optimization;Topology;Task analysis;Computer science;Behavioral sciences;Approximation algorithms","","10","","70","IEEE","12 Jan 2024","Feb. 2025","","IEEE","IEEE Journals"
"An Evolutionary Approach for the Computation of ∈-Locally Optimal Solutions for Multi-Objective Multimodal Optimization","C. Hernández; A. E. Rodriguez-Fernandez; L. Schäpermeier; O. Cuate; H. Trautmann; O. Schütze","IIMAS-UNAM, Mexico; CINVESTAV-IPN, Mexico; University of Münster, Germany; ESFM -Instituto Politécnico Nacional, Mexico; University of Paderborn, Germany; CINVESTAV-IPN, Mexico",IEEE Transactions on Evolutionary Computation,"","2025","PP","99","1","1","In this paper, we address the problem of efficiently computing finite-size approximations of the set of -locally optimal solutions of a given multi-objective optimization problem (MOP). Such sets are in particular interesting in the context of multi-objective multimodal optimization (MMO). To this end, we first propose a bounded archiver, ArchiveUpdateLQ,∈B, that is, a modification of a previously proposed unbounded archiver. These archivers can be used as external archivers to in principle any multi-objective evolutionary algorithm (MOEA). In order to reduce the computational cost compared to such archive equipped MOEAs, we propose, in a next step LQ,∈MOEA. This evolutionary algorithm directly uses ArchiveUpdateLQ,∈B for the selection process and hence does not need an external archive for the computation of ∈-locally optimal solutions. We further propose a hybrid of LQ,∈MOEA with a multi-objective continuation method, which significantly improves the accuracy of the obtained solutions in case the gradient information is at hand. Finally, we show some numerical results that demonstrate the benefit of both the bounded archiver and the new MOEAs.","1941-0026","","10.1109/TEVC.2025.3637276","European Research Center for Information Systems; SECIHTI; Center for Scalable Data Analytics and Artificial Intelligence Dresden/Leipzig; Universidad Nacional Aut?noma de M?xico(grant numbers:IA102923); Consejo Nacional de Humanidades, Ciencias y Tecnologías(grant numbers:CBF2023-2024-1463); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11269362","Multi-objective optimization;evolutionary algorithms;nearly optimal solutions;multimodal optimization;archiving;continuation","Optimization;Evolutionary computation;Hands;Proposals;Convergence;Computational efficiency;Artificial intelligence;Accuracy;Approximation algorithms;Aerospace electronics","","","","","IEEE","26 Nov 2025","","","IEEE","IEEE Early Access Articles"
