"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Ahumada C.; Kaschel H.; Osorio-Comparan R.; Cordero S.; Valencia C.","Ahumada, Cristian (57193057965); Kaschel, Héctor (36602756100); Osorio-Comparan, Roman (24470341200); Cordero, Sergio (57193058684); Valencia, Claudio (60619318000)","57193057965; 36602756100; 24470341200; 57193058684; 60619318000","Design and Simulation of a High-Gain 4 × 1 Microstrip Patch Antenna Array at 2.45 GHz for Wi-Fi 6 and IoT Applications","2025","Proceedings -  IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies, ChileCon","","","","","","0","10.1109/CHILECON66915.2025.11476059","https://www.scopus.com/pages/publications/105038059108?origin=resultslist","Dept. Electrotechnics and Computer, Universidad Técnica Federico Santa María, Valparaiso, Chile; Dept. of Electrical Engineering, USACH, Santiago, Chile; Dept. of Computer Systems Engineering, IIMAS-UNAM, Ciudad de México, Mexico; Dept. of Electrical Engineering, University of Santiago de Chile (USACH), Santiago, Chile","Ahumada C., Dept. Electrotechnics and Computer, Universidad Técnica Federico Santa María, Valparaiso, Chile; Kaschel H., Dept. of Electrical Engineering, USACH, Santiago, Chile; Osorio-Comparan R., Dept. of Computer Systems Engineering, IIMAS-UNAM, Ciudad de México, Mexico; Cordero S., Dept. of Electrical Engineering, University of Santiago de Chile (USACH), Santiago, Chile; Valencia C., Dept. of Electrical Engineering, University of Santiago de Chile (USACH), Santiago, Chile","This paper presents the design and simulation of a high-gain 4 × 1 microstrip patch antenna array operating at 2.45 GHz, optimized for Wi-Fi 6 and Internet of Things (IoT) applications. Implemented on a cost-effective FR-4 substrate, the proposed structure achieves a simulated gain of 11.44 dBi, a return loss of -38.67 dB, and a voltage standing wave ratio (VSWR) of 1.158. A multi-stage impedance matching network based on 50 Ω, 70.71 Ω, and 100 Ω lines was employed to ensure efficient power distribution across the array. The specific absorption rate (SAR) was evaluated under IEEE C95.1 standard using a multilayer tissue model, yielding values well below the 1.6 W/kg (1 g) and 2 W/kg (10 g) limits. These results confirm the antenna’s suitability for wearable, on-body, and low-power wireless systems. © 2025 IEEE.","Antenna array; IoT; microstrip patch antenna; SAR; wearable antennas; Wi-Fi 6","Cost effectiveness; IEEE Standards; Impedance matching (electric); Internet of things; Microwave antennas; Slot antennas; Wearable antennas; Wi-Fi; Wireless local area networks (WLAN); Cost effective; Design and simulation; High gain; Micro-strip patch antennas; Microstrip patch antenna arrays; Microstrip-patch antenna; Returns loss; Specific absorption rate; WI - FI; Wi-fi 6; Antenna arrays; Microstrip antennas","28321529","979-835035736-3","","Conference paper","Final","","Scopus","2-s2.0-105038059108"
"Robustillo M.C.; Naranjo L.; Parra M.I.; Pérez C.J.","Robustillo, M. Carmen (57781375000); Naranjo, Lizbeth (55958761100); Parra, M. Isabel (56248552400); Pérez, Carlos J. (8289644900)","57781375000; 55958761100; 56248552400; 8289644900","Addressing multidimensional highly correlated data for forecasting in precision beekeeping","2024","Computers and Electronics in Agriculture","226","","109390","","","7","10.1016/j.compag.2024.109390","https://www.scopus.com/pages/publications/85202561525?origin=resultslist","Department of Mathematics, Universidad de Extremadura, Avda. Elvas s/n, Badajoz, 06006, Spain; Department of Mathematics, Universidad Nacional Autónoma de México, Ciudad Universitaria, Coyoacán, 04510 Ciudad de México, CDMX, Mexico","Robustillo M.C., Department of Mathematics, Universidad de Extremadura, Avda. Elvas s/n, Badajoz, 06006, Spain; Naranjo L., Department of Mathematics, Universidad Nacional Autónoma de México, Ciudad Universitaria, Coyoacán, 04510 Ciudad de México, CDMX, Mexico; Parra M.I., Department of Mathematics, Universidad de Extremadura, Avda. Elvas s/n, Badajoz, 06006, Spain; Pérez C.J., Department of Mathematics, Universidad de Extremadura, Avda. Elvas s/n, Badajoz, 06006, Spain","In recent years, there have been relevant advances in precision beekeeping. These advances are mainly focused on proposing sensor systems that collect crucial information for bee welfare, creating integrated architectures that allow beekeepers to monitor the current state of their hive through real-time data. However, there is a lack of predictive models that would allow beekeepers to anticipate specific events that endanger bee welfare and lead to a decline in productivity. Specifically, predictive approaches accounting for the high correlation among internal variables of beehives have not been developed to date. To address this research gap, multivariate predictive models, including auto-regressive state-space and time series models, have been implemented and applied to four different hives from the we4bee project. These models aim to predict the internal variables of beehives (four different temperatures, humidity, and weight) by utilizing the meteorological conditions to which the hives are exposed. A cross-validation adapted to time series data was employed for model generalization assessment. Prediction models based on vector time series exhibited superior performance in forecasting internal hive variables compared to multivariate auto-regressive state-space models. Overall, the approach based on the vector error correction model yielded the best balance between fit, prediction, and computational cost. The VEC-based approach produces predictions with maximum mean absolute errors of 177 (312)g in weight, 3.366 (3.802)% in humidity, and 1.122 (1.685)°C in temperature at 1 (3)-days ahead when dealing with beehives exhibiting a high degree of correlation in their internal variables. Moreover, the VEC-based approach requires less than a second to perform the time series fitting process, which makes it particularly interesting for application in big data environments. The integration of such models into a decision support system would meet the need of beekeepers to anticipate potential threats to the welfare of their bee colonies, streamlining their monitoring processes while eliminating the need for continuous inspections. © 2024","Correlation; Forecast; Machine learning; Precision beekeeping; Sensor data; Time series","Network security; Auto-regressive; Correlation; Forecast; Highly-correlated; Internal variables; Machine-learning; Precision beekeeping; Predictive models; Sensors data; Times series; apiculture; bee; correlation; decision support system; forecasting method; sensor; time series analysis; Prediction models","01681699","","CEAGE","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85202561525"
"Castañeda A.; Van Ditmarsch H.; Rosenblueth D.A.; Velázquez D.A.","Castañeda, Armando (15129698500); Van Ditmarsch, Hans (57215882990); Rosenblueth, David A (6603485343); Velázquez, Diego A (57225032330)","15129698500; 57215882990; 6603485343; 57225032330","Pattern Models: A Dynamic Epistemic Logic for Distributed Systems","2024","Computer Journal","67","7","","2421","2440","0","10.1093/comjnl/bxae016","https://www.scopus.com/pages/publications/85199515630?origin=resultslist","Instituto de Matemáticas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito exterior, 04510, Mexico; Centre National de la Recherche Scientifique, Institut de Recherche en Informatique de Toulouse, Université de Toulouse, 118 Route de Narbonne, Toulouse, F-31062 Cedex 9, France; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico; Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico","Castañeda A., Instituto de Matemáticas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito exterior, 04510, Mexico; Van Ditmarsch H., Centre National de la Recherche Scientifique, Institut de Recherche en Informatique de Toulouse, Université de Toulouse, 118 Route de Narbonne, Toulouse, F-31062 Cedex 9, France; Rosenblueth D.A., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico; Velázquez D.A., Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico","We introduce pattern models, a dynamic epistemic logic for analyzing distributed systems. First, we present a version of pattern models where the full-information protocol, widely studied in distributed computability, is static in the product definition of pattern models. Next, we parametrize such a logic so as to add the capability to model dynamics of arbitrary deterministic protocols. We thus give a systematic construction of pattern models for a large variety of distributed-computing models called dynamic-network models. Using pattern models, the epistemic dynamics of a proper subclass of dynamic-network models called oblivious can be described using a static pattern model, hence using constant space. For this case, we present a sufficient unsolvability condition for the consensus task that can be easily verified analyzing the structure of the initial epistemic model and the pattern model for a given oblivious dynamic-network model.  © 2024 The Author(s).","consensus; distributed computing; dynamic epistemic logic; dynamic-network models","Computation theory; Computer circuits; Consensus; Deterministic protocols; Distributed computabilities; Distributed systems; Dynamic epistemic logic; Dynamic network modeling; Full informations; Information protocols; Model dynamics; Product definition; Distributed computer systems","00104620","","CMPJA","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85199515630"
"Saldaña-Trejo L.M.; Gallegos-Garcia G.; Aldeco-Peréz R.","Saldaña-Trejo, Luis Miguel (60136541700); Gallegos-Garcia, Gina (35766133700); Aldeco-Peréz, Rocio (36607389400)","60136541700; 35766133700; 36607389400","Cryptographic consensus protocols in Blockchain for the Internet of Things; [Protocolos criptográficos de consenso en Blockchain para el Internet de las Cosas]","2025","Computacion y Sistemas","29","3","","1635","1650","0","10.13053/cys-29-3-5889","https://www.scopus.com/pages/publications/105018502969?origin=resultslist","Instituto Politecnico Nacional Centro de Investigación en Computación, Mexico; Universidad Nacional Autónoma de México, Mexico","Saldaña-Trejo L.M., Instituto Politecnico Nacional Centro de Investigación en Computación, Mexico; Gallegos-Garcia G., Instituto Politecnico Nacional Centro de Investigación en Computación, Mexico; Aldeco-Peréz R., Universidad Nacional Autónoma de México, Mexico","[No abstract available]","","","14055546","","","Article","Final","","Scopus","2-s2.0-105018502969"
"Godinez A.E.; Garza Rivera J.L.; Varela D.T.","Godinez, Angelica Espinoza (60522341100); Garza Rivera, Jose Luis (60522835500); Varela, David Tinoco (57203905051)","60522341100; 60522835500; 57203905051","Detection of DoS and DDoS Attacks Using LSTM in Computer Networks: A Systematic Literature Review","2025","Proceedings - 2025 IEEE Latin American School on Computational Intelligence and Robotics, SAIBOT 2025","","","","94","102","0","10.1109/SAIBOT67519.2025.00021","https://www.scopus.com/pages/publications/105033528083?origin=resultslist","Universidad da Vinci, CDMX, Mexico; Universidad Nacional Autónoma de México, Facultad de Estudios Superiores Cuautitlán, Cuautitlan Izcalli, Mexico","Godinez A.E., Universidad da Vinci, CDMX, Mexico; Garza Rivera J.L., Universidad da Vinci, CDMX, Mexico; Varela D.T., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores Cuautitlán, Cuautitlan Izcalli, Mexico","Artificial Intelligence (AI), with machine learning (ML) models and deep learning (DL) neural networks, represents a possibility for detecting DoS/DDoS attacks more effectively. The LSTM (Long Short-Term Memory) model is one of the options for detecting these increasingly varied and sophisticated attacks. The objective of this research was to evaluate the application of the LSTM model in the detection of DoS and DDoS cyber attacks on communications networks. This research was designed as a Systematic Literature Review to obtain the most recent studies on the subject. As a result, 86 initial studies were obtained from the databases. Once the entire procedure, including the quality assessment of the studies, was completed, 15 final primary studies were selected. With these primary studies, it was possible to answer all the questions in the review. It should be noted that modern SDN (Software Defined Network) networks, Cloud Computing networks, and classic networks are threatened by this type of attack. The LSTM models applied in the detection of DoS/DDoS attacks can be hybrid or combined. The most commonly used evaluation metrics are Accuracy, Recall, Precision, and F1-Score, and the most frequently found public datasets include NSL-KDD, CICDoS2019, and CICIDS2017. A wide variety of LSTM-based models and approaches that can be used to experiment and compare their performance in terms of communications network security. © 2025 IEEE.","Denial-of-service attack; Long short term memory; Machine learning; Network security; Systematic literature review","Computer networks; Denial-of-service attack; Distributed computer systems; Learning systems; Network security; Reviews; Communications networks; DDoS Attack; Denialof- service attacks; DoS/DDoS attacks; Machine learning models; Machine-learning; Memory modeling; Networks security; Short term memory; Systematic literature review; Long short-term memory","","979-833158719-2","","Conference paper","Final","","Scopus","2-s2.0-105033528083"
"Estivill-Castro V.; Carrillo M.; Rosenblueth D.A.","Estivill-Castro, Vladimir (55915978700); Carrillo, Miguel (15058600200); Rosenblueth, David A. (6603485343)","55915978700; 15058600200; 6603485343","LLFSMs to TLA+: A Model-to-Text Transformation of Executable Models Enabling Specification and Verification of Multi-Threaded and Concurrent Systems","2025","International Conference on Model-Driven Engineering and Software Development","1","","","15","26","0","10.5220/0013094700003896","https://www.scopus.com/pages/publications/105001832131?origin=resultslist","Department of Engineering, Pompeu Fabra University, Roc Boronat 138, Barcelona, 08018, Spain; Instituto de Investigaciones en Matemáaticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Apdo. 20-126, Ciudad de Mexico, 01000, Mexico","Estivill-Castro V., Department of Engineering, Pompeu Fabra University, Roc Boronat 138, Barcelona, 08018, Spain; Carrillo M., Instituto de Investigaciones en Matemáaticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Apdo. 20-126, Ciudad de Mexico, 01000, Mexico; Rosenblueth D.A., Instituto de Investigaciones en Matemáaticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Apdo. 20-126, Ciudad de Mexico, 01000, Mexico","As complexity of software systems increases, ensuring reliability becomes ever more crucial. Despite advances, behaviour-modelling techniques still face challenges due to semantic gaps. This work focuses on translating Logic-Labelled Finite-State Machines (LLFSMs) to the Temporal Logic of Actions (TLA), bridging the gap between a time-triggered formalism and common temporal logic for model checking. The translation is innovative as multi-threaded and distributed systems can now be designed using LLFSMs. We illustrate the translation with Fischer’s protocol (for multi-threaded systems), and release tools with examples for distributed systems. The approach addresses semantic gaps from three sources: differing finite-state machine semantics, variations in translating to executable models versus models for checking, and discrepancies between abstract and executable model translations. © 2025 by SCITEPRESS - Science and Technology Publications, Lda.","Executable Models; Formal Verification; Model Transformation; Reasoning About Models","","21844348","978-989758729-0","","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105001832131"
"Köse U.; Marmolejo-Saucedo J.A.; Rodriguez-Aguilar R.; Marmolejo-Saucedo L.; Rodriguez-Aguilar M.","Köse, Utku (36544118500); Marmolejo-Saucedo, Jose Antonio (57204678532); Rodriguez-Aguilar, Roman (56717663000); Marmolejo-Saucedo, Liliana (58590483500); Rodriguez-Aguilar, Miriam (58813504300)","36544118500; 57204678532; 56717663000; 58590483500; 58813504300","Genetic electro-search optimization for optimum energy consumption in edge computing-based internet of healthcare things","2024","Wireless Networks","30","9","","7361","7368","3","10.1007/s11276-023-03623-y","https://www.scopus.com/pages/publications/85182416415?origin=resultslist","Suleyman Demirel University, Isparta, Turkey; Engineering Department, Universidad Nacional Autonoma de Mexico. Av. Universidad 3000, Mexico City, 04510, Mexico; Facultad de Ciencias Económicas y Empresariales, Universidad Panamericana, Augusto Rodin 498, Mexico City, 03920, Mexico; ISSSTE, Cuernavaca, Mexico; Instituto Mexicano del Seguro Social, Mexico, Mexico","Köse U., Suleyman Demirel University, Isparta, Turkey; Marmolejo-Saucedo J.A., Engineering Department, Universidad Nacional Autonoma de Mexico. Av. Universidad 3000, Mexico City, 04510, Mexico; Rodriguez-Aguilar R., Facultad de Ciencias Económicas y Empresariales, Universidad Panamericana, Augusto Rodin 498, Mexico City, 03920, Mexico; Marmolejo-Saucedo L., ISSSTE, Cuernavaca, Mexico; Rodriguez-Aguilar M., Instituto Mexicano del Seguro Social, Mexico, Mexico","Energy consumption is a vital issue when optimum usage and carbon footprint are all considered in today’s Internet of Things (IoT) environments. Considering edge computing, that becomes too critical in terms of wireless devices with limited battery power. Especially in healthcare applications, the defined IoHT approach requires sustainability while future massive solutions may result negative outputs in terms of carbon footprint. So, optimum energy consumption seems positive in terms of multiple ways. In the literature, one trendy method is using clustering for lowering the energy consumption within the Internet of Healthcare Things (IoHT) environment on edge computing. In this study, optimization of energy consumption in IoHT was done via improved Genetic Electro-Search Optimization (GESO) algorithm. According to the obtained findings in the performed applications, GESO was effective enough in finding optimum conditions of energy consumption for an active IoHT setup. © The Author(s) 2024.","Edge computing; Energy consumption; Genetic electro-search optimization; Internet of healthcare things","Carbon footprint; Edge computing; Genetic algorithms; Green computing; Health care; Internet of things; Sustainable development; Battery power; Edge computing; Energy-consumption; Genetic electro-search optimization; Health care application; Internet of healthcare thing; Optimum energy; Optimum usage; Search optimization; Wireless devices; Energy utilization","10220038","","WINEF","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85182416415"
"Arevalo-Ancona R.E.; Cedillo-Hernandez M.; Garcia-Ugalde F.J.","Arevalo-Ancona, Rodrigo Eduardo (58478737700); Cedillo-Hernandez, Manuel (25521406600); Garcia-Ugalde, Francisco Javier (55989774900)","58478737700; 25521406600; 55989774900","Robust Image Tampering Detection and Ownership Authentication Using Zero-Watermarking and Siamese Neural Networks","2024","International Journal of Advanced Computer Science and Applications","15","10","","436","446","0","10.14569/IJACSA.2024.0151046","https://www.scopus.com/pages/publications/86000672959?origin=resultslist","Instituto Politecnico Nacional, SEPI-ESIME Culhuacan, Mexico City, Mexico; Universidad Nacional Autonoma de Mexico, Facultad de Ingenieria, Mexico City, Mexico","Arevalo-Ancona R.E., Instituto Politecnico Nacional, SEPI-ESIME Culhuacan, Mexico City, Mexico; Cedillo-Hernandez M., Instituto Politecnico Nacional, SEPI-ESIME Culhuacan, Mexico City, Mexico; Garcia-Ugalde F.J., Universidad Nacional Autonoma de Mexico, Facultad de Ingenieria, Mexico City, Mexico","The development of advanced image editing tools has significantly increased the manipulation of digital images, creating a pressing need for robust tamper detection and ownership authentication systems. This paper presents a method that combines zero-watermarking with Siamese neural networks to detect image tampering and verify ownership. The approach utilizes features from the Discrete Wavelet Transform (DWT) and employs two halftone images as watermarks: one representing the owner's portrait and the other corresponding to the protected image. A feature matrix is generated from the owner's portrait using the Siamese network and securely linked to the image's halftone watermark through an XOR operation. Additionally, data augmentation enhances the model's robustness, ensuring effective learning of image features even under geometric and signal processing distortions. Experimental results demonstrate high accuracy in recovering halftone images, enabling precise tamper detection and ownership verification across different datasets and image distortions (geometric and image processing distortions). © (2024), (Science and Information Organization). All rights reserved.","neural network; ownership authentication; tampering detection; Zero-watermarking","Authentication; Digital watermarking; Image enhancement; Watermarking; Digital image; Geometric processing; Halftone images; Image editing tools; Image tampering; Neural-networks; Ownership authentication; Tamper detection; Tampering detection; Zero-watermarking; Discrete wavelet transforms","2158107X","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-86000672959"
"García H.C.E.; Ruiz J.G.R.","García, Hugo C. Enríquez (58905812000); Ruiz, Javier G. Rodríguez (58905983100)","58905812000; 58905983100","Technological Digitalization Model for Medium-Sized Pig Farms in Mexico","2025","Lecture Notes in Business Information Processing","531 LNBIP","","","166","182","0","10.1007/978-3-031-76368-7_12","https://www.scopus.com/pages/publications/85211362348?origin=resultslist","University of Guadalajara (UdeG), Guadalajara, Mexico; National Autonomous University of Mexico (UNAM), Mexico City, Mexico","García H.C.E., University of Guadalajara (UdeG), Guadalajara, Mexico; Ruiz J.G.R., National Autonomous University of Mexico (UNAM), Mexico City, Mexico","This study aims to explain the latest digital technology trends in pig production in agricultural establishments that can be applied in a municipality in Mexico. The incorporation of technologies such as Artificial Intelligence (AI), the Internet of Things (IoT), and Blockchain has proven to increase biosecurity measures in pig farms, contributing to the prevention of associated diseases and improving the quality of meat production for the well-being of society. Based on this understanding, we have formulated a prototype proposal relevant to Mexico. Our proposal was structured using methodologies that included field visits to two pig farms located in Zapopan, Jalisco, interviews with specialists in veterinary medicine, and a review of relevant literature to understand the current global scenario regarding the digitalization of pig farms in search of the best practices to achieve a “smart farm”. Our results indicate the viability of integrating digital technologies into pig farming and the potential to expand this approach to other farms in Mexico. Specifically, we propose the implementation of IoT devices for monitoring NH3-CO2 levels and temperature, a mobile application for farm surveillance, and Blockchain technology for tracking the supply chain of raw materials and pharmaceuticals. Additionally, a microfluidic biosensor can be utilized for early detection of swine stress. To facilitate the widespread adoption of these technologies, we suggest promoting this type of initiative within the livestock industry and encouraging the integration of practices that prioritize technological advancements and animal welfare. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Digitalization of Farms; Information Technologies; Meat Quality; Prevention of Swine Diseases","Disease control; Diseases; Macroinvertebrates; Veterinary medicine; Bio-security; Block-chain; Digital technologies; Digitalization of farm; Me-xico; Meat quality; Pig farms; Pig production; Prevention of swine disease; Technology trends","18651348","978-303176367-0","","Conference paper","Final","","Scopus","2-s2.0-85211362348"
"Alvarez-Giron W.; Téllez-Torres J.; Tovar-Cortes J.; Gómez-Adorno H.","Alvarez-Giron, William (57219779944); Téllez-Torres, Jorge (59278318300); Tovar-Cortes, Javier (59278833200); Gómez-Adorno, Helena (55641734200)","57219779944; 59278318300; 59278833200; 55641734200","Team qIIMAS on Task 2 - Clustering","2024","CEUR Workshop Proceedings","3740","","","3064","3074","2","","https://www.scopus.com/pages/publications/85201582957?origin=resultslist","Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Facultad de Ciencias, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico","Alvarez-Giron W., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Téllez-Torres J., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico, Facultad de Ciencias, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Tovar-Cortes J., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico, Facultad de Ciencias, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Gómez-Adorno H., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico","This paper describes our participation in Task 2 of the QuantumCLEF lab, where we explored the use of quantum annealing for clustering 6486 document embeddings. We employed a Quadratic Unconstrained Binary Optimization (QUBO) formulation to address the NP-hard problem of k-medoids clustering, optimizing the selection of cluster centers without explicitly assigning each data point to a cluster. Our approach aimed to minimize pairwise dissimilarities among selected medoids while maximizing their separation, ensuring well-defined and diverse clusters. To manage the limitations of current quantum hardware, we implemented a hierarchical clustering procedure: initially reducing the dataset using classical methods and then applying quantum annealing for final medoid optimization. The results indicate that a combination of simulated annealing for initial clustering, followed by quantum annealing, yielded the best outcomes, achieving a Davies-Bouldin index of 4.6798 and an nDCG@10 of 0.5349 when using k = 50 clusters. This hierarchical approach underscores the potential of quantum annealing in enhancing clustering quality despite current hardware constraints. Our findings suggest that quantum-enhanced clustering methods could significantly advance the field of information retrieval and recommender systems by providing more efficient and accurate data organization techniques. © 2024 Copyright for this paper by its authors.","Clustering; Information Retrieval; Quantum Annealing; Recommender Systems","Adaptive boosting; Digital storage; Hierarchical clustering; Network security; NP-hard; Simulated annealing; 'current; Binary optimization; Clusterings; Embeddings; Hard problems; K-medoids clustering; Medoids; NP-hard; Optimization formulations; Quantum annealing; Recommender systems","16130073","","","Conference paper","Final","","Scopus","2-s2.0-85201582957"
