"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Robustillo M.C.; Naranjo L.; Parra M.I.; Pérez C.J.","Robustillo, M. Carmen (57781375000); Naranjo, Lizbeth (55958761100); Parra, M. Isabel (56248552400); Pérez, Carlos J. (8289644900)","57781375000; 55958761100; 56248552400; 8289644900","Addressing multidimensional highly correlated data for forecasting in precision beekeeping","2024","Computers and Electronics in Agriculture","226","","109390","","","7","10.1016/j.compag.2024.109390","https://www.scopus.com/pages/publications/85202561525?origin=resultslist","Department of Mathematics, Universidad de Extremadura, Avda. Elvas s/n, Badajoz, 06006, Spain; Department of Mathematics, Universidad Nacional Autónoma de México, Ciudad Universitaria, Coyoacán, 04510 Ciudad de México, CDMX, Mexico","Robustillo M.C., Department of Mathematics, Universidad de Extremadura, Avda. Elvas s/n, Badajoz, 06006, Spain; Naranjo L., Department of Mathematics, Universidad Nacional Autónoma de México, Ciudad Universitaria, Coyoacán, 04510 Ciudad de México, CDMX, Mexico; Parra M.I., Department of Mathematics, Universidad de Extremadura, Avda. Elvas s/n, Badajoz, 06006, Spain; Pérez C.J., Department of Mathematics, Universidad de Extremadura, Avda. Elvas s/n, Badajoz, 06006, Spain","In recent years, there have been relevant advances in precision beekeeping. These advances are mainly focused on proposing sensor systems that collect crucial information for bee welfare, creating integrated architectures that allow beekeepers to monitor the current state of their hive through real-time data. However, there is a lack of predictive models that would allow beekeepers to anticipate specific events that endanger bee welfare and lead to a decline in productivity. Specifically, predictive approaches accounting for the high correlation among internal variables of beehives have not been developed to date. To address this research gap, multivariate predictive models, including auto-regressive state-space and time series models, have been implemented and applied to four different hives from the we4bee project. These models aim to predict the internal variables of beehives (four different temperatures, humidity, and weight) by utilizing the meteorological conditions to which the hives are exposed. A cross-validation adapted to time series data was employed for model generalization assessment. Prediction models based on vector time series exhibited superior performance in forecasting internal hive variables compared to multivariate auto-regressive state-space models. Overall, the approach based on the vector error correction model yielded the best balance between fit, prediction, and computational cost. The VEC-based approach produces predictions with maximum mean absolute errors of 177 (312)g in weight, 3.366 (3.802)% in humidity, and 1.122 (1.685)°C in temperature at 1 (3)-days ahead when dealing with beehives exhibiting a high degree of correlation in their internal variables. Moreover, the VEC-based approach requires less than a second to perform the time series fitting process, which makes it particularly interesting for application in big data environments. The integration of such models into a decision support system would meet the need of beekeepers to anticipate potential threats to the welfare of their bee colonies, streamlining their monitoring processes while eliminating the need for continuous inspections. © 2024","Correlation; Forecast; Machine learning; Precision beekeeping; Sensor data; Time series","Network security; Auto-regressive; Correlation; Forecast; Highly-correlated; Internal variables; Machine-learning; Precision beekeeping; Predictive models; Sensors data; Times series; apiculture; bee; correlation; decision support system; forecasting method; sensor; time series analysis; Prediction models","01681699","","CEAGE","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85202561525"
"Saldaña-Trejo L.M.; Gallegos-Garcia G.; Aldeco-Peréz R.","Saldaña-Trejo, Luis Miguel (60136541700); Gallegos-Garcia, Gina (35766133700); Aldeco-Peréz, Rocio (36607389400)","60136541700; 35766133700; 36607389400","Cryptographic consensus protocols in Blockchain for the Internet of Things; [Protocolos criptográficos de consenso en Blockchain para el Internet de las Cosas]","2025","Computacion y Sistemas","29","3","","1635","1650","0","10.13053/cys-29-3-5889","https://www.scopus.com/pages/publications/105018502969?origin=resultslist","Instituto Politecnico Nacional Centro de Investigación en Computación, Mexico; Universidad Nacional Autónoma de México, Mexico","Saldaña-Trejo L.M., Instituto Politecnico Nacional Centro de Investigación en Computación, Mexico; Gallegos-Garcia G., Instituto Politecnico Nacional Centro de Investigación en Computación, Mexico; Aldeco-Peréz R., Universidad Nacional Autónoma de México, Mexico","[No abstract available]","","","14055546","","","Article","Final","","Scopus","2-s2.0-105018502969"
"Godinez A.E.; Garza Rivera J.L.; Varela D.T.","Godinez, Angelica Espinoza (60522341100); Garza Rivera, Jose Luis (60522835500); Varela, David Tinoco (57203905051)","60522341100; 60522835500; 57203905051","Detection of DoS and DDoS Attacks Using LSTM in Computer Networks: A Systematic Literature Review","2025","Proceedings - 2025 IEEE Latin American School on Computational Intelligence and Robotics, SAIBOT 2025","","","","94","102","0","10.1109/SAIBOT67519.2025.00021","https://www.scopus.com/pages/publications/105033528083?origin=resultslist","Universidad da Vinci, CDMX, Mexico; Universidad Nacional Autónoma de México, Facultad de Estudios Superiores Cuautitlán, Cuautitlan Izcalli, Mexico","Godinez A.E., Universidad da Vinci, CDMX, Mexico; Garza Rivera J.L., Universidad da Vinci, CDMX, Mexico; Varela D.T., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores Cuautitlán, Cuautitlan Izcalli, Mexico","Artificial Intelligence (AI), with machine learning (ML) models and deep learning (DL) neural networks, represents a possibility for detecting DoS/DDoS attacks more effectively. The LSTM (Long Short-Term Memory) model is one of the options for detecting these increasingly varied and sophisticated attacks. The objective of this research was to evaluate the application of the LSTM model in the detection of DoS and DDoS cyber attacks on communications networks. This research was designed as a Systematic Literature Review to obtain the most recent studies on the subject. As a result, 86 initial studies were obtained from the databases. Once the entire procedure, including the quality assessment of the studies, was completed, 15 final primary studies were selected. With these primary studies, it was possible to answer all the questions in the review. It should be noted that modern SDN (Software Defined Network) networks, Cloud Computing networks, and classic networks are threatened by this type of attack. The LSTM models applied in the detection of DoS/DDoS attacks can be hybrid or combined. The most commonly used evaluation metrics are Accuracy, Recall, Precision, and F1-Score, and the most frequently found public datasets include NSL-KDD, CICDoS2019, and CICIDS2017. A wide variety of LSTM-based models and approaches that can be used to experiment and compare their performance in terms of communications network security. © 2025 IEEE.","Denial-of-service attack; Long short term memory; Machine learning; Network security; Systematic literature review","Computer networks; Denial-of-service attack; Distributed computer systems; Learning systems; Network security; Reviews; Communications networks; DDoS Attack; Denialof- service attacks; DoS/DDoS attacks; Machine learning models; Machine-learning; Memory modeling; Networks security; Short term memory; Systematic literature review; Long short-term memory","","979-833158719-2","","Conference paper","Final","","Scopus","2-s2.0-105033528083"
"Arevalo-Ancona R.E.; Cedillo-Hernandez M.; Garcia-Ugalde F.J.","Arevalo-Ancona, Rodrigo Eduardo (58478737700); Cedillo-Hernandez, Manuel (25521406600); Garcia-Ugalde, Francisco Javier (55989774900)","58478737700; 25521406600; 55989774900","Robust Image Tampering Detection and Ownership Authentication Using Zero-Watermarking and Siamese Neural Networks","2024","International Journal of Advanced Computer Science and Applications","15","10","","436","446","0","10.14569/IJACSA.2024.0151046","https://www.scopus.com/pages/publications/86000672959?origin=resultslist","Instituto Politecnico Nacional, SEPI-ESIME Culhuacan, Mexico City, Mexico; Universidad Nacional Autonoma de Mexico, Facultad de Ingenieria, Mexico City, Mexico","Arevalo-Ancona R.E., Instituto Politecnico Nacional, SEPI-ESIME Culhuacan, Mexico City, Mexico; Cedillo-Hernandez M., Instituto Politecnico Nacional, SEPI-ESIME Culhuacan, Mexico City, Mexico; Garcia-Ugalde F.J., Universidad Nacional Autonoma de Mexico, Facultad de Ingenieria, Mexico City, Mexico","The development of advanced image editing tools has significantly increased the manipulation of digital images, creating a pressing need for robust tamper detection and ownership authentication systems. This paper presents a method that combines zero-watermarking with Siamese neural networks to detect image tampering and verify ownership. The approach utilizes features from the Discrete Wavelet Transform (DWT) and employs two halftone images as watermarks: one representing the owner's portrait and the other corresponding to the protected image. A feature matrix is generated from the owner's portrait using the Siamese network and securely linked to the image's halftone watermark through an XOR operation. Additionally, data augmentation enhances the model's robustness, ensuring effective learning of image features even under geometric and signal processing distortions. Experimental results demonstrate high accuracy in recovering halftone images, enabling precise tamper detection and ownership verification across different datasets and image distortions (geometric and image processing distortions). © (2024), (Science and Information Organization). All rights reserved.","neural network; ownership authentication; tampering detection; Zero-watermarking","Authentication; Digital watermarking; Image enhancement; Watermarking; Digital image; Geometric processing; Halftone images; Image editing tools; Image tampering; Neural-networks; Ownership authentication; Tamper detection; Tampering detection; Zero-watermarking; Discrete wavelet transforms","2158107X","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-86000672959"
"García H.C.E.; Ruiz J.G.R.","García, Hugo C. Enríquez (58905812000); Ruiz, Javier G. Rodríguez (58905983100)","58905812000; 58905983100","Technological Digitalization Model for Medium-Sized Pig Farms in Mexico","2025","Lecture Notes in Business Information Processing","531 LNBIP","","","166","182","0","10.1007/978-3-031-76368-7_12","https://www.scopus.com/pages/publications/85211362348?origin=resultslist","University of Guadalajara (UdeG), Guadalajara, Mexico; National Autonomous University of Mexico (UNAM), Mexico City, Mexico","García H.C.E., University of Guadalajara (UdeG), Guadalajara, Mexico; Ruiz J.G.R., National Autonomous University of Mexico (UNAM), Mexico City, Mexico","This study aims to explain the latest digital technology trends in pig production in agricultural establishments that can be applied in a municipality in Mexico. The incorporation of technologies such as Artificial Intelligence (AI), the Internet of Things (IoT), and Blockchain has proven to increase biosecurity measures in pig farms, contributing to the prevention of associated diseases and improving the quality of meat production for the well-being of society. Based on this understanding, we have formulated a prototype proposal relevant to Mexico. Our proposal was structured using methodologies that included field visits to two pig farms located in Zapopan, Jalisco, interviews with specialists in veterinary medicine, and a review of relevant literature to understand the current global scenario regarding the digitalization of pig farms in search of the best practices to achieve a “smart farm”. Our results indicate the viability of integrating digital technologies into pig farming and the potential to expand this approach to other farms in Mexico. Specifically, we propose the implementation of IoT devices for monitoring NH3-CO2 levels and temperature, a mobile application for farm surveillance, and Blockchain technology for tracking the supply chain of raw materials and pharmaceuticals. Additionally, a microfluidic biosensor can be utilized for early detection of swine stress. To facilitate the widespread adoption of these technologies, we suggest promoting this type of initiative within the livestock industry and encouraging the integration of practices that prioritize technological advancements and animal welfare. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Digitalization of Farms; Information Technologies; Meat Quality; Prevention of Swine Diseases","Disease control; Diseases; Macroinvertebrates; Veterinary medicine; Bio-security; Block-chain; Digital technologies; Digitalization of farm; Me-xico; Meat quality; Pig farms; Pig production; Prevention of swine disease; Technology trends","18651348","978-303176367-0","","Conference paper","Final","","Scopus","2-s2.0-85211362348"
"Gias A.U.; Gao Y.; Sheldon M.; Perusquía J.A.; O’Brien O.; Casale G.","Gias, Alim Ul (35434840600); Gao, Yicheng (57702532300); Sheldon, Matthew (57734061700); Perusquía, José A. (57219635943); O’Brien, Owen (57204897510); Casale, Giuliano (21742204200)","35434840600; 57702532300; 57734061700; 57219635943; 57204897510; 21742204200","SampleHST-X: A Point and Collective Anomaly-Aware Trace Sampling Pipeline with Approximate Half Space Trees","2024","Journal of Network and Systems Management","32","3","44","","","0","10.1007/s10922-024-09818-8","https://www.scopus.com/pages/publications/85190601893?origin=resultslist","City, University of London, London, United Kingdom; Imperial College London, London, United Kingdom; Universidad Nacional Autónoma de México, Mexico City, Mexico; Huawei Technologies (Ireland) Co. Ltd., Dublin, Ireland","Gias A.U., City, University of London, London, United Kingdom; Gao Y., Imperial College London, London, United Kingdom; Sheldon M., Imperial College London, London, United Kingdom; Perusquía J.A., Universidad Nacional Autónoma de México, Mexico City, Mexico; O’Brien O., Huawei Technologies (Ireland) Co. Ltd., Dublin, Ireland; Casale G., Imperial College London, London, United Kingdom","The storage requirement for distributed tracing can be reduced significantly by sampling only the anomalous or interesting traces that occur rarely at runtime. In this paper, we introduce an unsupervised sampling pipeline for distributed tracing that ensures high sampling accuracy while reducing the storage requirement. The proposed method, SampleHST-X, extends our recent work SampleHST. It operates based on a budget which limits the percentage of traces to be sampled while adjusting the storage quota of normal and anomalous traces depending on the size of this budget. The sampling process relies on accurately defining clusters of normal and anomalous traces by leveraging the distribution of mass scores, which characterize the probability of observing different traces, obtained from a forest of Half Space Trees (HST). In our experiments, using traces from a cloud data center, SampleHST yields 2.3× to 9.5× better sampling performance. SampleHST-X further extends the SampleHST approach by incorporating a novel class of Half Space Trees, namely Approximate HST, that uses approximate counters to update the mass scores. These counters significantly reduces the space requirement for HST while the sampling performance remains similar. In addition to this extension, SampleHST-X includes a Family of Graph Spectral Distances (FGSD) based trace characterization component, which, in addition to point anomalies, enables it to sample traces with collective anomalies. For such traces, we observe that the SampleHST-X approach can yield 1.2× to 19× better sampling performance. © The Author(s) 2024.","Anomaly detection; Distributed tracing; Microservices; Sampling","Budget control; Digital storage; Geometry; Pipelines; Probability distributions; Anomaly detection; Distributed tracing; Half spaces; Microservice; Performance; Runtimes; Sampling accuracies; Sampling process; Storage requirements; Trace sampling; Anomaly detection","10647570","","JNSME","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85190601893"
"Alvarez-Giron W.; Téllez-Torres J.; Tovar-Cortes J.; Gómez-Adorno H.","Alvarez-Giron, William (57219779944); Téllez-Torres, Jorge (59278318300); Tovar-Cortes, Javier (59278833200); Gómez-Adorno, Helena (55641734200)","57219779944; 59278318300; 59278833200; 55641734200","Team qIIMAS on Task 2 - Clustering","2024","CEUR Workshop Proceedings","3740","","","3064","3074","2","","https://www.scopus.com/pages/publications/85201582957?origin=resultslist","Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Facultad de Ciencias, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico","Alvarez-Giron W., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Téllez-Torres J., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico, Facultad de Ciencias, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Tovar-Cortes J., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico, Facultad de Ciencias, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Gómez-Adorno H., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico","This paper describes our participation in Task 2 of the QuantumCLEF lab, where we explored the use of quantum annealing for clustering 6486 document embeddings. We employed a Quadratic Unconstrained Binary Optimization (QUBO) formulation to address the NP-hard problem of k-medoids clustering, optimizing the selection of cluster centers without explicitly assigning each data point to a cluster. Our approach aimed to minimize pairwise dissimilarities among selected medoids while maximizing their separation, ensuring well-defined and diverse clusters. To manage the limitations of current quantum hardware, we implemented a hierarchical clustering procedure: initially reducing the dataset using classical methods and then applying quantum annealing for final medoid optimization. The results indicate that a combination of simulated annealing for initial clustering, followed by quantum annealing, yielded the best outcomes, achieving a Davies-Bouldin index of 4.6798 and an nDCG@10 of 0.5349 when using k = 50 clusters. This hierarchical approach underscores the potential of quantum annealing in enhancing clustering quality despite current hardware constraints. Our findings suggest that quantum-enhanced clustering methods could significantly advance the field of information retrieval and recommender systems by providing more efficient and accurate data organization techniques. © 2024 Copyright for this paper by its authors.","Clustering; Information Retrieval; Quantum Annealing; Recommender Systems","Adaptive boosting; Digital storage; Hierarchical clustering; Network security; NP-hard; Simulated annealing; 'current; Binary optimization; Clusterings; Embeddings; Hard problems; K-medoids clustering; Medoids; NP-hard; Optimization formulations; Quantum annealing; Recommender systems","16130073","","","Conference paper","Final","","Scopus","2-s2.0-85201582957"
"Olvera-Martinez L.; Cedillo-Hernandez M.; Diaz-Rodriguez C.A.; Faustinos-Morales L.; Cedillo-Hernandez A.; Garcia-Ugalde F.J.","Olvera-Martinez, Luis (57224996020); Cedillo-Hernandez, Manuel (25521406600); Diaz-Rodriguez, Carlos Adolfo (59454851000); Faustinos-Morales, Leonardo (59710156600); Cedillo-Hernandez, Antonio (55620620700); Garcia-Ugalde, Francisco Javier (55989774900)","57224996020; 25521406600; 59454851000; 59710156600; 55620620700; 55989774900","Symmetric Grayscale Image Encryption Based on Quantum Operators with Dynamic Matrices","2025","Mathematics","13","6","982","","","3","10.3390/math13060982","https://www.scopus.com/pages/publications/105001096286?origin=resultslist","Instituto Politecnico Nacional, Escuela Superior de Ingenieria Mecanica y Electrica Unidad Culhuacan, Avenida Santa Ana 1000, San Francisco Culhuacan, Culhuacan CTM V, Coyoacan, Ciudad de Mexico, CP 04440, Mexico; Independent Researcher, Ciudad de Mexico CP 04440, Mexico; Escuela de Ingeniería y Ciencias, Tecnologico de Monterrey, Av. Eugenio Garza Sada 2501, Monterrey CP, 64849, Mexico; Facultad de Ingenieria, Universidad Nacional Autonoma de Mexico (UNAM), Av. Universidad No. 3000, Ciudad Universitaria, Coyoacan, Ciudad de Mexico, 04510, Mexico","Olvera-Martinez L., Instituto Politecnico Nacional, Escuela Superior de Ingenieria Mecanica y Electrica Unidad Culhuacan, Avenida Santa Ana 1000, San Francisco Culhuacan, Culhuacan CTM V, Coyoacan, Ciudad de Mexico, CP 04440, Mexico; Cedillo-Hernandez M., Instituto Politecnico Nacional, Escuela Superior de Ingenieria Mecanica y Electrica Unidad Culhuacan, Avenida Santa Ana 1000, San Francisco Culhuacan, Culhuacan CTM V, Coyoacan, Ciudad de Mexico, CP 04440, Mexico; Diaz-Rodriguez C.A., Independent Researcher, Ciudad de Mexico CP 04440, Mexico; Faustinos-Morales L., Independent Researcher, Ciudad de Mexico CP 04440, Mexico; Cedillo-Hernandez A., Escuela de Ingeniería y Ciencias, Tecnologico de Monterrey, Av. Eugenio Garza Sada 2501, Monterrey CP, 64849, Mexico; Garcia-Ugalde F.J., Facultad de Ingenieria, Universidad Nacional Autonoma de Mexico (UNAM), Av. Universidad No. 3000, Ciudad Universitaria, Coyoacan, Ciudad de Mexico, 04510, Mexico","Image encryption is crucial for ensuring the confidentiality and integrity of digital images, preventing unauthorized access and alterations. However, existing encryption algorithms often involve complex mathematical operations or require specialized hardware, which limits their efficiency and practicality. To address these challenges, we propose a novel image encryption scheme based on the emulation of fundamental quantum operators from a multi-braided quantum group in the sense of Durdevich. These operators—coproduct, product, and braiding—are derived from quantum differential geometry and enable the dynamic generation of encryption values, avoiding the need for computationally intensive processes. Unlike quantum encryption methods that rely on physical quantum hardware, our approach simulates quantum behavior through classical computation, enhancing accessibility and efficiency. The proposed method is applied to grayscale images with 8-, 10-, and 12-bit depth per pixel. To validate its effectiveness, we conducted extensive experiments, including visual quality metrics (PSNR, SSIM), randomness evaluation using NIST 800-22, entropy and correlation analysis, key sensitivity tests, and execution time measurements. Additionally, comparative tests against AES encryption demonstrate the advantages of our approach in terms of performance and security. The results show that the proposed method provides a high level of security while maintaining computational efficiency. © 2025 by the authors.","braided quantum groups; finite fields; image encryption; quantum operators; security analysis","","22277390","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105001096286"
"Vázquez A.E.A.","Vázquez, Alan Ernesto Arteaga (60422653700)","60422653700","On Time-Optimal, Fault-Tolerant Algorithms for Connected Consensus Beyond Grade Two","2025","Leibniz International Proceedings in Informatics, LIPIcs","361","","24","","","0","10.4230/LIPIcs.OPODIS.2025.24","https://www.scopus.com/pages/publications/105031363383?origin=resultslist","Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico","Vázquez A.E.A., Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico","A common question in the asynchronous model is whether some given notion of agreement between processes is achievable. Usually, we formalise such agreement notions in the form of agreement problems. Some of these problems also receive the name of coordination primitives. Several fault-tolerant algorithms in asynchronous systems rely upon the use of different primitives as building blocks, such as adopt-commit, crusader agreement, or graded broadcast. Recently, the connected consensus problem - a form of agreement over a specific family of graphs parametrised by a positive integer R- was introduced. This problem unifies the three mentioned primitives while extending them for multi-valued inputs. Moreover, the problem is equipped with a security condition called binding, which limits the effect of malicious processes over the decision of correct parties. While fault-tolerant connected consensus algorithms for R = 1 and R = 2 are known, the existence of algorithmic solutions for any positive integer parameter remained an open question. In this work, we introduce a pair of fault-tolerant algorithms for connected consensus when the R parameter is any positive integer. We introduce a crash-resilient algorithm, which is optimal with respect to the maximum number of possible faulty processes. Our second algorithm is resilient to Byzantine failures; whose failure-resilience is optimal for a specific class of algorithms. Both algorithms satisfy the binding property and match the best known time complexities achieved for the R = 1 and R = 2 cases, further achieving time optimality for the general case in the crash-failure setting, and asymptotic time optimality in the Byzantine scenario. © Alan Ernesto Arteaga Vázquez;","Approximate Agreement; Binding; Connected Consensus","Accidents; Binding energy; Consensus algorithm; Failure (mechanical); Fault tolerant computer systems; Network security; Optimization; Parameter estimation; Agreement problems; Approximate agreement; Asynchronous models; Asynchronous system; Binding; Connected consensus; Fault-tolerant algorithms; Optimality; Positive integers; Time-optimal; Fault tolerance","18688969","978-395977409-3","","Conference paper","Final","","Scopus","2-s2.0-105031363383"
"Villegas-Jiménez E.A.; Romo-Cabrera A.; Manzano-Calixto M.A.; Tello-Aguilera L.M.; Sánchez-Mata A.K.; Robles-Guerrero A.; Hernández-Ruiz P.M.","Villegas-Jiménez, Ernesto A. (57216894101); Romo-Cabrera, Araceli (60605930900); Manzano-Calixto, Manuel A. (60605184700); Tello-Aguilera, Lilly M. (60605615200); Sánchez-Mata, Armando K. (60605404000); Robles-Guerrero, Andrea (60605292100); Hernández-Ruiz, Paula M. (60605723000)","57216894101; 60605930900; 60605184700; 60605615200; 60605404000; 60605292100; 60605723000","Protection Of Sensitive Personal Information Contained In Digital Files Held By Individuals With Homomorphic Encryption And AI Assistance","2025","International Conference on Electrical, Computer, and Energy Technologies, ICECET 2025","","","","","","0","10.1109/ICECET63943.2025.11472089","https://www.scopus.com/pages/publications/105037107014?origin=resultslist","Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico","Villegas-Jiménez E.A., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico; Romo-Cabrera A., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico; Manzano-Calixto M.A., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico; Tello-Aguilera L.M., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico; Sánchez-Mata A.K., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico; Robles-Guerrero A., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico; Hernández-Ruiz P.M., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico","In today's digital landscape, the exchange of sensitive personal data via mobile devices is widespread, yet inadequate safeguards often expose users to risks such as identity theft and online harassment. This research introduces Kamplae, a system crafted in Python and deployed through a Flask-based REST API, employing homomorphic encryption and artificial intelligence to protect personal information embedded in digital images. Kamplae secures metadata and bitmap content in jpeg, jpg, and png formats, adhering to legal standards in Mexico and the European Union.The study reviews prior work on personal data protection and the challenges posed by deep fakes, emphasising the need for robust regulatory frameworks to counter digital violence. It explores various encryption methods - symmetric, asymmetric, and hybrid - alongside relevant legal provisions across regions.Kamplae aims to prevent image misuse and foster a secure, ethical digital environment. While promising, it highlights areas for enhancement, such as broader format support and user interface refinement, with limitations tied to specific format compatibility and mobile performance. © 2025 IEEE.","artificial intelligence; asymmetric encryption; deep fake; encryption; hormomorphic encryption; multimedia files; symmetric encryption","Computer crime; Crime; Cryptography; Digital devices; Digital image storage; Electronic document exchange; Metadata; Mobile security; Sensitive data; User interfaces; Asymmetric encryption; Deep fake; Digital files; Ho-momorphic encryptions; Homomorphic-encryptions; Hormomorphic encryption; Identity theft; Multimedia files; Personal information; Symmetric encryption; Artificial intelligence","","979-833153559-9","","Conference paper","Final","","Scopus","2-s2.0-105037107014"
