"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Contreras-Mendoza F.E.; Hernández-Cruz C.","Contreras-Mendoza, Fernando Esteban (57203874645); Hernández-Cruz, César (36809649000)","57203874645; 36809649000","2-polarity and algorithmic aspects of polarity variants on cograph superclasses","2024","Discrete Mathematics and Theoretical Computer Science","263","","","","","1","10.46298/dmtcs.11479","https://www.scopus.com/pages/publications/85189951542?origin=resultslist","Facultad de Ciencias, Universidad Nacional Autónoma de México, Mexico","Contreras-Mendoza F.E., Facultad de Ciencias, Universidad Nacional Autónoma de México, Mexico; Hernández-Cruz C., Facultad de Ciencias, Universidad Nacional Autónoma de México, Mexico","A graph G is said to be an (s, k)-polar graph if its vertex set admits a partition (A, B) such that A and B induce, respectively, a complete s-partite graph and the disjoint union of at most k complete graphs. Polar graphs and monopolar graphs are defined as (∞, ∞)- and (1, ∞)-polar graphs, respectively, and unipolar graphs are those graphs with a polar partition (A, B) such that A is a clique. The problems of deciding whether an arbitrary graph is a polar graph or a monopolar graph are known to be NP-complete. In contrast, deciding whether a graph is a unipolar graph can be done in polynomial time. In this work we prove that the three previous problems can be solved in linear time on the classes of P4-sparse and P4-extendible graphs, generalizing analogous results previously known for cographs. Additionally, we provide finite forbidden subgraph characterizations for (2, 2)-polar graphs on P4-sparse and P4-extendible graphs, also generalizing analogous results recently obtained for the class of cographs. © 2024 by the author(s)","2-polar graph; cograph; graph algorithms; P<sub>4</sub>-extendible graph; P<sub>4</sub>-sparse graph; polar graph","Consensus algorithm; Graph algorithms; 2-polar graph; Algorithmic aspects; Cograph; Graph algorithms; Monopolar; P4-extendible graph; P4-sparse graph; Polar graphs; Sparse graphs; Undirected graphs","14627264","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189951542"
"Pérez-Lantero P.; Seara C.; Urrutia J.","Pérez-Lantero, Pablo (26032291700); Seara, Carlos (6603259241); Urrutia, Jorge (35566511400)","26032291700; 6603259241; 35566511400","Rectilinear convex hull of points in 3D and applications","2024","Journal of Global Optimization","90","2","","551","571","1","10.1007/s10898-024-01402-3","https://www.scopus.com/pages/publications/85191956830?origin=resultslist","Facultad de Ciencia, Departamento de Matemática y Ciencia de la Computación, Universidad de Santiago de Chile (USACH), Santiago, Chile; Departament de Matemàtiques, Universitat Politècnica de Catalunya, Barcelona, Spain; Instituto de Matemáticas, Universidad Nacional Autónoma de México, Mexico, Mexico","Pérez-Lantero P., Facultad de Ciencia, Departamento de Matemática y Ciencia de la Computación, Universidad de Santiago de Chile (USACH), Santiago, Chile; Seara C., Departament de Matemàtiques, Universitat Politècnica de Catalunya, Barcelona, Spain; Urrutia J., Instituto de Matemáticas, Universidad Nacional Autónoma de México, Mexico, Mexico","Let P be a set of n points in R3 in general position, and let RCH(P) be the rectilinear convex hull of P. In this paper we obtain an optimal O(nlogn) time and O(n) space algorithm to compute RCH(P). We also obtain an efficient O(nlog2n) time and O(nlogn) space algorithm to compute and maintain the set of vertices of the rectilinear convex hull of P as we rotate R3 around the Z-axis. We study some combinatorial properties of the rectilinear convex hulls of point sets in R3. Finally, as an application of the obtained results, we show an approximation algorithm to an optimization fitting problem in R3. © The Author(s) 2024.","52A15; 52C35; 52C45; 68U05; Fitting in 3D; Rectilinear convex hull; Rotation around the Z-axis","Computational geometry; 52a15; 52c35; 52c45; 68u05; Combinatorial properties; Convex hull; Fitting in 3d; Rectilinear convex hull; Rotation around the Z-axis; Space algorithms; Approximation algorithms","09255001","","JGOPE","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85191956830"
"Lefranc G.; Gatica G.; Vásquez E.; Peña M.","Lefranc, Gastón (7005019896); Gatica, Gabriel (57224552988); Vásquez, Edison (60069152700); Peña, Mario (18038232900)","7005019896; 57224552988; 60069152700; 18038232900","Advanced Algorithm Combinations for Safe Human-Robot Collaboration: A Review and Research Proposal","2025","Procedia Computer Science","266","","","142","149","1","10.1016/j.procs.2025.08.018","https://www.scopus.com/pages/publications/105014151470?origin=resultslist","Pontificia Universidad Católica de Valparaíso, Avda. Brasil2950, Valparaíso, 2430000, Chile; Startup I+D+i Inteligencia Artificial, ARTIFICYAN, Viña del Mar, Chile; JhedAI Startup., Viña del Mar, Chile; IIMAS-UNAM, Ciudad de México, Mexico","Lefranc G., Pontificia Universidad Católica de Valparaíso, Avda. Brasil2950, Valparaíso, 2430000, Chile; Gatica G., Startup I+D+i Inteligencia Artificial, ARTIFICYAN, Viña del Mar, Chile; Vásquez E., JhedAI Startup., Viña del Mar, Chile; Peña M., IIMAS-UNAM, Ciudad de México, Mexico","This paper presents a proposal for integrating Graph Convolutional Neural Network (Graph-CNN), Multimodal Transformer, Soft Actor-Critic with Reward Constrained Policy Optimisation (SAC-RCPO), and TactileGAN algorithms, which are used in human-robot collaboration. This integration addresses challenges such as adaptability, safety, intention recognition, and precise manipulation in dynamic environments. The central hypothesis is that the combination of these algorithms could lead to improvements in manipulation accuracy, collision avoidance, and training efficiency. The methodology evaluates this combination in simulated and controlled laboratory environments that replicate industrial situations. This work considers the human dimension of collaboration, emphasising the importance of interaction, user trust, and ergonomic integration. It also recognises the ethical implications related to safety, transparency, and the responsible implementation of Artificial Intelligence (AI) systems in shared workspaces. The proposed framework has potential applications in the manufacturing, healthcare, and service sectors, aiming to drive the practical adoption of safe and efficient collaborative robots.  © 2025 The Authors.","collaborative robotics; graph-CNN; human-robot interaction; multimodal transformers; reinforcement learning","Collaborative robots; Ergonomics; Graph algorithms; Human computer interaction; Intelligent robots; Man machine systems; Actor critic; Algorithm combinations; Convolutional neural network; Graph-CNN; Human-robot collaboration; Humans-robot interactions; Multi-modal; Multimodal transformer; Reinforcement learnings; Research proposals; Constrained optimization","18770509","","","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014151470"
"Gutierrez-Martinez J.; Mercado-Gutierrez J.A.; Pacheco-Gonzalez L.E.; Quinzanos-Fresnedo J.; Ramirez-Nava A.G.; Benitez-Sanchez G.; Yanez-Suarez O.","Gutierrez-Martinez, Josefina (35324418900); Mercado-Gutierrez, Jorge A. (57204101886); Pacheco-Gonzalez, Luis E. (58846921900); Quinzanos-Fresnedo, Jimena (36459086000); Ramirez-Nava, Ana G. (57993768800); Benitez-Sanchez, Guadalupe (59512995100); Yanez-Suarez, Oscar (6603148768)","35324418900; 57204101886; 58846921900; 36459086000; 57993768800; 59512995100; 6603148768","Network Connectivity Measures to Assess Changes in Brain Activity of Stroke Patients","2024","2024 21st International Conference on Electrical Engineering, Computing Science and Automatic Control, CCE 2024","","","","","","0","10.1109/CCE62852.2024.10770865","https://www.scopus.com/pages/publications/85214940910?origin=resultslist","Inst. Nal. de Rehabilitación LGII, Div. de Inv. en Ing. Médica, Mexico City, Mexico; Univ. Nal. Autónoma de México, Facultad de Ingeniería, Mexico City, Mexico; Inst. Nal. de Rehabilitación LGII, División de Rehab. Neurológica, Mexico City, Mexico; Universidad Autónoma Metropolitana-Iztapalapa, Departamento de Ing. Eléctrica, Mexico City, Mexico","Gutierrez-Martinez J., Inst. Nal. de Rehabilitación LGII, Div. de Inv. en Ing. Médica, Mexico City, Mexico; Mercado-Gutierrez J.A., Inst. Nal. de Rehabilitación LGII, Div. de Inv. en Ing. Médica, Mexico City, Mexico; Pacheco-Gonzalez L.E., Univ. Nal. Autónoma de México, Facultad de Ingeniería, Mexico City, Mexico; Quinzanos-Fresnedo J., Inst. Nal. de Rehabilitación LGII, División de Rehab. Neurológica, Mexico City, Mexico; Ramirez-Nava A.G., Inst. Nal. de Rehabilitación LGII, División de Rehab. Neurológica, Mexico City, Mexico; Benitez-Sanchez G., Universidad Autónoma Metropolitana-Iztapalapa, Departamento de Ing. Eléctrica, Mexico City, Mexico; Yanez-Suarez O., Universidad Autónoma Metropolitana-Iztapalapa, Departamento de Ing. Eléctrica, Mexico City, Mexico","Most stroke survivors present hemiplegia or hemiparesis, which impair severely upper limb motor function and independence. Clinical scales are commonly used to evaluate the effects of post-stroke rehabilitation programs. However, those scales rely on subjective assessment of patient's behavior or physical state, requiring highly trained specialists. In this work, the use of basic connectivity parameters based on graph theory applied to EEG signals, was explored as a quantitative tool to evaluate the effects in brain activity of an upper limb rehabilitation intervention. The approach was tested on a group of six stroke patients, using routine, resting-state EEG signals recorded from frontal, central and parietal regions, before and after their participation in an upper limb rehabilitation intervention using a P300-based Brain Computer Interface coupled to a Functional Electrical Stimulator. Brain connectivity was estimated through two complex parameters: node degree and clustering coefficient, calculated from two phase synchrony metrics (weighted phase lag index and spectral coherence) in the alpha (8-12 Hz) and lower beta (13-19 Hz) frequency bands. After the intervention, the average node degree for these patients was increased at central and frontal EEG electrodes, and the average clustering coefficient was increased at parietal and central positions. Furthermore, clinical scales showed improvements in upper limb function after the intervention. The next steps are to analyze the relationships between clinical and brain connectivity measures, and to follow up the patient brain and clinical state at mid and long-Term spans. © 2024 IEEE.","Brain-Computer Interface; Functional Electrical Stimulation; network connectivity; neuroplasticity; neurorehabilitation; phase synchronization; quantitative EEG","Electroencephalography; Electrotherapeutics; Functional neural stimulation; Neurophysiology; Brain activity; EEG signals; Functional electri-cal stimulations; Network connectivity; Neuroplasticity; Neurorehabilitation []; Phase synchronization; Quantitative EEG; Stroke patients; Upper-limb rehabilitation; Brain computer interface","","979-835037754-5","","Conference paper","Final","","Scopus","2-s2.0-85214940910"
"Jiménez González J.A.","Jiménez González, Jesús Arturo (56769718900)","56769718900","A Strong Gram Classification of Non-negative Unit Forms of Dynkin Type Ar","2024","Fundamenta Informaticae","191","1","","17","66","1","10.3233/FI-242171","https://www.scopus.com/pages/publications/85187550522?origin=resultslist","Instituto de Matemáticas, UNAM, Mexico City, Mexico","Jiménez González J.A., Instituto de Matemáticas, UNAM, Mexico City, Mexico","An integral quadratic form q : Zn → Z is usually identified with a bilinear form b∨q:Zn×Zn→Z satisfying q(x)=b∨q(x,x) for any vector x in Zn, and such that its Gram matrix with respect to the canonical basis of Zn is upper triangular. Two integral quadratic forms are called strongly (resp. weakly) Gram congruent if their corresponding upper triangular bilinear forms (resp.Their symmetrizations) are equivalent. If q is unitary, such upper triangular bilinear form is unimodular, and one considers the associated Coxeter transformation and its characteristic polynomial, the so-called Coxeter polynomial of q with this identification. Two strongly Gram congruent quadratic unit forms are weakly Gram congruent and have the same Coxeter polynomial. Here we show that the converse of this statement holds for the connected non-negative case of Dynkin type Ar (r ≥ 1) and arbitrary corank, and use this characterization to complete a combinatorial classification of such quadratic forms started in [Fundamenta Informaticae 184(1):49-82, 2021] and [Fundamenta Informaticae 185(3):221-246, 2022]. © 2024-IOS Press. All rights reserved.","2020 MSC: 15A63, 15A21, 15B36, 05C22, 05C50, 05C76, 05B20; Coxeter polynomial; Dynkin type; edge-bipartite graph; Gram congruence; incidence matrix; Integral quadratic form; quiver; signed line graph","Number theory; Polynomials; 2020 MSC: 15a63, 15a21, 15b36, 05c22, 05c50, 05c76, 05b20; Bipartite graphs; Coxeter polynomials; Dynkin type; Edge-bipartite graph; Gram congruence; Incidence matrices; Integral quadratic form; Linegraph; Quiver; Signed line graph; Graph theory","01692968","","FUINE","Article","Final","","Scopus","2-s2.0-85187550522"
"Torres L.; Jimenez-Cabas J.","Torres, Lizeth (15766630000); Jimenez-Cabas, Javier (57202833550)","15766630000; 57202833550","Modeling and Simulation of Water Distribution Networks using Nonlinear Oscillators","2024","2024 IEEE International Conference on Automation/26th Congress of the Chilean Association of Automatic Control, ICA-ACCA 2024","","","","","","0","10.1109/ICA-ACCA62622.2024.10766786","https://www.scopus.com/pages/publications/85213343550?origin=resultslist","Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Universidad de la Costa, Depto. de Ciencias de la Computación y Electrónica, Barranquilla, Colombia","Torres L., Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Jimenez-Cabas J., Universidad de la Costa, Depto. de Ciencias de la Computación y Electrónica, Barranquilla, Colombia","This article presents a novel approach for modeling Water Distribution Networks (WDNs) based on physical principles, graph theory, and the pseudo-transient continuation method. The main feature of this approach is that it permits the representation of WDNs as fully interconnected networks of damped nonlinear oscillators, with each oscillator formulated as a Liénard system given in terms of the flow rates. This representation facilitates the design of control and observation algorithms, particularly in scenarios where the WDNs lack pressure sensors. To show the possible usages of this approach, a state observer for estimating the user's water demands is designed and numerically tested. © 2024 IEEE.","modeling; pressure-driven demands; state observers; water distribution networks","DC distribution systems; Network theory (graphs); Oscillistors; OSI model; Continuation method; Interconnected network; Model and simulation; Modeling; Network-based; Non-linear oscillators; Physical principles; Pressure driven demands; States observer; Water distribution networks; Water distribution systems","","979-835037811-5","","Conference paper","Final","","Scopus","2-s2.0-85213343550"
"Amezcua-Osorio B.; Hernández-Cruz C.; Hosseini S.A.; Lozano-Chávez H.; Macgillivray G.","Amezcua-Osorio, Bruno (60219474900); Hernández-Cruz, César (36809649000); Hosseini, Seyyed Aliasghar (55797494000); Lozano-Chávez, Humberto (60219403400); Macgillivray, Gary (6701842964)","60219474900; 36809649000; 55797494000; 60219403400; 6701842964","Cops and Robbers on Token Graphs","2025","Procedia Computer Science","273","","","493","500","0","10.1016/j.procs.2025.10.337","https://www.scopus.com/pages/publications/105023479542?origin=resultslist","Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México, Av. Universidad 3000, CDMX 04510, Mexico; School of Computing and Academic Studies, British Columbia Institute of Technology, 3700 Willingdon Avenue, Burnaby, V5G 3H2, Canada; Department of Mathematics and Statistics, University of Victoria, 3800 Finnerty Road, Victoria, V8P 5C2, Canada","Amezcua-Osorio B., Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México, Av. Universidad 3000, CDMX 04510, Mexico; Hernández-Cruz C., Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México, Av. Universidad 3000, CDMX 04510, Mexico; Hosseini S.A., School of Computing and Academic Studies, British Columbia Institute of Technology, 3700 Willingdon Avenue, Burnaby, V5G 3H2, Canada; Lozano-Chávez H., Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México, Av. Universidad 3000, CDMX 04510, Mexico; Macgillivray G., Department of Mathematics and Statistics, University of Victoria, 3800 Finnerty Road, Victoria, V8P 5C2, Canada","Let G = (V, E) be a graph and k a positive integer such that k ≤ |V|. The k-token graph of G is the graph Fk(G) having the set of all k-sets of V as vertex set, and such that two k-sets of V, say A and B, are adjacent if and only if the symmetric difference of A and B is an edge of G. In this work we study the cop number of token graphs of graphs in some classic families, such as paths, stars, and subdivided stars. We obtain the exact cop number for k-token graphs of paths and stars. We also obtain the exact cop number for subdivided stars when the number of branches is large enough. Probably more interesting than the aforementioned results, we introduce a variant of the Cops and Robbers game where R controls a team of robbers and C controls some teams of cops. A game of Cops and Robbers with this new variant played on a graph G is equivalent to a classic game of Cops and Robbers played on Fk(G). This turns out to be very useful, as Fk(G) is usually very large and complex when compared to G. © 2025 The Authors. Published by Elsevier B.V.","cop number; cops; robbers; star graph; token graph","Application programs; Artificial intelligence; Computation theory; Computational geometry; Computational methods; Graphic methods; Multimedia systems; Operations research; Stars; Undirected graphs; AS paths; Cop; Cop numbers; Cops-and-robbers; Positive integers; Robber; Star graphs; Symmetric difference; Token graph; Vertex set; Information management","18770509","","","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023479542"
"Mendoza-Andrade N.; Ruiz-y-Ruiz E.; Rodriguez-Romo S.","Mendoza-Andrade, Nidia (59527842000); Ruiz-y-Ruiz, Efrain (57217009419); Rodriguez-Romo, Suemi (56013860400)","59527842000; 57217009419; 56013860400","Solution Algorithms for the Capacitated Location Tree Problem with Interconnections","2025","Algorithms","18","1","50","","","0","10.3390/a18010050","https://www.scopus.com/pages/publications/85216023157?origin=resultslist","Facultad de Estudios Superiores Cuautitlán, UNAM Universidad Autónoma de México, Ciudad de México, 04510, Mexico; TECNM Tecnológico Nacional de México, Instituto Tecnológico de Saltillo, Saltillo, 25280, Mexico; UNAM Facultad de Estudios Superiores Cuautitlán, Cuatitlán Izcalli, 54740, Mexico","Mendoza-Andrade N., Facultad de Estudios Superiores Cuautitlán, UNAM Universidad Autónoma de México, Ciudad de México, 04510, Mexico; Ruiz-y-Ruiz E., TECNM Tecnológico Nacional de México, Instituto Tecnológico de Saltillo, Saltillo, 25280, Mexico; Rodriguez-Romo S., UNAM Facultad de Estudios Superiores Cuautitlán, Cuatitlán Izcalli, 54740, Mexico","This paper addresses the Capacitated Location Tree Problem with Interconnections, a new combinatorial optimization problem with applications in network design. In this problem, the required facilities picked from a set of potential facilities must be opened to serve customers using a tree-shaped network. Costs and capacities are associated with the opening of facilities and the establishment of network links. Customers have a given demand that must be satisfied while respecting the facilities and link capacities. The problem aims to minimize the total cost of designing a distribution network while considering facility opening costs, demand satisfaction, capacity constraints, and the creation of interconnections to enhance network resilience. A valid mixed-integer programming was proposed and an exact solution method based on the formulation was used to solve small- and medium-sized instances. To solve larger instances two metaheuristic approaches were used. A specific decoder procedure for the metaheuristic solution approaches was also proposed and used to help find solutions, especially for large instances. Computational experiments and results using the three solution approaches are also presented. Finally, a case study on the design of electrical transportation systems was presented and solved. © 2025 by the authors.","BRKGA; Capacitated Location Tree Problem; location; network design; PSO","Integer programming; Mixed-integer linear programming; BRKGA; Capacitated location; Capacitated location tree problem; Combinatorial optimization problems; In networks; Location tree; Network design; PSO; Solution algorithms; Solution approach; Combinatorial optimization","19994893","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85216023157"
"Gordillo-Roblero L.A.; Soto-Cajiga J.A.; Romo-Fuentes C.; Martínez-Soto L.F.; Rodríguez-Olivares N.A.","Gordillo-Roblero, Luis Alberto (58960271200); Soto-Cajiga, Jorge Alberto (49962174500); Romo-Fuentes, Carlos (55853561300); Martínez-Soto, Luis Felipe (36656176100); Rodríguez-Olivares, Noé Amir (57192376931)","58960271200; 49962174500; 55853561300; 36656176100; 57192376931","A Methodology for the Design of a Compliant Electrocardiograph: A Case Study","2024","Electronics (Switzerland)","13","21","4238","","","1","10.3390/electronics13214238","https://www.scopus.com/pages/publications/85208576899?origin=resultslist","National Laboratory for Research on Medical Technologies (LANITEM), Center for Engineering and Industrial Development (CIDESI), Pie de la Cuesta 702, Des. San Pablo, Queretaro, 76125, Mexico; EMC Test Lab (LEMC), Advanced-Technology Unit (UAT), Engineering Faculty, National Autonomous University of Mexico (FI-UNAM), Fray Antonio de Monroy e Hijar 260, Villas del Mesón, Queretaro, Juriquilla, 76226, Mexico; Electrical Testing and Electromagnetic Compatibility Laboratory (LPECE), Center for Engineering and Industrial Development (CIDESI), Pie de la Cuesta 702, Des. San Pablo, Queretaro, 76125, Mexico","Gordillo-Roblero L.A., National Laboratory for Research on Medical Technologies (LANITEM), Center for Engineering and Industrial Development (CIDESI), Pie de la Cuesta 702, Des. San Pablo, Queretaro, 76125, Mexico; Soto-Cajiga J.A., National Laboratory for Research on Medical Technologies (LANITEM), Center for Engineering and Industrial Development (CIDESI), Pie de la Cuesta 702, Des. San Pablo, Queretaro, 76125, Mexico; Romo-Fuentes C., EMC Test Lab (LEMC), Advanced-Technology Unit (UAT), Engineering Faculty, National Autonomous University of Mexico (FI-UNAM), Fray Antonio de Monroy e Hijar 260, Villas del Mesón, Queretaro, Juriquilla, 76226, Mexico; Martínez-Soto L.F., National Laboratory for Research on Medical Technologies (LANITEM), Center for Engineering and Industrial Development (CIDESI), Pie de la Cuesta 702, Des. San Pablo, Queretaro, 76125, Mexico, Electrical Testing and Electromagnetic Compatibility Laboratory (LPECE), Center for Engineering and Industrial Development (CIDESI), Pie de la Cuesta 702, Des. San Pablo, Queretaro, 76125, Mexico; Rodríguez-Olivares N.A., National Laboratory for Research on Medical Technologies (LANITEM), Center for Engineering and Industrial Development (CIDESI), Pie de la Cuesta 702, Des. San Pablo, Queretaro, 76125, Mexico","This document presents the methodology for designing an electrocardiograph capable of acquiring IEC 60601-2-25-compliant signals. The objective of developing this methodology is to address a signal incompatibility problem that has existed in academia for years, specifically in physiological processing research. This problem is related to the signal’s sampling rate and/or noise levels, and it becomes evident when one signal processing method is intended to work with another, either as a subsequent or simultaneous process. Even though matching algorithms can be implemented to remedy this incompatibility problem, the ultimate solution is the standardization of signals, which depends exclusively on the standardization of hardware. The signal incompatibility problem is urgent to solve because it makes the integration and scalability of different academic works difficult, preventing academia from reaching the stage of development that commercial equipment displays in automatic interpretation procedures. The design methodology presented in this document addresses the stated problem by creating an open-source hardware device capable of acquiring compliant signals, with careful consideration given to Signal Integrity and EMC concepts—a methodology that can be extended to other physiological acquisition systems. The expedited availability of the device’s design documentation and fabrication files is also an advantage of this work. © 2024 by the authors.","ECG; electrocardiograph; EMC; open-source hardware; physiological signals; signal acquisition; signal integrity; signal processing","","20799292","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85208576899"
"Moreno J.A.; García-Mathey J.F.","Moreno, Jaime A. (57087344600); García-Mathey, Juan F. (57215360760)","57087344600; 57215360760","MIMO Super-Twisting Controller using a passivity-based design","2024","Journal of the Franklin Institute","361","17","107296","","","7","10.1016/j.jfranklin.2024.107296","https://www.scopus.com/pages/publications/85205535630?origin=resultslist","Instituto de Ingeniería, Universidad Nacional Autónoma de México, Coyoacan, Mexico City, 04510, Mexico","Moreno J.A., Instituto de Ingeniería, Universidad Nacional Autónoma de México, Coyoacan, Mexico City, 04510, Mexico; García-Mathey J.F., Instituto de Ingeniería, Universidad Nacional Autónoma de México, Coyoacan, Mexico City, 04510, Mexico","A novel MIMO Super-Twisting Algorithm is proposed in this paper for nonlinear systems with relative degree one, having a time and state-varying uncertain control matrix. The uncertainty is represented by a time and state-varying but unknown left matrix factor. Sufficient conditions for stability with full-matrix control gains are established, in contrast to the usual scalar gains. For this a smooth Lyapunov function, based on a passivity interpretation, is used. Moreover, continuous and homogeneous approximations of the classical discontinuous Super-Twisting algorithm are obtained, using a unified analysis method. Moreover, the proposed Super-Twisting algorithm is of the discontinuous type, in contrast to the usual unitary type. © 2024 The Authors","High-Order Sliding-Mode Control; Lyapunov functions; MIMO systems; Super-twisting algorithm","Approximation algorithms; Lyapunov functions; Matrix algebra; Nonlinear control systems; Tensors; Time varying control systems; Control matrix; High-order sliding mode controls; Higher-order sliding mode controls; Lyapunov's functions; Passivity-based; Relative degrees; Super twisting algorithm; Super- twisting; Twisting controller; Uncertain controls; Sliding mode control","00160032","","JFINA","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85205535630"
