"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Lugo I.; Alatriste-Contreras M.G.","Lugo, Igor (55851047000); Alatriste-Contreras, Martha G. (57196051806)","55851047000; 57196051806","Musical Composition and Two-Dimensional Cellular Automata Based on Music Intervals","2025","Complex Systems","34","2","","235","251","0","10.25088/ComplexSystems.34.2.235","https://www.scopus.com/pages/publications/105008775001?origin=resultslist","Centro Regional de Investigaciones Multidisciplinarias (CRIM), Universidad Nacional Autonóma de México (UNAM), Av. Universidad s/n, Circuito 2, Morelos, Cuernavaca, 62210, Mexico; Facultad de Economía, Universidad Nacional Autonóma de México (UNAM) Circuito Escolar, C.U. Coyoacán Ciudad de México, 04510, Mexico","Lugo I., Centro Regional de Investigaciones Multidisciplinarias (CRIM), Universidad Nacional Autonóma de México (UNAM), Av. Universidad s/n, Circuito 2, Morelos, Cuernavaca, 62210, Mexico; Alatriste-Contreras M.G., Facultad de Economía, Universidad Nacional Autonóma de México (UNAM) Circuito Escolar, C.U. Coyoacán Ciudad de México, 04510, Mexico","This paper uses a theoretical approach to explore the applicability of a two-dimensional cellular automaton based on melodic and harmonic intervals in random arrays of musical notes. Our aim is to explore alter-native uses for a cellular automaton in the musical context for better understanding musical creativity. We use the complex systems and humanities approaches as a framework for capturing the essence of cre-ating music based on rules of music theory. Findings suggest that such rules matter for generating large-scale patterns of organized notes. Therefore, our formulation provides a novel approach for understanding and replicating aspects of musical creativity. © 2025, Complex Systems Publications, Inc. All rights reserved.","cellular automata; complex systems; data analysis; music creativity; music intervals; musical composition","Computer music; Data reduction; Large scale systems; Cellular automatons; Music creativity; Music interval; Music theory; Musical composition; Musical creativities; Musical notes; Random array; Theoretical approach; Two-dimensional cellular automata; Cellular automata","08912513","","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-105008775001"
"Pineda L.A.","Pineda, Luis A. (7004202027)","7004202027","The mode of computing","2024","Cognitive Systems Research","84","","101204","","","3","10.1016/j.cogsys.2023.101204","https://www.scopus.com/pages/publications/85181771148?origin=resultslist","Universidad Nacional Autónoma de México, Mexico","Pineda L.A., Universidad Nacional Autónoma de México, Mexico","The Turing Machine is the paradigmatic case of computing machines, but there are others such as analogical, connectionist, quantum and diverse forms of unconventional computing, each based on a particular intuition of the phenomenon of computing. This variety can be captured in terms of system levels, re-interpreting and generalizing Newell's hierarchy, which includes the knowledge level at the top and the symbol level immediately below it. In this re-interpretation the knowledge level consists of human knowledge and the symbol level is generalized into a new level that here is called The Mode of Computing. Mental processes performed by natural brains are often thought of informally as computing processes and that the brain is alike to computing machinery. However, if natural computing does exist it should be characterized on its own. A proposal to such an effect is that natural computing appeared when interpretations were first made by biological entities, so natural computing and interpreting are two aspects of the same phenomenon, or that consciousness and experience are the manifestations of computing/interpreting. By analogy with computing machinery, there must be a system level at the top of the neural circuitry and directly below the knowledge level that is named here The mode of Natural Computing. If it turns out that such putative object does not exist the proposition that the mind is a computing process should be dropped; but characterizing it would come with solving the hard problem of consciousness. © 2024 Elsevier B.V.","Consciousness; Interpretation; Mode of computing; Natural computing; Representation","Electrophysiology; Computing machinery; Computing machines; Computing process; Consciousness; Interpretation; Knowledge level; Mode of computing; Natural Computing; Representation; System levels; article; consciousness; human; intuition; male; mental function; nerve cell network; thinking; Turing machine; Turing machines","13890417","","CSROA","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85181771148"
"Lopez-Villafan R.; Barcenas E.","Lopez-Villafan, Ricardo (59540024300); Barcenas, Everardo (35182396600)","59540024300; 35182396600","A Reasoning System for Graded Modal Logic","2024","Proceedings - 2024 12th International Conference in Software Engineering Research and Innovation, CONISOFT 2024","","","","228","236","0","10.1109/CONISOFT63288.2024.00037","https://www.scopus.com/pages/publications/85216762964?origin=resultslist","Universidad Nacional Autónoma de México, Iimas, Posgrado en Ciencia e lngeniería de la Computación, Mexico City, Mexico; Universidad Nacional Autónoma de México, Facultad de Ingenería, Dpto. de Computación, Mexico City, Mexico","Lopez-Villafan R., Universidad Nacional Autónoma de México, Iimas, Posgrado en Ciencia e lngeniería de la Computación, Mexico City, Mexico; Barcenas E., Universidad Nacional Autónoma de México, Facultad de Ingenería, Dpto. de Computación, Mexico City, Mexico","In this paper, we propose a deduction system for the modal logic K with graded modalities, which is obtained by adding numerical constraints to the modal operators. Graded modalities can be seen as a generalization of traditional modal operators since they include numerical bounds in the modalities, thus enabling the formal treatment of more detailed expressions, such as 'there are at least n+1 individuals satisfying a certain property', where n is a natural number. This kind of properties commonly arise in contexts such as concurrent systems: 'if at least 3 processors are free, then proceed to compute the next task', or epistemic logic:'if more than 2 people know P, then P is known'. The system is based on the notion of tree-hypersequents. We show the system is correct, i.e. sound and complete.  © 2024 IEEE.","automated reasoning; graded modalities; hypersequents; proof theory","Formal logic; Modal analysis; Trees (mathematics); Automated reasoning; Deduction systems; Graded modal logic; Graded modality; Hypersequents; Modal logic; Modal operators; Proof theory; Property; Reasoning system; Computer circuits","","979-833153211-6","","Conference paper","Final","","Scopus","2-s2.0-85216762964"
"Castañeda A.; Van Ditmarsch H.; Rosenblueth D.A.; Velázquez D.A.","Castañeda, Armando (15129698500); Van Ditmarsch, Hans (57215882990); Rosenblueth, David A (6603485343); Velázquez, Diego A (57225032330)","15129698500; 57215882990; 6603485343; 57225032330","Pattern Models: A Dynamic Epistemic Logic for Distributed Systems","2024","Computer Journal","67","7","","2421","2440","0","10.1093/comjnl/bxae016","https://www.scopus.com/pages/publications/85199515630?origin=resultslist","Instituto de Matemáticas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito exterior, 04510, Mexico; Centre National de la Recherche Scientifique, Institut de Recherche en Informatique de Toulouse, Université de Toulouse, 118 Route de Narbonne, Toulouse, F-31062 Cedex 9, France; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico; Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico","Castañeda A., Instituto de Matemáticas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito exterior, 04510, Mexico; Van Ditmarsch H., Centre National de la Recherche Scientifique, Institut de Recherche en Informatique de Toulouse, Université de Toulouse, 118 Route de Narbonne, Toulouse, F-31062 Cedex 9, France; Rosenblueth D.A., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico; Velázquez D.A., Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico","We introduce pattern models, a dynamic epistemic logic for analyzing distributed systems. First, we present a version of pattern models where the full-information protocol, widely studied in distributed computability, is static in the product definition of pattern models. Next, we parametrize such a logic so as to add the capability to model dynamics of arbitrary deterministic protocols. We thus give a systematic construction of pattern models for a large variety of distributed-computing models called dynamic-network models. Using pattern models, the epistemic dynamics of a proper subclass of dynamic-network models called oblivious can be described using a static pattern model, hence using constant space. For this case, we present a sufficient unsolvability condition for the consensus task that can be easily verified analyzing the structure of the initial epistemic model and the pattern model for a given oblivious dynamic-network model.  © 2024 The Author(s).","consensus; distributed computing; dynamic epistemic logic; dynamic-network models","Computation theory; Computer circuits; Consensus; Deterministic protocols; Distributed computabilities; Distributed systems; Dynamic epistemic logic; Dynamic network modeling; Full informations; Information protocols; Model dynamics; Product definition; Distributed computer systems","00104620","","CMPJA","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85199515630"
"Castañeda A.; Rodríguez G.V.","Castañeda, Armando (15129698500); Rodríguez, Gilde Valeria (58072730300)","15129698500; 58072730300","Asynchronous Fault-Tolerant Language Decidability for Runtime Verification of Distributed Systems","2025","Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","Part of F216205","","","218","229","1","10.1145/3732772.3733514","https://www.scopus.com/pages/publications/105026934591?origin=resultslist","Instituto de Matemáticas, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico","Castañeda A., Instituto de Matemáticas, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Rodríguez G.V., Instituto de Matemáticas, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico","Implementing correct distributed systems is an error-prone task. Runtime Verification (RV) offers a lightweight formal method to improve reliability by monitoring system executions against correctness properties. However, applying RV in distributed settings - where no process has global knowledge - poses fundamental challenges, particularly under full asynchrony and fault tolerance. This paper addresses the Distributed Runtime Verification (DRV) problem under such conditions. In our model, each process in a distributed monitor receives a fragment of the input word describing system behavior and must decide whether this word belongs to the language representing the correctness property being verified. Hence, the goal is to decide languages in a distributed fault-tolerant manner. We propose several decidability definitions, study the relations among them, and prove possibility and impossibility results. One of our main results is a characterization of the correctness properties that can be decided asynchronously. Remarkably, it applies to any language decidability definition. Intuitively, the characterization is that only properties with no real-time order constraints can be decided in asynchronous fault-tolerant settings. These results expose the expressive limits of DRV in realistic systems, as several properties of practical interest rely on reasoning about real-time order of events in executions. To overcome these limitations, we introduce a weaker model where the system under inspection is verified indirectly. Under this weaker model we define predictive decidability, a decidability definition that turn some real-time sensitive correctness properties verifiable. Our framework unifies and extends existing DRV theory and sharpens the boundary of runtime monitorability under different assumptions. © 2025 Copyright is held by the owner/author(s).","concurrent algorithms; distributed runtime verification; distributed systems; eventual consistency fault-tolerance; linearizability; lockfreedom; monitoring; sequential consistency; shared memory; verification; wait-freedom","Computability and decidability; Distributed computer systems; Fault tolerant computer systems; Formal verification; Interactive computer systems; Real time systems; Concurrent algorithms; Distributed runtime; Distributed runtime verification; Distributed systems; Eventual consistency; Eventual consistency fault-tolerance; Linearizability; Lock freedoms; Run-time verification; Sequential consistency; Shared memory; Wait-freedom; Fault tolerance","","979-840071885-4","85LRA","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026934591"
"Reyes-Gómez F.; Torres-Marín E.; Lárraga M.E.; Alvarez-Icaza L.; Mora-Gutiérrez R.A.","Reyes-Gómez, Fernando (59981233000); Torres-Marín, Emmanuel (59980088000); Lárraga, María Elena (6506902796); Alvarez-Icaza, Luis (7801510356); Mora-Gutiérrez, Román A (54879377900)","59981233000; 59980088000; 6506902796; 7801510356; 54879377900","Modeling the Impact of Public Transportation and Mitigation Strategies in COVID-19 Spread in Mexico City","2025","IEEE Access","13","","","117668","117686","0","10.1109/ACCESS.2025.3584378","https://www.scopus.com/pages/publications/105010065374?origin=resultslist","Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, 04510, Mexico; Autonomous Metropolitan University, Azcapotzalco Campus, Systems Department, Mexico City, 02200, Mexico","Reyes-Gómez F., Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, 04510, Mexico; Torres-Marín E., Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, 04510, Mexico; Lárraga M.E., Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, 04510, Mexico; Alvarez-Icaza L., Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, 04510, Mexico; Mora-Gutiérrez R.A., Autonomous Metropolitan University, Azcapotzalco Campus, Systems Department, Mexico City, 02200, Mexico","Understanding the spread of infectious diseases such as COVID-19 has been a persistent challenge for scientists and policymakers. While numerous studies have researched general aspects of the COVID-19 transmission dynamics, few have specifically examined its spread within public transportation systems in highly interconnected urban environments while incorporating the role played by the degree of effectiveness of time-varying mitigation strategies. This paper presents a novel approach using a discrete, probabilistic, and age-structured model that integrates the concept of compartmental models in epidemiology with cellular automata networks to investigate the role of public transportation and mitigation strategies in COVID-19 transmission in Mexico City districts. Therefore, the transmission of the disease is based on the definition of two distinct forces of infection: one associated with the use of public transport and the other with the occurrence within each district. Furthermore, the model incorporates several key time-varying parameters such as district population, commuting patterns, and contact matrices for different settings. Moreover, a stringency index was constructed based on the Oxford index in order to evaluate the impact of mitigation strategies established by the Mexican government and their compliance. Simulation results successfully reproduce COVID-19 transmission dynamics in Mexico City districts before vaccination efforts. Findings suggest that public transportation significantly contributed to the spread of the disease during the initial phase of the pandemic in Mexico City. These insights provide valuable guidance for public health strategies to mitigate infectious disease transmission in densely populated urban environments. © 2013 IEEE.","Cellular automata network; COVID-19 transmission dynamics; discrete modeling and simulation; epidemic model; human mobility; Mexico City; public transportation","COVID-19; Dynamics; Epidemiology; Mass transportation; Public health; Time varying control systems; Transmissions; Urban planning; Urban transportation; Automata networks; Cellular automaton network; Cellular automatons; COVID-19 transmission dynamic; Discrete models; Discrete simulations; Epidemic modeling; Human mobility; Mexico City; Model and simulation; Public transportation; Transmission dynamics; Cellular automata","21693536","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105010065374"
"Estivill-Castro V.; Carrillo M.; Rosenblueth D.A.","Estivill-Castro, Vladimir (55915978700); Carrillo, Miguel (15058600200); Rosenblueth, David A. (6603485343)","55915978700; 15058600200; 6603485343","LLFSMs to TLA+: A Model-to-Text Transformation of Executable Models Enabling Specification and Verification of Multi-Threaded and Concurrent Systems","2025","International Conference on Model-Driven Engineering and Software Development","1","","","15","26","0","10.5220/0013094700003896","https://www.scopus.com/pages/publications/105001832131?origin=resultslist","Department of Engineering, Pompeu Fabra University, Roc Boronat 138, Barcelona, 08018, Spain; Instituto de Investigaciones en Matemáaticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Apdo. 20-126, Ciudad de Mexico, 01000, Mexico","Estivill-Castro V., Department of Engineering, Pompeu Fabra University, Roc Boronat 138, Barcelona, 08018, Spain; Carrillo M., Instituto de Investigaciones en Matemáaticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Apdo. 20-126, Ciudad de Mexico, 01000, Mexico; Rosenblueth D.A., Instituto de Investigaciones en Matemáaticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Apdo. 20-126, Ciudad de Mexico, 01000, Mexico","As complexity of software systems increases, ensuring reliability becomes ever more crucial. Despite advances, behaviour-modelling techniques still face challenges due to semantic gaps. This work focuses on translating Logic-Labelled Finite-State Machines (LLFSMs) to the Temporal Logic of Actions (TLA), bridging the gap between a time-triggered formalism and common temporal logic for model checking. The translation is innovative as multi-threaded and distributed systems can now be designed using LLFSMs. We illustrate the translation with Fischer’s protocol (for multi-threaded systems), and release tools with examples for distributed systems. The approach addresses semantic gaps from three sources: differing finite-state machine semantics, variations in translating to executable models versus models for checking, and discrepancies between abstract and executable model translations. © 2025 by SCITEPRESS - Science and Technology Publications, Lda.","Executable Models; Formal Verification; Model Transformation; Reasoning About Models","","21844348","978-989758729-0","","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105001832131"
"Attiya H.; Fraigniaud P.; Paz A.; Rajsbaum S.","Attiya, Hagit (7003446774); Fraigniaud, Pierre (7003924858); Paz, Ami (57225351023); Rajsbaum, Sergio (55989661500)","7003446774; 7003924858; 57225351023; 55989661500","Brief Announcement: Solvability of Three-Process General Tasks","2024","Leibniz International Proceedings in Informatics, LIPIcs","319","","42","","","0","10.4230/LIPIcs.DISC.2024.42","https://www.scopus.com/pages/publications/85208413730?origin=resultslist","Department of Computer Science, Technion, Haifa, Israel; IRIF, CNRS, Université Paris Cité, France; LISN, CNRS, Université Paris-Saclay, France; Instituto de Matemáticas, UNAM, Mexico City, Mexico","Attiya H., Department of Computer Science, Technion, Haifa, Israel; Fraigniaud P., IRIF, CNRS, Université Paris Cité, France; Paz A., LISN, CNRS, Université Paris-Saclay, France; Rajsbaum S., Instituto de Matemáticas, UNAM, Mexico City, Mexico","The topological view on distributed computing represents a task T as a relation ∆ between the complex I of its inputs and the complex O of its outputs. A cornerstone result in the field is an elegant computability characterization of the solvability of colorless tasks in terms of I, O and ∆. Essentially, a colorless task is wait-free solvable if and only if there is a continuous map from the geometric realization of I to that of O that respects ∆. This paper makes headway towards providing an analogous characterization for general tasks, which are not necessarily colorless, by concentrating on the case of three-process inputless tasks. Our key contribution is identifying local articulation points as an obstacle for the solvability of general tasks, and defining a topological deformation on the output complex of a task T, which eliminates these points by splitting them, to obtain a new task T′, with an adjusted relation ∆′ between the input complex I and an output complex O′ without articulation points. We obtain a new characterization of wait-free solvability of three-process general tasks: T is wait-free solvable if and only if there is a continuous map from the geometric realization of I to that of O′ that respects ∆′. © Hagit Attiya, Pierre Fraigniaud, Ami Paz, and Sergio Rajsbaum.","lower bounds; topology; Wait-free computing","Computability and decidability; Distributed computer systems; Geometry; Articulation points; Colorless tasks; Continuous map; Low bound; Splittings; Topological deformation; Wait free; Wait-free computing; Topology","18688969","978-395977352-2","","Conference paper","Final","","Scopus","2-s2.0-85208413730"
"Delporte-Gallet C.; Fauconnier H.; Fraigniaud P.; Rajsbaum S.; Travers C.","Delporte-Gallet, Carole (6602365843); Fauconnier, Hugues (6603358753); Fraigniaud, Pierre (7003924858); Rajsbaum, Sergio (55989661500); Travers, Corentin (12240929200)","6602365843; 6603358753; 7003924858; 55989661500; 12240929200","The Computational Power of Distributed Shared-Memory Models with Bounded-Size Registers","2024","Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","","","","310","320","3","10.1145/3662158.3662789","https://www.scopus.com/pages/publications/85199088204?origin=resultslist","IRIF, University Paris Cité, CNRS, Paris, France; Irif and Instituto de Matemàticas, Unam, Mexico City, Mexico; Lis, University Aix-Marseille, CNRS, Marseille, France","Delporte-Gallet C., IRIF, University Paris Cité, CNRS, Paris, France; Fauconnier H., IRIF, University Paris Cité, CNRS, Paris, France; Fraigniaud P., IRIF, University Paris Cité, CNRS, Paris, France; Rajsbaum S., Irif and Instituto de Matemàticas, Unam, Mexico City, Mexico; Travers C., Lis, University Aix-Marseille, CNRS, Marseille, France","The celebrated Asynchronous Computability Theorem of Herlihy and Shavit (JACM 1999) provided a topological characterization of the tasks that are wait-free solvable by processes communicating through writing and reading shared registers. This characterization assumes the use of full-information protocols, in which each time a process writes in the shared memory, it communicates everything it learned since the beginning of the execution. Thus, each register in the shared memory is of unbounded size. Whether unbounded size registers are unavoidable for the model of computation to be universal is the central question studied in this paper. More generally, when at most t out of n processes can crash, is the model with bounded size registers universal?We show that when 1 ≤ t < n/2 registers of size O(t) bits are sufficient to solve any task that is solvable by a full-information protocol. The situation is radically different when n/2 < t < n, which includes the wait-free case. We show that bounded registers are not universal. Specifically, we show that, for any bound f: ĝ.,• → ĝ.,•, and for any n > 2, there exists a task that cannot be solved by n processes communicating via registers of size f(n) bits, but is solvable by n processes using unbounded registers. The case n = 2, t = 1, where 1-resilient computing and wait-free computing coincide, does not display the same behavior. We show that any task solvable by 2 processes in the wait-free shared-memory model with unbounded-size registers can be solved by 2 processes in the wait-free shared-memory model with constant size registers.Finally, we consider the iterated shared memory model, which has played a crucial role since Herlihy and Shavit's characterization. We show that 1-bit registers (per iteration) are sufficient for solving wait-free any task that is solvable by a full-information wait-free protocol. Therefore, while the wait-free read/write shared-memory model is known to be computationally equivalent to the iterated model, this equivalence only holds if registers are unbounded. © 2024 Copyright is held by the owner/author(s). Publication rights licensed to ACM.","approximate agreement; shared memory; space complexity; t-resiliency; wait-freedom","Computation theory; Approximate agreement; Bounded size; Full informations; Information protocols; Shared memory; Shared memory model; Space complexity; T-resiliency; Wait free; Wait-freedom; Memory architecture","","979-840070668-4","85LRA","Conference paper","Final","","Scopus","2-s2.0-85199088204"
"Dávila R.; Aldeco-Pérez R.; Bárcenas E.","Dávila, R. (57448899400); Aldeco-Pérez, R. (36607389400); Bárcenas, E. (35182396600)","57448899400; 36607389400; 35182396600","Consistency in Smart Contracts Design","2025","Programming and Computer Software","51","8","","605","613","0","10.1134/S0361768825700458","https://www.scopus.com/pages/publications/105031629886?origin=resultslist","Universidad Nacional Autónoma de México, CDMX, Mexico","Dávila R., Universidad Nacional Autónoma de México, CDMX, Mexico; Aldeco-Pérez R., Universidad Nacional Autónoma de México, CDMX, Mexico; Bárcenas E., Universidad Nacional Autónoma de México, CDMX, Mexico","Abstract: The reliability and security of Smart Contracts largely depend on the consistency of their rule design. This paper introduces a novel approach for analyzing and ensuring consistency in Smart Contracts prior to their implementation. By proposing a formal grammar that captures the concurrent primitives inherent in Smart Contracts, and an algorithm that generates finite state machines (FSMs) from these grammar-based rule sets, the study enables the identification of several problems at the design stage. The paper compares this methodology with related works that focus on post-implementation verification, highlighting the advantages of early-stage analysis. Through theoretical and real-world examples, including an analysis of the DAO attack, the paper demonstrates how inconsistencies can be detected systematically. Finally, a formal definition of consistency is presented, offering a foundation for future tools aimed at enhancing Smart Contract designs. © Pleiades Publishing, Ltd. 2025.","analysis and verification of smart contracts; consistency in smart contracts; DAO attack; finite state machines (FSMs); formal grammar; smart contracts","Computational grammars; Formal languages; Smart contract; Analysis and verifications; Analyze and verification of smart contract; Consistency in smart contract; Contract design; DAO attack; Design stage; Finite state machine; Finite states machine; Formal grammars; Rule set; Design","03617688","","","Article","Final","","Scopus","2-s2.0-105031629886"
