indice,Titulo,Año,Autor_norm,Afiliacion1,Afiliacion2,ISBN,ISSN,Doi,URL,Area,Subarea,Keywords,Abstract
1,A Culturally-Aware AI Tool for Crowdworkers: Leveraging Chronemics to Support Diverse Work Styles,2024,"Toxtli, Carlos; Curtis, Christopher; Savage, Saiph","Carlos Toxtli: Clemson University, USA; Christopher Curtis: Northeastern University, USA; Saiph Savage: Northeastern University, USA","Saiph Savage: Universidad Nacional Autónoma de México (UNAM), Mexico",N/D,2573-0142,10.1145/3686899,https://doi.org/10.1145/3686899,ISBD,,AI; Crowdsourcing; Culture; System; Chronemics,"Crowdsourcing markets are expanding worldwide, but often feature standardized interfaces that ignore the cultural diversity of their workers, negatively impacting their well-being and productivity. To transform these workplace dynamics, this paper proposes creating culturally-aware workplace tools, specifically designed to adapt to the cultural dimensions of monochronic and polychronic work styles. We illustrate this approach with ""CultureFit,"" a tool that we engineered based on extensive research in Chronemics and culture theories. To study and evaluate our tool in the real world, we conducted a field experiment with 55 workers from 24 different countries. Our field experiment revealed that CultureFit significantly improved the earnings of workers from cultural backgrounds often overlooked in design. Our study is among the pioneering efforts to examine culturally aware digital labor interventions. It also provides access to a dataset with over two million data points on culture and digital work, which can be leveraged for future research in this emerging field. The paper concludes by discussing the importance and future possibilities of incorporating cultural insights into the design of tools for digital labor."
2,Creative dialogue: evolving intent in designer-AI workflows,2025,"Sattele, Vanessa","Vanessa Sattele: National Autonomous University of Mexico (UNAM), Industrial Design Research Center (CIDI), Mexico City, Mexico",N/D,979-8-4007-1289-0,N/D,10.1145/3698061.3734419,https://doi.org/10.1145/3698061.3734419,ISBD,,AI; co-creativity; ideation; creative process; design education,"The aim of this doctoral research project is to study how the use of GenAI can influence the creative workflow and cognitive processes of product designers in formation. The focus is on the initial design stages of problem-solution framing and concept creation/exploration. As a first step, a literature review has been performed to identify the different variables that might influence results in similar studies. A second phase involves exploratory studies with bachelor level product design students. Based on the findings, a series of rapid design prototypes proposing new ways of interaction with GenAI will be tested and evaluated. The main contributions of this project are the development of principles and new models for co-creation that can support the evolutive process of design intention during the ideation process and assist designers in formation to develop their creative potential."
3,CSCW Contributions to Critical Futures of Work,2025,"Lushnikova, Alina; Muller, Michael; Bardzell, Shaowen; Li, Toby Jia-Jun; Savage, Saiph","Alina Lushnikova: University of Luxembourg, Esch-sur-Alzette, Luxembourg; Michael Muller: IBM Research, Cambridge, Massachusetts, USA; Shaowen Bardzell: Georgia Institute of Technology, Atlanta, Georgia, USA; Toby Jia-Jun Li: University of Notre Dame, Notre Dame, Indiana, USA; Saiph Savage: Northeastern University, Boston, Massachusetts, USA","Saiph Savage: Universidad Nacional Autónoma de México, Mexico City, Mexico",979-8-4007-1480-1,N/D,10.1145/3715070.3748296,https://doi.org/10.1145/3715070.3748296,ISBD,,CSCW; Future of work; Critical computing; Workers; Labor; Diversity; Pluralism,"As the CSCW community evolves and participates in envisioning the impact of technologies on the work practices, we want to ensure that critical and alternative computing perspectives are well represented while we are co-constructing the future of work. In this hybrid workshop, we invite researchers, practitioners, civic actors, economists, and other interested parties to challenge dominant, powerful, status-quo narratives and imaginaries when considering the future of work, nurturing the CSCW commitments and methods. Co-constructing the workshop with participants, we aim to develop actionable insights and strengthen the community."
4,Demo: A Geometric Approach to Generate Musical Rhythmic Patterns in Haskell,2024,"Góngora, Xavier","Xavier Góngora: Universidad Nacional Autónoma de México, Mexico City, Mexico",N/D,979-8-4007-1099-5,N/D,10.1145/3677996.3678295,https://doi.org/10.1145/3677996.3678295,ISBD,,geometry; rhythm; music; pattern; group theory; functional programming; Erlangen program; live coding,"We present work-in-progress on RTG, a domain specific language embedded in Haskell designed to explore the affordances of geometry as a means to generate and manipulate rhythmic patterns in live coded music. Examples of how simple geometry is capable of producing interesting rhythms are shown to support our use of binary lists as a pattern representation. We introduce Erlangen’s Program notion of geometry as encoded in groups, using such structure as the focus of a combinator interface based on an archetypal RhythmicPattern type implemented using a type class. Examples of the interface usage are provided. Future work targets the definition of Group instances for the rhythmic pattern types such that the group laws are fulfilled and its operations lift to the interface in a musically coherent and engaging way."
5,Designing Gig Worker Sousveillance Tools,2024,"Do, Kimberly; De Los Santos, Maya; Muller, Michael; Savage, Saiph","Kimberly Do: Northeastern University, Boston, USA; Maya De Los Santos: Northeastern University, Boston, USA; Michael Muller: IBM Research, Boston, USA; Saiph Savage: Northeastern University, USA","Saiph Savage: Universidad Nacional Autónoma de México (UNAM), Mexico",979-8-4007-0330-0,N/D,10.1145/3613904.3642614,https://doi.org/10.1145/3613904.3642614,ISBD,,gig work; crowd work; job market; labor market; freelancers; surveillance; sousveillance,"As independently-contracted employees, gig workers disproportionately suffer the consequences of workplace surveillance, which include increased pressures to work, breaches of privacy, and decreased digital autonomy. Despite the negative impacts of workplace surveillance, gig workers lack the tools, strategies, and workplace social support to protect themselves against these harms. Meanwhile, some critical theorists have proposed sousveillance as a potential means of countering such abuses of power, whereby those under surveillance monitor those in positions of authority (e.g., gig workers collect data about requesters/platforms). To understand the benefits of sousveillance systems in the gig economy, we conducted semi-structured interviews and led co-design activities with gig workers. We use “care ethics” as a guiding concept to understand our interview and co-design data, while also focusing on empathic sousveillance technology design recommendations. Through our study we identify gig workers’ attitudes towards and past experiences with sousveillance. We also uncover the type of sousveillance technologies imagined by workers, provide design recommendations, and finish by discussing how to create empowering, empathic spaces on gig platforms."
6,Fostering Latin American-Centric CSCW Research and Practice,2024,"Gutierrez, Francisco J.; Gaytán-Lugo, Laura S.; Lopez, Gustavo; Candello, Heloisa; Vivacqua, Adriana S.; Wong-Villacres, Marisol; Griggio, Carla F.; Castro, Luis A.; Savage, Saiph; Lopez, Claudia; de Souza, Cleidson R. B.","Francisco J. Gutierrez: Department of Computer Science, University of Chile, Santiago, Chile; Laura S. Gaytán-Lugo: Universidad de Colima, Coquimatlán, Mexico; Gustavo Lopez: Universidad de Costa Rica, San Jose, Costa Rica; Heloisa Candello: IBM Research, Sao Paulo, Brazil; Adriana S. Vivacqua: Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Marisol Wong-Villacres: Escuela Superior Politécnica del Litoral, Guayaquil, Ecuador; Carla F. Griggio: Aalborg University, Copenhagen, Denmark; Luis A. Castro: Instituto Tecnológico de Sonora (ITSON), Ciudad Obregón, Mexico; Saiph Savage: Northeastern University, USA; Claudia Lopez: Universidad Técnica Federico Santa María, Valparaíso, Chile; Cleidson R. B. de Souza: Federal University of Pará, Belém, Brazil","Saiph Savage: Universidad Nacional Autónoma de México (UNAM), Mexico",979-8-4007-1114-5,N/D,10.1145/3678884.3681837,https://doi.org/10.1145/3678884.3681837,ISBD,,Latin America; collaboration; research and practice opportunities; regional cooperation,"This year, CSCW is coming to Latin America for the first time. In this workshop, we aim to position the region as a common context that brings together students, academics, as well as industry researchers and practitioners interested in studying, designing, developing, deploying, and/or evaluating CSCW and social computing technology, addressing challenges either emerging from or impacting Latin America. Previous initiatives have explored or highlighted the potential of Latin America for CSCW research, and this one-day workshop seeks to build on that foundation. Our objectives are to: (1) Bring together researchers, practitioners, and students interested in engaging with Latin America through their research and practice; (2) Discuss the opportunities and challenges of conducting CSCW research centered on Latin America; (3) Collaboratively mentor emerging projects focused on Latin America; (4) Advance 5-year collaborative research agendas among existing CSCW Latin America research groups; and (5) Increase the visibility of Latin American research projects within the broader international CSCW community. We will invite senior CSCW researchers from Latin America and other regions to discuss the work presented at the event. This workshop seeks to enrich the global conversation on CSCW and highlight and strengthen Latin America's unique contributions to this field."
7,MouseClicker: Exploring Tactile Feedback and Physical Agency for People with Hand Motor Impairments,2024,"Taheri, Atieh; Gomez-Monroy, Carlos Gilberto; Borja, Vicente; Sra, Misha","Atieh Taheri: University of California, Santa Barbara, USA; Carlos Gilberto Gomez-Monroy: Universidad Nacional Autónoma de México, Mexico City, Mexico; Vicente Borja: Universidad Nacional Autónoma de México, Mexico City, Mexico; Misha Sra: University of California, Santa Barbara, USA",N/D,N/D,1936-7228,10.1145/3648685,https://doi.org/10.1145/3648685,ISBD,,Hand motor impairments; holistic inclusion; haptic feedback; facial expressions; hands-free input; computer mouse,"Assistive technology (AT) design is critical in enabling functionality for people with disabilities, blending essential elements of both practical utility and user experience. Traditionally, AT has successfully addressed core functional needs, such as enabling cursor movement and clicking actions with devices like computer mice. However, a comprehensive approach to AT design also necessitates a thorough consideration of sensory feedback, including tactile sensations, ergonomics, and auditory cues like button click sounds. These aspects are not merely supplementary but are integral to the device’s functionality, enhancing user interaction and long-term comfort, especially for individuals with motor impairments. In this work, we present MouseClicker, a mechatronic AT to surrogate physical agency over a computer mouse and to foster the haptic sensory experience of clicking on it tailored specifically for an individual with Spinal Muscular Atrophy (SMA) who faces challenges in using a standard mouse due to severe hand motor impairments. Our design aims at replicating the holistic experience of clicking a mouse, from its functional mechanical actions to its nuanced tactile and auditory feedback. This work details the MouseClicker’s design and reports on an exploratory user study aimed at identifying optimal vibrotactile feedback parameters – such as location, and intensity – that represent mouse button clicks. MouseClicker presents a step forward in AT design by integrating the functionality, sensory feedback, and the overall experience of taking control over non-AT devices."
8,The Impact of Generative AI Coding Assistants on Developers Who Are Visually Impaired,2025,"Flores-Saviaga, Claudia; Hanrahan, Benjamin V.; Imteyaz, Kashif; Clarke, Steven; Savage, Saiph","Claudia Flores-Saviaga: Northeastern University, Boston, Massachusetts, USA; Benjamin V. Hanrahan: Microsoft, Redmond, Washington, USA; Kashif Imteyaz: Northeastern University, Boston, Massachusetts, USA; Steven Clarke: Microsoft, Edinburgh, United Kingdom; Saiph Savage: Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico",N/D,979-8-4007-1394-1,N/D,10.1145/3706598.3714008,https://doi.org/10.1145/3706598.3714008,ISBD,,generative ai; accessibility; ai coding assistants; assistive technology,"The rapid adoption of generative AI in software development has impacted the industry, yet its effects on developers with visual impairments remain largely unexplored. To address this gap, we used an Activity Theory framework to examine how developers with visual impairments interact with AI coding assistants. For this purpose, we conducted a study where developers who are visually impaired completed a series of programming tasks using a generative AI coding assistant. We uncovered that, while participants found the AI assistant beneficial and reported significant advantages, they also highlighted accessibility challenges. Specifically, the AI coding assistant often exacerbated existing accessibility barriers and introduced new challenges. For example, it overwhelmed users with an excessive number of suggestions, leading developers who are visually impaired to express a desire for “AI timeouts.” Additionally, the generative AI coding assistant made it more difficult for developers to switch contexts between the AI-generated content and their own code. Despite these challenges, participants were optimistic about the potential of AI coding assistants to transform the coding experience for developers with visual impairments. Our findings emphasize the need to apply activity-centered design principles to generative AI assistants, ensuring they better align with user behaviors and address specific accessibility needs. This approach can enable the assistants to provide more intuitive, inclusive, and effective experiences, while also contributing to the broader goal of enhancing accessibility in software development."
9,Unveiling AI-Driven Collective Action for a Worker-Centric Future,2024,"Savage, Saiph","Saiph Savage: Northeastern University, Boston, MA, USA","Saiph Savage: Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico",979-8-4007-0371-3,N/D,10.1145/3616855.3637633,https://doi.org/10.1145/3616855.3637633,ISBD,,gig work; HCI; CSCW; future of work; collective action; Human Centered AI,"Collective action by gig knowledge workers is a potent method for enhancing labor conditions on platforms like Upwork, Amazon Mechanical Turk, and Toloka. However, this type of collective action is still rare today. Existing systems for supporting collective action are inadequate for workers to identify and understand their different workplace problems, plan effective solutions, and put the solutions into action. This talk will discuss how with my research lab we are creating worker-centric AI enhanced technologies that enable collective action among gig knowledge workers. Building solid AI enhanced technologies to enable gig worker collective action will pave the way for a fair and ethical gig economy-one with fair wages, humane working conditions, and increased job security. I will discuss how my proposed approach involves first integrating ”sousveillance,” a concept by Foucault, into the technologies. Sousveillance involves individuals or groups using surveillance tools to monitor and record those in positions of power. In this case, the technologies enable gig workers to monitor their workplace and their algorithmic bosses, giving them access to their own workplace data for the first time. This facilitates the first stage of collective action: problem identification. I will then discuss how we combine this data with Large-Language-Models (LLMs) and social theories to create intelligent assistants that guide workers to complete collective action via sensemaking and solution implementation.The talk will present a set of case studies to showcase this vision of designing data driven AI technologies to power gig worker collective action. In particular, I will present the systems: 1) GigSousveillance which allows workers to monitor and collect their own job-related data, facilitating quantification of workplace problems; 2) GigSense equips workers with an AI assistant that facilitates sensemaking of their work problems, helping workers to strategically devise solutions to their challenges; 3) GigAction is an AI assistant that guides workers to implement their proposed solutions. I will discuss how we are designing and implementing these systems by adopting a participatory design approach with workers, while also conducting experiments and longitudinal deployments in the real world. I conclude by presenting a research agenda for transforming and rethinking the role of A.I. in our workplaces; and researching effective socio-technical solutions in favor of a worker-centric future and countering techno-authoritarianism."
10,Asynchronous Fault-Tolerant Language Decidability for Runtime Verification of Distributed Systems,2025,"Castañeda, Armando; Rodríguez, Gilde Valeria","Armando Castañeda: Instituto de Matemáticas, Universidad Nacional Autónoma de México, Mexico City, México; Gilde Valeria Rodríguez: Posgrado en Ciencia e Ingeniería de la Computación, Universidad Nacional Autónoma de México, Mexico City, México",N/D,979-8-4007-1885-4,N/D,10.1145/3732772.3733514,https://doi.org/10.1145/3732772.3733514,ISBD,,Concurrent algorithms; Distributed runtime verification; Distributed systems; Eventual consistency Fault-tolerance; Linearizability; Lock-freedom; Monitoring; Sequential Consistency; Shared memory; Verification; Wait-freedom,"Implementing correct distributed systems is an error-prone task. Runtime Verification (RV) offers a lightweight formal method to improve reliability by monitoring system executions against correctness properties. However, applying RV in distributed settings—where no process has global knowledge—poses fundamental challenges, particularly under full asynchrony and fault tolerance. This paper addresses the Distributed Runtime Verification (DRV) problem under such conditions. In our model, each process in a distributed monitor receives a fragment of the input word describing system behavior and must decide whether this word belongs to the language representing the correctness property being verified. Hence, the goal is to decide languages in a distributed fault-tolerant manner. We propose several decidability definitions, study the relations among them, and prove possibility and impossibility results. One of our main results is a characterization of the correctness properties that can be decided asynchronously. Remarkably, it applies to any language decidability definition. Intuitively, the characterization is that only properties with no real-time order constraints can be decided in asynchronous fault-tolerant settings. These results expose the expressive limits of DRV in realistic systems, as several properties of practical interest rely on reasoning about real-time order of events in executions. To overcome these limitations, we introduce a weaker model where the system under inspection is verified indirectly. Under this weaker model we define predictive decidability, a decidability definition that turn some real-time sensitive correctness properties verifiable. Our framework unifies and extends existing DRV theory and sharpens the boundary of runtime monitorability under different assumptions."
