indice,Titulo,Año,Autor_norm,Afiliacion1,Afiliacion2,ISBN,ISSN,Doi,URL,Area,Subarea,Keywords,Abstract
1,Asynchronous Fault-Tolerant Language Decidability for Runtime Verification of Distributed Systems,2025,"Castañeda, Armando; Rodríguez, Gilde Valeria","Armando Castañeda: Instituto de Matemáticas, Universidad Nacional Autónoma de México, Mexico City, México; Gilde Valeria Rodríguez: Posgrado en Ciencia e Ingeniería de la Computación, Universidad Nacional Autónoma de México, Mexico City, México",N/D,979-8-4007-1885-4,N/D,10.1145/3732772.3733514,https://doi.org/10.1145/3732772.3733514,TC,,Concurrent algorithms; Distributed runtime verification; Distributed systems; Eventual consistency Fault-tolerance; Linearizability; Lock-freedom; Monitoring; Sequential Consistency; Shared memory; Verification; Wait-freedom,"Implementing correct distributed systems is an error-prone task. Runtime Verification (RV) offers a lightweight formal method to improve reliability by monitoring system executions against correctness properties. However, applying RV in distributed settings—where no process has global knowledge—poses fundamental challenges, particularly under full asynchrony and fault tolerance. This paper addresses the Distributed Runtime Verification (DRV) problem under such conditions. In our model, each process in a distributed monitor receives a fragment of the input word describing system behavior and must decide whether this word belongs to the language representing the correctness property being verified. Hence, the goal is to decide languages in a distributed fault-tolerant manner. We propose several decidability definitions, study the relations among them, and prove possibility and impossibility results. One of our main results is a characterization of the correctness properties that can be decided asynchronously. Remarkably, it applies to any language decidability definition. Intuitively, the characterization is that only properties with no real-time order constraints can be decided in asynchronous fault-tolerant settings. These results expose the expressive limits of DRV in realistic systems, as several properties of practical interest rely on reasoning about real-time order of events in executions. To overcome these limitations, we introduce a weaker model where the system under inspection is verified indirectly. Under this weaker model we define predictive decidability, a decidability definition that turn some real-time sensitive correctness properties verifiable. Our framework unifies and extends existing DRV theory and sharpens the boundary of runtime monitorability under different assumptions."
2,Uncertainty Quantification of the Hypervolume for Evolutionary Multi-Objective Reinforcement Learning,2025,"Millán Prado, Alberto Maximiliano; Hernández Castellanos, Carlos Ignacio","Alberto Maximiliano Millán Prado: Universidad Nacional Autónoma de México, IIMAS, Ciudad de México, México; Carlos Ignacio Hernández Castellanos: Universidad Nacional Autónoma de México, IIMAS, Ciudad de México, México",N/D,979-8-4007-1464-1,N/D,10.1145/3712255.3726775,https://doi.org/10.1145/3712255.3726775,TC,,multi-objective; reinforcement learning; evolutionary algorithms; hypervolume optimization,"Many real-world problems involve optimizing multiple conflicting objectives simultaneously, often by a series of decisions. Multi-objective reinforcement learning addresses these challenges by training agents to learn policies that balance multiple reward signals from the environment. In recent years, the community has increasingly paid attention to these problems. However, the necessity for more effective solutions persists. In this context, we propose a methodology for approximating optimal policies using evolutionary algorithms. Our approach enhances the search process by leveraging uncertainty quantification in the hypervolume computation of candidate solutions. We adapt the classical evolutionary process, changing the evaluation of agents to prioritize those contributing more to the hypervolume and using uncertainty quantification as a guiding metric. Further, we analyzed four evolutionary algorithms under different uncertainty measures and tested them in diverse multi-objective reinforcement learning environments with up to four objectives. The work revealed that the expected improvement was the most effective uncertainty quantification for guiding the search across all algorithms."
3,Demo: A Geometric Approach to Generate Musical Rhythmic Patterns in Haskell,2024,"Góngora, Xavier","Xavier Góngora: Universidad Nacional Autónoma de México, Mexico City, Mexico",N/D,979-8-4007-1099-5,N/D,10.1145/3677996.3678295,https://doi.org/10.1145/3677996.3678295,TC,,Erlangen program; functional programming; geometry; group theory; live coding; music; pattern; rhythm,"We present work-in-progress on RTG, a domain specific language embedded in Haskell designed to explore the affordances of geometry as a means to generate and manipulate rhythmic patterns in live coded music. Examples of how simple geometry is capable of producing interesting rhythms are shown to support our use of binary lists as a pattern representation. We introduce Erlangen’s Program notion of geometry as encoded in groups, using such structure as the focus of a combinator interface based on an archetypal RhythmicPattern type implemented using a type class. Examples of the interface usage are provided. Future work targets the definition of Group instances for the rhythmic pattern types such that the group laws are fulfilled and its operations lift to the interface in a musically coherent and engaging way."
4,A Cooperative Multi Indicator-Based Ant Colony Optimization Algorithm for the MOGenConVRP,2024,"Velázquez Cruz, Rodrigo Fernando; Hernández Castellanos, Carlos Ignacio","Rodrigo Fernando Velázquez Cruz: Universidad Nacional Autónoma de México - Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Ciudad de México, México; Carlos Ignacio Hernández Castellanos: Universidad Nacional Autónoma de México - Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Ciudad de México, México",N/D,979-8-4007-0495-6,N/D,10.1145/3638530.3654416,https://doi.org/10.1145/3638530.3654416,TC,,ACO; quality indicators; approximated solutions; VRP; external archivers,"Using quality indicators to guide the search on multi-objective evolutionary algorithms (MOEAs) is one of the most prominent approaches. Since quality indicators incorporate the preferences on the Pareto approximation and diversity of solutions. Recently, there has been an interest in algorithms based on the cooperation of multiple indicators, mostly using MOEAs as a baseline. We propose the Cooperative Multi Indicator-Based Ant Colony Optimization algorithm (cMIBACO). A novel algorithm based on the cooperation of three quality indicators (hypervolume, ϵ+, R2) to improve the diversity and avoid premature convergence to a local optimum. This algorithm uses an external archive to obtain the set of approximated solutions. We tested the algorithm against indicator-based ACOs on several instances of the Multi-objective Generalized Consistent Vehicle Routing Problem (MOGenConVRP) and investigated for statistical significance. Our experimental results show that cMIBACO has competitive results to the state-of-the-art and opens the door for further research in this direction."
5,Strong Linearizability using Primitives with Consensus Number 2,2024,"Attiya, Hagit; Castañeda, Armando; Enea, Constantin","Hagit Attiya: Technion, Department of Computer Science, Israel; Armando Castañeda: Universidad Nacional Autónoma de México, Instituto de Matemáticas, Mexico; Constantin Enea: LIX, École Polytechnique, CNRS and Institut Polytechnique de Paris, France",N/D,979-8-4007-0668-4,N/D,10.1145/3662158.3662790,https://doi.org/10.1145/3662158.3662790,TC,,concurrency; consensus numbers; linearizability; lock-freedom; shared memory; strong linearizability; wait-freedom,"A powerful tool for designing complex concurrent programs is through composition with object implementations from lower-level primitives. Strongly-linearizable implementations allow to preserve hyper-properties, e.g., probabilistic guarantees of randomized programs. However, the only known wait-free strongly-linearizable implementations for many objects rely on compare&swap, a universal primitive that allows any number of processes to solve consensus. This is despite the fact that these objects have wait-free linearizable implementations from read / write primitives, which do not support consensus. This paper investigates a middle-ground, asking whether there are wait-free strongly-linearizable implementations from realistic primitives such as test&set or fetch&add, whose consensus number is 2. We show that many objects with consensus number 1 have wait-free strongly-linearizable implementations from fetch&add. We also show that several objects with consensus number 2 have wait-free or lock-free implementations from other objects with consensus number 2. In contrast, we prove that even when fetch&add, swap and test&set primitives are used, some objects with consensus number 2 do not have lock-free strongly-linearizable implementations. This includes queues and stacks, as well as relaxed variants thereof."
6,Hot off the Press: Finding the Set of Nearly Optimal Solutions of a Multi-objective Optimization Problem,2025,"Schütze, Oliver; Rodriguez-Fernandez, Angel E.; Segura, Carlos; Hernández Castellanos, Carlos","Oliver Schütze: Cinvestav, Mexico City, Mexico; Angel E. Rodriguez-Fernandez: Cinvestav, Mexico City, Mexico; Carlos Segura: CIMAT, Guanajuato, Mexico; Carlos Hernández Castellanos: IIMAS-UNAM, Mexico City, Mexico",N/D,979-8-4007-1464-1,N/D,10.1145/3712255.3734259,https://doi.org/10.1145/3712255.3734259,TC,,multi-objective optimization; archiving; nearly optimal solutions; convergence analysis,"Here we briefly summarize the main findings of the above mentioned paper by Schütze et al., 2024. In this work, the authors argue that the entire set of nearly optimal solutions of a given multi-objective optimization problem (MOP) is of potential interest for the decision maker (DM) to realize his/her project. To be more precise, in this work, first, a new set of interest, NQ,ϵ, is proposed. Next, an unbounded archiver that aims to capture this set is proposed and analyzed. Further, four different subset selection strategies and a new performance indicator tailored to the problem at hand are proposed and discussed. Finally, the behavior of the archiver as external archiver within several multi-objective evolutionary algorithms (MOEAs) is presented indicating the benefit of the novel approach."
7,Hot off the Press: Finding ϵ-Locally Optimal Solutions for Multi-Objective Multimodal Optimization,2025,"Rodriguez-Fernandez, Angel E.; Schütze, Oliver; Schäpermeier, Lennart; Kerschke, Pascal; Hernández Castellanos, Carlos; Trautmann, Heike","Angel E. Rodriguez-Fernandez: Cinvestav, Mexico City, Mexico; Oliver Schütze: Cinvestav, Mexico City, Mexico; Lennart Schäpermeier: TU Dresden & ScaDS.AI Dresden/Leipzig, Dresden, Germany; Pascal Kerschke: TU Dresden & ScaDS.AI Dresden/Leipzig, Dresden, Germany; Carlos Hernández Castellanos: IIMAS-UNAM, Mexico City, Mexico; Heike Trautmann: University of Paderborn, Paderborn, Germany","Heike Trautmann: University of Twente, Enschede, Netherlands",979-8-4007-1464-1,N/D,10.1145/3712255.3734260,https://doi.org/10.1145/3712255.3734260,TC,,multi-objective optimization; evolutionary computation; multimodal optimization; local solutions,"Here we briefly summarize the main findings of the above mentioned paper by Rodriguez-Fernandez et al., 2024 [4]. In this work, the authors address the problem of computing all locally optimal solutions of a given multi-objective problem whose images are sufficiently close to the Pareto front. Such ϵ-locally optimal solutions are particularly interesting in the context of multi-objective multimodal optimization (MMO). To this end, first a new set of interest, LQ,ϵ, is defined. Second, a new unbounded archiver, ArchiveUpdateLQ,ϵ, is proposed that aims to capture this set in the limit. Third, several MOEAs are equipped with ArchiveUpdateLQ,ϵ as external archiver and compared to their archive-free counterparts on selected benchmark problems. Finally, in order to make a fair comparison of the outcomes in particular for MOPs with a larger number of decision variables, a new performance indicator, IEDR, is proposed and used."
8,Modular Baskets Queue,2025,"Piña, Miguel; Castañeda, Armando","Miguel Piña: Facultad de Ciencias, UNAM, Ciudad de México, México; Armando Castañeda: Instituto de Matemáticas, UNAM, Ciudad de México, México",N/D,979-8-4007-2006-2,N/D,10.1145/3743642.3743650,https://doi.org/10.1145/3743642.3743650,TC,,Concurrent Queue; Linearizability; Nonblocking,"A modular version of the baskets queue of Hoffman, Shalev and Shavit is presented. It manipulates the head and tail using a novel object called load-link/increment-conditional, which admits implementations based solely on READ/WRITE instructions, as well as versions that internally use CAS. These variants offer flexibility in balancing simplicity and performance, and admits implementations that spread contention. While other components of the queue still require stronger atomic primitives such as CAS or FAI, this separation highlights the potential for designs that mitigate the seemingly inherent bottleneck in previous queue implementations that manipulate the head and tail using read-modify-write (RMW) instructions over a single shared register. We propose a modular queue algorithm that isolates head/tail coordination from other synchronization, enabling simpler and potentially more scalable composition of concurrent components. An experimental evaluation supports the theoretical results, showing that the proposed queue achieves performance comparable to that of existing state-of-the-art implementations. While no scalability improvements are observed, the modular approach offers conceptual clarity and flexibility, and may serve as a foundation for future concurrent queue designs."
9,The Computational Power of Distributed Shared-Memory Models with Bounded-Size Registers,2024,"Delporte-Gallet, Carole; Fauconnier, Hugues; Fraigniaud, Pierre; Rajsbaum, Sergio; Travers, Corentin","Carole Delporte-Gallet: IRIF, University Paris Cité, CNRS, Paris, France; Hugues Fauconnier: IRIF, University Paris Cité, CNRS, Paris, France; Pierre Fraigniaud: IRIF, University Paris Cité, CNRS, Paris, France; Sergio Rajsbaum: IRIF and Instituto de Matemáticas, UNAM, Mexico City, Mexico; Corentin Travers: LIS, University Aix-Marseille, CNRS, Marseille, France","Sergio Rajsbaum: IRIF, University Paris Cité, CNRS, Paris, France",979-8-4007-0668-4,N/D,10.1145/3662158.3662789,https://doi.org/10.1145/3662158.3662789,TC,,shared memory; wait-freedom; t-resiliency; approximate agreement; space complexity,"The celebrated Asynchronous Computability Theorem of Herlihy and Shavit (JACM 1999) provided a topological characterization of the tasks that are wait-free solvable by processes communicating through writing and reading shared registers. This characterization assumes the use of full-information protocols, in which each time a process writes in the shared memory, it communicates everything it learned since the beginning of the execution. Thus, each register in the shared memory is of unbounded size. Whether unbounded size registers are unavoidable for the model of computation to be universal is the central question studied in this paper. More generally, when at most t out of n processes can crash, is the model with bounded size registers universal? We show that when 1 ≤ t < n/2 registers of size O(t) bits are sufficient to solve any task that is solvable by a full-information protocol. The situation is radically different when n/2 < t < n, which includes the wait-free case. We show that bounded registers are not universal. Specifically, we show that, for any bound f: ℕ → ℕ, and for any n > 2, there exists a task that cannot be solved by n processes communicating via registers of size f(n) bits, but is solvable by n processes using unbounded registers. The case n = 2, t = 1, where 1-resilient computing and wait-free computing coincide, does not display the same behavior. We show that any task solvable by 2 processes in the wait-free shared-memory model with unbounded-size registers can be solved by 2 processes in the wait-free shared-memory model with constant size registers. Finally, we consider the iterated shared memory model, which has played a crucial role since Herlihy and Shavit's characterization. We show that 1-bit registers (per iteration) are sufficient for solving wait-free any task that is solvable by a full-information wait-free protocol. Therefore, while the wait-free read/write shared-memory model is known to be computationally equivalent to the iterated model, this equivalence only holds if registers are unbounded."
10,Solvability Characterization for General Three-Process Tasks,2025,"Attiya, Hagit; Fraigniaud, Pierre; Paz, Ami; Rajsbaum, Sergio","Hagit Attiya: Technion, Haifa, Israel; Pierre Fraigniaud: Université Paris Cité and CNRS, Paris, France; Ami Paz: LISN - CNRS and Paris Saclay University, Paris, France; Sergio Rajsbaum: Instituto de Matemáticas, U.N.A.M., Mexico City, Mexico",N/D,979-8-4007-1885-4,N/D,10.1145/3732772.3733548,https://doi.org/10.1145/3732772.3733548,TC,,topology; chromatic tasks; read / write shared memory; wait-free,"A key result of distributed computing in asynchronous systems is a characterization for the wait-free solvability of colorless tasks by the existence of a continuous map from the task's input complex (representing the valid input configurations) to its output complex (representing the valid output configurations) which respects that task's specification. This natural characterization led to many proofs, mainly of impossibility: showing that a colorless task is not wait-free solvable, can be done by proving that there is no continuous map (respecting the task's specification) between two simplicial complexes, which can be done using classical topological machinery. The seminal work of Herlihy and Shavit (JACM '99) characterized the solvability of general (not necessarily colorless) tasks. However, this characterization is much more involved than the colorless one, as it uses the new notions of chromatic subdivisions and color-preserving maps. The characterization asks whether there exists a chromatic subdivision of the input complex and a color-preserving map from the resulting subdivided complex to the output complex. This characterization is much harder to check as there are no ready-made topological tools for it, and in fact, finding such a subdivision and map is related to finding an algorithm for the task. This work presents a new and simpler characterization for the solvability of general tasks with three processes. In our characterization, the output complex undergoes a bounded number of simple combinatorial transformations. Then, we check if there is a continuous map from the input complex to the resulting output complex; we show that this suffices for determining whether the original task is solvable. Our approach provides a new and more direct way for deciding the solvability of a task, and also for proving impossibility and possibility of wait-free solutions for general tasks."
