longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote,Afiliacion1,Afiliacion2
Academic Search Ultimate,asn,180402713,A time-domain SGFD-FK hybrid method for 2D teleseismic elastic wave modeling and inversion.,"Full waveform inversion (FWI) has proved to be a reliable tool for high-resolution imaging of lithospheric structures at various depths down to the upper mantle. However, when the size of the model is large, the computational burden is significative and applications are restricted to low frequencies. To tackle this issue, we developed a new 2D time-domain hybrid method to simulate high-frequency teleseismic body waves propagating through a local heterogeneous elastic Earth model: The frequency-wavenumber (FK) integration method is coupled with the staggered grid finite difference method (SGFD). The FK method is used to compute the wavefield due to obliquely incident plane P and SV waves in a 1D multilayered half space that excites a local heterogeneous region. Inside this region, the velocity-stress staggered grid FD method (SGFD) is used to accurately deal with wave propagation in heterogeneous media. Spurious waves that might be generated at the boundaries of the local region are avoided using convolutional perfectly matched layers (CPML). This new hybrid method inherits the low-memory requirements of the FK method and the accuracy, efficiency and easy implementation of the SGFD. The new hybrid method is benchmarked against the analytical FK method for some canonical models and shows good agreement with analytical solutions. Subsequently, our modeling tool is incorporated into a full waveform inversion algorithm adapted for teleseismic configurations to invert the incident P wave and its coda. The inversion is carried out using a gradient approach that is efficiently implemented via the adjoint-state method. The results suggest that our hybrid method and FWI algorithm represent a valuable tool for 2D forward and inverse regional applications using teleseismic data sets.",20241201,"del Valle-Rosales, Mauricio ; Chávez-García, Francisco José",Article,Academic Journal,Dec2024,true,Acta Geophysica,Finite difference method ; Elastic waves ; Theory of wave motion ; Seismic tomography ; Seismology,JOUR,,,1895-6572,,,,,eng,Springer Nature,3915,3903,13,72,6,10.1007/s11600-024-01335-1,,3BWA,,https://research.ebsco.com/plink/ed52599a-17ab-36e9-a399-2905f0913fa0,,,,,"Mauricio del Valle-Rosales — Posgrado en Ciencias de la Tierra, Universidad Nacional Autónoma de México, Mexico City, Mexico | Francisco José Chávez-García — Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico",
Academic Search Ultimate,asn,179970033,Simulation of the behavior of fine and gross motor skills of an individual with motor disabilities.,"We have developed a neural network model that imitates the central nervous system's control of motor sensors (Sánchez-Torres and Rodríguez-Romo in Neurocomputing 581:127511, 2024). Our research explored various levels of connectivity in our neural network related to neuroplasticity in the central nervous system. We have conducted a study comparing healthy individuals to those with motor impairments by utilizing reinforcement learning and transfer entropy. In our previous research (Sánchez-Torres and Rodríguez-Romo in Neurocomputing 581:127511, 2024), we have simulated human walking while encountering obstacles as an instance of gross motor activities. Now, we have used the same model to simulate fine motor activities. Our goal is to identify differences in information transmission between gross and fine motor activities among healthy individuals and those with motor impairments by evaluating the effective connectivity of our network. To regulate learning accuracy in our model, we introduced a variable called numClusterToFire. However, we discovered that the value for this variable requires careful calibration. If the value is too small, agent exploration is insufficient, and network learning is inefficient. Conversely, learning times increase exponentially, often unnecessarily if the value is too large. We conducted simulations for gross and fine motor skills using three different numClusterToFire values and found that as we increased numClusterToFire, the time required for the network to memorize the outputs for each of the objects in the test set also increased. Our findings indicate that in gross motor skills, which do not require precision, changes in the numClusterToFire variable do not affect information transfer behavior. Conversely, in fine motor skills, information transfer decreases as numClusterToFire increases. On the other hand, our model revealed that for healthy and disabled individuals, the transfer of information between the input layer and the first hidden layer is higher for fine motor skills; this important biological fact suggests the influence of external cues in performing this activity successfully. Additionally, our neural network model showed that movements that do not require precision do not necessarily require a high level of neuroplasticity. Increasing neuroplasticity may cause some neurons to transmit more information than others. Whereas, increasing neuroplasticity through practice is essential for precise movements like fine motor skills. We also found that information transfer in the network's hidden layers is similar for fine and gross motor activities, as we observed identical patterns. However, the distribution and proportion of these patterns differ, concluding that more neurons are involved in fine motor activities, and more information is transferred compared to gross motor activities. Finally, a pattern was observed in the transfer of information in the last hidden layer, which is only present in fine motor skills. This pattern is associated with the precision of the movements.",20241121,"Sánchez-Torres, Karla K. ; Rodríguez-Romo, Suemi",Article,Academic Journal,Nov2024,true,Neural Computing & Applications,Artificial neural networks ; Fine motor ability ; Motor ability ; Central nervous system ; Reinforcement learning ; Gross motor ability,JOUR,,,0941-0643,,,,,eng,Springer Nature,20785,20769,17,36,33,10.1007/s00521-024-10267-2,,8HG,,https://research.ebsco.com/plink/4731e3a6-6fa0-32c6-bcd9-a4b831322ca6,,,,,"Karla K. Sánchez-Torres — Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, UNAM, Escolar 3000, C.U., Coyoacán, 04510, Mexico, Mexico | Suemi Rodríguez-Romo — Facultad de Estudios Superiores Cuautitlán, UNAM, Av. Primero de Mayo S/N, Sta. María Guadalupe las Torres, 54740, Cuautitlán Izcalli, Mexico",
Academic Search Ultimate,asn,182441880,Solution Algorithms for the Capacitated Location Tree Problem with Interconnections.,"This paper addresses the Capacitated Location Tree Problem with Interconnections, a new combinatorial optimization problem with applications in network design. In this problem, the required facilities picked from a set of potential facilities must be opened to serve customers using a tree-shaped network. Costs and capacities are associated with the opening of facilities and the establishment of network links. Customers have a given demand that must be satisfied while respecting the facilities and link capacities. The problem aims to minimize the total cost of designing a distribution network while considering facility opening costs, demand satisfaction, capacity constraints, and the creation of interconnections to enhance network resilience. A valid mixed-integer programming was proposed and an exact solution method based on the formulation was used to solve small- and medium-sized instances. To solve larger instances two metaheuristic approaches were used. A specific decoder procedure for the metaheuristic solution approaches was also proposed and used to help find solutions, especially for large instances. Computational experiments and results using the three solution approaches are also presented. Finally, a case study on the design of electrical transportation systems was presented and solved.",20250101,"Mendoza-Andrade, Nidia ; Ruiz-y-Ruiz, Efrain ; Rodriguez-Romo, Suemi",Article,Academic Journal,Jan2025,true,Algorithms,Combinatorial optimization ; Metaheuristic algorithms ; Satisfaction ; Distribution costs ; Consumers,JOUR,,,1999-4893,,,,,eng,MDPI,,50,,18,1,10.3390/a18010050,,B03W,,https://research.ebsco.com/plink/4a804b41-97fd-3b10-8763-643887887c37,,,,,"Nidia Mendoza-Andrade — Facultad de Estudios Superiores Cuautitlán, UNAM/Universidad Nacional Autónoma de México, Ciudad de México 04510, Mexico | Efrain Ruiz-y-Ruiz — TECNM Tecnológico Nacional de México, Instituto Tecnológico de Saltillo, Saltillo 25280, Mexico | Suemi Rodriguez-Romo — UNAM, Facultad de Estudios Superiores Cuautitlán, Cuautitlán Izcalli 54740, Mexico",
Academic Search Ultimate,asn,176356348,Simulation of an individual with motor disabilities by a deep reinforcement learning model.,"We have developed a new neural network model that simulates how the central nervous system (CNS) governs neural motor sensors. Our model uses reinforcement learning and transfer entropy to compare healthy individuals' learning with those who have motor impairments. Our aim is to study effective connectivity and identify differences in information transmission between the two groups. By analyzing effective connectivity, we have identified patterns arising from zero and non-zero transfer entropy values. These patterns are mainly due to factors such as the level of connectivity, the neural network's learning time, and the rules guiding the model training process. However, when these patterns appear in the input and output layers, they are not necessarily critical in distinguishing between a healthy network and an impaired one since these layers interact directly with the environment. On the other hand, our model can replicate neurobiological factors linked to neuronal injury, indicated by these patterns, when they appear in the intermediate layers. We found that healthy networks had more neurons involved in sensorimotor communication compared to diseased networks. This may be due to an increase in disease-related glial cells, which led to reduced effective connectivity between CNS regions. Additionally, we observed some patterns for the loss or gain of entropy; these patterns show the sensitivity of our model to the number of delays we take into account for the effective connectivity to ensure that the information transfer within the model behaves as a natural process. [Display omitted] • A new neural network inspired by the CNS's rule over motor sensors is introduced. • We propose a memory component based on the propagation of action potentials. • Memory component includes both glial cells and biological neurons. • The effective connections of the proposed model between regions was examined. • Effective connection analysis revealed new patterns in motor neuron loss.",20240507,"Sánchez-Torres, Karla K. ; Rodríguez-Romo, Suemi",Article,Academic Journal,May2024,true,Neurocomputing,Deep reinforcement learning ; Artificial neural networks ; Reinforcement learning ; Action potentials ; Central nervous system ; Neuroglia ; Larval dispersal,JOUR,,,0925-2312,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,581,,10.1016/j.neucom.2024.127511,,3RF,,https://research.ebsco.com/plink/2a8ee900-90a1-3c39-8f7a-49de223c45eb,,,,,"Karla K. Sánchez-Torres — Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, UNAM, Escolar 3000, C.U., Coyoacán, 04510, Mexico, Mexico | Suemi Rodríguez-Romo — Facultad de Estudios Superiores Cuautitlán, UNAM, Av. Primero de Mayo S/N, Sta. María Guadalupe las Torres, 54740, Cuautitlán Izcalli, Mexico",
Academic Search Ultimate,asn,179691030,Triangular finite differences using bivariate Lagrange polynomials with applications to elliptic equations.,"This paper proposes finite-difference schemes based on triangular stencils to approximate partial derivatives using bivariate Lagrange polynomials. We use first-order partial derivative approximations on triangles to introduce a novel hexagonal scheme for the second-order partial derivative on any rotated parallelogram grid. Numerical analysis of the local truncation errors shows that first-order partial derivative approximations depend strongly on the triangle vertices getting at least a first-order method. On the other hand, we prove that the proposed hexagonal scheme is always second-order accurate. Simulations performed at different triangular configurations reveal that numerical errors agree with our theoretical results. Results demonstrate that the proposed method is second-order accurate for the Poisson and Helmholtz equation. Furthermore, this paper shows that the hexagonal scheme with equilateral triangles results in a fourth-order accurate method to the Laplace equation. Finally, we study two-dimensional elliptic differential equations on different triangular grids and domains.",20250101,"Itzá Balam, R. ; Uh Zapata, M. ; Iturrarán-Viveros, U.",Article,Periodical,Jan2025,,Mathematics & Computers in Simulation,Elliptic differential equations ; Finite differences ; Difference equations ; Elliptic equations ; Helmholtz equation,JOUR,,,0378-4754,,,,,eng,Elsevier B.V.,148,121,28,227,,10.1016/j.matcom.2024.07.037,,3OP,,https://research.ebsco.com/plink/d97b9574-0677-3c62-b01e-f8d215871a5d,,,,,"R. Itzá Balam — Centro de Investigación en Matemáticas A.C., CIMAT Unidad Mérida, México; CONAHCYT, México | M. Uh Zapata — Centro de Investigación en Matemáticas A.C., CIMAT Unidad Mérida, México; CONAHCYT, México | U. Iturrarán-Viveros — Facultad de Ciencias, Universidad Nacional Autónoma de México, Circuito Escolar S/N, Coyoacán, C.P. 04510 Ciudad de México, Mexico",
Academic Search Ultimate,asn,185620637,Bayesian Gravity Data Inversion Using a 3D Alpha Shape Source Representation.,"Gravity data inversion necessitates solving large-dimensional numerical ill-posed inverse problems. The nature of these problems being ill-posed requires the implementation of a regularization scheme or any approach that integrates previous knowledge of the solution. Typically, Tikhonov-like or Laplacian-based regularizing schemes are employed to mitigate the ill-posedness. Since these types of regularization strategies promote smoothness in the quantities of interest, their approximating solutions have limitations in interpreting the sharp boundaries of source bodies. As a result, the boundaries of the retrieved source bodies appear blurred. This study proposes focusing on the representation of the source as a regularization technique. With that objective in mind, we suggest a low-dimensional representation, constructed using the alpha shape algorithm, to allow the use of non-smooth three-dimensional bodies as inversion instruments. Subsequently, the inverse problem is formulated within a Bayesian framework, and a Markov Chain Monte Carlo approach is developed for simulating from the posterior distribution associated with the proposed representation. This methodology enables the retrieval of the position, shape, and density of 3D source bodies while establishing clear geometrical boundaries and obtaining estimates of uncertainty quantification. The results are evaluated in three challenging synthetic test cases.",20250501,"Abel, Palafox González ; Emilia, Fregoso Becerra ; Mauricio, Nava-Flores",Article,Academic Journal,May2025,true,Pure & Applied Geophysics,Inverse problems ; Gravity ; Markov chain Monte Carlo,JOUR,,,0033-4553,,,,,eng,Springer Nature,2072,2055,18,182,5,10.1007/s00024-024-03648-0,,N7V,,https://research.ebsco.com/plink/56e13afa-41bf-39b3-8d66-2bb26b501fe4,,,,,"Abel Palafox González — Departamento de Matemáticas, Centro Universitario de Ciencias Exactas e Ingenierías, Universidad de Guadalajara, Guadalajara, México | Emilia Fregoso Becerra — Departamento de Matemáticas, Centro Universitario de Ciencias Exactas e Ingenierías, Universidad de Guadalajara, Guadalajara, México | Mauricio Nava-Flores — Facultad de Ingeniería, Universidad Nacional Autónoma de México, Ciudad Universitaria, Ciudad de México 04510, México",
Academic Search Ultimate,asn,188360452,Kernel-based regularization for photoacoustic pressure reconstructiona).,"Photoacoustic tomography (PAT) is a promising imaging technique that combines the high spatial resolution of ultrasound with the high contrast of optical imaging. One of the challenges in PAT is the ill-posed nature of the inverse problem, where limited measurement data and noise often lead to inaccurate reconstructions. This work introduces a kernel-based regularization (KBR) approach for model-based reconstruction algorithms in photoacoustic (PA) imaging. The proposed method leverages kernel-induced feature space to enforce smoothness and spatial coherence in the reconstructed images, thereby improving the robustness to noise and data sparsity. By incorporating prior knowledge of the signal dynamics for solving the PA inverse problem, KBR enhances the reconstruction fidelity, especially in regions with low signal-to-noise ratio. Numerical experiments and phantom studies demonstrate that the proposed algorithm outperforms traditional regularization techniques, such as Tikhonov and total variation regularization, regarding reconstruction accuracy and computation speed. The results suggest KBR provides a powerful tool for addressing the inherent challenges in PA image reconstruction, offering potential improvements in several applications.",20250901,"Ramírez-Chavarría, Roberto G. ; Santamaría-Padilla, Luis ; Colín-García, Marco P. ; Pérez-Pacheco, Argelia ; Quispe-Siccha, Rosa M.",Article,Academic Journal,Sep2025,true,Journal of the Acoustical Society of America,Image reconstruction ; Inverse problems ; Signal processing ; Acoustic imaging ; Empirical research ; Mathematical regularization ; Robust statistics,JOUR,,,0001-4966,,,,,eng,American Institute of Physics,2505,2495,11,158,3,10.1121/10.0039382,,4CN,,https://research.ebsco.com/plink/c9b8ca1e-5f10-3061-b99a-3960d574f8c8,,,,,"Roberto G. Ramírez-Chavarría — Instituto de Ingeniería, Universidad Nacional Autónoma de México, Coyoacán, Mexico City 04510, Mexico | Luis Santamaría-Padilla — Instituto de Ingeniería, Universidad Nacional Autónoma de México, Coyoacán, Mexico City 04510, Mexico | Marco P. Colín-García — Instituto de Ciencias Aplicadas y Tecnología, Universidad Nacional Autónoma de México, Coyoacán, Mexico City 04510, Mexico | Argelia Pérez-Pacheco — Unidad de Investigación y Desarrollo Tecnológico, Hospital General de México “Dr. Eduardo Liceaga”, Cuauhtémoc, Mexico City 06720, Mexico | Rosa M. Quispe-Siccha — Unidad de Investigación y Desarrollo Tecnológico, Hospital General de México “Dr. Eduardo Liceaga”, Cuauhtémoc, Mexico City 06720, Mexico",
Academic Search Ultimate,asn,178478193,Finite element software for calculating fluid flow and heat transport for seamounts.,"A large number of bathymetric discontinuities mark the bottom of the oceans. Among these features, seamounts protruding the sedimentary layer can play a major role in establishing a continuous exchange of fluids and heat between the oceanic lithosphere and the ocean. Here we present finite element codes for calculating the flow, temperature and pressure distributions inside seamounts using a general-purpose finite element solver. We solve the coupled equations of continuity, Darcy equation, and energy conservation equation in 2-D. We present a numerical axisymmetrical model tailored to the real geometry of the Grizzly Bare seamount located on the Juan de Fuca plate. The surface heat flow shows a good correlation between our models and in-situ available observations. In this work we provide complete open access to numerical codes which are intended to be simple and easy to adapt for a wide range of seamounts shapes and sizes. • We use the flexible finite element suite of codes PDE2D to solve the coupled equations of continuity, Darcy, and energy conservation. • We write a new piece of software based on PDE2D and pass several benchmarks, we calculate using finite elements flow, temperature and pressure distribution inside seamounts of arbitrary shapes and complex (2D or axisymmetric) geometries. • We present a numerical axisymmetrical model tailored to the real geometry of the Grizzly Bare seamount, and obtain a good correlation between our predictions and in-situ available observations.",20240801,"Manea, V.C. ; Sewell, E.G. ; Manea, M. ; Yoshioka, S. ; Suenaga, N. ; Moreno, E.J.",Article,Academic Journal,Aug2024,true,Environmental Modelling & Software,Seamounts ; Fluid flow ; Oceanic crust ; Lithosphere ; Energy conservation,JOUR,,,1364-8152,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,179,,10.1016/j.envsoft.2024.106129,,JE3,,https://research.ebsco.com/plink/cb69e9da-d986-3d73-878f-63b5b5073494,,,,,"V.C. Manea — Computational Geodynamics Laboratory, Instituto de Geociencias, Universidad Nacional Autónoma de México, Campus Juriquilla, Querétaro, 76230, Mexico; Research Center for Urban Safety and Security, Kobe University, Kobe, Japan | E.G. Sewell — Department of Mathematical Sciences (Emeritus), University of Texas-El Paso, El Paso, TX, USA | M. Manea — Computational Geodynamics Laboratory, Instituto de Geociencias, Universidad Nacional Autónoma de México, Campus Juriquilla, Querétaro, 76230, Mexico; Research Center for Urban Safety and Security, Kobe University, Kobe, Japan | S. Yoshioka — Research Center for Urban Safety and Security, Kobe University, Kobe, Japan; Department of Planetology, Graduate School of Science, Kobe University, Kobe, 657-8501, Japan | N. Suenaga — Research Center for Urban Safety and Security, Kobe University, Kobe, Japan | E.J. Moreno — Research Center for Urban Safety and Security, Kobe University, Kobe, Japan",
Academic Search Ultimate,asn,177031197,Acoustic 2-D Full-Waveform Inversion with Non-Balanced Finite differences and Adaptive Weight Decay Methods.,"Full waveform inversion (FWI) is a powerful seismic imaging technique that aims to achieve high-resolution subsurface models by iteratively comparing recorded seismic waveforms with modeled waveforms. The success of FWI relies on the precision of forward modeling algorithms and the effectiveness of optimization strategies. In this study, we propose a FWI methodology that leverages non-balanced staggered-grid finite differences schemes (NBFD) in the forward modeling process. By employing operators with spatial differencing of varying lengths, these schemes enhance the efficiency of forward modeling. For the optimization process, we employ adaptive gradient-based optimization with weight decay, a widely-used approach in machine learning and deep learning algorithms for model training. These methods demonstrate efficient optimization processing for large data volumes with high precision. The objective of adaptive gradient-based optimization is to dynamically adjust the update rate model parameters during the iterative process. This facilitates improved convergence speed, enhances stability, and overcomes challenges associated with traditional fixed-rate adjustment methods. To ensure accurate inversion results and avoid local minima in the cost function minimization, we implement a Multiscaling inversion strategy within the workflow. The obtained results are compared with those achieved through conventional FWI using standard staggered finite differences and various optimization methods. Our findings demonstrate that employing non-balanced staggered-grid finite differences scheme leads to significant improvements compared to the previously reported results in the literature. • NBFD schemes significantly reduce the computation time of FWI and improve or at least maintain the accuracy. • The Adaptive Gradient descent optimizers with decay accelerate the convergence rate of FWI. • Frequency multiscale technique reduces errors associated with local minima. • The new improved gradient-independent step-length technique circumvents the line-search process.",20240501,"Salazar-Chaves, Jorge Luis ; Iturrarán-Viveros, Ursula ; Bernal-Romero, Marcos ; Wenquan, Liang",Article,Academic Journal,May2024,true,Journal of Applied Geophysics,Finite differences ; Deep learning ; Machine learning ; Cost functions ; Imaging systems in seismology,JOUR,,,0926-9851,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,224,,10.1016/j.jappgeo.2024.105367,,3MC,,https://research.ebsco.com/plink/77d01ffa-676b-34f2-b278-d99a31299fc7,,,,,"Jorge Luis Salazar-Chaves — Universidad de Costa Rica / Office of International Affairs and External Cooperation support; afiliación exacta no exportada por EBSCO | Ursula Iturrarán-Viveros — Universidad Nacional Autónoma de México (UNAM), Facultad de Ciencias, México | Marcos Bernal-Romero — afiliación externa no recuperada con precisión en las fuentes revisadas | Liang Wenquan — afiliación externa no recuperada con precisión en las fuentes revisadas",
Academic Search Ultimate,asn,174816137,Read/write fence-free work-stealing with multiplicity.,"It has been shown that any nonblocking algorithm for work-stealing in the standard asynchronous shared memory model of computation must use expensive Read-After-Write synchronization patterns or atomic Read-Modify-Write instructions. Algorithms for relaxations of work-stealing have been proposed, which only partially avoid this impossibility result. In restricted models of computation, work-stealing algorithms have been designed that avoid Read-After-Write patterns and atomic Read-Modify-Write instructions. This paper considers work-stealing with multiplicity , a relaxation in which every task is taken by at least one process, and any process can take any task at most once. We study two variants of the relaxation, for each variant designing a Read / Write wait-free algorithm in the standard asynchronous shared memory model. The two algorithms are devoid of Read-After-Write synchronization patterns in all their operations, and additionally, the algorithm for the second variant has constant step complexity and is fence-free. Namely, no specific ordering among the algorithm's instructions is required beyond what is implied by data dependence. To our knowledge, these are the first algorithms for relaxations of work-stealing possessing all these properties. The algorithms are also solutions to relaxed versions of single-enqueuer multi-dequeuer queues. The theoretical results are complemented with an experimental evaluation showing that the benefits of relaxed work-stealing vary depending on the application, concretely on the complexity of the work associated with each task. • We present two asynchronous work-stealing algorithms with relaxation, work-stealing with multiplicity and weak-multiplicity. • In the first one, tasks are taken by at least one operation and if taken by several operations, they must be pairwise concurrent. • In the second one, Take/Steal operations extracting the same task may not be concurrent, however, each process extracts tasks at most once. • The algorithms are wait-free, read/write, and devoid of read-after-write synchronization patterns. • The proposed algorithms outperform standard work-stealing algorithms and exhibit similar or better performance than known relaxed algorithms in some practical settings.",20240401,"Castañeda, Armando ; Piña, Miguel",Article,Academic Journal,Apr2024,true,Journal of Parallel & Distributed Computing,Multiplicity (Mathematics) ; Algorithms ; Synchronization,JOUR,,,0743-7315,,,,,eng,Academic Press Inc.,N.PAG,N.PAG,,186,,10.1016/j.jpdc.2023.104816,,L0I,,https://research.ebsco.com/plink/0908a181-42a6-3761-abd8-c645cca43986,,,,,"Armando Castañeda — Institute of Mathematics, National Autonomous University of Mexico (UNAM) | Miguel Piña — Ph.D. Candidate in Computer Science and Engineering at the National Autonomous University of Mexico (UNAM)",
