Title,Author,Author affiliation,Source,Sponsor,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
The Hitchhiker's Guide to Conversational Interfaces: Exploring Affordances and Signifiers Through a Theoretical Framework,"Sánchez-Adame, L.M. (1); Mendoza, S. (2) ","(1) Universidad Nacional Autonoma de Mexico, Design and Building Division, Mexico (2) National Polytechnic Institute, Computer Science Department, Av. Instituto Politécnico Nacional 2508, Mexico ","Human-Computer Interaction: Thematic Area, HCI 2025, Held as Part of the 27th HCI International Conference, HCII 2025. Lecture Notes in Computer Science (15769)",,"Springer Nature, Berlin, Germany",,148-62,2025,,,,,978-3-031-93861-0,10.1007/978-3-031-93861-0_10,,International Conference on Human-Computer Interaction,2025,"Gothenburg, Sweden","Conversational interfaces, including text-based chatbots and voice user interfaces, are widely used in healthcare, education, and customer service domains. However, they often rely on static affordances and signifiers that limit adaptability and user engagement. Existing systems struggle to evolve with user expertise, leading to discoverability, trust, and long-term usability issues. This paper proposes a theoretical framework that redefines affordances and signifiers as adaptive constructs, ensuring that interactions dynamically adjust based on user experience and context. The framework structures affordances into three levels—exploratory, learning, and proactive—while categorizing signifiers as explicit, contextual, and minimalist. By integrating these elements with the UX Honeycomb model, the framework provides a structured method for designing conversational interfaces that align with established user experience principles. A heuristic evaluation of Amazon Alexa demonstrates the framework's applicability, revealing that while Alexa effectively guides initial interactions, its affordance evolution remains primarily user-driven rather than system-driven. The analysis highlights key challenges in discoverability and engagement, emphasizing the need for structured affordance progression and enhanced contextual signifiers. This framework offers researchers a foundation for empirical studies on adaptive interaction models and provides developers with actionable insights for improving conversational system design.",27,,chatbots - customer services - human computer interaction - user experience - user interfaces,adaptive interaction models - affordance evolution - conversational interfaces - conversational system design - customer service domains - hitchhiker - structured affordance progression - text-based chatbots - user engagement - user experience principles - UX Honeycomb model - voice user interfaces,C0240 Ergonomic aspects of computing - C6180N Natural language interfaces - C6264G Generative adversarial networks - C7820N Natural language processing,G06F40/00 - G06N3/0475,Practical (PRA),,,,Inspec,"Copyright 2025, The Institution of Engineering and Technology",Engineering Village
CSCW Contributions to Critical Futures of Work,"Lushnikova, Alina (1); Muller, Michael (2); Bardzell, Shaowen (3); Li, Toby Jia-Jun (4); Savage, Saiph (5, 6) ","(1) University of Luxembourg, Esch-sur-Alzette, Luxembourg (2) IBM Research, Cambridge; MA, United States (3) Georgia Institute of Technology, Atlanta; GA, United States (4) University of Notre Dame, Notre Dame; IN, United States (5) Northeastern University, Boston; MA, United States (6) Universidad Nacional Autonoma de Mexico, Mexico City, Mexico ","Proceedings of the ACM Conference on Computer Supported Cooperative Work, CSCW",ACM SIGCHI; Google; Media Futures; NSF; Underwood Institute,Association for Computing Machinery,,p 161-167,"October 17, 2025",CSCW Companion 2025 - Companion of the Computer-Supported Cooperative Work and Social Computing,2025,,,9798400714801,10.1145/3715070.3748296,,"28th ACM Conference on Computer-Supported Cooperative Work and Social Computing, CSCW 2025","October 18, 2025 - October 22, 2025",,"As the CSCW community evolves and participates in envisioning the impact of technologies on the work practices, we want to ensure that critical and alternative computing perspectives are well represented while we are co-constructing the future of work. In this hybrid workshop, we invite researchers, practitioners, civic actors, economists, and other interested parties to challenge dominant, powerful, status-quo narratives and imaginaries when considering the future of work, nurturing the CSCW commitments and methods. Co-constructing the workshop with participants, we aim to develop actionable insights and strengthen the community. © 2025 Copyright held by the owner/author(s).",97,Personnel,Computer supported cooperative work - Employment - Human computer interaction - Human engineering - Interactive computer systems,Critical computing - CSCW - Diversity - Future of works - Imaginaries - Pluralism - Status quo - Work practices - Workers',101.5 Ergonomics and Human Factors Engineering - 901 Engineering Profession - 912.3 Personnel - 1103.4 Digital Computers and Systems - 1106.5 Computer Applications - 1107 Human-Machine Systems,,,"Number: 2339443, Acronym: -, Sponsor: -; Number: IPBG2020/IS/14839977/C21, Acronym: FNRlu, Sponsor: Fonds National de la Recherche Luxembourg; Number: -, Acronym: FNRlu, Sponsor: Fonds National de la Recherche Luxembourg; ",This research has been supported by the NSF CAREER grant #2339443 and the Luxembourg National Research Fund (FNR) IPBG2020/IS/14839977/C21.,,Compendex,"Compilation and indexing terms, Copyright 2026 Elsevier Inc.",Engineering Village
Educational Chatbots: A Systematic Mapping Study,"Urquiza-Yllescas, J.F. (1); Mendoza, S. (1); Sánchez-Adame, L.M. (2); Rodríguez, J. (1); Decouchant, D. (3) ","(1) Cinvestav, Computer Science Department, Mexico (2) Universidad Nacional Autonoma de Mexico, Design and Building Division, Mexico (3) Universidad Autónoma Metropolitana, Information Technologies Department, Mexico ",Journal of Intelligent & Fuzzy Systems: Applications in Engineering and Technology,,"SAGE Publications, USA","v 49, n 4",960-90,Oct. 2025,,,1875-8967,,,10.1177/18758967251356870,,,,,"Chatbots, text or voice software entities, are consolidating their position in the education sector, as they have gone from being rustic tools to systems that can take an active role in the teaching and learning process. That is why we decide to elaborate a Systematic Mapping Study of works that have been published on educational chatbots in the last years. Our analysis has four objectives: 1) to know the purpose of chatbots; 2) to identify the educational levels in which the chatbots are employed; 3) to examine which interaction mechanisms are implemented by chatbots; and 4) to explore which technologies and software architectures predominate in the development of educational chatbots. Following solid methodologies for systematic reviews, we compiled 104 papers. Through the analysis of these works, we obtained an overview that can be useful for both specialists and newcomers to the domain, as it helps them understand the existing trends in these applications. Additionally, the discussion extends into the disruptive impact of generative AI and outlines critical open research questions that guide future investigations in educational chatbot development.",182,,chatbots - computer aided instruction - interactive systems - reviews - software architecture,education sector - educational chatbot development - educational chatbots - educational levels - Systematic Mapping Study,C6110B Software engineering techniques - C6180N Natural language interfaces - C6210 Knowledge based systems - C7810C Computer-aided instruction,G06N5/00 - G06F9/44 - G06F40/00 - G09B5/00,Bibliography (BIB); Practical (PRA),,,,Inspec,"Copyright 2025, The Institution of Engineering and Technology",Engineering Village
Advanced Algorithm Combinations for Safe Human-Robot Collaboration: A Review and Research Proposal,"Lefranc, Gastón (1); Gatica, Gabriel (2); Vásquez, Edison (3); Peña, Mario (4) ","(1) Pontificia Universidad Católica de Valparaíso, Avda. Brasil2950, Valparaíso; 2430000, Chile (2) Startup I+D+i Inteligencia Artificial, ARTIFICYAN, Viña del Mar, Chile (3) JhedAI Startup., Viña del Mar, Chile (4) IIMAS-UNAM, Ciudad de México, Mexico ",Procedia Computer Science,,Elsevier B.V.,v 266,p 142-149,2025,"12th International Conference on Information Technology and Quantitative Management, ITQM 2025",2025,,18770509,,10.1016/j.procs.2025.08.018,,"12th International Conference on Information Technology and Quantitative Management, ITQM 2025","August 15, 2025 - August 17, 2025",,"This paper presents a proposal for integrating Graph Convolutional Neural Network (Graph-CNN), Multimodal Transformer, Soft Actor-Critic with Reward Constrained Policy Optimisation (SAC-RCPO), and TactileGAN algorithms, which are used in human-robot collaboration. This integration addresses challenges such as adaptability, safety, intention recognition, and precise manipulation in dynamic environments. The central hypothesis is that the combination of these algorithms could lead to improvements in manipulation accuracy, collision avoidance, and training efficiency. The methodology evaluates this combination in simulated and controlled laboratory environments that replicate industrial situations. This work considers the human dimension of collaboration, emphasising the importance of interaction, user trust, and ergonomic integration. It also recognises the ethical implications related to safety, transparency, and the responsible implementation of Artificial Intelligence (AI) systems in shared workspaces. The proposed framework has potential applications in the manufacturing, healthcare, and service sectors, aiming to drive the practical adoption of safe and efficient collaborative robots. © 2025 The Authors.",14,Constrained optimization,Collaborative robots - Ergonomics - Graph algorithms - Human computer interaction - Intelligent robots - Man machine systems,Actor critic - Algorithm combinations - Convolutional neural network - Graph-CNN - Human-robot collaboration - Humans-robot interactions - Multi-modal - Multimodal transformer - Reinforcement learnings - Research proposals,"101.5 Ergonomics and Human Factors Engineering - 101.6.1 Robotic Assistants - 731.5 Robotics - 731.6 Robot Applications - 1107 Human-Machine Systems - 1201.7 Optimization Techniques - 1201.8 Discrete Mathematics and Combinatorics, Includes Graph Theory, Set Theory",,,,,"All Open Access, Gold",Compendex,"Compilation and indexing terms, Copyright 2026 Elsevier Inc.",Engineering Village
Web Interface Design for the Intelligent Management of a Differential Robot Applied to IoT Systems,"Ibarra-Yanez, M.A. (1); Lopez-Mera, G.H. (1); Cruz-Morales, R.D. (1); Luna-Gomez, A.A. (1) ","(1) Universidad Nacional Autonoma de Mexico, Facultad de Estudios Superiores Cuautitlan, Mexico ",2025 XXVII Robotics Mexican Congress (COMRob),,"IEEE, Piscataway, NJ, USA",,68-73,2025,,,,,979-8-3315-7591-5,10.1109/COMRob68109.2025.11264804,,2025 XXVII Robotics Mexican Congress (COMRob),2025,"Torreon, Mexico","Human-robot interaction is a core pillar in mobile robotics for efficient and diverse product development. This paper provides an advanced web-based control interface for a differential robot which allows full management and real-time monitoring of its behavior. It operates through an ESP32 microcontroller where both sides communicate with a web client using the WebSocket protocol. There are three operating modes: manual by sliders, autonomous navigation toward distinct (X, Y) coordinates, and a pioneering trajectory-tracking mode that lets the operator generate a path directly on a digital canvas. Also, the user interface has a monitoring panel with real-time information on such things as motor RPM, position, and robot orientation, all supported by dynamic charts. Differential kinematics and sensor fusion enable hardware and software integration by merging encoder-based odometry with an IMU for more precise positioning. The final outcome is a powerful, intuitive, and flexible platform which serves as a solid basis for future applications in autonomous exploration, logistics, and educational environments.",,,control engineering computing - human-robot interaction - Internet - Internet of Things - microcontrollers - mobile robots - path planning - position control - robot vision - sensor fusion - user interfaces,advanced web-based control interface - autonomous navigation - core pillar - differential robot applied - digital canvas - diverse product development - efficient product development - encoder-based odometry - ESP32 microcontroller - human-robot interaction - intelligent management - IoT systems - mobile robotics - monitoring panel - operating modes - pioneering trajectory-tracking mode - real-time information - real-time monitoring - robot orientation - sensor fusion - user interface - web client - web interface design - WebSocket protocol,C3120C Spatial variables control - C3390 Robotics - C3390C Mobile robots - C6180R Human-robot interaction - C6180 User interfaces - C7210N Information networks - C7420 Control engineering computing,B25J13/00 - G05B15/00 - G05D3/00 - G05D1/00,Practical (PRA),,,,Inspec,"Copyright 2025, The Institution of Engineering and Technology",Engineering Village
Protection Of Sensitive Personal Information Contained In Digital Files Held By Individuals With Homomorphic Encryption And AI Assistance,"Villegas-Jimenez, E.A. (1); Romo-Cabrera, A. (1); Manzano-Calixto, M.A. (1); Tello-Aguilera, L.M. (1); Sanchez-Mata, A.K. (1); Robles-Guerrero, A. (1); Hernandez-Ruiz, P.M. (1) ","(1) Universidad Nacional Autonoma de Mexico, Facultad de Estudios Superiores Aragon, Mexico ","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)",,"IEEE, Piscataway, NJ, USA",,1-6,2025,,,,,979-8-3315-3559-9,10.1109/ICECET63943.2025.11472089,,"2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)",2025,"Paris, France","In today's digital landscape, the exchange of sensitive personal data via mobile devices is widespread, yet inadequate safeguards often expose users to risks such as identity theft and online harassment. This research introduces Kamplae, a system crafted in Python and deployed through a Flask-based REST API, employing homomorphic encryption and artificial intelligence to protect personal information embedded in digital images. Kamplae secures metadata and bitmap content in jpeg, jpg, and png formats, adhering to legal standards in Mexico and the European Union.The study reviews prior work on personal data protection and the challenges posed by deep fakes, emphasising the need for robust regulatory frameworks to counter digital violence. It explores various encryption methods—symmetric, asymmetric, and hybrid—alongside relevant legal provisions across regions.Kamplae aims to prevent image misuse and foster a secure, ethical digital environment. While promising, it highlights areas for enhancement, such as broader format support and user interface refinement, with limitations tied to specific format compatibility and mobile performance.",,,application program interfaces - artificial intelligence - cryptography - data privacy - data protection - meta data - Python - user interfaces,AI assistance - artificial intelligence - bitmap content - deep fakes - digital files held - digital images - digital landscape - digital violence - ethical digital environment - European Union.The - Flask-based REST API - homomorphic encryption - hybrid—alongside relevant legal provisions - identity theft - image misuse - inadequate safeguards - Kamplae secures metadata - legal standards - mobile devices - mobile performance - online harassment - personal data protection - png formats - robust regulatory frameworks - secure environment - sensitive personal data - sensitive personal information contained - study reviews - user interface refinement,C5260B Computer vision and image processing techniques - B6120D Cryptography - C6130S Data security,H04L9/00 - G06T - G06F21/00 - G06F8/40,Practical (PRA),,,,Inspec,"Copyright 2026, The Institution of Engineering and Technology",Engineering Village
Spectrep: A software for spectral representation of text content,"Crespo-Sanchez, M. (1); Lopez-Arevalo, I. (1); Aldana-Bobadilla, E. (1); Gomez-Adorno, H. (2); Gonzalez-Compean, J.L. (1) ","(1) Cinvestav Tamaulipas, Mexico (2) UNAM, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Mexico ",SoftwareX,,"Elsevier B.V., Netherlands",v 27,101849,2024,,,2352-7110,,,10.1016/j.softx.2024.101849,,,,,"Spectrep (Spectral Representation) implements a text representation framework for obtaining a multi-view representation that consolidates lexical, syntactic, and semantic features by structuring a workflow with popular text processing tools such as NTLK, Gensim, and Self-Organizing Maps. This framework is intended to be used in text pre-processing for its application in more robust machine learning applications. This software is open-source and implemented in Python. It has been successfully tested with several tasks to prove its functionality. All rights reserved Elsevier.",23,,learning (artificial intelligence) - natural language processing - Python - question answering (information retrieval) - text analysis - word processing,multiview representation - popular text processing tools - robust machine learning applications - semantic features - spectral representation - spectrep - text content - text pre-processing - text representation framework,C6130D Document processing and analysis techniques - C6180N Natural language interfaces - C7250R Information retrieval techniques - C7820N Natural language processing,G06F40/00 - G06F16/00 - G06F40/10 - G06N20/00 - G06F8/40,Practical (PRA),,,"All Open Access, Gold",Inspec,"Copyright 2024, The Institution of Engineering and Technology",Engineering Village
Ownership Authentication and Clinical Data Backup in DICOM Images via Robust Watermarking and Binary Data Hiding,"Lopez-Martinez, Angela Axin (1); Fragoso-Navarro, Eduardo (1); Cedillo-Hernandez, Manuel (1); Garcia-Ugalde, Francisco (2) ","(1) Instituto Politecnico Nacional, SEPI ESIME Culhuacan, CDMX, Mexico (2) Universidad Nacional Autonoma de Mexico, CDMX, Mexico ","2025 10th International Conference on Frontiers of Signal Processing, ICFSP 2025",,Institute of Electrical and Electronics Engineers Inc.,,p 32-36,2025,"2025 10th International Conference on Frontiers of Signal Processing, ICFSP 2025",2025,,,9798331574420,10.1109/ICFSP67350.2025.11353575,,"10th International Conference on Frontiers of Signal Processing, ICFSP 2025","September 10, 2025 - September 12, 2025",,"Medical information is very important and delicate due to its relevance in clinical diagnosis, treatments, research and other commercial and non-commercial applications of governmental and private organizations. Recent advances in information and communication technologies have transformed the paradigm of medical data management, but also introduced new risks related to unauthorized access, manipulation, and distribution. To solve part of these problems, this paper proposes a method that employs two information security levels based on robust watermarking and binary data hiding, respectively. Firstly, clinical data is embedded into a logo using binary data hiding. Then, this logo is inserted into the spatial domain of a medical image through block segmentation, statistical information, and convolutional encoding for ownership authentication. Experimental results demonstrate logo robustness against JPEG DICOM compression in conjunction with aggressive attacks like cropping and copy-move, using bit error rate as a metric. The imperceptibility has been measured via peak signal-to-noise ratio and structural similarity index metrics. © 2025 IEEE.",17,Clinical research,Authentication - Bit error rate - Computer aided diagnosis - Convolution - Digital image storage - Digital Imaging and Communications in Medicine (DICOM) - Encoding (symbols) - Image compression - Information hiding - Information management - Medical computing - Medical image processing - Signal encoding,Authentication data - Binary data - Binary data hiding - Clinical data - Convolutional encoding - Data backups - Data-hiding - DICOM imaging - Ownership authentication - Robust watermarking,"101.1 Biomedical Engineering - 102.1 Medicine - 102.1.2 Health Science - 716.1 Information Theory and Signal Processing - 902.2 Codes and Standards - 903 Information Science - 1103.1 Data Storage, Equipment and Techniques - 1103.4 Digital Computers and Systems - 1106.2 Data Handling and Data Processing - 1106.3 Digital Signal Processing - 1106.3.1 Image Processing - 1106.5 Computer Applications - 1106.9 Computer Software - 1108.1 Cybersecurity",,,"Number: -, Acronym: IPN, Sponsor: Instituto Polit&eacute;cnico Nacional; Number: -, Acronym: -, Sponsor: Secretar&iacute;a de Ciencia, Humanidades, Tecnolog&iacute;a e Innovaci&oacute;n; Number: -, Acronym: UNAM, Sponsor: Universidad Nacional Aut&oacute;noma de M&eacute;xico; ","Authors thanks the Instituto Politecnico Nacional (IPN) as well as the Secretaria de Ciencia, Humanidades, Tecnologia e Innovacion (SECIHTI) and in part by Universidad Nacional Autonoma de Mexico (UNAM), by the support provided during this research.",,Compendex,"Compilation and indexing terms, Copyright 2026 Elsevier Inc.",Engineering Village
AI-Enhanced Supercomputing for Next-Generation Astronomical Data Processing in Latin America: A Case Study of the ALMA Observatory,"Lefranc, Gastón (1); Gatica, Gabriel (2); Vásquez, Edison (3); Peña, Mario (4) ","(1) Pontificia Universidad Católica de Valparaíso, Avda. Brasil2950, Valparaíso; 2430000, Chile (2) Startup I+D+i Inteligencia Artificial, ARTIFICYAN, Viña del Mar, Chile (3) JhedAI Startup., Viña del Mar, Chile (4) IIMAS-UNAM, Ciudad de México, Mexico ",Procedia Computer Science,,Elsevier B.V.,v 266,p 150-157,2025,"12th International Conference on Information Technology and Quantitative Management, ITQM 2025",2025,,18770509,,10.1016/j.procs.2025.08.019,,"12th International Conference on Information Technology and Quantitative Management, ITQM 2025","August 15, 2025 - August 17, 2025",,"This paper presents a proposal for improving the data processing workflow within an AI-powered supercomputing framework for the Atacama Large Millimetre/submillimeter Array (ALMA) Observatory. This framework aims to reduce processing times by 40% to 60%, improve image resolution, and increase data calibration accuracy. A high-performance computing (HPC) architecture with a GPU and artificial intelligence (AI) hardware for astronomical data management is described. The importance of such infrastructure for scientific advancement in developing countries is highlighted by analyzing implementation strategies, cost-benefit analyses, and technology transfer. © 2025 The Authors.",28,Radio astronomy,Computer architecture - Cost benefit analysis - Data handling - Image resolution - Information management - Observatories - Supercomputers - Technology transfer,Astronomical data - Atacama Large Millimeter/sub-millimeter Array (ALMA) - Atacamum large millimeter/submillimeter array observatory - Case-studies - GPU accelerations - High-performance computing - Latin America - Performance computing - Supercomputing - Work-flows,656.2 Space Research - 716.3 Radio Systems and Equipment - 903 Information Science - 911.1 Cost Accounting - 912.2 Management - 1103.4 Digital Computers and Systems - 1104 Computer Architecture - 1106.2 Data Handling and Data Processing - 1106.3.1 Image Processing - 1302 Astronomy,,,,,"All Open Access, Gold",Compendex,"Compilation and indexing terms, Copyright 2026 Elsevier Inc.",Engineering Village
Human-robot physical interaction system as a tool for neurocognitive stimulation in children with ADHD in Mexico,"Aparicio-Juarez, J. (1); Dominguez-Ramirez, O.A. (1); Sepulveda-Cervantes, G. (2); Garcia-Blancas, J. (1); Ramirez-Zamora, J.D. (1); Escotto-Cordova, E.A. (3); Reyes-Hernandez, I. (4) ","(1) Autonomous University of the State of Hidalgo, Mexico (2) National Polytechnic Institute, Center for Technological Innovation and Development in Computing, Mexico (3) National Autonomous University of Mexico, Faculty of Higher Studies Zaragoza, Mexico (4) Autonomous University of the State of Hidalgo, Pachuca, Mexico ",2024 XXVI Robotics Mexican Congress (COMRob),,"IEEE, Piscataway, NJ, USA",,39-46,2024,,,,,979-8-3315-3339-7,10.1109/COMRob64055.2024.10777441,,2024 XXVI Robotics Mexican Congress (COMRob),2024,"Torreon, Mexico","This research work promotes the use of an interactive virtual environment, with the purpose of strengthening neurocognitive stimulation in children with ADHD (Attention Deficit Hyperactivity Disorder), through a human-robot physical interaction system (HRpI); as well as establishing the conditions that allow the application of supervised and unsupervised machine learning techniques that favor diagnosis. Clinical evaluation strategies in care and treatment centers for neurodivergent children are based on the Diagnostic and Statistical Manual of Mental Disorders (DSM-5); however, not using integrated technological platforms with biofeedback and neurophysiological stimulation associated with each case study, which contributes to the improvement of the clinical procedure. The proposed HRpI system is constituted by a haptic device with the human operator (patient) in the control loop. The movement instructions are designed based on a clinical protocol that evaluates hand-eye coordination, based on virtual mazes to navigate with one or two upper limbs. The platform is configured with strategies: i) passive haptic guidance and ii) active haptic exploration. In the first case, the robot guides the human in the optimal solution, correcting the interactive forces that condition the presence of disturbances, and shape the required energy; and in the second case, the human voluntarily solves the maze, which implies that the velocity and instantaneous position are variable. Kinesthetic force feedback is based on a viscoelasticity model (spring-damper system) in both haptic interaction strategies. During the development of the task, the instrumentation of brain waves are correlated with the state of the robotic system (position, velocity, energy and instantaneous errors); all this for the evaluation of performance metrics that contribute to the diagnosis. The expected result corresponds to determining the engram in terms of duration and frequency in brain plasticity for self-regulation purposes of the neurodivergent patient; as well as its impact as a value proposition to the Continuous Improvement School Program (PEMC) of basic education institutions in Mexico.",,,brain - educational institutions - force feedback - haptic interfaces - human-robot interaction - interactive systems - learning (artificial intelligence) - medical disorders - neurophysiology - patient treatment - psychology - virtual reality - viscoelasticity,ADHD - Attention Deficit Hyperactivity Disorder - clinical evaluation strategies - haptic interaction strategies - HRpI system - human operator - human-robot physical interaction system - interactive forces - interactive virtual environment - neurocognitive stimulation - neurodivergent children - neurophysiological stimulation - robotic system - spring-damper system,C0240 Ergonomic aspects of computing - C3385 Biological and medical control systems - C3390 Robotics - C5540B Interactive-input devices - C6130V Virtual reality - C6180R Human-robot interaction - C6180 User interfaces - C7330 Biology and medical computing - A8770G Patient care and treatment,B25J13/00 - G16B - G06F3/00 - G06N20/00,Practical (PRA); Theoretical or Mathematical (THR),,,,Inspec,"Copyright 2025, The Institution of Engineering and Technology",Engineering Village
