Title,Author,Author affiliation,Source,Sponsor,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
Minimal FCN for image segmentation,"Ramos, R. (1); Olveres, J. (1); Escalante-Ramírez, B. (1) ","(1) UNAM, Facultad de Ingenierıa, Mexico ",Proceedings of SPIE,,"SPIE, USA",v 12998,1299808 (12 pp.),2024,,,1996-756X,,,10.1117/12.3022259,,"Optics, Photonics, and Digital Technologies for Imaging Applications VIII",2024,"Strasbourg, France","Research on interpretable CNN classifiers, involves comparing semantic segmentation masks with heat maps designed as visual explanations. A robust explanation accurately identifies or approximates the segmentation of an object. Our focus is on CNN classifiers with enhanced explainability, particularly in the middle layers. To explore this, we propose testing an encoder, trimmed to a medium layer, within a Fully Convolutional Network (FCN). Semantic segmentation is a pivotal task in computer vision preceding object recognition, and demands efficiency to optimize performance, energy consumption, and hardware costs. While various lightweight FCN proposals exist for distinct semantic segmentation tasks, their designs often introduce additional complexity compared to the more basic FCN design we advocate. Our goal is to see how well a minimal FCN works in a simple semantic segmentation task using medical images and how its accuracy changes when the training dataset is shrunk. The study involves characterizing and comparing our minimal FCN against other lightweight deep segmentation models and analyzing accuracy curves concerning the quantity of training data. Utilizing chest CT imaging, we focus on segmenting the lungs. We highlight the importance of data consumption and model size as decisive factors in selecting an architecture, especially when differences in predictive accuracy are marginal. Characterizing deep architectures based on their data requirements, allows for a thorough comparison fostering a deeper understanding of their suitability for specific applications.",11,,computer vision - computerised tomography - convolutional neural nets - deep learning (artificial intelligence) - feature extraction - image classification - image segmentation - lung - medical image processing - object recognition,accuracy changes - analyzing accuracy curves - basic FCN design - computer vision - data consumption - demands efficiency - distinct semantic segmentation tasks - energy consumption - enhanced explainability - Fully Convolutional Network - hardware costs - heat maps - image segmentation - interpretable CNN classifiers - lightweight deep segmentation models - lightweight FCN proposals - medical images - medium layer - middle layers - minimal FCN works - object recognition - pivotal task - robust explanation - semantic segmentation masks - simple semantic segmentation task - training data - utilizing chest CT imaging - visual explanations,"C5260B Computer vision and image processing techniques - B6135E Image recognition - B6135 Optical, image and video signal processing - C6264 Neural nets - C7330 Biology and medical computing - B7510P X-ray techniques: radiography and computed tomography (biomedical imaging/measurement) - A8760J X-rays and particle beams (medical uses) - A8770E Patient diagnostic methods and instrumentation",G06N3/02 - G16B - G06T - G01N33/48 - G06N20/00 - A61B6/03,Practical (PRA),,,,Inspec,"Copyright 2024, The Institution of Engineering and Technology",Engineering Village
Incorporation of Deep Learning Regularization in the Image Reconstruction Algorithm for a Dual-Panel PEM Scanner,"Moncada-Gutierrez, F.G. (1); Rodriguez-Villafuerte, M. (1); Alva-Sanchez, H. (1); Martinez-Davalos, A. (1) ","(1) Universidad Nacional Autonoma de Mexico, Physics Institute, Mexico ","2025 IEEE Nuclear Science Symposium (NSS), Medical Imaging Conference (MIC) and Room Temperature Semiconductor Detector Conference (RTSD)",,"IEEE, Piscataway, NJ, USA",,1-2,2025,,,,,978-1-6654-7767-3,10.1109/NSS/MIC/RTSD57106.2025.11287935,,"2025 IEEE Nuclear Science Symposium (NSS), Medical Imaging Conference (MIC) and Room Temperature Semiconductor Detector Conference (RTSD)",2025,"Yokohama, Japan","A dual-panel Positron Emission Mammography (PEM) scanner prototype is under development in our research group, and its imaging performance is currently being evaluated. The main challenge for dual-panel scanners is the presence of limited-angle artifacts, which appear in the images due to the acquisition geometry. These artifacts diminish the quality of the images, degrade the contrast of the lesions, and generate distortions in the cross-plane slices (perpendicular to the panels). To mitigate such distortions, deep learning regularization has been incorporated into the List Mode Ordered Subsets Expectation Maximization (LM-OSEM) image reconstruction algorithm. For the regularization step, a U-Net was trained with Monte-Carlo simulated data for several image quality phantoms. Data augmentation strategies were used to increase the diversity of the training data and to construct a model that generalizes more effectively to unseen data. The deep learning model was trained with 3840 pairs of cross-plane images of a dual-panel PEM scanner as input and corresponding slices from a dedicated breast-PET ring scanner as target. This approach was selected because a ring-shaped scanner does not face the limited-angle problem. The Forward-backward splitting expectation maximization (FBSEM) algorithm was implemented with the trained U-Net. This framework was applied to both MC-simulated and experimentally acquired data. In both cases, the quality of the cross-plane images was enhanced, without hampering the in-plane slices (parallel to the panels), and the enhancement in the quality of the images was quantified by image quality metrics like noise, contrast, and the Mean Absolute Error (MAE).",0,,deep learning (artificial intelligence) - expectation-maximisation algorithm - image reconstruction - mammography - medical image processing - Monte Carlo methods - phantoms - positron emission tomography,breast-PET ring scanner - cross-plane images - cross-plane slices - data augmentation - deep learning model - dual-panel PEM scanner - dual-panel positron emission mammography scanner - FBSEM algorithm - forward-backward splitting expectation maximization algorithm - image quality phantoms - in-plane slices - list mode ordered subsets expectation maximization image reconstruction algorithm - LM-OSEM image reconstruction algorithm - Monte-Carlo simulated data - ring-shaped scanner - U-Net model,"B0240Z Other topics in statistics - B0240G Monte Carlo methods - C1140Z Other topics in statistics - C1140G Monte Carlo methods - C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing - C7330 Biology and medical computing - B7510R Nuclear medicine, emission tomography - A8760K Nuclear medicine, emission tomography - A8770E Patient diagnostic methods and instrumentation",G01T1/164 - G01N33/48 - G06T - G16B - G06N3/02 - G06N20/00 - G01T1/29,Practical (PRA); Theoretical or Mathematical (THR); Experimental (EXP),,,,Inspec,"Copyright 2026, The Institution of Engineering and Technology",Engineering Village
Machine learning for interferometric image reconstruction with sparse arrays,"Sanchez-Bermudez, J. (2); Cruz-Osorio, A. (2); Barrera-Ballesteros, J.K. (2); Alberdi, A. (1); Schödel, R. (1) ","(1) Instituto de Astrofísica de Andalucía (IAA-CSIC), Spain (2) Universidad Nacional Autonoma de Mexico, Instituto de Astronomia, Mexico ",Proceedings of SPIE,,"SPIE, USA",v 13095,1309519 (9 pp.),2024,,,1996-756X,,,10.1117/12.3020320,,Optical and Infrared Interferometry and Imaging IX,2024,"Yokohama, Japan","Interferometry, essential in radio and infrared astronomy, faces a significant challenge: reconstructing images from sparsely sampled data. Current regularized minimization algorithms rely heavily on predefined priors and hyperparameters, leading to ambiguities and inaccuracies in the images. Here, we present a project to integrate Neural Networks into interferometric image reconstruction. By utilizing the principles of Compressed Sensing and generative Neural Networks, this approach can map infrared interferometric data to reconstruct images more accurately, reducing reliance on rigid priors. The adaptability of the Neural Network ensures that the reconstructions are more precise and less dependent on user input, which is a significant advancement over current methods that require extensive expertise. In this work, we present, as software demonstration, reconstructions obtained from the Event Horizon Telescope data of the black-hole shadow at the core of M87.",17,,astronomical image processing - black holes - compressed sensing - image reconstruction - infrared astronomy - interferometry - learning (artificial intelligence) - minimisation - neural nets,current regularized minimization algorithms - generative Neural Networks - interferometric image reconstruction - machine learning - map infrared interferometric data - Neural Network - predefined priors - sparse arrays - sparsely sampled data,"C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing - C6264 Neural nets - C7350 Astronomy and astrophysics computing - A9575K Astronomical interferometry - A9575M Astronomical data and image processing",G06T - G06N3/02 - G06N20/00,Practical (PRA); Theoretical or Mathematical (THR),,,,Inspec,"Copyright 2024, The Institution of Engineering and Technology",Engineering Village
Synthetic versus real: Exploring the impact of synthetic data on medical image classification,"Moreno-Tagle, José Carlos (1, 2); Olveres, Jimena (2, 3); Escalante-Ramírez, Boris (2, 3) ","(1) Universidad Nacional Autónoma de México, Mexico City, Mexico (2) Departamento de Procesamiento de Señales, Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico (3) Centro de Estudios en Computación Avanzada, Universidad Nacional Autónoma de México, Mexico City, Mexico ",Proceedings of SPIE - The International Society for Optical Engineering,The Society of Photo-Optical Instrumentation Engineers (SPIE),SPIE,v 12998,,2024,"Optics, Photonics, and Digital Technologies for Imaging Applications VIII",2024,0277786X,1996756X,9781510673144,10.1117/12.3022261,1299802,"Optics, Photonics, and Digital Technologies for Imaging Applications VIII 2024","April 9, 2024 - April 11, 2024",,"This study explores the impact of synthetic medical images, created through Stable Diffusion, on neural network training for lung condition classification. Using a hybrid dataset combining real and synthetic images, diverse state-of-the-art vision models were trained. Neural networks effectively learned from synthetic data, its performance is similar or superior to models trained purely on real images as long as the training is carried out under equal conditions: same architecture, same number of epochs, same training style, same resolution of the input image. We selected ConvNext-small as our test architecture. Its best performance when trained with a hybrid dataset (synthetic and real images) was 89% while when trained with purely real images it was 85%. These results were obtained when evaluated with an external validation data set curated by a radiologist. However, hybrid models seem to show a limit in their performance when exploring different training techniques. In contrast, a simpler architecture trained with only real images can take advantage of more complex training regimes to elevate its final performance. In this regard, our best hybrid-trained model (ConvNext-small) achieved an external validation accuracy of 87% while ResNet-34 attained a 93% validation accuracy trained only on real images. Both models were evaluated with the real-image-only dataset provided by the radiologist. This study concludes by comparing our top AI models and radiologists’ performance levels. © 2024 SPIE.",15,Classification (of information),Biological organs - Image classification - Medical imaging - Network architecture - Neural networks,Condition - Convnet - Hybrid dataset - Lung condition classification - Neural networks trainings - Performance - Real images - Stable diffusion - Synthetic medical image - Vision transformer,461.1 Biomedical Engineering - 461.2 Biological Materials and Tissue Engineering - 716.1 Information Theory and Signal Processing - 723.2 Data Processing and Image Processing - 746 Imaging Techniques - 903.1 Information Sources and Analysis,,,"Number: IT101624,IN108624, Acronym: UNAM, Sponsor: Universidad Nacional Aut&oacute;noma de M&eacute;xico; Number: -, Acronym: UNAM, Sponsor: Universidad Nacional Aut&oacute;noma de M&eacute;xico; Number: 857565, Acronym: Conahcyt, Sponsor: Consejo Nacional de Humanidades, Ciencias y Tecnolog&iacute;as; Number: -, Acronym: Conahcyt, Sponsor: Consejo Nacional de Humanidades, Ciencias y Tecnolog&iacute;as; ","Authors wish to thank UNAM PAPIIT grants IT101624 and IN108624 for sponsoring this research. Jose Carlos would like to thank CONAHCYT (Consejo Nacional de Humanidades, Ciencias y Tecnologias) for the financial support (CVU: 857565) during his graduate studies. Many thanks to Carlos Valencia, M.D. and his medical team for their invaluable contributions in data collection, consulting and feedback in medical imaging and for having faith in our AI models as medical assistants in the midst of a health emergency.",,Compendex,"Compilation and indexing terms, Copyright 2026 Elsevier Inc.",Engineering Village
Neural style transfer in tiny sets of ultrasound images for data augmentation,"Camargo, A.M. (1); Olveres, J. (2, 3); Escalante-Ramírez, B. (2, 3) ","(1) Universidad Nacional Autónoma de México, Mexico City, Mexico (2) Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico (3) Centro de Estudios en Computación Avanzada, Universidad Nacional Autónoma de México, Mexico City, Mexico ",Proceedings of SPIE - The International Society for Optical Engineering,The Society of Photo-Optical Instrumentation Engineers (SPIE),SPIE,v 12998,,2024,"Optics, Photonics, and Digital Technologies for Imaging Applications VIII",2024,0277786X,1996756X,9781510673144,10.1117/12.3017658,1299805,"Optics, Photonics, and Digital Technologies for Imaging Applications VIII 2024","April 9, 2024 - April 11, 2024",,"Deep learning models (DLM) encounter challenges in medical image segmentation and classification tasks, primarily due to the requirement for a substantial volume of annotated images, which are both time-consuming and expensive to acquire. In our work, we utilize neural style transfer (NST) to enhance a tiny dataset of ultrasound images, significantly improving the performance of deep learning models (DLM). Additionally, we explore style interpolation to generate new target styles, specifically tailored for ultrasound images. In summary, our objective is to demonstrate the potential utility of neural style transfer in scenarios with limited datasets, particularly in the context of ultrasound images using the dataset of breast ultrasound images (Walid Al-Dhabyani, Mohammed Gomaa, Hussien Khaled, & Aly Fahmy, 2020). © 2024 SPIE.",10,Medical imaging,Deep learning - Image enhancement - Image segmentation - Learning systems - Ultrasonics,Classification tasks - Data augmentation - Deep learning - Learning models - Medical image classification - Medical image segmentation - Neural style transfer - Performance - Style interpolation - Ultrasound images,461.1 Biomedical Engineering - 461.4 Ergonomics and Human Factors Engineering - 746 Imaging Techniques - 753.1 Ultrasonic Waves,,,"Number: 1228000, Acronym: Conahcyt, Sponsor: Consejo Nacional de Humanidades, Ciencias y Tecnolog&iacute;as; Number: IT101624,IN108624, Acronym: -, Sponsor: -; ",CONAHCYT for the received fellowship 1228000 to study the master in Posgrado en Ciencia e Ingenier\u00EDa de la Computaci\u00F3n at Universidad Nacional Aut\u00F3noma de M\u00E9xico UNAM. UNAM PAPIIT grants IT101624 and IN108624.,,Compendex,"Compilation and indexing terms, Copyright 2026 Elsevier Inc.",Engineering Village
Intelligent MRI diagnosis of neurological alterations in infants from 4 to 12 months,"Calderon-Uribe, S. (1); Morales-Hernandez, L.A. (1); De Leo-Jimenez, J.O. (2); Resendiz-Ochoa, E. (1); Toledano-Ayala, M. (3); Cruz-Albarran, I.A. (1) ","(1) Autonomous University of Queretaro, Laboratory of Artificial Vision and Thermography, Mexico (2) National Autonomous University of Mexico, Neurodevelopment Research Unit of the Institute of Neurobiology, Mexico (3) Autonomous University of Queretaro, Research and Postgraduate Division, Mexico ",International Journal of Imaging Systems and Technology,,"Wiley, USA","v 34, n 3",e23074 (17 pp.),2024,,,1098-1098,,,10.1002/ima.23074,,,,,"Magnetic resonance imaging is an essential tool for the identification of neurological problems since it provides relevant information on brain development. The aim of the present work was the detection of neurological alterations in newborns from 4 to 12 months of age by segmentation and analysis of lateral ventricles in magnetic resonance images. For this purpose, an automated deep approach based on U-net is proposed to segment the cerebral ventricles of the newborn. Subsequently, for these regions, features were extracted based on the patient's clinical history and on the shape (area, roundness, normalized central moment, among others) and pixel intensity (mean gray value, contrast level, among others). Once the features were extracted, different types of intelligent models (Logistic Regression, k-Nearest Neighbors (kNN), and a Convolutional Neural Network) were assessed to detect the presence of neurological alterations. The segmentation phase of the system was tested on 50 patients and the classification phase on 28 patients (11 healthy, 17 with neurological changes). The results show a DICE similarity coefficient of 0.89 and a volume ratio of 1.05 for the segmentation stage and an accuracy of 98%, precision of 100%, sensitivity of 92%, and specificity of 100% for the classification stage using kNN. The last one proved to be the most computationally feasible model, due to the time required for training and inference (0.36 s and 35.2e-4 s, respectively), as well as the consumption of computational resources (0.1 GB RAM CPU). In conclusion, it is possible to detect neurological alterations in newborns aged 4 to 12 months by segmenting and classifying the lateral ventricles in magnetic resonance images, using image processing techniques, the U-net, as well as the kNN algorithm. This proposed methodology could play an important role in the early diagnosis and treatment of neurological disorders. © 2024 Wiley Periodicals, LLC.",75,,biomedical MRI - brain - convolutional neural nets - feature extraction - image segmentation - logistic regression - medical disorders - medical image processing - neurophysiology,intelligent MRI diagnosis - lateral ventricles - magnetic resonance images - magnetic resonance imaging - neurological alterations - neurological disorders - neurological problems - newborns - segmentation phase - segmentation stage,B0240V Regression analysis - C1140V Regression analysis - C5260B Computer vision and image processing techniques - B6135E Image recognition - C6264 Neural nets - C7330 Biology and medical computing - B7510N Biomedical magnetic resonance imaging and spectroscopy - A8730 Biophysics of neurophysiological processes - A8760I Medical magnetic resonance imaging and spectroscopy - A8770E Patient diagnostic methods and instrumentation,G01N33/48 - G06T - G06N3/02 - G16B - A61B5/055,Practical (PRA); Theoretical or Mathematical (THR),,,,Inspec,"Copyright 2024, The Institution of Engineering and Technology",Engineering Village
Development Of An Algorithm For Strength Training With Use Haptic Feedback And Artificial Intelligence (AI) Based Enhancement,"Villegas-Jimenez, E.A. (1); Bello-Guerrero, A.H. (1); Padilla-Torres, M.D. (1); Villagomez-Venegas, L.N. (1); Chavez-Ramirez, C.S. (1) ","(1) Universidad Nacional Autonoma de Mexico, Facultad de Estudios Superiores Aragon, Mexico ","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)",,"IEEE, Piscataway, NJ, USA",,1-6,2025,,,,,979-8-3315-3559-9,10.1109/ICECET63943.2025.11472504,,"2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)",2025,"Paris, France","The increasing popularity of the use of AI in everyday life has enabled the development of virtual systems for human assistance. This research proposes an implemented linear regression model with a vector of random weights, using a mean square error (MSE), based cost function and regularisation and corresponding Python code that integrates AI-based haptic feedback through vibration, specifically designed to optimise weight training.The results of the simulation model analysis show how key biomechanical parameters are identified and used to improve a person's posture by adjusting technique through real-time vibrational stimuli. The development of the system involves physical benefits such as injury prevention, continuous biomechanical monitoring, adaptive programme structuring and haptic vibration feedback for immediate movement correction. Popular and accurate tools for building linguistic models are mentioned, such as machine learning, computer vision and neural networks. Technological tools such as machine learning, computer vision and neural networks, applied to process biomechanical data and trigger personalised vibrational responses, are highlighted.",,,biomechanics - computer vision - force feedback - haptic interfaces - learning (artificial intelligence) - mean square error methods - neural nets - Python - regression analysis - vibrations,adaptive programme structuring - AI-based haptic feedback - artificial intelligence - based cost function - biomechanical data - computer vision - continuous biomechanical monitoring - corresponding python code - haptic vibration feedback - human assistance - immediate movement correction - implemented linear regression model - injury prevention - key biomechanical parameters - linguistic models - machine learning - mean square error - MSE - neural networks - random weights - real-time vibrational stimuli - simulation model analysis - trigger personalised vibrational responses - virtual systems - weight training,C1140V Regression analysis - C6264 Neural nets - C7330 Biology and medical computing,G06N3/02 - G16B - G06F8/40 - G06N20/00,Practical (PRA); Theoretical or Mathematical (THR),,,,Inspec,"Copyright 2026, The Institution of Engineering and Technology",Engineering Village
Evaluation of dose reduction methods in cone beam X-ray microtomography,"Osorio-Durán, G.A. (1); Rodríguez-Villafuerte, M. (1); Martínez-Dávalos, A. (1) ","(1) Universidad Nacional Autonoma de Mexico, Physics Institute, Mexico ",AIP Conference Proceedings,,"AIP Publishing, USA","v 3391, n 1",040019 (6 pp.),22 Dec 2025,,,1551-7616,,,10.1063/5.0308909,,EIGHTEENTH MEXICAN SYMPOSIUM ON MEDICAL PHYSICS,2024,"Guanajuato, Mexico","In this work, noise reduction filters were evaluated for micro-CT studies obtained under low-dose conditions, reducing the X-ray tube current down to one quarter of the standard settings (1 mA). Noise correction was evaluated using filters in the projection and reconstruction domains, namely: the bilateral (BI), anisotropic diffusion (DA) and non-local means (NLM) filters. All of them performed well, with the NLM filter achieving the best results, maintained a high structural similarity index value, and reduced noise by up to 55%. Better results were obtained when correcting directly in the projection domain. NPS analysis showed that noise reduction is strongest in high spatial-frequency components. [The copyright for the referenced work is owned by Author(s). Copies of full-text articles should only be made or obtained from the publisher or authorized sources.]",12,,computerised tomography - filters - image denoising - image filtering - image reconstruction - medical image processing - noise - X-ray tubes,anisotropic diffusion - cone beam X-ray microtomography - current 1.0 mA - dose reduction - low-dose conditions - NLM filter - noise correction - noise reduction filters - NPS analysis - projection domain - reconstruction domains - spatial-frequency components - structural similarity index - X-ray tube current,"C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing - C7330 Biology and medical computing - B7510P X-ray techniques: radiography and computed tomography (biomedical imaging/measurement) - B7530B Radiation protection and dosimetry - A8170J Nondestructive testing: X-ray methods - A8760J X-rays and particle beams (medical uses) - A8770E Patient diagnostic methods and instrumentation",G01N23/00 - G06T - G16B - G01N33/48 - H01J35/00 - G06T5/00 - A61B6/03,Practical (PRA); Experimental (EXP),,,,Inspec,"Copyright 2026, The Institution of Engineering and Technology",Engineering Village
Deep learning-based attenuation correction in brain PET studies,"Moncada, F. (1); Avendaño-Estrada, A. (2); Ávila-Rodríguez, M.A. (2); Rodríguez-Villafuerte, M. (1); Martínez-Dávalos, A. (1) ","(1) Universidad Nacional Autonoma de Mexico, Institute of Physics, Mexico (2) Universidad Nacional Autonoma de Mexico, Faculty of Medicine, Mexico ",AIP Conference Proceedings,,"AIP Publishing, USA","v 3391, n 1",040016 (5 pp.),22 Dec 2025,,,1551-7616,,,10.1063/5.0308436,,EIGHTEENTH MEXICAN SYMPOSIUM ON MEDICAL PHYSICS,2024,"Guanajuato, Mexico","A dataset comprising human brain PET studies reconstructed with and without attenuation correction (AC) was utilized to train a deep learning framework tailored for AC. The uncorrected reconstructions served as the input while the corrected recon-structions functioned as ground truth (target). The implemented deep learning architectures encompassed U-Net, Residual U-Net, Attention U-Net, Residual Attention U-Net and Generative Adversarial Networks (GANs). The performance of the trained models was assessed via the Structural Similarity Index Measure (SSIM) computed between the model predictions and the ground truth data. The best results were achieved with a U-Net architecture, yielding corrected studies with a mean SSIM value of 0.995 in comparison to the ground truth. Furthermore, the application of a trained U-Net enables the correction of a complete study within approximately 3 seconds, which is a clinically acceptable time. [The copyright for the referenced work is owned by Author(s). Copies of full-text articles should only be made or obtained from the publisher or authorized sources.]",17,,brain - convolutional neural nets - deep learning (artificial intelligence) - image reconstruction - medical image processing - positron emission tomography,corrected studies - deep learning framework - deep learning-based attenuation correction - GAN - generative adversarial networks - ground truth data - human brain PET studies - implemented deep learning architectures - mean SSIM - residual attention U-net - residual U-net - structural similarity index measure - time 3.0 s - trained models - trained U-net - U-net architecture - uncorrected reconstructions,"C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing - C6264 Neural nets - C7330 Biology and medical computing - B7510R Nuclear medicine, emission tomography - A8760K Nuclear medicine, emission tomography - A8770E Patient diagnostic methods and instrumentation",G01T1/164 - G06N3/02 - G06T - G16B - G01N33/48 - G01T1/29 - G06N20/00,Practical (PRA); Theoretical or Mathematical (THR); Experimental (EXP),,,,Inspec,"Copyright 2026, The Institution of Engineering and Technology",Engineering Village
Emotion detection based on infrared thermography: A review of machine learning and deep learning algorithms,"Calderon-Uribe, S. (1); Morales-Hernandez, L.A. (1); Guzman-Sandoval, V.M. (2); Dominguez-Trejo, B. (3); Cruz-Albarran, I.A. (1, 4) ","(1) Autonomous University of Queretaro Campus San Juan del Rio, Faculty of Engineering Laboratory of Artificial Vision and Thermography/Mechatronics, Mexico (2) University of Colima, Psychology/Psychology Faculty, Mexico (3) National Autonomous University of Mexico, Postgraduate Studies Division Psychology Faculty, Mexico (4) Campus San Juan del Rio Autonomous University of Queretaro, Faculty of Engineering, Mexico ",Infrared Physics & Technology,,"Elsevier B.V., Netherlands",v 145,105669,2025,,,1879-0275,,,10.1016/j.infrared.2024.105669,,,,,"Thermography has proven to be a valuable tool in the study of psychology and the understanding of emotional states, analyzing how they influence perception, thought and human behavior; the development of technologies capable of monitoring the emotional state of people has become an open field of research, with implications in areas such as robotics, marketing, education and, more specifically, medicine. The aim of this review is to provide an overview of the methods used for automatic identification of affective states using infrared thermography. In this work, we have reviewed most of the state-of-the-art articles published on this topic, specifically considering a methodology based on Machine Learning (ML) and Deep Learning (DL) models, focusing on the six most popular emotion categories used by consumers of emotion research: anger, disgust, fear, happiness, sadness, and surprise, using databases such as IRIS, NIST, VIRI, among others. The articles were analyzed in terms of the use of thermographic images to develop a methodology oriented to the detection of emotions, from identifying regions of interest (such as lips, eyebrows, nose, eyes, etc.) and correlating specific emotions with temperature variations within those regions, to using complex algorithms based on ML and DL. The results show that there is a significant increase in the use of infrared thermography as a tool for emotion detection, with a trend towards the use of DL algorithms in recent years, due to its ease in the process of automatic feature extraction and its versatility in pattern recognition from images, obtaining models with over 90% accuracy. Finally, the importance of these findings is emphasized, highlighting not only the challenges inherent in the need for robust data processing, but also the societal implications of ensuring that the data and conclusions are applicable and relevant in real-world contexts. All rights reserved Elsevier.",110,,deep learning (artificial intelligence) - emotion recognition - feature extraction - infrared imaging - learning (artificial intelligence) - psychology,affective states - automatic identification - complex algorithms - deep learning algorithms - Deep Learning models - DL algorithms - emotion detection - emotion research - emotional states - human behavior - infrared thermography - machine learning - popular emotion categories - sadness - specific emotions - state-of-the-art articles,C5260B Computer vision and image processing techniques - B6135E Image recognition - C6264 Neural nets,G06N3/02 - G06T - G06N20/00,Bibliography (BIB); Practical (PRA),,,,Inspec,"Copyright 2025, The Institution of Engineering and Technology",Engineering Village
