Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A Reasoning System for Graded Modal Logic,R. López-Villafán; E. Bárcenas,"IIMAS: Posgrado en Ciencia e lngeniería de la Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingenería: Dpto. de Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico",2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),18 Dec 2024,2024,,,228,236,"In this paper, we propose a deduction system for the modal logic $\mathbf{K}$ with graded modalities, which is obtained by adding numerical constraints to the modal operators. Graded modalities can be seen as a generalization of traditional modal operators since they include numerical bounds in the modalities, thus enabling the formal treatment of more detailed expressions, such as “there are at least $n+1$ individuals satisfying a certain property”, where $n$ is a natural number. This kind of properties commonly arise in contexts such as concurrent systems: “if at least 3 processors are free, then proceed to compute the next task”, or epistemic logic:”if more than 2 people know $P$, then $P$ is known”. The system is based on the notion of tree-hypersequents. We show the system is correct, i.e. sound and complete.",,979-8-3315-3211-6,10.1109/CONISOFT63288.2024.00037,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795561,graded modalities;proof theory;hypersequents;automated reasoning,Technological innovation;Interpolation;Program processors;Computational modeling;Syntactics;Cognition;Numerical models;Logic;Iterative methods;Formal verification,,,,21,IEEE,18 Dec 2024,28 Oct.-1 Nov. 2024,28 Oct.-1 Nov. 2024,IEEE,IEEE Conferences
Transforming Software Development: A Study on the Integration of Multi-Agent Systems and Large Language Models for Automatic Code Generation,R. Ramírez-Rueda; E. Benítez-Guerrero; C. Mezura-Godoy; E. Bárcenas,"Facultad de Estadística e Informática, Universidad veracruzana, Xalapa, Mexico; Facultad de Estadística e Informática, Universidad veracruzana, Xalapa, Mexico; Facultad de Estadística e Informática, Universidad veracruzana, Xalapa, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México, Ciudad de México, México",2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),18 Dec 2024,2024,,,11,20,"This paper explores the integration of Multi-Agent Systems (MAS) and Large Language Models (LLMs) for auto-matic code generation, addressing the limitations of traditional manual coding. By conducting a comprehensive review of existing literature and analyzing a practical case study, we demonstrate how MAS and LLMs can collaboratively enhance software development processes. The research focuses on the technical and theoretical challenges of this integration, highlighting the potential for improved productivity, adaptability, and quality in code generation. The findings contribute to AI-based software engineering by revealing new research directions in collective intelligence and automated programming.",,979-8-3315-3211-6,10.1109/CONISOFT63288.2024.00013,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795597,Multi-Agent;Generative AI;LLM;Software Development,Productivity;Technological innovation;Codes;Large language models;Collective intelligence;Software;Standards;Software development management;Software engineering;Multi-agent systems,,1,,29,IEEE,18 Dec 2024,28 Oct.-1 Nov. 2024,28 Oct.-1 Nov. 2024,IEEE,IEEE Conferences
XR for educational anatomy: an Immersive human atlas with chatbot,J. -F. Uhl; P. Reyes; C. Quihuis; P. Belchior; J. Jorge,"Director of the UNESCO Chair of Digital Anatomy, Paris Cité University, Paris, France; Universidad Nacional Autónoma de México, México City, México; Instituto Tecnológico y de Estudios Superiores de Monterrey, Mexico City, México; INESC-ID, Tagus Park, Porto Salvo, Portugal; UNESCO Chair on AI & VR, Instituto Superior Técnico, Av Rovisco Pais, Lisboa, Portugal",2025 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),24 Apr 2025,2025,,,1016,1020,"Immersive reality has emerged as a groundbreaking and promising approach for teaching anatomy, providing unique learning experiences while complementing traditional educational methods. Existing immersive software, such as Organon® and HoloLens®, offer valuable tools but remain limited in anatomical detail and interactivity. We present a novel educational approach: an immersive human atlas that integrates anatomical slices from the Visible Korean Human dataset (male and female) into a 3D environment. This platform enhances anatomical visualization and incorporates a Large Language Model (LLM) to support user interaction and understanding. By combining precise anatomical slices within the 3D model, the atlas provides an enriched and comprehensive learning experience for medical education.",,979-8-3315-1484-6,10.1109/VRW66409.2025.00205,Fundação para a Ciência e a Tecnologia; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10972851,Extended Reality;Immersive Environments;Anatomy Education;Large Language Models;Cross Computing,Visualization;Solid modeling;Three-dimensional displays;Extended reality;Large language models;Conferences;Education;User interfaces;Software;Anatomy,,,,18,IEEE,24 Apr 2025,8-12 March 2025,8-12 March 2025,IEEE,IEEE Conferences
MMDA: A Multimodal and Multisource Domain Adaptation Method for Cross-Subject Emotion Recognition From EEG and Eye Movement Signals,M. Jiménez-Guarneros; G. Fuentes-Pineda; J. Grande-Barreto,"Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Ciudad de México, Mexico; Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Ciudad de México, Mexico; Information Technology Engineering, Universidad Politécnica de Puebla, Cuanalá, Puebla, Mexico",IEEE Transactions on Computational Social Systems,7 Oct 2025,2025,12,5,2214,2227,"Multimodal emotion recognition from electroencephalogram (EEG) and eye movement signals has shown to be a promising approach to provide more discriminative information about human emotional states. However, most current works rely on a subject-dependent approach, limiting their applicability to new users. Recently, some studies have explored multimodal domain adaptation to address the mentioned issue by transferring information from known subjects to new ones. Unfortunately, existing methods are still exposed to negative transfer as a suboptimal distribution alignment is performed between subjects, while irrelevant information is not discarded. In this article, we present a multimodal and multisource domain adaptation (MMDA) method, which adopts the following three strategies: 1) marginal and conditional distribution alignments must be performed between each known subject and a new one; 2) relevant distribution alignments must be prioritized to avoid a negative transfer; and 3) modality fusion results should be improved by extracting more discriminative features from EEG signals and selecting relevant features across modalities. Our proposed method was evaluated with leave-one-subject-out cross validation on four public datasets: SEED, SEED-GER, SEED-IV, and SEED-V. Experimental results show that our proposal outperforms state-of-the-art results for each dataset when subject data from different sessions are combined into a single dataset. Moreover, MMDA exceeds the state of the art in 8 out of 11 different sessions when each session is evaluated.",2329-924X,,10.1109/TCSS.2024.3519300,UNAM Posdoctoral Program (POSDOC); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10819285,Deep learning;electroencephalogram (EEG);eye movement (EM);multimodal emotion recognition (MER);multimodal unsupervised domain adaptation (UDA);multisource domain adaptation (MDA),Electroencephalography;Emotion recognition;Neural networks;Feature extraction;Data models;Training;Physiology;Correlation;Brain modeling;Adaptation models,,6,,40,IEEE,31 Dec 2024,Oct. 2025,,IEEE,IEEE Journals
Modeling Higher-Order Interactions in Sparse and Heavy-Tailed Neural Population Activity,U. Rodríguez-Domínguez; H. Shimazaki,"National Autonomous University of Mexico, 04510 Mexico City, Mexico; Graduate School of Informatics, Kyoto University, Kyoto 606-8501, Japan",Neural Computation,21 Oct 2025,2025,37,11,2011,2078,"Neurons process sensory stimuli efficiently, showing sparse yet highly variable ensemble spiking activity involving structured higher-order interactions. Notably, while neural populations are mostly silent, they occasionally exhibit highly synchronous activity, resulting in sparse and heavy-tailed spike-count distributions. However, its mechanistic origin—specifically, what types of nonlinear properties in individual neurons induce such population-level patterns—remains unclear. In this study, we derive sufficient conditions under which the joint activity of homogeneous binary neurons generates sparse and widespread population firing rate distributions in infinitely large networks. We then propose a subclass of exponential family distributions that satisfy this condition. This class incorporates structured higher-order interactions with alternating signs and shrinking magnitudes, along with a base-measure function that offsets distributional concentration, giving rise to parameter-dependent sparsity and heavy-tailed population firing rate distributions. Analysis of recurrent neural networks that recapitulate these distributions reveals that individual neurons possess threshold-like nonlinearity, followed by supralinear activation that jointly facilitates sparse and synchronous population activity. These nonlinear features resemble those in modern Hopfield networks, suggesting a connection between widespread population activity and the network’s memory capacity. The theory establishes sparse and heavy-tailed distributions for binary patterns, forming a foundation for developing energy-efficient spike-based learning machines.",0899-7667,,10.1162/neco.a.35,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11210441,,,,,,,CCBY,21 Oct 2025,10 Oct. 2025,,MIT Press,MIT Press Journals
An Affordable Robotic Manipulation Platform with Flexible Gripper and Vision for AI-Driven Control,I. Lopez-Juarez; K. I. Lopez-Valadez; R. Osorio-Comparan; L. A. Castillo-Barrientos; D. Arreguin-Jasso,"Mechatronics Department, Autonomous University of Yucatan (UADY), Merida, Mexico; Computer Systems Department, TecNM-Conkal, Merida, Mexico; DISCA IIMAS-UNAM, CDMX, Mexico; Consulting, IBM, Guadalajara, Mexico; Mechatronics Department, ITESM, Saltillo, Mexico","2025 IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)",20 Apr 2026,2025,,,1,5,"This paper presents the design and implementation of a low-cost, vision-guided robotic system for automated object recognition and manipulation. The platform integrates a MyCobot 280 Pi robotic arm with a custom 3D-printed, stepperactuated gripper featuring compliant TPU fingers. A fixed overhead camera provides real-time visual feedback, enabling HSV-based color segmentation and homographic transformation for accurate object localization within a $400 \text{mm} \times 400 \text{mm}$ workspace. Experimental results validate the system's ability to reliably detect, grasp, and relocate colored objects. Designed for flexibility and extensibility, the prototype supports research in AI-enhanced robotics, including one-shot learning with large language models (lLMs), tactile sensing, and closed-loop control strategies. Potential application areas include educational robotics, lab automation, light manufacturing, and AI-driven manipulation research.",2832-1537,979-8-3503-5736-3,10.1109/CHILECON66915.2025.11475973,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11475973,Robotic Manipulation;Flexible Gripper;Object Recognition;MyCobot 280 Pi;Computer Vision;Low-Cost Robotics,Payloads;Military aircraft;Space technology;Feeds;Feedback;Filtering;Circuits;Filters;Programmable logic arrays;Circuits and systems,,1,,6,IEEE,20 Apr 2026,28-30 Oct. 2025,28-30 Oct. 2025,IEEE,IEEE Conferences
Multimodal Semi-Supervised Domain Adaptation Using Cross-Modal Learning and Joint Distribution Alignment for Cross-Subject Emotion Recognition,M. Jiménez-Guarneros; G. Fuentes-Pineda; J. Grande-Barreto,"Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Information Technology Engineering, Universidad Politécnica de Puebla, Puebla, Mexico",IEEE Transactions on Instrumentation and Measurement,31 Mar 2025,2025,74,,1,12,"Multimodal physiological data from electroencephalogram (EEG) and eye movement (EM) signals have been shown to be useful in effectively recognizing human emotional states. Unfortunately, individual differences reduce the applicability of existing multimodal classifiers to new users, as low performance is usually observed. Indeed, existing works mainly focus on multimodal domain adaptation from a labeled source domain and unlabeled target domain to address the mentioned problem, transferring knowledge from known subjects to new one. However, a limited set of labeled target data has not been effectively exploited to enhance the knowledge transfer between subjects. In this article, we propose a multimodal semi-supervised domain adaptation (SSDA) method, called cross-modal learning and joint distribution alignment (CMJDA), to address the limitations of existing works, following three strategies: 1) discriminative features are exploited per modality through independent neural networks; 2) correlated features and consistent predictions are produced between modalities; and 3) marginal and conditional distributions are encouraged to be similar between the labeled source data, limited labeled target data, and abundant unlabeled target data. We conducted comparison experiments on two public benchmarks for emotion recognition, SEED-IV and SEED-V, using leave-one-out cross-validation (LOOCV). Our proposal achieves an average accuracy of 92.50%–96.13% across the three available sessions on SEED-IV and SEED-V, only including three labeled target samples per class from the first recorded trial.",1557-9662,,10.1109/TIM.2025.3551924,Universidad Nacional Autónoma de México (UNAM) Posdoctoral Program (POSDOC); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10929649,Deep learning;electroencephalogram (EEG);emotion recognition;eye movement (EM);multimodal semi-supervised domain adaptation (SSDA),Electroencephalography;Feature extraction;Emotion recognition;Proposals;Training;Magnetic heads;Knowledge transfer;Data mining;Brain modeling;Signal to noise ratio,,1,,38,IEEE,17 Mar 2025,2025,,IEEE,IEEE Journals
Finding ϵ-Locally Optimal Solutions for Multiobjective Multimodal Optimization,A. E. Rodriguez-Fernandez; L. Schäpermeier; C. Hernández; P. Kerschke; H. Trautmann; O. Schütze,"Department of Computer Science, CINVESTAV-IPN, Ciudad de Mexico, Mexico; Big Data Analytics in Transportation, Technische Universitat Dresde, Dresden, Germany; Ciencias de la computación, Universidad Nacional Autonoma de Mexico Instituto de Investigaciones en Matematicas Aplicadas y Sistemas, Ciudad de Mexico, Mexico; Big Data Analytics in Transportation, Technische Universitat Dresde, Dresden, Germany; Department of Machine Learning and Optimisation, University of Paderborn, Paderborn, Germany; Department of Computer Science, CINVESTAV-IPN, Ciudad de Mexico, Mexico",IEEE Transactions on Evolutionary Computation,10 Oct 2025,2025,29,5,2019,2031,"In this article, we address the problem of computing all locally optimal solutions of a given multiobjective problem whose images are sufficiently close to the Pareto front. Such  $\epsilon $ -locally optimal solutions are particularly interesting in the context of multiobjective multimodal optimization (MMO). To accomplish this task, we first define a new set of interest,  $L_{Q,\epsilon }$ , that is strongly related to the recently proposed set of  $\epsilon $ -acceptable solutions. Next, we propose a new unbounded archiver,  $ArchiveUpdateL_{Q,\epsilon }$ , aiming to capture  $L_{Q,\epsilon }$  in the limit. This archiver can in principle be used in combination with any multiobjective evolutionary algorithm (MOEA). Further, we equip numerous MOEAs with  $ArchiveUpdateL_{Q,\epsilon }$ , investigate their performances across several benchmark functions, and compare the enhanced MOEAs with their archive-free counterparts. For our experiments, we utilize the well-established metrics HV, IGDX, and  $\Delta _{p}$ . Additionally, we propose and use a new performance indicator,  $I_{\mathrm { EDR}}$ , which results in comparable performances but which is applicable to problems defined in higher dimensions (in particular in decision variable space).",1941-0026,,10.1109/TEVC.2024.3458855,European Research Center for Information Systems (ERCIS); CONAHCYT to pursue his Postdoc Fellowship at the CINVESTAV-IPN; Center for Scalable Data Analytics and Artificial Intelligence (ScaDS.AI) Dresden/Leipzig; Research Provided by UNAM’s Project PAPIIT(grant numbers:IA102923); CONAHCYT Project(grant numbers:CBF2023-2024-1463); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677365,Evolutionary computation;local solutions;multimodal optimization (MMO);multiobjective optimization,Optimization;Evolutionary computation;Approximation algorithms;Benchmark testing;Vectors;Surveys;Pareto optimization,,8,,79,IEEE,11 Sep 2024,Oct. 2025,,IEEE,IEEE Journals
Color Image Protection via Quantum Encryption and HVS-Based Mini-Block Data Hiding,L. Olvera-Martinez; M. Cedillo-Hernandez; C. Diaz-Rodriguez; L. Faustinos-Morales,"Instituto Politécnico Nacional Escuela Superior de Ingeniería, Mecánica y Eléctrica Unidad Culhuacan, CDMX, México; Instituto Politécnico Nacional Escuela Superior de Ingeniería, Mecánica y Eléctrica Unidad Culhuacan, CDMX, México; Instituto Politécnico Nacional Escuela Superior de Ingeniería, Mecánica y Eléctrica Unidad Culhuacan, CDMX, México; Universidad Nacional Autónoma de Mexico, CDMX, Mexico",2025 10th International Conference on Frontiers of Signal Processing (ICFSP),29 Jan 2026,2025,,,16,20,"With the growing demand for secure and efficient digital image processing, the integration of data hiding and encryption techniques has become essential to ensure both confidentiality and integrity of visual information. This paper proposes a hybrid approach that combines a low complexity steganographic scheme for binary and color images with a computationally efficient encryption technique inspired by quantum operators. In the data hiding component, an RGB channel of a color image is selected, and its least significant bit plane is extracted. This bit plane is then divided into suitable blocks, and HVS-based encoding tables are used to embed the information within these blocks, achieving high embedding capacity while preserving visual quality. In parallel, the encryption stage operates on color images and is based on a novel operator model that simulates quantum behaviors such as creation, exchange, and annihilation, enabling effective protection without requiring intensive mathematical processing. Experimental validation confirms the robustness of the combined approach through quality metrics such as PSNR, SSIM and entropy.",,979-8-3315-7442-0,10.1109/ICFSP67350.2025.11353827,Instituto Politécnico Nacional; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353827,Braided Quantum;Quantum Operators;Dynamic Matrices;Finite Fields,Visualization;Steganography;Signal processing algorithms;Color;Signal processing;Robustness;Real-time systems;Encryption;Data mining;Protection,,,,17,IEEE,29 Jan 2026,10-12 Sept. 2025,10-12 Sept. 2025,IEEE,IEEE Conferences
Ownership Authentication and Clinical Data Backup in DICOM Images via Robust Watermarking and Binary Data Hiding,A. A. Lopez-Martinez; E. Fragoso-Navarro; M. Cedillo-Hernandez; F. Garcia-Ugalde,"SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; Universidad Nacional Autonoma de Mexico, CDMX, Mexico",2025 10th International Conference on Frontiers of Signal Processing (ICFSP),29 Jan 2026,2025,,,32,36,"Medical information is very important and delicate due to its relevance in clinical diagnosis, treatments, research and other commercial and non-commercial applications of governmental and private organizations. Recent advances in information and communication technologies have transformed the paradigm of medical data management, but also introduced new risks related to unauthorized access, manipulation, and distribution. To solve part of these problems, this paper proposes a method that employs two information security levels based on robust watermarking and binary data hiding, respectively. Firstly, clinical data is embedded into a logo using binary data hiding. Then, this logo is inserted into the spatial domain of a medical image through block segmentation, statistical information, and convolutional encoding for ownership authentication. Experimental results demonstrate logo robustness against JPEG DICOM compression in conjunction with aggressive attacks like cropping and copy-move, using bit error rate as a metric. The imperceptibility has been measured via peak signal-to-noise ratio and structural similarity index metrics.",,979-8-3315-7442-0,10.1109/ICFSP67350.2025.11353575,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353575,Robust watermarking;Binary data hiding;DICOM imaging;Information security;Ownership authentication;Convolutional encoding,Measurement;Image coding;Bit error rate;Authentication;Transform coding;Information security;Watermarking;Robustness;DICOM;Medical diagnostic imaging,,,,17,IEEE,29 Jan 2026,10-12 Sept. 2025,10-12 Sept. 2025,IEEE,IEEE Conferences
