Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Development Of An Algorithm For Strength Training With Use Haptic Feedback And Artificial Intelligence (AI) Based Enhancement,E. A. Villegas-Jiménez; A. H. Bello-Guerrero; M. D. Padilla-Torres; L. N. Villagómez-Venegas; C. S. Chávez-Ramírez,"Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)",9 Apr 2026,2025,,,1,6,"The increasing popularity of the use of AI in everyday life has enabled the development of virtual systems for human assistance. This research proposes an implemented linear regression model with a vector of random weights, using a mean square error (MSE), based cost function and regularisation and corresponding Python code that integrates AI-based haptic feedback through vibration, specifically designed to optimise weight training.The results of the simulation model analysis show how key biomechanical parameters are identified and used to improve a person's posture by adjusting technique through real-time vibrational stimuli. The development of the system involves physical benefits such as injury prevention, continuous biomechanical monitoring, adaptive programme structuring and haptic vibration feedback for immediate movement correction. Popular and accurate tools for building linguistic models are mentioned, such as machine learning, computer vision and neural networks. Technological tools such as machine learning, computer vision and neural networks, applied to process biomechanical data and trigger personalised vibrational responses, are highlighted.",,979-8-3315-3559-9,10.1109/ICECET63943.2025.11472504,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11472504,AI;virtual coach;strength training;biomechanics;haptic feedback;python,Feedback;Circuits;Oscillators;Rectifiers;Internet of Things;Internet;Communication systems;Protocols;Telecommunication computing;Computer networks,,,,27,IEEE,9 Apr 2026,3-6 July 2025,3-6 July 2025,IEEE,IEEE Conferences
Ownership Authentication and Clinical Data Backup in DICOM Images via Robust Watermarking and Binary Data Hiding,A. A. Lopez-Martinez; E. Fragoso-Navarro; M. Cedillo-Hernandez; F. Garcia-Ugalde,"SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; SEPI ESIME Culhuacan, Instituto Politecnico Nacional, CDMX, Mexico; Universidad Nacional Autonoma de Mexico, CDMX, Mexico",2025 10th International Conference on Frontiers of Signal Processing (ICFSP),29 Jan 2026,2025,,,32,36,"Medical information is very important and delicate due to its relevance in clinical diagnosis, treatments, research and other commercial and non-commercial applications of governmental and private organizations. Recent advances in information and communication technologies have transformed the paradigm of medical data management, but also introduced new risks related to unauthorized access, manipulation, and distribution. To solve part of these problems, this paper proposes a method that employs two information security levels based on robust watermarking and binary data hiding, respectively. Firstly, clinical data is embedded into a logo using binary data hiding. Then, this logo is inserted into the spatial domain of a medical image through block segmentation, statistical information, and convolutional encoding for ownership authentication. Experimental results demonstrate logo robustness against JPEG DICOM compression in conjunction with aggressive attacks like cropping and copy-move, using bit error rate as a metric. The imperceptibility has been measured via peak signal-to-noise ratio and structural similarity index metrics.",,979-8-3315-7442-0,10.1109/ICFSP67350.2025.11353575,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353575,Robust watermarking;Binary data hiding;DICOM imaging;Information security;Ownership authentication;Convolutional encoding,Measurement;Image coding;Bit error rate;Authentication;Transform coding;Information security;Watermarking;Robustness;DICOM;Medical diagnostic imaging,,,,17,IEEE,29 Jan 2026,10-12 Sept. 2025,10-12 Sept. 2025,IEEE,IEEE Conferences
AMIND: An Asynchronous Middleware for Improving Neighborhood Discovery in Crowded Networks,J. J. Camacho-Escoto; F. García; O. Arana-Hernández; J. Gomez,"Department of Computing, National Autonomous University of Mexico, Mexico City, Mexico; Department of Telecommunications, National Autonomous University of Mexico, Mexico City, Mexico; Department of Telecommunications, National Autonomous University of Mexico, Mexico City, Mexico; Department of Telecommunications, National Autonomous University of Mexico, Mexico City, Mexico",IEEE Access,4 Oct 2024,2024,12,,140329,140338,"Neighbor discovery (ND) is crucial in deploying wireless sensor networks. Despite the considerable research on ND, most studies focus on networks composed of only two nodes. However, for cases in which more than two nodes are involved, the probability of collision increases, potentially preventing a node from discovering all its neighbors. This problem is especially aggravated for ND protocols that exhibit periodic behaviors that can lead to recurring collisions. This behavior is typical of deterministic ND protocols, in which its inherent operation forces regular on/off patterns and cyclical collisions. To address this problem, this paper introduces AMIND, a new middleware capable of disrupting the cyclic behavior of deterministic ND protocols. It achieves this goal by introducing random shifts in their operation, significantly increasing the number of nodes discovered compared to the existing ND protocols. As a result, AMIND allows a node to discover unknown neighbors after each shift. Simulation results show that the proposed middleware enhances node discoveries that previous ND protocols can achieve, even in scenarios with high collision rates.",2169-3536,,10.1109/ACCESS.2024.3466928,"Consejo Nacional de Humanidades, Ciencias y Tecnologías with the Grant Program “Ciencia de Frontera 2023”(grant numbers:CF-2023-I-2676); Universidad Nacional Autónoma de México (UNAM)-Programa de Apoyo a Proyectos de Investigación. e Inovación Tecnológica (PAPIIT)(grant numbers:IA102822,IN109624); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10690259,Neighbor discovery;neighborhood;middleware;collisions,Protocols;Middleware;Proposals;Schedules;Urban areas;Synchronization;Energy efficiency;Wireless sensor networks;Nearest neighbor methods,,1,,36,CCBYNCND,24 Sep 2024,2024,,IEEE,IEEE Journals
Detection of DoS and DDoS Attacks Using LSTM in Computer Networks: A Systematic Literature Review,A. E. Godínez; J. L. Garza Rivera; D. T. Varela,"CDMX, Universidad Da Vinci, México; CDMX, Universidad Da Vinci, México; Facultad de Estudios Superiores Cuautitlán, Universidad Nacional Autónoma de México, Cuautitlan Izcalli, México",2025 IEEE Latin American School on Computational Intelligence and Robotics (SAIBOT),22 Jan 2026,2025,,,94,102,"Artificial Intelligence (AI), with machine learning (ML) models and deep learning (DL) neural networks, represents a possibility for detecting DoS/DDoS attacks more effectively. The LSTM (Long Short-Term Memory) model is one of the options for detecting these increasingly varied and sophisticated attacks. The objective of this research was to evaluate the application of the LSTM model in the detection of DoS and DDoS cyber attacks on communications networks. This research was designed as a Systematic Literature Review to obtain the most recent studies on the subject. As a result, 86 initial studies were obtained from the databases. Once the entire procedure, including the quality assessment of the studies, was completed, 15 final primary studies were selected. With these primary studies, it was possible to answer all the questions in the review. It should be noted that modern SDN (Software Defined Network) networks, Cloud Computing networks, and classic networks are threatened by this type of attack. The LSTM models applied in the detection of DoS/DDoS attacks can be hybrid or combined. The most commonly used evaluation metrics are Accuracy, Recall, Precision, and F1-Score, and the most frequently found public datasets include NSL-KDD, CICDoS2019, and CICIDS2017. A wide variety of LSTM-based models and approaches that can be used to experiment and compare their performance in terms of communications network security.",,979-8-3315-8719-2,10.1109/SAIBOT67519.2025.00021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11344499,Long short term memory;Systematic literature review;Machine learning;Denial-of-service attack;Network security,Measurement;Computational modeling;Denial-of-service attack;NSL-KDD;Market research;Communication networks;Software defined networking;Long short term memory;Cyberattack;Systematic literature review,,,,21,IEEE,22 Jan 2026,28-31 Oct. 2025,28-31 Oct. 2025,IEEE,IEEE Conferences
Self-Tuning Model for Energy-Context Optimization in Perpetual Sensor Nodes Within IoT-Integrated Hydroponic Systems,A. Hernández-Benítez; J. Vázquez-Castillo; J. J. Estrada-López; G. Becerra-Nunez; N. Cólin-García; A. Castillo-Atoche,"Faculty of Engineering, Autonomous University of Yucatan, Mérida, Mexico; Engineering Department, Autonomous University of Quintana Roo, Chetumal, Mexico; Faculty of Mathematics, Autonomous University of Yucatan, Mérida, Mexico; Engineering Department, Autonomous University of Quintana Roo, Chetumal, Mexico; Molecular and Cell Biology Lab, National School of Higher Studies, National Autonomous University of Mexico, Mexico City, Mexico; Faculty of Engineering, Autonomous University of Yucatan, Mérida, Mexico",IEEE Embedded Systems Letters,28 Aug 2024,2024,16,3,267,270,"Hydroponic farming is a promising alternative to soil-based farming. However, it requires a precise control of the growth environment, which is hard to achieve with energy-constrained embedded systems. This letter presents an energy optimization technique for the continuous operation of energy harvesting-based hydroponics sensor nodes. The proposed technique is based on the self-tuning model, that dynamically adjust the duty cycle of the node, ensuring the autonomous operation of the Internet of Things system. The model can be programmed in a low-power microcontroller, allowing the decision-making process to reside entirely on the sensor node. Experimental results show that in the same time period, the self-tuning model allows  $3.5\times $  more data transmissions than a uniform 5-min duty cycle, while ensuring a minimum voltage level in the storage device. This balance allows the stored energy to be enough for continuous monitoring, providing a clean and cost-effective alternative to perpetually power the hydroponic system.",1943-0671,,10.1109/LES.2024.3387310,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10496466,Embedded sensor networks;hydroponics;low-power design;self-tuning model;wireless sensor nodes,Hydroponics;Optimization;Voltage measurement;Supercapacitors;Temperature measurement;Sensors;Energy harvesting,,4,,13,IEEE,10 Apr 2024,Sept. 2024,,IEEE,IEEE Journals
Energy Analysis of a Broadcast MAC Protocol for IEEE 802.11bc Enhanced Broadcast Services,A. Boujnoui; J. J. C. Escoto; J. Gómez; L. Orozco-Barbosa; A. Haqiq,"Department of Mathematics, MASD Group, LMPA Laboratory, Faculty of Sciences and Technology, Moulay Ismail University of Meknes, Errachidia, Morocco; Department of Computer Engineering, National Autonomous University of Mexico, Mexico; Department of Telecommunications Engineering, National Autonomous University of Mexico, Mexico; Albacete Research Institute of Informatics, Universidad de Castilla-La Mancha, Albacete, Spain; Faculty of Sciences and Techniques, Computer, Networks, Mobility and Modeling Laboratory: IR2M, Hassan First University of Settat, Settat, Morocco",2025 14th IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks (PEMWN),29 Dec 2025,2025,,,1,6,"In this paper, we conduct an energy consumption analysis of a broadcast access mechanism over IEEE 802.11 networks. By assuming non-saturated conditions, we provide a statistical model of the energy consumed during one cycle period, defined as the duration between two successful broadcast transmissions. The model includes a characterization of the medium access transmission mechanism. Our results show that the broadcast protocol is a good candidate to be included in future amendments of the IEEE 802.11 standard.",,978-3-903176-76-8,10.23919/PEMWN67312.2025.11304070,European Regional Development Fund; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11304070,Energy consumption;Broadcast;Unicast;DCF;Markov model,Performance evaluation;Energy consumption;Analytical models;Protocols;Unicast;Wireless networks;Media Access Control;IEEE 802.11 Standard,,,,8,,29 Dec 2025,25-27 Nov. 2025,25-27 Nov. 2025,IEEE,IEEE Conferences
ODIF: Optimum Duty Cycle Selection Using Indirect Feedback for Neighborhood-Discovery in Crowded Scenarios,J. J. Camacho-Escoto; J. Gomez; L. Orozco-Barbosa,"Department of Computer Engineering, National Autonomous University of Mexico, Mexico City, Mexico; Department of Telecommunications Engineering, National Autonomous University of Mexico, Mexico City, Mexico; Albacete Research Institute of Informatics, Universidad de Castilla-La Mancha, Albacete, Spain",IEEE Open Journal of the Communications Society,24 Oct 2025,2025,6,,8851,8864,"A significant amount of research has focused on minimizing the time it takes for two nodes to discover each other when operating in on-off states to conserve energy, a process known as neighbor discovery. However, less attention has been paid to the related issue of neighborhood-discovery, which involves multiple nodes attempting to find each other. We consider the latter problem to be quite relevant, especially with the increasing popularity of networks made up of multiple IoT devices. This issue is more complex because the likelihood of collisions increases with a greater number of nodes and as the time nodes remain awake (duty cycle) extends. The method we propose, called ODIF, uses indirect feedback (collisions and no-encounters) to estimate the number of nodes and employs a dynamic duty cycle algorithm to minimize either latency or energy expenditure during neighborhood-discovery. We compare ODIF with a randomized discovery protocol (referred to as Plain) and two other similar methods found in the existing literature. It was found that ODIF significantly reduces the neighbor discovery latency (or the expected number of attempts) compared to the baseline randomized neighbor discovery protocol for most values of the duty cycle. Similarly, ODIF achieved neighborhood-discovery 1 to 10 times faster for high node densities compared to similar protocols.",2644-125X,,10.1109/OJCOMS.2025.3620270,"Secretaría de Ciencia, Humanidades, Tecnología e Innovación(grant numbers:CF-2023-I-2676); UNAM-PAPIIT(grant numbers:IN105625,IA104925); Spanish Ministry of Science, Education and Universities, the European Regional Development Fund and the State Research Agency(grant numbers:PID2021-123627OB-C52); Seed Capital Program to Support Research and Technological Development Projects Carried Out by Young Academics (CAPSEM I+D) 2025; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11204502,Adaptive algorithms;duty cycling;energy efficiency;latency minimization;neighbor discovery;network optimization;randomized protocols;wireless networks,Protocols;Energy consumption;Measurement;Power demand;Urban areas;Synchronization;Physical layer;Heuristic algorithms;Hands;Energy conservation,,,,31,CCBY,15 Oct 2025,2025,,IEEE,IEEE Journals
Consistent IoT Systems: A Perspective Based on Paraconsistent Descriptive Logic,M. Pérez-Gaspar; J. Gomez; E. Bárcenas; F. García,"Dept. of Telecommunications, UNAM, Mexico City, Mexico; Dept. of Telecommunications, UNAM, Mexico City, Mexico; Department of Computer Engineering, UNAM, Mexico City, Mexico; Dept. of Telecommunications, UNAM, Mexico City, Mexico",2024 International Conference on Intelligent Environments (IE),23 Jul 2024,2024,,,101,104,"Internet of Things (IoT) devices generate vast and often contradictory data streams. This poses a challenge for IoT systems, which must make accurate and reliable decisions based on this data. Paraconsistent descriptive logic (PDL) is a branch of non-classical logic that can handle inconsistencies without compromising data reliability. We propose the integration of PDL into IoT systems to improve data coherence and reliability. We also introduce a Consistency Theorem that establishes rules for managing inconsistencies systematically and in a controlled way. Our efforts aim to pave the way for more robust, reliable, and user-friendly IoT systems.",2472-7571,979-8-3503-8679-0,10.1109/IE61493.2024.10599925,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10599925,Internet of Things;data inconsistency;paracon-sistent logic;consistency theorem,Accuracy;Coherence;Reliability theory;Internet of Things;Logic;Streams,,,,8,IEEE,23 Jul 2024,17-20 June 2024,17-20 June 2024,IEEE,IEEE Conferences
WiFi-CSI Sensing for Human Presence and Machine Activity in Industrial Environments,E. De Armas; G. Díaz; I. Sobron; J. M. Matías; I. Eizmendi,"UNAM: Dept. Telecommunications, Mexico City, Mexico; UPV/EHU: Dept. Communication Engineering, Bilbao, Spain; UPV/EHU: Dept. of Computer Languages and Systems, Bilbao, Spain; UNAM: Dept. Telecommunications, Mexico City, Mexico; UPV/EHU: Dept. Communication Engineering, Bilbao, Spain",2025 IEEE 21st International Conference on Factory Communication Systems (WFCS),16 Jul 2025,2025,,,1,8,"The fields of human presence detection (HPD) and people counting (PC) from WiFi-Channel State Information (CSI) represent constantly evolving areas of research within the scientific community. This study aims to expand the research frontiers by exploring the application of HPD and PC in an industrial environment characterized by its considerable dimensions, the presence of obstacles and machines, and harsh propagation channel conditions. Using a convolutional neural network (CNN) incorporating CSI measurements, we demonstrated the ability to distinguish between human presence and industrial machine activity with the same model, achieving an accuracy of over 99%. In addition, a study was conducted to count up to three people, even when machines were on, with an accuracy of over 92%. Another experiment was conducted with the objective of assessing not only the feasibility of PC in a naturally challenging environment but also the impact of the WiFi channel bandwidth in this particular application. The results of this study highlight the potential of WiFi-CSI sensing to address a significant challenge in human activity detection and estimation: its application in industrial environments.",2835-8414,979-8-3315-3005-1,10.1109/WFCS63373.2025.11077659,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11077659,WiFi sensing;channel state information;human presence detection;people counting;deep learning;industrial environments,Productivity;Legged locomotion;Accuracy;Bandwidth;Production facilities;Sensors;Safety;Convolutional neural networks;Wireless fidelity;Testing,,1,,32,IEEE,16 Jul 2025,10-13 June 2025,10-13 June 2025,IEEE,IEEE Conferences
Towards Adaptive and Safe Human-Robot Collaboration: a Multimodal Ai Framework for Cross-Domain Cobot Integration,G. Lefranc; G. Schleyer; R. O. -C. IIMAS; I. López-Juárez,"Facultad de Ingeniería, Pontificia Universidad, Católica de Valparáiso, Valparaíso, Chile; Instituto de Electricidad y, Electrónica. Facultad de, Ciencias, Universidad Austral; >IIMAS Universidad Autónoma de México UNAM, México DF, México; Robotics and Advanced, Manufacturing, CINVESTAV, Saltillo, Coah. México","2025 IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)",20 Apr 2026,2025,,,1,6,"This article presents the integration of advanced artificial intelligence algorithms applied to collaborative robots (cobots) in five strategic sectors: underground mining, geriatric medicine, precision agriculture, port logistics, and highprecision manufacturing. It proposes the use of Graph Convolutional Neural Networks (Graph-CNNs) to model spatiotemporal motion; Multimodal Transformers to fuse heterogeneous sensor data; Soft Actor-Critic with Constrained Policy Optimization (SAC-RCPO) for safe and adaptive control; and TactileGAN to generate realistic haptic feedback. Within this framework, multimodal AI improves operational efficiency, task accuracy, and the quality of human-robot interaction. In practice, it contributes to risk reduction in hazardous environments such as mining and logistics, improves accuracy in agricultural and manufacturing tasks, and fosters greater acceptance among older adults in healthcare settings. A review of existing literature and simulations in agriculture and mining confirms performance improvements and supports the feasibility of integrating algorithms into collaborative robotic systems.",2832-1537,979-8-3503-5736-3,10.1109/CHILECON66915.2025.11476290,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11476290,Collaborative robots;Human-robot interaction;Multimodal AI;Graph-CNN;SAC-RCPO;TactileGAN,Radio broadcasting;Frequency modulation;Feedback;Circuits;Communications technology;Information and communication technology;Internet of Things;Communication systems;Internet;Modulation,,,,,IEEE,20 Apr 2026,28-30 Oct. 2025,28-30 Oct. 2025,IEEE,IEEE Conferences
