Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Towards Robotic Object Recognition and Pick and Place: A Simulation-Based Approach with the KUKA KR5 HW-2,R. Osorio-Camparán; L. E. Fernández-Ávila; I. López-Juárez; M. Peña; C. Ahumada; G. Lefranc,"IIMAS UNAM, Universidad Nacional Autónoma de México, Ciudad de México, México; Facultad de Ingeniería, Mecatrónica, Universidad Nacional Autónoma de México, Ciudad de México, México; CINVESTAV, Saltillo, Coah. México, Universidad Autónoma de Yucatán, Mérida, México; IIMAS UNAM, Universidad Nacional Autónoma de México, Ciudad de México, México; Depto.. Electrotecnia e Informática, Universidad Técnica Federico Santa María, Valparaíso, Chile; Facultad de Ingeniería, Pontificia Universidad Católica de, Valparaíso, Chile",2024 IEEE International Conference on Automation/XXVI Congress of the Chilean Association of Automatic Control (ICA-ACCA),29 Nov 2024,2024,,,1,6,"This paper presents a simulation-based approach to robotic object recognition and rearrangement using the KUKA KR5 HW-2 manipulator. The research focuses on developing and implementing advanced algorithms for object detection, classification, and manipulation within a virtual environment. The KUKA KR5 HW-2, a versatile industrial robot, is modelled in the simulation to perform complex pick and place operations. It emphasizes the integration of computer vision techniques with the robot’s kinematic model to enhance its ability to recognize various object geometries and efficiently plan rearrangement tasks. The simulation environment allows for rapid prototyping and testing of different scenarios, enabling the optimization of trajectory planning and grip strategies. Our results demonstrate significant improvements in the manipulator’s adaptability to diverse object types and arrangement patterns. This work contributes to the advancement of flexible automation in manufacturing and logistics, offering insights into the potential of simulation-based development for robotic manipulation tasks.",,979-8-3503-7811-5,10.1109/ICA-ACCA62622.2024.10766797,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10766797,robotic manipulation;object recognition;simulation;Kuka kr5 arc hw-2;URDF;Moveit!;Kinect 2.0;Vision System,Service robots;Trajectory planning;Virtual environments;Object detection;Rapid prototyping;Manipulators;Manufacturing;Object recognition;Optimization;Testing,,,,0,IEEE,29 Nov 2024,20-23 Oct. 2024,20-23 Oct. 2024,IEEE,IEEE Conferences
Development Of An Algorithm For Strength Training With Use Haptic Feedback And Artificial Intelligence (AI) Based Enhancement,E. A. Villegas-Jiménez; A. H. Bello-Guerrero; M. D. Padilla-Torres; L. N. Villagómez-Venegas; C. S. Chávez-Ramírez,"Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)",9 Apr 2026,2025,,,1,6,"The increasing popularity of the use of AI in everyday life has enabled the development of virtual systems for human assistance. This research proposes an implemented linear regression model with a vector of random weights, using a mean square error (MSE), based cost function and regularisation and corresponding Python code that integrates AI-based haptic feedback through vibration, specifically designed to optimise weight training.The results of the simulation model analysis show how key biomechanical parameters are identified and used to improve a person's posture by adjusting technique through real-time vibrational stimuli. The development of the system involves physical benefits such as injury prevention, continuous biomechanical monitoring, adaptive programme structuring and haptic vibration feedback for immediate movement correction. Popular and accurate tools for building linguistic models are mentioned, such as machine learning, computer vision and neural networks. Technological tools such as machine learning, computer vision and neural networks, applied to process biomechanical data and trigger personalised vibrational responses, are highlighted.",,979-8-3315-3559-9,10.1109/ICECET63943.2025.11472504,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11472504,AI;virtual coach;strength training;biomechanics;haptic feedback;python,Feedback;Circuits;Oscillators;Rectifiers;Internet of Things;Internet;Communication systems;Protocols;Telecommunication computing;Computer networks,,,,27,IEEE,9 Apr 2026,3-6 July 2025,3-6 July 2025,IEEE,IEEE Conferences
Deep Learning-based Echocardiography Enhancement: Reducing Speckle Noise and Improving Temporal Resolution,G. Carcedo-Rodríguez; B. Vazquez; J. Perez-Gonzalez; N. Hevia-Montiel,"Master Program in Computer Science and Engineering, Universidad Nacional Autónoma de México, Mérida, Yucatán, México; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Unidad Académica en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, Yucatán, México; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Unidad Académica en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, Yucatán, México; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Unidad Académica en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, Yucatán, México",2025 21st International Symposium on Biomedical Image Processing and Analysis (SIPAIM),18 Dec 2025,2025,,,1,5,"Ultrasound is widely used in medical imaging due to its accessibility and cost-effectiveness. This paper presents a Deep Learning-based approach for enhancing echocardiographic imaging by addressing two challenges: speckle noise reduction and temporal resolution improvement. For denoising task, we propose the SE-U-Net model, while for temporal enhancement we employ Real-Time Intermediate Flow Estimation for frame interpolation. Multiple datasets were used for training, validation, and testing of both models. The proposed pipeline was applied in high heart rate murine models to enhance relevant information. In final evaluation, the denoising model achieved SSIM=0.99 and PSNR=38.27dB, indicating effective contrast enhancement, preservation of homogeneous regions, and reduction of small artifacts. The interpolation model, on the other hand, achieved SSIM=0.87 and PSNR=33.23dB, enabling the increase of ultrasound temporal resolution from 37 to 296 frames per second without losing image quality.",,979-8-3315-5456-9,10.1109/SIPAIM67325.2025.11283395,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11283395,,Heart rate;Training;Interpolation;Ultrasonic imaging;Noise reduction;Pipelines;Noise;Speckle;Spatial resolution;Testing,,,,14,IEEE,18 Dec 2025,18-21 Nov. 2025,18-21 Nov. 2025,IEEE,IEEE Conferences
Convolutional Neural Network Trained with Heatmaps for Segmentation and Measurement of the Femur in Fetal Ultrasound,J. C. A. Ortíz; F. A. Cosío; J. Pérez-González; N. O. C. Díaz; R. V. Cristerna; V. M. Bañuelos; L. C. Marín; M. G. Huerta,"Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, México; Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, México; Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, México; Laboratorio de Investigación en Neuroimagenología, Universidad Autónoma Metropolitana Unidad Iztapalapa, Ciudad de México, México; Laboratorio de Investigación en Neuroimagenología, Universidad Autónoma Metropolitana Unidad Iztapalapa, Ciudad de México, México; Laboratorio de Investigación en Neuroimagenología, Universidad Autónoma Metropolitana Unidad Iztapalapa, Ciudad de México, México; Departamento de Obstetricia, Instituto Nacional de Perinatología, Ciudad de México, México; Departamento de Obstetricia, Instituto Nacional de Perinatología, Ciudad de México, México",2025 21st International Symposium on Biomedical Image Processing and Analysis (SIPAIM),18 Dec 2025,2025,,,1,5,"Fetal femur length measurement via ultrasound, alongside abdominal circumference, biparietal diameter, and cranial circumference assessments, are key components of prenatal screening, as they enable the estimation of fetal weight and the evaluation of intrauterine development. Currently, this procedure still heavily relies on manual intervention by expert radiologists or sonographers, who must identify anatomical landmarks to perform the measurements. This dependence on specialized human expertise limits diagnostic accessibility in remote areas far from major urban centers. In this work, we propose a novel convolutional neural network trained on binary masks and heatmaps of femur endpoints. The model achieves robust performance, segmenting the femur with an 88% Dice coefficient, and measuring its length with only a 2.515% error margin. This work is part of a broader machine learning based system for fetal weight estimation, aiming to expand diagnostic capabilities to healthcare centers with limited human resources.",,979-8-3315-5456-9,10.1109/SIPAIM67325.2025.11283319,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11283319,,Heating systems;Ultrasonic imaging;Ultrasonic variables measurement;Measurement uncertainty;Estimation;Medical services;Manuals;Biomedical measurement;Length measurement;Convolutional neural networks,,,,12,IEEE,18 Dec 2025,18-21 Nov. 2025,18-21 Nov. 2025,IEEE,IEEE Conferences
"Deep Learning Approach for Aortic Valve Localization, Detection and Segmentation in Computed Tomography Volumes",R. O. Azuara-Domínguez; J. Olveres; B. Escalante-Ramírez; E. Vallejo,"Posgrado de Ingeniería Eléctrica, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Centro Médico ABC, Mexico city, Mexico",2025 IEEE 38th International Symposium on Computer-Based Medical Systems (CBMS),4 Jul 2025,2025,,,1,4,"Standard view cardiac computed tomography (CT) images are of great importance in clinical practice due to the valuable diagnostic information they provide. However, navigating these (3D) medical images to identify such a view can represent a time-consuming process, subject to inter-operator variability. This study presents an approach using a Multiscale Vision Transformer (MViT) to infer the rotation parameters required to obtain standard views and subsequently focus on extracting the left ventricular outflow tract (LVOT) view. Once this view is obtained, the aortic valve is detected and segmented using well-known convolutional neural networks (CNNs), specifically ResNet18 for detection and U-Net for segmentation. The methodology used for its training is detailed, along with the metrics employed to evaluate their performance. Finally, the results obtained for each stage are presented. This approach provides a clear understanding of the performance of each model, from rotation parameter prediction to aortic valve detection and segmentation.",2372-9198,979-8-3315-2610-8,10.1109/CBMS65348.2025.00063,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058708,3D volume Cardiac CT;Deep Learning;Regression;Segmentation;Rotation matrix;Attention,Deep learning;Image segmentation;Three-dimensional displays;Computed tomography;Computational modeling;Pipelines;Predictive models;Valves;Data models;Standards,,,,12,IEEE,4 Jul 2025,18-20 June 2025,18-20 June 2025,IEEE,IEEE Conferences
MMDA: A Multimodal and Multisource Domain Adaptation Method for Cross-Subject Emotion Recognition From EEG and Eye Movement Signals,M. Jiménez-Guarneros; G. Fuentes-Pineda; J. Grande-Barreto,"Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Ciudad de México, Mexico; Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Coyoacán, Ciudad de México, Mexico; Information Technology Engineering, Universidad Politécnica de Puebla, Cuanalá, Puebla, Mexico",IEEE Transactions on Computational Social Systems,7 Oct 2025,2025,12,5,2214,2227,"Multimodal emotion recognition from electroencephalogram (EEG) and eye movement signals has shown to be a promising approach to provide more discriminative information about human emotional states. However, most current works rely on a subject-dependent approach, limiting their applicability to new users. Recently, some studies have explored multimodal domain adaptation to address the mentioned issue by transferring information from known subjects to new ones. Unfortunately, existing methods are still exposed to negative transfer as a suboptimal distribution alignment is performed between subjects, while irrelevant information is not discarded. In this article, we present a multimodal and multisource domain adaptation (MMDA) method, which adopts the following three strategies: 1) marginal and conditional distribution alignments must be performed between each known subject and a new one; 2) relevant distribution alignments must be prioritized to avoid a negative transfer; and 3) modality fusion results should be improved by extracting more discriminative features from EEG signals and selecting relevant features across modalities. Our proposed method was evaluated with leave-one-subject-out cross validation on four public datasets: SEED, SEED-GER, SEED-IV, and SEED-V. Experimental results show that our proposal outperforms state-of-the-art results for each dataset when subject data from different sessions are combined into a single dataset. Moreover, MMDA exceeds the state of the art in 8 out of 11 different sessions when each session is evaluated.",2329-924X,,10.1109/TCSS.2024.3519300,UNAM Posdoctoral Program (POSDOC); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10819285,Deep learning;electroencephalogram (EEG);eye movement (EM);multimodal emotion recognition (MER);multimodal unsupervised domain adaptation (UDA);multisource domain adaptation (MDA),Electroencephalography;Emotion recognition;Neural networks;Feature extraction;Data models;Training;Physiology;Correlation;Brain modeling;Adaptation models,,6,,40,IEEE,31 Dec 2024,Oct. 2025,,IEEE,IEEE Journals
Deep learning for Chagas disease: YOLOv8-based automatic detection of amastigote nests,D. Sosa; B. Vázquez; N. Hevia-Montiel,"Ingeniería en Robótica Computacional, Universidad Politécnica de Yucatán, Mérida, Yucatán, Mexico; Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, Yucatán, Mexico; Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en el Estado de Yucatán, Universidad Nacional Autónoma de México, Mérida, Yucatán, Mexico",2025 21st International Symposium on Biomedical Image Processing and Analysis (SIPAIM),18 Dec 2025,2025,,,1,5,"Chagas disease, caused by the Trypanosoma cruzi parasite, remains a global public health problem, with cases reported even outside its traditional endemic areas. Its primary clinical manifestation occurs at the cardiac level, characterized by the formation of amastigote nests. This work presents a deep learning algorithm for automatic detection of amastigote nests in cardiac histopathological images obtained from a murine model. For the nests’ detection, a YOLOv8-based architecture was trained on histological images performing a 5-fold cross-validation, while the final tests were carried out with data unseen by the YOLOv8 from four image groups of different post-infection days. In training stage, YOLOv8 achieved 97.9% in accuracy, 98.6±0.3% in precision, and 97.2±0.8% in recall, while in the final test, the best result identified was 78.6% in accuracy, 76.4% in precision, and 81.1% in recall on images at 100× magnification. These metrics reveal the model’s ability to generalize well and its high sensitivity to unseen data. The results of this study show that the proposed algorithm is capable of identifying amastigote nests, which may be useful in clinical areas to understand the damage caused by Trypanosoma cruzi infection.",,979-8-3315-5456-9,10.1109/SIPAIM67325.2025.11283341,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11283341,Chagas disease;YOLOv8;deep learning;computer vision;object detection;biomedical imaging,Deep learning;Training;Computer vision;Accuracy;Sensitivity;Histopathology;Computer architecture;Object detection;Public healthcare;Diseases,,,,15,IEEE,18 Dec 2025,18-21 Nov. 2025,18-21 Nov. 2025,IEEE,IEEE Conferences
Automatic Segmentation of the Left Ventricle Through the Cardiac Cycle in Pediatric Echocardiography Videos Using SegFormer Architecture,M. Mateu; J. Olveres; B. Escalante-Ramírez; M. -J. Raboisson; J. Miró; L. Duong,"Department of Software and IT, École de Technologie Supérieure, Montreal, Canada; Department of Electrical Engineering, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Electrical Engineering, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Cardiology, Centre Hospitalier Universitaire Sainte-Justine, Montreal, Canada; Department of Cardiology, Centre Hospitalier Universitaire Sainte-Justine, Montreal, Canada; Department of Software and IT, École de Technologie Supérieure, Montreal, Canada",2025 47th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),3 Dec 2025,2025,,,1,5,"Echocardiography generates real-time results, aiding in examination and diagnosis. It is widely used for detecting congenital heart disease (CHD), evaluating risk, and guiding treatment strategies in pediatric cardiology. However, the complexity of these images makes their interpretation and analysis challenging, often leading to inter-observer variability. This research aims to develop an automated left ventricle (LV) segmentation method throughout the full cardiac cycle for pediatric echocardiography videos using a semantic Transformer model known as SegFormer. The goal is to support the analysis of clinical imaging techniques. In recent years, semantic Transformers have demonstrated significant effectiveness in segmentation tasks, making them highly suitable choice for this application. To achieve accurate LV segmentation through the cardiac cycle, the SegFormer model is trained using the EchoNet-Peds dataset, which consists of annotated pediatric echocardiography videos. The initial training phase includes segmenting the left ventricle images at the end of systole and the end of diastole, with performance evaluated based on accuracy, mean absolute error (MAE), recall and Dice score metrics to compare with other pediatric segmentation methods. As a final result, this research produces segmented left ventricle videos throughout the cardiac cycle for different pediatric echocardiography videos.Clinical RelevanceBy applying a semantic Transformer to pediatric echocardiography for automated LV segmentation, the quantification of key cardiac parameters such as ejection fraction, end of diastole, and end of systole is improved, leading to greater accuracy and providing more valuable information for medical staff. Consequently, a tool capable of efficiently processing large volumes of data can significantly facilitate and support the diagnosis process for pediatric patients",2694-0604,979-8-3315-8618-8,10.1109/EMBC58623.2025.11253506,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11253506,,Heart;Measurement;Image segmentation;Accuracy;Echocardiography;Semantics;Computer architecture;Transformers;Videos;Diseases,"Humans;Heart Ventricles;Echocardiography;Child;Algorithms;Image Processing, Computer-Assisted;Automation;Video Recording",,,17,IEEE,3 Dec 2025,14-18 July 2025,14-18 July 2025,IEEE,IEEE Conferences
Multimodal Semi-Supervised Domain Adaptation Using Cross-Modal Learning and Joint Distribution Alignment for Cross-Subject Emotion Recognition,M. Jiménez-Guarneros; G. Fuentes-Pineda; J. Grande-Barreto,"Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas (IIMAS), Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Department of Information Technology Engineering, Universidad Politécnica de Puebla, Puebla, Mexico",IEEE Transactions on Instrumentation and Measurement,31 Mar 2025,2025,74,,1,12,"Multimodal physiological data from electroencephalogram (EEG) and eye movement (EM) signals have been shown to be useful in effectively recognizing human emotional states. Unfortunately, individual differences reduce the applicability of existing multimodal classifiers to new users, as low performance is usually observed. Indeed, existing works mainly focus on multimodal domain adaptation from a labeled source domain and unlabeled target domain to address the mentioned problem, transferring knowledge from known subjects to new one. However, a limited set of labeled target data has not been effectively exploited to enhance the knowledge transfer between subjects. In this article, we propose a multimodal semi-supervised domain adaptation (SSDA) method, called cross-modal learning and joint distribution alignment (CMJDA), to address the limitations of existing works, following three strategies: 1) discriminative features are exploited per modality through independent neural networks; 2) correlated features and consistent predictions are produced between modalities; and 3) marginal and conditional distributions are encouraged to be similar between the labeled source data, limited labeled target data, and abundant unlabeled target data. We conducted comparison experiments on two public benchmarks for emotion recognition, SEED-IV and SEED-V, using leave-one-out cross-validation (LOOCV). Our proposal achieves an average accuracy of 92.50%–96.13% across the three available sessions on SEED-IV and SEED-V, only including three labeled target samples per class from the first recorded trial.",1557-9662,,10.1109/TIM.2025.3551924,Universidad Nacional Autónoma de México (UNAM) Posdoctoral Program (POSDOC); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10929649,Deep learning;electroencephalogram (EEG);emotion recognition;eye movement (EM);multimodal semi-supervised domain adaptation (SSDA),Electroencephalography;Feature extraction;Emotion recognition;Proposals;Training;Magnetic heads;Knowledge transfer;Data mining;Brain modeling;Signal to noise ratio,,1,,38,IEEE,17 Mar 2025,2025,,IEEE,IEEE Journals
Fast Taylor-Fourier Transform for Monitoring Modern Power Grids With Real-Time Dynamic Harmonic Estimation,J. A. d. l. O. Serna; A. Zamora-Mendez; G. E. Mejia-Ruiz; M. R. A. Paternina; D. Dotta; L. Lugnani; M. Garcia; P. R. D. R. Silva,"Department of Electrical Engineering, Autonomous University of Nuevo Leon, Monterrey, NL, Mexico; Electrical Engineering Faculty, State University of Michoacan, Morelia, Mexico; Electrical Engineering-Power Systems, Universidad Nacional Autónoma de México, Mexico, Mexico; Department of Electrical Engineering, Universidad Nacional Autónoma de México, Mexico, Mexico; Department of Electrical Engineering, University of Campinas, Campinas, Brazil; Department of Electrical Engineering, University of Campinas, Campinas, Brazil; Department of Electrical Engineering, University of Campinas, Campinas, Brazil; Department of Electrical Engineering, University of Campinas, Campinas, Brazil",IEEE Transactions on Power Delivery,24 Jul 2024,2024,39,4,2242,2252,"This paper proposes the FTFT for the real-time monitoring of modern power grids through dynamic harmonic estimations. The FTFT results from the DTTFT implemented with the FFT, instead of its filter bank implementation. In FTFT, the harmonic Taylor-Fourier coefficients are obtained in batch, and from these complex coefficients, estimates of frequency, amplitude, and RoCoF are obtained. The FTFT is embedded in two low-cost platforms, one consisting of a digital signal processor (DSP) coded using C programming language, and a development PMU (D-PMU); where a computationally efficient calculation of the FTFT is coded in both platforms. Both platforms process instantaneous voltage and current signals, rendering phasor and harmonic estimates as if they were extracted by the impulse response of a set of FIR filters and their first and second differentiators of the DTTFT. The phasor and harmonic estimations are accomplished using a sliding window that updates sample by sample, instantaneously providing amplitude, phase, frequency, and RoCoF estimations at the fundamental and harmonic frequencies with a high reporting rate. Experimental results confirm the proposition's performance, precision, and effectiveness under steady-state conditions, sudden changes, and harmonic analysis.",1937-4208,,10.1109/TPWRD.2024.3400157,"Consejo Nacional de Humanidades, Ciencias y Tecnologías(grant numbers:CF-2023-I-1174); Ciencia de Frontera 2023; Project Support Program for Research and Technological Innovation of UNAM (DGAPA, PAPIIT-2023-2025)(grant numbers:IT102723); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10529327,Phasor estimation;frequency;rate-of-change-of-frequency;phasor measurement unit;fast taylor-fourier transform,Harmonic analysis;Power harmonic filters;Phasor measurement units;Frequency estimation;Estimation;Transforms;Monitoring;Fourier transforms;Taylor series,,13,,34,IEEE,13 May 2024,Aug. 2024,,IEEE,IEEE Journals
