Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID
Valdés-Souto F.; Gomar-Dawson R.H.; Méndez-Uzcátegui D.A.,"Valdés-Souto, Francisco (57190186512); Gomar-Dawson, Rafael Harry (60035279000); Méndez-Uzcátegui, Diego Alejandro (60035740400)",57190186512; 60035279000; 60035740400,Comparative Analysis of Information Extraction Techniques in the Mexican Legal System,2025,Lecture Notes in Networks and Systems,1449 LNNS,,,179,188,0,10.1007/978-3-031-93103-1_18,https://www.scopus.com/pages/publications/105012925261?origin=resultslist,"Universidad Nacional Autónoma de México, Facultad de Ciencias, Ciudad de México, 04510, Mexico; Instituto Tecnológico Autónomo de México, Río Hondo 1, Ciudad de México, 01080, Mexico","Valdés-Souto F., Universidad Nacional Autónoma de México, Facultad de Ciencias, Ciudad de México, 04510, Mexico; Gomar-Dawson R.H., Instituto Tecnológico Autónomo de México, Río Hondo 1, Ciudad de México, 01080, Mexico; Méndez-Uzcátegui D.A., Instituto Tecnológico Autónomo de México, Río Hondo 1, Ciudad de México, 01080, Mexico","In recent years, Natural Language Processing (NLP) has rapidly advanced, with sophisticated language models paving the way toward improved information extraction (IE) methods. Despite these advancements, the application of modern NLP techniques within the Mexican legal system (Spanish-Mexico) remains underexplored. This study investigates whether BERT-based models can effectively and dynamically extract legal references within this challenging framework. A comprehensive comparison was conducted between traditional methods—regular expressions and rule-based approaches—and contemporary transformer-based techniques. The experiments encompass four critical tasks: Article Segmentation, Law Reference Extraction, Article Mention Detection, and Entity Linking. Results indicate that while regular expressions and rule-based methods achieve high precision in structured texts, BERT-based NER models demonstrate superior adaptability and recall, particularly in handling unstructured and diverse legal documents. However, for tasks demanding stringent accuracy, such as Entity Linking, traditional rule-based approaches outperform Relation Extraction (RE) models due to their higher precision. This duality underscores the potential of integrating both traditional and modern NLP techniques to optimize legal text processing in Mexico. Our findings contribute to the expanding field of legal NLP by addressing unique challenges within the Mexican legal system and providing a foundational framework for future research efforts aimed at enhancing IE processes in complex legal environments. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",Information Extraction; Legal Text Processing; Named Entity Recognition; Natural Language Processing; Relation Extraction,Computational linguistics; Data mining; Information retrieval; Laws and legislation; Text processing; Information extraction; Language processing; Legal system; Legal text processing; Legal texts; Named entity recognition; Natural language processing; Natural languages; Relation extraction; Text-processing; Natural language processing systems,23673370,978-303193102-4,,Conference paper,Final,,Scopus,2-s2.0-105012925261
Enríquez F.J.; Mejía-Muñoz J.-M.; Bravo G.; Cruz-Mejía O.,"Enríquez, Francisco J. (57191896522); Mejía-Muñoz, Jose-Manuel (58701554900); Bravo, Gabriel (57191896581); Cruz-Mejía, Oliverio (56118799000)",57191896522; 58701554900; 57191896581; 56118799000,Smart Parking: Enhancing Urban Mobility with Fog Computing and Machine Learning-Based Parking Occupancy Prediction,2024,Applied System Innovation,7,3,52,,,6,10.3390/asi7030052,https://www.scopus.com/pages/publications/85197205026?origin=resultslist,"Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; [2] Departamento de Ingeniería Industrial, Universidad Nacional Autónoma de México, 57171, Mexico","Enríquez F.J., Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; Mejía-Muñoz J.-M., Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; Bravo G., Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; Cruz-Mejía O., [2] Departamento de Ingeniería Industrial, Universidad Nacional Autónoma de México, 57171, Mexico","Parking occupancy is difficult in most modern cities because of increases in the accessibility and use of motor vehicles, and users generally take several minutes or even hours to find a place to park. In this work, we propose a smart parking prediction model in order to help users locate in advance the availability of parking near the places they plan to visit. For this it is proposed a fog computing architecture that integrates a machine learning algorithm based on AdaBoost to predict parking places hours or days in advance. Additionally, a user interface was developed, which involves the collection of user inputs through a mobile application where the user is prompted to enter the destination location and the prediction time interval. Through extensive experimentation using real-world parking flow data, our proposed algorithm demonstrated an improved level of accuracy compared with alternative prediction methods. Moreover, a simulation was conducted to evaluate the system’s latency when using cloud computing versus our hybrid approach combining both fog and cloud computing. The results showed that employing the fog module in conjunction with cloud computing significantly reduced response delay in comparison with using cloud computing alone. © 2024 by the authors.",fog computing; parking occupancy; prediction,,25715577,,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85197205026
Urquiza-Yllescas J.F.; Mendoza S.; Sánchez-Adame L.M.; Rodríguez J.; Decouchant D.,"Urquiza-Yllescas, José Fidel (57219960372); Mendoza, Sonia (13105758700); Sánchez-Adame, Luis Martín (57203842913); Rodríguez, José (14023450800); Decouchant, Dominique (6602352648)",57219960372; 13105758700; 57203842913; 14023450800; 6602352648,Educational Chatbots: A Systematic Mapping Study,2025,Journal of Intelligent and Fuzzy Systems,49,4,,960,990,0,10.1177/18758967251356870,https://www.scopus.com/pages/publications/105017150989?origin=resultslist,"Computer Science Department, Cinvestav, Mexico City, Mexico; Design and Building Division, FES-Acatlán, UNAM, State of Mexico, Mexico; Information Technologies Department, UAM-Cuajimalpa, Mexico City, Mexico","Urquiza-Yllescas J.F., Computer Science Department, Cinvestav, Mexico City, Mexico; Mendoza S., Computer Science Department, Cinvestav, Mexico City, Mexico; Sánchez-Adame L.M., Design and Building Division, FES-Acatlán, UNAM, State of Mexico, Mexico; Rodríguez J., Computer Science Department, Cinvestav, Mexico City, Mexico; Decouchant D., Information Technologies Department, UAM-Cuajimalpa, Mexico City, Mexico","Chatbots, text or voice software entities, are consolidating their position in the education sector, as they have gone from being rustic tools to systems that can take an active role in the teaching and learning process. That is why we decide to elaborate a Systematic Mapping Study of works that have been published on educational chatbots in the last years. Our analysis has four objectives: 1) to know the purpose of chatbots; 2) to identify the educational levels in which the chatbots are employed; 3) to examine which interaction mechanisms are implemented by chatbots; and 4) to explore which technologies and software architectures predominate in the development of educational chatbots. Following solid methodologies for systematic reviews, we compiled 104 papers. Through the analysis of these works, we obtained an overview that can be useful for both specialists and newcomers to the domain, as it helps them understand the existing trends in these applications. Additionally, the discussion extends into the disruptive impact of generative AI and outlines critical open research questions that guide future investigations in educational chatbot development. © The Author(s) 2025",chatbot classification; educational chatbots; software architecture; systematic mapping study; teaching/learning process,Chatbots; Classification (of information); Educational robots; Learning systems; Mapping; Teaching; Chatbot classification; Chatbots; Education sectors; Educational chatbot; Software entities; Systematic mapping studies; Teaching and learning; Teaching process; Teaching-learning process; Software architecture,10641246,,,Article,Final,,Scopus,2-s2.0-105017150989
Urbina S.M.; Patiño A.M.; Archundia E.R.; Rodríguez E.A.; Marco Vinicio Chávez B.; María Del Carmen García R.; Javier A. Rodríguez H.,"Urbina, Sergio Mier (59670222300); Patiño, Arturo Méndez (8571695400); Archundia, Enrique Reyes (36646633900); Rodríguez, Ernesto Aguilar (60526203300); Marco Vinicio Chávez, B. (59670222400); María Del Carmen García, R. (60526431400); Javier A. Rodríguez, H. (60525295700)",59670222300; 8571695400; 36646633900; 60526203300; 59670222400; 60526431400; 60525295700,Automatic Classification of Synthetic Jovian Radio Emissions Using Spectrogram Analysis and Machine Learning,2025,"Proceedings of the 2025 IEEE International Autumn Meeting on Power, Electronics and Computing, ROPEC 2025",,,,,,0,10.1109/ROPEC68163.2025.11353979,https://www.scopus.com/pages/publications/105033694991?origin=resultslist,"Tecnológico Nacional de México, Instituto Tecnólogico de Morelia, Depi, Morelia, Mexico; Universidad Nacional Autónoma de México, Instituto de Geofisica Unidad Morelia, Morelia, Mexico","Urbina S.M., Tecnológico Nacional de México, Instituto Tecnólogico de Morelia, Depi, Morelia, Mexico; Patiño A.M., Tecnológico Nacional de México, Instituto Tecnólogico de Morelia, Depi, Morelia, Mexico; Archundia E.R., Tecnológico Nacional de México, Instituto Tecnólogico de Morelia, Depi, Morelia, Mexico; Rodríguez E.A., Universidad Nacional Autónoma de México, Instituto de Geofisica Unidad Morelia, Morelia, Mexico; Marco Vinicio Chávez B., Tecnológico Nacional de México, Instituto Tecnólogico de Morelia, Depi, Morelia, Mexico; María Del Carmen García R., Tecnológico Nacional de México, Instituto Tecnólogico de Morelia, Depi, Morelia, Mexico; Javier A. Rodríguez H., Tecnológico Nacional de México, Instituto Tecnólogico de Morelia, Depi, Morelia, Mexico","This paper presents a machine learning approach for the automatic classification of synthetic Jovian radio emissions using spectrogram analysis. As a continuation of previous work involving the design of a dipole antenna and the development of a Python-based acquisition system centered at 20.1 MHz, this study focuses on generating a synthetic dataset that replicates the Io-A, Io-B and Io-C radio emissions of Jupiter. Each class was modeled using Python scripts that incorporated variability in position, intensity, shape and noise within the 16-24Mhz frequency range. Two classification models were trained and evaluated: a convolutional neural network (efficientNet-B0) and a vision transformer (ViT Tiny Patch16-224). Both models were tested using a 70/15/15 train-validation-test split and validated with 5-fold cross-validation. The ViT model achieved up to 100% classification accuracy across all folds, outperforming the CNN in consistency and generalization. This synthetic classification framework serves as a preparatory phase for future work involving the training and validation of these models using real labeled spectrograms extracted from the Juno/Waves database, which includes emission records from 2016 to 2023. © 2025 IEEE.",CNN; cross-validation; Jovian emissions; Machine learning; spectrogram; synthetic data; ViT,C (programming language); Classification (of information); Computer software; Dipole antennas; Learning systems; Machine learning; Neural networks; Partial discharges; Python; Software design; Acquisition systems; Automatic classification; Cross validation; Jovian emission; Machine learning approaches; Machine-learning; Radio emission; Spectrograms; Synthetic data; ViT; Spectrographs,,979-833157673-8,,Conference paper,Final,,Scopus,2-s2.0-105033694991
Ramirez-Rueda R.; Benitez-Guerrero E.; Mezura-Godoy C.; Barcenas E.,"Ramirez-Rueda, Rolando (57208923504); Benitez-Guerrero, Edgard (15755550600); Mezura-Godoy, Carmen (22735015300); Barcenas, Everardo (35182396600)",57208923504; 15755550600; 22735015300; 35182396600,Transforming Software Development: A Study on the Integration of Multi-Agent Systems and Large Language Models for Automatic Code Generation,2024,"Proceedings - 2024 12th International Conference in Software Engineering Research and Innovation, CONISOFT 2024",,,,11,20,2,10.1109/CONISOFT63288.2024.00013,https://www.scopus.com/pages/publications/85216782621?origin=resultslist,"Universidad veracruzana, Facultad de Estadística e Informática, Xalapa, Mexico; Universidad Nacional Autónoma de México, Facultad de Ingeniería, Ciudad de México, Mexico","Ramirez-Rueda R., Universidad veracruzana, Facultad de Estadística e Informática, Xalapa, Mexico; Benitez-Guerrero E., Universidad veracruzana, Facultad de Estadística e Informática, Xalapa, Mexico; Mezura-Godoy C., Universidad veracruzana, Facultad de Estadística e Informática, Xalapa, Mexico; Barcenas E., Universidad Nacional Autónoma de México, Facultad de Ingeniería, Ciudad de México, Mexico","This paper explores the integration of Multi-Agent Systems (MAS) and Large Language Models (LLMs) for auto-matic code generation, addressing the limitations of traditional manual coding. By conducting a comprehensive review of existing literature and analyzing a practical case study, we demonstrate how MAS and LLMs can collaboratively enhance software development processes. The research focuses on the technical and theoretical challenges of this integration, highlighting the potential for improved productivity, adaptability, and quality in code generation. The findings contribute to AI-based software engineering by revealing new research directions in collective intelligence and automated programming.  © 2024 IEEE.",Generative AI; LLM; Multi-Agent; Software Development,Automatic programming; Intelligent agents; Software quality; Automatic code generations; Case-studies; Codegeneration; Generative AI; Language model; Large language model; Manual coding; Multi agent; Multiagent systems (MASs); Software development process; Software design,,979-833153211-6,,Conference paper,Final,,Scopus,2-s2.0-85216782621
Juarez M.G.; Zamora A.; Ortiz-Bejar J.; Silva J.C.; Cerda J.; Paternina M.R.A.,"Juarez, Miguel G. (57804446000); Zamora, A. (57207796016); Ortiz-Bejar, Jose (56703193500); Silva, J.C. (55322763800); Cerda, Jaime (57204226177); Paternina, M.R.A. (56530728800)",57804446000; 57207796016; 56703193500; 55322763800; 57204226177; 56530728800,PQ-SyDa: Power Quality Synthetic Disturbances DataSet,2024,"2024 IEEE PES Generation, Transmission and Distribution Latin America Conference and Industrial Exposition, GTDLA 2024",,,,,,1,10.1109/GTDLA61236.2024.10913752,https://www.scopus.com/pages/publications/105001673704?origin=resultslist,"U. Michoacana, Morelia, Mexico; UNAM, Mexico City, Mexico","Juarez M.G., U. Michoacana, Morelia, Mexico; Zamora A., U. Michoacana, Morelia, Mexico; Ortiz-Bejar J., U. Michoacana, Morelia, Mexico; Silva J.C., U. Michoacana, Morelia, Mexico; Cerda J., U. Michoacana, Morelia, Mexico; Paternina M.R.A., UNAM, Mexico City, Mexico",This paper presents a Phyton-based user-friendly graphical user interface (GUI) toolbox to synthetically generate power quality events dataset. This GUI is able to provide and export a versatile collection of tools designed specifically to create robust and realistic datasets for their utilization in the evaluation and testing of machine learning and deep learning algorithms for PQ events in power systems. A straightforward implementation is adopted to generate datasets with up to 29 different PQ events with automated label options. Numerical and graphical results demonstrate the effectiveness of the GUI. © 2024 IEEE.,Deep learning; Machine learning; Power quality events generator; Python toolbox,Deep learning; Event generators; Machine-learning; Power; Power quality event; Power quality event generator; PQ event; Python toolbox; User friendly; Adversarial machine learning,,979-833153054-9,,Conference paper,Final,,Scopus,2-s2.0-105001673704
Martínez-Urrutia F.; Medina-Franco J.L.,"Martínez-Urrutia, Fernando (58948053000); Medina-Franco, José L. (57119398400)",58948053000; 57119398400,BIOMX-DB: A web application for the BIOFACQUIM natural product database,2024,Molecular Informatics ,43,11,e202400060,,,4,10.1002/minf.202400060,https://www.scopus.com/pages/publications/85195311095?origin=resultslist,"DIFACQUIM Research Group, Department of Pharmacy, School of Chemistry, Universidad Nacional Autónoma de México, Mexico, Mexico","Martínez-Urrutia F., DIFACQUIM Research Group, Department of Pharmacy, School of Chemistry, Universidad Nacional Autónoma de México, Mexico, Mexico; Medina-Franco J.L., DIFACQUIM Research Group, Department of Pharmacy, School of Chemistry, Universidad Nacional Autónoma de México, Mexico, Mexico","Natural product databases are an integral part of chemoinformatics and computer-aided drug design. Despite their pivotal role, a distinct scarcity of projects in Latin America, particularly in Mexico, provides accessible tools of this nature. Herein, we introduce BIOMX-DB, an open and freely accessible web-based database designed to address this gap. BIOMX-DB enhances the features of the existing Mexican natural product database, BIOFACQUIM, by incorporating advanced search, filtering, and download capabilities. The user-friendly interface of BIOMX-DB aims to provide an intuitive experience for researchers. For seamless access, BIOMX-DB is freely available at www.biomx-db.com. © 2024 The Author(s). Molecular Informatics published by Wiley-VCH GmbH.",Chemoinformatics; database; drug discovery; natural products; open access,"Biological Products; Databases, Chemical; Databases, Factual; Internet; Mexico; Software; User-Computer Interface; Drug products; Product design; natural product; biological product; Chemoinformatics; Computer aided drug design; Drug discovery; Integral part; Latin America; Natural products; OpenAccess; Product database; WEB application; Web applications; Article; BIOFACQUIM database; cheminformatics; drug database; filtration; Mexico; open access publishing; search engine optimization; software; chemical database; chemistry; computer interface; factual database; Internet; Database systems",18681743,,MIONB,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85195311095
Castañeda A.; Piña M.,"Castañeda, Armando (15129698500); Piña, Miguel (57315720500)",15129698500; 57315720500,Read/write fence-free work-stealing with multiplicity,2024,Journal of Parallel and Distributed Computing,186,,104816,,,3,10.1016/j.jpdc.2023.104816,https://www.scopus.com/pages/publications/85180405874?origin=resultslist,"Instituto de Matemáticas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Mexico City, 04510, Mexico; Programa de Doctorado en Ciencia e Ingeniería de la Computación, Universidad Nacional Autónoma de México, Ciudad Universitaria, Mexico City, 04510, Mexico","Castañeda A., Instituto de Matemáticas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Mexico City, 04510, Mexico; Piña M., Programa de Doctorado en Ciencia e Ingeniería de la Computación, Universidad Nacional Autónoma de México, Ciudad Universitaria, Mexico City, 04510, Mexico","It has been shown that any nonblocking algorithm for work-stealing in the standard asynchronous shared memory model of computation must use expensive Read-After-Write synchronization patterns or atomic Read-Modify-Write instructions. Algorithms for relaxations of work-stealing have been proposed, which only partially avoid this impossibility result. In restricted models of computation, work-stealing algorithms have been designed that avoid Read-After-Write patterns and atomic Read-Modify-Write instructions. This paper considers work-stealing with multiplicity, a relaxation in which every task is taken by at least one process, and any process can take any task at most once. We study two variants of the relaxation, for each variant designing a Read/Write wait-free algorithm in the standard asynchronous shared memory model. The two algorithms are devoid of Read-After-Write synchronization patterns in all their operations, and additionally, the algorithm for the second variant has constant step complexity and is fence-free. Namely, no specific ordering among the algorithm's instructions is required beyond what is implied by data dependence. To our knowledge, these are the first algorithms for relaxations of work-stealing possessing all these properties. The algorithms are also solutions to relaxed versions of single-enqueuer multi-dequeuer queues. The theoretical results are complemented with an experimental evaluation showing that the benefits of relaxed work-stealing vary depending on the application, concretely on the complexity of the work associated with each task. © 2023 Elsevier Inc.",Concurrent data structures; Linearizability; Relaxed data types; Set-linearizability; Work-stealing,Concurrency control; Memory architecture; Asynchronous shared memory; Concurrent data structures; Datatypes; Linearizability; Read-after-write; Relaxed data type; Set-linearizability; Shared memory model; Work-stealing; Fences,07437315,,JPDCE,Article,Final,,Scopus,2-s2.0-85180405874
Rios Esparza G.A.; Segura Pérez E.S.,"Rios Esparza, Gabriel Armando (58195414700); Segura Pérez, Esther Segura (55533923300)",58195414700; 55533923300,Simulation Applied to a Consulting Team Assignment Problem,2024,Communications in Computer and Information Science,2033 CCIS,,,187,198,0,10.1007/978-3-031-68438-8_14,https://www.scopus.com/pages/publications/85207642018?origin=resultslist,"Operations Research Department, National Autonomous University of Mexico, Mexico City, Mexico","Rios Esparza G.A., Operations Research Department, National Autonomous University of Mexico, Mexico City, Mexico; Segura Pérez E.S., Operations Research Department, National Autonomous University of Mexico, Mexico City, Mexico","There are intermediary entities that improve the administration of human resources, adapting agents’ profiles with companies’ requests. This paper presents a university social service program that requires student teams to give consultancies to companies’ groups but has a desertion problem derived from an assignment with long distances and incompatibility between schedules and requirements. We use process-oriented simulation to analyze some proposed methodologies and variants of the classic assignment problem as possible solutions while uncovering the need for a flexible method that enables continuous modification and maintains easy user data management. We define our human resources case with multiple attributes (distance, requirements, and schedules) as a multi-criteria assignment model with quadratic (QAP) and qualified semi-assignment characteristics. To solve it, we use a tessellation to facilitate the inclusion and reduction of distances between agents and tasks while evaluating the qualified association of the requirement and schedules as categorical variables. We integrate a modular method based on hexagonal tessellation, reducing the dedicated time from 5 days to 90 min and a total distance of 585 km between students and companies while improving the schedules and requirements compatibility, solving the real problem in its context. We hope this will contribute to other assignment problems with a similar structure or goals. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",Assignment Problem; Hexagonal Tessellation; Multi-criteria assignment,Information management; Assignment problems; Hexagonal tessellation; Multi-criteria; Multi-criteria assignment; Multi-Criterion; Process-oriented simulations; Service program; Social service; Student teams; Team assignment; Students,18650929,978-303168437-1,,Conference paper,Final,,Scopus,2-s2.0-85207642018
Alvarez-Giron W.; Téllez-Torres J.; Tovar-Cortes J.; Gómez-Adorno H.,"Alvarez-Giron, William (57219779944); Téllez-Torres, Jorge (59278318300); Tovar-Cortes, Javier (59278833200); Gómez-Adorno, Helena (55641734200)",57219779944; 59278318300; 59278833200; 55641734200,Team qIIMAS on Task 2 - Clustering,2024,CEUR Workshop Proceedings,3740,,,3064,3074,2,,https://www.scopus.com/pages/publications/85201582957?origin=resultslist,"Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Facultad de Ciencias, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico","Alvarez-Giron W., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Téllez-Torres J., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico, Facultad de Ciencias, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Tovar-Cortes J., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico, Facultad de Ciencias, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Gómez-Adorno H., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico","This paper describes our participation in Task 2 of the QuantumCLEF lab, where we explored the use of quantum annealing for clustering 6486 document embeddings. We employed a Quadratic Unconstrained Binary Optimization (QUBO) formulation to address the NP-hard problem of k-medoids clustering, optimizing the selection of cluster centers without explicitly assigning each data point to a cluster. Our approach aimed to minimize pairwise dissimilarities among selected medoids while maximizing their separation, ensuring well-defined and diverse clusters. To manage the limitations of current quantum hardware, we implemented a hierarchical clustering procedure: initially reducing the dataset using classical methods and then applying quantum annealing for final medoid optimization. The results indicate that a combination of simulated annealing for initial clustering, followed by quantum annealing, yielded the best outcomes, achieving a Davies-Bouldin index of 4.6798 and an nDCG@10 of 0.5349 when using k = 50 clusters. This hierarchical approach underscores the potential of quantum annealing in enhancing clustering quality despite current hardware constraints. Our findings suggest that quantum-enhanced clustering methods could significantly advance the field of information retrieval and recommender systems by providing more efficient and accurate data organization techniques. © 2024 Copyright for this paper by its authors.",Clustering; Information Retrieval; Quantum Annealing; Recommender Systems,Adaptive boosting; Digital storage; Hierarchical clustering; Network security; NP-hard; Simulated annealing; 'current; Binary optimization; Clusterings; Embeddings; Hard problems; K-medoids clustering; Medoids; NP-hard; Optimization formulations; Quantum annealing; Recommender systems,16130073,,,Conference paper,Final,,Scopus,2-s2.0-85201582957
