Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID
Castañeda A.; Van Ditmarsch H.; Rosenblueth D.A.; Velázquez D.A.,"Castañeda, Armando (15129698500); Van Ditmarsch, Hans (57215882990); Rosenblueth, David A (6603485343); Velázquez, Diego A (57225032330)",15129698500; 57215882990; 6603485343; 57225032330,Pattern Models: A Dynamic Epistemic Logic for Distributed Systems,2024,Computer Journal,67,7,,2421,2440,0,10.1093/comjnl/bxae016,https://www.scopus.com/pages/publications/85199515630?origin=resultslist,"Instituto de Matemáticas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito exterior, 04510, Mexico; Centre National de la Recherche Scientifique, Institut de Recherche en Informatique de Toulouse, Université de Toulouse, 118 Route de Narbonne, Toulouse, F-31062 Cedex 9, France; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico; Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico","Castañeda A., Instituto de Matemáticas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito exterior, 04510, Mexico; Van Ditmarsch H., Centre National de la Recherche Scientifique, Institut de Recherche en Informatique de Toulouse, Université de Toulouse, 118 Route de Narbonne, Toulouse, F-31062 Cedex 9, France; Rosenblueth D.A., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico; Velázquez D.A., Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico","We introduce pattern models, a dynamic epistemic logic for analyzing distributed systems. First, we present a version of pattern models where the full-information protocol, widely studied in distributed computability, is static in the product definition of pattern models. Next, we parametrize such a logic so as to add the capability to model dynamics of arbitrary deterministic protocols. We thus give a systematic construction of pattern models for a large variety of distributed-computing models called dynamic-network models. Using pattern models, the epistemic dynamics of a proper subclass of dynamic-network models called oblivious can be described using a static pattern model, hence using constant space. For this case, we present a sufficient unsolvability condition for the consensus task that can be easily verified analyzing the structure of the initial epistemic model and the pattern model for a given oblivious dynamic-network model.  © 2024 The Author(s).",consensus; distributed computing; dynamic epistemic logic; dynamic-network models,Computation theory; Computer circuits; Consensus; Deterministic protocols; Distributed computabilities; Distributed systems; Dynamic epistemic logic; Dynamic network modeling; Full informations; Information protocols; Model dynamics; Product definition; Distributed computer systems,00104620,,CMPJA,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85199515630
Miguel Saldaña Trejo L.; Gallegos Garcia G.; Aldeco Peréz R.,"Miguel Saldaña Trejo, Luis (59983951400); Gallegos Garcia, Gina (35766133700); Aldeco Peréz, Rocio (36607389400)",59983951400; 35766133700; 36607389400,Cryptographic Consensus Protocols in Blockchain for the Internet of Things; [Protocolos criptográficos de consenso en Blockchain para el Internet de las Cosas],2025,Computacion y Sistemas,29,2,,643,657,0,10.13053/CyS-29-2-5694,https://www.scopus.com/pages/publications/105010198792?origin=resultslist,"Instituto Politecnico Nacional, Centro de Investigación en Computación, Mexico; Universidad Nacional Autónoma de México, Mexico","Miguel Saldaña Trejo L., Instituto Politecnico Nacional, Centro de Investigación en Computación, Mexico; Gallegos Garcia G., Instituto Politecnico Nacional, Centro de Investigación en Computación, Mexico; Aldeco Peréz R., Universidad Nacional Autónoma de México, Mexico","The success of Blockchain in the field of cryptocurrencies opens the possibility of leveraging the main advantages of this technology in other areas such as financial services, public services, social services, and the Internet of Things (IoT). Using these features helps preserve various security services such as decentralization, integrity, and pseudo-anonymity, and even allows for complete traceability of all transactions. Exploiting these features offered by Blockchain in the IoT network generates high expectations regarding computing power, storage, and decentralized, tamper-resistant transactions. However, most existing consensus protocols were created to be executed by nodes with high computing and storage capacity, characteristics that the devices that make up an IoT network do not have. Although new protocols have emerged that require less computing power or storage, none are tailored to be executed by nodes with limited resources. Based on the above, this article presents the cryptographic consensus protocols that could be used in the IoT network. © 2025 Instituto Politecnico Nacional. All rights reserved.",Blockchain; consensus protocol; Internet of Things (IoT),,14055546,,,Article,Final,,Scopus,2-s2.0-105010198792
Godinez A.E.; Garza Rivera J.L.; Varela D.T.,"Godinez, Angelica Espinoza (60522341100); Garza Rivera, Jose Luis (60522835500); Varela, David Tinoco (57203905051)",60522341100; 60522835500; 57203905051,Detection of DoS and DDoS Attacks Using LSTM in Computer Networks: A Systematic Literature Review,2025,"Proceedings - 2025 IEEE Latin American School on Computational Intelligence and Robotics, SAIBOT 2025",,,,94,102,0,10.1109/SAIBOT67519.2025.00021,https://www.scopus.com/pages/publications/105033528083?origin=resultslist,"Universidad da Vinci, CDMX, Mexico; Universidad Nacional Autónoma de México, Facultad de Estudios Superiores Cuautitlán, Cuautitlan Izcalli, Mexico","Godinez A.E., Universidad da Vinci, CDMX, Mexico; Garza Rivera J.L., Universidad da Vinci, CDMX, Mexico; Varela D.T., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores Cuautitlán, Cuautitlan Izcalli, Mexico","Artificial Intelligence (AI), with machine learning (ML) models and deep learning (DL) neural networks, represents a possibility for detecting DoS/DDoS attacks more effectively. The LSTM (Long Short-Term Memory) model is one of the options for detecting these increasingly varied and sophisticated attacks. The objective of this research was to evaluate the application of the LSTM model in the detection of DoS and DDoS cyber attacks on communications networks. This research was designed as a Systematic Literature Review to obtain the most recent studies on the subject. As a result, 86 initial studies were obtained from the databases. Once the entire procedure, including the quality assessment of the studies, was completed, 15 final primary studies were selected. With these primary studies, it was possible to answer all the questions in the review. It should be noted that modern SDN (Software Defined Network) networks, Cloud Computing networks, and classic networks are threatened by this type of attack. The LSTM models applied in the detection of DoS/DDoS attacks can be hybrid or combined. The most commonly used evaluation metrics are Accuracy, Recall, Precision, and F1-Score, and the most frequently found public datasets include NSL-KDD, CICDoS2019, and CICIDS2017. A wide variety of LSTM-based models and approaches that can be used to experiment and compare their performance in terms of communications network security. © 2025 IEEE.",Denial-of-service attack; Long short term memory; Machine learning; Network security; Systematic literature review,Computer networks; Denial-of-service attack; Distributed computer systems; Learning systems; Network security; Reviews; Communications networks; DDoS Attack; Denialof- service attacks; DoS/DDoS attacks; Machine learning models; Machine-learning; Memory modeling; Networks security; Short term memory; Systematic literature review; Long short-term memory,,979-833158719-2,,Conference paper,Final,,Scopus,2-s2.0-105033528083
Estivill-Castro V.; Carrillo M.; Rosenblueth D.A.,"Estivill-Castro, Vladimir (55915978700); Carrillo, Miguel (15058600200); Rosenblueth, David A. (6603485343)",55915978700; 15058600200; 6603485343,LLFSMs to TLA+: A Model-to-Text Transformation of Executable Models Enabling Specification and Verification of Multi-Threaded and Concurrent Systems,2025,International Conference on Model-Driven Engineering and Software Development,1,,,15,26,0,10.5220/0013094700003896,https://www.scopus.com/pages/publications/105001832131?origin=resultslist,"Department of Engineering, Pompeu Fabra University, Roc Boronat 138, Barcelona, 08018, Spain; Instituto de Investigaciones en Matemáaticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Apdo. 20-126, Ciudad de Mexico, 01000, Mexico","Estivill-Castro V., Department of Engineering, Pompeu Fabra University, Roc Boronat 138, Barcelona, 08018, Spain; Carrillo M., Instituto de Investigaciones en Matemáaticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Apdo. 20-126, Ciudad de Mexico, 01000, Mexico; Rosenblueth D.A., Instituto de Investigaciones en Matemáaticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Apdo. 20-126, Ciudad de Mexico, 01000, Mexico","As complexity of software systems increases, ensuring reliability becomes ever more crucial. Despite advances, behaviour-modelling techniques still face challenges due to semantic gaps. This work focuses on translating Logic-Labelled Finite-State Machines (LLFSMs) to the Temporal Logic of Actions (TLA), bridging the gap between a time-triggered formalism and common temporal logic for model checking. The translation is innovative as multi-threaded and distributed systems can now be designed using LLFSMs. We illustrate the translation with Fischer’s protocol (for multi-threaded systems), and release tools with examples for distributed systems. The approach addresses semantic gaps from three sources: differing finite-state machine semantics, variations in translating to executable models versus models for checking, and discrepancies between abstract and executable model translations. © 2025 by SCITEPRESS - Science and Technology Publications, Lda.",Executable Models; Formal Verification; Model Transformation; Reasoning About Models,,21844348,978-989758729-0,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105001832131
Köse U.; Marmolejo-Saucedo J.A.; Rodriguez-Aguilar R.; Marmolejo-Saucedo L.; Rodriguez-Aguilar M.,"Köse, Utku (36544118500); Marmolejo-Saucedo, Jose Antonio (57204678532); Rodriguez-Aguilar, Roman (56717663000); Marmolejo-Saucedo, Liliana (58590483500); Rodriguez-Aguilar, Miriam (58813504300)",36544118500; 57204678532; 56717663000; 58590483500; 58813504300,Genetic electro-search optimization for optimum energy consumption in edge computing-based internet of healthcare things,2024,Wireless Networks,30,9,,7361,7368,3,10.1007/s11276-023-03623-y,https://www.scopus.com/pages/publications/85182416415?origin=resultslist,"Suleyman Demirel University, Isparta, Turkey; Engineering Department, Universidad Nacional Autonoma de Mexico. Av. Universidad 3000, Mexico City, 04510, Mexico; Facultad de Ciencias Económicas y Empresariales, Universidad Panamericana, Augusto Rodin 498, Mexico City, 03920, Mexico; ISSSTE, Cuernavaca, Mexico; Instituto Mexicano del Seguro Social, Mexico, Mexico","Köse U., Suleyman Demirel University, Isparta, Turkey; Marmolejo-Saucedo J.A., Engineering Department, Universidad Nacional Autonoma de Mexico. Av. Universidad 3000, Mexico City, 04510, Mexico; Rodriguez-Aguilar R., Facultad de Ciencias Económicas y Empresariales, Universidad Panamericana, Augusto Rodin 498, Mexico City, 03920, Mexico; Marmolejo-Saucedo L., ISSSTE, Cuernavaca, Mexico; Rodriguez-Aguilar M., Instituto Mexicano del Seguro Social, Mexico, Mexico","Energy consumption is a vital issue when optimum usage and carbon footprint are all considered in today’s Internet of Things (IoT) environments. Considering edge computing, that becomes too critical in terms of wireless devices with limited battery power. Especially in healthcare applications, the defined IoHT approach requires sustainability while future massive solutions may result negative outputs in terms of carbon footprint. So, optimum energy consumption seems positive in terms of multiple ways. In the literature, one trendy method is using clustering for lowering the energy consumption within the Internet of Healthcare Things (IoHT) environment on edge computing. In this study, optimization of energy consumption in IoHT was done via improved Genetic Electro-Search Optimization (GESO) algorithm. According to the obtained findings in the performed applications, GESO was effective enough in finding optimum conditions of energy consumption for an active IoHT setup. © The Author(s) 2024.",Edge computing; Energy consumption; Genetic electro-search optimization; Internet of healthcare things,Carbon footprint; Edge computing; Genetic algorithms; Green computing; Health care; Internet of things; Sustainable development; Battery power; Edge computing; Energy-consumption; Genetic electro-search optimization; Health care application; Internet of healthcare thing; Optimum energy; Optimum usage; Search optimization; Wireless devices; Energy utilization,10220038,,WINEF,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85182416415
Arevalo-Ancona R.E.; Cedillo-Hernandez M.; Garcia-Ugalde F.J.,"Arevalo-Ancona, Rodrigo Eduardo (58478737700); Cedillo-Hernandez, Manuel (25521406600); Garcia-Ugalde, Francisco Javier (55989774900)",58478737700; 25521406600; 55989774900,Robust Image Tampering Detection and Ownership Authentication Using Zero-Watermarking and Siamese Neural Networks,2024,International Journal of Advanced Computer Science and Applications,15,10,,436,446,0,10.14569/IJACSA.2024.0151046,https://www.scopus.com/pages/publications/86000672959?origin=resultslist,"Instituto Politecnico Nacional, SEPI-ESIME Culhuacan, Mexico City, Mexico; Universidad Nacional Autonoma de Mexico, Facultad de Ingenieria, Mexico City, Mexico","Arevalo-Ancona R.E., Instituto Politecnico Nacional, SEPI-ESIME Culhuacan, Mexico City, Mexico; Cedillo-Hernandez M., Instituto Politecnico Nacional, SEPI-ESIME Culhuacan, Mexico City, Mexico; Garcia-Ugalde F.J., Universidad Nacional Autonoma de Mexico, Facultad de Ingenieria, Mexico City, Mexico","The development of advanced image editing tools has significantly increased the manipulation of digital images, creating a pressing need for robust tamper detection and ownership authentication systems. This paper presents a method that combines zero-watermarking with Siamese neural networks to detect image tampering and verify ownership. The approach utilizes features from the Discrete Wavelet Transform (DWT) and employs two halftone images as watermarks: one representing the owner's portrait and the other corresponding to the protected image. A feature matrix is generated from the owner's portrait using the Siamese network and securely linked to the image's halftone watermark through an XOR operation. Additionally, data augmentation enhances the model's robustness, ensuring effective learning of image features even under geometric and signal processing distortions. Experimental results demonstrate high accuracy in recovering halftone images, enabling precise tamper detection and ownership verification across different datasets and image distortions (geometric and image processing distortions). © (2024), (Science and Information Organization). All rights reserved.",neural network; ownership authentication; tampering detection; Zero-watermarking,Authentication; Digital watermarking; Image enhancement; Watermarking; Digital image; Geometric processing; Halftone images; Image editing tools; Image tampering; Neural-networks; Ownership authentication; Tamper detection; Tampering detection; Zero-watermarking; Discrete wavelet transforms,2158107X,,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-86000672959
Alvarez-Giron W.; Téllez-Torres J.; Tovar-Cortes J.; Gómez-Adorno H.,"Alvarez-Giron, William (57219779944); Téllez-Torres, Jorge (59278318300); Tovar-Cortes, Javier (59278833200); Gómez-Adorno, Helena (55641734200)",57219779944; 59278318300; 59278833200; 55641734200,Team qIIMAS on Task 2 - Clustering,2024,CEUR Workshop Proceedings,3740,,,3064,3074,2,,https://www.scopus.com/pages/publications/85201582957?origin=resultslist,"Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Facultad de Ciencias, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico","Alvarez-Giron W., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Téllez-Torres J., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico, Facultad de Ciencias, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Tovar-Cortes J., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico, Facultad de Ciencias, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico; Gómez-Adorno H., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, CDMX, 04510, Mexico","This paper describes our participation in Task 2 of the QuantumCLEF lab, where we explored the use of quantum annealing for clustering 6486 document embeddings. We employed a Quadratic Unconstrained Binary Optimization (QUBO) formulation to address the NP-hard problem of k-medoids clustering, optimizing the selection of cluster centers without explicitly assigning each data point to a cluster. Our approach aimed to minimize pairwise dissimilarities among selected medoids while maximizing their separation, ensuring well-defined and diverse clusters. To manage the limitations of current quantum hardware, we implemented a hierarchical clustering procedure: initially reducing the dataset using classical methods and then applying quantum annealing for final medoid optimization. The results indicate that a combination of simulated annealing for initial clustering, followed by quantum annealing, yielded the best outcomes, achieving a Davies-Bouldin index of 4.6798 and an nDCG@10 of 0.5349 when using k = 50 clusters. This hierarchical approach underscores the potential of quantum annealing in enhancing clustering quality despite current hardware constraints. Our findings suggest that quantum-enhanced clustering methods could significantly advance the field of information retrieval and recommender systems by providing more efficient and accurate data organization techniques. © 2024 Copyright for this paper by its authors.",Clustering; Information Retrieval; Quantum Annealing; Recommender Systems,Adaptive boosting; Digital storage; Hierarchical clustering; Network security; NP-hard; Simulated annealing; 'current; Binary optimization; Clusterings; Embeddings; Hard problems; K-medoids clustering; Medoids; NP-hard; Optimization formulations; Quantum annealing; Recommender systems,16130073,,,Conference paper,Final,,Scopus,2-s2.0-85201582957
Camacho-Escoto J.J.; Gomez J.; Orozco-Barbosa L.,"Camacho-Escoto, J.J. (55895104500); Gomez, Javier (57034436300); Orozco-Barbosa, Luis (7006046164)",55895104500; 57034436300; 7006046164,ODIF: Optimum Duty Cycle Selection Using Indirect Feedback for Neighborhood-Discovery in Crowded Scenarios,2025,IEEE Open Journal of the Communications Society,6,,,8851,8864,0,10.1109/OJCOMS.2025.3620270,https://www.scopus.com/pages/publications/105019585942?origin=resultslist,"National Autonomous University of Mexico, Department of Computer Engineering, Mexico City, 04510, Mexico; National Autonomous University of Mexico, Department of Telecommunications Engineering, Mexico City, 04510, Mexico; Albacete Research Institute of Informatics, Universidad de Castilla-La Mancha, Albacete, 02006, Spain","Camacho-Escoto J.J., National Autonomous University of Mexico, Department of Computer Engineering, Mexico City, 04510, Mexico; Gomez J., National Autonomous University of Mexico, Department of Telecommunications Engineering, Mexico City, 04510, Mexico; Orozco-Barbosa L., Albacete Research Institute of Informatics, Universidad de Castilla-La Mancha, Albacete, 02006, Spain","A significant amount of research has focused on minimizing the time it takes for two nodes to discover each other when operating in on-off states to conserve energy, a process known as neighbor discovery. However, less attention has been paid to the related issue of neighborhood-discovery, which involves multiple nodes attempting to find each other. We consider the latter problem to be quite relevant, especially with the increasing popularity of networks made up of multiple IoT devices. This issue is more complex because the likelihood of collisions increases with a greater number of nodes and as the time nodes remain awake (duty cycle) extends. The method we propose, called ODIF, uses indirect feedback (collisions and no-encounters) to estimate the number of nodes and employs a dynamic duty cycle algorithm to minimize either latency or energy expenditure during neighborhood-discovery. We compare ODIF with a randomized discovery protocol (referred to as Plain) and two other similar methods found in the existing literature. It was found that ODIF significantly reduces the neighbor discovery latency (or the expected number of attempts) compared to the baseline randomized neighbor discovery protocol for most values of the duty cycle. Similarly, ODIF achieved neighborhood-discovery 1 to 10 times faster for high node densities compared to similar protocols. © 2020 IEEE.",Adaptive algorithms; duty cycling; energy efficiency; latency minimization; neighbor discovery; network optimization; randomized protocols; wireless networks,Feedback; Internet protocols; Optimization; Wireless networks; Duty-cycle; Duty-cycling; Energy; Latency minimization; Minimisation; Neighbor discovery; Neighbourhood; Network optimization; Off state; Randomized protocols; Energy efficiency,2644125X,,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105019585942
Vázquez A.E.A.,"Vázquez, Alan Ernesto Arteaga (60422653700)",60422653700,"On Time-Optimal, Fault-Tolerant Algorithms for Connected Consensus Beyond Grade Two",2025,"Leibniz International Proceedings in Informatics, LIPIcs",361,,24,,,0,10.4230/LIPIcs.OPODIS.2025.24,https://www.scopus.com/pages/publications/105031363383?origin=resultslist,"Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico","Vázquez A.E.A., Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico","A common question in the asynchronous model is whether some given notion of agreement between processes is achievable. Usually, we formalise such agreement notions in the form of agreement problems. Some of these problems also receive the name of coordination primitives. Several fault-tolerant algorithms in asynchronous systems rely upon the use of different primitives as building blocks, such as adopt-commit, crusader agreement, or graded broadcast. Recently, the connected consensus problem - a form of agreement over a specific family of graphs parametrised by a positive integer R- was introduced. This problem unifies the three mentioned primitives while extending them for multi-valued inputs. Moreover, the problem is equipped with a security condition called binding, which limits the effect of malicious processes over the decision of correct parties. While fault-tolerant connected consensus algorithms for R = 1 and R = 2 are known, the existence of algorithmic solutions for any positive integer parameter remained an open question. In this work, we introduce a pair of fault-tolerant algorithms for connected consensus when the R parameter is any positive integer. We introduce a crash-resilient algorithm, which is optimal with respect to the maximum number of possible faulty processes. Our second algorithm is resilient to Byzantine failures; whose failure-resilience is optimal for a specific class of algorithms. Both algorithms satisfy the binding property and match the best known time complexities achieved for the R = 1 and R = 2 cases, further achieving time optimality for the general case in the crash-failure setting, and asymptotic time optimality in the Byzantine scenario. © Alan Ernesto Arteaga Vázquez;",Approximate Agreement; Binding; Connected Consensus,Accidents; Binding energy; Consensus algorithm; Failure (mechanical); Fault tolerant computer systems; Network security; Optimization; Parameter estimation; Agreement problems; Approximate agreement; Asynchronous models; Asynchronous system; Binding; Connected consensus; Fault-tolerant algorithms; Optimality; Positive integers; Time-optimal; Fault tolerance,18688969,978-395977409-3,,Conference paper,Final,,Scopus,2-s2.0-105031363383
Villegas-Jiménez E.A.; Romo-Cabrera A.; Manzano-Calixto M.A.; Tello-Aguilera L.M.; Sánchez-Mata A.K.; Robles-Guerrero A.; Hernández-Ruiz P.M.,"Villegas-Jiménez, Ernesto A. (57216894101); Romo-Cabrera, Araceli (60605930900); Manzano-Calixto, Manuel A. (60605184700); Tello-Aguilera, Lilly M. (60605615200); Sánchez-Mata, Armando K. (60605404000); Robles-Guerrero, Andrea (60605292100); Hernández-Ruiz, Paula M. (60605723000)",57216894101; 60605930900; 60605184700; 60605615200; 60605404000; 60605292100; 60605723000,Protection Of Sensitive Personal Information Contained In Digital Files Held By Individuals With Homomorphic Encryption And AI Assistance,2025,"International Conference on Electrical, Computer, and Energy Technologies, ICECET 2025",,,,,,0,10.1109/ICECET63943.2025.11472089,https://www.scopus.com/pages/publications/105037107014?origin=resultslist,"Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico","Villegas-Jiménez E.A., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico; Romo-Cabrera A., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico; Manzano-Calixto M.A., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico; Tello-Aguilera L.M., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico; Sánchez-Mata A.K., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico; Robles-Guerrero A., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico; Hernández-Ruiz P.M., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores 'Aragón', Estado de México, Mexico","In today's digital landscape, the exchange of sensitive personal data via mobile devices is widespread, yet inadequate safeguards often expose users to risks such as identity theft and online harassment. This research introduces Kamplae, a system crafted in Python and deployed through a Flask-based REST API, employing homomorphic encryption and artificial intelligence to protect personal information embedded in digital images. Kamplae secures metadata and bitmap content in jpeg, jpg, and png formats, adhering to legal standards in Mexico and the European Union.The study reviews prior work on personal data protection and the challenges posed by deep fakes, emphasising the need for robust regulatory frameworks to counter digital violence. It explores various encryption methods - symmetric, asymmetric, and hybrid - alongside relevant legal provisions across regions.Kamplae aims to prevent image misuse and foster a secure, ethical digital environment. While promising, it highlights areas for enhancement, such as broader format support and user interface refinement, with limitations tied to specific format compatibility and mobile performance. © 2025 IEEE.",artificial intelligence; asymmetric encryption; deep fake; encryption; hormomorphic encryption; multimedia files; symmetric encryption,Computer crime; Crime; Cryptography; Digital devices; Digital image storage; Electronic document exchange; Metadata; Mobile security; Sensitive data; User interfaces; Asymmetric encryption; Deep fake; Digital files; Ho-momorphic encryptions; Homomorphic-encryptions; Hormomorphic encryption; Identity theft; Multimedia files; Personal information; Symmetric encryption; Artificial intelligence,,979-833153559-9,,Conference paper,Final,,Scopus,2-s2.0-105037107014
