indice,Titulo,Año,Autor_norm,Afiliacion1,Afiliacion2,ISBN,ISSN,Doi,URL,Area,Subarea,Keywords,Abstract
PROQUEST_CC_0001,"Augmented reality to the creation of hybrid maps applied in soil sciences: a study case in Ixmiquilpan Hidalgo, Mexico",2024,"Ayala-Niño, Fernando;Fabila-Bustos, Diego A.;Cortés-Caballero, José M.;Pérez-Martínez, Ángel A.;López-Galindo, Francisco;Hernández-Chávez, Macaria","Universidad Nacional Autónoma de México (UNAM), Laboratorio de Edafología Aplicada y Servicios Ambientales, UBIPRO, Facultad de Estudios Superiores Iztacala, Tlalnepantla de Baz, México (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Laboratorio de Optomecatrónica, UPIIH, Instituto Politécnico Nacional (IPN), Distrito de Educación, Salud, Ciencia, Tecnología E Innovación, San Agustín Tlaxiaca, México (GRID:grid.418275.d) (ISNI:0000 0001 2165 8782) , Laboratorio de Optomecatrónica, UPIIH, Instituto Politécnico Nacional (IPN), Distrito de Educación, Salud, Ciencia, Tecnología E Innovación, San Agustín Tlaxiaca, México (GRID:grid.418275.d) (ISNI:0000 0001 2165 8782) , Laboratorio de Optomecatrónica, UPIIH, Instituto Politécnico Nacional (IPN), Distrito de Educación, Salud, Ciencia, Tecnología E Innovación, San Agustín Tlaxiaca, México (GRID:grid.418275.d) (ISNI:0000 0001 2165 8782) , Universidad Nacional Autónoma de México (UNAM), Laboratorio de Edafología Aplicada y Servicios Ambientales, UBIPRO, Facultad de Estudios Superiores Iztacala, Tlalnepantla de Baz, México (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Laboratorio de Optomecatrónica, UPIIH, Instituto Politécnico Nacional (IPN), Distrito de Educación, Salud, Ciencia, Tecnología E Innovación, San Agustín Tlaxiaca, México (GRID:grid.418275.d) (ISNI:0000 0001 2165 8782)",,,1380-7501,10.1007/s11042-023-17491-3,https://login.pbidi.unam.mx:2443/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fscholarly-journals%2Faugmented-reality-creation-hybrid-maps-applied%2Fdocview%2F3051771441%2Fse-2%3Faccountid%3D14598,SIAV,,"Augmented reality , Augmented reality , Earth science , Museums , SUSTAINABILITY , Geographic information systems , Earth sciences , Soil sciences , Soil properties , Colleges & universities , Mexico","The combination or mixture of methodologies offers so-called hybrid results, whose benefits can be focused on all areas of knowledge. In the present study, the creation of an Interactive Hybrid Maps Augmented Reality (AR) Application focused on teaching earth sciences was combined with edaphological, geographical, and cartographic information as a complement to online teaching due to the pandemic caused by COVID-19. Information was collected by studies carried out in the municipalities of Ixmiquilpan, Tasquillo, and Cardonal located at Mezquital Valley in Hidalgo, Mexico. The application was developed under evolutionary development models in combination with 2D maps, and Geographic Information Systems through the software Unity 3D graphics engine and AR Foundation SDK. In addition, laboratory results, information from historical databases, as well as field information, and pictures showing soil profiles of the study region were incorporated. The Interactive Hybrid Maps AR Application was installed and evaluated by Bachelor´s students of Biology with a specialty in soil sciences from the National Autonomous University of Mexico through a survey quiz that included items such as a learning tool, graphic 3D maps quality in augmented reality, easy handling, interaction and recommendable. Our results obtained a value of 0.90 Cronbach Alpha Coefficient indicating excellent reliability of the instrument. Moreover, an analysis of the last 10&#xa0;years shows an incipient development of applications based on Augmented Reality for teaching earth sciences for university education. However, it is shown a wide development of AR applications in several fields since mathematics to museums."
PROQUEST_CC_0002,Three-dimensional joint inversion of potential field datasets constrained by cross-gradient and depth weighting,2025,"León-Sánchez, Adrián Misael;Flores-Márquez, Elsa Leticia;Tejero-Andrade, Andrés","Instituto de Geofísica, Universidad Nacional Autónoma de México, Departamento de Geomagnetismo y Exploración, Ciudad de México, México (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Instituto de Geofísica, Universidad Nacional Autónoma de México, Departamento de Geomagnetismo y Exploración, Ciudad de México, México (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Facultad de Ingeniería, Universidad Nacional Autónoma de México, Departamento de Geofísica, Ciudad de México, México (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001)",,,1895-6572,10.1007/s11600-025-01561-1,https://login.pbidi.unam.mx:2443/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fscholarly-journals%2Fthree-dimensional-joint-inversion-potential-field%2Fdocview%2F3255195360%2Fse-2%3Faccountid%3D14598,CC,,"Gravity , Magnetics , Joint inversion , Cross-gradient","A three-dimensional cross-gradient joint inversion algorithm for potential datasets is presented. For the necessary forward gravity and magnetic modeling, the gravitational attraction and the total-field anomaly produced by a three-dimensional volume constituted by rectangular prisms is computed. Due to the imposition of a cross-gradient constraint on our joint inversion strategy, we use a slightly modified version of the nonlinear conjugate gradient methodology to solve for the model parameters. In order to counteract the natural decay implicit in the model responses, we impose a depth weighting on our objective function. To test the proposed algorithm, we first develop the individual and joint inversion of synthetic gravity and magnetic datasets. Finally, we carry out individual and joint inversions of potential field data acquired at La Primavera Geothermal Field, Jalisco, México. Our results show stable minimization processes of our objective function. Additionally, the calculated models reproduce their respective geophysical data for both individual and joint inversion experiments."
PROQUEST_CC_0003,A time-domain SGFD-FK hybrid method for 2D teleseismic elastic wave modeling and inversion,2024,"del Valle-Rosales, Mauricio;Chávez-García, Francisco José","Universidad Nacional Autónoma de México, Posgrado en Ciencias de la Tierra, Mexico City, Mexico (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Universidad Nacional Autónoma de México, Instituto de Ingeniería, Mexico City, Mexico (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001)",,,1895-6572,10.1007/s11600-024-01335-1,https://login.pbidi.unam.mx:2443/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fscholarly-journals%2Ftime-domain-sgfd-fk-hybrid-method-2d-teleseismic%2Fdocview%2F3254329455%2Fse-2%3Faccountid%3D14598,CC,,"Wave propagation , Coda waves , Seismic tomography , Inverse theory","Full waveform inversion (FWI) has proved to be a reliable tool for high-resolution imaging of lithospheric structures at various depths down to the upper mantle. However, when the size of the model is large, the computational burden is significative and applications are restricted to low frequencies. To tackle this issue, we developed a new 2D time-domain hybrid method to simulate high-frequency teleseismic body waves propagating through a local heterogeneous elastic Earth model: The frequency-wavenumber (FK) integration method is coupled with the staggered grid finite difference method (SGFD). The FK method is used to compute the wavefield due to obliquely incident plane P and SV waves in a 1D multilayered half space that excites a local heterogeneous region. Inside this region, the velocity-stress staggered grid FD method (SGFD) is used to accurately deal with wave propagation in heterogeneous media. Spurious waves that might be generated at the boundaries of the local region are avoided using convolutional perfectly matched layers (CPML). This new hybrid method inherits the low-memory requirements of the FK method and the accuracy, efficiency and easy implementation of the SGFD. The new hybrid method is benchmarked against the analytical FK method for some canonical models and shows good agreement with analytical solutions. Subsequently, our modeling tool is incorporated into a full waveform inversion algorithm adapted for teleseismic configurations to invert the incident P wave and its coda. The inversion is carried out using a gradient approach that is efficiently implemented via the adjoint-state method. The results suggest that our hybrid method and FWI algorithm represent a valuable tool for 2D forward and inverse regional applications using teleseismic data sets."
PROQUEST_CC_0004,Rectilinear convex hull of points in 3D and applications,2024,"Pérez-Lantero, Pablo;Seara, Carlos;Urrutia, Jorge","Universidad de Santiago de Chile (USACH), Facultad de Ciencia, Departamento de Matemática y Ciencia de la Computación, Santiago, Chile (GRID:grid.412179.8) (ISNI:0000 0001 2191 5013) , Universitat Politècnica de Catalunya, Departament de Matemàtiques, Barcelona, Spain (GRID:grid.6835.8) (ISNI:0000 0004 1937 028X) , Universidad Nacional Autónoma de México, Instituto de Matemáticas, Mexico, Mexico (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001)",,,0925-5001,10.1007/s10898-024-01402-3,https://login.pbidi.unam.mx:2443/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fscholarly-journals%2Frectilinear-convex-hull-points-3d-applications%2Fdocview%2F3107570942%2Fse-2%3Faccountid%3D14598,TC,,"Algorithms , Apexes , Combinatorial analysis , Algorithms , SUSTAINABILITY , Convex hulls","Let P be a set of n points in R 3 in general position, and let RCH ( P ) be the rectilinear convex hull of P . In this paper we obtain an optimal O ( n log n ) time and O ( n ) space algorithm to compute RCH ( P ). We also obtain an efficient O ( n log 2 n ) time and O ( n log n ) space algorithm to compute and maintain the set of vertices of the rectilinear convex hull of P as we rotate R 3 around the Z -axis. We study some combinatorial properties of the rectilinear convex hulls of point sets in R 3 . Finally, as an application of the obtained results, we show an approximation algorithm to an optimization fitting problem in R 3 ."
PROQUEST_IA_0001,Improved predictive diagnosis of diabetic macular edema based on hybrid models: An observational study,2024,"Hughes-Cano, JA;Quiroz-Mercado, H;Hernández-Zimbrón, L F;García-Franco, R;JF Rubio Mijangos;López-Star, E;García-Roa, M;Lansingh, V C;Olivares-Pinto, U;Thébault, S C","Laboratorio de Investigación Traslacional en Salud Visual, Instituto de Neurobiología, Universidad Nacional Autónoma de México (UNAM), Campus Juriquilla, Querétaro, Mexico , Research Department, Asociación Para Evitar la Ceguera, Mexico City, Mexico , Research Department, Asociación Para Evitar la Ceguera, Mexico City, Mexico , Instituto Mexicano de Oftalmología (IMO), I.A.P., Circuito Exterior Estadio Corregidora Sn, Centro Sur, 76090 Santiago de Querétaro, Querétaro, Mexico , Instituto Mexicano de Oftalmología (IMO), I.A.P., Circuito Exterior Estadio Corregidora Sn, Centro Sur, 76090 Santiago de Querétaro, Querétaro, Mexico , Instituto Mexicano de Oftalmología (IMO), I.A.P., Circuito Exterior Estadio Corregidora Sn, Centro Sur, 76090 Santiago de Querétaro, Querétaro, Mexico , Instituto Mexicano de Oftalmología (IMO), I.A.P., Circuito Exterior Estadio Corregidora Sn, Centro Sur, 76090 Santiago de Querétaro, Querétaro, Mexico , Instituto Mexicano de Oftalmología (IMO), I.A.P., Circuito Exterior Estadio Corregidora Sn, Centro Sur, 76090 Santiago de Querétaro, Querétaro, Mexico; HelpMeSee, Inc., 20 West 36th Street, Floor 4, New York, NY, 10018-8005, USA , Escuela Nacional de Estudios Superiores Unidad Juriquilla, Universidad Nacional Autónoma de México (UNAM), Campus Juriquilla, Querétaro, Mexico , Laboratorio de Investigación Traslacional en Salud Visual, Instituto de Neurobiología, Universidad Nacional Autónoma de México (UNAM), Campus Juriquilla, Querétaro, Mexico",,,0010-4825,10.1016/j.compbiomed.2024.107979,https://login.pbidi.unam.mx:2443/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fscholarly-journals%2Fimproved-predictive-diagnosis-diabetic-macular%2Fdocview%2F2928851773%2Fse-2%3Faccountid%3D14598,SIAV,,"Machine learning , Classifier , Hybrid model","Diabetic Macular Edema (DME) is the most common sight-threatening complication of type 2 diabetes. Optical Coherence Tomography (OCT) is the most useful imaging technique to diagnose, follow up, and evaluate treatments for DME. However, OCT exam and devices are expensive and unavailable in all clinics in low- and middle-income countries. Our primary goal was therefore to develop an alternative method to OCT for DME diagnosis by introducing spectral information derived from spontaneous electroretinogram (ERG) signals as a single input or combined with fundus that is much more widespread. Baseline ERGs were recorded in 233 patients and transformed into scalograms and spectrograms via Wavelet and Fourier transforms, respectively. Using transfer learning, distinct Convolutional Neural Networks (CNN) were trained as classifiers for DME using OCT, scalogram, spectrogram, and eye fundus images. Input data were randomly split into training and test sets with a proportion of 80 %–20 %, respectively. The top performers for each input type were selected, OpticNet-71 for OCT, DenseNet-201 for eye fundus, and non-evoked ERG-derived scalograms, to generate a combined model by assigning different weights for each of the selected models. Model validation was performed using a dataset alien to the training phase of the models. None of the models powered by mock ERG-derived input performed well. In contrast, hybrid models showed better results, in particular, the model powered by eye fundus combined with mock ERG-derived information with a 91 % AUC and 86 % F1-score, and the model powered by OCT and mock ERG-derived scalogram images with a 93 % AUC and 89 % F1-score. These data show that the spontaneous ERG-derived input adds predictive value to the fundus- and OCT-based models to diagnose DME, except for the sensitivity of the OCT model which remains the same. The inclusion of mock ERG signals, which have recently been shown to take only 5&#xa0;min to record in daylight conditions, therefore represents a potential improvement over existing OCT-based models, as well as a reliable and cost-effective alternative when combined with the fundus, especially in underserved areas, to predict DME."
PROQUEST_IA_0002,Reconstruction of dynamic systems using genetic algorithms with dynamic search limits,2025,"Rodríguez-Abreo, Omar;Aragón, José L.;Quiroz-Juárez, Mario A.","Universidad Nacional Autónoma de México, Centro de Física Aplicada y Tecnología Avanzada, Querétaro, Mexico (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Universidad Nacional Autónoma de México, Centro de Física Aplicada y Tecnología Avanzada, Querétaro, Mexico (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Universidad Nacional Autónoma de México, Centro de Física Aplicada y Tecnología Avanzada, Querétaro, Mexico (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001)",,,0177-0667,10.1007/s00366-025-02141-z,https://login.pbidi.unam.mx:2443/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fscholarly-journals%2Freconstruction-dynamic-systems-using-genetic%2Fdocview%2F3275468136%2Fse-2%3Faccountid%3D14598,IA,,"Dynamical systems , Genetics algorithms , System identification , Dynamic model , Optimization , Mathematical Sciences , Pure Mathematics , Applied Mathematics","Mathematical modeling is a powerful tool for describing, predicting, and understanding complex phenomena exhibited by real-world systems. However, identifying the equations that govern a system’s dynamics from experimental data remains a significant challenge without a definitive solution. In this study, evolutionary computing techniques are presented to estimate the governing equations of a dynamical system using time-series data. The main approach is to propose a candidate functions with unknown coefficients, and subsequently perform a parametric estimation using genetic algorithms. Some of the main contributions of the present study are an adequate modification of the genetic algorithm to remove terms with minimal contributions, and a mechanism to escape local optima during the search. To evaluate the proposed method, we applied it to three dynamical systems: a linear model, a nonlinear model, and the Lorenz system. Our results demonstrate a reconstruction with an integral square error below 0.22 and a coefficient of determination R 2 of 0.99 for all systems, indicating successful reconstruction of the governing dynamic equations."
PROQUEST_IA_0003,Transfer learning technique applied to polarized spectral lines,2025,"Raygoza-Romero, J M;Ramírez-Vélez, J C;Lopez-Nava, I H","Computer Science Department, Centro de Investigación Científica y Educación Superior de Ensenada, C. Tijuana-Ensenada 3918, Ensenada 22860, México , Universidad Nacional Autónoma de México, Instituto de Astronomía, A.P. 106, Ensenada 22800, B.C., México , Computer Science Department, Centro de Investigación Científica y Educación Superior de Ensenada, C. Tijuana-Ensenada 3918, Ensenada 22860, México",,,0035-8711,10.1093/mnras/staf1286,https://login.pbidi.unam.mx:2443/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fscholarly-journals%2Ftransfer-learning-technique-applied-polarized%2Fdocview%2F3246524782%2Fse-2%3Faccountid%3D14598,IA,,"Polarization , Methods: Data Analysis , Software: Machine Learning , Software: Simulations , Stars: Magnetic Fields","ABSTRACT We present a new approach to produce polarized spectra in the four Stokes profiles using a deep artificial neural network (ANN) model. The novelty of our approach lies in the use of the so-called transfer learning technique, where a pre-trained ANN is used to train other ANNs to perform similar tasks – such as the synthesis of Stokes profiles at different wavelengths and/or with a different atmospheric model. The training of the original ANN required millions of instances, each corresponding to different magnetic configurations over the stellar surface. This process can be very time-consuming, particularly when analysing several spectral lines. However, once the original ANN is trained, the transfer learning technique allows subsequent ANNs to achieve comparable performance with only a few thousand instances. This approach has the significant advantage that many ANNs can be trained with small data bases, which is a key aspect in machine learning. We demonstrate the performance of our approach through a test study involving the inversion of multiline profiles, finding excellent results in determining the stellar surface magnetic configuration."
PROQUEST_IA_0004,Complex Task Planning for General-Purpose Service Robots,2025,"Contreras, Luis;Savage, Jesús;Ortuño-Chanelo Stephany;Negrete, Marco;Okada Hiroyuki","Advanced Intelligence & Robotics Research Center, Tamagawa University 6-1-1 Tamagawagakuen, Machida, Tokyo 194-8610, Japan contreras.luis@lab.tamagawa.ac.jp , Signal Processing Department, National Autonomous University of Mexico Circuito Exterior S/N, Ciudad Universitaria, Coyoacán, Mexico City 04510, Mexico , Visual and Multimodal Applied Learning Laboratory, Polytechnic University of Turin Torino 10129, Italy , Signal Processing Department, National Autonomous University of Mexico Circuito Exterior S/N, Ciudad Universitaria, Coyoacán, Mexico City 04510, Mexico , Advanced Intelligence & Robotics Research Center, Tamagawa University 6-1-1 Tamagawagakuen, Machida, Tokyo 194-8610, Japan contreras.luis@lab.tamagawa.ac.jp",,,0915-3942,10.20965/jrm.2025.p0594,https://login.pbidi.unam.mx:2443/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fscholarly-journals%2Fcomplex-task-planning-general-purpose-service%2Fdocview%2F3222321653%2Fse-2%3Faccountid%3D14598,IA,,"domestic robots , general purpose service robots , expert systems , task planning , semantic understanding","Service robots, in contrast to industrial robots, are devices aimed to operate in the service sector in replacement of or collaboration with human performers—in particular, domestic service robots carry out daily household chores. Recently, their popularity has increased and the range and difficulty of the activities they can perform are reaching amazing performances. There have been proposed several systems that can generalize single tasks such as object manipulation or scene understanding but they still fail on complex task planning, i.e., when and where they can perform such tasks. In this work, we propose the use of expert systems as a core module to understand user commands, infer the task context, request missing information, and plan action where each step of the plan may consist of basic state machines to generalized deep-learning models."
PROQUEST_IA_0005,On the multi-objective hyperparameter optimization of the weighted entropic associative memory,2025,"Rivera, Juan Antonio López;Castellanos, Carlos Ignacio Hernández;Morales, Rafael;Cortés, Luis A. Pineda","Bravos Energía, 06100, Mexico City, Mexico , Universidad Nacional Autónoma de México, IIMAS, 04510, Mexico City, Mexico (ROR: https://ror.org/01tmp8f25) (GRID: grid.9486.3) (ISNI: 0000 0001 2159 0001) , Universidad de Guadalajara, SUV, 44130, Guadalajara, Mexico (ROR: https://ror.org/043xj7k26) (GRID: grid.412890.6) (ISNI: 0000 0001 2158 0196) , Universidad Nacional Autónoma de México, IIMAS, 04510, Mexico City, Mexico (ROR: https://ror.org/01tmp8f25) (GRID: grid.9486.3) (ISNI: 0000 0001 2159 0001)",,,,10.1038/s41598-025-22621-y,https://login.pbidi.unam.mx:2443/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fscholarly-journals%2Fon-multi-objective-hyperparameter-optimization%2Fdocview%2F3269025209%2Fse-2%3Faccountid%3D14598,IA,,"Entropic associative memory , Hyperparameter optimization , Multi-objective optimization , Information and Computing Sciences , Artificial Intelligence and Image Processing , Psychology and Cognitive Sciences , Psychology","This paper presents an application of automatic algorithm configuration to optimize the performance of the Weighted Entropic Associative Memory (W-EAM). This model holds declarative but distributed representations of remembered objects. We apply two state-of-the-art hyperparameter tuning methods—SMAC and SMS-EMOA—to improve W-EAM’s recognition accuracy across three domains of increasing complexity: digit recognition, character recognition, and phone recognition in Mexican Spanish. Each domain presents unique challenges in memory structure, data representation, and learning dynamics. We evaluate a multi-objective optimization setting, focusing on the trade-off between precision and recall. Our experiments show that optimized configurations consistently outperform the baseline model, with the largest gains observed in the phone domain. Additionally, a cyclical optimization-learning scheme further enhances performance by iteratively improving both model parameters and training data quality. These results highlight the potential of automated configuration methods in advancing adaptive memory systems and providing practitioners with a range of parameters to use on W-EAM."
PROQUEST_IA_0006,3D statistical shape models for automatic segmentation of the fetal cerebellum in ultrasound images,2025,"Velásquez-Rodríguez, Gustavo A.R.;Fanti-Gutiérrez, Zian;Torres, Fabián;Medina-Bañuelos, Verónica;Escalante-Ramírez, Boris;Camargo Marín, Lisbeth;Guzmán Huerta, Mario;Arámbula Cosío, Fernando","Universidad Nacional Autónoma de México, Ciudad Universitaria, Postgraduate Program in Electrical Engineering, Ciudad de México, Mexico (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Universidad Nacional Autónoma de México, Ciudad Universitaria, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Ciudad de México, Mexico (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Universidad Nacional Autónoma de México, Ciudad Universitaria, Instituto de Física, Ciudad de México, Mexico (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Universidad Autónoma Metropolitana-Iztapalapa, División de Ciencias Básicas e Ingeniería, Ciudad de México, Mexico (GRID:grid.7220.7) (ISNI:0000 0001 2157 0393) , Universidad Nacional Autónoma de México, Ciudad Universitaria, Facultad de Ingeniería, Ciudad de México, Mexico (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , National Institute of Perinatology, Department of Translational Medicine, Ciudad de México, Mexico (GRID:grid.419218.7) (ISNI:0000 0004 1773 5302) , National Institute of Perinatology, Department of Translational Medicine, Ciudad de México, Mexico (GRID:grid.419218.7) (ISNI:0000 0004 1773 5302) , Unidad Académica del IIMAS en Yucatán, Universidad Nacional Autónoma de México, Mérida, México (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001)",,,1863-1703,10.1007/s11760-024-03615-1,https://login.pbidi.unam.mx:2443/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fscholarly-journals%2F3d-statistical-shape-models-automatic%2Fdocview%2F3256966017%2Fse-2%3Faccountid%3D14598,SIAV,,"3D segmentation of the cerebellum , Spherical harmonics , Point distribution models , Information and Computing Sciences , Artificial Intelligence and Image Processing","The cerebellum is an important structure to determine fetal development because its volume has a high correlation with gestational age. Manual annotation of the cerebellum in 3D ultrasound images (to measure the cerebellar volume) requires highly trained experts to perform a time-consuming task. To assist in this task, we developed a totally automatic system for the 3D segmentation of the cerebellum in ultrasound images of the fetal brain, using a 3D Point Distribution Model (PDM) obtained from another statistical shape model based on a spherical harmonics (SPHARMs) representation, which provides a very efficient basis for the construction of statistical shape models of 3D organs with a spherical topology. Our PDM of the fetal cerebellum was automatically adjusted with the optimization of an objective function based on gray level voxel profiles, using a genetic algorithm. An automatic initialization and plane selection scheme was also developed, based on the detection of the cerebellum on each plane by a convolutional neural network (YOLO v2). Our results of the 3D segmentation of 18 ultrasound volumes of the fetal brain are: Dice coefficient of 0.83 ± 0.10 and Hausdorff distance of 3.61 ± 0.83&#xa0;mm. The methods reported show potential to successfully assist the experts in the assessment of fetal growth in ultrasound volumes."
