valor,motivo,alias_detectado,organismo_sugerido
Facultad de Ingeniería,alias_ambiguo_sin_senal_unam,Facultad de Ingeniería,Facultad de Ingeniería
Facultad de Ingeniería,alias_ambiguo_sin_senal_unam,Facultad de Ingenieria,Facultad de Ingeniería
Instituto de Ingeniería,alias_ambiguo_sin_senal_unam,Instituto de Ingeniería,Instituto de Ingeniería
Instituto de Ingeniería,alias_ambiguo_sin_senal_unam,Instituto de Ingenieria,Instituto de Ingeniería
Instituto de Matemáticas,alias_ambiguo_sin_senal_unam,Instituto de Matemáticas,Instituto de Matemáticas
Instituto de Matemáticas,alias_ambiguo_sin_senal_unam,Instituto de Matematicas,Instituto de Matemáticas
Facultad de Ciencias,alias_ambiguo_sin_senal_unam,Facultad de Ciencias,Facultad de Ciencias
Posgrado en Ciencia e Ingeniería de la Computación,programa_sin_organismo_detectado,,
Facultad de Ciencias Politicas Y Sociales,alias_ambiguo_sin_senal_unam,Facultad de Ciencias,Facultad de Ciencias
Unidad de Posgrado,programa_sin_organismo_detectado,,
Facultad de Ciencias Unidad Yucatán,alias_ambiguo_sin_senal_unam,Facultad de Ciencias,Facultad de Ciencias
Posgrado en Ingeniería,programa_sin_organismo_detectado,,
Facultad de Ciencias Unidad Cuernavaca,alias_ambiguo_sin_senal_unam,Facultad de Ciencias,Facultad de Ciencias
Ciencias Biomédicas,programa_sin_organismo_detectado,,
Posgrado en Ciencias Biológicas,programa_sin_organismo_detectado,,
Posgrado en Ciencia e Ingeniería en Computación,programa_sin_organismo_detectado,,
Posgrado en Ciencias de la Tierra,programa_sin_organismo_detectado,,
Posgrado en Ciencias Biologicas,programa_sin_organismo_detectado,,
