alias,alias_norm,organismo_unam,organismo_norm,organismo_base,sede_unidad,fuente_alias,requiere_senal_unam,es_alias_sede
CRIM Cuernavaca,crim cuernavaca,"Centro Regional de Investigaciones Multidisciplinarias, Cuernavaca",centro regional de investigaciones multidisciplinarias cuernavaca,Centro Regional de Investigaciones Multidisciplinarias,Cuernavaca,acronimo_sede,False,True
Centro Regional de Investigaciones Multidisciplinarias Cuernavaca,centro regional de investigaciones multidisciplinarias cuernavaca,"Centro Regional de Investigaciones Multidisciplinarias, Cuernavaca",centro regional de investigaciones multidisciplinarias cuernavaca,Centro Regional de Investigaciones Multidisciplinarias,Cuernavaca,variante_sede,False,True
Centro de Ciencias Genómicas Cuernavaca,centro de ciencias genomicas cuernavaca,"Centro de Ciencias Genómicas, Cuernavaca",centro de ciencias genomicas cuernavaca,Centro de Ciencias Genómicas,Cuernavaca,variante_sede,False,True
CFATA Juriquilla,cfata juriquilla,"Centro de Física Aplicada y Tecnología Avanzada, Juriquilla",centro de fisica aplicada y tecnologia avanzada juriquilla,Centro de Física Aplicada y Tecnología Avanzada,Juriquilla,acronimo_sede,False,True
Centro de Física Aplicada y Tecnología Avanzada Juriquilla,centro de fisica aplicada y tecnologia avanzada juriquilla,"Centro de Física Aplicada y Tecnología Avanzada, Juriquilla",centro de fisica aplicada y tecnologia avanzada juriquilla,Centro de Física Aplicada y Tecnología Avanzada,Juriquilla,variante_sede,False,True
ENES Juriquilla,enes juriquilla,"Escuela Nacional de Estudios Superiores, Unidad Juriquilla",escuela nacional de estudios superiores unidad juriquilla,Escuela Nacional de Estudios Superiores,Unidad Juriquilla,acronimo,False,True
"Escuela Nacional de Estudios Superiores, Unidad Juriquilla",escuela nacional de estudios superiores unidad juriquilla,"Escuela Nacional de Estudios Superiores, Unidad Juriquilla",escuela nacional de estudios superiores unidad juriquilla,Escuela Nacional de Estudios Superiores,Unidad Juriquilla,catalogo_canonico,False,True
ENES León,enes leon,"Escuela Nacional de Estudios Superiores, Unidad León",escuela nacional de estudios superiores unidad leon,Escuela Nacional de Estudios Superiores,Unidad León,acronimo,False,True
"Escuela Nacional de Estudios Superiores, Unidad León",escuela nacional de estudios superiores unidad leon,"Escuela Nacional de Estudios Superiores, Unidad León",escuela nacional de estudios superiores unidad leon,Escuela Nacional de Estudios Superiores,Unidad León,catalogo_canonico,False,True
ENES Morelia,enes morelia,"Escuela Nacional de Estudios Superiores, Unidad Morelia",escuela nacional de estudios superiores unidad morelia,Escuela Nacional de Estudios Superiores,Unidad Morelia,acronimo,False,True
