alias,autor_normalizado,confianza,origen,score,n_filas_base,n_articulos_base
A I H Al Jarah,A I H Al Jarah,alta,tutora_exacta_display,1.0,2,2
A. I. H. Al-Jarah,A I H Al Jarah,alta,tutora_exacta,1.0,5,5
"Al-Jarah, A.I.H.",A I H Al Jarah,alta,tutora_exacta,1.0,2,2
A Ramírez Vigueras,Adriana Ramírez Vigueras,media,tutora_probable_display,0.96,1,1
"Ramírez-Vigueras, A.",Adriana Ramírez Vigueras,media,tutora_probable,0.96,1,1
Airam Curtidor,Airam Curtidor,alta,tutora_exacta_display,1.0,2,2
"Curtidor, Airam",Airam Curtidor,alta,tutora_exacta,1.0,2,2
Alan Romero Pacheco,Alan Romero Pacheco,alta,tutora_exacta_display,1.0,2,2
Alan Romero pacheco,Alan Romero Pacheco,alta,tutora_exacta_display,1.0,2,2
"Romero-pacheco, Alan",Alan Romero Pacheco,alta,tutora_exacta,1.0,2,2
"Romero–Pacheco, Alan",Alan Romero Pacheco,alta,tutora_exacta,1.0,2,2
Alberto Darszon,Alberto Darszon,alta,tutora_exacta_display,1.0,1,1
"Darszon, Alberto",Alberto Darszon,alta,tutora_exacta,1.0,1,1
Alejandro Cruz Osorio,Alejandro Cruz Osorio,alta,tutora_exacta_display,1.0,4,4
"Cruz-Osorio, Alejandro",Alejandro Cruz Osorio,alta,tutora_exacta,1.0,4,4
Alejandro Ramirez Reivich,Alejandro Cuauhtemoc Ramirez Reivich,alta,tutora_probable_display,0.99,7,7
"Ramirez-Reivich, Alejandro",Alejandro Cuauhtemoc Ramirez Reivich,alta,tutora_probable,0.99,7,7
Alejandro Velazquez Mena,Alejandro Velázquez Mena,alta,tutora_exacta_display,1.0,5,5
"Velazquez-Mena, Alejandro",Alejandro Velázquez Mena,alta,tutora_exacta,1.0,5,5
Alessio Franci,Alessio Franci,alta,tutora_exacta_display,1.0,2,2
"Franci, Alessio",Alessio Franci,alta,tutora_exacta,1.0,2,2
A. G. Strozzi,Alfonso Gastélum Strozzi,media,tutora_probable,0.96,2,2
Andrés Tejero Andrade,Andres Tejero Andrade,alta,tutora_exacta_display,1.0,3,3
"Tejero-Andrade, Andrés",Andres Tejero Andrade,alta,tutora_exacta,1.0,3,3
Andric Valdez Valenzuela,Andric Valdez Valenzuela,alta,tutora_exacta_display,1.0,12,12
"Valdez-Valenzuela, Andric",Andric Valdez Valenzuela,alta,tutora_exacta,1.0,12,12
Andres Bribiesca Sanchez,Andrés Bribiesca Sánchez,alta,tutora_exacta_display,1.0,2,2
Andrés Bribiesca Sánchez,Andrés Bribiesca Sánchez,alta,tutora_exacta_display,1.0,3,3
"Bribiesca-Sanchez, Andres",Andrés Bribiesca Sánchez,alta,tutora_exacta,1.0,2,2
"Bribiesca-Sánchez, Andrés",Andrés Bribiesca Sánchez,alta,tutora_exacta,1.0,3,3
Antonio Cedillo Hernandez,Antonio Cedillo Hernández,alta,tutora_exacta_display,1.0,2,2
"Cedillo-Hernandez, Antonio",Antonio Cedillo Hernández,alta,tutora_exacta,1.0,2,2
Antonio Neme,Antonio Neme,alta,tutora_exacta_display,1.0,3,3
"Neme, Antonio",Antonio Neme,alta,tutora_exacta,1.0,3,3
Armando Castaneda,Armando Castañeda Rojano,alta,tutora_doi_compartido_display,0.98,11,11
Armando Castañeda,Armando Castañeda Rojano,alta,tutora_doi_compartido_display,0.98,38,38
"Castaneda, Armando",Armando Castañeda Rojano,alta,tutora_doi_compartido,0.98,11,11
"Castañeda, Armando",Armando Castañeda Rojano,alta,tutora_doi_compartido,0.98,38,38
A Martinez Davalos,Arnulfo Martínez Dávalos,media,tutora_probable_display,0.96,3,3
A Martínez Dávalos,Arnulfo Martínez Dávalos,media,tutora_probable_display,0.96,3,3
A. Martínez-Dávalos,Arnulfo Martínez Dávalos,media,tutora_probable,0.96,6,6
Arnulfo Martinez Davalos,Arnulfo Martínez Dávalos,alta,tutora_exacta_display,1.0,3,3
Arnulfo Martínez Dávalos,Arnulfo Martínez Dávalos,alta,tutora_exacta_display,1.0,3,3
"Martinez-Davalos, A.",Arnulfo Martínez Dávalos,media,tutora_probable,0.96,3,3
"Martinez-Davalos, Arnulfo",Arnulfo Martínez Dávalos,alta,tutora_exacta,1.0,3,3
"Martínez-Dávalos, A.",Arnulfo Martínez Dávalos,media,tutora_probable,0.96,3,3
"Martínez-Dávalos, Arnulfo",Arnulfo Martínez Dávalos,alta,tutora_exacta,1.0,3,3
Arturo Avendano Estrada,Arturo Avendaño Estrada,alta,tutora_exacta_display,1.0,1,1
Arturo Avendaño Estrada,Arturo Avendaño Estrada,alta,tutora_exacta_display,1.0,1,1
"Avendano-Estrada, Arturo",Arturo Avendaño Estrada,alta,tutora_exacta,1.0,1,1
"Avendaño-Estrada, Arturo",Arturo Avendaño Estrada,alta,tutora_exacta,1.0,1,1
C Hernandez,Augusto Cesar Poot Hernández,media,tutora_probable_display,0.96,1,1
C. Hernández,Augusto Cesar Poot Hernández,media,tutora_probable,0.96,12,12
"Hernandez, C.",Augusto Cesar Poot Hernández,media,tutora_probable,0.96,1,1
E Sánchez,Beatriz Sánchez y Sánchez,media,tutora_probable_display,0.96,1,1
"Sánchez, E.",Beatriz Sánchez y Sánchez,media,tutora_probable,0.96,1,1
