alias,autor_normalizado,confianza,origen,score,n_filas_base,n_articulos_base
A Alberdi,A Alberdi,media,revision_manual_resuelta_web,,,
"Alberdi, A.",A Alberdi,media,revision_manual_resuelta_web,,,
A Andrés,A Andrés,media,revision_manual_resuelta_web,,,
"Andrés, A.",A Andrés,media,revision_manual_resuelta_web,,,
A Bernal,A Bernal,media,revision_manual_resuelta_web,,,
"Bernal, A.",A Bernal,media,revision_manual_resuelta_web,,,
A I H Al Jarah,A I H Al Jarah,alta,tutora_exacta_display,1.0,2,2
"Al-Jarah, A.I.H.",A I H Al Jarah,alta,tutora_exacta,1.0,2,2
A L Padilla Ortiz,A L Padilla Ortiz,media,revision_manual_resuelta_web,,,
"Padilla-Ortiz, A.L.",A L Padilla Ortiz,media,revision_manual_resuelta_web,,,
A. Y. Alarcón López,A Y Alarcón López,media,revision_manual_resuelta_web,,,
Abdelmajid Ibrahim A A Mansour,Abdelmajid Ibrahim Mansour,media,revision_manual_resuelta_web,,,
Abdelmajid Ibrahim Mansour,Abdelmajid Ibrahim Mansour,media,revision_manual_resuelta_web,,,
"Mansour, Abdelmajid Ibrahim A.A.",Abdelmajid Ibrahim Mansour,media,revision_manual_resuelta_web,,,
Abir Messaoudi,Abir Messaoudi,alta,nuevo_autor_normalizado_display,0.0,1,1
"Messaoudi, Abir",Abir Messaoudi,alta,nuevo_autor_normalizado,0.0,1,1
A. Cisneros-Mejorado,Abraham Jotssel Cisneros Mejorado,alta,revision_manual_resuelta_web,,,
Abraham Jotssel Cisneros Mejorado,Abraham Jotssel Cisneros Mejorado,alta,revision_manual_resuelta_web,,,
Adolfo Guzman,Adolfo Guzman,alta,nuevo_autor_normalizado_display,0.0,2,2
"Guzman, Adolfo",Adolfo Guzman,alta,nuevo_autor_normalizado,0.0,2,2
Adolfo Guzman Arenas,Adolfo Guzman Arenas,alta,nuevo_autor_normalizado_display,0.0,1,1
"Guzman-Arenas, Adolfo",Adolfo Guzman Arenas,alta,nuevo_autor_normalizado,0.0,1,1
Adrián Beltrán Fernández,Adrián Beltrán Fernández,alta,nuevo_autor_normalizado_display,0.0,2,2
"Beltrán-Fernández, Adrián",Adrián Beltrán Fernández,alta,nuevo_autor_normalizado,0.0,2,2
A Biland,Adrian Biland,media,revision_manual_resuelta_web,,,
Adrian Biland,Adrian Biland,media,revision_manual_resuelta_web,,,
"Biland, A.",Adrian Biland,media,revision_manual_resuelta_web,,,
Adrián Durán Chavesti,Adrián Durán Chavesti,alta,nuevo_autor_normalizado_display,0.0,7,7
"Durán-Chavesti, Adrián",Adrián Durán Chavesti,alta,nuevo_autor_normalizado,0.0,7,7
Adrián Juárez Pérez,Adrián Juárez Pérez,alta,nuevo_autor_normalizado_display,0.0,2,2
"Juárez-Pérez, Adrián",Adrián Juárez Pérez,alta,nuevo_autor_normalizado,0.0,2,2
Adrián Maldonado Oclica,Adrián Maldonado Oclica,alta,nuevo_autor_normalizado_display,0.0,2,2
"Maldonado-Oclica, Adrián",Adrián Maldonado Oclica,alta,nuevo_autor_normalizado,0.0,2,2
Adrián Misael León Sánchez,Adrián Misael León Sánchez,alta,nuevo_autor_normalizado_display,0.0,3,3
"León-Sánchez, Adrián Misael",Adrián Misael León Sánchez,alta,nuevo_autor_normalizado,0.0,3,3
A Menchaca Méndez,Adriana Menchaca Méndez,alta,resuelto_con_fuente_externa_display,0.9,4,4
"Menchaca-Méndez, A.",Adriana Menchaca Méndez,alta,resuelto_con_fuente_externa,0.9,4,4
A Ramírez Vigueras,Adriana Ramírez Vigueras,media,tutora_probable_display,0.96,1,1
"Ramírez-Vigueras, A.",Adriana Ramírez Vigueras,media,tutora_probable,0.96,1,1
Aher Nirbhay Anil,Aher Nirbhay Anil,alta,nuevo_autor_normalizado_display,0.0,1,1
"Anil, Aher Nirbhay",Aher Nirbhay Anil,alta,nuevo_autor_normalizado,0.0,1,1
Ahmed Imad Hammoodi Al Jarah,Ahmed Imad Hammoodi Al Jarah,alta,nuevo_autor_normalizado_display,0.0,10,10
"Al-Jarah, Ahmed Imad Hammoodi",Ahmed Imad Hammoodi Al Jarah,alta,nuevo_autor_normalizado,0.0,10,10
Airam Curtidor,Airam Curtidor,alta,tutora_exacta_display,1.0,2,2
"Curtidor, Airam",Airam Curtidor,alta,tutora_exacta,1.0,2,2
Akash Harapanahalli,Akash Harapanahalli,alta,nuevo_autor_normalizado_display,0.0,4,4
"Harapanahalli, Akash",Akash Harapanahalli,alta,nuevo_autor_normalizado,0.0,4,4
Alain Morales Martínez,Alain Morales Martínez,alta,nuevo_autor_normalizado_display,0.0,5,5
"Morales-Martínez, Alain",Alain Morales Martínez,alta,nuevo_autor_normalizado,0.0,5,5
Alan Ernesto Arteaga Vázquez,Alan Ernesto Arteaga Vázquez,alta,nuevo_autor_normalizado_display,0.0,2,2
"Vázquez, Alan Ernesto Arteaga",Alan Ernesto Arteaga Vázquez,alta,nuevo_autor_normalizado,0.0,2,2
A M Camargo,Alan Mauricio Camargo Hernández,alta,revision_manual_resuelta_web,,,
Alan Mauricio Camargo Hernández,Alan Mauricio Camargo Hernández,alta,revision_manual_resuelta_web,,,
"Camargo, A.M.",Alan Mauricio Camargo Hernández,alta,revision_manual_resuelta_web,,,
Alan Romero Pacheco,Alan Romero Pacheco,alta,tutora_exacta_display,1.0,2,2
"Romero-pacheco, Alan",Alan Romero Pacheco,alta,tutora_exacta,1.0,2,2
Alberto Daniel Fuentes Villegas,Alberto Daniel Fuentes Villegas,alta,nuevo_autor_normalizado_display,0.0,3,3
"Daniel Fuentes-Villegas, Alberto",Alberto Daniel Fuentes Villegas,alta,nuevo_autor_normalizado,0.0,2,2
"Fuentes-Villegas, Alberto Daniel",Alberto Daniel Fuentes Villegas,alta,nuevo_autor_normalizado,0.0,3,3
Alberto Darszon,Alberto Darszon,alta,tutora_exacta_display,1.0,1,1
"Darszon, Alberto",Alberto Darszon,alta,tutora_exacta,1.0,1,1
A M Millán,Alberto Maximiliano Millan Prado,alta,revision_manual_resuelta_web,,,
Alberto Maximiliano Millán Prado,Alberto Maximiliano Millan Prado,alta,nuevo_autor_normalizado_display,0.0,2,2
