Autor_norm,Afiliacion1,Afiliacion2,num_articulos
Helena Montserrat Gómez Adorno,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas | Universidad Nacional Autonoma de Mexico | Instituto de Ingeniería,Facultad de Ciencias | Instituto de Ingeniería | Centro de Estudios en Computación Avanzada,26
Gemma Bel Enguix,Instituto de Ingeniería | Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,Instituto de Ingeniería,19
Boris Escalante Ramírez,Facultad de Ingeniería | Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas | Centro de Estudios en Computación Avanzada,Facultad de Ingeniería,15
Jimena Olveres Montiel,Facultad de Ingeniería | Centro de Estudios en Computación Avanzada,Facultad de Ingeniería,14
Carlos Ignacio Hernández Castellanos,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,13
Gerardo Eugenio Sierra Martínez,Instituto de Ingeniería | Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,Instituto de Ingeniería,11
Sergio Rajsbaum Gorodezky,Instituto de Matemáticas,,11
Mario Roberto Arrieta Paternina,Facultad de Ingeniería,,10
Armando Castañeda Rojano,Instituto de Matemáticas,,9
Sergio Luis Ojeda Trueba,Instituto de Ingeniería | Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,9
Roman Victoriano Osorio Comparan,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,Facultad de Ingeniería,8
Fernando Arámbula Cosío,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas Unidad Yucatán | Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,7
Jorge Luis Pérez González,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas Unidad Yucatán | Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,7
Saiph Savage,Universidad Nacional Autonoma de Mexico,,7
Everardo Barcenas,Facultad de Ingeniería,,6
Gibrán Fuentes Pineda,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,6
Luis Benet,Instituto de Ciencias Físicas,,6
Alec Sanchez Montero,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,Instituto de Ingeniería,5
Arnulfo Martínez Dávalos,Facultad de Medicina | Instituto de Física,Instituto de Física,5
Francisco Javier García Ugalde,Facultad de Ingeniería,,5
Javier Gómez Castellanos,Facultad de Ingeniería,,5
Jorge Urrutia Galicia,Instituto de Matemáticas,,5
Mercedes Rodríguez Villafuerte,Facultad de Medicina | Instituto de Física,Instituto de Física,5
Andric Valdez Valenzuela,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,4
Cesar Hernández Cruz,Facultad de Ciencias | Instituto de Matemáticas,Facultad de Ciencias,4
Ernesto Bribiesca Correa,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,4
Fernando Moncada Gutierrez,Instituto de Física,,4
Frederic Trillaud,Instituto de Ingeniería,,4
Jesús Savage Carmona,Facultad de Ingeniería,,4
Juan Mario Pena Cabrera,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas | Facultad de Ingeniería,,4
Luis Martin Sanchez Adame,Facultad de Estudios Superiores Acatlán,,4
Magdiel Jiménez Guarneros,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,4
Mario Alan Quiroz Juarez,Centro de Física Aplicada y Tecnología Avanzada,,4
Mario Alberto Diaz Torres,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,4
Blanca Vazquez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas Unidad Yucatán,,3
Daniel Haro Mendoza,Facultad de Ingeniería,,3
David Arturo Rosenblueth Laguette,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,3
David Tinoco Varela,Facultad de Estudios Superiores Cuautitlán,,3
Didier Torres Guzman,Facultad de Ingeniería,,3
Edgardo Galán Vásquez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas | Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas Unidad Yucatán,,3
Elizabet de Armas,Facultad de Ingeniería,,3
Fabián Torres Robles,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas | Facultad de Ingeniería,Instituto de Física,3
Francisco Lopez Ponce,Instituto de Ingeniería,,3
Francisco Valdés Souto,Facultad de Ciencias,,3
Héctor Benítez Pérez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas | Dirección General de Cómputo y de Tecnologías de Información y Comunicación,,3
Jesus Nestaly Marin Nevarez,Facultad de Ciencias | Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas | Instituto de Matemáticas,,3
Jorge Luis Ortega Arjona,Facultad de Ciencias,,3
Jose Jaime Camacho Escoto,Facultad de Ingeniería,,3
Jose Maria Matias Maruri,Facultad de Ingeniería,,3
Karla Salas Jimenez,Universidad Nacional Autonoma de Mexico,,3
Luis Alberto Pineda Cortés,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,3
Luis Francisco Garcia Jimenez,Facultad de Ingeniería,,3
Marco Negrete,Facultad de Ingeniería,,3
María Elena Martínez Pérez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,3
Nidiyare Hevia Montiel,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas Unidad Yucatán,,3
Oliverio Cruz Mejia,Facultad de Estudios Superiores Aragón,Facultad de Ingeniería,3
Oriol Solé Pi,Facultad de Ciencias,,3
Orlando Ramos Flores,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,3
Roberto Giovanni Ramírez Chavarría,Instituto de Ingeniería | Instituto de Ciencias Aplicadas y Tecnología,Instituto de Ingeniería,3
Suemi Rodríguez Romo,Facultad de Estudios Superiores Cuautitlán,,3
Vicente Borja Ramírez,Facultad de Ingeniería,,3
Víctor Javier González Villela,Facultad de Ingeniería,,3
Wendy Elizabeth Aguilar Martínez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,3
Ximena Gutierrez Vasques,Centro de Investigaciones Interdisciplinarias en Ciencias y Humanidades,,3
Alejandro Cuauhtemoc Ramirez Reivich,Facultad de Ingeniería,,2
Alfonso Gastélum Strozzi,Instituto de Ciencias Aplicadas y Tecnología,,2
Alfredo Varela Vega,Centro de Ciencias Genómicas,,2
Angel Cadena Bautista,Instituto de Ingeniería,,2
Anthony Torres Hernandez,Facultad de Ciencias,,2
Augusto Cesar Poot Hernandez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,2
Benjamin Dominguez Trejo,Facultad de Psicología,,2
Carlos Argaez,Instituto de Ingeniería,,2
Carlos Francisco Méndez Cruz,Facultad de Estudios Superiores Cuautitlán | Centro de Ciencias Genómicas,,2
Carlos Gershenson García,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,Centro de Ciencias de la Complejidad,2
Carlos Gilberto Gomez Monroy,Facultad de Ingeniería,,2
Carlos Minutti Martinez,Centro de Estudios en Computación Avanzada,,2
Daniel Castañon Quiroz,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,2
David Arturo Soriano Valdez,Instituto de Ciencias Aplicadas y Tecnología,,2
David Salvador Preciado Marquez,Instituto de Ingeniería | Facultad de Ciencias,,2
Edgar Lee Romero,Instituto de Ingeniería | Universidad Nacional Autonoma de Mexico,,2
Edgardo Roldán Pensado,Escuela Nacional de Estudios Superiores Unidad Morelia,Centro de Ciencias Matemáticas,2
Eduardo Fragoso Navarro,Facultad de Ingeniería,,2
Eric Valdez Valenzuela,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,2
Ernesto Alonso Villegas Jimenez,Facultad de Estudios Superiores Aragón,,2
Ernesto Pérez Rueda,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas Unidad Yucatán | Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,2
Felix Hernandez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,2
Fernando Brambila Paz,Facultad de Ciencias,,2
Fernando Esteban Contreras Mendoza,Facultad de Ciencias | Instituto de Matemáticas,Facultad de Ciencias,2
Fernando Perez Escamirosa,Instituto de Ciencias Aplicadas y Tecnología,,2
Gabriel Carcedo Rodriguez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas Unidad Yucatán,,2
Gabriela Araujo Pardo,Instituto de Matemáticas,,2
Gerardo Vega Hernandez,Dirección General de Cómputo y de Tecnologías de Información y Comunicación,,2
Gilde Valeria Rodriguez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,Instituto de Matemáticas,2
Gunnar Wolf,Instituto de Investigaciones Económicas,Facultad de Ingeniería,2
Haydee O Hernandez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas | Instituto de Biotecnología,,2
Héctor Alva Sánchez,Instituto de Física,,2
Ivan Diaz,Universidad Nacional Autonoma de Mexico,,2
Ivan Vladimir Meza Ruíz,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,2
Jesus Hernandez Falcon,Facultad de Ingeniería,,2
Jesus Vazquez Osorio,Instituto de Ingeniería,,2
Jesús García Ramírez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas | Facultad de Ingeniería,,2
Jorge Patricio Castillo Lopez,Instituto de Física,,2
Jose Antonio Marmolejo Saucedo,Facultad de Ingeniería,,2
Jose Perusquia,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,Facultad de Ciencias,2
Jose Rodriguez,Facultad de Estudios Superiores Acatlán,,2
José David Flores Peñaloza,Facultad de Ciencias,,2
Juan Jose Montellano Ballesteros,Instituto de Matemáticas,,2
Karina Mendoza Angeles,Facultad de Medicina,,2
Karla Sanchez Torres,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,2
Katya Rodríguez Vázquez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,2
Leonardo Faustinos Morales,Facultad de Ciencias,,2
Luis Santamaria Padilla,Instituto de Ingeniería | Instituto de Ciencias Aplicadas y Tecnología,Instituto de Ingeniería,2
Manuel Cedillo Hernández,Facultad de Ingeniería,,2
Marco Antonio Arteaga Pérez,Facultad de Ingeniería,,2
Marco Colin Garcia,Instituto de Ciencias Aplicadas y Tecnología,,2
Mario Estanislao Guzman Huerta,Facultad de Medicina,,2
María Ester Brandan,Instituto de Física,,2
Miguel Perez Gaspar,Facultad de Ingeniería,,2
Miguel Pina,Facultad de Ciencias,,2
Mikel Segura,Centro de Investigaciones Interdisciplinarias en Ciencias y Humanidades,,2
Norberto Alonso Colin Garcia,Escuela Nacional de Estudios Superiores Unidad Mérida,,2
Omar Rodriguez Abreo,Centro de Física Aplicada y Tecnología Avanzada,,2
Ricardo Montoya del Angel,Instituto de Física,,2
Rocio Aldeco Perez,Facultad de Ingeniería,,2
Rodrigo Ramos Diaz,Facultad de Ingeniería,,2
Roman Rossi Pool,Centro de Ciencias de la Complejidad,Instituto de Fisiología Celular,2
Rosa María Quispe Siccha,Instituto de Ingeniería,,2
Rubén Tapia Olvera,Facultad de Ingeniería,,2
Saul Tovar Arriaga,Instituto de Neurobiología,,2
Scott Thomas Andersen,Instituto de Ingeniería | Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,2
Ursula Iturrarán Viveros,Facultad de Ciencias,,2
Verónica Esther Arriola Ríos,Facultad de Ciencias,,2
Victor Mijangos,Facultad de Ciencias,,2
William Alvarez Giron,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,2
Zian Fanti Gutiérrez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,Facultad de Ingeniería,2
A Andres,Instituto de Física,,1
A Bernal,Instituto de Astronomía,,1
A L Padilla Ortiz,Instituto de Ciencias Aplicadas y Tecnología,,1
Abraham Arvizu,Instituto de Ciencias Físicas,,1
Abraham Jotssel Cisneros Mejorado,Instituto de Neurobiología,,1
Adrian Beltran Fernandez,Facultad de Ciencias,,1
Adrian Duran Chavesti,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Adrian Juarez Perez,Facultad de Estudios Superiores Iztacala,,1
Adrian Maldonado Oclica,Facultad de Ciencias,,1
Adrian Misael Leon Sanchez,Instituto de Geofísica,,1
Adriana Ramírez Vigueras,Instituto de Matemáticas,,1
Ahmed Imad Hammoodi Al Jarah,Universidad Nacional Autonoma de Mexico,,1
Airam Curtidor,Instituto de Ciencias Aplicadas y Tecnología,,1
Alain Morales Martinez,Facultad de Ingeniería,,1
Alan Ernesto Arteaga Vazquez,Universidad Nacional Autonoma de Mexico,,1
Alan Mauricio Camargo Hernandez,Universidad Nacional Autonoma de Mexico,,1
Alberto Daniel Fuentes Villegas,Universidad Nacional Autonoma de Mexico,,1
Alberto Darszon,Instituto de Biotecnología,,1
Alberto Maximiliano Millan Prado,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Alberto Saldana,Instituto de Matemáticas,,1
Aldo Santiago Alejandro,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Aldo Yoshio Alarcon Lopez,Facultad de Estudios Superiores Cuautitlán,,1
Alejandra Mondragon Maya,Facultad de Estudios Superiores Iztacala,,1
Alejandro Aviles,Instituto de Ciencias Físicas,,1
Alejandro Cruz Osorio,Instituto de Astronomía,,1
Alejandro Pimentel Alarcon,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Alejandro Puga Mendoza,Facultad de Ingeniería,,1
Alejandro Torres Hurtado,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Alejandro Vasquez Arzola,Instituto de Física,,1
Alejandro Velázquez Mena,Facultad de Ingeniería,,1
Ali Berenice Posada Reyes,Centro de Ciencias Genómicas,,1
Alicia Ortega Aguilar,Facultad de Medicina,,1
Alipio Gustavo Calles Martínez,Facultad de Ciencias,,1
Alma Alejandra Luna Gomez,Facultad de Estudios Superiores Cuautitlán,,1
Amado Gustavo Ayala Milian,Instituto de Ingeniería,,1
Ameyali Diaz Velasco,Instituto de Ingeniería,,1
Ana Bautista Hernandez,Instituto de Astronomía,,1
Ana Paulina Gomora Figueroa,Facultad de Ingeniería,,1
Andrea Robles Guerrero,Facultad de Estudios Superiores Aragón,,1
Andres Alberto Aviles Alvarado,Instituto de Astronomía,,1
Andres Tejero Andrade,Facultad de Ingeniería,,1
Andrés Bribiesca Sánchez,Instituto de Biotecnología,,1
Angel Castro,Instituto de Astronomía,,1
Angel Leonardo Campos Carreras,Facultad de Ingeniería,,1
Angela del Pilar Olivares Vera,Escuela Nacional de Estudios Superiores Unidad León,,1
Antonio Neme,Universidad Nacional Autonoma de Mexico,,1
Antonio Paulino Zainos Rosales,Instituto de Fisiología Celular,,1
Antonio Torres,Instituto de Matemáticas,,1
Anwar Jair Diaz Urias,Facultad de Ingeniería,,1
Araceli Romo Cabrera,Facultad de Estudios Superiores Aragón,,1
Argelia Perez Pacheco,Instituto de Ciencias Aplicadas y Tecnología,,1
Ariel Bello Guerrero,Facultad de Estudios Superiores Aragón,,1
Armando Sanchez Mata,Facultad de Estudios Superiores Aragón,,1
Arturo Avendaño Estrada,Instituto de Física,,1
Arturo Erdely Ruiz,Facultad de Estudios Superiores Acatlán,,1
Arturo Ortega Vega,Facultad de Ciencias,,1
Beatriz Catalina Aldape Barrios,Facultad de Odontología,,1
Beatriz Sánchez y Sánchez,Instituto de Astronomía,,1
Berenice Zapata Norberto,Estación Regional del Noroeste,,1
Bernardo Andrade Ortega,Instituto de Fisiología Celular,,1
Bibiana Obregón Quintana,Facultad de Ciencias,,1
Blanca Taboada,Instituto de Biotecnología,,1
Bruno Amezcua Osorio,Facultad de Ciencias,,1
Bruno Lara,Facultad de Psicología,,1
Caleb Antonio Rascón Estebané,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Camila Chavez Ramirez,Facultad de Estudios Superiores Aragón,,1
Carla Gomez Monroy,Universidad Nacional Autonoma de Mexico,,1
Carlos Bruno Velarde Velázquez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Carlos Emiliano González Gallardo,Instituto de Ingeniería,,1
Carlos Fidel Selva Ochoa,Facultad de Ciencias,,1
Carlos Javier Solis Oviedo,Instituto de Ciencias Aplicadas y Tecnología,,1
Carlos Patlan,Facultad de Ingeniería,,1
Carlos Pineda Muñoz,Instituto de Física,,1
Carlos Ricardo Cruz Mendoza,Universidad Nacional Autonoma de Mexico,,1
Carmen Mezura Godoy,Facultad de Ingeniería,,1
Cesar Ordonez Romero,Instituto de Física,,1
Christian Carlos Delgado Elizondo,Facultad de Estudios Superiores Acatlán,,1
Christian Mario Appendini Albrechtsen,Instituto de Ingeniería,,1
Christian Rubio Montiel,Facultad de Estudios Superiores Acatlán,,1
Christopher Rhodes Stephens,Centro de Ciencias de la Complejidad,Instituto de Ciencias Nucleares,1
Claudio Ramirez,Instituto de Ciencias Aplicadas y Tecnología,,1
Cristian Padron Manrique,Universidad Nacional Autonoma de Mexico,,1
Cristohper Ramos Flores,Escuela Nacional de Estudios Superiores Unidad Morelia,,1
Cuauhtemoc Licona Cassani,Instituto de Biotecnología,,1
Dan Diaz Guerrero,Instituto de Biotecnología,,1
Daniel Garcia Nunez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Daniel Guillen Aparicio,Facultad de Ingeniería,,1
Daniel Neri Rosario,Universidad Nacional Autonoma de Mexico,,1
Daniel Suarez Barrera,Instituto de Fisiología Celular,,1
Daniel Torres Robledo,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Dario Solano Rojas,Facultad de Ingeniería,,1
David Alberto Salas de Leon,Universidad Nacional Autonoma de Mexico,,1
David Gernandt,Instituto de Biología,,1
David Giron Villalobos,Universidad Nacional Autonoma de Mexico,,1
David Perez Ferrara,Facultad de Estudios Superiores Iztacala,,1
David Romero,Centro de Ciencias Genómicas,,1
Deborah Oliveros,Instituto de Matemáticas,,1
Dennis Scheidt,Instituto de Física,,1
Diego Alberto Barriga Martinez,Universidad Nacional Autonoma de Mexico,,1
Diego Angeles Valdez,Instituto de Neurobiología,,1
Diego Velazquez,Universidad Nacional Autonoma de Mexico,,1
Dimitri Semenov Flores,Facultad de Ciencias,,1
Dulce Loza Pacheco,Facultad de Estudios Superiores Acatlán,,1
E Belmont Moreno,Instituto de Astronomía,,1
Eder Barrientos,Universidad Nacional Autonoma de Mexico,,1
Edgar Duran Munoz,Dirección General de Bibliotecas y Servicios Digitales de Información,,1
Edgar Garduño Angeles,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,Facultad de Ingeniería,1
Eduardo A Garza Villarreal,Instituto de Neurobiología,,1
Eduardo Acuña Yeomans,Facultad de Ciencias,,1
Eduardo Eloy Loza Pacheco,Facultad de Estudios Superiores Acatlán,,1
Eduardo Escotto Cordova,Facultad de Estudios Superiores Zaragoza,,1
Eduardo Galicia Gomez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Eduardo Perez Tijerina,Instituto de Astronomía,,1
Eduardo Ramos Mora,Instituto de Energías Renovables,,1
Eduardo Suarez,Instituto de Ciencias Nucleares,,1
Edwin Roman Hernandez,Instituto de Ciencias Aplicadas y Tecnología,,1
Efren Antonio Hernandez Jimenez,Facultad de Ingeniería,,1
Elena R Álvarez Buylla,Centro de Ciencias de la Complejidad,Instituto de Ecología,1
Elsa Leticia Flores Marquez,Instituto de Geofísica,,1
Emmanuel Resendiz Ochoa,Instituto de Neurobiología,,1
Enrique Colorado,Instituto de Astronomía,,1
Enrique Ramon Angeles Anguiano,Facultad de Estudios Superiores Cuautitlán,,1
Erik Carbajal Degante,Coordinación de Universidad Abierta Innovación Educativa y Educación a Distancia,,1
Erik Ivanov Dominguez Rivera,Facultad de Ingeniería,,1
Ernesto Aguilar Rodriguez,Instituto de Geofísica,,1
Ernst Kussul,Instituto de Ciencias Aplicadas y Tecnología,,1
Esther Segura Segura Perez,Facultad de Ingeniería,,1
Fernando Ayala Niño,Facultad de Estudios Superiores Iztacala,,1
Fernando Baltazar Larios,Facultad de Ciencias,,1
Fernando Marquez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Fernando Martinez Urrutia,Facultad de Química,,1
Fernando Montoya,Instituto de Biotecnología,,1
Flor Lizeth Torres Ortiz,Instituto de Ingeniería,,1
Florian Luca,Centro de Ciencias Matemáticas,,1
Francisco Delgado Vences,Facultad de Ciencias,,1
Francisco Hernández Quiroz,Facultad de Ciencias,,1
Francisco Javier Tamayo,Instituto de Astronomía,,1
Francisco Jose Chavez Garcia,Instituto de Ingeniería,,1
Francisco José Sánchez Sesma,Instituto de Ingeniería,,1
Francisco Lopez Galindo,Facultad de Estudios Superiores Iztacala,,1
