fuente,archivo,estado,filas_raw,filas_canonicas,columnas_raw,area_detectada,encoding,separador,engine,no_vacio_indice,no_vacio_Titulo,no_vacio_Año,no_vacio_Autor_norm,no_vacio_Afiliacion1,no_vacio_Afiliacion2,no_vacio_ISBN,no_vacio_ISSN,no_vacio_Doi,no_vacio_URL,no_vacio_Area,no_vacio_Subarea,no_vacio_Keywords,no_vacio_Abstract
acm,acm_cc_depurado_cs_final_2024-03_2025-12.csv,ok,6,6,14,CC,utf-8-sig,",",c,6,6,6,6,6,0,5,1,6,6,6,0,6,6
acm,acm_ia_depurado_cs_final_2024-03_2025-12.csv,ok,11,11,14,IA,utf-8-sig,",",c,11,11,11,11,11,0,9,2,11,11,11,0,11,11
acm,acm_isbd_depurado_cs_final_2024-03_2025-12.csv,ok,12,12,14,ISBD,utf-8-sig,",",c,12,12,12,12,12,0,9,3,12,12,12,0,11,11
acm,acm_rs_depurado_cs_final_2024-03_2025-12.csv,ok,10,10,14,RS,utf-8-sig,",",c,10,10,10,10,10,0,8,2,10,10,10,0,9,9
acm,acm_siav_depurado_cs_final_2024-03_2025-12.csv,ok,7,7,14,SIAV,utf-8-sig,",",c,7,7,7,7,7,0,5,2,7,7,7,0,7,7
acm,acm_tc_depurado_cs_final_2024-03_2025-12.csv,ok,11,11,14,TC,utf-8-sig,",",c,11,11,11,11,11,0,10,1,11,11,11,0,10,10
ebsco,ebsco_cc_depurado_cs_final_2024-03_2025-12.csv,ok,15,15,39,CC,utf-8-sig,",",c,0,15,15,15,15,0,0,15,15,15,15,0,15,15
ebsco,ebsco_ia_depurado_cs_final_2024-03_2025-12.csv,ok,32,32,39,IA,utf-8-sig,",",c,0,32,32,32,32,0,0,32,32,32,32,0,30,32
ebsco,ebsco_isbd_depurado_cs_final_2024-03_2025-12.csv,ok,9,9,39,ISBD,utf-8-sig,",",c,0,9,9,9,9,0,0,9,9,9,9,0,7,9
ebsco,ebsco_rs_depurado_cs_final_2024-03_2025-12.csv,ok,32,32,39,RS,utf-8-sig,",",c,0,32,32,32,32,0,0,32,32,32,32,0,30,32
ebsco,ebsco_siav_depurado_cs_final_2024-03_2025-12.csv,ok,9,9,39,SIAV,utf-8-sig,",",c,0,9,9,9,9,0,0,9,9,9,9,0,8,9
ebsco,ebsco_tc_depurado_cs_final_2024-03_2025-12.csv,ok,32,32,39,TC,utf-8-sig,",",c,0,32,32,32,32,0,0,32,32,32,32,0,30,32
engineering_village,ev_cc_depurado_cs_final_2024-03_2025-12.csv,ok,14,14,33,CC,utf-8-sig,",",c,0,14,14,14,14,0,10,6,14,0,14,0,14,14
engineering_village,ev_ia_depurado_cs_final_2024-03_2025-12.csv,ok,55,55,34,IA,utf-8-sig,",",c,0,55,55,55,55,0,28,33,49,0,55,0,55,55
engineering_village,ev_isbd_depurado_cs_final_2024-03_2025-12.csv,ok,11,11,33,ISBD,utf-8-sig,",",c,0,11,11,11,11,0,6,3,11,0,11,0,11,11
engineering_village,ev_rs_depurado_cs_final_2024-03_2025-12.csv,ok,20,20,33,RS,utf-8-sig,",",c,0,20,20,20,20,0,14,7,20,0,20,0,20,20
engineering_village,ev_siav_depurado_cs_final_2024-03_2025-12.csv,ok,29,29,33,SIAV,utf-8-sig,",",c,0,29,29,29,29,0,14,18,29,0,29,0,29,29
engineering_village,ev_tc_depurado_cs_final_2024-03_2025-12.csv,ok,13,13,33,TC,utf-8-sig,",",c,0,13,13,13,13,0,7,6,13,0,13,0,13,13
ieee_xplore,ieee_cc_depurado_cs_final_2024-03_2025-12.csv,ok,22,22,28,CC,utf-8-sig,",",c,0,22,22,22,22,0,17,16,22,22,22,0,22,22
ieee_xplore,ieee_ia_depurado_cs_final_2024-03_2025-12.csv,ok,44,44,28,IA,utf-8-sig,",",c,0,44,44,44,44,0,35,28,44,44,44,0,44,44
ieee_xplore,ieee_isbd_depurado_cs_final_2024-03_2025-12.csv,ok,22,22,28,ISBD,utf-8-sig,",",c,0,22,22,22,22,0,13,10,22,22,22,0,21,22
ieee_xplore,ieee_rs_depurado_cs_final_2024-03_2025-12.csv,ok,27,27,28,RS,utf-8-sig,",",c,0,27,27,27,27,0,21,16,27,27,27,0,27,27
ieee_xplore,ieee_siav_depurado_cs_final_2024-03_2025-12.csv,ok,36,36,28,SIAV,utf-8-sig,",",c,0,36,36,36,36,0,30,21,36,36,36,0,36,36
ieee_xplore,ieee_tc_depurado_cs_final_2024-03_2025-12.csv,ok,7,7,28,TC,utf-8-sig,",",c,0,7,7,7,7,0,4,5,7,7,7,0,7,7
proquest,proquest_cc_depurado_cs_final_2024-03_2025-12.csv,ok,4,4,29,CC,utf-8-sig,",",c,0,4,4,4,4,0,0,4,4,4,4,0,4,4
proquest,proquest_ia_depurado_cs_final_2024-03_2025-12.csv,ok,7,7,31,IA,utf-8-sig,",",c,0,7,7,7,7,0,0,5,7,7,7,0,7,7
proquest,proquest_isbd_depurado_cs_final_2024-03_2025-12.csv,ok,1,1,29,ISBD,utf-8-sig,",",c,0,1,1,1,1,0,0,1,1,1,1,0,1,1
proquest,proquest_rs_depurado_cs_final_2024-03_2025-12.csv,ok,1,1,29,RS,utf-8-sig,",",c,0,1,1,1,1,0,0,1,1,1,1,0,1,1
proquest,proquest_siav_depurado_cs_final_2024-03_2025-12.csv,ok,2,2,29,SIAV,utf-8-sig,",",c,0,2,2,2,2,0,0,2,2,2,2,0,2,2
proquest,proquest_tc_depurado_cs_final_2024-03_2025-12.csv,ok,4,4,29,TC,utf-8-sig,",",c,0,4,4,4,3,0,0,3,4,4,4,0,4,4
sciencedirect,sciencedirect_cc_consolidado_lotes1_2_canonico_depurado_cs_2024-03_2025-12.csv,ok,16,16,14,CC,utf-8-sig,",",c,16,16,16,16,16,0,0,16,16,16,16,0,16,16
sciencedirect,sciencedirect_ia_canonico_depurado_cs_2024-03_2025-12.csv,ok,13,13,14,IA,utf-8-sig,",",c,13,13,13,13,13,0,0,12,13,13,13,0,12,12
