"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Valdés-Souto F.; Gomar-Dawson R.H.; Méndez-Uzcátegui D.A.","Valdés-Souto, Francisco (57190186512); Gomar-Dawson, Rafael Harry (60035279000); Méndez-Uzcátegui, Diego Alejandro (60035740400)","57190186512; 60035279000; 60035740400","Comparative Analysis of Information Extraction Techniques in the Mexican Legal System","2025","Lecture Notes in Networks and Systems","1449 LNNS","","","179","188","0","10.1007/978-3-031-93103-1_18","https://www.scopus.com/pages/publications/105012925261?origin=resultslist","Universidad Nacional Autónoma de México, Facultad de Ciencias, Ciudad de México, 04510, Mexico; Instituto Tecnológico Autónomo de México, Río Hondo 1, Ciudad de México, 01080, Mexico","Valdés-Souto F., Universidad Nacional Autónoma de México, Facultad de Ciencias, Ciudad de México, 04510, Mexico; Gomar-Dawson R.H., Instituto Tecnológico Autónomo de México, Río Hondo 1, Ciudad de México, 01080, Mexico; Méndez-Uzcátegui D.A., Instituto Tecnológico Autónomo de México, Río Hondo 1, Ciudad de México, 01080, Mexico","In recent years, Natural Language Processing (NLP) has rapidly advanced, with sophisticated language models paving the way toward improved information extraction (IE) methods. Despite these advancements, the application of modern NLP techniques within the Mexican legal system (Spanish-Mexico) remains underexplored. This study investigates whether BERT-based models can effectively and dynamically extract legal references within this challenging framework. A comprehensive comparison was conducted between traditional methods—regular expressions and rule-based approaches—and contemporary transformer-based techniques. The experiments encompass four critical tasks: Article Segmentation, Law Reference Extraction, Article Mention Detection, and Entity Linking. Results indicate that while regular expressions and rule-based methods achieve high precision in structured texts, BERT-based NER models demonstrate superior adaptability and recall, particularly in handling unstructured and diverse legal documents. However, for tasks demanding stringent accuracy, such as Entity Linking, traditional rule-based approaches outperform Relation Extraction (RE) models due to their higher precision. This duality underscores the potential of integrating both traditional and modern NLP techniques to optimize legal text processing in Mexico. Our findings contribute to the expanding field of legal NLP by addressing unique challenges within the Mexican legal system and providing a foundational framework for future research efforts aimed at enhancing IE processes in complex legal environments. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Information Extraction; Legal Text Processing; Named Entity Recognition; Natural Language Processing; Relation Extraction","Computational linguistics; Data mining; Information retrieval; Laws and legislation; Text processing; Information extraction; Language processing; Legal system; Legal text processing; Legal texts; Named entity recognition; Natural language processing; Natural languages; Relation extraction; Text-processing; Natural language processing systems","23673370","978-303193102-4","","Conference paper","Final","","Scopus","2-s2.0-105012925261"
"Enríquez F.J.; Mejía-Muñoz J.-M.; Bravo G.; Cruz-Mejía O.","Enríquez, Francisco J. (57191896522); Mejía-Muñoz, Jose-Manuel (58701554900); Bravo, Gabriel (57191896581); Cruz-Mejía, Oliverio (56118799000)","57191896522; 58701554900; 57191896581; 56118799000","Smart Parking: Enhancing Urban Mobility with Fog Computing and Machine Learning-Based Parking Occupancy Prediction","2024","Applied System Innovation","7","3","52","","","6","10.3390/asi7030052","https://www.scopus.com/pages/publications/85197205026?origin=resultslist","Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; [2] Departamento de Ingeniería Industrial, Universidad Nacional Autónoma de México, 57171, Mexico","Enríquez F.J., Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; Mejía-Muñoz J.-M., Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; Bravo G., Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; Cruz-Mejía O., [2] Departamento de Ingeniería Industrial, Universidad Nacional Autónoma de México, 57171, Mexico","Parking occupancy is difficult in most modern cities because of increases in the accessibility and use of motor vehicles, and users generally take several minutes or even hours to find a place to park. In this work, we propose a smart parking prediction model in order to help users locate in advance the availability of parking near the places they plan to visit. For this it is proposed a fog computing architecture that integrates a machine learning algorithm based on AdaBoost to predict parking places hours or days in advance. Additionally, a user interface was developed, which involves the collection of user inputs through a mobile application where the user is prompted to enter the destination location and the prediction time interval. Through extensive experimentation using real-world parking flow data, our proposed algorithm demonstrated an improved level of accuracy compared with alternative prediction methods. Moreover, a simulation was conducted to evaluate the system’s latency when using cloud computing versus our hybrid approach combining both fog and cloud computing. The results showed that employing the fog module in conjunction with cloud computing significantly reduced response delay in comparison with using cloud computing alone. © 2024 by the authors.","fog computing; parking occupancy; prediction","","25715577","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85197205026"
"Urquiza-Yllescas J.F.; Mendoza S.; Sánchez-Adame L.M.; Rodríguez J.; Decouchant D.","Urquiza-Yllescas, José Fidel (57219960372); Mendoza, Sonia (13105758700); Sánchez-Adame, Luis Martín (57203842913); Rodríguez, José (14023450800); Decouchant, Dominique (6602352648)","57219960372; 13105758700; 57203842913; 14023450800; 6602352648","Educational Chatbots: A Systematic Mapping Study","2025","Journal of Intelligent and Fuzzy Systems","49","4","","960","990","0","10.1177/18758967251356870","https://www.scopus.com/pages/publications/105017150989?origin=resultslist","Computer Science Department, Cinvestav, Mexico City, Mexico; Design and Building Division, FES-Acatlán, UNAM, State of Mexico, Mexico; Information Technologies Department, UAM-Cuajimalpa, Mexico City, Mexico","Urquiza-Yllescas J.F., Computer Science Department, Cinvestav, Mexico City, Mexico; Mendoza S., Computer Science Department, Cinvestav, Mexico City, Mexico; Sánchez-Adame L.M., Design and Building Division, FES-Acatlán, UNAM, State of Mexico, Mexico; Rodríguez J., Computer Science Department, Cinvestav, Mexico City, Mexico; Decouchant D., Information Technologies Department, UAM-Cuajimalpa, Mexico City, Mexico","Chatbots, text or voice software entities, are consolidating their position in the education sector, as they have gone from being rustic tools to systems that can take an active role in the teaching and learning process. That is why we decide to elaborate a Systematic Mapping Study of works that have been published on educational chatbots in the last years. Our analysis has four objectives: 1) to know the purpose of chatbots; 2) to identify the educational levels in which the chatbots are employed; 3) to examine which interaction mechanisms are implemented by chatbots; and 4) to explore which technologies and software architectures predominate in the development of educational chatbots. Following solid methodologies for systematic reviews, we compiled 104 papers. Through the analysis of these works, we obtained an overview that can be useful for both specialists and newcomers to the domain, as it helps them understand the existing trends in these applications. Additionally, the discussion extends into the disruptive impact of generative AI and outlines critical open research questions that guide future investigations in educational chatbot development. © The Author(s) 2025","chatbot classification; educational chatbots; software architecture; systematic mapping study; teaching/learning process","Chatbots; Classification (of information); Educational robots; Learning systems; Mapping; Teaching; Chatbot classification; Chatbots; Education sectors; Educational chatbot; Software entities; Systematic mapping studies; Teaching and learning; Teaching process; Teaching-learning process; Software architecture","10641246","","","Article","Final","","Scopus","2-s2.0-105017150989"
"Urbina S.M.; Patiño A.M.; Archundia E.R.; Rodríguez E.A.; Marco Vinicio Chávez B.; María Del Carmen García R.; Javier A. Rodríguez H.","Urbina, Sergio Mier (59670222300); Patiño, Arturo Méndez (8571695400); Archundia, Enrique Reyes (36646633900); Rodríguez, Ernesto Aguilar (60526203300); Marco Vinicio Chávez, B. (59670222400); María Del Carmen García, R. (60526431400); Javier A. Rodríguez, H. (60525295700)","59670222300; 8571695400; 36646633900; 60526203300; 59670222400; 60526431400; 60525295700","Automatic Classification of Synthetic Jovian Radio Emissions Using Spectrogram Analysis and Machine Learning","2025","Proceedings of the 2025 IEEE International Autumn Meeting on Power, Electronics and Computing, ROPEC 2025","","","","","","0","10.1109/ROPEC68163.2025.11353979","https://www.scopus.com/pages/publications/105033694991?origin=resultslist","Tecnológico Nacional de México, Instituto Tecnólogico de Morelia, Depi, Morelia, Mexico; Universidad Nacional Autónoma de México, Instituto de Geofisica Unidad Morelia, Morelia, Mexico","Urbina S.M., Tecnológico Nacional de México, Instituto Tecnólogico de Morelia, Depi, Morelia, Mexico; Patiño A.M., Tecnológico Nacional de México, Instituto Tecnólogico de Morelia, Depi, Morelia, Mexico; Archundia E.R., Tecnológico Nacional de México, Instituto Tecnólogico de Morelia, Depi, Morelia, Mexico; Rodríguez E.A., Universidad Nacional Autónoma de México, Instituto de Geofisica Unidad Morelia, Morelia, Mexico; Marco Vinicio Chávez B., Tecnológico Nacional de México, Instituto Tecnólogico de Morelia, Depi, Morelia, Mexico; María Del Carmen García R., Tecnológico Nacional de México, Instituto Tecnólogico de Morelia, Depi, Morelia, Mexico; Javier A. Rodríguez H., Tecnológico Nacional de México, Instituto Tecnólogico de Morelia, Depi, Morelia, Mexico","This paper presents a machine learning approach for the automatic classification of synthetic Jovian radio emissions using spectrogram analysis. As a continuation of previous work involving the design of a dipole antenna and the development of a Python-based acquisition system centered at 20.1 MHz, this study focuses on generating a synthetic dataset that replicates the Io-A, Io-B and Io-C radio emissions of Jupiter. Each class was modeled using Python scripts that incorporated variability in position, intensity, shape and noise within the 16-24Mhz frequency range. Two classification models were trained and evaluated: a convolutional neural network (efficientNet-B0) and a vision transformer (ViT Tiny Patch16-224). Both models were tested using a 70/15/15 train-validation-test split and validated with 5-fold cross-validation. The ViT model achieved up to 100% classification accuracy across all folds, outperforming the CNN in consistency and generalization. This synthetic classification framework serves as a preparatory phase for future work involving the training and validation of these models using real labeled spectrograms extracted from the Juno/Waves database, which includes emission records from 2016 to 2023. © 2025 IEEE.","CNN; cross-validation; Jovian emissions; Machine learning; spectrogram; synthetic data; ViT","C (programming language); Classification (of information); Computer software; Dipole antennas; Learning systems; Machine learning; Neural networks; Partial discharges; Python; Software design; Acquisition systems; Automatic classification; Cross validation; Jovian emission; Machine learning approaches; Machine-learning; Radio emission; Spectrograms; Synthetic data; ViT; Spectrographs","","979-833157673-8","","Conference paper","Final","","Scopus","2-s2.0-105033694991"
"Sandoval-Valencia T.E.; Téllez-Anguiano A.D.C.; Ruiz-Robles D.; Alanis-Fuerte I.; Vázquez-Esquivel A.V.; Jáuregui-Correa J.C.","Sandoval-Valencia, Tania Elizabeth (57218346128); Téllez-Anguiano, Adriana del Carmen (58093987500); Ruiz-Robles, Dante (57203744988); Alanis-Fuerte, Ivon (57456796100); Vázquez-Esquivel, Alexis Vaed (57280525700); Jáuregui-Correa, Juan C. (57221705011)","57218346128; 58093987500; 57203744988; 57456796100; 57280525700; 57221705011","Benchmarking for a New Railway Accident Classification Methodology and Its Database: A Case Study in Mexico, the United States, Canada, and the European Union","2024","Information (Switzerland)","15","11","736","","","1","10.3390/info15110736","https://www.scopus.com/pages/publications/85210430210?origin=resultslist","Faculty of Engineering, Autonomous University of Queretaro, Santiago de Queretaro, 76010, Mexico; Division of Graduate Studies and Research, National Technological Institute of Mexico/ I.T. Morelia, Morelia, 58120, Mexico; Escuela Nacional de Estudios Superiores Unidad Juriquilla, Universidad Nacional Autonoma de Mexico, Santiago de Queretaro, 76230, Mexico; Instituto de Investigaciones en Ciencias de la Tierra, Universidad Michoacana de San Nicolás de Hidalgo, Morelia, 58060, Mexico","Sandoval-Valencia T.E., Faculty of Engineering, Autonomous University of Queretaro, Santiago de Queretaro, 76010, Mexico; Téllez-Anguiano A.D.C., Division of Graduate Studies and Research, National Technological Institute of Mexico/ I.T. Morelia, Morelia, 58120, Mexico; Ruiz-Robles D., Escuela Nacional de Estudios Superiores Unidad Juriquilla, Universidad Nacional Autonoma de Mexico, Santiago de Queretaro, 76230, Mexico; Alanis-Fuerte I., Instituto de Investigaciones en Ciencias de la Tierra, Universidad Michoacana de San Nicolás de Hidalgo, Morelia, 58060, Mexico; Vázquez-Esquivel A.V., Division of Graduate Studies and Research, National Technological Institute of Mexico/ I.T. Morelia, Morelia, 58120, Mexico; Jáuregui-Correa J.C., Faculty of Engineering, Autonomous University of Queretaro, Santiago de Queretaro, 76010, Mexico","Rail accidents have decreased in recent years, although not significantly if measured by train accidents recorded in the last six years. Therefore, it is essential to identify weaknesses in the implementation of security and prevention systems. This research aims to study the trend and classification of railway accidents, as well as analyze public databases. Using the business management method of benchmarking, descriptive statistics, and a novel approach to the Ishikawa diagram, this study demonstrates best practices and strategies to reduce accidents. Unlike previous studies, this research specifically examines public databases and provides a framework for developing the standardization of railway accident causes and recommendations. The main conclusion is that the proposed classification of railway accident causes, and its associated database, ensures that agencies, researchers, and the government have accessible, easily linkable, and usable data references to enhance their analysis and support the continued reduction of accidents. © 2024 by the authors.","accident; benchmarking; descriptive statistics; Ishikawa; railway","Benchmarking; Database systems; Information management; Public administration; Railroad transportation; Railroads; Accidents cause; Case-studies; Classification methodologies; Descriptive statistics; European union; Ishikawum; Me-xico; Public database; Railway; Railway accidents; Railroad accidents","20782489","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210430210"
"Ramirez-Rueda R.; Benitez-Guerrero E.; Mezura-Godoy C.; Barcenas E.","Ramirez-Rueda, Rolando (57208923504); Benitez-Guerrero, Edgard (15755550600); Mezura-Godoy, Carmen (22735015300); Barcenas, Everardo (35182396600)","57208923504; 15755550600; 22735015300; 35182396600","Transforming Software Development: A Study on the Integration of Multi-Agent Systems and Large Language Models for Automatic Code Generation","2024","Proceedings - 2024 12th International Conference in Software Engineering Research and Innovation, CONISOFT 2024","","","","11","20","2","10.1109/CONISOFT63288.2024.00013","https://www.scopus.com/pages/publications/85216782621?origin=resultslist","Universidad veracruzana, Facultad de Estadística e Informática, Xalapa, Mexico; Universidad Nacional Autónoma de México, Facultad de Ingeniería, Ciudad de México, Mexico","Ramirez-Rueda R., Universidad veracruzana, Facultad de Estadística e Informática, Xalapa, Mexico; Benitez-Guerrero E., Universidad veracruzana, Facultad de Estadística e Informática, Xalapa, Mexico; Mezura-Godoy C., Universidad veracruzana, Facultad de Estadística e Informática, Xalapa, Mexico; Barcenas E., Universidad Nacional Autónoma de México, Facultad de Ingeniería, Ciudad de México, Mexico","This paper explores the integration of Multi-Agent Systems (MAS) and Large Language Models (LLMs) for auto-matic code generation, addressing the limitations of traditional manual coding. By conducting a comprehensive review of existing literature and analyzing a practical case study, we demonstrate how MAS and LLMs can collaboratively enhance software development processes. The research focuses on the technical and theoretical challenges of this integration, highlighting the potential for improved productivity, adaptability, and quality in code generation. The findings contribute to AI-based software engineering by revealing new research directions in collective intelligence and automated programming.  © 2024 IEEE.","Generative AI; LLM; Multi-Agent; Software Development","Automatic programming; Intelligent agents; Software quality; Automatic code generations; Case-studies; Codegeneration; Generative AI; Language model; Large language model; Manual coding; Multi agent; Multiagent systems (MASs); Software development process; Software design","","979-833153211-6","","Conference paper","Final","","Scopus","2-s2.0-85216782621"
"Martínez-Gámez A.; Ferreira-Medina H.; López-Sosa L.B.; Orozco S.; Morales-Máximo M.; García C.A.; Rivero M.","Martínez-Gámez, Ana (60164392300); Ferreira-Medina, Heberto (55749919600); López-Sosa, Luis Bernardo (57211435808); Orozco, Sayra (56214188600); Morales-Máximo, Mario (57211447362); García, Carlos A. (60164392400); Rivero, Michel (55141010300)","60164392300; 55749919600; 57211435808; 56214188600; 57211447362; 60164392400; 55141010300","Machine Learning Algorithms for Solar Irradiance Forecasting in a Rural Community in Michoacán, Mexico","2025","Lecture Notes in Networks and Systems","1441 LNNS","","","349","359","0","10.1007/978-981-96-6938-7_30","https://www.scopus.com/pages/publications/105020388898?origin=resultslist","Instituto Tecnológico de Morelia—Tecnológico Nacional de México, Michoacan, Mexico; Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM Campus Morelia, Michoacan, Mexico; Universidad Intercultural Indígena de Michoacán, Michoacan, Mexico; Posgrado en Ingeniería Química, Universidad Michoacana de San Nicolás de Hidalgo, Michoacan, Mexico; Escuela Nacional de Estudios Superiores Unidad Morelia—UNAM, Michoacan, Mexico; Instituto de Investigaciones en Materiales Unidad Morelia—UNAM, Michoacan, Mexico","Martínez-Gámez A., Instituto Tecnológico de Morelia—Tecnológico Nacional de México, Michoacan, Mexico; Ferreira-Medina H., Instituto Tecnológico de Morelia—Tecnológico Nacional de México, Michoacan, Mexico, Instituto de Investigaciones en Ecosistemas y Sustentabilidad, UNAM Campus Morelia, Michoacan, Mexico; López-Sosa L.B., Universidad Intercultural Indígena de Michoacán, Michoacan, Mexico; Orozco S., Posgrado en Ingeniería Química, Universidad Michoacana de San Nicolás de Hidalgo, Michoacan, Mexico; Morales-Máximo M., Universidad Intercultural Indígena de Michoacán, Michoacan, Mexico; García C.A., Escuela Nacional de Estudios Superiores Unidad Morelia—UNAM, Michoacan, Mexico; Rivero M., Instituto de Investigaciones en Materiales Unidad Morelia—UNAM, Michoacan, Mexico","This project aims to develop a methodology for predicting solar radiation in San Francisco Pichátaro, a community in the municipality of Tingambato, Michoacán, Mexico. This community lies within the Purépecha indigenous zone. The project utilized two databases: one from a solarimetric station in the area and the other from the Solcast platform, which provides access to solar irradiance and other pertinent meteorological variables. Rigorous data cleansing and analysis procedures were implemented to ensure data quality and compatibility. Subsequently, both linear and decision tree regression models were applied to the refined and prepared data to forecast solar radiation. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2025.","Decision tree; Forecasting; Linear regression; Rural community; Solar irradiance","Learning algorithms; Learning systems; Linear regression; Machine learning; Rural areas; Solar irradiance; Solar radiation; Data cleansing; Data compatibility; Data quality; Decision tree regression; Machine learning algorithms; Me-xico; Meteorological variables; Rural community; San Francisco; Solar irradiances; Decision trees; Forecasting","23673370","978-981966937-0","","Conference paper","Final","","Scopus","2-s2.0-105020388898"
"Reyna Espinosa F.R.; Alonso Gamboa J.O.","Reyna Espinosa, Felipe Rafael (28767700500); Alonso Gamboa, José Octavio (54894353200)","28767700500; 54894353200","The cooperative work of Latindex through its technical meetings reports; [El trabajo cooperativo de Latindex a través de sus relatorías]","2025","Ibersid","19","1","","13","21","1","10.54886/ibersid.v19i1.5067","https://www.scopus.com/pages/publications/105009814520?origin=resultslist","Dirección General de Bibliotecas y Servicios Digitales de Información, Universidad Nacional Autónoma de México (UNAM), Mexico","Reyna Espinosa F.R., Dirección General de Bibliotecas y Servicios Digitales de Información, Universidad Nacional Autónoma de México (UNAM), Mexico; Alonso Gamboa J.O., Dirección General de Bibliotecas y Servicios Digitales de Información, Universidad Nacional Autónoma de México (UNAM), Mexico","Based on an analysis of the reports and agreements stemming from the technical meetings of Latindex (www.latindex.org), a summary is made of the main contributions in favor of the visibility and quality of Ibero-American and Ibero-Americanist journals. The study focuses on the following aspects: evolution of the Directory and Catalog of journals; diversification of information services; professionalization of editors; academic documentation of the experience; connection with other initiatives and working groups, all under the umbrella of cooperative work carried out among the 24 institutions that are part of Latindex. © 2025 Universidad de Zaragoza, Facultad de Filosofia y Letras. All rights reserved.","Collaborative work; Ibero-America; Information systems; International cooperation; Latin America; Latindex; Scientific communication; Scientific journals","","18880967","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105009814520"
"Juarez M.G.; Zamora A.; Ortiz-Bejar J.; Silva J.C.; Cerda J.; Paternina M.R.A.","Juarez, Miguel G. (57804446000); Zamora, A. (57207796016); Ortiz-Bejar, Jose (56703193500); Silva, J.C. (55322763800); Cerda, Jaime (57204226177); Paternina, M.R.A. (56530728800)","57804446000; 57207796016; 56703193500; 55322763800; 57204226177; 56530728800","PQ-SyDa: Power Quality Synthetic Disturbances DataSet","2024","2024 IEEE PES Generation, Transmission and Distribution Latin America Conference and Industrial Exposition, GTDLA 2024","","","","","","1","10.1109/GTDLA61236.2024.10913752","https://www.scopus.com/pages/publications/105001673704?origin=resultslist","U. Michoacana, Morelia, Mexico; UNAM, Mexico City, Mexico","Juarez M.G., U. Michoacana, Morelia, Mexico; Zamora A., U. Michoacana, Morelia, Mexico; Ortiz-Bejar J., U. Michoacana, Morelia, Mexico; Silva J.C., U. Michoacana, Morelia, Mexico; Cerda J., U. Michoacana, Morelia, Mexico; Paternina M.R.A., UNAM, Mexico City, Mexico","This paper presents a Phyton-based user-friendly graphical user interface (GUI) toolbox to synthetically generate power quality events dataset. This GUI is able to provide and export a versatile collection of tools designed specifically to create robust and realistic datasets for their utilization in the evaluation and testing of machine learning and deep learning algorithms for PQ events in power systems. A straightforward implementation is adopted to generate datasets with up to 29 different PQ events with automated label options. Numerical and graphical results demonstrate the effectiveness of the GUI. © 2024 IEEE.","Deep learning; Machine learning; Power quality events generator; Python toolbox","Deep learning; Event generators; Machine-learning; Power; Power quality event; Power quality event generator; PQ event; Python toolbox; User friendly; Adversarial machine learning","","979-833153054-9","","Conference paper","Final","","Scopus","2-s2.0-105001673704"
"Martínez-Urrutia F.; Medina-Franco J.L.","Martínez-Urrutia, Fernando (58948053000); Medina-Franco, José L. (57119398400)","58948053000; 57119398400","BIOMX-DB: A web application for the BIOFACQUIM natural product database","2024","Molecular Informatics ","43","11","e202400060","","","4","10.1002/minf.202400060","https://www.scopus.com/pages/publications/85195311095?origin=resultslist","DIFACQUIM Research Group, Department of Pharmacy, School of Chemistry, Universidad Nacional Autónoma de México, Mexico, Mexico","Martínez-Urrutia F., DIFACQUIM Research Group, Department of Pharmacy, School of Chemistry, Universidad Nacional Autónoma de México, Mexico, Mexico; Medina-Franco J.L., DIFACQUIM Research Group, Department of Pharmacy, School of Chemistry, Universidad Nacional Autónoma de México, Mexico, Mexico","Natural product databases are an integral part of chemoinformatics and computer-aided drug design. Despite their pivotal role, a distinct scarcity of projects in Latin America, particularly in Mexico, provides accessible tools of this nature. Herein, we introduce BIOMX-DB, an open and freely accessible web-based database designed to address this gap. BIOMX-DB enhances the features of the existing Mexican natural product database, BIOFACQUIM, by incorporating advanced search, filtering, and download capabilities. The user-friendly interface of BIOMX-DB aims to provide an intuitive experience for researchers. For seamless access, BIOMX-DB is freely available at www.biomx-db.com. © 2024 The Author(s). Molecular Informatics published by Wiley-VCH GmbH.","Chemoinformatics; database; drug discovery; natural products; open access","Biological Products; Databases, Chemical; Databases, Factual; Internet; Mexico; Software; User-Computer Interface; Drug products; Product design; natural product; biological product; Chemoinformatics; Computer aided drug design; Drug discovery; Integral part; Latin America; Natural products; OpenAccess; Product database; WEB application; Web applications; Article; BIOFACQUIM database; cheminformatics; drug database; filtration; Mexico; open access publishing; search engine optimization; software; chemical database; chemistry; computer interface; factual database; Internet; Database systems","18681743","","MIONB","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85195311095"
