"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Valdés-Souto F.; Gomar-Dawson R.H.; Méndez-Uzcátegui D.A.","Valdés-Souto, Francisco (57190186512); Gomar-Dawson, Rafael Harry (60035279000); Méndez-Uzcátegui, Diego Alejandro (60035740400)","57190186512; 60035279000; 60035740400","Comparative Analysis of Information Extraction Techniques in the Mexican Legal System","2025","Lecture Notes in Networks and Systems","1449 LNNS","","","179","188","0","10.1007/978-3-031-93103-1_18","https://www.scopus.com/pages/publications/105012925261?origin=resultslist","Universidad Nacional Autónoma de México, Facultad de Ciencias, Ciudad de México, 04510, Mexico; Instituto Tecnológico Autónomo de México, Río Hondo 1, Ciudad de México, 01080, Mexico","Valdés-Souto F., Universidad Nacional Autónoma de México, Facultad de Ciencias, Ciudad de México, 04510, Mexico; Gomar-Dawson R.H., Instituto Tecnológico Autónomo de México, Río Hondo 1, Ciudad de México, 01080, Mexico; Méndez-Uzcátegui D.A., Instituto Tecnológico Autónomo de México, Río Hondo 1, Ciudad de México, 01080, Mexico","In recent years, Natural Language Processing (NLP) has rapidly advanced, with sophisticated language models paving the way toward improved information extraction (IE) methods. Despite these advancements, the application of modern NLP techniques within the Mexican legal system (Spanish-Mexico) remains underexplored. This study investigates whether BERT-based models can effectively and dynamically extract legal references within this challenging framework. A comprehensive comparison was conducted between traditional methods—regular expressions and rule-based approaches—and contemporary transformer-based techniques. The experiments encompass four critical tasks: Article Segmentation, Law Reference Extraction, Article Mention Detection, and Entity Linking. Results indicate that while regular expressions and rule-based methods achieve high precision in structured texts, BERT-based NER models demonstrate superior adaptability and recall, particularly in handling unstructured and diverse legal documents. However, for tasks demanding stringent accuracy, such as Entity Linking, traditional rule-based approaches outperform Relation Extraction (RE) models due to their higher precision. This duality underscores the potential of integrating both traditional and modern NLP techniques to optimize legal text processing in Mexico. Our findings contribute to the expanding field of legal NLP by addressing unique challenges within the Mexican legal system and providing a foundational framework for future research efforts aimed at enhancing IE processes in complex legal environments. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Information Extraction; Legal Text Processing; Named Entity Recognition; Natural Language Processing; Relation Extraction","Computational linguistics; Data mining; Information retrieval; Laws and legislation; Text processing; Information extraction; Language processing; Legal system; Legal text processing; Legal texts; Named entity recognition; Natural language processing; Natural languages; Relation extraction; Text-processing; Natural language processing systems","23673370","978-303193102-4","","Conference paper","Final","","Scopus","2-s2.0-105012925261"
"Enríquez F.J.; Mejía-Muñoz J.-M.; Bravo G.; Cruz-Mejía O.","Enríquez, Francisco J. (57191896522); Mejía-Muñoz, Jose-Manuel (58701554900); Bravo, Gabriel (57191896581); Cruz-Mejía, Oliverio (56118799000)","57191896522; 58701554900; 57191896581; 56118799000","Smart Parking: Enhancing Urban Mobility with Fog Computing and Machine Learning-Based Parking Occupancy Prediction","2024","Applied System Innovation","7","3","52","","","6","10.3390/asi7030052","https://www.scopus.com/pages/publications/85197205026?origin=resultslist","Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; [2] Departamento de Ingeniería Industrial, Universidad Nacional Autónoma de México, 57171, Mexico","Enríquez F.J., Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; Mejía-Muñoz J.-M., Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; Bravo G., Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; Cruz-Mejía O., [2] Departamento de Ingeniería Industrial, Universidad Nacional Autónoma de México, 57171, Mexico","Parking occupancy is difficult in most modern cities because of increases in the accessibility and use of motor vehicles, and users generally take several minutes or even hours to find a place to park. In this work, we propose a smart parking prediction model in order to help users locate in advance the availability of parking near the places they plan to visit. For this it is proposed a fog computing architecture that integrates a machine learning algorithm based on AdaBoost to predict parking places hours or days in advance. Additionally, a user interface was developed, which involves the collection of user inputs through a mobile application where the user is prompted to enter the destination location and the prediction time interval. Through extensive experimentation using real-world parking flow data, our proposed algorithm demonstrated an improved level of accuracy compared with alternative prediction methods. Moreover, a simulation was conducted to evaluate the system’s latency when using cloud computing versus our hybrid approach combining both fog and cloud computing. The results showed that employing the fog module in conjunction with cloud computing significantly reduced response delay in comparison with using cloud computing alone. © 2024 by the authors.","fog computing; parking occupancy; prediction","","25715577","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85197205026"
"Lefranc G.; Schleyer G.; Osorio-Comparán R.; López-Juárez I.","Lefranc, Gastón (7005019896); Schleyer, Gustavo (57195511304); Osorio-Comparán, Román (24470341200); López-Juárez, Ismael (6507474784)","7005019896; 57195511304; 24470341200; 6507474784","Towards Adaptive and Safe Human-Robot Collaboration: A Multimodal AI Framework for Cross-Domain Cobot Integration","2025","Proceedings -  IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies, ChileCon","","","","","","0","10.1109/CHILECON66915.2025.11476290","https://www.scopus.com/pages/publications/105038035337?origin=resultslist","Facultad de Ingeniería, Pontificia Universidad Católica de Valparáiso, Valparaíso, Chile; Instituto de Electricidad y Electrónica, Facultad de Ciencias Universidad Austral, Chile; IIMAS, Universidad Autónoma de México UNAM, DF, México, Mexico; Robotics and Advanced Manufacturing CINVESTAV, Coah, Saltillo, Mexico","Lefranc G., Facultad de Ingeniería, Pontificia Universidad Católica de Valparáiso, Valparaíso, Chile; Schleyer G., Instituto de Electricidad y Electrónica, Facultad de Ciencias Universidad Austral, Chile; Osorio-Comparán R., IIMAS, Universidad Autónoma de México UNAM, DF, México, Mexico; López-Juárez I., Robotics and Advanced Manufacturing CINVESTAV, Coah, Saltillo, Mexico","This article presents the integration of advanced artificial intelligence algorithms applied to collaborative robots (cobots) in five strategic sectors: underground mining, geriatric medicine, precision agriculture, port logistics, and high-precision manufacturing. It proposes the use of Graph Convolutional Neural Networks (Graph-CNNs) to model spatiotemporal motion; Multimodal Transformers to fuse heterogeneous sensor data; Soft Actor-Critic with Constrained Policy Optimization (SAC-RCPO) for safe and adaptive control; and TactileGAN to generate realistic haptic feedback. Within this framework, multimodal AI improves operational efficiency, task accuracy, and the quality of human-robot interaction. In practice, it contributes to risk reduction in hazardous environments such as mining and logistics, improves accuracy in agricultural and manufacturing tasks, and fosters greater acceptance among older adults in healthcare settings. A review of existing literature and simulations in agriculture and mining confirms performance improvements and supports the feasibility of integrating algorithms into collaborative robotic systems. © 2025 IEEE.","Collaborative robots; Graph-CNN; Human-robot interaction; Multimodal AI; SAC-RCPO; TactileGAN","Agricultural robots; Collaborative robots; Data mining; Graph neural networks; Haptic interfaces; Human computer interaction; Man machine systems; Mice (computer peripherals); Precision agriculture; Smart agriculture; Tactile sensors; Actor critic; Collaborative robots; Graph-CNN; Human-robot collaboration; Humans-robot interactions; Multi-modal; Multimodal AI; Policy optimization; Soft actor-critic with constrained policy optimization; Tactilegan; Intelligent robots","28321529","979-835035736-3","","Conference paper","Final","","Scopus","2-s2.0-105038035337"
"Teófilo-Salvador E.; Ambrocio-Cruz P.; Rosado-Solís M.","Teófilo-Salvador, Eduardo (57205366954); Ambrocio-Cruz, Patricia (6603100816); Rosado-Solís, Margarita (60023117900)","57205366954; 6603100816; 60023117900","Methodological Characterization and Computational Codes in the Simulation of Interacting Galaxies: Image Evaluation with CNN","2025","Artificial Intelligence and Applications","3","3","","262","274","0","10.47852/bonviewAIA3202743","https://www.scopus.com/pages/publications/105012224225?origin=resultslist","Tlahuelilpan High School, Autonomous University of the State of Hidalgo, Mexico; Institute of Astronomy, National Autonomous University of Mexico, Mexico","Teófilo-Salvador E., Tlahuelilpan High School, Autonomous University of the State of Hidalgo, Mexico; Ambrocio-Cruz P., Tlahuelilpan High School, Autonomous University of the State of Hidalgo, Mexico; Rosado-Solís M., Institute of Astronomy, National Autonomous University of Mexico, Mexico","Currently, technological development has exponentially fostered a growing collection of dispersed and diversified information. In the case of galaxy interaction studies, it is important to identify and recognize the parameters in the process, the tools, and the computational codes available to select the appropriate one in depending on the availability of data. The objective was to characterize the parameters, techniques, and methods developed, as well as the computational codes for numerical simulation by implementing Convolutional Neural Network; with information retrieval, image and video analysis and pattern recognition. From the bibliography, it was reviewed how various authors have studied the interaction, presence of gas and star formation, and then the review of computer codes with the requirements and benefits, to analyze and compare the initial and boundary conditions. With images, the convolutional neural network (CNN) method programmed in python was applied to identify the differences and their possible accuracy. Smoothed Particle Hydrodynamics systems use more robust algorithms with invariance, simplicity in implementation, flexible geometries, but do not parameterize artificial viscosities, discontinuous solutions, and instabilities. In the case of adaptive mesh refinement, there is no artificial viscosity, resolution of discontinuities, and suppression of instabilities but with complex implementation, mesh details, and resolution problems, and they are not scalable. It is necessary to use indirect methods to infer some properties or perform preliminary iterations. The availability of observable data governs the behavior of possible numerical simulations, in addition to having tools such as a supercomputer, generating errors that can be adjusted, compared, or verified, according to the techniques and methods shown in this study, in addition to the fact that codes that are not so well known and used stand out as those that are currently more applied. Thus, CNN enables pattern recognition, based on the recovery and analysis of images and videos, as well as simulations of interacting galaxies. © The Author(s) 2023.","computer code; galaxy pairs; numerical simulation; spectroscopy","","28110854","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105012224225"
"Padilla-García E.A.; Cruz-Morales R.D.; González-Sierra J.; Tinoco-Varela D.; Lorenzo-Gerónimo M.R.","Padilla-García, Erick Axel (57194161716); Cruz-Morales, Raúl Dalí (57192271160); González-Sierra, Jaime (55367799000); Tinoco-Varela, David (57196404153); Lorenzo-Gerónimo, María R. (58961563800)","57194161716; 57192271160; 55367799000; 57196404153; 58961563800","Design, Assembly and Control of a Differential/Omnidirectional Mobile Robot through Additive Manufacturing","2024","Machines","12","3","163","","","5","10.3390/machines12030163","https://www.scopus.com/pages/publications/85189030679?origin=resultslist","Academy of Robotics Engineering, Polytechnic University of Atlacomulco, Atlacomulco, 50465, Mexico; Engineering Department, Superior Studies Faculty-Cuautitlán, National Autonomous University of Mexico, UNAM, Cuautitlán Izcalli, 54714, Mexico; Instituto Politécnico Nacional, Unidad Profesional Interdisciplinaria de Ingeniería Campus Hidalgo, Carretera Pachuca—Actopan Kilómetro 1+500, Distrito de Educación, Salud, Ciencia, Tecnología e Innovación, San Agustín Tlaxiaca, 42162, Mexico","Padilla-García E.A., Academy of Robotics Engineering, Polytechnic University of Atlacomulco, Atlacomulco, 50465, Mexico; Cruz-Morales R.D., Engineering Department, Superior Studies Faculty-Cuautitlán, National Autonomous University of Mexico, UNAM, Cuautitlán Izcalli, 54714, Mexico; González-Sierra J., Instituto Politécnico Nacional, Unidad Profesional Interdisciplinaria de Ingeniería Campus Hidalgo, Carretera Pachuca—Actopan Kilómetro 1+500, Distrito de Educación, Salud, Ciencia, Tecnología e Innovación, San Agustín Tlaxiaca, 42162, Mexico; Tinoco-Varela D., Engineering Department, Superior Studies Faculty-Cuautitlán, National Autonomous University of Mexico, UNAM, Cuautitlán Izcalli, 54714, Mexico; Lorenzo-Gerónimo M.R., Academy of Robotics Engineering, Polytechnic University of Atlacomulco, Atlacomulco, 50465, Mexico","Although additive manufacturing is a relatively new technology, it has been widely accepted by industry and academia due to the wide variety of prototypes that can be built. Furthermore, using mobile robots to carry out different tasks allows greater flexibility than using manipulator robots. In that sense, and based on those above, this article focuses on the design and assembly of a multi-configurable mobile robot that is capable of changing from a differential to an omnidirectional configuration. For this purpose, a sequential mechatronic design/control methodology was implemented to obtain an affordable platform via additive manufacturing which is easily scalable and allows the user to change from one configuration to another. As a proof of concept, this change is made manually. Fabrication, construction, and assembly processes for both structures are presented. Then, a hierarchical control law is designed. In this sense and based on Lyapunov’s method, a low-level controller is developed to control the angular speed of the wheels to a desired angular speed, and a medium-level controller controls the robot’s attitude to follow a desired Cartesian trajectory. Finally, the control strategies are implemented in both prototype configurations, and through experimental results, the theoretical analysis and the construction of the mobile robot are validated. © 2024 by the authors.","additive manufacturing; differential-drive mobile robot; omnidirectional mobile robot; rapid prototyping","","20751702","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85189030679"
"Reyna Espinosa F.R.; Alonso Gamboa J.O.","Reyna Espinosa, Felipe Rafael (28767700500); Alonso Gamboa, José Octavio (54894353200)","28767700500; 54894353200","The cooperative work of Latindex through its technical meetings reports; [El trabajo cooperativo de Latindex a través de sus relatorías]","2025","Ibersid","19","1","","13","21","1","10.54886/ibersid.v19i1.5067","https://www.scopus.com/pages/publications/105009814520?origin=resultslist","Dirección General de Bibliotecas y Servicios Digitales de Información, Universidad Nacional Autónoma de México (UNAM), Mexico","Reyna Espinosa F.R., Dirección General de Bibliotecas y Servicios Digitales de Información, Universidad Nacional Autónoma de México (UNAM), Mexico; Alonso Gamboa J.O., Dirección General de Bibliotecas y Servicios Digitales de Información, Universidad Nacional Autónoma de México (UNAM), Mexico","Based on an analysis of the reports and agreements stemming from the technical meetings of Latindex (www.latindex.org), a summary is made of the main contributions in favor of the visibility and quality of Ibero-American and Ibero-Americanist journals. The study focuses on the following aspects: evolution of the Directory and Catalog of journals; diversification of information services; professionalization of editors; academic documentation of the experience; connection with other initiatives and working groups, all under the umbrella of cooperative work carried out among the 24 institutions that are part of Latindex. © 2025 Universidad de Zaragoza, Facultad de Filosofia y Letras. All rights reserved.","Collaborative work; Ibero-America; Information systems; International cooperation; Latin America; Latindex; Scientific communication; Scientific journals","","18880967","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105009814520"
"Pérez-Romero J.; Aguilar W.","Pérez-Romero, Jesús (57219994296); Aguilar, Wendy (24437782600)","57219994296; 24437782600","Towards a Collaborative Game Designer Using the CCDSF Framework","2025","New Generation Computing","43","1","4","","","0","10.1007/s00354-024-00287-w","https://www.scopus.com/pages/publications/85211893521?origin=resultslist","Posgrado en Ciencia e Ingeniería de la Computación, Universidad Nacional Autónoma de México, Mexico City, 04510, Mexico; Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Mexico City, 04510, Mexico","Pérez-Romero J., Posgrado en Ciencia e Ingeniería de la Computación, Universidad Nacional Autónoma de México, Mexico City, 04510, Mexico; Aguilar W., Department of Computer Science, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Mexico City, 04510, Mexico","The Computational Creative Design Systems Framework (CCDSF) was formulated from a mixed perspective of the fields of design research and computational creativity to describe, analyze, and model Computational Creative Design Systems (CCDSs) either as autonomous agents or as collaborative systems involving two or more design agents in purely computational or human-computer interaction mode. In this paper, we present the first proof-of-concept (PoC) of the CCDSF, demonstrating the incremental construction of a human-computer collaborative CCDS for the design of puzzle-type video games. This CCDS is composed of a computational design agent that evolves through three versions—assistant, apprentice, and creative assistant—each acquiring new technical and creative capabilities and assuming roles with higher levels of collaboration. The system includes a graphical user interface (collaborative environment) that has been conceptualized, implemented, and evaluated following the principles of user interface, user experience, and interaction design. Each building block of the CCDSF was systematically designed, encompassing the top-level experience-dynamics-mechanics design schema down to the underlying perception-action strategies. While further research is needed, our collaborative CCDS, presented as a PoC of the CCDSF, demonstrates its potential to aid human designers in generating viable designs and enhancing their technical and creative performance in various ways. © The Author(s), under exclusive licence to The Japanese Society for Artificial Intelligence and Springer Nature Japan KK, part of Springer Nature 2024.","Artificial designer; Co-creativity; Computational creative design system; Framework; Puzzle video game design","Autonomous agents; Design for manufacturability; Engineering education; Game design; Integrated circuit design; Interactive computer graphics; Machine design; Artificial designer; Co-creativity; Computational creative design system; Creative design; Design systems; Framework; Game design; Puzzle video game design; Puzzle video games; System framework; Graphical user interfaces","02883635","","NGCOE","Article","Final","","Scopus","2-s2.0-85211893521"
"Juarez M.G.; Zamora A.; Ortiz-Bejar J.; Silva J.C.; Cerda J.; Paternina M.R.A.","Juarez, Miguel G. (57804446000); Zamora, A. (57207796016); Ortiz-Bejar, Jose (56703193500); Silva, J.C. (55322763800); Cerda, Jaime (57204226177); Paternina, M.R.A. (56530728800)","57804446000; 57207796016; 56703193500; 55322763800; 57204226177; 56530728800","PQ-SyDa: Power Quality Synthetic Disturbances DataSet","2024","2024 IEEE PES Generation, Transmission and Distribution Latin America Conference and Industrial Exposition, GTDLA 2024","","","","","","1","10.1109/GTDLA61236.2024.10913752","https://www.scopus.com/pages/publications/105001673704?origin=resultslist","U. Michoacana, Morelia, Mexico; UNAM, Mexico City, Mexico","Juarez M.G., U. Michoacana, Morelia, Mexico; Zamora A., U. Michoacana, Morelia, Mexico; Ortiz-Bejar J., U. Michoacana, Morelia, Mexico; Silva J.C., U. Michoacana, Morelia, Mexico; Cerda J., U. Michoacana, Morelia, Mexico; Paternina M.R.A., UNAM, Mexico City, Mexico","This paper presents a Phyton-based user-friendly graphical user interface (GUI) toolbox to synthetically generate power quality events dataset. This GUI is able to provide and export a versatile collection of tools designed specifically to create robust and realistic datasets for their utilization in the evaluation and testing of machine learning and deep learning algorithms for PQ events in power systems. A straightforward implementation is adopted to generate datasets with up to 29 different PQ events with automated label options. Numerical and graphical results demonstrate the effectiveness of the GUI. © 2024 IEEE.","Deep learning; Machine learning; Power quality events generator; Python toolbox","Deep learning; Event generators; Machine-learning; Power; Power quality event; Power quality event generator; PQ event; Python toolbox; User friendly; Adversarial machine learning","","979-833153054-9","","Conference paper","Final","","Scopus","2-s2.0-105001673704"
"Gomez-Monroy C.G.; Borja V.; Ramirez-Reivich A.; Corona-Lira M.D.P.","Gomez-Monroy, Carlos Gilberto (57223406245); Borja, Vicente (57203684556); Ramirez-Reivich, Alejandro (56013842500); Corona-Lira, Maria del Pilar (57208708928)","57223406245; 57203684556; 56013842500; 57208708928","Assessing User Experience with Piezoresistive Force Sensors: Interpreting Button Press Impulse and Duration","2025","Sensors","25","21","6685","","","0","10.3390/s25216685","https://www.scopus.com/pages/publications/105021469653?origin=resultslist","Postgraduate School of Engineering, Universidad Nacional Autónoma de México, Ciudad Universitaria, Ciudad de México, 04510, Mexico; Department of Mechanical Engineering, Universidad Nacional Autónoma de México, Ciudad Universitaria, Ciudad de México, 04510, Mexico","Gomez-Monroy C.G., Postgraduate School of Engineering, Universidad Nacional Autónoma de México, Ciudad Universitaria, Ciudad de México, 04510, Mexico; Borja V., Department of Mechanical Engineering, Universidad Nacional Autónoma de México, Ciudad Universitaria, Ciudad de México, 04510, Mexico; Ramirez-Reivich A., Department of Mechanical Engineering, Universidad Nacional Autónoma de México, Ciudad Universitaria, Ciudad de México, 04510, Mexico; Corona-Lira M.D.P., Department of Mechanical Engineering, Universidad Nacional Autónoma de México, Ciudad Universitaria, Ciudad de México, 04510, Mexico","As robotic systems become increasingly integrated into daily life, the need for user experience (UX) assessment methods that are both privacy-conscious and suitable for embedded hardware platforms has grown. Traditional UX evaluations relying on vision, audio, or lengthy questionnaires are often intrusive, computationally demanding, or impractical for low-power devices. In this study, we introduce a novel sensor-based method for assessing UX through direct physical interaction. We designed a robot lamp with a force-sensing button interface and conducted a user study involving controlled robot errors. Participants interacted with the lamp during a reading task and rated their UX on a 7-point Likert scale. Using force and time data from button presses, we correlated force and time data to user experience and demographic information. Our results demonstrate the potential of bodily interaction metrics as a viable alternative for UX assessment in human-robot interaction, enabling real-time, embedded, and privacy-aware evaluation of user satisfaction in robotic systems. © 2025 by the authors.","embedded UX; force sensors; human-robot interaction; physical human-robot interaction; piezoresistive force sensors; privacy-aware sensing; user experience","Adult; Female; Humans; Male; Robotics; Embedded systems; Human computer interaction; Man machine systems; Presses (machine tools); User experience; User interfaces; Daily lives; Embedded UX; Force sensor; Humans-robot interactions; Physical humanrobot interaction (phri); Piezoresistive force sensors; Privacy aware; Privacy-aware sensing; Robotic systems; Users' experiences; adult; devices; female; human; male; procedures; robotics; Human robot interaction","14248220","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105021469653"
"Pedroza-Santiago E.A.; Quiroz-Ibarra J.E.; Bojorges-Valdez E.R.; Padilla-Castañeda M.Á.","Pedroza-Santiago, Enrique Antonio (58764351100); Quiroz-Ibarra, José Emilio (57224480786); Bojorges-Valdez, Erik René (16400733800); Padilla-Castañeda, Miguel Ángel (6507221438)","58764351100; 57224480786; 16400733800; 6507221438","Comparison of Manual, Automatic, and Voice Control in Wheelchair Navigation Simulation in Virtual Environments: Performance Evaluation of User and Motion Sickness","2025","Sensors","25","2","530","","","7","10.3390/s25020530","https://www.scopus.com/pages/publications/85215820359?origin=resultslist","Instituto de Investigación Aplicada y Tecnología (InIAT), Universidad Iberoamericana, Ciudad de México C.P. 01376, Dominican Republic; Departamento de Estudios en Ingeniería para la Innovación (DEII), Universidad Iberoamericana, Ciudad de México C.P. 01376, Dominican Republic; Instituto de Ciencias Aplicadas y Tecnología (ICAT), Universidad Nacional Autónoma de México, Ciudad de México C.P. 04510, Mexico","Pedroza-Santiago E.A., Instituto de Investigación Aplicada y Tecnología (InIAT), Universidad Iberoamericana, Ciudad de México C.P. 01376, Dominican Republic; Quiroz-Ibarra J.E., Instituto de Investigación Aplicada y Tecnología (InIAT), Universidad Iberoamericana, Ciudad de México C.P. 01376, Dominican Republic; Bojorges-Valdez E.R., Departamento de Estudios en Ingeniería para la Innovación (DEII), Universidad Iberoamericana, Ciudad de México C.P. 01376, Dominican Republic; Padilla-Castañeda M.Á., Instituto de Ciencias Aplicadas y Tecnología (ICAT), Universidad Nacional Autónoma de México, Ciudad de México C.P. 04510, Mexico","Mobility is essential for individuals with physical disabilities, and wheelchairs significantly enhance their quality of life. Recent advancements focus on developing sophisticated control systems for effective and efficient interaction. This study evaluates the usability and performance of three wheelchair control modes manual, automatic, and voice controlled using a virtual reality (VR) simulation tool. VR provides a controlled and repeatable environment to assess navigation performance and motion sickness across three scenarios: supermarket, museum, and city. Twenty participants completed nine tests each, resulting in 180 trials. Findings revealed significant differences in navigation efficiency, distance, and collision rates across control modes and scenarios. Automatic control consistently achieved faster navigation times and fewer collisions, particularly in the supermarket. Manual control offered precision but required greater user effort. Voice control, while intuitive, resulted in longer distances traveled and higher collision rates in complex scenarios like the city. Motion sickness levels varied across scenarios, with higher discomfort reported in the city during voice and automatic control. Participant feedback, gathered via a Likert scale questionnaire, highlighted the potential of VR simulation for evaluating user comfort and performance. This research underscores the advantages of VR-based testing for rapid prototyping and user-centered design, offering valuable insights into improving wheelchair control systems. Future work will explore adaptive algorithms to enhance usability and accessibility in real world applications. © 2025 by the authors.","daily life scenarios; immersive environments; navigation performance; navigation systems; virtual reality; voice control; wheelchair user interfaces","Adult; Algorithms; Female; Humans; Male; Motion Sickness; Persons with Disabilities; User-Computer Interface; Virtual Reality; Voice; Wheelchairs; Young Adult; Adaptive control systems; Disease control; Rapid prototyping; Risk management; Usability engineering; User centered design; Virtual environments; Control modes; Daily life scenario; Daily lives; Immersive environment; Motion sickness; Navigation performance; Voice control; Wheelchair control; Wheelchair user interface; Wheelchair users; adult; algorithm; comparative study; computer interface; disabled person; female; human; male; motion sickness; pathophysiology; physiology; prevention and control; virtual reality; voice; wheelchair; young adult; Adaptive algorithms","14248220","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85215820359"
