"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Ahumada C.; Kaschel H.; Osorio-Comparan R.; Cordero S.; Valencia C.","Ahumada, Cristian (57193057965); Kaschel, Héctor (36602756100); Osorio-Comparan, Roman (24470341200); Cordero, Sergio (57193058684); Valencia, Claudio (60619318000)","57193057965; 36602756100; 24470341200; 57193058684; 60619318000","Design and Simulation of a High-Gain 4 × 1 Microstrip Patch Antenna Array at 2.45 GHz for Wi-Fi 6 and IoT Applications","2025","Proceedings -  IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies, ChileCon","","","","","","0","10.1109/CHILECON66915.2025.11476059","https://www.scopus.com/pages/publications/105038059108?origin=resultslist","Dept. Electrotechnics and Computer, Universidad Técnica Federico Santa María, Valparaiso, Chile; Dept. of Electrical Engineering, USACH, Santiago, Chile; Dept. of Computer Systems Engineering, IIMAS-UNAM, Ciudad de México, Mexico; Dept. of Electrical Engineering, University of Santiago de Chile (USACH), Santiago, Chile","Ahumada C., Dept. Electrotechnics and Computer, Universidad Técnica Federico Santa María, Valparaiso, Chile; Kaschel H., Dept. of Electrical Engineering, USACH, Santiago, Chile; Osorio-Comparan R., Dept. of Computer Systems Engineering, IIMAS-UNAM, Ciudad de México, Mexico; Cordero S., Dept. of Electrical Engineering, University of Santiago de Chile (USACH), Santiago, Chile; Valencia C., Dept. of Electrical Engineering, University of Santiago de Chile (USACH), Santiago, Chile","This paper presents the design and simulation of a high-gain 4 × 1 microstrip patch antenna array operating at 2.45 GHz, optimized for Wi-Fi 6 and Internet of Things (IoT) applications. Implemented on a cost-effective FR-4 substrate, the proposed structure achieves a simulated gain of 11.44 dBi, a return loss of -38.67 dB, and a voltage standing wave ratio (VSWR) of 1.158. A multi-stage impedance matching network based on 50 Ω, 70.71 Ω, and 100 Ω lines was employed to ensure efficient power distribution across the array. The specific absorption rate (SAR) was evaluated under IEEE C95.1 standard using a multilayer tissue model, yielding values well below the 1.6 W/kg (1 g) and 2 W/kg (10 g) limits. These results confirm the antenna’s suitability for wearable, on-body, and low-power wireless systems. © 2025 IEEE.","Antenna array; IoT; microstrip patch antenna; SAR; wearable antennas; Wi-Fi 6","Cost effectiveness; IEEE Standards; Impedance matching (electric); Internet of things; Microwave antennas; Slot antennas; Wearable antennas; Wi-Fi; Wireless local area networks (WLAN); Cost effective; Design and simulation; High gain; Micro-strip patch antennas; Microstrip patch antenna arrays; Microstrip-patch antenna; Returns loss; Specific absorption rate; WI - FI; Wi-fi 6; Antenna arrays; Microstrip antennas","28321529","979-835035736-3","","Conference paper","Final","","Scopus","2-s2.0-105038059108"
"Enríquez F.J.; Mejía-Muñoz J.-M.; Bravo G.; Cruz-Mejía O.","Enríquez, Francisco J. (57191896522); Mejía-Muñoz, Jose-Manuel (58701554900); Bravo, Gabriel (57191896581); Cruz-Mejía, Oliverio (56118799000)","57191896522; 58701554900; 57191896581; 56118799000","Smart Parking: Enhancing Urban Mobility with Fog Computing and Machine Learning-Based Parking Occupancy Prediction","2024","Applied System Innovation","7","3","52","","","6","10.3390/asi7030052","https://www.scopus.com/pages/publications/85197205026?origin=resultslist","Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; [2] Departamento de Ingeniería Industrial, Universidad Nacional Autónoma de México, 57171, Mexico","Enríquez F.J., Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; Mejía-Muñoz J.-M., Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; Bravo G., Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juarez, 32310, Mexico; Cruz-Mejía O., [2] Departamento de Ingeniería Industrial, Universidad Nacional Autónoma de México, 57171, Mexico","Parking occupancy is difficult in most modern cities because of increases in the accessibility and use of motor vehicles, and users generally take several minutes or even hours to find a place to park. In this work, we propose a smart parking prediction model in order to help users locate in advance the availability of parking near the places they plan to visit. For this it is proposed a fog computing architecture that integrates a machine learning algorithm based on AdaBoost to predict parking places hours or days in advance. Additionally, a user interface was developed, which involves the collection of user inputs through a mobile application where the user is prompted to enter the destination location and the prediction time interval. Through extensive experimentation using real-world parking flow data, our proposed algorithm demonstrated an improved level of accuracy compared with alternative prediction methods. Moreover, a simulation was conducted to evaluate the system’s latency when using cloud computing versus our hybrid approach combining both fog and cloud computing. The results showed that employing the fog module in conjunction with cloud computing significantly reduced response delay in comparison with using cloud computing alone. © 2024 by the authors.","fog computing; parking occupancy; prediction","","25715577","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85197205026"
"Embarak E.; Roblin P.; Salem H.; Martinez-Lopez J.I.; Zheng Y.","Embarak, Emad (58852755500); Roblin, Patrick (35482440300); Salem, Hamza (58853032000); Martinez-Lopez, Jose I. (7102269146); Zheng, Yuhan (58853032100)","58852755500; 35482440300; 58853032000; 7102269146; 58853032100","Delayed Crosstalk Digital Predistorter for MIMO Systems","2025","2025 IEEE Wireless and Microwave Technology Conference, WAMICON 2025","","","","","","0","10.1109/WAMICON64429.2025.11004088","https://www.scopus.com/pages/publications/105007534169?origin=resultslist","The Ohio State University, Dept. of Electrical and Computer, Columbus, United States; Universidad Nacional Autonoma de Mexico, Facultad de Ingenieria, Mexico City, 04510, Mexico","Embarak E., The Ohio State University, Dept. of Electrical and Computer, Columbus, United States; Roblin P., The Ohio State University, Dept. of Electrical and Computer, Columbus, United States; Salem H., The Ohio State University, Dept. of Electrical and Computer, Columbus, United States; Martinez-Lopez J.I., Universidad Nacional Autonoma de Mexico, Facultad de Ingenieria, Mexico City, 04510, Mexico; Zheng Y., The Ohio State University, Dept. of Electrical and Computer, Columbus, United States","In modern wireless communication systems, multiinput multi-output (MIMO) technology has been pivotal in achieving high data rates and enhanced spectral efficiency. However, the nonlinear behavior of Power Amplifiers (PAs) in MIMO systems can significantly degrade system performance. This paper proposes a novel delayed crosstalk digital predistorter (DC-DPD) model for (MIMO) radio systems. The proposed model demonstrates that incorporating delayed crosstalk improves the performance of the digital predistorter. The model was subjected to experimental validation utilizing an Orthogonal Frequency Division Multiplexing (OFDM) signal with a bandwidth of 50 MHz and employing 64-QAM modulation using the same model with and without the delayed crosstalk. Experimental results show that the DC-DPD model outperforms by up to 3 dB the 2D memory cubic spline basis (MCSB) model DPD of Normalized Mean Square Error (NMSE) and Adjacent Channel Power Ratio (ACPR). © 2025 IEEE.","ACPR; Delayed Crosstalk; Digital predistortion; Direct Learning; Multiple-input multiple-output (MIMO) transmitters","Crosstalk; Quadrature amplitude modulation; Radio systems; Adjacent channel power ratio; Delayed crosstalk; Digital predistorter; Digital predistortion; Direct learning; Multiple inputs; Multiple outputs; Multiple-Input Multiple- Output systems; Multiple-input multiple-output  transmitter; Wireless communication system; Orthogonal frequency division multiplexing","","979-833150960-6","","Conference paper","Final","","Scopus","2-s2.0-105007534169"
"Wei Z.; Zhang J.; Li W.; St-Arnault C.; Bernal S.; Khalil M.; Gutiérrez-Castrejón R.; Chen L.R.; Plant D.V.","Wei, Zixian (57205286968); Zhang, Jinsong (57212561346); Li, Weijia (57396485800); St-Arnault, Charles (59145207300); Bernal, Santiago (57208673578); Khalil, Mostafa (57211837906); Gutiérrez-Castrejón, Ramón (59238412300); Chen, Lawrence R. (7409436166); Plant, David V. (7006054958)","57205286968; 57212561346; 57396485800; 59145207300; 57208673578; 57211837906; 59238412300; 7409436166; 7006054958","Spatial Diversity in Non-Orthogonal Multiplexing Access (NOMA)-based Coherent Optical Transmission under Differential Path Loss","2024","Signal Processing in Photonic Communications, SPPCom 2024 in Proceedings Advanced Photonics Congress 2024 - Part of Optica Advanced Photonics Congress","","","","","","0","","https://www.scopus.com/pages/publications/85215786175?origin=resultslist","Department of Electrical and Computer Engineering, McGill University, Montreal, H3A 0E9, QC, Canada; Institute of Engineering, Universidad Nacional Autonoma de Mexico UNAM, Cd. Universitaria, Mexico City, 04510, Mexico","Wei Z., Department of Electrical and Computer Engineering, McGill University, Montreal, H3A 0E9, QC, Canada; Zhang J., Department of Electrical and Computer Engineering, McGill University, Montreal, H3A 0E9, QC, Canada; Li W., Department of Electrical and Computer Engineering, McGill University, Montreal, H3A 0E9, QC, Canada; St-Arnault C., Department of Electrical and Computer Engineering, McGill University, Montreal, H3A 0E9, QC, Canada; Bernal S., Department of Electrical and Computer Engineering, McGill University, Montreal, H3A 0E9, QC, Canada; Khalil M., Department of Electrical and Computer Engineering, McGill University, Montreal, H3A 0E9, QC, Canada; Gutiérrez-Castrejón R., Department of Electrical and Computer Engineering, McGill University, Montreal, H3A 0E9, QC, Canada, Institute of Engineering, Universidad Nacional Autonoma de Mexico UNAM, Cd. Universitaria, Mexico City, 04510, Mexico; Chen L.R., Department of Electrical and Computer Engineering, McGill University, Montreal, H3A 0E9, QC, Canada; Plant D.V., Department of Electrical and Computer Engineering, McGill University, Montreal, H3A 0E9, QC, Canada","We first demonstrate a MISO coherent optical transmission based on joint NOMA and spatial diversity, where maximal ratio combining brings 1.764-dB diversity gain for two high-path-loss 120-km and 140-km branches. © Optica Publishing Group 2024, © 2024 The Author(s)","","Optical fiber communication; Optical losses; Coherent optical transmissions; Diversity gain; Maximal-ratio combining; Non-orthogonal; Orthogonal multiplexing; Path loss; Spatial diversity; Light transmission","","","","Conference paper","Final","","Scopus","2-s2.0-85215786175"
"Saldaña-Trejo L.M.; Gallegos-Garcia G.; Aldeco-Peréz R.","Saldaña-Trejo, Luis Miguel (60136541700); Gallegos-Garcia, Gina (35766133700); Aldeco-Peréz, Rocio (36607389400)","60136541700; 35766133700; 36607389400","Cryptographic consensus protocols in Blockchain for the Internet of Things; [Protocolos criptográficos de consenso en Blockchain para el Internet de las Cosas]","2025","Computacion y Sistemas","29","3","","1635","1650","0","10.13053/cys-29-3-5889","https://www.scopus.com/pages/publications/105018502969?origin=resultslist","Instituto Politecnico Nacional Centro de Investigación en Computación, Mexico; Universidad Nacional Autónoma de México, Mexico","Saldaña-Trejo L.M., Instituto Politecnico Nacional Centro de Investigación en Computación, Mexico; Gallegos-Garcia G., Instituto Politecnico Nacional Centro de Investigación en Computación, Mexico; Aldeco-Peréz R., Universidad Nacional Autónoma de México, Mexico","[No abstract available]","","","14055546","","","Article","Final","","Scopus","2-s2.0-105018502969"
"Godinez A.E.; Garza Rivera J.L.; Varela D.T.","Godinez, Angelica Espinoza (60522341100); Garza Rivera, Jose Luis (60522835500); Varela, David Tinoco (57203905051)","60522341100; 60522835500; 57203905051","Detection of DoS and DDoS Attacks Using LSTM in Computer Networks: A Systematic Literature Review","2025","Proceedings - 2025 IEEE Latin American School on Computational Intelligence and Robotics, SAIBOT 2025","","","","94","102","0","10.1109/SAIBOT67519.2025.00021","https://www.scopus.com/pages/publications/105033528083?origin=resultslist","Universidad da Vinci, CDMX, Mexico; Universidad Nacional Autónoma de México, Facultad de Estudios Superiores Cuautitlán, Cuautitlan Izcalli, Mexico","Godinez A.E., Universidad da Vinci, CDMX, Mexico; Garza Rivera J.L., Universidad da Vinci, CDMX, Mexico; Varela D.T., Universidad Nacional Autónoma de México, Facultad de Estudios Superiores Cuautitlán, Cuautitlan Izcalli, Mexico","Artificial Intelligence (AI), with machine learning (ML) models and deep learning (DL) neural networks, represents a possibility for detecting DoS/DDoS attacks more effectively. The LSTM (Long Short-Term Memory) model is one of the options for detecting these increasingly varied and sophisticated attacks. The objective of this research was to evaluate the application of the LSTM model in the detection of DoS and DDoS cyber attacks on communications networks. This research was designed as a Systematic Literature Review to obtain the most recent studies on the subject. As a result, 86 initial studies were obtained from the databases. Once the entire procedure, including the quality assessment of the studies, was completed, 15 final primary studies were selected. With these primary studies, it was possible to answer all the questions in the review. It should be noted that modern SDN (Software Defined Network) networks, Cloud Computing networks, and classic networks are threatened by this type of attack. The LSTM models applied in the detection of DoS/DDoS attacks can be hybrid or combined. The most commonly used evaluation metrics are Accuracy, Recall, Precision, and F1-Score, and the most frequently found public datasets include NSL-KDD, CICDoS2019, and CICIDS2017. A wide variety of LSTM-based models and approaches that can be used to experiment and compare their performance in terms of communications network security. © 2025 IEEE.","Denial-of-service attack; Long short term memory; Machine learning; Network security; Systematic literature review","Computer networks; Denial-of-service attack; Distributed computer systems; Learning systems; Network security; Reviews; Communications networks; DDoS Attack; Denialof- service attacks; DoS/DDoS attacks; Machine learning models; Machine-learning; Memory modeling; Networks security; Short term memory; Systematic literature review; Long short-term memory","","979-833158719-2","","Conference paper","Final","","Scopus","2-s2.0-105033528083"
"Rodríguez-Azar P.I.; Mejía-Muñoz J.M.; Cruz-Mejía O.; Torres-Escobar R.; López L.V.R.","Rodríguez-Azar, Paula Ivone (57205581886); Mejía-Muñoz, Jose Manuel (58701554900); Cruz-Mejía, Oliverio (56118799000); Torres-Escobar, Rafael (57204158731); López, Lucero Verónica Ruelas (58804403200)","57205581886; 58701554900; 56118799000; 57204158731; 58804403200","Fog Computing for Control of Cyber-Physical Systems in Industry Using BCI","2024","Sensors","24","1","149","","","4","10.3390/s24010149","https://www.scopus.com/pages/publications/85181967125?origin=resultslist","Departamento de Ingeniería Industrial y Manufactura, Instituto de Ingeniería y Tecnología, Universidad Autónoma de Ciudad Juárez, Ciudad Juárez, 32310, Mexico; Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juárez, 32310, Mexico; Departamento de Ingeniería Industrial, FES Aragón, Universidad Nacional Autónoma de México, Mexico, 57171, Mexico; Facultad de Ingeneria, Universidad Anáhuac México, Mexico, 52786, Mexico","Rodríguez-Azar P.I., Departamento de Ingeniería Industrial y Manufactura, Instituto de Ingeniería y Tecnología, Universidad Autónoma de Ciudad Juárez, Ciudad Juárez, 32310, Mexico; Mejía-Muñoz J.M., Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juárez, 32310, Mexico; Cruz-Mejía O., Departamento de Ingeniería Industrial, FES Aragón, Universidad Nacional Autónoma de México, Mexico, 57171, Mexico; Torres-Escobar R., Facultad de Ingeneria, Universidad Anáhuac México, Mexico, 52786, Mexico; López L.V.R., Departamento de Ingeniería Eléctrica, Instituto de Ingenieria y Tecnologia, Universidad Autónoma de Ciudad Juárez, Ciudad Juárez, 32310, Mexico","Brain-computer interfaces use signals from the brain, such as EEG, to determine brain states, which in turn can be used to issue commands, for example, to control industrial machinery. While Cloud computing can aid in the creation and operation of industrial multi-user BCI systems, the vast amount of data generated from EEG signals can lead to slow response time and bandwidth problems. Fog computing reduces latency in high-demand computation networks. Hence, this paper introduces a fog computing solution for BCI processing. The solution consists in using fog nodes that incorporate machine learning algorithms to convert EEG signals into commands to control a cyber-physical system. The machine learning module uses a deep learning encoder to generate feature images from EEG signals that are subsequently classified into commands by a random forest. The classification scheme is compared using various classifiers, being the random forest the one that obtained the best performance. Additionally, a comparison was made between the fog computing approach and using only cloud computing through the use of a fog computing simulator. The results indicate that the fog computing method resulted in less latency compared to the solely cloud computing approach. © 2023 by the authors.","BCI; fog computing; machine learning; random forest","Brain computer interface; Cyber Physical System; Deep neural networks; Embedded systems; Fog; Fog computing; Learning algorithms; Learning systems; BCI; Brain state; Cloud-computing; Cybe-physical systems; Cyber-physical systems; EEG signals; Industrial machinery; Machine-learning; Multiusers; Random forests; article; bandwidth; brain computer interface; classifier; clinical article; cloud computing; controlled study; deep learning; diagnosis; electroencephalogram; electroencephalography; human; latent period; learning algorithm; machine learning; male; random forest; reaction time; simulator; Interface states","14248220","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85181967125"
"Köse U.; Marmolejo-Saucedo J.A.; Rodriguez-Aguilar R.; Marmolejo-Saucedo L.; Rodriguez-Aguilar M.","Köse, Utku (36544118500); Marmolejo-Saucedo, Jose Antonio (57204678532); Rodriguez-Aguilar, Roman (56717663000); Marmolejo-Saucedo, Liliana (58590483500); Rodriguez-Aguilar, Miriam (58813504300)","36544118500; 57204678532; 56717663000; 58590483500; 58813504300","Genetic electro-search optimization for optimum energy consumption in edge computing-based internet of healthcare things","2024","Wireless Networks","30","9","","7361","7368","3","10.1007/s11276-023-03623-y","https://www.scopus.com/pages/publications/85182416415?origin=resultslist","Suleyman Demirel University, Isparta, Turkey; Engineering Department, Universidad Nacional Autonoma de Mexico. Av. Universidad 3000, Mexico City, 04510, Mexico; Facultad de Ciencias Económicas y Empresariales, Universidad Panamericana, Augusto Rodin 498, Mexico City, 03920, Mexico; ISSSTE, Cuernavaca, Mexico; Instituto Mexicano del Seguro Social, Mexico, Mexico","Köse U., Suleyman Demirel University, Isparta, Turkey; Marmolejo-Saucedo J.A., Engineering Department, Universidad Nacional Autonoma de Mexico. Av. Universidad 3000, Mexico City, 04510, Mexico; Rodriguez-Aguilar R., Facultad de Ciencias Económicas y Empresariales, Universidad Panamericana, Augusto Rodin 498, Mexico City, 03920, Mexico; Marmolejo-Saucedo L., ISSSTE, Cuernavaca, Mexico; Rodriguez-Aguilar M., Instituto Mexicano del Seguro Social, Mexico, Mexico","Energy consumption is a vital issue when optimum usage and carbon footprint are all considered in today’s Internet of Things (IoT) environments. Considering edge computing, that becomes too critical in terms of wireless devices with limited battery power. Especially in healthcare applications, the defined IoHT approach requires sustainability while future massive solutions may result negative outputs in terms of carbon footprint. So, optimum energy consumption seems positive in terms of multiple ways. In the literature, one trendy method is using clustering for lowering the energy consumption within the Internet of Healthcare Things (IoHT) environment on edge computing. In this study, optimization of energy consumption in IoHT was done via improved Genetic Electro-Search Optimization (GESO) algorithm. According to the obtained findings in the performed applications, GESO was effective enough in finding optimum conditions of energy consumption for an active IoHT setup. © The Author(s) 2024.","Edge computing; Energy consumption; Genetic electro-search optimization; Internet of healthcare things","Carbon footprint; Edge computing; Genetic algorithms; Green computing; Health care; Internet of things; Sustainable development; Battery power; Edge computing; Energy-consumption; Genetic electro-search optimization; Health care application; Internet of healthcare thing; Optimum energy; Optimum usage; Search optimization; Wireless devices; Energy utilization","10220038","","WINEF","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85182416415"
"García H.C.E.; Ruiz J.G.R.","García, Hugo C. Enríquez (58905812000); Ruiz, Javier G. Rodríguez (58905983100)","58905812000; 58905983100","Technological Digitalization Model for Medium-Sized Pig Farms in Mexico","2025","Lecture Notes in Business Information Processing","531 LNBIP","","","166","182","0","10.1007/978-3-031-76368-7_12","https://www.scopus.com/pages/publications/85211362348?origin=resultslist","University of Guadalajara (UdeG), Guadalajara, Mexico; National Autonomous University of Mexico (UNAM), Mexico City, Mexico","García H.C.E., University of Guadalajara (UdeG), Guadalajara, Mexico; Ruiz J.G.R., National Autonomous University of Mexico (UNAM), Mexico City, Mexico","This study aims to explain the latest digital technology trends in pig production in agricultural establishments that can be applied in a municipality in Mexico. The incorporation of technologies such as Artificial Intelligence (AI), the Internet of Things (IoT), and Blockchain has proven to increase biosecurity measures in pig farms, contributing to the prevention of associated diseases and improving the quality of meat production for the well-being of society. Based on this understanding, we have formulated a prototype proposal relevant to Mexico. Our proposal was structured using methodologies that included field visits to two pig farms located in Zapopan, Jalisco, interviews with specialists in veterinary medicine, and a review of relevant literature to understand the current global scenario regarding the digitalization of pig farms in search of the best practices to achieve a “smart farm”. Our results indicate the viability of integrating digital technologies into pig farming and the potential to expand this approach to other farms in Mexico. Specifically, we propose the implementation of IoT devices for monitoring NH3-CO2 levels and temperature, a mobile application for farm surveillance, and Blockchain technology for tracking the supply chain of raw materials and pharmaceuticals. Additionally, a microfluidic biosensor can be utilized for early detection of swine stress. To facilitate the widespread adoption of these technologies, we suggest promoting this type of initiative within the livestock industry and encouraging the integration of practices that prioritize technological advancements and animal welfare. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Digitalization of Farms; Information Technologies; Meat Quality; Prevention of Swine Diseases","Disease control; Diseases; Macroinvertebrates; Veterinary medicine; Bio-security; Block-chain; Digital technologies; Digitalization of farm; Me-xico; Meat quality; Pig farms; Pig production; Prevention of swine disease; Technology trends","18651348","978-303176367-0","","Conference paper","Final","","Scopus","2-s2.0-85211362348"
"Rivas-Navarrete J.A.; Pérez-Espinosa H.; Padilla-Ortiz A.L.; Rodríguez-González A.Y.; García-Cambero D.C.","Rivas-Navarrete, José Antonio (59670478100); Pérez-Espinosa, Humberto (36608902800); Padilla-Ortiz, A.L. (55365556000); Rodríguez-González, Ansel Y. (25634618000); García-Cambero, Diana Cristina (59671137100)","59670478100; 36608902800; 55365556000; 25634618000; 59671137100","Edge Computing System for Automatic Detection of Chronic Respiratory Diseases Using Audio Analysis","2025","Journal of Medical Systems","49","1","33","","","7","10.1007/s10916-025-02154-7","https://www.scopus.com/pages/publications/86000100887?origin=resultslist","CICESE-UAT, CICESE, Andador 10 # 109, Nayarit, Tepic, 63173, Mexico; Computer Science Coordination, National Institute of Astrophysics, Optics and Electronics (INAOE), Luis Enrique Erro #1, Puebla, Tonantzintla, 72480, Mexico; SECIHTI - Instituto de Ciencias Aplicadas y Tecnología, Universidad Nacional Autónoma de México, Ciudad de México, 04510, Mexico; SECIHTI - CICESE, Alianza Centro #540, PIIT Apodaca, Nuevo León, Monterrey, 66629, Mexico; Pulmonology Service, Mexican Social Security Institute (IMSS) HGZ 1, Avenida Insurgentes Pte #727, Nayarit, Tepic, 63120, Mexico","Rivas-Navarrete J.A., CICESE-UAT, CICESE, Andador 10 # 109, Nayarit, Tepic, 63173, Mexico; Pérez-Espinosa H., Computer Science Coordination, National Institute of Astrophysics, Optics and Electronics (INAOE), Luis Enrique Erro #1, Puebla, Tonantzintla, 72480, Mexico; Padilla-Ortiz A.L., SECIHTI - Instituto de Ciencias Aplicadas y Tecnología, Universidad Nacional Autónoma de México, Ciudad de México, 04510, Mexico, SECIHTI - CICESE, Alianza Centro #540, PIIT Apodaca, Nuevo León, Monterrey, 66629, Mexico; Rodríguez-González A.Y., CICESE-UAT, CICESE, Andador 10 # 109, Nayarit, Tepic, 63173, Mexico; García-Cambero D.C., Pulmonology Service, Mexican Social Security Institute (IMSS) HGZ 1, Avenida Insurgentes Pte #727, Nayarit, Tepic, 63120, Mexico","Chronic respiratory diseases affect people worldwide, but conventional diagnostic methods may not be accessible in remote locations far from population centers. Sounds from the human respiratory system have displayed potential in autonomously detecting these diseases using artificial intelligence (AI). This article outlines the development of an audio-based edge computing system that automatically detects chronic respiratory diseases (CRDs). The system utilizes machine learning (ML) techniques to analyze audio recordings of respiratory sounds (cough and breath) and classify the presence or absence of these diseases, using features such as Mel frequency cepstral coefficients (MFCC) and chromatic attributes (chromagram) to capture the relevant acoustic features of breath sounds. The system was trained and tested using a dataset of respiratory sounds collected from 86 individuals. Among them, 53 had chronic respiratory conditions, including asthma and chronic obstructive pulmonary disease (COPD), while the remaining 33 were healthy. The system’s final evaluation was conducted with a group of 13 patients and 22 healthy individuals. Our approach demonstrated high sensitivity and specificity in the classification of sounds on edge devices, including smartphone and Raspberry Pi. Our best results for CRDs reached a sensitivity of 90.0%, a specificity of 93.55%, and a balanced accuracy of 91.75% for accurately identifying individuals with both healthy and diseased. These results showcase the potential of edge computing and machine learning systems in respiratory disease detection. We believe this system can contribute to developing efficient and cost-effective screening tools. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","CDR; COPD; Edge computing; Machine learning","Adult; Aged; Asthma; Chronic Disease; Female; Humans; Machine Learning; Male; Middle Aged; Pulmonary Disease, Chronic Obstructive; Respiratory Sounds; Sensitivity and Specificity; Signal Processing, Computer-Assisted; abnormal respiratory sound; adult; aged; Article; asthma; audio recording; breathing pattern; chronic obstructive lung disease; chronic respiratory tract disease; classifier; comparative study; computer assisted diagnosis; confusion matrix; controlled study; convolutional neural network; coughing; customer experience; cystic fibrosis; diagnostic accuracy; diagnostic test accuracy study; disease classification; evaluation study; feature extraction; female; health status; human; lung fibrosis; machine learning; major clinical study; male; middle aged; noise reduction; quality of life; resource limited setting; sensitivity and specificity; sound analysis; abnormal respiratory sound; asthma; chronic disease; chronic obstructive lung disease; diagnosis; pathophysiology; signal processing","01485598","","JMSYD","Article","Final","","Scopus","2-s2.0-86000100887"
